<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0233.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0233.txt </filename>
<title>자연과 씨름하는  사람들 : 지구촌의 이색풍속도 '중국대륙편'</title>
<author>김능화  </author>
<date>1993  </date>
<publisher>간경도감  </publisher>
<kdc>380.912  </kdc>
<ddc>390.09517  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
한반도의	한반도/nq+의/jcm
.	./sf
그러자	그러자/maj
이족의	이족/ncn+의/jcm
군주	군주/ncn
루푸파라가의	루푸파라가/nq+의/jcm
외아들은	외아들/ncn+은/jxc
꿈에서라도	꿈/ncn+에서/jca+라도/jxc
예쁘디	예쁘/paa+디/ecs
예쁜	예쁘/paa+ㄴ/etm
아시마를	아시마/nq+를/jco
한	한/nnc
번만이라도	번/nbu+만/nbn+이/jp+라/ef+도/jxc
만나	만나/pvg+아/ecx
봤으면	보/px+았/ep+으면/ecs
하고	하/pvg+고/ecc
동경한	동경/ncpa+하/xsv+ㄴ/etm
끝에	끝/ncn+에/jca
상사병에	상사/ncn+병/ncn+에/jca
걸리고	걸리/pvg+고/ecx
말았다	말/px+았/ep+다/ef
.	./sf
아들의	아들/ncn+의/jcm
병세가	병세/ncn+가/jcs
날로	날/ncn+로/jca
악화되자	악화/ncpa+되/xsv+자/ef
어느	어느/mmd
날	날/ncn
루푸파라가에서	루푸파라가/nq+에서/jca
군주의	군주/ncn+의/jcm
위세를	위세/ncn+를/jco
앞세워	앞세우/pvg+어/ecs
아시마를	아시마/nq+를/jco
꼭	꼭/mag
며느리로	며느리/ncn+로/jca
삼아야	삼/pvg+아야/ecx
겠다고	게/px+었/ep+다/ef+고/jcr
협박	협박/ncn
해	하/pvg+어/ecx
왔다	오/px+았/ep+다/ef
.	./sf
그러나	그러나/maj
아시마	아시마/nq
부모는	부모/ncn+는/jxc
압제자의	압제/ncn+자/xsn+의/jcm
가문에	가문/ncn+에/jca
따를	따르/pvg+ㄹ/etm
줄	줄/nbn
수	수/nbn
없다고	없/paa+다/ef+고/jcr
단호히	단호히/mag
거부	거부/ncn
,	,/sp
두	두/nnc
번	번/nbu
다시	다시/mag
거론치	거론/ncpa+하/xsv+지/ecx
말라고	말/px+라/ef+고/jcr
전갈을	전갈/ncn+을/jco
보냈다	보내/pvg+었/ep+다/ef
.	./sf
이쯤되자	이쯤되/pad+자/ecs
화가	화/ncn+가/jcs
머리끝까지	머리끝/ncn+까지/jxc
치밀은	치밀/pvg+은/etm
압제자	압제/ncn+자/xsn
부자는	부자/ncn+는/jxc
즉각	즉각/mag
수많은	수많/paa+은/etm
기마병과	기마병/ncn+과/jcj
마차를	마차/ncn+를/jco
동원	동원/ncn
,	,/sp
아시마를	아시마/nq+를/jco
재빨리	재빨리/mag
납치해가	납치/ncpa+하/xsv+어/ecx+가/px+아/ecx
버렸다	버리/px+었/ep+다/ef
.	./sf
들에서	들/ncn+에서/jca
방목을	방목/ncn+을/jco
끝내고	끝내/pvg+고/ecc
뒤늦게	뒤늦/paa+게/ecx
돌아온	돌/pvg+아/ecx+오/px+ㄴ/etm
언니	언니/ncn
아해이가	아해이/nq+가/jcs
이	이/npd
사실을	사실/ncn+을/jco
알고	알/pvg+고/ecc
분개하고	분개/ncpa+하/xsv+고/ecc
말을	말/ncn+을/jco
달려	달리/pvg+어/ecx
추격해	추격/ncpa+하/xsv+어/ecx
갔으나	가/px+았/ep+으나/ecs
이미	이미/mag
아시마는	아시마/nq+는/jxc
성벽	성벽/ncn
안쪽	안/ncn+쪽/nbn
유치장에	유치/ncn+장/xsn+에/jca
갇힌	갇히/pvg+ㄴ/etm
채	채/nbn
울부짖고	울부짖/pvg+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf
아해이는	아해이/nq+는/jxc
성문	성문/ncn
앞에서	앞/ncn+에서/jca
"	"/sl
동생을	동생/ncn+을/jco
되돌려	되돌리/pvg+어/ecx
달라	달/px+라/ef
"	"/sr
고	고/jcr
애절하게	애절/ncps+하/xsm+게/ecx
절규했다	절규/ncpa+하/xsv+었/ep+다/ef
.	./sf
한참	한참/mag
후	후/ncn
아베자	아베자/nq
부자가	부자/ncn+가/jcs
만면에	만면/ncn+에/jca
회심의	회심/ncn+의/jcm
미소를	미소/ncn+를/jco
지으며	짓/pvg+으며/ecs
말하기를	말/ncpa+하/xsv+기/etn+를/jco
"	"/sl
지금	지금/ncn
즉시	즉시/mag
이곳	이곳/npd
뒷산에	뒷산/ncn+에/jca
가서	가/pvg+서/ecs
큰	크/paa+ㄴ/etm
나무를	나무/ncn+를/jco
뽑아내고	뽑/pvg+아/ecx+내/px+고/ecc
씨앗을	씨앗/ncn+을/jco
뿌려	뿌리/pvg+어/ecs
곡식을	곡식/ncn+을/jco
수확해	수확/ncpa+하/xsv+어/ecx
오든지	오/px+더/ep+ㄴ지/ef
아니면	아니/paa+면/ecs
범을	범/ncn+을/jco
사로잡아	사로잡/pvg+아/ecs
가죽을	가죽/ncn+을/jco
벗겨	벗기/pvg+어/ecx
오던지	오/px+더/ep+ㄴ지/ef
하면	하/pvg+면/ecs
아시마를	아시마/nq+를/jco
즉각	즉각/mag
되돌려	되돌리/pvg+어/ecx
주겠다	주/px+겠/ep+다/ef
"	"/sr
는	는/jxc
기상	기상/ncn
천외의	천외/ncn+의/jcm
조건을	조건/ncn+을/jco
제시하는	제시/ncpa+하/xsv+는/etm
것이었다	것/nbn+이/jp+었/ep+다/ef
.	./sf
아해이는	아해이/nq+는/jxc
그	그/npd
말이	말/ncn+이/jcs
끝나기	끝나/pvg+기/etn
무섭게	무섭/paa+게/ecx
뒷산으로	뒷산/ncn+으로/jca
달려가	달리/pvg+어/ecx+가/px+아/ecs
초인적인	초인/ncn+적/xsn+이/jp+ㄴ/etm
힘과	힘/ncn+과/jcj
기지로	기지/ncn+로/jca
범을	범/ncn+을/jco
사로잡아	사로잡/ncn+아/jcv
와서는	오/px+아서는/ecs
압제자가	압제/ncn+자/xsn+가/jcs
보는	보/pvg+는/etm
앞에서	앞/ncn+에서/jca
가죽을	가죽/ncn+을/jco
벗겨	벗기/pvg+어/ecx
바쳤다	바치/pvg+었/ep+다/ef
.	./sf
압제자는	압제/ncn+자/xsn+는/jxc
아해이의	아해이/nq+의/jcm
용맹성에	용맹/ncn+성/xsn+에/jca
눈을	눈/ncn+을/jco
휘둥거리면서도	휘둥거리/pvg+면서/ecs+도/jxc
아시마를	아시마/nq+를/jco
돌려	돌리/pvg+어/ecx
주기는	주/px+기/etn+는/jxc
커녕	커녕/ncn
성곽을	성곽/ncn+을/jco
지키는	지키/pvg+는/etm
기마병을	기마병/ncn+을/jco
풀어	풀/pvg+어/ecs
아해이마저	아해이/nq+마저/jxc
붙잡아	붙잡/pvg+아/ecx
가두려고	가두/pvg+려고/ecs
시도하는	시도/ncpa+하/xsv+는/etm
것이었다	것/nbn+이/jp+었/ep+다/ef
.	./sf
그러는	그러/npd+는/jxc
와중에	와중/ncn+에/jca
아시마는	아시마/nq+는/jxc
유치장	유치/ncn+장/xsn
창살	창살/ncn
밖으로	밖/ncn+으로/jca
손을	손/ncn+을/jco
내밀며	내밀/ncn+며/jcj
"	"/sl
언니	언니/ncn
제발	제발/mag
살려달라	살리/pvg+어/ecx+달라/px+아/ecs
"	"/sr
고	고/ecc
애원하듯	애원/ncpa+하/xsv+듯/ecs
비명을	비명/ncn+을/jco
지르는	지르/pvg+는/etm
것이었다	것/nbn+이/jp+었/ep+다/ef
.	./sf
참다	참/pvg+다/ef
못한	못하/px+ㄴ/etm
아해이는	아해이/nq+는/jxc
마침내	마침내/mag
신출귀몰의	신출귀몰/ncpa+의/jcm
초능력을	초능/ncn+력/xsn+을/jco
발휘	발휘/ncn
,	,/sp
기마병을	기마/ncn+병/xsn+을/jco
맥못추게	맥못추/pvg+게/ecx
하고	하/px+고/ecc
단숨에	단숨에/mag
성벽을	성벽/ncn+을/jco
박차고	박차/pvg+고/ecx
들어가	들/pvg+어/ecx+가/px+아/ecs
동생을	동생/ncn+을/jco
구출하는	구출/ncpa+하/xsv+는/etm
한편	한편/ncn
압제자가	압제/ncn+자/xsn+가/jcs
가장	가장/mag
신성시	신성/ncn+시/xsn
하는	하/pvg+는/etm
신령제단까지	신령/ncn+제단/ncn+까지/jxc
모조리	모조리/mag
깨부숴버리고	깨부수/pvg+어/ecx+버리/px+고/ecx
말았다	말/px+았/ep+다/ef
.	./sf
아해이는	아해이/nq+는/jxc
동생	동생/ncn
아시마를	아시마/nq+를/jco
잡아간	잡/pvg+아/ecx+가/px+ㄴ/etm
데다	데/nbn+다/jca
자기마저	자기/npp+마저/jxc
조롱하며	조롱/ncpa+하/xsv+며/ecc
잡아	잡/pvg+아/ecx
가두려는	가두/px+려는/etm
안하무인격의	안하무인/ncn+격/xsn+의/jcm
압제자를	압제/ncn+자/xsn+를/jco
이번	이번/ncn
기회에	기회/ncn+에/jca
단단히	단단히/mag
혼을	혼/ncn+을/jco
내야	내/pvg+야/ecs
겠다고	게/pvg+었/ep+다고/ecc
굳게	굳/pvg+게/ecx
마음	마음/ncn
먹었다	먹/pvg+었/ep+다/ef
.	./sf
그래서	그래서/maj
내친	내치/pvg+ㄴ/etm
김에	김/nbn+에/jca
루주파라가	루주파라/nq+가/jcs
일족	일족/ncn
모두를	모두/ncn+를/jco
성	성/ncn
밖으로	밖/ncn+으로/jca
끌어	끌/pvg+어/ecx
내어	내/px+어/ecs
무릅을	무릅/ncn+을/jco
꿇게	꿇/pvg+게/ecx
하고는	하/px+고는/ecc
두번	두/nnc+번/nbu
다시	다시/mag
사니인들에게	사니인/nq+들/xsn+에게/jca
군림하며	군림/ncpa+하/xsv+며/ecc
압제자	압제/ncn+자/xsn
노릇을	노릇/ncn+을/jco
하지	하/pvg+지/ecx
않겠다는	않/px+겠/ep+다/ef+는/etm
항복까지	항복/ncn+까지/jxc
받아내는	받/pvg+아/ecx+내/px+는/etm
데	데/nbn
성공했다	성공/ncpa+하/xsv+었/ep+다/ef
.	./sf
드디어	드디어/mag
두	두/nnc
자매는	자매/ncn+는/jxc
같은	같/paa+은/etm
말을	말/ncn+을/jco
타고	타/pvg+고/ecc
쾌재를	쾌재/ncn+를/jco
부르며	부르/pvg+며/ecc
보란	보/pvg+란/etm
듯이	듯/nbn+이/jcs
유유히	유유히/mag
귀가길에	귀가/ncn+길/ncn+에/jca
올랐다	오르/pvg+았/ep+다/ef
.	./sf
이들이	이/npd+들/xsn+이/jcs
떠나가자	떠나/pvg+아/ecx+가/px+자/ef
기다렸다는	기다리/pvg+었/ep+다/ef+는/etm
듯	듯/nbn
루주파라가의	루주파라가/nq+의/jcm
부자는	부자/ncn+는/jxc
자신들의	자신/ncn+들/xsn+의/jcm
군위를	군위/ncn+를/jco
회복하기	회복/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
심산유곡	심산/ncn+유곡/ncn
12	12/nnc
개의	개/nbu+의/jcm
절벽	절벽/ncn
암신	암신/nq
(	(/sl
岩神	岩神/nq
)	)/sr
에게	에게/jca
연락	연락/ncn
,	,/sp
"	"/sl
제발	제발/mag
아시마	아시마/nq
자매를	자매/ncn+를/jco
지옥으로	지옥/ncn+으로/jca
보내달라	보내/pvg+어/ecx+달라/px+아/ecs
"	"/sr
고	고/ecc
간청했다	간청/ncpa+하/xsv+었/ep+다/ef
.	./sf
사악한	사악/ncpa+하/xsv+ㄴ/etm
암신은	암신/nq+은/jxc
자매가	자매/ncn+가/jcs
무심코	무심코/mag
12	12/nnc
계곡	계곡/ncn
중	중/ncn
마지막	마지막/ncn
계곡을	계곡/ncn+을/jco
건너려	건너리/pvg+어/ecx
하는	하/px+는/etm
순간	순간/ncn
돌연	돌연/mag
대홍수를	대/xp+홍수/ncn+를/jco
일으켜	일으키/pvg+어/ecs
노도가	노도/ncn+가/jcs
굽이치는	굽이치/pvg+는/etm
대하	대하/ncn
(	(/sl
大河	大河/nq
)	)/sr
로	로/jca
돌변케	돌변/ncpa+하/xsv+게/ecx
했다	하/pvg+었/ep+다/ef
.	./sf
이윽고	이윽고/mag
두자매는	두자매/pvg+는/etm
급류에	급류/ncn+에/jca
휘말려	휘말리/pvg+어/ecs
홍수	홍수/ncn
속에	속/ncn+에/jca
잠기고	잠기/pvg+고/ecx
말았다	말/px+았/ep+다/ef
.	./sf
그러나	그러나/maj
언니	언니/ncn
아해이는	아해이/nq+는/jxc
구사일생으로	구사일생/ncn+으로/jca
살아	살/pvg+아/ecx
남았으나	남/pvg+았/ep+으나/ecs
동생	동생/ncn
아시마는	아시마/nq+는/jxc
끝내	끝내/mag
모습을	모습/ncn+을/jco
찾을	찾/pvg+을/etm
길이	길/ncn+이/jcs
없었다	없/paa+었/ep+다/ef
.	./sf
언니는	언니/ncn+는/jxc
심신계곡이	심신/ncn+계곡/ncn+이/jcs
떠나가도록	떠나/pvg+아/ecx+가/px+도록/ecs
동생을	동생/ncn+을/jco
부르며	부르/pvg+며/ecc
발버둥쳤지만	발버둥치/pvg+었/ep+지만/ecs
모두가	모두/ncn+가/jcs
하사였다	하사/ncn+이/jp+었/ep+다/ef
.	./sf
이	이/mmd
같은	같/paa+은/etm
비보를	비보/ncn+를/jco
전해	전하/pvg+어/ecx
듣고	듣/pvg+고/ecx
달려온	달리/pvg+어/ecx+오/px+ㄴ/etm
사니인들이	사니인/nq+들/xsn+이/jcs
다투어	다투/pvg+어/ecs
아시마를	아시마/nq+를/jco
구출해	구출/ncpa+하/xsv+어/ecx
보려고	보/px+려고/ecs
백방으로	백방/ncn+으로/jca
노력했지만	노력/ncpa+하/xsv+었/ep+지만/ecs
함박꽃같이	함박꽃/ncn+같/paa+이/xsa
아름답고	아름답/paa+고/ecc
샘물같이	샘물/ncn+같/paa+이/xsa
맑고	맑/paa+고/ecc
고운	곱/paa+ㄴ/etm
마음씨를	마음/ncn+씨/xsn+를/jco
가진	가지/pvg+ㄴ/etm
미인소녀는	미인/ncn+소녀/ncn+는/jxc
영영	영영/mag
사라지고	사라지/pvg+고/ecc
없었다	없/paa+었/ep+다/ef
.	./sf
이들은	이/npd+들/xsn+은/jxc
암신이	암신/nq+이/jcs
무고한	무고/ncpa+하/xsv+ㄴ/etm
소녀를	소녀/ncn+를/jco
무엇	무엇/npd
때문에	때문/nbn+에/jca
희생시켰는가	희생/ncn+시키/pvg+는/ep+가/ef
하고	하/pvg+고/ecc
압제자와	압제/ncn+자/xsn+와/jcj
암신을	암신/nq+을/jco
끝	끝/ncn
없이	없/paa+이/xsa
원망하며	원망/ncpa+하/xsv+며/ecc
눈물바다를	눈물/ncn+바다/ncn+를/jco
이루었다	이루/pvg+었/ep+다/ef
.	./sf
이	이/npd
광경을	광경/ncn+을/jco
조용히	조용히/mag
지켜본	지키/pvg+어/ecx+보/px+ㄴ/etm
암신은	암신/nq+은/jxc
그제서야	그제서야/mag
아시마를	아시마/nq+를/jco
희생시킨	희생/ncpa+시키/xsv+ㄴ/etm
자신의	자신/ncn+의/jcm
과오를	과오/ncn+를/jco
뉘위친	뉘위치/pvg+ㄴ/etm
나머지	나머지/ncn
이번엔	이번/ncn+에/jca+ㄴ/jxc
자신이	자신/ncn+이/jcs
천신에게	천신/nq+에게/jca
부탁	부탁/ncn
,	,/sp
루주파라가가	루주파라가/nq+가/jcs
있는	있/paa+는/etm
거대한	거대/ncpa+하/xsv+ㄴ/etm
성곽에	성곽/ncn+에/jca
벼락을	벼락/ncn+을/jco
내려달라고	내리/pvg+어/ecx+달라/px+고/ecc
간청했다	간청/ncpa+하/xsv+었/ep+다/ef
.	./sf
천신은	천신/nq+은/jxc
잠시	잠시/mag
후	후/ncn
불기둥같은	불기둥/ncn+같/paa+은/etm
벼락을	벼락/ncn+을/jco
내려	내리/pvg+어/ecs
압제자	압제/ncn+자/xsn
일가족을	일가족/ncn+을/jco
금시	금시/mag
숯덩어리로	숯덩어리/ncn+로/jca
만들어	만들/pvg+어/ecx
버렸다	버리/px+었/ep+다/ef
.	./sf
하지만	하지만/maj
사니인들은	사니인/nq+들/xsn+은/jxc
그것만으로	그것/npd+만/jxc+으로/jca
울분이	울분/ncn+이/jcs
풀리지	풀리/pvg+지/ecx
않았다	않/px+았/ep+다/ef
.	./sf
민족의	민족/ncn+의/jcm
미인으로	미인/ncn+으로/jca
아끼고	아끼/pvg+고/ecc
자랑해	자랑/ncpa+하/xsv+어/ecx
온	오/px+ㄴ/etm
아시마의	아시마/nq+의/jcm
죽음을	죽음/ncn+을/jco
두고두고	두/pvg+고/ecx+두/px+고/ecc
슬퍼하며	슬프/paa+어/ecx+하/px+며/ecc
원통해	원통/ncps+하/xsm+어/ecx
했다	하/px+었/ep+다/ef
.	./sf
지금도	지금/ncn+도/jxc
사니인들은	사니인/nq+들/xsn+은/jxc
매년	매년/ncn
함박꽃이	함박꽃/ncn+이/jcs
필	피/pvg+ㄹ/etm
무렵이	무렵/nbn+이/jcc
되면	되/pvg+면/ecs
12	12/nnc
번째	번째/nbu
계곡에	계곡/ncn+에/jca
제상을	제상/ncn+을/jco
마련	마련/nbn
"	"/sr
아시마	아시마/nq
!	!/sf
아시마	아시마/nq
!"	!/sf+"/sl
를	를/jco
연호하며	연호/ncpa+하/xsv+며/ecc
영혼을	영혼/ncn+을/jco
달래는	달래/pvg+는/etm
엄숙한	엄숙/ncps+하/xsm+ㄴ/etm
의식을	의식/ncn+을/jco
올리고	올리/pvg+고/ecx
있다	있/px+다/ef
.	./sf
그때마다	그/npd+때/ncn+마다/jxc
저멀리	저멀리/mag
유곡에서	유곡/ncn+에서/jca
산올림이	산올림/ncn+이/jcs
되어	되/pvg+어/ecs
아시마가	아시마/nq+가/jcs
달려오며	달리/pvg+어/ecx+오/px+며/ecc
애절한	애절/ncps+하/xsm+ㄴ/etm
목소리로	목소리/ncn+로/jca
대답하듯	대답/ncpa+하/xsv+듯/ecs
귓전을	귓전/ncn+을/jco
찡하게	찡/ncpa+하/xsv+게/ecx
한다는	하/px+ㄴ다/ef+는/etm
것	것/nbn
.	./sf
사니인들은	사니인/nq+들/xsn+은/jxc
아해이와	아해이/nq+와/jcj
아시마	아시마/nq
자매를	자매/ncn+를/jco
설화속의	설화/ncn+속/xsn+의/jcm
주인공이라기보다	주인/ncn+공/xsn+이/jp+라/ef+기/etn+보다/jca
실존했던	실존/ncpa+하/xsv+었/ep+던/etm
옛	옛/mma
자기들의	자기/ncn+들/xsn+의/jcm
위대한	위대/ncps+하/xsm+ㄴ/etm
조상이었다고	조상/ncn+이/jp+었/ep+다/ef+고/jcr
여기고	여기/pvg+고/ecx
있다	있/px+다/ef
.	./sf
사니인들은	사니인/nq+들/xsn+은/jxc
그	그/mmd
영혼이	영혼/ncn+이/jcs
영원히	영원히/mag
죽지	죽/pvg+지/ecx
않고	않/px+고/ecc
구천	구천/ncn
(	(/sl
九天	九天/nq
)	)/sr
에	에/jca
살아	살/pvg+아/ecx
남아	남/pvg+아/ecs
자기민족을	자기/npp+민족/ncn+을/jco
돌봐주는	돌보/pvg+아/ecx+주/px+는/etm
수호신으로	수호/ncn+신/ncn+으로/jca
항상	항상/mag
자기들	자기/npp+들/xsn
주변을	주변/ncn+을/jco
감싸주고	감싸/pvg+아/ecx+주/px+고/ecx
있다고	있/px+다/ef+고/jcr
굳게	굳/pvg+게/ecx
믿고	믿/pvg+고/ecx
있다	있/px+다/ef
.	./sf
그들은	그/npp+들/xsn+은/jxc
평소에도	평소/ncn+에/jca+도/jxc
조그마한	조그마/ncps+하/xsm+ㄴ/etm
우환만	우환/ncn+만/jxc
닥쳐도	닥치/pvg+어도/ecs
계곡으로	계곡/ncn+으로/jca
달려가	달리/pvg+어/ecx+가/px+아/ecs
[	[/sl
아시마	아시마/nq
!]	!/sf+]/sr
를	를/jco
목청껏	목청껏/mag
외치며	외치/pvg+며/ecc
산울림을	산울림/ncn+을/jco
통해	통하/pvg+어/ecs
갖가지	갖가지/ncn
하소연을	하소연/ncn+을/jco
털어	털/pvg+어/ecx
놓으며	놓/px+으며/ecs
대화를	대화/ncn+를/jco
주고	주/pvg+고/ecs
받는다고	받/pvg+는/ep+다/ef+고/ecs
한다	하/px+ㄴ다/ef
.	./sf
민가	민가/ncn
(	(/sl
民歌	民歌/ncn
)	)/sr
157221200 < </sl
화아	화아/ncn
(	(/sl
花兒	花兒/nq
)>	)/sr+>/sr
서민들의	서민/ncn+들/xsn+의/jcm
진솔한	진솔/ncps+하/xsm+ㄴ/etm
삶을	삶/ncn+을/jco
노래한	노래/ncpa+하/xsv+ㄴ/etm
민가의	민가/ncn+의/jcm
역사는	역사/ncn+는/jxc
어쩌면	어쩌면/mag
중국	중국/nq
소수민족의	소수/ncn+민족/ncn+의/jcm
것이	것/nbn+이/jcs
가장	가장/mag
오래	오래/mag
되었을지도	되/pvg+었/ep+을지도/ecs
모른다	모르/pvg+ㄴ다/ef
.	./sf
수	수/ncn
천년	천/nnc+년/nbu
내내	내내/mag
원시	원시/ncn
공동체	공동/ncn+체/xsn
사회를	사회/ncn+를/jco
지속하며	지속/ncpa+하/xsv+며/ecc
농경생활을	농경/ncn+생활/ncn+을/jco
해	하/pvg+어/ecx
오는	오/px+는/etm
가운데	가운데/ncn
어느	어느/mmd
민족보다	민족/ncn+보다/jca
민가를	민가/ncn+를/jco
곧	곧/maj
잘	잘/mag
불러	불/pvg+어/ecx
왔기	오/px+았/ep+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
중국	중국/nq
소수민족이	소수/ncn+민족/ncn+이/jcs
자랑하는	자랑/ncpa+하/xsv+는/etm
민가	민가/ncn
중	중/nbn
황아는	황아/nq+는/jxc
어느	어느/mmd
지방보다	지방/ncn+보다/jca
간쑤성	간쑤성/nq
(	(/sl
甘쑤	甘쑤/nq
)	)/sr
과	과/jcj
닝ㅆ후이	닝ㅆ후이/nq
(	(/sl
夏	夏/nq
)	)/sr
지방에서	지방/ncn+에서/jca
널리	널리/mag
애창되고	애창/ncpa+되/xsv+고/ecx
있다	있/px+다/ef
.	./sf
그중에서도	그/npp+중/xsn+에서/jca+도/jxc
빠오안족	빠오안족/nq
(	(/sl
保安族	保安族/nq
)	)/sr
과	과/jcj
회족	회족/nq
(	(/sl
回族	回族/nq
)	)/sr
등이	등/nbn+이/jcs
부르는	부르/pvg+는/etm
화아가	화아/nq+가/jcs
가장	가장/mag
가창력이	가창/ncn+력/xsn+이/jcs
뛰어나	뛰어나/paa+아/ecs
전국적으로	전국/ncn+적/xsn+으로/jca
유명하다	유명/ncpa+하/xsv+다/ef
.	./sf
즉	즉/mag
화아는	화아/nq+는/jxc
소년이란	소년/ncn+이/jp+란/etm
뜻이며	뜻/ncn+이/jp+며/ecs
일명	일명/ncn
만화아	만화아/nq
(	(/sl
漫花兒	漫花兒/nq
)	)/sr
또는	또는/maj
만소년	만소년/nq
(	(/sl
漫少年	漫少年/nq
)	)/sr
이라고	이/jp+라/ef+고/jcr
하기도	하/pvg+기/etn+도/jxc
한다	하/pvg+ㄴ다/ef
.	./sf
화아란	화아/nq+란/jxc
민가는	민가/ncn+는/jxc
거의가	거의/ncn+가/jcs
산에서	산/ncn+에서/jca
들녘에서	들녘/ncn+에서/jca
남녀노소를	남녀노소/ncn+를/jco
불문하고	불문/ncpa+하/xsv+고/ecc
목축이나	목축/ncn+이나/jcj
농사일에	농사/ncn+일/ncn+에/jca
종사하면서	종사/ncpa+하/xsv+면서/ecc
자신들이	자신/ncn+들/xsn+이/jcs
겪고	겪/pvg+고/ecx
있는	있/px+는/etm
기쁨과	기쁨/ncn+과/jct
슬픔	슬픔/ncn
그리고	그리고/maj
특히	특히/mag
남녀간의	남녀/ncn+간/xsn+의/jcm
사랑에	사랑/ncn+에/jca
얽힌	얽히/pvg+ㄴ/etm
갈등으로	갈등/ncn+으로/jca
넘기기	넘기/pvg+기/etn
어려운	어렵/paa+ㄴ/etm
안타까운	안타깝/paa+ㄴ/etm
마음을	마음/ncn+을/jco
스스로	스스로/mag
달래기	달래/pvg+기/etn
위해	위하/pvg+어/ecs
즉흥적으로	즉흥/ncn+적/xsn+으로/jca
가사를	가사/ncn+를/jco
지어	짓/pvg+어/ecs
노래	노래/ncn
불러온	부르/pvg+어/ecx+오/px+ㄴ/etm
데서	데/nbn+서/jca
유래한다	유래/ncpa+하/xsv+ㄴ다/ef
.	./sf
옛날	옛날/ncn
우리	우리/npp
농촌에서도	농촌/ncn+에서/jca+도/jxc
남의	남/npp+의/jcm
집	집/ncn
머슴들이	머슴/ncn+들/xsn+이/jcs
농사일을	농사/ncn+일/ncn+을/jco
할	하/pvg+ㄹ/etm
때나	때/ncn+나/jcj
산에서	산/ncn+에서/jca
땔감을	땔감/ncn+을/jco
할	하/pvg+ㄹ/etm
때	때/ncn
자신의	자신/ncn+의/jcm
처지를	처지/ncn+를/jco
탄식하는	탄식/ncpa+하/xsv+는/etm
팔자타령조의	팔자/ncn+타령/ncn+조/xsn+의/jcm
노래를	노래/ncn+를/jco
곧잘	곧잘/mag
불러	불/pvg+러/ecs
듣는	듣/pvg+는/etm
이의	이/nbn+의/jcm
마음을	마음/ncn+을/jco
아프게	아프/ncpa+게/jca
했었다	하/pvg+었었/ep+다/ef
.	./sf
구비문학의	구비/ncn+문학/ncn+의/jcm
성격을	성격/ncn+을/jco
띠고	띠/pvg+고/ecx
있는	있/px+는/etm
화아는	화아/nq+는/jxc
약	약/mma
3	3/nnc
천년전부터	천/nnc+년/nbu+전/ncn+부터/jxc
불려져	불리/pvg+어/ecx+지/px+어/ecx
온	오/px+ㄴ/etm
것으로	것/nbn+으로/jca
기록에	기록/ncn+에/jca
남아	남/pvg+아/ecx
있으나	있/px+으나/ecs
간락만	간락/ncn+만/jxc
전해지고	전하/pvg+어/ecx+지/px+고/ecx
있을	있/px+을/etm
뿐	뿐/nbn
완전한	완전/ncpa+하/xsv+ㄴ/etm
문자로	문자/ncn+로/jca
된	되/pvg+ㄴ/etm
가사가	가사/ncn+가/jcs
많지	많/paa+지/ecx
않은	않/px+은/etm
점이	점/ncn+이/jcs
매우	매우/mag
아쉽다	아쉽/paa+다/ef
.	./sf
지금도	지금/ncn+도/jxc
소수민족	소수/ncn+민족/ncn
사회에서	사회/ncn+에서/jca
곧잘	곧잘/mag
부르고	부르/pvg+고/ecx
있는	있/px+는/etm
화아는	화아/nq+는/jxc
거의	거의/mag
모든	모든/mma
가사	가사/ncn
내용이	내용/ncn+이/jcs
무엇보다	무엇/npd+보다/jca
생활의	생활/ncn+의/jcm
터전인	터전/ncn+이/jp+ㄴ/etm
농상에	농상/ncn+에/jca
지장을	지장/ncn+을/jco
안겨주는	안기/pvg+어/ecx+주/px+는/etm
자연의	자연/ncn+의/jcm
악조건을	악/ncn+조건/ncn+을/jco
탄식하는	탄식/ncpa+하/xsv+는/etm
것과	것/nbn+과/jcj
마음속	마음/ncn+속/ncn
깊이	깊/paa+이/xsa
숨겨둔	숨기/pvg+어/ecx+두/px+ㄴ/etm
가족과	가족/ncn+과/jcj
공동체에	공동/ncn+체/xsn+에/jca
대한	대하/pvg+ㄴ/etm
바램과	바램/ncn+과/jcj
비애를	비애/ncn+를/jco
진솔하게	진솔/ncps+하/xsm+게/ecx
표현해	표현/ncpa+하/xsv+어/ecx
가락만	가락/ncn+만/jxc
들어도	들/pvg+어도/ecs
저절로	저절로/mag
눈시울이	눈시울/ncn+이/jcs
뜨거워지기	뜨겁/paa+어/ecx+지/px+기/etn
일쑤다	일쑤/ncn+다/ef
.	./sf
지난날	지나/pvg+ㄴ/etm+날/ncn
우리	우리/npp
