<tdmsfile>

<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 97-kaist_corpus_97_social_pos_ac.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_social97_ac.txt </filename>
<title> 한국어 관계구문의 통사와 의미구조 </title>
<author> 신효필 </author>
<date> 1994 </date>
<publisher>서울대학교  </publisher>
<kdc>TD715.8  </kdc>
<ddc>TD495.75 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>

논제명	논제/ncn+명/ncn
그	그/mmd
담화상의	담화/ncn+상/xsn+의/jcm
기능	기능/ncn
(	(/sl
discourse	discourse/f
function	function/f
)	)/sr
을	을/jco
제시하면서	제시/ncpa+하/xsv+면서/ecs
,	,/sp
이렇게	이렇게/mag
생략된	생략/ncpa+되/xsv+ㄴ/etm
성분들이	성분/ncn+들/xsn+이/jcs
담화	담화/ncn
및	및/maj
통사론적으로	통사/ncn+론/xsn+적/xsn+으로/jca
어떻게	어떻/pad+게/ecs
조응되고	조응/ncpa+되/xsv+고/ecc
복귀될	복귀/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있는지를	있/paa+는지/ecs+를/jxc
논하고	논하/pvg+고/ecx
있다	있/px+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
관점에서	관점/ncn+에서/jca
영조응의	영조응/ncn+의/jcm
개념은	개념/ncn+은/jxc
앞의	앞/ncn+의/jcm
'	'/sl
pro	pro/f
'	'/sr
와	와/jct
비슷한	비슷/ncps+하/xsm+ㄴ/etm
역할을	역할/ncn+을/jco
한다고	하/pvg+ㄴ다/ef+고/ecs
볼	보/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
그러나	그러나/maj
'	'/sl
pro	pro/f
'	'/sr
가	가/jcs
한	한/nnc
문장	문장/ncn
내에서	내/ncn+에서/jca
통사론적으로	통사/ncn+론/xsn+적/xsn+으로/jca
규정지어진	규정/ncn+짓/pvg+어/ecx+지/px+ㄴ/etm
개념이라면	개념/ncn+이/jp+라면/ecs
이	이/mmd
영조응은	영조응/ncn+은/jxc
더	더/mag
포괄적인	포괄/ncn+적/xsn+이/jp+ㄴ/etm
담화차원적	담화/ncn+차원/ncn+적/xsn
개념이라고	개념/ncn+이/jp+라/ef+고/ecs
할	하/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
우선	우선/mag
한국어에서	한국어/nq+에서/jca
생략이	생략/ncn+이/jcs
가능한	가능/ncpa+하/xsv+ㄴ/etm
-	-/sd
특히	특히/mag
주어와	주어/ncn+와/jcj
목적어의	목적어/ncn+의/jcm
경우	경우/ncn
-	-/sd
성분들이	성분/ncn+들/xsn+이/jcs
나타나는	나타나/pvg+는/etm
다음의	다음/ncn+의/jcm
경우를	경우/ncn+를/jco
살펴보자	살피/pvg+어/ecx+보/px+자/ecs
(	(/sl
나영희	나영희/nq
1993	1993/nno
:	:/sp
188	188/nno
-	-/sd
9	9/nno
).	)/sr+./sf
(	(/sl
30	30/nno
)	)/sr
A	A/f
:	:/sp
철수	철수/nq
-	-/sd
가	가/jcs
순희	순희/nq
-	-/sd
를	를/jco
사랑해	사랑/ncpa+하/xsv+어/ef
-	-/sd
요	요/jxf
?	?/sf
B	B/f
:	:/sp
네	네/ii
,	,/sp
[	[/sl
ei	ei/f
ej	ej/f
사랑해	사랑/ncpa+하/xsv+어/ef
-	-/sd
요	요/jxf
]	]/sr
위의	위/ncn+의/jcm
예문에서	예문/ncn+에서/jca
공백은	공백/ncn+은/jxc
명사구나	명사/ncn+구/ncn+나/jcj
동일한	동일/ncpa+하/xsv+ㄴ/etm
지시	지시/ncn
(	(/sl
denotation	denotation/f
)	)/sr
를	를/jco
갖는	갖/pvg+는/etm
대명사로	대명사/ncn+로/jca
대치될	대치/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
(	(/sl
31	31/nno
)	)/sr
a	a/f
.	./sf
네	네/ii
,	,/sp
[	[/sl
철수	철수/nq
-	-/sd
가	가/jcs
순희	순희/nq
-	-/sd
를	를/jco
사랑해	사랑/ncpa+하/xsv+어/ef
-	-/sd
요	요/jxf
]	]/sr
b	b/f
.	./sf
*[	*/sy+[/sl
철수	철수/nq
-	-/sd
는	는/jxc
i	i/f
[	[/sl
순희	순희/nq
-	-/sd
가	가/jcs
그것	그것/npd
-	-/sd
을	을/jco
i	i/f
사랑해	사랑/ncpa+하/xsv+어/ef
-	-/sd
요	요/jxf
]]	]/sr+]/sr
또	또/maj
다음과	다음/ncn+과/jct
같이	같/paa+이/xsa
관계절	관계/ncn+절/ncn
내에서도	내/ncn+에서/jca+도/jxc
그	그/mmd
핵심명사와	핵심/ncn+명사/ncn+와/jcj
공지시되지	공지시/ncn+되/xsv+지/ecx
않는	않/px+는/etm
공백이	공백/ncn+이/jcs
있다	있/paa+다/ef
.	./sf
(	(/sl
32	32/nno
)	)/sr
[	[/sl
ei	ei/f
ej	ej/f
사	사/pvg
-	-/sd
ㄴ	ㄴ/nnc
]	]/sr
집	집/ncn
j	j/f
나영희	나영희/nq
외	외/ncn
(	(/sl
1993	1993/nno
)	)/sr
는	는/jxc
위의	위/ncn+의/jcm
두	두/nnc
공백은	공백/ncn+은/jxc
서로	서로/mag
다른	다르/paa+ㄴ/etm
속성을	속성/ncn+을/jco
지니는데	지니/pvg+는데/ecs
,	,/sp
하나는	하나/nnc+는/jxc
담화	담화/ncn
(	(/sl
discourse	discourse/f
)	)/sr
에서	에서/jca
결속	결속/ncn
(	(/sl
bound	bound/f
)	)/sr
되어야	되/pvg+어야/ecx
하는	하/px+는/etm
것이고	것/nbn+이/jp+고/ecs
,	,/sp
다른	다르/paa+ㄴ/etm
하나는	하나/nnc+는/jxc
그	그/mmd
핵심명사와	핵심/ncn+명사/ncn+와/jcj
결속되는	결속/ncpa+되/xsv+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
여기서	여기/npd+서/jca
담화에서	담화/ncn+에서/jca
결속된다는	결속/ncpa+되/xsv+ㄴ다/ef+는/etm
것에	것/nbn+에/jca
대해서는	대하/pvg+어서/ecs+는/jxc
구체적으로	구체/ncn+적/xsn+으로/jca
언급하지	언급/ncpa+하/xsv+지/ecx
않고	않/px+고/ecs
단지	단지/mag
후자의	후자/ncn+의/jcm
경우만	경우/ncn+만/jxc
논의하고	논의/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
담화에	담화/ncn+에/jca
따라	따르/pvg+아/ecs
결속되는	결속/ncpa+되/xsv+는/etm
한국어의	한국어/nq+의/jcm
생략현상과	생략/ncn+현상/ncn+과/jcj
관련해서	관련/ncpa+하/xsv+어서/ecs
나타나는	나타나/pvg+는/etm
공백이	공백/ncn+이/jcs
관계절에서의	관계/ncn+절/ncn+에서/jca의/jcm
공백과	공백/ncn+과/jcj
관련되는	관련/ncpa+되/xsv+는/etm
경우는	경우/ncn+는/jxc
그	그/mmd
기술에	기술/ncn+에/jca
있어	있/paa+어/ecs
많은	많/paa+은/etm
어려움이	어렵/paa+ㅁ/etn+이/jcs
야기된다	야기/ncpa+되/xsv+ㄴ다/ef
.	./sf
위의	위/ncn+의/jcm
나영희	나영희/nq
외	외/ncn
(	(/sl
1993	1993/nno
)	)/sr
처럼	처럼/jca
문맥에서	문맥/ncn+에서/jca
결속된다고	결속/ncpa+되/xsv+ㄴ다/ef+고/ecs
해도	하/pvg+어도/ecs
적절히	적절히/mag
결속할	결속/ncpa+하/xsv+ㄹ/etm
방법도	방법/ncn+도/jxc
없고	없/paa+고/ecs
또	또/maj
나타나지	나타나/pvg+지/ecx
않은	않/px+은/etm
성분을	성분/ncn+을/jco
임의로	임의/ncn+로/jca
설정할	설정/ncpa+하/xsv+ㄹ/etm
수도	수/nbn+도/jxc
없기	없/paa+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
문제는	문제/ncn+는/jxc
pro	pro/f
를	를/jxc
설정하는	설정/ncpa+하/xsv+는/etm
경우에도	경우/ncn+에/jca+도/jxc
마찬가지이다	마찬가지/ncn+이/jp+다/ef
.	./sf
영조응의	영조응/ncn+의/jcm
관점에서	관점/ncn+에서/jca
보면	보/pvg+면/ecs
위와	위/ncn+와/jct
같은	같/paa+은/etm
문장은	문장/ncn+은/jxc
담화	담화/ncn
내에서	내/ncn+에서/jca
그	그/mmd
적절한	적절/ncps+하/xsm+ㄴ/etm
선행사	선행사/ncn
및	및/maj
가능한	가능/ncpa+하/xsv+ㄴ/etm
대명사를	대명사/ncn+를/jco
찾는	찾/pvg+는/etm
방법이	방법/ncn+이/jcs
모색될	모색/ncpa+되/xsv+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
방법으로는	방법/ncn+으로/jca+는/jxc
Kuno	Kuno/f
(	(/sl
1976	1976/nno
,	,/sp
1977	1977/nno
)	)/sr
의	의/jcm
'	'/sl
공감	공감/ncn
(	(/sl
empathy	empathy/f
)'	)/sr+'/sl
및	및/maj
이와	이/npd+와/jct
관련된	관련/ncpa+되/xsv+ㄴ/etm
관점	관점/ncn
(	(/sl
viewpoint	viewpoint/f
,	,/sp
identification	identification/f
)	)/sr
이나	이나/jcj
Grosz	Grosz/f
and	and/f
Sidner	Sidner/f
(	(/sl
1985	1985/nno
)	)/sr
등의	등/nbn+의/jcm
중심	중심/ncn
(	(/sl
center	center/f
)	)/sr
의	의/jcm
개념	개념/ncn
그리고	그리고/maj
이런	이런/mmd
개념을	개념/ncn+을/jco
실제로	실제/ncn+로/jca
적용한	적용/ncpa+하/xsv+ㄴ/etm
Kameyama	Kameyama/f
(	(/sl
1985	1985/nno
)	)/sr
의	의/jcm
방법이	방법/ncn+이/jcs
있다	있/paa+다/ef
.	./sf
문맥	문맥/ncn
내에서	내/ncn+에서/jca
생략가능한	생략/ncn+가능/ncpa+하/xsv+ㄴ/etm
문장성분의	문장/ncn+성분/ncn+의/jcm
생략이나	생략/ncn+이나/jcj
관계화에	관계/ncn+화/xsn+에/jca
의해	의하/pvg+어/ecs
관계절	관계/ncn+절/ncn
내에	내/ncn+에/jca
생기는	생기/pvg+는/etm
공백	공백/ncn
모두	모두/mag
영조응	영조응/ncn
관점에서	관점/ncn+에서/jca
보면	보/pvg+면/ecs
다	다/mag
회복가능한	회복/ncn+가능/ncpa+하/xsv+ㄴ/etm
요소이다	요소/ncn+이/jp+다/ef
.	./sf
따라서	따라서/maj
이	이/mmd
둘을	둘/nnc+을/jco
포괄적으로	포괄/ncn+적/xsn+으로/jca
기술할	기술/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
영조응의	영조응/ncn+의/jcm
관점이	관점/ncn+이/jcs
바람직하다고	바라/pvg+ㅁ직하/xsm+다/ef+고/ecs
할	하/pvg+ㄹ/etm
수	수/nbn
있으나	있/paa+으나/ecs
이	이/mmd
개념을	개념/ncn+을/jco
통사론적으로	통사/ncn+론/xsn+적/xsn+으로/jca
적절히	적절/ncps+히/xsa
형식화하기란	형식/ncpa+화/xsn+하/xsv+기/etn+란/etm
쉽지	쉽/paa+지/ecx
않다	않/px+다/ef
.	./sf
2	2/nno
.	./sf
2	2/nno
.	./sf
2	2/nno
.	./sf
4	4/nno
.	./sf
SLASH	SLASH/f
와	와/jct
무공백	무/xp+공백/ncn
접근	접근/ncn
관계절	관계/ncn+절/ncn
내에	내/ncn+에/jca
나타나는	나타나/pvg+는/etm
공백의	공백/ncn+의/jcm
문법적	문법/ncn+적/xsn
지위에	지위/ncn+에/jca
관한	관하/pvg+ㄴ/etm
논의에서	논의/ncn+에서/jca
무공백적인	무/xp+공백/ncn+적/xsn+이/jp+ㄴ/etm
접근을	접근/ncn+을/jco
지향하고	지향/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
접근방법은	접근/ncn+방법/ncn+은/jxc
Pollard	Pollard/f
and	and/f
Sag	Sag/f
(	(/sl
1994	1994/nno
)	)/sr
에서	에서/jca
나타난다	나타나/pvg+ㄴ다/ef
.	./sf
Pollard	Pollard/f
and	and/f
Sag	Sag/f
(	(/sl
1994	1994/nno
)	)/sr
에서	에서/jca
는	는/jxc
4	4/nno
장에서	장/nbu+에서/jca
관계절을	관계/ncn+절/ncn+을/jco
설명하면서	설명/ncpa+하/xsv+면서/ecs
GB	GB/f
식의	식/ncn+의/jcm
흔적원리를	흔적/ncn+원리/ncn+를/jco
설정하였으나	설정/ncpa+하/xsv+었/ep+으나/ecs
9	9/nnc
장의	장/nbu+의/jcm
수정부에서	수정/ncn+부/xsn+에서/jca
이	이/mmd
흔적을	흔적/ncn+을/jco
인정하지	인정/ncpa+하/xsv+지/ecx
않는	않/px+는/etm
방법을	방법/ncn+을/jco
취하고	취하/pvg+고/ecx
있다	있/px+다/ef
.	./sf
즉	즉/maj
HPSG	HPSG/f
에서는	에서/nq+는/jxc
공백으로	공백/ncn+으로/jca
나타나는	나타나/pvg+는/etm
흔적이	흔적/ncn+이/jcs
적절히	적절/ncn+히/xsa
지배되어야	지배/ncpa+되/xsv+어야/ecx
하거나	하/px+거나/ecs
흔적으로부터	흔적/ncn+으로/jca+부터/jxc
SLASH	SLASH/f
가	가/jcs
유래하는	유래/ncpa+하/xsv+는/etm
방법을	방법/ncn+을/jco
포기하고	포기/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
더	더/mag
나아가	나아가/pvg+아/ecs
수형도	수형/ncn+도/xsn
절점	절점/ncn
(	(/sl
node	node/f
)	)/sr
에서도	에서/nq+도/jxc
공백이	공백/ncn+이/jcs
나타나지	나타나/pvg+지/ecx
않고	않/px+고/ecs
보충어	보충/ncn+어/xsn
추출규칙	추출/ncn+규칙/ncn
(	(/sl
Complement	Complement/f
Extraction	Extraction/f
Lexical	Lexical/f
Rule	Rule/f
:	:/sp
CELR	CELR/f
)	)/sr
에	에/jca
의해	의하/pvg+어/ecs
공백으로	공백/ncn+으로/jca
나타나는	나타나/pvg+는/etm
요소가	요소/ncn+가/jcs
하위범주화	하위/ncn+범주/ncn+화/xsn
리스트에서	리스트/ncn+에서/jca
빠져나와	빠지/pvg+어/ecx+나오/px+아/ecs
별도의	별도/ncn+의/jcm
INHER	INHER/f
|	|/sy
SLASH	SLASH/f
의	의/jcm
값으로	값/ncn+으로/jca
명세되고	명세/ncpa+되/xsv+고/ecs
수형도를	수형/ncn+도/xsn+를/jco
따라	따르/pvg+아/ecs
계속	계속/mag
올라가면서	오르/pvg+아/ecs+가/pvg+면서/ecs
그	그/mmd
충어를	충어/ncn+를/jco
만나	만나/pvg+아/ecs
결속이	결속/ncn+이/jcs
되는	되/pvg+는/etm
방법을	방법/ncn+을/jco
취하고	취하/pvg+고/ecx
있다	있/px+다/ef
.{{	./sf+{/sl+{/sl
보충어	보충/ncn+어/xsn
추출규칙	추출/ncn+규칙/ncn
(	(/sl
Complement	Complement/f
Extraction	Extraction/f
Rule	Rule/f
)	)/sr
{{{{	{/sl+{/sl+{/sl+{/sl
SUBCAT	SUBCAT/f
10784   <...[    </sl+.../se+[/sl
LOC	LOC/f
]...	]/sr+.../se+>/sr
INHER	INHER/f
|	|/sy
SLASH	SLASH/f
{	{/sl
}	}/sr
}}	}/sr+}/sr
}}	}/sr+}/sr
==	=/sy+=/sy+>/sr
{{{{	{/sl+{/sl+{/sl+{/sl
SUBCAT	SUBCAT/f
10797   <.....    </sl+...../se+>/sr
INHER	INHER/f
|	|/sy
SLASH	SLASH/f
{	{/sl
}	}/sr
}}	}/sr+}/sr
}}	}/sr+}/sr
더	더/mag
자세한	자세/ncps+하/xsm+ㄴ/etm
논의	논의/ncn
및	및/maj
흔적이론을	흔적/ncn+이론/ncn+을/jco
포기하게	포기/ncpa+하/xsv+게/ecx
된	되/px+ㄴ/etm
배경에	배경/ncn+에/jca
대해서는	대하/pvg+어서/ecs+는/jxc
5	5/nno
.	./sf
2	2/nno
.	./sf
참조	참조/ncn
.	./sf
}}	}/sr+}/sr
이	이/mmd
보충어	보충/ncn+어/xsn
추출규칙에	추출/ncn+규칙/ncn+에/jca
의해	의하/pvg+어/ecs
하위범주화	하위/ncn+범주/ncn+화/xsn
값의	값/ncn+의/jcm
성분이	성분/ncn+이/jcs
SLASH	SLASH/f
성분이	성분/ncn+이/jcs
되기	되/pvg+기/etn
때문에	때문/nbn+에/jca
공백이	공백/ncn+이/jcs
나타나는	나타나/pvg+는/etm
구문에서	구문/ncn+에서/jca
하위범주화와	하위/ncn+범주/ncn+화/xsn+와/jct
관련된	관련/ncpa+되/xsv+ㄴ/etm
문제를	문제/ncn+를/jco
야기하지	야기/ncpa+하/xsv+지/ecx
않는다	않/px+는다/ef
.	./sf
본	본/mma
논의에서	논의/ncn+에서/jca
관계절에	관계/ncn+절/ncn+에/jca
나타나는	나타나/pvg+는/etm
공백을	공백/ncn+을/jco
기술할	기술/ncpa+하/xsv+ㄹ/etm
때는	때/ncn+는/jxc
GB	GB/f
관점의	관점/ncn+의/jcm
흔적이나	흔적/ncn+이나/jcj
나영희	나영희/nq
외	외/ncn
(	(/sl
1993	1993/nno
)	)/sr
식의	식/ncn+의/jcm
논항위치의	논항/ncn+위치/ncn+의/jcm
공백개념도	공백/ncn+개념/ncn+도/jxc
아닌	아니/paa+ㄴ/etm
윤재학	윤재학/nq
(	(/sl
1993	1993/nno
)	)/sr
의	의/jcm
pro	pro/f
의	의/jcm
개념도	개념/ncn+도/jxc
아닌	아니/paa+ㄴ/etm
이	이/mmd
HPSG	HPSG/f
의	의/jcm
수정된	수정/ncpa+되/xsv+ㄴ/etm
보충어	보충/ncn+어/xsn
추출규칙에서의	추출/ncn+규칙/ncn+에서/jca+의/jcm
SLASH	SLASH/f
개념을	개념/ncn+을/jco
이용한다	이용/ncpa+하/xsv+ㄴ다/ef
.	./sf
이	이/mmd
추출된	추출/ncpa+되/xsv+ㄴ/etm
SLASH	SLASH/f
의	의/jcm
개념	개념/ncn
은	은/jxc
문법	문법/ncn
내에서	내/ncn+에서/jca
어떤	어떤/mmd
명시적인	명시/ncn+적/xsn+이/jp+ㄴ/etm
공백구조를	공백/ncn+구조/ncn+를/jco
설정하지	설정/ncpa+하/xsv+지/ecx
않는다	않/px+는다/ef
.	./sf
따라서	따라서/maj
이	이/mmd
분석방법은	분석/ncn+방법/ncn+은/jxc
GB	GB/f
에서처럼	에서/jca+처럼/jca
흔적을	흔적/ncn+을/jco
인정하지	인정/ncpa+하/xsv+지/ecx
않는	않/px+는/etm
점에서	점/ncn+에서/jca
차이가	차이/ncn+가/jcs
있고	있/paa+고/ecs
,	,/sp
나영희	나영희/nq
외	외/ncn
(	(/sl
1993	1993/nno
)	)/sr
의	의/jcm
공백의	공백/ncn+의/jcm
개념과는	개념/ncn+과/jct+는/jxc
논항위치에	논항/ncn+위치/ncn+에/jca
제한되지	제한/ncpa+되/xsv+지/ecx
않고	않/px+고/ecs
첨어	첨어/ncn
(	(/sl
adjunct	adjunct/f
)	)/sr
위치에서도	위치/ncn+에서/jca+도/jxc
나타날	나타나/pvg+ㄹ/etm
수	수/nbn
있다는	있/paa+다/ef+는/etm
점에서	점/ncn+에서/jca
차이	차이/ncn
가	가/jcs
있고	있/paa+고/ecs
{{	{/sl+{/sl
실제로	실제로/mag
첨어	첨어/ncn
위치에서는	위치/ncn+에서/jca+는/jxc
첨어	첨어/ncn
추출규칙에	추출/ncn+규칙/ncn+에/jca
의해	의하/pvg+어/ecs
나타난다	나타나/pvg+ㄴ다/ef
.	./sf
자세한	자세/ncps+하/xsm+ㄴ/etm
것은	것/nbn+은/jxc
5	5/nno
장	장/nbu
참조	참조/ncn
.	./sf
}}	}/sr+}/sr
관계절	관계/ncn+절/ncn
내의	내/ncn+의/jcm
공백뿐만	공백/ncn+뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
기타	기타/ncn
다른	다르/paa+ㄴ/etm
영	영/ncn
대명사류도	대명사/ncn+류/xsn+도/jxc
포함하는	포함/ncpa+하/xsv+는/etm
점에서	점/ncn+에서/jca
윤재학	윤재학/nq
(	(/sl
1993	1993/nno
)	)/sr
의	의/jcm
pro	pro/f
와	와/jcj
차이가	차이/ncn+가/jcs
난다	나/pvg+ㄴ다/ef
.	./sf
명시적인	명시/ncn+적/xsn+이/jp+ㄴ/etm
흔적을	흔적/ncn+을/jco
설정하지	설정/ncpa+하/xsv+지/ecx
않고	않/px+고/ecs
하위범주화	하위/ncn+범주/ncn+화/xsn
리스트에서	리스트/ncn+에서/jca
INHER	INHER/f
|	|/sy
SLASH	SLASH/f
의	의/jcm
값으로	값/ncn+으로/jca
그	그/mmd
논항을	논항/ncn+을/jco
빼내는	빼/pvg+어/ecx+내/px+는/etm
방식은	방식/ncn+은/jxc
여러	여러/mma
장점이	장점/ncn+이/jcs
있다	있/paa+다/ef
.	./sf
우선	우선/mag
보충어	보충/ncn+어/xsn
추출규칙이나	추출/ncn+규칙/ncn+이나/jcj
첨어	첨어/ncn
추출규칙	추출/ncn+규칙/ncn
에서	에서/jca
하위범주화	하위/ncn+범주/ncn+화/xsn
틀에서	틀/ncn+에서/jca
관계화되는	관계/ncn+화/xsn+되/xsv+는/etm
논항들이	논항/ncn+들/xsn+이/jcs
SLASH	SLASH/f
로	로/jca
빠져나왔기	빠지/pvg+어/ecx+나오/px+았/ep+기/etn
때문에	때문/nbn+에/jca
통사적인	통사/ncn+적/xsn+이/jp+ㄴ/etm
또는	또는/maj
결합가	결합/ncn+가/xsn
(	(/sl
valency	valency/f
)	)/sr
적인	적/xsn+이/jp+ㄴ/etm
문제에서	문제/ncn+에서/jca
자유롭다	자유/ncps+롭/xsm+다/ef
.	./sf
즉	즉/maj
관계절	관계/ncn+절/ncn
속에	속/ncn+에/jca
공백인	공백/ncn+이/jp+ㄴ/etm
성분이	성분/ncn+이/jcs
논항위치	논항/ncn+위치/ncn
일때	이/jp+ㄹ/etm+때/ncn
이는	이/npd+는/jxc
통사적인	통사/ncn+적/xsn+이/jp+ㄴ/etm
적격성을	적격/ncn+성/xsn+을/jco
유지하기	유지/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
GB	GB/f
이론에서처럼	이론/ncn+에서/jca+처럼/jca
흔적을	흔적/ncn+을/jco
설정하여	설정/ncpa+하/xsv+어/ecs
지배를	지배/ncn+를/jco
받아야	받/pvg+아야/ecx
한다든지	하/px+ㄴ다/ef+든지/jxc
하는	하/pvg+는/etm
문제에서	문제/ncn+에서/jca
자유롭다	자유/ncps+롭/xsm+다/ef
.	./sf
또	또/maj
여기서의	여기/npd+서/jca+의/jcm
SLASH	SLASH/f
의	의/jcm
개념은	개념/ncn+은/jxc
공백이	공백/ncn+이/jcs
없는	없/paa+는/etm
관계문의	관계/ncn+문/xsn+의/jcm
경우에는	경우/ncn+에/jca+는/jxc
설정될	설정/ncpa+되/xsv+ㄹ/etm
필요가	필요/ncn+가/jcs
없으니	없/paa+으니/ecs
윤재학	윤재학/nq
(	(/sl
1993	1993/nno
)	)/sr
의	의/jcm
pro	pro/f
와	와/jct
같은	같/paa+은/etm
기능을	기능/ncn+을/jco
지닐	지니/pvg+ㄹ/etm
수	수/nbn
있고	있/paa+고/ecs
또	또/maj
첨어위치가	첨어/ncn+위치/ncn+가/jcs
관계화되는	관계/ncpa+화/xsn+되/xsv+는/etm
것도	것/nbn+도/jxc
같은	같/paa+은/etm
원리로	원리/ncn+로/jca
기술할	기술/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있어	있/paa+어/ecs
더	더/mag
타당성을	타당/ncn+성/xsn+을/jco
지닌다고	지니/pvg+ㄴ다/ef+고/ecs
할	하/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
한편	한편/maj
이	이/mmd
관계절	관계/ncn+절/ncn
내의	내/ncn+의/jcm
공백과	공백/ncn+과/jcj
그렇지	그렇/pad+지/ecx
않고	않/px+고/ecs
담화	담화/ncn
/	//sp
문맥상	문맥/ncn+상/xsn
생략가능한	생략/ncn+가능/ncpa+하/xsv+ㄴ/etm
성분들의	성분/ncn+들/xsn+의/jcm
공백이	공백/ncn+이/jcs
어떤	어떤/mmd
방법으로	방법/ncn+으로/jca
형식화될	형식/ncn+화/xsn+되/xsv+ㄹ/etm
수	수/nbn
있는지를	있/paa+는지/ecs+를/jxc
살펴보자	살피/pvg+어/ecx+보/px+자/ef
.	./sf
HPSG	HPSG/f
에서는	에서/jca+는/jxc
다음과	다음/ncn+과/jct
같이	같/paa+이/xsa
NON	NON/f
LOCAL	LOCAL/f
값의	값/ncn+의/jcm
내부	내부/ncn
구조를	구조/ncn+를/jco
설정한다	설정/ncpa+하/xsv+ㄴ다/ef
.	./sf
(	(/sl
33	33/nno
)	)/sr
{{{{	{/sl+{/sl+{/sl+{/sl
INHERITED	INHERITED/f
}}{{	}/sr+}/sr+{/sl+{/sl
QUE	QUE/f
(	(/sl
set	set/f
of	of/f
npros	npros/f
)	)/sr
REL	REL/f
(	(/sl
set	set/f
of	of/f
ref	ref/f
indices	indices/f
)	)/sr
SLASH	SLASH/f
(	(/sl
set	set/f
of	of/f
local	local/f
structures	structures/f
)	)/sr
}}{{	}/sr+}/sr+{/sl+{/sl
}}{{	}/sr+}/sr+{/sl+{/sl
}}{{	}/sr+}/sr+{/sl+{/sl
}}{{	}/sr+}/sr+{/sl+{/sl
}}{{	}/sr+}/sr+{/sl+{/sl
TO	TO/f
-	-/sd
BIND	BIND/f
}}{{	}/sr+}/sr+{/sl+{/sl
QUE	QUE/f
(	(/sl
set	set/f
of	of/f
npros	npros/f
)	)/sr
REL	REL/f
(	(/sl
set	set/f
of	of/f
ref	ref/f
indices	indices/f
)	)/sr
SLASH	SLASH/f
(	(/sl
set	set/f
of	of/f
local	local/f
structures	structures/f
)	)/sr
}}{{	}/sr+}/sr+{/sl+{/sl
}}	}/sr+}/sr
}}	}/sr+}/sr
이	이/mmd
비지역	비/xp+지역/ncn
자질은	자질/ncn+은/jxc
처음에는	처음/ncn+에/jca+는/jxc
다음과	다음/ncn+과/jct
같은	같/paa+은/etm
도식	도식/ncn
6	6/nno
인	이/jp+ㄴ/etm
충어	충어/ncn
-	-/sd
머리어	머리/ncn+어/xsn
규칙	규칙/ncn
(	(/sl
Filler	Filler/f
-	-/sd
Head	Head/f
Rule	Rule/f
)	)/sr
으로	으로/jca
표시되었다	표시/ncpa+되/xsv+었/ep+다/ef
.	./sf
(	(/sl
34	34/nno
)	)/sr
X	X/f
--	-->/sy
[	[/sl
LOCAL	LOCAL/f
[	[/sl
1	1/nnc
]],	]/sr+]/sr+,/sp
S	S/f
[	[/sl
fin	fin/f
,	,/sp
INHER	INHER/f
[	[/sl
SLASH	SLASH/f
{[	{/sl+[/sl
1	1/nnc
],...},	]/sr+,/sp+.../se+}/sr+,/sp
TO	TO/f
-	-/sd
BIND	BIND/f
|	|/sy
SLASH	SLASH/f
{[	{/sl+[/sl
1	1/nnc
]}]	]/sr+}/sr+]/sr
FILLER	FILLER/f
HEAD	HEAD/f
이	이/jcs
규칙은	규칙/ncn+은/jxc
충어와	충어/ncn+와/jcj
공백사이의	공백/ncn+사이/ncn+의/jcm
구조공유를	구조/ncn+공유/ncn+를/jco
보장하며	보장/ncpa+하/xsv+며/ecs
비지역	비/xp+지역/ncn
자질원리	자질/ncn+원리/ncn
(	(/sl
Nonlocal	Nonlocal/f
Feature	Feature/f
Principle	Principle/f
)	)/sr
와	와/jct
SLASH	SLASH/f
계승	계승/ncn
원리	원리/ncn
(	(/sl
SLASH	SLASH/f
INHERITANCE	INHERITANCE/f
PRINCIPLE	PRINCIPLE/f
)	)/sr
등의	등/nbn+의/jcm
