<tdmsfile>
<tdmsfile>
Han1.hwp  2차 수정(박현이)
신한국당	신한국당/nq
시장이	시장/ncn+이/jcs
이처럼	이/npd+처럼/jca
호락호락해	호락호락/mag+하/xsm+어/ecs
보이자	보이/pvg+자/ecs
외국	외국/ncn
다국적	다국/ncn+적/xsn
기업들은	기업/ncn+들/xsn+은/jxc
아예	아예/mag
직영화	직영/ncn+화/xsn
직진출에	직진출/ncn+에/jca
나서고	나서/pvg+고/ecx
있다.	있/px+다/ef+./sf
88올림픽으로	88올림픽/nq+으로/jca
터진	터지/pvg+ㄴ/etm
수입장벽이	수입/ncn+장벽/ncn+이/jcs
불과	불과/mag
10년도	10/nnc+년/nbu+도/jxc
못돼서	못/mag+되/pvg+어서/ecs
유통경로까지	유통/ncn+경로/ncn+까지/jxc
완전히	완전/ncn+히/xsa
무너질	무너지/pvg+ㄹ/etm
판이다.	판/ncn+이/jp+다/ef+./sf
지금까지	지금/ncn+까지/jxc
라이선스	라이선스/ncn
계약이나	계약/ncn+이나/jcj
합작	합작/ncn
등	등/nbn
간접투자방식으로	간접/ncn+투자/ncn+방식/ncn+으로/jca
로열티만	로열티/ncn+만/jxc
챙겨가던	챙기/pvg+어/ecs+가/pvg+던/etm
다국적	다국/ncn+적/xsn
기업들이	기업/ncn+들/xsn+이/jcs
독자법인이나	독자/ncn+법인/ncn+이나/jcj
한국지사를	한국/nq+지사/ncn+를/jco
통해	통하/pvg+어/ecs
직접	직접/mag
영업에	영업/ncn+에/jca
나서	나서/pvg+어/ecs
더	더/mag
많은	많/paa+은/etm
수익을	수익/ncn+을/jco
챙겨가기	챙기/pvg+어/ecs+가/pvg+기/etn
시작한	시작/ncpa+하/xsv+ㄴ/etm
것이다.	것/nbn+이/jp+다/ef+./sf
비교적	비교/ncn+적/xsn
일찍	일찍/mag
시장이	시장/ncn+이/jcs
개방돼	개방/ncpa+되/xsv+어/ecs
국내	국내/ncn
주요	주요/ncn
백화점의	백화/ncn+점/xsn+의/jcm
1층	1/nno+층/nbu
매장을	매장/ncn+을/jco
장악하고	장악/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
외국	외국/ncn
화장품회사들이	화장/ncn+품/xsn+회사/ncn+들/xsn+이/jcs
가장	가장/mag
발빠른	발/ncn+빠르/paa+ㄴ/etm
행보를	행보/ncn+를/jco
보이고	보이/pvg+고/ecx
있다.	있/px+다/ef+./sf
세계	세계/ncn
1위의	1/nno+위/nbu+의/jcm
화장품메이커인	화장/ncn+품/xsn+메이커/ncn+이/jp+ㄴ/etm
로레알그룹이	로레알/nq+그룹/ncn+이/jcs
현지법인	현지/ncn+법인/ncn
코벨을	코벨/nq+을/jco
세워	세우/pvg+어/ecs
비오템	비오템/nq
랑콤	랑콤/nq
로레알파리	로레알파리/nq
등	등/nbn
자사	자사/ncn
브랜드를	브랜드/ncn+를/jco
직접	직접/mag
관리하고	관리/ncpa+하/xsv+고/ecx
있고,	있/px+고/ecc+,/sp
93년	93/nno+년/nbu
태평양과	태평양/nq+과/jct
헤어진	헤어지/pvg+ㄴ/etm
크리스찬디오르를	크리스찬디오르/nq+를/jco
비롯해	비롯/ncpa+하/xsv+어/ecs
에스티	nq[에스티/nq
로더와	로더/nq]nq+와/jcj
크리니크(ELCA코리아),	크리니크/nq+(/sl+nq[ELCA/f+코리아/nq]nq+)/sr+,/sp
엘리자베스	nq[엘리자베스/nq
아덴(유니레버코리아)	아덴/nq]nq+(/sl+유니레버코리아/nq+)/sr
등	등/nbn
쟁쟁한	쟁쟁/ncps+하/xsm+ㄴ/etm
상표들이	상표/ncn+들/xsn+이/jcs
독자	독자/ncn
대열을	대열/ncn+을/jco
이루고	이루/pvg+고/ecx
있다.	있/px+다/ef+./sf
샤넬은	샤넬/nq+은/jxc
화장품	화장/ncn+품/xsn
향수	향수/ncn
컬렉션	컬렉션/ncn
등	등/nbn
품목별로	품목/ncn+별/xsn+로/jca
흩어져있던	흩/pvg+어/ecx+지/px+어/ecx+있/px+던/etm
영업망을	영업/ncn+망/ncn+을/jco
통합해	통합/ncpa+하/xsv+어/ecs
단독	단독/ncn
매장을	매장/ncn+을/jco
냈고,	내/pvg+었ep+고/ecc+,/sp
루이비통코리아는	루이비통코리아/nq+는/jxc
샤넬에	샤넬/nq+에/jca
앞서	앞/ncn+서/pvg+어/ecs
독자	독자/ncn
노선을	노선/ncn+을/jco
걸었다.	걷/pvg+었/ep+다/ef+./sf
일본의	일본/nq+의/jcm
가네보도	가네보/nq+도/jxc
조만간	조만간/mag
한국	한국/nq
파트너와	파트너/ncn+와/jct
관계를	관계/ncn+를/jco
청산할	청산/ncpa+하/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
알려졌다.	알리/pvg+어/ecx+지/px+었/ep+다/ef+./sf
패션업계에서도	패션/ncn+업계/ncn+에서/jca+도/jxc
리바이스코리아,	리바이스코리아/nq+,/sp
컬럼비아코리아,	컬럼비아코리아/nq+,/sp
페라가모코리아,	페라가모코리아/nq+,/sp
아디다스코리아,	아디다스코리아/nq+,/sp
나이키스포츠	나이키스포츠/nq
등으로	등/nbn+으로/jca
이름을	이름/ncn+을/jco
바꾼	바꾸/pvg+ㄴ/etm
해외업체들이	해외/ncn+업체/ncn+들/xsn+이/jcs
늘고	늘/pvg+고/ecx
있다.	있/px+다/ef+./sf
초기엔	초기/ncn+에/jca+ㄴ/jxc
한국의	한국/nq+의/jcm
화승과	화승/nq+과/jct
라이센스	라이센스/ncn
계약을	계약/ncn+을/jco
맺었다가	맺/pvg+었/ep+다가/ecs
지분을	지분/ncn+을/jco
늘려	늘리/pvg+어/ecs
80%까지	80/nnc+%/su+까지/jxc
확보한	확보/ncpa+하/xsv+ㄴ/etm
한국리복의	한국리복/nq+의/jcm
예처럼	예/ncn+처럼/jxc
국내	국내/ncn
시장	시장/ncn
반응에	반응/ncn+에/jca
따라	따르/pvg+아/ecs
점진적으로	점진/ncn+적/xsn+으로/jca
직접	직접/mag
투자	투자/ncn
비율을	비율/ncn+을/jco
높이는	높이/pvg+는/etm
업체들도	업체/ncn+들/xsn+도/jxc
많다.	많/paa+다/ef+./sf
패스트푸드업계에서는	패스트푸드/ncn+업계/ncn+에서/jca+는/jxc
코카콜라가	코카콜라/nq+가/jcs
지분	지분/ncn
회수시비로	회수/ncn+시비/ncn+로/jca
법정까지	법정/ncn+까지/jxc
갔고,	가/pvg+았/ep+고/ecc+,/sp
피자헛처럼	피자헛/nq+처럼/jca
일찌감치	일찌감치/mag
합작	합작/ncn
관계를	관계/ncn+를/jco
정리한	정리/ncpa+하/xsv+ㄴ/etm
곳도	곳/ncn+도/jxc
있다.	있/paa+다/ef+./sf
국내	국내/ncn
통신시장이	통신/ncn+시장/ncn+이/jcs
커지면서	커지/pvg+면서/ecs
이	이/mmd
분야에서도	분야/ncn+에서/jca+도/jxc
합작을	합작/ncn+을/jco
청산하고	청산/ncpa+하/xsv+고/ecs
직접	직접/mag
진출로	진출/ncn+로/jca
돌아서는	돌/pvg+아/ecs+서/pvg+는/etm
외국	외국/ncn
기업들이	기업/ncn+들/xsn+이/jcs
적지않다.	적/paa+지/ecx+않/px+다/ef+./sf
합작	합작/ncn
경험을	경험/ncn+을/jco
바탕으로	바탕/ncn+으로/jca
한국	한국/nq
시장을	시장/ncn+을/jco
알만큼	알/pvg+ㄹ/etm+만큼/nbn
안다는	알/pvg+ㄴ다/ef+는/etm
자신감이	자신/ncn+감/xsn+이/jcs
생긴	생기/pvg+ㄴ/etm
것이다.	것/nbn+이/jp+다/ef+./sf
대표적인	대표/ncn+적/xsn+이/jp+ㄴ/etm
기업이	기업/ncn+이/jcs
세계	세계/ncn
통신장비	통신/ncn+장비/ncn
시장을	시장/ncn+을/jco
이끄는	이끌/pvg+는/etm
미국의	미국/nq+의/jcm
통신장비업체	통신/ncn+장비/ncn+업체/ncn
루슨트테크놀로지와	루슨트테크놀로지/nq+와/jcj
스웨덴의	스웨덴/nq+의/jcm
에릭슨이며,	에릭슨/nq+이/jp+며/ecc+,/sp
이밖에	이/npd+밖에/jxc
프랑스의	프랑스/nq+의/jcm
알카텔,	알카텔/nq+,/sp
캐나다의	캐나다/nq+의/jcm
노던텔레콤	노던텔레콤/nq
등	등/nbn
세계	세계/ncn
5위권	5/nno+위/nbu+권/xsn
안팎의	안팎/ncn+의/jcm
기업들도	기업/ncn+들/xsn+도/jxc
최근	최근/ncn
국내	국내/ncn
시장에	시장/ncn+에/jca
직접	직접/mag
진출하고	진출/ncpa+하/xsv+고/ecx
있다.	있/px+다/ef+./sf
루슨트테크놀로지는	루슨트테크놀로지/nq+는/jxc
80년대부터	80/nno+년대/nbu+부터/jxc
금성정보통신(현재	금성정보통신/nq+(/sl+현재/ncn
엘지정보통신)과	엘지정보통신/nq+)/sr+과/jct
합작으로	합작/ncn+으로/jca
국내에서	국내/ncn+에서/jca
교환기를	교환/ncn+기/xsn+를/jco
생산했으나,	생산/ncpa+하/xsv+었/ep+으나/ecs+,/sp
94년	94/nno+년/nbu
합작	합작/ncn
관계를	관계/ncn+를/jco
완전히	완전/ncn+히/xsa
청산하고	청산/ncpa+하/xsv+고/ecs
직접	직접/mag
진출해	진출/ncpa+하/xsv+어/ecs
지난해	지나/pvg+ㄴ/etm+해/ncn
2억달러	2억/nnc+달러/nbu
정도의	정도/ncn+의/jcm
적지않은	적/paa+지/ecx+않/px+은/etm
매출을	매출/ncn+을/jco
올렸다	올리/pvg+었/ep+다/ef
국내	국내/ncn
교환기	교환/ncn+기/xsn
시장은	시장/ncn+은/jxc
삼성전자,	삼성전자/nq+,/sp
엘지정보통신,	엘지정보통신/nq+,/sp
대우통신,	대우통신/nq+,/sp
한화전자정보통신	한화전자정보통신/nq
등	등/nbn
4개	4/nnc+개/nbu
업체가	업체/ncn+가/jcs
이끌었는데,	이끌/pvg+었/ep+는데/ecs+,/sp
루슨트테크놀로지가	루슨트테크놀로지/nq+가/jcs
등장하면서	등장/ncpa+하/xsv+면서/ecs
5개	5/nnc+개/nbu
업체가	업체/ncn+가/jcs
균점하는	균점/ncpa+하/xsv+는/etm
구도로	구도/ncn+로/jca
바뀌었다.	바뀌/pvg+었/ep+다/ef+./sf
에릭슨은	에릭슨/nq+은/jxc
82년	82/nno+년/nbu
국내에	국내/ncn+에/jca
지사를	지사/ncn+를/jco
세우고	세우/pvg+고/ecc
83년	83/nno+년/nbu
동양정밀(현재의	동양정밀/nq+(/sl+현재/ncn+의/jcm
한화전자정보통신)과	한화전자정보통신/nq+)/sr+과/jcj
`오텔코'라는	`/sl+오텔코/nq+'/sr+라/ef+는/etm
통신장비	통신/ncn+장비/ncn
업체를	업체/ncn+를/jco
함께	함께/mag
만들어	만들/pvg+어/ecs
교환기를	교환/ncn+기/xsn+를/jco
국내에서	국내/ncn+에서/jca
생산했으나,	생산/ncpa+하/xsv+었/ep+으나/ecs+,/sp
90년대	90/nno+년대/nbu
초	초/ncn
합작	합작/ncn
관계를	관계/ncn+를/jco
청산하고	청산/ncpa+하/xsv+고/ecc
92년	92/nno+년/nbu
현지법인을	현지/ncn+법인/ncn+을/jco
세우면서	세우/pvg+면서/ecs
직접	직접/mag
진출로	진출/ncn+로/jca
방향을	방향/ncn+을/jco
바꿨다.	바꾸/pvg+었/ep+다/ef+./sf
국제전화용	국제/ncn+전화/ncn+용/xsn
교환기	교환/ncn+기/xsn
분야에서	분야/ncn+에서/jca
루슨트테크놀로지와	루슨트테크놀로지/nq+와/jct
함께	함께/mag
국내	국내/ncn
시장을	시장/ncn+을/jco
나눠먹고	나누/pvg+어/ecx+먹/px+고/ecx
있으며,	있/px+으며/ecc+,/sp
기업용	기업/ncn+용/xsn
무선통신	무선/ncn+통신/ncn
시스템인	시스템/ncn+이/jp+ㄴ/etm
`주파수공용통신'	`/sl+주파/ncn+수/ncn+공용/ncn+통신/ncn+'/sr
장비	장비/ncn
분야에서는	분야/ncn+에서/jca+는/jxc
국내	국내/ncn
시장을	시장/ncn+을/jco
지배하는	지배/ncpa+하/xsv+는/etm
상태다.	상태/ncn+다/ef+./sf
무선데이터통신	무선/ncn+데이터/ncn+통신/ncn
장비	장비/ncn
분야에서도	분야/ncn+에서/jca+도/jxc
국내	국내/ncn
업체에	업체/ncn+에/jca
최근	최근/ncn
납품을	납품/ncn+을/jco
하는	하/pvg+는/etm
등	등/nbn
사업	사업/ncn
본격화하고	본격/ncn+화/xsn+하/xsv+고/ecx
있다.	있/px+다/ef+./sf
자동차	자동/ncn+차/ncn
업계도	업계/ncn+도/jxc
판매부진을	판매/ncn+부진/ncn+을/jco
견디다	견디/pvg+다/ecs
못한	못하/px+ㄴ/etm
수입대행사쪽이	수입/ncn+대행/ncn+사/xsn+쪽/nbn+이/jcs
손을	손/ncn+을/jco
털자	털/pvg+자/ecs
제너럴모터스,	제너럴모터스/nq+,/sp
도요다,	도요다/nq+,/sp
스즈키	스즈키/nq
등	등/nbn
외국업체들이	외국/ncn+업체/ncn+들/xsn+이/jcs
직영화를	직영/ncn+화/xsn+를/jco
서두르고	서두르/pvg+고/ecx
있다.	있/px+다/ef+./sf
외국업체들이	외국/ncn+업체/ncn+들/xsn+이/jcs
이처럼	이/npd+처럼/jca
직영에	직영/ncn+에/jca
나서는	나서/pvg+는/etm
것은	것/nbn+은/jxc
까르띠에처럼	까르띠에/nq+처럼/jca
글로벌메이커	글로벌메이커/ncn
전략에	전략/ncn+에/jca
따라	따르/pvg+아/ecs
전세계	전/mma+세계/ncn
모든	모든/mma
지역에서	지역/ncn+에서/jca
일관된	일관/ncpa+되/xsv+ㄴ/etm
제품	제품/ncn
이미지를	이미지/ncn+를/jco
관리하려는	관리/ncpa+하/xsv+려/ecs+는/etm
의도이거나	의도/ncn+이/jp+거나/ecc
국내	국내/ncn
합작선과의	합작/ncn+선/ncn+과/jct+의/jcm
갈등	갈등/ncn
탓이	탓/ncn+이/jcs
대부분이다.	대부분/ncn+이/jp+다/ef+./sf
어떤	어떤/mmd
경우든	경우/ncn+든/jxc
그들이	그/npp+들/xsn+이/jcs
우리	우리/npp
소비자와	소비/ncn+자/xsn+와/jct
직접	직접/mag
대면을	대면/ncn+을/jco
할	하/pvg+ㄹ/etm
만큼	만큼/nbn
자신감을	자신/ncn+감/xsn+을/jco
갖고	갖/pvg+고/ecx
있다는	있/px+다/ef+는/etm
것은	것/nbn+은/jxc
분명하다.	분명/ncps+하/xsm+다/ef+./sf
프랑스계	프랑스/nq+계/xsn
할인점	할인/ncn+점/xsn
카르푸는	카르푸/nq+는/jxc
매장을	매장/ncn+을/jco
3개를	3/nnc+개/nbu+를/jco
내년	내년/ncn
중	중/nbn
9개로	9/nnc+개/nbu+로/jca
늘릴	늘리/pvg+ㄹ/etm
방침이다.	방침/ncn+이/jp+다/ef+./sf
다국적	다국/ncn+적/xsn
기업	기업/ncn
최고	최고/ncn
경영자들의	경영/ncn+자/xsn+들/xsn+의/jcm
인터뷰	인터뷰/ncn
기사에서	기사/ncn+에서/jca
그들의	그/npp+들/xsn+의/jcm
솔직한	솔직/ncps+하/xsm+ㄴ/etm
대답을	대답/ncn+을/jco
확인할	확인/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다.	있/paa+다/ef+./sf
몇해	몇/mma+해/ncn
전	전/ncn
국내	국내/ncn
운동화업체가	운동화/ncn+업체/ncn+가/jcs
내건	내/pvg+어/ecs+걸/pvg+ㄴ/etm
광고	광고/ncn
카피는	카피/ncn+는/jxc
지금	지금/mag
막강한	막강/ncps+하/xsm+ㄴ/etm
자금력과	자금/ncn+력/xsn+과/jcj
유통	유통/ncn
노하우로	노하우/ncn+로/jca
국내	국내/ncn
시장에	시장/ncn+에/jca
직접	직접/mag
파고	파/pvg+고/ecx
들고	들/px+고/ecx
있는	있/px+는/etm
다국적	다국/ncn+적/xsn
기업들의	기업/ncn+들/xsn+의/jcm
공격에	공격/ncn+에/jca
직면한	직면/ncpa+하/xsv+ㄴ/etm
우리	우리/npp
기업들의	기업/ncn+들/xsn+의/jcm
운명을	운명/ncn+을/jco
예고하고	예고/ncpa+하/xsv+고/ecx
있다.	있/px+다/ef+./sf
그동안	그/mmd+동안/ncn
눈앞의	눈앞/ncn+의/jcm
이익에	이익/ncn+에/jca
급급해	급급/ncps+하/xsm+어/ecs
외국	외국/ncn
완제품을	완제/ncn+품/xsn+을/jco
들여오기에	들이/pvg+어/ecs+오/pvg+기/etn+에/jca
바빴던	바쁘/paa+았/ep+던/etm
국내	국내/ncn
업체들은	업체/ncn+들/xsn+은/jxc
이제	이제/mag
스스로	스스로/mag
개척한	개척/ncpa+하/xsv+ㄴ/etm
유통망까지	유통/ncn+망/ncn+까지/jxc
통째로	통째/ncn+로/jca
내주고	내/pvg+어/ecs+주/pvg+고/ecs
용도폐기될	용도/ncn+폐기/ncpa+되/xsv+ㄹ/etm
처지에	처지/ncn+에/jca
놓여	놓이/pvg+어/ecx
있는	있/px+는/etm
것이	것/nbn+이/jcs
사실이다.	사실/ncn+이/jp+다/ef+./sf
그러나	그러나/maj
끝까지	끝/ncn+까지/jxc
포기하지	포기/ncpa+하/xsv+지/ecx
않고	않/px+고/ecc
정면	정면/ncn
대응한	대응/ncpa+하/xsv+ㄴ/etm
기업들도	기업/ncn+들/xsn+도/jxc
적지	적/paa+지/ecx
않다.	않/px+다/ef+./sf
국제상사의	국제상사/nq+의/jcm
프로스펙스나	프로스펙스/nq+나/jcj
화승의	화승/nq+의/jcm
르까프는	르까프/nq+는/jxc
외국	외국/ncn
브랜드	브랜드/ncn
도입에	도입/ncn+에/jca
연연하지	연연/ncpa+하/xsv+지/ecx
않고	않/px+고/ecc
품질과	품질/ncn+과/jcj
기술력을	기술/ncn+력/xsn+을/jco
키워	키우/pvg+어/ecs
국내	국내/ncn
시장에서	시장/ncn+에서/jca
나이키	나이키/nq
아디다스	아디다스/nq
리복	리복/nq
등	등/nbn
수입품과	수입/ncn+품/xsn+과/jct
대등한	대등/ncps+하/xsm+ㄴ/etm
경쟁을	경쟁/ncn+을/jco
하고	하/pvg+고/ecx
있다.	있/px+다/ef+./sf
리바이스	리바이스/nq
리	리/nq
게스	게스/nq
캘빈클라인	캘빈클라인/nq
등	등/nbn
세계적인	세계/ncn+적/xsn+이/jp+ㄴ/etm
진의	진/ncn+의/jcm
대명사들이	대명사/ncn+들/xsn+이/jcs
유독	유독/mag
한국시장에서는	한국/nq+시장/ncn+에서/jca+는/jxc
활개를	활개/ncn+를/jco
펴지	펴/pvg+지/ecx
못하고	못하/px+고/ecx
있다	있/px+다/ef
10만원	10만/nnc+원/nbu
이상의	이상/ncn+의/jcm
고가전략으로	고가/ncn+전략/ncn+으로/jca
맞대응한	맞대응/ncpa+하/xsv+ㄴ/etm
닉스의	닉스/nq+의/jcm
돌풍에	돌풍/ncn+에/jca
힘입어	힘/ncn+입/pvg+어/ecs
베이직	베이직/nq
스톰	스톰/nq
GV2	nq[GV/f+2/nnc]nq
YAH	YAH/f
등	등/nbn
국산	국산/ncn
제품들이	제품/ncn+들/xsn+이/jcs
우리	우리/npp
젊은이들에	젊은이/ncn+들/xsn+에/jca
맞는	맞/pvg+는/etm
감각으로	감각/ncn+으로/jca
선전을	선전/ncn+을/jco
하고	하/pvg+고/ecx
있다.	있/px+다/ef+./sf
신세대	신/xp+세대/ncn
취향의	취향/ncn+의/jcm
크래커	크래커/ncn
`제크'를	`/sl+제크/nq+'/sr+를/jco
개발해	개발/ncpa+하/xsv+어/ecs
미국	미국/nq
나비스코사의	나비스코사/nq+의/jcm
`리츠'를	`/sl+리츠/nq+'/sr+를/jco
수퍼마켓의	수퍼마켓/ncn+의/jcm
진열대에서	진열/ncn+대/ncn+에서/jca
밀려나게한	밀리/pvg+어/ecx+나/px+게/ecx+하/px+ㄴ/etm
롯데제과의	롯데제과/nq+의/jcm
진검	진검/ncn
승부는	승부/ncn+는/jxc
업계에	업계/ncn+에/jca
좋은	좋/paa+은/etm
자극제가	자극/ncn+제/xsn+가/jcs
되고	되/pvg+고/ecx
있다.	있/px+다/ef+./sf
태평양이	태평양/nq+이/jcs
프랑스의	프랑스/nq+의/jcm
현지공장에서	현지/ncn+공장/ncn+에서/jca
생산해	생산/ncpa+하/xsv+어/ecs
백화점	백화/ncn+점/xsn
전용	전용/ncn
브랜드로	브랜드/ncn+로/jca
키우고	키우/pvg+고/ecx
있는	있/px+는/etm
고기능성	고/xp+기능/ncn+성/xsn
화장품	화장/ncn+품/xsn
`리리코스'의	`/sl+리리코스/nq+'/sr+의/jcm
성공	성공/ncn
사례나,	사례/ncn+나/ecc+,/sp
애경산업이	애경산업/nq+이/jcs
프랑스로부터	프랑스/nq+로/jca+부터/jxc
상표만	상표/ncn+만/jxc
들여와	들이/pvg+어/ecs+오/pvg+아/ecs
만든	만들/pvg+ㄴ/etm
`마리	`/sl+nq[마리/nq
끌레르'	끌레르/nq]nq+'/sr
화장품을	화장/ncn+품/xsn+을/jco
역수출하고	역/xp+수출/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
것은	것/nbn+은/jxc
해외업체들의	해외/ncn+업체/ncn+들/xsn+의/jcm
공세에	공세/ncn+에/jca
우회적인	우회/ncn+적/xsn+이/jp+ㄴ/etm
방법으로	방법/ncn+으로/jca
대응한	대응/ncpa+하/xsv+ㄴ/etm
경우에	경우/ncn+에/jca
속한다.	속하/pvg+ㄴ다/ef+./sf
전문가들은	전문/ncn+가/xsn+들/xsn+은/jxc
글로벌브랜드를	글로벌브랜드/ncn+를/jco
추구하는	추구/ncpa+하/xsv+는/etm
다국적기업들은	다국/ncn+적/xsn+기업/ncn+들/xsn+은/jxc
전세계	전/mma+세계/ncn
어디서나	어디/npd+서/jca+나/jxc
보편적으로	보편/ncn+적/xsn+으로/jca
팔릴	팔리/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
제품을	제품/ncn+을/jco
만들기	만들/pvg+기/etn
때문에	때문/nbn+에/jca
우리	우리/npp
소비자들만의	소비/ncn+자/xsn+들/xsn+만/jxc+의/jcm
욕구를	욕구/ncn+를/jco
채워줄	채우/pvg+어/ecx+주/px+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
허점도	허점/ncn+도/jxc
있다고	있/paa+다/ef+고/jcr
지적한다.	지적/ncpa+하/xsv+ㄴ다/ef+./sf
전세계	전/mma+세계/ncn
텔레비전시장을	텔레비전/ncn+시장/ncn+을/jco
석권하고	석권/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
소니가	소니/nq+가/jcs
한국	한국/nq
소비자들만을	소비/ncn+자/xsn+들/xsn+만/jxc+을/jco
위해	위하/pvg+어/ecs
음성다중	음성/ncn+다중/ncn
제품을	제품/ncn+을/jco
개발하기	개발/ncpa+하/xsv+기/etn
어려운	어렵/paa+ㄴ/etm
것이	것/nbn+이/jcs
전형적인	전형/ncn+적/xsn+이/jp+ㄴ/etm
예이다.	예/ncn+이/jp+다/ef+./sf
김치	김치/ncn
냉장고나	냉장고/ncn+나/jxc
찌든	찌들/pvg+ㄴ/etm
때를	때/ncn+를/jco
제거하는	제거/ncpa+하/xsv+는/etm
세탁기,	세탁/ncn+기/xsn+,/sp
오목한	오목/ncps+하/xsm+ㄴ/etm
그릇까지	그릇/ncn+까지/jxc
씻어주는	씻/pvg+어/ecx+주/px+는/etm
식기세척기	식기/ncn+세척/ncn+기/xsn
등	등/nbn
국산	국산/ncn
가전제품이	가전/ncn+제품/ncn+이/jcs
우리	우리/npp
생활습관에	생활/ncn+습관/ncn+에/jca
맞는	맞/pvg+는/etm
제품으로	제품/ncn+으로/jca
호응을	호응/ncn+을/jco
얻고	얻/pvg+고/ecx
있다.	있/px+다/ef+./sf
요즘	요즘/mag
들어	들/pvg+어/ecs
우리나라	우리/npp+나라/ncn
대부분의	대부분/ncn+의/jcm
기업이	기업/ncn+이/jcs
선진국	선진/ncn+국/xsn
기업들과	기업/ncn+들/xsn+과/jct
같이	같/paa+이/xsa
직원들에게	직원/ncn+들/xsn+에게/jca
연월차를	연월차/ncn+를/jco
강제로	강제/ncn+로/jca
쓰게	쓰/pvg+게/ecx
하고	하/px+고/ecx
있다.	있/px+다/ef+./sf
기업	기업/ncn
사정이	사정/ncn+이/jcs
어려워지자	어렵/paa+어/ecx+지/px+자/ecs
경비	경비/ncn
절감을	절감/ncn+을/jco
꾀해보려는	꾀하/pvg+어/ecx+보/px+려/ecs+는/etm
속사정이	속/ncn+사정/ncn+이/jcs
그	그/mmd
뒤쪽에	뒤/ncn+쪽/nbn+에/jca
깔려	깔리/pvg+어/ecx
있다.	있/px+다/ef+./sf
사실	사실/mag
선진국	선진/ncn+국/xsn
기업들이	기업/ncn+들/xsn+이/jcs
직원들로	직원/ncn+들/xsn+로/jca
하여금	하여금/mag
강제로	강제/ncn+로/jca
휴가를	휴가/ncn+를/jco
가도록	가/pvg+도록/ecs
하는	하/px+는/etm
데에는	데/nbn+에/jca+는/jxc
우리	우리/npp
기업들과는	기업/ncn+들/xsn+과/jct+는/jxc
다른	다르/paa+ㄴ/etm
명백하고도	명백/ncps+하/xsm+고도/ecs
합리적인	합리/ncn+적/xsn+이/jp+ㄴ/etm
이유가	이유/ncn+가/jcs
있다.	있/paa+다/ef+./sf
우선	우선/mag
해당	해당/ncn
직원이	직원/ncn+이/jcs
빠지더라도	빠지/pvg+더라도/ecs
업무가	업무/ncn+가/jcs
잘	잘/mag
돌아가는지	돌/pvg+아/ecx+가/px+는지/ecs
살피는	살피/pvg+는/etm
등	등/nbn
조직	조직/ncn
관리와	관리/ncn+와/jcj
시스템에	시스템/ncn+에/jca
대한	대하/pvg+ㄴ/etm
`건강	`/sl+건강/ncn
검진'을	검진/ncn+'/sr+을/jco
하게	하/pvg+게/ecs
된다.	되/pvg+ㄴ다/ef+./sf
아울러	아울러/mag
상급자는	상급/ncn+자/xsn+는/jxc
담당자가	담당/ncn+자/xsn+가/jcs
없는	없/paa+는/etm
동안에	동안/ncn+에/jca
혹시	혹시/mag
그	그/mmd
자리에	자리/ncn+에/jca
부정부패의	부정/ncn+부패/ncn+의/jcm
요소가	요소/ncn+가/jcs
있었는지를	있/paa+었/ep+는지/ecs+를/jco
점검한다.	점검/ncpa+하/xsv+ㄴ다/ef+./sf
이를	이/npd+를/jco
주요	주요/ncn
자리(포스트)마다	자리/ncn+(/sl+포스트/ncn+)/sr+마다/jxc
행하게	행하/pvg+게/ecs
된다.	되/pvg+ㄴ다/ef+./sf
이러한	이러하/pad+ㄴ/etm
휴가	휴가/ncn
실시가	실시/ncn+가/jcs
직원들에게	직원/ncn+들/xsn+에게/jca
재충전(리프레시)을	재/xp+충전/ncn+(/sl+리프레시/ncn+)/sr+을/jco
위한	위하/pvg+ㄴ/etm
배려일	배려/ncn+이/jp+ㄹ/etm
수도	수/nbn+도/jxc
있다.	있/paa+다/ef+./sf
하지만	하지만/maj
그보다는	그/npd+보다/jca+는/jxc
사전	사전/ncn
예방과	예방/ncn+과/jcj
사후	사후/ncn
검사조처를	검사/ncn+조처/ncn+를/jco
체계적으로	체계/ncn+적/xsn+으로/jca
하는	하/pvg+는/etm
내부통제수단으로서	내부/ncn+통제/ncn+수단/ncn+으로서/jca
용도가	용도/ncn+가/jcs
더	더/mag
크다.	크/paa+다/ef+./sf
조직에	조직/ncn+에/jca
늘	늘/mag
긴장을	긴장/ncn+을/jco
불러일으키고자	부르/pvg+어/ecs+일으키/pvg+고자/ecs
한다.	하/px+ㄴ다/ef+./sf
몇년	몇/mma+년/nbu
전	전/ncn
싱가포르에서	싱가포르/nq+에서/jca
근무하는	근무/ncpa+하/xsv+는/etm
한	한/nnc
실무자가	실무/ncn+자/xsn+가/jcs
환투기를	환투기/ncn+를/jco
잘못하는	잘못/mag+하/xsv+는/etm
바람에	바람/nbn+에/jca
