<tdmsfile>
<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0006.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0006.txt </filename>
<title>허공의 몸을 찾아서 </title>
<author>석지명  </author>
<date>1993  </date>
<publisher>불교시대사  </publisher>
<kdc>223  </kdc>
<ddc>294.38  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
법구경은	법구경/nq+은/jxc
.	./sf
아무	아무/mmd
이익도	이익/ncn+도/jxc
없이	없/paa+이/xsa
무엇	무엇/npd
때문에	때문/nbn+에/jca
비구들에게	비구/ncn+들/xsn+에게/jca
공양을	공양/ncn+을/jco
대접하겠다고	대접/ncpa+하/xsv+겠/ep+다/ef+고/ecs
저	저/mmd
고생을	고생/ncn+을/jco
하는가	하/pvg+는가/ef
.'	./sf+'/sr
이런	이런/mmd
생각을	생각/ncn+을/jco
하며	하/pvg+며/ecs
피식	피식/mag
웃었다	웃/pvg+었/ep+다/ef
.	./sf
남편이	남편/ncn+이/jcs
자기	자기/ncn
본부인을	본/mma+부인/ncn+을/jco
사랑해서	사랑/ncpa+하/xsv+어서/ecs
웃는	웃/pvg+는/etm
것으로	것/nbn+으로/jca
착각한	착각/ncpa+하/xsv+ㄴ/etm
기생은	기생/ncn+은/jxc
강한	강하/paa+ㄴ/etm
질투심이	질투/ncn+심/xsn+이/jcs
생겼다	생기/pvg+었/ep+다/ef
.	./sf
본부인의	본/mma+부인/ncn+의/jcm
머리에	머리/ncn+에/jca
뜨거운	뜨겁/paa+ㄴ/etm
기름을	기름/ncn+을/jco
부으려고	붓/pvg+으려고/ecs
하자	하/pvg+자/ecs
본부인은	본/mma+부인/ncn+은/jxc
기생의	기생/ncn+의/jcm
악심을	악심/ncn+을/jco
알아차렸다	알아차리/pvg+었/ep+다/ef
.	./sf
그러나	그러나/maj
그	그/mmd
기생이	기생/ncn+이/jcs
얼마	얼마/mag
동안	동안/ncn
남편의	남편/ncn+의/jcm
여자가	여자/ncn+가/jcs
되어서	되/pvg+어서/ecs
자신이	자신/ncn+이/jcs
스님네께	스님/ncn+네/xsn+께/jca
공양을	공양/ncn+을/jco
올릴	올리/pvg+ㄹ/etm
수	수/nbn
있었던	있/paa+었/ep+던/etm
것을	것/nbn+을/jco
고맙게	고맙/paa+게/ecs
생각해서	생각/ncpa+하/xsv+어서/ecs
기생에	기생/ncn+에/jca
대한	대하/pvg+ㄴ/etm
자비심으로	자비/ncn+심/xsn+으로/jca
태연하게	태연/ncps+하/xsm+게/ecs
행동했다	행동/ncpa+하/xsv+었/ep+다/ef
,	,/sp
갑자기	갑자기/mag
기생이	기생/ncn+이/jcs
본부인에게	본/mma+부인/ncn+에게/jca
기름을	기름/ncn+을/jco
퍼붓는	퍼붓/pvg+는/etm
것을	것/nbn+을/jco
보고	보/pvg+고/ecc
사람들은	사람/ncn+들/xsn+은/jxc
기생을	기생/ncn+을/jco
두들겨	두들기/pvg+어/ecs
팼다	패/pvg+었/ep+다/ef
.	./sf
본부인은	본/mma+부인/ncn+은/jxc
자신의	자신/ncn+의/jcm
아픔을	아픔/ncn+을/jco
돌보지	돌보/pvg+지/ecx
않고	않/px+고/ecc
사람들을	사람/ncn+들/xsn+을/jco
말려	말리/pvg+어/ecs
기생을	기생/ncn+을/jco
구해	구하/pvg+어/ecx
냈다	내/px+었/ep+다/ef
.	./sf
기생은	기생/ncn+은/jxc
뉘우치고	뉘우치/pvg+고/ecc
부처님께	부처/ncn+님/xsn+께/jca
잘못을	잘못/ncn+을/jco
빌었다	빌/pvg+었/ep+다/ef
.	./sf
사정을	사정/ncn+을/jco
들은	듣/pvg+은/etm
부처님은	부처/ncn+님/xsn+은/jxc
본부인을	본/mma+부인/ncn+을/jco
칭찬하며	칭찬/ncpa+하/xsv+며/ecs
게송을	게송/ncn+을/jco
읊으셨다	읊/pvg+으시/ep+었/ep+다/ef
.	./sf
분노를	분노/ncn+를/jco
정복하는	정복/ncpa+하/xsv+는/etm
것은	것/nbn+은/jxc
겸손과	겸손/ncn+과/jcj
자비	자비/ncn
사악을	사악/ncn+을/jco
정복하는	정복/ncpa+하/xsv+는/etm
것은	것/nbn+은/jxc
선과	선/ncn+과/jcj
지혜	지혜/ncn
인색을	인색/ncn+을/jco
정복하는	정복/ncpa+하/xsv+는/etm
것은	것/nbn+은/jxc
관용과	관용/ncn+과/jcj
베품	베품/ncn
거짓말을	거짓말/ncn+을/jco
정복하는	정복/ncpa+하/xsv+는/etm
것은	것/nbn+은/jxc
진실을	진실/ncn+을/jco
말하는	말/ncpa+하/xsv+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
여기서	여기/npd+서/jca
본부인의	본/mma+부인/ncn+의/jcm
신심이	신심/ncn+이/jcs
돋보인다	돋보이/paa+ㄴ다/ef
.	./sf
기생을	기생/ncn+을/jco
자신의	자신/ncn+의/jcm
자리에	자리/ncn+에/jca
앉혀	앉히/pvg+어/ecx
놓고	놓/px+고/ecc
스님네를	스님/ncn+네/xsn+를/jco
공양할	공양/ncpa+하/xsv+ㄹ/etm
정도라면	정도/ncn+라면/ecs
그	그/mmd
마음은	마음/ncn+은/jxc
중생의	중생/ncn+의/jcm
마음이	마음/ncn+이/jcc
아니고	아니/paa+고/ecc
이미	이미/mag
보살의	보살/ncn+의/jcm
마음이다	마음/ncn+이/jp+다/ef
.	./sf
여기서	여기/npd+서/jca
육바라밀이라는	육바라밀/ncn+이/jp+라는/jcm
말은	말/ncn+은/jxc
보이지	보이/pvg+지/ecx
않는다	않/px+는다/ef
.	./sf
그러나	그러나/maj
보시	보시/ncn
.	./sf
지계	지계/ncn
.	./sf
인욕	인욕/ncn
.	./sf
정진	정진/ncn
.	./sf
선정	선정/ncn
.	./sf
지혜라는	지혜/ncn+라/ef+는/etm
말은	말/ncn+은/jxc
없어도	없/paa+어도/ecs
스님네께	스님/ncn+네/xsn+께/jca
공양하는	공양/ncpa+하/xsv+는/etm
마음	마음/ncn
,	,/sp
자신을	자신/ncn+을/jco
청정하게	청정/ncps+하/xsm+게/ecs
간수하는	간수/ncpa+하/xsv+는/etm
마음	마음/ncn
,	,/sp
기생의	기생/ncn+의/jcm
공격도	공격/ncn+도/jxc
인욕하는	인욕/ncpa+하/xsv+는/etm
마음이	마음/ncn+이/jcs
있다	있/paa+다/ef
.	./sf
본부인은	본/mma+부인/ncn+은/jxc
끊임없이	끊임/ncn+없/paa+이/xsa
노력하고	노력/ncpa+하/xsv+고/ecc
마음을	마음/ncn+을/jco
집중하며	집중/ncpa+하/xsv+며/ecc
일을	일/ncn+을/jco
지혜롭게	지혜/ncn+롭/xsm+게/ecs
처리한다	처리/ncpa+하/xsv+ㄴ다/ef
.	./sf
그	그/mmd
행동	행동/ncn
속에	속/ncn+에/jca
육라바밀은	육라바밀/ncn+은/jxc
그대로	그대로/mag
나타난다	나타나/pvg+ㄴ다/ef
.	./sf
부처님은	부처/ncn+님/xsn+은/jxc
분노	분노/ncn
.	./sf
사악	사악/ncn
.	./sf
인색	인색/ncn
등을	등/nbn+을/jco
정복하는	정복/ncn+하/xsv+는/etm
것이	것/nbn+이/jcs
겸손	겸손/ncn
.	./sf
자비	자비/ncn
.	./sf
선	선/ncn
.	./sf
지혜	지혜/ncn
.	./sf
관용	관용/ncn
.	./sf
베품이라고	베품/ncn+이/jp+라/ef+고/ecs
말한다	말/ncpa+하/xsv+ㄴ다/ef
.	./sf
이해하기	이해/ncpa+하/xsv+기/etn
쉬우면서도	쉽/paa+으면서/ecs+도/jxc
행하기	행하/pvg+기/etn
어려운	어렵/paa+ㄴ/etm
가르침이다	가르침/ncn+이/jp+다/ef
.	./sf
4	4/nno
.	./sf
보시와	보시/ncn+와/jcj
선행	선행/ncn
(	(/sl
법구경	법구경/nq
4	4/nno
)	)/sr
가난은	가난/ncn+은/jxc
언제나	언제나/mag
사실적인	사실/ncn+적/xsn+이/jp+ㄴ/etm
가난이	가난/ncn+이/jcc
아니라	아니/paa+라/ecs
상대적인	상대/ncn+적/xsn+이/jp+ㄴ/etm
가난이다	가난/ncn+이/jp+다/ef
.	./sf
상대적인	상대/ncn+적/xsn+이/jp+ㄴ/etm
가난의	가난/ncn+의/jcm
병은	병/ncn+은/jxc
치료할	치료/ncpa+하/xsv+ㄹ/etm
수도	수/nbn+도/jxc
없다	없/paa+다/ef
.	./sf
게송	게송/ncn
116	116/nno
앞에	앞/ncn+에/jca
죄악을	죄악/ncn+을/jco
짓는	짓/pvg+는/etm
문제에	문제/ncn+에/jca
관한	관하/pvg+ㄴ/etm
인연비유담이	인연/ncn+비유/ncn+담/xsn+이/jcs
시작된다	시작/ncpa+되/xsv+ㄴ다/ef
.	./sf
어떤	어떤/mmd
사람이	사람/ncn+이/jcs
있었는데	있/paa+었/ep+는데/ecs
그는	그/npp+는/jxc
너무	너무/mag
가난해서	가난/ncps+하/xsm+어서/ecs
한	한/nnc
벌의	벌/nbu+의/jcm
옷을	옷/ncn+을/jco
가지고	가지/pvg+고/ecc
부인과	부인/ncn+과/jct
교대로	교대/ncn+로/jca
입어야	입/pvg+어야/ecs
할	하/pvg+ㄹ/etm
정도였다	정도/ncn+이/jp+었/ep+다/ef
.	./sf
어느	어느/mmd
날	날/ncn
부처님의	부처/ncn+님/xsn+의/jcm
법문을	법문/ncn+을/jco
듣고	듣/pvg+고/ecc
환희심에	환희/ncn+심/xsn+에/jca
찬	차/paa+ㄴ/etm
나머지	나머지/ncn
한	한/nnc
벌의	벌/nbu+의/jcm
옷을	옷/ncn+을/jco
보시할까	보시/ncpa+하/xsv+ㄹ까/ef
생각하다가	생각/ncpa+하/xsv+다가/ecs
보시해	보시/ncpa+하/xsv+어/ecx
버리면	버리/px+면/ecs
부부가	부부/ncn+가/jcs
외출할	외출/ncpa+하/xsv+ㄹ/etm
옷이	옷/ncn+이/jcs
없는	없/paa+는/etm
것을	것/nbn+을/jco
생각하고	생각/ncpa+하/xsv+고/ecx
참았다	참/pvg+았/ep+다/ef
.	./sf
두번째에도	두/nno+번째/nbu+에/jca+도/jxc
보시를	보시/ncn+를/jco
생각하다가	생각/ncpa+하/xsv+다가/ecs
또	또/mag
참았다	참/pvg+았/ep+다/ef
.	./sf
세번째에는	세/nno+번째/nbu+에/jca+는/jxc
옷을	옷/ncn+을/jco
벗어서	벗/pvg+어서/ecs
부처님께	부처/ncn+님/xsn+께/jca
보시하고	보시/ncpa+하/xsv+고/ecx
말았다	말/px+았/ep+다/ef
.	./sf
그리고	그리고/maj
큰소리로	크/paa+ㄴ/etm+소리/ncn+로/jca
"	"/sl
내가	내/npp+가/jcs
나를	나/npp+를/jco
이겼다	이기/pvg+었/ep+다/ef
."	./sf+"/sr
고	고/jcr
외쳤다	외치/pvg+었/ep+다/ef
.	./sf
부처님의	부처/ncn+님/xsn+의/jcm
설법장소에는	설법/ncn+장소/ncn+에는/jca
왕도	왕/ncn+도/jxc
참석했는데	참석/ncpa+하/xsv+었/ep+는데/ecs
누가	누/npp+가/jcs
무슨	무슨/mmd
이유로	이유/ncn+로/jca
소리를	소리/ncn+를/jco
지르는지	지르/pvg+는지/ecs
알아보라고	알/pvg+아/ecs+보/pvg+라고/ecs
했다	하/pvg+었/ep+다/ef
.	./sf
사정을	사정/ncn+을/jco
들은	듣/pvg+은/etm
왕은	왕/ncn+은/jxc
그에게	그/npp+에게/jca
큰	크/paa+ㄴ/etm
상을	상/ncn+을/jco
내렸다	내리/pvg+었/ep+다/ef
.	./sf
비구들이	비구/ncn+들/xsn+이/jcs
이	이/mmd
이야기를	이야기/ncn+를/jco
부처님께	부처/ncn+님/xsn+께/jca
사뢰자	사뢰/pvg+자/ecs
부처님은	부처/ncn+님/xsn+은/jxc
비구들에게	비구/ncn+들/xsn+에게/jca
말씀하신다	말씀/ncpa+하/xsv+시/ep+ㄴ다/ef
.	./sf
만약	만약/maj
그	그/mmd
사람이	사람/ncn+이/jcs
보시하겠다고	보시/ncpa+하/xsv+겠/ep+다/ef+고/ecs
생각한	생각/ncpa+하/xsv+ㄴ/etm
처음에	처음/ncn+에/jca
바로	바로/mag
보시를	보시/ncn+를/jco
했다면	하/pvg+었/ep+다면/ecs
더	더/mag
좋았을	좋/paa+았/ep+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
누구든지	누구/npp+든지/jxc
공양을	공양/ncn+을/jco
하려면	하/pvg+려면/ecs
처음	처음/ncn
일어난	일어나/pvg+ㄴ/etm
마음	마음/ncn
그대로	그대로/mag
해야	하/pvg+어야/ecs
하느니라	하/pvg+느니라/ef
.	./sf
다른	다르/paa+ㄴ/etm
착한	착하/paa+ㄴ/etm
일을	일/ncn+을/jco
할	하/pvg+ㄹ/etm
때도	때/ncn+도/jxc
마찬가지니라	마찬가지/ncn+니라/ef
.	./sf
너무	너무/mag
성행을	성행/ncn+을/jco
미루면	미루/pvg+면/ecs
마침내	마침내/mag
생각했던	생각/ncpa+하/xsv+었/ep+던/etm
것을	것/nbn+을/jco
못하는	못하/px+는/etm
수가	수/nbn+가/jcs
많으니라	많/paa+으니라/ef
.	./sf
왜냐하면	왜냐하면/maj
사람의	사람/ncn+의/jcm
마음에는	마음/ncn+에는/jca
착한	착하/paa+ㄴ/etm
일보다는	일/ncn+보다는/jca
악한	악하/paa+ㄴ/etm
일에서	일/ncn+에서/jca
쾌락을	쾌락/ncn+을/jco
느끼기가	느끼/pvg+기/etn+가/jcs
쉽기	쉽/paa+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
부처님은	부처/ncn+님/xsn+은/jxc
이렇게	이렇/pad+게/ecx
말씀하신	말씀/ncpa+하/xsv+시/ep+ㄴ/etm
후	후/ncn
게송을	게송/ncn+을/jco
읊으셨다	읊/pvg+으시/ep+었/ep+다/ef
.	./sf
착한	착하/paa+ㄴ/etm
행위는	행위/ncn+는/jxc
급히	급히/mag
서두르고	서두르/pvg+고/ecc
나쁜	나쁘/paa+ㄴ/etm
행위는	행위/ncn+는/jxc
억제하라	억제/ncpa+하/xsv+라/ef
.	./sf
착한	착하/paa+ㄴ/etm
행위에	행위/ncn+에/jca
느린	느리/paa+ㄴ/etm
마음을	마음/ncn+을/jco
가지면	가지/pvg+면/ecs
나쁜	나쁘/paa+ㄴ/etm
행위에	행위/ncn+에/jca
즐거움을	즐겁/paa+ㅁ/etn+을/jco
느끼기	느끼/pvg+기/etn
쉽나니	쉽/paa+나니/ecs
.	./sf
한	한/nnc
벌의	벌/nbu+의/jcm
옷을	옷/ncn+을/jco
가지고	가지/pvg+고/ecc
부부가	부부/ncn+가/jcs
외출할	외출/ncpa+하/xsv+ㄹ/etm
때마다	때/ncn+마다/jxc
교대로	교대/ncn+로/jca
입는	입/pvg+는/etm
가난한	가난/ncps+하/xsm+ㄴ/etm
형편에	형편/ncn+에/jca
보시한	보시/ncpa+하/xsv+ㄴ/etm
마음을	마음/ncn+을/jco
내기도	내/pvg+기/etn+도/jxc
어려운데	어렵/paa+ㄴ데/ecs
그	그/mmd
사람은	사람/ncn+은/jxc
망설이다	망설이/pvg+다/ecs
보시를	보시/ncn+를/jco
했다	하/pvg+었/ep+다/ef
.	./sf
그	그/mmd
보시의	보시/ncn+의/jcm
공덕으로	공덕/ncn+으로/jca
그는	그/npp+는/jxc
왕으로부터	왕/ncn+으로/jca+부터/jxc
상을	상/ncn+을/jco
받아	받/pvg+아/ecs
모든	모든/mma
경제적인	경제/ncn+적/xsn+이/jp+ㄴ/etm
어려움을	어렵/paa+ㅁ/etn+을/jco
면하게	면하/pvg+게/ecs
되었다	되/pvg+었/ep+다/ef
.	./sf
그러나	그러나/maj
부처님은	부처/ncn+님/xsn+은/jxc
그의	그/npp+의/jcm
가난한	가난/ncps+하/xsm+ㄴ/etm
형편을	형편/ncn+을/jco
다	다/mag
알면서도	알/pvg+면서/ecs+도/jxc
처음	처음/ncn
마음이	마음/ncn+이/jcs
일어났을	일어나/pvg+았/ep+을/etm
때	때/ncn
보시하면	보시/ncpa+하/xsv+면/ecs
더욱	더욱/mag
좋았을	좋/paa+았/ep+을/etm
것이라며	것/nbn+이/jp+라며/ecs
안타까워한다	안타깝/paa+어/ecx+하/px+ㄴ다/ef
.	./sf
그	그/mmd
사람에	사람/ncn+에/jca
비하면	비하/pvg+면/ecs
우리	우리/npp
모두는	모두/ncn+는/jxc
입을	입/pvg+을/etm
옷을	옷/ncn+을/jco
걱정하지	걱정/ncpa+하/xsv+지/ecx
않아도	않/px+아도/ecs
되고	되/pvg+고/ecc
걱정이	걱정/ncn+이/jcs
있다면	있/pvg+다면/ecs
얼마나	얼마나/mag
비싼	비싸/paa+ㄴ/etm
옷을	옷/ncn+을/jco
입고	입/pvg+고/ecx
뽐내느냐에	뽐/ncn+내/pvg+느냐/ef+에/jca
있지	있/paa+지/ecc
,	,/sp
옷이	옷/ncn+이/jcs
없어서	없/paa+어서/ecs
춥다거나	춥다/paa+거나/ecc
속살이	속살/ncn+이/jcs
보이는	보이/pvg+는/etm
것을	것/nbn+을/jco
염려할	염려/ncpa+하/xsv+ㄹ/etm
필요는	필요/ncn+는/jxc
없다	없/paa+다/ef
.	./sf
이	이/mmd
법구경	법구경/nq
에	에/jca
나오는	나오/pvg+는/etm
사람에	사람/ncn+에/jca
비하면	비하/pvg+면/ecs
지금	지금/ncn
우리는	우리/npp+는/jxc
갑부인	갑부/ncn+이/jp+ㄴ/etm
셈이다	셈/nbn+이/jp+다/ef
.	./sf
그럼에도	그럼/maj+에도/jxc
불구하고	불구/ncps+하/xsm+고/ecc
우리의	우리/npp+의/jcm
마음은	마음/ncn+은/jxc
항상	항상/mag
가난하다	가난/ncps+하/xsm+다/ef
.	./sf
더	더/mag
많이	많/paa+이/xsa
가져도	가지/pvg+어도/ecs
그것으로	그것/npd+으로/jca
만족하지	만족/ncpa+하/xsv+지/ecx
못하며	못하/px+며/ecc
더	더/mag
많이	많/paa+이/xsa
가진	가지/pvg+ㄴ/etm
다른	다르/paa+ㄴ/etm
사람과	사람/ncn+과/jct
비교하여	비교/ncpa+하/xsv+어/ecx
나는	나/npp+는/jxc
아직도	아직도/mag
가난하기	가난/ncps+하/xsm+기/etn
때문이라는	때문/nbn+이/jp+라/ef+는/etm
생각에서	생각/ncn+에서/jca
일	이/jp+ㄹ/etm
터이다	터/nbn+이/jp+다/ef
.	./sf
그래서	그래서/maj
우리의	우리/npp+의/jcm
가난은	가난/ncn+은/jxc
사실적인	사실/ncn+적/xsn+이/jp+ㄴ/etm
가난이	가난/ncn+이/jcc
아니라	아니/paa+라/ecs
상대와	상대/ncn+와/jct
비교한	비교/ncpa+하/xsv+ㄴ/etm
상대적인	상대/ncn+적/xsn+이/jp+ㄴ/etm
가난이다	가난/ncn+이/jp+다/ef
.	./sf
이	이/mmd
상대적인	상대/ncn+적/xsn+이/jp+ㄴ/etm
가난에	가난/ncn+에/jca
들린	들리/pvg+ㄴ/etm
병은	병/ncn+은/jxc
치료할	치료/ncpa+하/xsv+ㄹ/etm
수도	수/nbn+도/jxc
없다	없/paa+다/ef
.	./sf
아무리	아무리/mag
많이	많/paa+이/xsa
가지더라도	가지/pvg+더라도/ecs
더	더/mag
많이	많/paa+이/xsa
가진	가지/pvg+ㄴ/etm
사람과	사람/ncn+과/jct
끊임없이	끊임/ncn+없/paa+이/xsa
자기를	자기/ncn+를/jco
비교할	비교/ncpa+하/xsv+ㄹ/etm
것이기	것/nbn+이/jp+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
인간은	인간/ncn+은/jxc
가지고	가지/pvg+고/ecx
싶으면서도	싶/px+으면서/ecs+도/jxc
주고	주/pvg+고/ecx
싶어하는	싶/px+어/ecx+하/px+는/etm
본능이	본능/ncn+이/jcs
있다	있/paa+다/ef
.	./sf
사람이	사람/ncn+이/jcs
많이	많/paa+이/xsa
가지고자	가지/pvg+고자/ecs
하는	하/pvg+는/etm
것은	것/nbn+은/jxc
그것을	그것/npd+을/jco
쓰기	쓰/pvg+기/etn
위해서이다	위하/pvg+어서/ecs+이/jp+다/ef
.	./sf
물질을	물질/ncn+을/jco
쓴다는	쓰/pvg+ㄴ다/ef+는/etm
말은	말/ncn+은/jxc
그것을	그것/npd+을/jco
남에게	남/ncn+에게/jca
준다는	주/pvg+ㄴ다/ef+는/etm
말이	말/ncn+이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
우리는	우리/npp+는/jxc
호텔에서	호텔/ncn+에서/jca
팁을	팁/ncn+을/jco
주고	주/pvg+고/ecx
싶고	싶/px+고/ecc
,	,/sp
부모님께	부모/ncn+님/xsn+께/jca
효도하고	효도/ncpa+하/xsv+고/ecx
싶고	싶/px+고/ecc
,	,/sp
어려운	어렵/paa+ㄴ/etm
이도	이/nbn+도/jxc
돕고	돕/pvg+고/ecx
싶고	싶/px+고/ecc
,	,/sp
불사에	불사/ncn+에/jca
보시도	보시/ncn+도/jxc
하고	하/pvg+고/ecx
싶어	싶/px+어/ecx
한다	하/px+ㄴ다/ef
.	./sf
우리는	우리/npp+는/jxc
인색해야만	인색/ncps+하/xsm+어야/ecs+만/jxc
하도록	하/px+도록/ecs
태어난	태어나/pvg+ㄴ/etm
사람은	사람/ncn+은/jxc
아니다	아니/paa+다/ef
.	./sf
분명히	분명/ncn+히/xsa
보시할	보시/ncpa+하/xsv+ㄹ/etm
마음이	마음/ncn+이/jcs
일어날	일어나/pvg+ㄹ/etm
때가	때/ncn+가/jcs
있다	있/paa+다/ef
.	./sf
내가	내/npp+가/jcs
지금까지	지금/ncn+까지/jxc
귀하게	귀하/paa+게/ecs
여기던	여기/pvg+던/etm
것을	것/nbn+을/jco
누구에게	누구/npp+에게/jca
주고	주/pvg+고/ecx
싶을	싶/px+을/etm
때도	때/ncn+도/jxc
있다	있/paa+다/ef
.	./sf
보람	보람/ncn
있는	있/pvg+는/etm
일을	일/ncn+을/jco
하고	하/pvg+고/ecx
싶은	싶/px+은/etm
때가	때/ncn+가/jcs
있다	있/paa+다/ef
.	./sf
보시하고	보시/ncpa+하/xsv+고/ecx
싶은	싶/px+은/etm
마음이	마음/ncn+이/jcs
일어났을	일어나/pvg+았/ep+을/etm
때는	때/ncn+는/jxc
빨리	빠르/paa+이/xsa
그것을	그것/npd+을/jco
실행해야	실행/ncpa+하/xsv+어야/ecs
한다	하/pvg+ㄴ다/ef
.	./sf
망설이지	망설이/pvg+지/ecx
않아야	않/px+아야/ecs
한다	하/pvg+ㄴ다/ef
.	./sf
보시뿐만	보시/ncn+뿐만/jxc
아니라	아니/paa+라/ecs
모든	모든/mma
선행도	선행/ncn+도/jxc
그러하다	그러하/pad+다/ef
.	./sf
보시와	보시/ncn+와/jcj
선행의	선행/ncn+의/jcm
이야기는	이야기/ncn+는/jxc
계속된다	계속/ncpa+되/xsv+ㄴ다/ef
.	./sf
황금	황금/ncn
5천	5천/nnc
5백만	5백만/nnc
냥을	냥/nbu+을/jco
들여서	들이/pvg+어서/ecs
기원정사를	기원/ncn+정사/ncn+를/jco
부처님께	부처/ncn+님/xsn+께/jca
보시한	보시/ncpa+하/xsv+ㄴ/etm
부호가	부호/ncn+가/jcs
있었다	있/paa+었/ep+다/ef
.	./sf
그는	그/npp+는/jxc
가난한	가난/ncps+하/xsm+ㄴ/etm
이들에게	이/nbn+들/xsn+에게/jca
베푸는	베풀/pvg+는/etm
것을	것/nbn+을/jco
좋아했고	좋아하/paa+었/ep+고/ecc
부처님과	부처/ncn+님/xsn+과/jcj
비구들에게	비구/ncn+들/xsn+에게/jca
공양	공양/ncn
올리는	올리/pvg+는/etm
것	것/nbn
또한	또한/maj
좋아했다	좋아하/paa+었/ep+다/ef
.	./sf
부호는	부호/ncn+는/jxc
한번도	한번/ncn+도/jxc
빈손으로	빈손/ncn+으로/jca
부처님께	부처/ncn+님/xsn+께/jca
가본	가/pvg+아/ecx+보/px+ㄴ/etm
적이	적/nbn+이/jcs
없다	없/paa+다/ef
.	./sf
그런데	그런데/maj
그는	그/npp+는/jxc
계속해서	계속/ncpa+하/xsv+어서/ecs
보시와	보시/ncn+와/jcj
공양을	공양/ncn+을/jco
많이	많/paa+이/xsa
했기	하/pvg+었/ep+기/etn
때문에	때문/nbn+에/jca
마침내	마침내/mag
가난해지고	가난/ncps+하/xsm+어/ecx+지/px+고/ecx
말았다	말/px+았/ep+다/ef
.	./sf
보시할	보시/ncpa+하/xsv+ㄹ/etm
물건이	물건/ncn+이/jcs
없는	없/paa+는/etm
그는	그/npp+는/jxc
수도원에	수도/ncn+원/xsn+에/jca
갈	가/pvg+ㄹ/etm
때	때/ncn
흙을	흙/ncn+을/jco
들고	들/pvg+고/ecs
갔다	가/pvg+았/ep+다/ef
.	./sf
수도원의	수도/ncn+원/xsn+의/jcm
나무에	나무/ncn+에/jca
흙을	흙/ncn+을/jco
쏟아	쏟/pvg+아/ecx
놓기	놓/px+기/etn
위해서이다	위하/pvg+어서/ecs+이/jp+다/ef
.	./sf
그	그/mmd
부호의	부호/ncn+의/jcm
집을	집/ncn+을/jco
지키는	지키/pvg+는/etm
신장은	신장/ncn+은/jxc
안타까운	안타깝/paa+ㄴ/etm
나머지	나머지/ncn
부호에게	부호/ncn+에게/jca
권했다	권하/pvg+었/ep+다/ef
.	./sf
"	"/sl
당신의	당신/npp+의/jcm
장래를	장래/ncn+를/jco
생각해서	생각/ncpa+하/xsv+어서/ecs
보시를	보시/ncn+를/jco
중지하고	중지/ncpa+하/xsv+고/ecc
다시	다시/mag
절약해서	절약/ncpa+하/xsv+어서/ecs
부자가	부자/ncn+가/jcs
되세요	되/pvg+시/ep+어요/ef
."	./sf+"/sr
그	그/mmd
말을	말/ncn+을/jco
들은	듣/pvg+은/etm
부호는	부호/ncn+는/jxc
신장을	신장/ncn+을/jco
혼내고	혼/ncn+내/pvg+고/ecc
쫓아	쫓/pvg+아/ecx
버렸다	버리/px+었/ep+다/ef
.	./sf
쫓겨난	쫓겨나/pvg+ㄴ/etm
신장은	신장/ncn+은/jxc
제석천황	제석천황/ncn
(	(/sl
帝釋天王	帝釋天王/ncn
)	)/sr
에게	에게/jca
가서	가/pvg+서/ecs
그	그/mmd
이야기를	이야기/ncn+를/jco
했다	하/pvg+었/ep+다/ef
.	./sf
제석천왕은	제석천왕/ncn+은/jxc
그	그/mmd
부호가	부호/ncn+가/jcs
다시	다시/mag
많이	많/paa+이/xsa
가지게	가지/pvg+게/ecx
할	하/px+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
수많은	수많/paa+은/etm
방법을	방법/ncn+을/jco
신장에게	신장/ncn+에게/jca
일러주었다	이르/pvg+어/ecx+주/px+었/ep+다/ef
.	./sf
부호가	부호/ncn+가/jcs
남에게	남/ncn+에게/jca
빌려	빌리/pvg+어/ecx
주고	주/px+고/ecc
받지	받/pvg+지/ecx
못한	못하/px+ㄴ/etm
돈을	돈/ncn+을/jco
되찾아오고	되찾/pvg+아/ecs+오/pvg+고/ecc
부호의	부호/ncn+의/jcm
아버지가	아버지/ncn+가/jcs
땅속에	땅속/ncn+에/jca
묻어둔	묻/pvg+어/ecx+두/px+ㄴ/etm
많은	많/paa+은/etm
돈을	돈/ncn+을/jco
꺼내는	꺼내/pvg+는/etm
일이었다	일/ncn+이/jp+었/ep+다/ef
.	./sf
신장은	신장/ncn+은/jxc
그대로	그대로/mag
했다	하/pvg+었/ep+다/ef
.	./sf
다시	다시/mag
재산을	재산/ncn+을/jco
많이	많/paa+이/xsa
갖게	갖/pvg+게/ecs
된	되/pvg+ㄴ/etm
부호는	부호/ncn+는/jxc
고마운	고맙/paa+ㄴ/etm
