<tdmsfile>


모두들	모두/ncn+들/xsn
당나귀에	당나귀/ncn+에/jca
반작용을	반/xp+작용/ncn+을/jco
일으키고	일으키/pvg+고/ecc
그래서	그래서/maj
당나귀는	당나귀/ncn+는/jxc
수레와	수레/ncn+와/jct
함께	함께/mag
앞으로	앞/ncn+으로/jca
나가는거죠	나가/pvg+는/etm+거/nbn+지/ef+요/jxf
.	./sf

그런데	그런데/maj
로켓은	로켓/ncn+은/jxc
어떻게	어떻/pad+게/ecs
해서	하/pvg+어서/ecs
우주	우주/ncn
공간을	공간/ncn+을/jco
날아가지	날/pvg+아/ecs+가/pvg+지/ef
?	?/sf
어느	어느/mmd
곳에도	곳/ncn+에/jca+도/jxc
차고	차/pvg+고/ecc
나갈	나가/pvg+ㄹ/etm
것이	것/nbn+이/jcs
없는데	없/paa+는데/ecs
어째서	어찌하/pad+어서/ecs
우주선은	우주/ncn+선/xsn+은/jxc
날아가지	날/pvg+아/ecs+가/pvg+지/ef
?	?/sf
우주선용	우주/ncn+선/xsn+용/xsn
로켓도	로켓/ncn+도/jxc
작용	작용/ncn
/	//sp
반작용의	반/xp+작용/ncn+의/jcm
법칙을	법칙/ncn+을/jco
이용하고	이용/ncpa+하/xsv+고/ecx
있어요	있/px+어/ef+요/jxf
.	./sf

혹시	혹시/mag
공기총을	공기/ncn+총/ncn+을/jco
쏴본	쏘/pvg+아/ecx+보/px+ㄴ/etm
적이	적/nbn+이/jcs
있어요	있/paa+어/ef+요/jxf
?	?/sf
방아쇠를	방아쇠/ncn+를/jco
당기면	당기/pvg+면/ecs
총알이	총알/ncn+이/jcs
앞으로	앞/ncn+으로/jca
나가죠	나가/pvg+지/ef+요/jxf
.	./sf

높은	높/paa+은/etm
온도로	온도/ncn+로/jca
가열한	가열/ncpa+하/xsv+ㄴ/etm
기체를	기체/ncn+를/jco
분출구를	분출/ncn+구/xsn+를/jco
통해	통하/pvg+어/ecs
강하게	강하/paa+게/ecs
분사하죠	분사/ncpa+하/xsv+지/ef+요/jxf
.	./sf

로켓이	로켓/ncn+이/jcs
만들어진	만들/pvg+어/ecx+지/px+ㄴ/etm
덕분에	덕분/nbn+에/jca
인간은	인간/ncn+은/jxc
우주에	우주/ncn+에/jca
진출해서	진출/ncpa+하/xsv+어서/ecs
달까지도	달/ncn+까지/jxc+도/jxc
갈	가/pvg+ㄹ/etm
수	수/nbn
있었고	있/paa+었/ep+고/ecc
,	,/sp
우주탐사선을	우주/ncn+탐사/ncn+선/xsn+을/jco
화성과	화성/nq+과/jcj
수성	수성/nq
,	,/sp
목성	목성/nq
,	,/sp
금성	금성/nq
그리고	그리고/maj
토성으로도	토성/nq+으로/jca+도/jxc
보낼	보내/pvg+ㄹ/etm
수	수/nbn
있게	있/paa+게/ecx
되었어요	되/pvg+었/ep+어/ef+요/jx
.	./sf

코페르니는	코페르니/nq+는/jxc
아직	아직/mag
얘기할	얘기/ncpa+하/xsv+ㄹ/etm
것이	것/nbn+이/jcs
많으니	많/paa+으니/ecs
조금	조금/mag
쉬라고	쉬/pvg+라/ef+고/jcr
말했다	말/ncpa+하/xsv+었/ep+다/ef
.	./sf

역기를	역기/ncn+를/jco
들어올리게	들/pvg+어/ecs+올리/pvg+게/ecx
하고	하/px+고/ecc
,	,/sp
돌을	돌/ncn+을/jco
높은	높/paa+은/etm
곳에서	곳/ncn+에서/jca
떨어뜨리게	떨어뜨리/pvg+게/ecx
하고	하/px+고/ecc
,	,/sp
또	또/mag
근처에	근처/ncn+에/jca
있는	있/paa+는/etm
돌을	돌/ncn+을/jco
옆으로	옆/ncn+으로/jca
옮기게도	옮기/pvg+게/ecx+도/jxc
했다	하/px+었/ep+다/ef
.	./sf

이런	이런/mmd
것들을	것/nbn+들/xsn+을/jco
통해	통하/pvg+어/ecs
코페르니는	코페르니/nq+는/jxc
자신의	자신/npp+의/jcm
나라에서	나라/ncn+에서/jca
일이라는	일/ncn+이/jp+라/ef+는/etm
용어가	용어/ncn+가/jcs
어떤	어떤/mmd
의미를	의미/ncn+를/jco
갖는지	갖/pvg+는지/ecs
설명해	설명/ncpa+하/xsv+어/ecx
주었던	주/px+었/ep+더/ep+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

예를	예/ncn+를/jco
들어	들/pvg+어/ecs
50	50/nnc
kg	kg/su
의	의/jcm
역기를	역기/ncn+를/jco
지상	지상/ncn
1	1/nnc
m	m/su
높이까지	높이/ncn+까지/jxc
들어올리면	들/pvg+어/ecs+올리/pvg+면/ecs
일종의	일종/ncn+의/jcm
일을	일/ncn+을/jco
한	하/pvg+ㄴ/etm
것이	것/nbn+이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf

그리고	그리고/maj
만약	만약/mag
같은	같/paa+은/etm
역기를	역기/ncn+를/jco
2	2/nnc
m	m/su
높이까지	높이/ncn+까지/jxc
들어올리면	들/pvg+어/ecs+올리/pvg+면/ecs
이전보다	이전/ncn+보다/jca
두	두/nnc
배의	배/nbu+의/jcm
일을	일/ncn+을/jco
한	하/pvg+ㄴ/etm
것이	것/nbn+이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf

마찬가지로	마찬가지/ncn+로/jca
만약	만약/mag
100	100/nnc
kg	kg/su
의	의/jcm
역기를	역기/ncn+를/jco
1	1/nnc
m	m/su
들어올렸다고	들/pvg+어/ecs+올리/pvg+었/ep+다/ef+고/jcr
하면	하/pvg+면/ecs
,	,/sp
역시	역시/mag
첫번째	첫/nno+번째/nbu
일의	일/ncn+의/jcm
두	두/nnc
배	배/nbu
되는	되/pvg+는/etm
일을	일/ncn+을/jco
한	하/pvg+ㄴ/etm
것이	것/nbn+이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf

그러면	그러면/maj
100	100/nnc
kg	kg/su
의	의/jcm
역기를	역기/ncn+를/jco
2	2/nnc
m	m/su
높이까지	높이/ncn+까지/jxc
들어올리면	들/pvg+어/ecs+올리/pvg+면/ecs
어떻게	어떻/pad+게/ecs
될까	되/pvg+ㄹ까/ef
?	?/sf
50	50/nnc
kg	kg/su
짜리	짜리/xsn
역기를	역기/ncn+를/jco
1	1/nnc
m	m/su
들어올릴	들/pvg+어/ecs+올리/pvg+ㄹ/etm
때의	때/ncn+의/jcm
네	네/nnc
배의	배/nbu+의/jcm
일을	일/ncn+을/jco
한	하/pvg+ㄴ/etm
것이	것/nbn+이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf

그러면	그러면/maj
일이라는	일/ncn+이/jp+라/ef+는/etm
것은	것/nbn+은/jxc
사용한	사용/ncpa+하/xsv+ㄴ/etm
힘과	힘/ncn+과/jcj
작용한	작용/ncpa+하/xsv+ㄴ/etm
거리	거리/ncn
,	,/sp
이	이/mmd
두	두/nnc
가지에	가지/nbu+에/jca
의해	의하/pvg+어/ecs
측정되는거야	측정/ncpa+되/xsv+는/etm+거/nbn+야/ef
?	?/sf
바로	바로/mag
그래요	그렇/pad+어/ef+요/jxf
.	./sf

정리해서	정리/ncpa+하/xsv+어서/ecs
말하면	말/ncpa+하/xsv+면/ecs
,	,/sp
일의	일/ncn+의/jcm
크기는	크/paa+기/xsn+는/jxc
사용한	사용/ncpa+하/xsv+ㄴ/etm
힘과	힘/ncn+과/jcj
그	그/mmd
힘이	힘/ncn+이/jcs
작용한	작용/ncpa+하/xsv+ㄴ/etm
거리에	거리/ncn+에/jca
의해	의하/pvg+어/ecs
알	알/pvg+ㄹ/etm
수	수/nbn
있다는거죠	있/paa+다/ef+는/etm+거/nbn+지/ef+요/jxf
mna02.084, 257, 2258, 
.	./sf

그리고	그리고/maj
10	10/nnc
kg	kg/su
짜리를	짜리/xsn+를/jco
10	10/nnc
m	m/su
그만	그만/ii
!	!/sf
그것은	그것/npd+은/jxc
아무리	아무리/mag
말해도	말/ncpa+하/xsv+어도/ecs
끝이	끝/ncn+이/jcs
없어요	없/paa+어/ef+요/jxf
.	./sf

코페르니의	코페르니/nq+의/jcm
설명에	설명/ncn+에/jca
의하면	의하/pvg+면/ecs
,	,/sp
에너지라는	에너지/ncn+라/ef+는/etm
개념은	개념/ncn+은/jxc
무언가	무어/npd+ㄴ가/ef
대단히	대단/ncn+히/xsa
중요하며	중요/ncps+하/xsm+며/ecc
복잡한	복잡/ncps+하/xsm+ㄴ/etm
것	것/nbn
같았다	같/paa+았/ep+다/ef
.	./sf

그리고	그리고/maj
물리의	물리/ncn+의/jcm
나라에서는	나라/ncn+에서/jca+는/jxc
어디에	어디/npd+에/jca
가더라도	가/pvg+더라도/ecs
이	이/mmd
에너지라는	에너지/ncn+라/ef+는/etm
개념과	개념/ncn+과/jct
만난다고	만나/pvg+ㄴ다/ef+고/jcr
한다	하/pvg+ㄴ다/ef
.	./sf

그러나	그러나/maj
여기는	여기/npd+는/jxc
역학평야이므로	역학/ncn+평야/ncn+이/jp+므로/ecs
,	,/sp
코페르니는	코페르니/nq+는/jxc
역학적	역학/ncn+적/xsn
에너지만을	에너지/ncn+만/jxc+을/jco
얘기해	얘기/ncpa+하/xsv+어/ecx
주기로	주/px+기/etn+로/jca
했다	하/pvg+었/ep+다/ef
.	./sf

코페르니는	코페르니/nq+는/jxc
질량과	질량/ncn+과/jcj
속도를	속도/ncn+를/jco
이용해서	이용/ncpa+하/xsv+어서/ecs
계산하는	계산/ncpa+하/xsv+는/etm
방법을	방법/ncn+을/jco
이야기해	이야기/ncpa+하/xsv+어/ecx
주었는데	주/px+었/ep+는데/ecs
,	,/sp
나와	나/npp+와/jcj
아저씨는	아저씨/ncn+는/jxc
알쏭달쏭하기만	알쏭달쏭/mag+하/xsm+기/etn+만/jxc
했다	하/pvg+었/ep+다/ef
.	./sf

어떤	어떤/mmd
물체가	물체/ncn+가/jcs
어떤	어떤/mmd
일을	일/ncn+을/jco
할	하/pvg+ㄹ/etm
능력이	능력/ncn+이/jcs
있는가는	있/paa+는가/ef+는/jxc
에너지에	에너지/ncn+에/jca
의해	의하/pvg+어/ecs
결정돼요	결정/ncpa+되/xsv+어/ef+요/jxf
.	./sf

역학적	역학/ncn+적/xsn
에너지에는	에너지/ncn+에/jca+는/jxc
두	두/nnc
종류가	종류/nbu+가/jcs
있는데	있/paa+는데/ecs
,	,/sp
운동에너지와	운동/ncn+에너지/ncn+와/jcj
위치에너지라고	위치/ncn+에너지/ncn+라/ef+고/jcr
불리는	불리/pvg+는/etm
것들이에요	것/nbn+들/xsn+이/jp+어/ef+요/jxf
.	./sf

코페르니가	코페르니/nq+가/jcs
뭔가를	뭐/npd+ㄴ가/ef+를/jco
보여	보이/pvg+어/ecx
주겠다고	주/px+겠/ep+다/ef+고/jcr
해서	하/pvg+어서/ecs
우리는	우리/npp+는/jxc
안으로	안/ncn+으로/jca
들어갔다	들/pvg+어/ecs+가/pvg+았/ep+다/ef
.	./sf

대장간	대장간/ncn
아저씨는	아저씨/ncn+는/jxc
왼손으로	왼손/ncn+으로/jca
새빨갛게	새빨갛/paa+게/ecs
달궈진	달구/pvg+어/ecx+지/px+ㄴ/etm
쇠를	쇠/ncn+를/jco
집게로	집게/ncn+로/jca
잡고	잡/pvg+고/ecc
오른손에	오른손/ncn+에/jca
든	들/pvg+ㄴ/etm
큰	크/paa+ㄴ/etm
쇠망치로	쇠망치/ncn+로/jca
쇠를	쇠/ncn+를/jco
때리고	때리/pvg+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf

보세요	보/pvg+시/ep+어/ef+요/jxf
!	!/sf
쇠망치가	쇠망치/ncn+가/jcs
움직이면서	움직이/pvg+면서/ecc
쇠에	쇠/ncn+에/jca
부딪치면	부딪치/pvg+면/ecs
쇠가	쇠/ncn+가/jcs
찌그러지죠	찌그러지/pvg+지/ef+요/jxf
.	./sf

다시	다시/mag
말하면	말/ncpa+하/xsv+면/ecs
,	,/sp
움직이는	움직이/pvg+는/etm
쇠망치는	쇠망치/ncn+는/jxc
일을	일/ncn+을/jco
하는	하/pvg+는/etm
능력을	능력/ncn+을/jco
가지고	가지/pvg+고/ecx
있어요	있/px+어/ef+요/jxf
.	./sf

쇠망치가	쇠망치/ncn+가/jcs
빠른	빠르/paa+ㄴ/etm
속도로	속도/ncn+로/jca
쇠에	쇠/ncn+에/jca
부딪치면	부딪치/pvg+면/ecs
부딪칠수록	부딪치/pvg+ㄹ수록/ecs
쇠는	쇠/ncn+는/jxc
더	더/mag
강하게	강하/paa+게/ecs
압축되죠	압축/ncpa+되/xsv+지/ef+요/jxf
.	./sf

대장간	대장간/ncn
아저씨는	아저씨/ncn+는/jxc
큰	크/paa+ㄴ/etm
망치를	망치/ncn+를/jco
내려놓고	내리/pvg+어/ecs+놓/pvg+고/ecc
그것보다	그것/npd+보다/jca
작은	작/paa+은/etm
망치를	망치/ncn+를/jco
집어	집/pvg+어/ecs
다시	다시/mag
쇠를	쇠/ncn+를/jco
치기	치/pvg+기/etn
시작했다	시작/ncpa+하/xsv+었/ep+다/ef
.	./sf

보세요	보/pvg+시/ep+어/ef+요/jxf
!	!/sf
이번에는	이/mmd+번/nbn+에/jca+는/jxc
저번만큼	저/mmd+번/nbn+만큼/jxc
쇠가	쇠/ncn+가/jcs
늘어나거나	늘어나/pvg+거나/ecc
찌그러지지	찌그러지/pvg+지/ecx
않죠	않/px+지/ef+요/jxf
?	?/sf
운동에너지는	운동/ncn+에너지/ncn+는/jxc
움직이고	움직이/pvg+고/ecx
있는	있/px+는/etm
물체의	물체/ncn+의/jcm
중량에도	중량/ncn+에/jca+도/jxc
좌우돼요	좌우/ncpa+되/xsv+어/ef+요/jxf
.	./sf

어디	어디/mag
쇠망치를	쇠망치/ncn+를/jco
들어올려	들/pvg+어/ecs+올리/pvg+어/ecx
볼까요	보/px+ㄹ까/ef+요/jxf
?	?/sf
그렇게	그렇/pad+게/ecs
말하고	말/ncpa+하/xsv+고/ecc
코페르니는	코페르니/nq+는/jxc
쇠망치를	쇠망치/ncn+를/jco
머리	머리/ncn
위까지	위/ncn+까지/jxc
들어올렸다	들/pvg+어/ecs+올리/pvg+었/ep+다/ef
.	./sf

그리고	그리고/maj
물체를	물체/ncn+를/jco
높이	높/paa+이/xsa
올리면	올리/pvg+면/ecs
올릴수록	올리/pvg+ㄹ수록/ecs
그	그/mmd
물체의	물체/ncn+의/jcm
포텐셜	포텐셜/ncn
에너지도	에너지/ncn+도/jxc
커져요	크/paa+어/ecx+지/px+어/ef+요/jxf
.	./sf

그리고	그리고/maj
손을	손/ncn+을/jco
놓으면	놓/pvg+으면/ecs
고도	고도/nq
코페르니가	코페르니/nq+가/jcs
손을	손/ncn+을/jco
놓으니	놓/pvg+으니/ecs
돌이	돌/ncn+이/jcs
날아갔다	날/pvg+아/ecs+가/pvg+았/ep+다/ef
.	./sf

그	그/mmd
예로	예/ncn+로/jca
시계의	시계/ncn+의/jcm
태엽은	태엽/ncn+은/jxc
한	한/nnc
번	번/nbu
감아	감/pvg+아/ecx
놓으면	놓/px+으면/ecs
,	,/sp
포텐셜	포텐셜/ncn
에너지를	에너지/ncn+를/jco
가지고	가지/pvg+고/ecc
하루종일	하루/ncn+종일/ncn
톱니바퀴가	톱니/ncn+바퀴/ncn+가/jcs
시계바늘을	시계/ncn+바늘/ncn+을/jco
돌릴	돌리/pvg+ㄹ/etm
수	수/nbn
있는거죠	있/paa+는/etm+거/nbn+지/ef+요/jxf
.	./sf

그리고	그리고/maj
그것은	그것/npd+은/jxc
역학뿐	역학/ncn+뿐/nbn
아니라	아니/paa+라/ecs
물리학	물리/ncn+학/xsn
전체에서	전체/ncn+에서/jca
가장	가장/mag
중요한	중요/ncps+하/xsm+ㄴ/etm
법칙	법칙/ncn
속에	속/ncn+에/jca
포함된	포함/ncpa+되/xsv+ㄴ/etm
내용이에요	내용/ncn+이/jp+어/ef+요/jxf
.	./sf

이번에는	이/mmd+번/nbn+에/jca+는/jxcc
호주머니	호주머니/ncn
속에서	속/ncn+에서/jca
탁구공을	탁구/ncn+공/ncn+을/jco
꺼내어	꺼내/pvg+어/ecs
대장간	대장간/ncn
콘크리트	콘크리트/ncn
바닥에	바닥/ncn+에/jca
떨어뜨렸다	떨어뜨리/pvg+었/ep+다/ef
.	./sf

그러나	그러나/maj
바닥에	바닥/ncn+에/jca
부딪히면	부딪히/pvg+면/ecs
위로	위/ncn+로/jca
튀어오르고	튀/pvg+어/ecs+오르/pvg+고/ecc
,	,/sp
그래서	그래서/maj
가장	가장/mag
높이	높/paa+이/xsa
왔을	오/pvg+았/ep+을/etm
때	때/ncn
한	한/nnc
순간	순간/ncn
정지하지	정지/ncpa+하/xsv+지/ef
.	./sf

이렇게	이렇/pad+게/ecs
위치에너지는	위치/ncn+에너지/ncn+는/jxc
운동에너지로	운동/ncn+에너지/ncn+로/jca
,	,/sp
그리고	그리고/maj
다시	다시/mag
위치에너지로	위치/ncn+에너지/ncn+로/jca
,	,/sp
그리고	그리고/maj
나서	나/pvg+서/ecs
또	또/mag
로	로/jca
,	,/sp
됐어요	되/pvg+었/ep+어/ef+요/jxf
.	./sf

뭘	뭐/npd+ㄹ/jco
그런	그런/mmd
걸	거/nbn+ㄹ/jco
가지고	가지/pvg+고/ecc
,	,/sp
네가	네/npp+가/jcs
잘	잘/mag
설명해	설명/ncpa+하/xsv+어/ecx
준	주/px+ㄴ/etm
덕이지	덕/ncn+이/jp+지/ef
.	./sf

만약	만약/mag
어느	어느/mmd
물체에	물체/ncn+에/jca
외부에서	외부/ncn+에서/jca
힘이	힘/ncn+이/jcs
가해지지	가하/pvg+어/ecx+지/px+지/ecx
않는다면	않/px+는다/ef+면/ecs
,	,/sp
그	그/mmd
물체의	물체/ncn+의/jcm
역학적	역학/ncn+적/xsn
에너지는	에너지/ncn+는/jxc
일정하다는거예요	일정/ncps+하/xsm+다/ef+는/etm+거/nbn+이/jp+어
일정하다는거예요	/ef+요/jxf
.	./sf

그렇지만	그렇지만/maj
감소하지	감소/ncpa+하/xsv+지/ecx
않는다는	않/px+는다/ef+는/etm
것은	것/nbn+은/jxc
?	?/sf
탁구공의	탁구/ncn+공/ncn+의/jcm
튀는	튀/pvg+는/etm
높이는	높이/ncn+는/jxc
차츰	차츰/mag
낮아지다가	낮/paa+아/ecx+지/px+다가/ecs
마지막에는	마지막/ncn+에/jca+는/jxc
지면	지면/ncn
위에	위/ncn+에/jca
멈춰	멈추/pvg+어/ecx
버리는데	버리/px+는데/ecs
,	,/sp
역학적	역학/ncn+적/xsn
에너지가	에너지/ncn+가/jcs
어딘가로	어디/npd+ㄴ가/ef+로/jca
사라져	사라지/pvg+어/ecx
버린	버리/px+ㄴ/etm
것이	것/nbn+이/jcc
아니니	아니/paa+니/ef
?	?/sf
사라지지	사라지/pvg+지/ecx
않아요	않/px+아/ef+요/jxf
.	./sf

그곳에는	그곳/npd+에/jca+는/jxc
지금까지	지금/nct+까지/jxc
에너지	에너지/ncn
보존	보존/ncn
/	//sp
변환의	변환/ncn+의/jcm
법칙을	법칙/ncn+을/jco
깨뜨리려고	깨뜨리/pvg+려고/ecs
꿈꾸었던	꿈/ncn+꾸/pvg+었/ep+더/ep+ㄴ/etm
사람들이	사람/ncn+들/xsn+이/jcs
만들었던	만들/pvg+었/ep+더/ep+ㄴ/etm
것이	것/nbn+이/jcs
전시되어	전시/ncpa+되/xsv+어/ecx
있어요	있/px+어/ef+요/jxf
.	./sf

입구에서	입구/ncn+에서/jca
산	사/pvg+ㄴ/etm
설명서를	설명/ncn+서/xsn+를/jco
읽어	읽/pvg+어/ecx
보니	보/px+니/ecs
,	,/sp
영구기관을	영구/ncn+기관/ncn+을/jco
의미하는	의미/ncpa+하/xsv+는/etm
mobile	mobile/f
이라는	이/jp+라/ef+는/etm
용어의	용어/ncn+의/jcm
유래와	유래/ncn+와/jcj
전시품들의	전시/ncn+품/xsn+들/xsn+의/jcm
구조에	구조/ncn+에/jca
대한	대하/pvg+ㄴ/etm
설명이	설명/ncn+이/jcs
쓰여	쓰이/pvg+어/ecx
있었다	있/px+었/ep+다/ef
.	./sf

mobile	mobile/f
이라는	이/jp+라/ef+는/etm
말은	말/ncn+은/jxc
원래	원래/mag
프랑스어로	프랑스어/nq+로/jca
문자	문자/ncn
그대로	그대로/mag
해석하면	해석/ncpa+하/xsv+면/ecs
영원히	영원/ncn+히/xsa
움직이는	움직이/pvg+는/etm
기계	기계/ncn
,	,/sp
즉	즉/mag
영구기관이다	영구/ncn+기관/ncn+이/jp+다/ef
.	./sf

그것은	그것/npd+은/jxc
연료도	연료/ncn+도/jxc
,	,/sp
근육의	근육/ncn+의/jcm
힘도	힘/ncn+도/jxc
,	,/sp
바람도	바람/ncn+도/jxc
,	,/sp
물의	물/ncn+의/jcm
흐름도	흐름/ncn+도/jxc
,	,/sp
전기도	전기/ncn+도/jxc
,	,/sp
바꾸어	바꾸/pvg+어/ecs
말하면	말/ncpa+하/xsv+면/ecs
외부에서의	외부/ncn+에서/jca+의/jcm
에너지를	에너지/ncn+를/jco
전혀	전혀/mag
사용하지	사용/ncpa+하/xsv+지/ecx
않고	않/px+고/ecc
쉬지	쉬/pvg+지/ecx
않고	않/px+고/ecc
영원히	영원/ncn+히/xsa
움직이는	움직이/pvg+는/etm
기계를	기계/ncn+를/jco
말한다	말/ncpa+하/xsv+ㄴ다/ef
.	./sf

이제까지	이제/ncn+까지/jxc
많은	많/paa+은/etm
사람들이	사람/ncn+들/xsn+이/jcs
영구기관을	영구/ncn+기관/ncn+을/jco
발명하려는	발명/ncpa+하/xsv+려/ecs+는/etm
꿈을	꿈/ncn+을/jco
꿨고	꾸/pvg+었/ep+고/ecc
그것을	그것/npd+을/jco
실행에	실행/ncn+에/jca
옮겼다	옮기/pvg+었/ep+다/ef
.	./sf

그러나	그러나/maj
피나는	피/ncn+나/pvg+는/etm
노력을	노력/ncn+을/jco
했음에도	하/pvg+었/ep+음/etn+에/jca+도/jxc
불구하고	불구/ncpa+하/xsv+고/ecc
그	그/mmd
누구도	누구/npp+도/jxc
영구기관을	영구/ncn+기관/ncn+을/jco
만드는	만들/pvg+는/etm
데	데/nbn
성공하지	성공/ncpa+하/xsv+지/ecx
못했다	못하/px+었/ep+다/ef
.	./sf

따라서	따라서/maj
오른쪽	오른쪽/ncn
반이	반/ncn+이/jcs
왼쪽	왼쪽/ncn
반을	반/ncn+을/jco
당기므로	당기/pvg+므로/ecs
바퀴는	바퀴/ncn+는/jxc
회전할	회전/ncpa+하/xsv+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

물이	물/ncn+이/jcs
바퀴를	바퀴/ncn+를/jco
돌리면	돌리/pvg+면/ecs
스크루가	스크루/ncn+가/jcs
움직여	움직이/pvg+어/ecs
물은	물/ncn+은/jxc
다시	다시/mag
위로	위/ncn+로/jca
올라간다	오르/pvg+아/ecs+가/pvg+ㄴ다/ef
.	./sf

그러나	그러나/maj
기계부품	기계/ncn+부품/nc
사이의	사이/ncn+의/jcm
마찰	마찰/ncn
때문에	때문/nbn+에/jca
위로	위/ncn+로/jca
올라가는	오르/pvg+아/ecs+가/pvg+는/etm
물의	물/ncn+의/jcm
양은	양/ncn+은/jxc
차츰	차츰/mag
줄어들어	줄/pvg+어/ecx+들/px+어/ecs
잠시	잠시/mag
후엔	후/ncn+에/jca+ㄴ/jxc
바퀴가	바퀴/ncn+가/jcs
멈춰버린다	멈추/pvg+어/ecx+버리/px+ㄴ다/ef
.	./sf

다만	다만/mag
물이	물/ncn+이/jcs
등심초	등심초/ncn
(	(/sl
줄기로	줄기/ncn+로/jca
바구니	바구니/ncn
,	,/sp
등잔	등잔/ncn
심지	심지/ncn
등을	등/nbn+을/jco
만드는	만들/pvg+는/etm
식물	식물/ncn
-	-/sd
역자	역자/ncn
주	주/ncn
)	)/sr
의	의/jcm
모세관을	모세관/ncn+을/jco
올라가도록	오르/pvg+아/ecs+가/pvg+도록/ecs
되어	되/pvg+어/ecx
있다	있/px+다/ef
.	./sf

확실히	확실/ncn+히/xsa
물은	물/ncn+은/jxc
등심초의	등심초/ncn+의/jcm
모세관을	모세관/ncn+을/jco
따라	따르/pvg+아/ecs
위로	위/ncn+로/jca
올라가지만	오르/pvg+아/ecs+가/pvg+지만/ecs
관에	관/ncn+에/jca
그대로	그대로/mag
있을	있/paa+을/etm
뿐	뿐/nbn
한	한/nnc
방울도	방울/nbu+도/jxc
떨어지지	떨어지/pvg+지/ecx
않는다	않/px+는다/ef
.	./sf

예를	예/ncn+를/jco
들어	들/pvg+어/ecs
에너지	에너지/ncn
보존	보존/ncn
/	//sp
변환의	변환/ncn+의/jcm
법칙을	법칙/ncn+을/jco
어기지	어기/pvg+지/ecx
않고	않/px+고/ecc
이용하는	이용/ncpa+하/xsv+는/etm
도구들이	도구/ncn+들/xsn+이/jcs
많이	많/paa+이/xsa
있어요	있/paa+어/ef+요/jxf
.	./sf

복잡한	복잡/ncps+하/xsm+ㄴ/etm
기계도	기계/ncn+도/jxc
간단한	간단/ncps+하/xsm+ㄴ/etm
구조로	구조/ncn+로/jca
되어	되/pvg+어/ecx
있다	있/px+다/ef
지레	지레/ncn
,	,/sp
빗면을	빗면/ncn+을/jco
만들어주는	만들/pvg+어/ecx+주/px+는/etm
판	판/ncn
,	,/sp
또	또/mag
여러	여러/mma
종류의	종류/ncn+의/jcm
윈치	윈치/ncn
(	(/sl
밧줄이나	밧줄/ncn+이나/jcj
쇠사슬을	쇠사슬/ncn+을/jco
원통형의	원통/ncn+형/xsn+의/jcm
동체에	동체/ncn+에/jca
감아	감/pvg+아/ecs
무거운	무겁/paa+ㄴ/etm
물건을	물건/ncn+을/jco
싣고	싣/pvg+고/ecc
내리는	내리/pvg+는/etm
기계	기계/nc
-	-/sd
역자	역자/ncn
주	주/ncn
)	)/sr
같은	같/paa+은/etm
것들이죠	것/nbn+들/xsn+이/jp+지/ef+요/jxf
.	./sf

그런	그런/mmd
도구들은	도구/ncn+들/xsn+은/jxc
전시품으로	전시/ncn+품/xsn+으로/jca
장식되어	장식/ncpa+되/xsv+어/ecx
있는	있/px+는/etm
게	거/nbn+이/jcc
아니라	아니/paa+라/ecs
지금	지금/mag
우리들이	우리/npp+들/xsn+이/jcs
사용하는	사용/ncpa+하/xsv+는/etm
것들이에요	것/nbn+들/xsn+이/jp+어/ef+요/jxf
.	./sf

그들은	그/npp+들/xsn+은/jxc
두	두/nnc
개의	개/nbu+의/jcm
통나무를	통나무/ncn+를/jco
트럭	트럭/ncn
적재함에	적재/ncn+함/ncn+에/jca
걸쳐	걸치/pvg+어/ecs
놓고	놓/pvg+고/ecc
,	,/sp
그	그/mmd
통나무를	통나무/ncn+를/jco
따라	따르/pvg+아/ecx
드럼통을	드럼통/ncn+을/jco
굴려	굴리/pvg+어/ecs
적재함에	적재/ncn+함/ncn+에/jca
올리고	올리/pvg+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf

그렇게	그렇/pad+게/ecs
하면	하/pvg+면/ecs
일의	일/ncn+의/jcm
양이	양/ncn+이/jcs
적어지니	적/paa+어/ecx+지/px+니/ef
?	?/sf
아니	아니/ii
,	,/sp
그렇지는	그렇/pad+지/ecx+는/jxc
않아요	않/px+아/ef+요/jxf
.	./sf

그러나	그러나/maj
경사면	경사/ncn+면/ncn
,	,/sp
즉	즉/mag
빗면을	빗면/ncn+을/jco
이용하면	이용/ncpa+하/xsv+면/ecs
드럼통을	드럼통/ncn+을/jco
3	3/nnc
m	m/su
운반해야	운반/ncpa+하/xsv+어야/ecs
하는	하/pvg+는/etm
대신	대신/mag
100	100/nnc
kg	kg/su
의	의/jcm
힘만으로도	힘/ncn+만/jxc+으로/jca+도/jxc
충분하답니다	충분/ncps+하/xsm+답니다/ef
.	./sf

