<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0401.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0401.txt </filename>
<title>그림 속으로 여행하는 상대성이론  </title>
<author>루이스 엡스타인 저 ; 박성근 역  </author>
<date>1993  </date>
<publisher>에드덱  </publisher>
<kdc>420.12  </kdc>
<ddc> 530.11 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
갈릴레오의	갈릴레오/nq+의/jcm
회절	회절/ncpa
,	,/sp
굴절	굴절/ncpa
등이	등/nbn+이/jcs
정량적으로	정량/ncn+적/xsn+으로/jca
설명이	설명/ncpa+이/jcs
가능했다	가능/ncps+하/xsm+었/ep+다/ef
.	./sf
위기에	위기/ncn+에/jca
처한	처하/pvg+ㄴ/etm
갈릴레오의	갈릴레오/nq+의/jcm
주장	주장/ncpa
에테르의	에테르/ncn+의/jcm
개념은	개념/ncn+은/jxc
물리세계에	물리/ncn+세계/ncn+에/jca
새로운	새롭/paa+ㄴ/etm
것을	것/nbn+을/jco
가져왔다	가지/pvg+어/ecx+오/px+았/ep+다/ef
.	./sf
에테르	에테르/ncn
이전에는	이전/ncn+에/jca+는/jxc
이	이/mmd
세상은	세상/ncn+은/jxc
여러	여러/mma
방향으로	방향/ncn+으로/jca
각기	각기/mag
다른	다르/paa+ㄴ/etm
속력을	속력/ncn+을/jco
갖고	갖/pvg+고/ecc
움직이는	움직이/pvg+는/etm
빛과	빛/ncn+과/jcj
입자로	입자/ncn+로/jca
가득	가득/mag
차	차/pvg+아/ecx
있었다	있/px+었/ep+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
입자들은	입자/ncn+들/xsn+은/jxc
특별한	특별/ncps+하/xsm+ㄴ/etm
의미를	의미/ncpa+를/jco
갖지	갖/pvg+지/ecx
못했는데	못하/px+었/ep+는데/ecs
이	이/mmd
때	때/ncn
에테르가	에테르/ncn+가/jcs
등장한	등장/ncpa+하/xsv+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이것은	이것/npd+은/jxc
특별한	특별/ncps+하/xsm+ㄴ/etm
것이었다	것/nbn+이/jp+었/ep+다/ef
.	./sf
이것은	이것/npd+은/jxc
입자와	입자/ncn+와/jcj
빛을	빛/ncn+을/jco
형성하는	형성/ncpa+하/xsv+는/etm
기본	기본/ncn
물질로서	물질/ncn+로서/jca
생각되어졌다	생각/ncpa+되/xsv+어/ecx+지/px+었/ep+다/ef
.	./sf
에테르	에테르/ncn
속을	속/ncn+을/jco
통과할	통과/ncpa+하/xsv+ㄹ/etm
때	때/nbn
비로서	비로서/mag
실제로	실제/ncn+로/jca
움직이는	움직이/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
특히	특히/mag
에테르는	에테르/ncn+는/jxc
먼	멀/paa+ㄴ/etm
곳에	곳/ncn+에/jca
있는	있/paa+는/etm
어느	어느/mmd
기준점이	기준점/ncn+이/jcc
아니라	아니/paa+라/ecs
,	,/sp
이	이/mmd
모든	모든/mma
물질적	물질/ncn+적/xsn
존재들을	존재/ncpa+들/xsn+을/jco
다	다/mag
통과하므로	통과/ncpa+하/xsv+므로/ecs
원자와	원자/ncn+와/jcj
원자들	원자/ncn+들/xsn
사이에는	사이/ncn+에/jca+는/jxc
오직	오직/mag
에테르만	에테르/ncn+만/jxc
존재할	존재/ncpa+하/xsv+ㄹ/etm
뿐이다	뿐/nbn+이/jp+다/ef
.	./sf
그러나	그러나/maj
만약	만약/mag
꼭	꼭/mag
막힌	막히/pvg+ㄴ/etm
상자	상자/ncn
속에서	속/ncn+에서/jca
당신의	당신/npp+의/jcm
운동을	운동/ncn+을/jco
검출할	검출/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있으면	있/paa+으면/ecs
그것은	그것/npd+은/jxc
바로	바로/mag
갈릴레오의	갈릴레오/nq+의/jcm
주장을	주장/ncpa+을/jco
묵살시키는	묵살/ncpa+시키/xsv+는/etm
것이	것/nbn+이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
만약	만약/mag
에테르의	에테르/ncn+의/jcm
흐름을	흐르/pvg+ㅁ/etn+을/jco
검출할	검출/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있으면	있/paa+으면/ecs
,	,/sp
할	하/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
것처럼	것/nbn+처럼/jca
보이는데	보이/pvg+는데/ecs
,	,/sp
그렇다면	그렇다면/maj
갈릴레오의	갈릴레오/nq+의/jcm
주장은	주장/ncpa+은/jxc
더	더/mag
이상의	이상/ncn+의/jcm
가치를	가치/ncn+를/jco
갖지	갖/pvg+지/ecx
못하고	못하/px+고/ecc
사라져	사라지/pvg+어/ecx
버릴	버리/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
빅토리아	빅토리아/nq
시대의	시대/ncn+의/jcm
말기에	말기/ncn+에/jca
이처럼	이/npd+처럼/jca
중요한	중요/ncps+하/xsm+ㄴ/etm
실험의	실험/ncn+의/jcm
가능성이	가능성/ncn+이/jcs
명백해졌을	명백/ncps+하/xsv+어/ecx+지/px+었/ep+을/etm
때	때/ncn
많은	많/paa+ㄴ/etm
사람들이	사람/ncn+들/xsn+이/jcs
여러	여러/mma
방법을	방법/ncn+을/jco
이용하여	이용/ncpa+하/xsv+어/ecs
실험을	실험/ncn+을/jco
하였지만	하/pvg+었/ep+지만/ecs
모두	모두/mag
실패였다	실패/ncpa+이/jp+었/ep+다/ef
.	./sf
만약	만약/mag
성공적이었다면	성공/ncpa+적/xsn+이/jp+었/ep+다면/ecs
에테르	에테르/ncn
속을	속/ncn+을/jco
뚫고	뚫/pvg+고/ecc
지나가는	지나/pvg+아/ecx+가/px+는/etm
지구의	지구/ncn+의/jcm
운동으로부터	운동/ncpa+으로/jca+부터/jxc
많은	많/paa+ㄴ/etm
유용한	유용/ncps+하/xsm+ㄴ/etm
에너지를	에너지/ncn+를/jco
얻을	얻/pvg+ㄹ/etm
수	수/nbn
있었을	있/paa+었/ep+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
어쨌든	어찌하/pvg+었/ep+든/ecs
,	,/sp
개념적으로	개념/ncn+적/xsn+으로/jca
간단한	간단/ncps+하/xsm+ㄴ/etm
방법은	방법/ncn+은/jxc
천정의	천정/ncn+의/jcm
중앙에	중앙/ncn+에/jca
매달려	매달리/pvg+어/ecx
있는	있/px+는/etm
전구를	전구/ncn+를/jco
켜는	켜/pvg+는/etm
순간부터	순간/ncn+부터/jxc
이	이/mmd
빛이	빛/ncn+이/jcs
벽에	벽/ncn+에/jca
반사되어	반사/ncpa+되/xsv+어/ecx
오는	오/px+는/etm
시간을	시간/ncn+을/jco
측정하는	측정/ncpa+하/xsv+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
만약	만약/mag
방이	방/ncn+이/jcs
에테르	에테르/ncn
속을	속/ncn+을/jco
지나고	지나/pvg+고/ecx
있다면	있/px+다면/ecs
전구로부터	전구/ncn+로/jca+부터/jxc
나오는	나오/pvg+는/etm
빛이	빛/ncn+이/jcs
만들어낸	만들/pvg+어/ecx+내/px+ㄴ/etm
에테르파는	에테르/ncn+파/xsn+는/jxc
퍼져나갈	퍼지/pvg+어/ecx+나가/px+ㄹ/etm
것이고	것/nbn+이/jp+고/ecc
뒤	뒤/ncn
따라가는	따르/pvg+아/ecx+가/px+는/etm
벽면에	벽면/ncn+에/jca
빛이	빛/ncn+이/jcs
먼저	먼저/mag
도달될	도달/ncpa+되/xsv+ㄹ/etm
것이고	것/nbn+이/jp+고/ecc
,	,/sp
앞서가는	앞서/pvg+어/ecx+가/px+는/etm
벽면에는	벽면/ncn+에/jca+는/jxc
뒤늦게	뒤늦/paa+게/ecs
도달할	도달/ncpa+하/xsv+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그러나	그러나/maj
막상	막상/mag
이러한	이러하/pad+ㄴ/etm
실험이	실험/ncn+이/jcs
실시되었을	실시/ncpa+되/xsv+었/ep+ㄹ/etm
때에는	때/ncn+에/jca+는/jxc
빛은	빛/ncn+은/jxc
양쪽	양쪽/ncn
벽에	벽/ncn+에/jca
동시에	동시/ncn+에/jca
도달했고	도달/ncpa+하/xsv+었/ep+고/ecc
,	,/sp
예상되었던	예상/ncpa+되/xsv+었/ep+던/etm
에테르의	에테르/ncn+의/jcm
흐름의	흐르/pvg+ㅁ/etn+의/jcm
현상은	현상/ncn+은/jxc
놀랍게도	놀랍/paa+게/ecs+도/jxc
검출되지	검출/ncpa+되/xsv+지/ecx
않았다	않/px+았/ep+다/ef
.	./sf
살아남은	살/pvg+아/ecx+남/px+은/etm
갈릴레오의	갈릴레오/nq+의/jcm
주장	주장/ncpa
에테르의	에테르/ncn+의/jcm
흐름을	흐르/pvg+ㅁ/etn+을/jco
측정하려는	측정/ncpa+하/xsv+려는/etm
모든	모든/mma
방법과	방법/ncn+과/jcj
실험이	실험/ncn+이/jcs
실패로	실패/ncpa+로/jca
돌아갔다	돌아가/pvg+ㅆ/ep+다/ef
.	./sf
아무도	아무/npp+도/jxc
실패한	실패/ncpa+하/xsv+ㄴ/etm
이유를	이유/ncn+를/jco
알	알/pvg+ㄹ/etm
수가	수/nbn+가/jcs
없었다	없/paa+었/ep+다/ef
.	./sf
그러나	그러나/maj
물리학에서의	물리학/ncn+에서/jca+의/jcm
실험은	실험/ncn+은/jxc
신이	신/ncn+이/jcs
판결을	판결/ncpa+을/jco
내리는	내리/pvg+는/etm
신성한	신성/ncps+하/xsm+ㄴ/etm
곳과	곳/ncn+과/jct
같은	같/paa+ㄴ/etm
곳이다	곳/ncn+이/jp+다/ef
.	./sf
실험실에서는	실험실/ncn+에서/jca+는/jxc
아무도	아무/npp+도/jxc
갈릴레오의	갈릴레오/nq+의/jcm
주장을	주장/ncpa+을/jco
부정할	부정/ncpa+하/xsv+ㄹ/etm
수가	수/nbn+가/jcs
없었다	없/paa+었/ep+다/ef
.	./sf
무슨	무슨/mmd
일이	일/ncpa+이/jcs
일어나는	일어나/pvg+는/etm
지를	지/nbn+를/jco
설명해	설명/ncpa+하/xsv+어/ecx
줄	주/px+ㄹ/etm
기본적	기본/ncn+적/xsn
이론이	이론/ncn+이/jcs
없었던	없/paa+었/ep+던/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
점차적으로	점차/ncn+적/xsn+으로/jca
통찰력	통찰력/ncn
있는	있/paa+는/etm
사람들은	사람/ncn+들/xsn+은/jxc
기본	기본/ncn
이론이	이론/ncn+이/jcs
수정되어	수정/ncpa+되/xsv+어/ecs
새로운	새롭/paa+ㄴ/etm
기초적	기초/ncn+적/xsn
원리를	원리/ncn+를/jco
포함할	포함/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있어야	있/paa+어야/ecx
된다고	되/px+ㄴ다고/ecs
생각되어졌고	생각/ncpa+되/xsv+어/ecx+지/px+었/ep+고/ecc
,	,/sp
이	이/mmd
새로운	새롭/paa+ㄴ/etm
원리들은	원리/ncn+들/xsn+은/jxc
갈릴레오의	갈릴레오/nq+의/jcm
주장을	주장/ncpa+을/jco
수용해야	수용/ncpa+하/xsv+어야/ecx
한다고	하/px+ㄴ다고/ecs
여겼다	여기/pvg+었/ep+다/ef
.	./sf
1904	1904/nno
년	년/nbu
미죠리주의	미죠리주/nq+의/jcm
사촌이었던	사촌/ncn+이/jp+었/ep+던/etm
헨리포인카는	헨리포인카/nq+는/jxc
새로이	새롭/paa+이/xsa
제기된	제기/ncpa+되/xsv+ㄴ/etm
기본	기본/ncn
원리를	원리/ncn+를/jco
상대성	상대성/ncn
원리라고	원리/ncn+라고/jca
하였다	하/pvg+었/ep+다/ef
.	./sf
그러나	그러나/maj
그는	그/npp+는/jxc
기존의	기존/ncpa+의/jcm
물리를	물리/ncn+를/jco
어떻게	어떠하/pad+게/ecs
변형시켜야	변형/ncpa+시키/xsv+어야/ecs
새로운	새롭/paa+ㄴ/etm
원리에	원리/ncn+에/jca
맞을	맞/pvg+ㄹ/etm
것이라는	것/nbn+이/jp+라는/etm
것은	것/nbn+은/jxc
언급치	언급/ncpa+하/xsv+지/ecx
않았다	않/px+았/ep+다/ef
.	./sf
급박한	급박/ncps+하/xsm+ㄴ/etm
상황에	상황/ncn+에/jca
처해서야	처하/pvg+어서야/ecs
비로소	비로소/mag
이러한	이러하/pad+ㄴ/etm
실정을	실정/ncn+을/jco
이해하게	이해/ncpa+하/xsv+게/ecx
되었다	되/px+었/ep+다/ef
.	./sf
이	이/mmd
급박한	급박/ncps+하/xsm+ㄴ/etm
상황이란	상황/ncn+이/jp+란/etm
아주	아주/mag
명백하지만	명백/ncps+하/xsm+지만/ecs
당황스러운	당황/ncps+스럽/xsm+ㄴ/etm
문제인	문제/ncn+이/jp+ㄴ/etm
중심의	중심/ncn+의/jcm
문제에	문제/ncn+에/jca
의해	의하/pvg+어/ecs
야기되었고	야기/ncpa+되/xsv+었/ep+고/ecc
,	,/sp
이	이/mmd
내용은	내용/ncn+은/jxc
다음	다음/ncn
장의	장/ncn+의/jcm
주제이다	주제/ncn+이/jp+다/ef
.	./sf
요약	요약/ncpa
갈릴레오의	갈릴레오/nq+의/jcm
주장에	주장/ncpa+에/jca
따르면	따르/pvg+면/ecs
,	,/sp
발등위에	발/ncn+등/ncn+위/ncn+에/jca
떨어지는	떨어지/pvg+는/etm
동전은	동전/ncn+은/jxc
발등	발/ncn+등/ncn
위에	위/ncn+에/jca
떨어진다	떨어지/pvg+ㄴ다/ef
.	./sf
비록	비록/mag
당신이	당신/npp+이/jcs
움직이는	움직이/pvg+는/etm
방에	방/ncn+에/jca
있다	있/paa+다/ef
할지라도	하/pvg+ㄹ지라도/ecs
그렇게	그러하/pad+게/ecx
된다	되/px+ㄴ다/ef
.	./sf
마찬가지로	마찬가지/ncn+로/jca
방에	방/ncn+에/jca
전기불을	전기/ncn+불/ncn+을/jco
켜도	켜/pvg+도/jxc
빛은	빛/ncn+은/jxc
전등	전등/ncn
아래의	아래/ncn+의/jcm
방바닥을	방/ncn+바닥/ncn+을/jco
곧바로	곧바로/mag
비출	비추/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
비록	비록/mag
움직이는	움직이/pvg+는/etm
방에	방/ncn+에/jca
있을지라도	있/paa+ㄹ지라도/ecs
,	,/sp
그러나	그러나/maj
만약	만약/mag
빛이	빛/ncn+이/jcs
에테르파이고	에테르/ncn+파/xsn+이/jp+고/ecc
방이	방/ncn+이/jcs
에테르	에테르/ncn
속을	속/ncn+을/jco
움직인다면	움직이/pvg+ㄴ다면/ecs
,	,/sp
이	이/mmd
말은	말/ncpa+은/jxc
에테르	에테르/ncn
바람이	바람/ncn+이/jcs
방에	방/ncn+에/jca
불어	불/pvg+어/ecx
오게되고	오/px+게/ecx+되/px+고/ecc
그	그/mmd
빛은	빛/ncn+은/jxc
에테르바람에	에테르/ncn+바람/ncn+에/jca
의해	의하/pvg+어/ecs
비켜날	비키/pvg+어/ecx+나/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그러므로	그러므로/maj
전구	전구/ncn
바로	바로/mag
밑의	밑/ncn+의/jcm
바닥에	바닥/ncn+에/jca
맨	맨/mma
처음	처음/ncn
도달할	도달/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없을	없/paa+ㄹ/etm
것이라는	것/nbn+이/jp+라는/etm
것이	것/nbn+이/jcs
대부분의	대부분/ncn+의/jcm
과학자들의	과학자/ncn+들/xsn+의/jcm
생각이었다	생각/ncpa+이/jp+었/ep+다/ef
.	./sf
이	이/mmd
생각을	생각/ncpa+을/jco
방	방/ncn
안에서의	안/ncn+에서/jca+의/jcm
실험으로	실험/ncn+으로/jca
정작	정작/mag
옮겼을	옮기/pvg+었/ep+ㄹ/etm
때에는	때/ncn+에/jca+는/jxc
,	,/sp
방의	방/ncn+의/jcm
움직임과는	움직임/ncn+과/jct+는/jxc
아무	아무/mmd
상관없이	상관/ncpa+없이/jca
빛도	빛/ncn+도/jxc
마치	마치/mag
동전같이	동전/ncn+같이/jca
전구	전구/ncn
밑의	밑/ncn+의/jcm
바닥에	바닥/ncn+에/jca
맨	맨/mma
처음	처음/ncn
도달한	도달/ncpa+하/xsv+ㄴ/etm
것을	것/nbn+을/jco
알았다	알/pvg+았/ep+다/ef
.	./sf
갈릴레오의	갈릴레오/nq+의/jcm
주장을	주장/ncpa+을/jco
좀	좀/mag
연장시켜	연장/ncpa+시키/xsv+어/ecs
빛과	빛/ncn+과/jct
같은	같/paa+은/etm
에테르와	에테르/ncn+와/jcj
동전과	동전/ncn+과/jct
같은	같/paa+ㄴ/etm
역학적인	역학/ncn+적/xsn+이/jp+ㄴ/etm
것까지	것/nbn+까지/jxc
포함시키려는	포함/ncpa+시키/xsv+려는/etm
시도가	시도/ncpa+가/jcs
바로	바로/mag
상대론의	상대론/ncn+의/jcm
원리라	원리/ncn+라/jca
불린다	불리/pvg+ㄴ다/ef
.	./sf
질문	질문/ncpa
세	세/nnc
개의	개/nbu+의/jcm
우주선이	우주/ncn+선/xsn+이/jcs
똑같은	똑같/paa+ㄴ/etm
간격을	간격/ncn+을/jco
두고	두/pvg+고/ecc
일렬로	일렬/ncn+로/jca
움직이고	움직이/pvg+고/ecx
있다	있/px+다/ef
.	./sf
그들은	그/npd+들/xsn+은/jxc
근처의	근처/ncn+의/jcm
어느	어느/mmd
기준점으로부터	기준점/ncn+으로/jca+부터/jxc
멀리	멀리/mag
떨어진	떨어지/pvg+ㄴ/etm
우주의	우주/ncn+의/jcm
깊은	깊/paa+ㄴ/etm
곳을	곳/ncn+을/jco
가고	가/pvg+고/ecx
있다	있/px+다/ef
.	./sf
한	한/nnc
승무원이	승무원/ncn+이/jcs
자신들의	자신/ncn+들/xsn+의/jcm
속력을	속력/ncn+을/jco
알고	알/pvg+고/ecx
싶어한다	싶/px+어/ecx+하/px+ㄴ다/ef
.	./sf
그들의	그/npp+들/xsn+의/jcm
속력을	속력/ncn+을/jco
측정하기	측정/ncpa+하/xsv+기/etn
위하여	위하/pvg+어/ecs
가운데	가운데/ncn
우주선에서	우주/ncn+선/xsn+에서/jca
빛	빛/ncn
혹은	혹은/maj
라디오파를	라디오/ncn+파/xsn+를/jco
보낸다	보내/pvg+ㄴ다/ef
.	./sf
만약	만약/mag
우주선들이	우주/ncn+선/xsn+들/xsn+이/jcs
움직이고	움직이/pvg+고/ecx
있지	있/px+지/ecx
않을	않/px+ㄹ/etm
경우에는	경우/ncn+에/jca+는/jxc
,	,/sp
신호는	신호/ncpa+는/jxc
앞과	앞/ncn+과/jcj
뒤의	뒤/ncn+의/jcm
우주선에	우주/ncn+선/xsn+에/jca
동시에	동시/ncn+에/jca
도착할	도착/ncpa+하/xsv+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
만약	만약/mag
이	이/mmd
우주선	우주/ncn+선/xsn
대열이	대열/ncn+이/jcs
움직이고	움직이/pvg+고/ecx
있다면	있/px+다면/ecs
앞뒤의	앞/ncn+뒤/ncn+의/jcm
우주선에	우주/ncn+선/xsn+에/jca
빛이	빛/ncn+이/jcs
도달하는	도달/ncpa+하/xsv+는/etm
시간차를	시간/ncn+차/ncn+를/jco
갖고	갖/pvg+고/ecc
우주선의	우주/ncn+선/xsn+의/jcm
속력을	속력/ncn+을/jco
측정할	측정/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있을까	있/paa+ㄹ까/ef
?	?/sf
a	a/f
)	)/sr
그렇다	그렇/pad+다/ef
,	,/sp
위에서	위/ncn+에서/jca
언급한	언급/ncpa+하/xsv+ㄴ/etm
방법으로	방법/ncn+으로/jca
속력을	속력/ncn+을/jco
측정할	측정/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
b	b/f
)	)/sr
아니다	아니/paa+다/ef
,	,/sp
위에서	위/ncn+에서/jca
언급한	언급/ncpa+하/xsv+ㄴ/etm
방법으로는	방법/ncn+으로/jca+는/jxc
속력을	속력/ncn+을/jco
측정할	측정/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf
해답	해답/ncpa
정답은	정답/ncn+은/jxc
b이다	b/f+이/jp+다/ef
.	./sf
잠시	잠시/mag
그	그/mmd
방법이	방법/ncn+이/jcs
타당하다고	타당/ncps+하/xsm+다고/ecs
가정해보자	가정/ncpa+하/xsv+어/ecx+보/px+자/ef
.	./sf
그리고	그리고/maj
그	그/mmd
우주선들을	우주/ncn+선/xsn+들/xsn+을/jco
같은	같/paa+ㄴ/etm
방향으로	방향/ncn+으로/jca
,	,/sp
같은	같/paa+ㄴ/etm
속도로	속도/ncn+로/jca
움직이고	움직이/pvg+고/ecx
있는	있/px+는/etm
매우	매우/mag
큰	크/paa+ㄴ/etm
상자로	상자/ncn+로/jca
가려보자	가리/pvg+어/ecx+보/px+자/ef
.	./sf
그	그/mmd
상자	상자/ncn
안에서	안/ncn+에서/jca
우주비행사들은	우주/ncn+비행사/ncn+들/xsn+은/jxc
그들의	그/npp+들/xsn+의/jcm
우주선과	우주/ncn+선/xsn+과/jcj
상자가	상자/ncn+가/jcs
우주를	우주/ncn+를/jco
날아가고	날/pvg+아/ecx+가/px+고/ecx
있다고	있/px+다고/ecs
말할	말/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있을	있/paa+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
만약	만약/mag
그들이	그/npp+들/xsn+이/jcs
움직이고	움직이/pvg+고/ecx
있다는	있/px+다는/etm
것을	것/nbn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있다면	있/paa+다면/ecs
이것은	이것/npd+은/jxc
바로	바로/mag
상대성	상대성/ncn
원리에	원리/ncn+에/jca
직접	직접/mag
위배가	위배/ncpa+가/jcc
되는	되/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그래서	그래서/maj
우주	우주/ncn
비행사들은	비행사/ncn+들/xsn+은/jxc
신호가	신호/ncpa+가/jcs
앞과	앞/ncn+과/jcj
뒤의	뒤/ncn+의/jcm
우주선에	우주/ncn+선/xsn+에/jca
동시에	동시/ncn+에/jca
도달되는	도달/ncpa+되/xsv+는/etm
것을	것/nbn+을/jco
알게	알/pvg+게/ecx
될	되/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이것이	이것/npd+이/jcs
바로	바로/mag
우주선을	우주/ncn+선/xsn+을/jco
타고	타/pvg+고/ecx
있는	있/px+는/etm
우주	우주/ncn
비행사들이	비행사/ncn+들/xsn+이/jcs
알아낸	알/pvg+아/ecx+내/px+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이것은	이것/npd+은/jxc
당신이	당신/npp+이/jcs
바라보고	바라보/pvg+고/ecx
있는	있/px+는/etm
우주선에	우주/ncn+선/xsn+에/jca
중앙의	중앙/ncn+의/jcm
우주선이	우주/ncn+선/xsn+이/jcs
보낸	보내/pvg+ㄴ/etm
빛이나	빛/ncn+이나/jcj
신호가	신호/ncpa+가/jcs
동시에	동시/ncn+에/jca
도달하지	도달/ncpa+하/xsv+지/ecx
않는다고	않/px+는다고/ecs
알고	알/pvg+고/ecx
있을	있/px+을/etm
때	때/ncn
,	,/sp
막상	막상/mag
우주선을	우주/ncn+선/xsn+을/jco
타고	타/pvg+고/ecx
있는	있/px+는/etm
우주인들이	우주인/ncn+들/xsn+이/jcs
동시에	동시/ncn+에/jca
도달한다는	도달/ncpa+하/xsv+ㄴ다는/etm
것을	것/nbn+을/jco
말하면	말/ncpa+하/xsv+면/ecs
매우	매우/mag
이상할	이상/ncps+하/xsm+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이	이/mmd
문제에	문제/ncn+에/jca
대한	대하/pvg+ㄴ/etm
당신의	당신/npp+의/jcm
직관을	직관/ncpa+을/jco
믿을	믿/pvg+ㄹ/etm
수	수/nbn
있을까	있/paa+ㄹ까/ef
?	?/sf
엣날의	엣날/ncn+의/jcm
에테르	에테르/ncn
이	이/mmd
에테르라는	에테르/ncn+라는/etm
물질은	물질/ncn+은/jxc
어떤	어떤/mmd
물질로	물질/ncn+로/jca
여겨졌을까	여기/pvg+어/ecx+지/px+었/ep+ㄹ까/ef
?	?/sf
우선	우선/mag
공기와	공기/ncn+와/jcj
소리를	소리/ncpa+를/jco
생각해보자	생각/ncpa+하/xsv+어/ecx+보/px+자/ef
.	./sf
소리는	소리/ncpa+는/jxc
공기의	공기/ncn+의/jcm
압축파이다	압축파/ncn+이/jp+다/ef
.	./sf
공기의	공기/ncn+의/jcm
층이	층/ncn+이/jcs
상호	상호/ncn
압축과	압축/ncpa+과/jcj
팽창을	팽창/ncpa+을/jco
계속하는	계속/ncpa+하/xsv+는/etm
것과	것/nbn+과/jct
같은	같/paa+ㄴ/etm
것인데	것/nbn+이/jp+ㄴ데/ecs
,	,/sp
어떤	어떤/mmd
것이	것/nbn+이/jcs
앞뒤로	앞/ncn+뒤/ncn+로/jca
움직이기	움직이/pvg+기/etn
때문에	때문/nbn+에/jca
압축파가	압축파/ncn+가/jcs
시작되었다	시작/ncpa+되/xsv+었/ep+다/ef
.	./sf
예를	예/ncn+를/jco
들어	들/pvg+어/ecs
소리도	소리/ncpa+도/jxc
압축의	압축/ncpa+의/jcm
방향으로	방향/ncn+으로/jca
진행하여	진행/ncpa+하/xsv+어/ecs
나팔의	나팔/ncn+의/jcm
끝으로	끝/ncn+으로/jca
나오게	나오/pvg+게/ecx
된다	되/px+ㄴ다/ef
.	./sf
에테르파는	에테르/ncn+파/xsn+는/jxc
그	그/mmd
무엇인가가	무엇/npd+이/jp+ㄴ가/ef+가/jcs
앞뒤로	앞/ncn+뒤/ncn+로/jca
움직였기	움직이/pvg+었/ep+기/etn
때문에	때문/nbn+에/jca
생겨났을	생기/pvg+어/ecx+나/px+ㅆ/ep+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
예를	예/ncn+를/jco
들면	들/pvg+면/ecs
,	,/sp
라디오파	라디오/ncn+파/xsn
(	(/sl
단지	단지/mag
파장이	파장/ncn+이/jcs
긴	길/paa+ㄴ/etm
빛	빛/ncn
)	)/sr
는	는/jxc
송신기	송신기/ncn
안테나의	안테나/ncn+의/jcm
전자가	전자/ncn+가/jcs
전후로	전/ncn+후/ncn+로/jca
움직이면서	움직이/pvg+면서/ecs
시작되었다	시작/ncpa+되/xsv+었/ep+다/ef
.	./sf
그러나	그러나/maj
이	이/mmd
라디오파는	라디오/ncn+파/xsn+는/jxc
안테나의	안테나/ncn+의/jcm
끝에서	끝/ncn+에서/jca
나오진	나오/pvg+진/
않는다	않/px+는다/ef
.	./sf
이것은	이것/npd+은/jxc
안테나의	안테나/ncn+의/jcm
옆에서	옆/ncn+에서/jca
나온다	나오/pvg+ㄴ다/ef
.	./sf
음파와는	음파/ncn+와/jct+는/jxc
달리	달리/mag
전후운동	전/ncn+후/ncn+운동/ncpa
방향과	방향/ncn+과/jcj
직각	직각/ncn
방향을	방향/ncn+을/jco
갖는	갖/pvg+는/etm
방향으로	방향/ncn+으로/jca
파가	파/ncn+가/jcs
생겨난다	생기/pvg+어/ecx+나/px+ㄴ다/ef
.	./sf
그림에서	그림/ncn+에서/jca
보듯	보/pvg+듯/ecs
이	이/mmd
에테르의	에테르/ncn+의/jcm
층들이	층/ncn+들/xsn+이/jcs
교대로	교대/ncpa+로/jca
위아래로	위/ncn+아래/ncn+로/jca
움직이는데	움직이/pvg+는데/ecs
,	,/sp
이는	이/npd+는/jxc
마치	마치/mag
