<tdmsfile>
 96-kaist_corpus_96_explanation_pos_mh2-0188.txt 
 kaist_corpus_96_explanation_pos_mh2-0188.txt 

최준식  
1993  
민족사  
151.7  
181.11  
  
  
  

한국에도	한국/nq+에/jca+도/jxc
사상가였던	사상/ncn+가/xsn+이/jp+었/ep+던/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
불교의	불교/nq+의/jcm
원효	원효/nq
,	,/sp
의상	의상/nq
,	,/sp
지눌	지눌/nq
.,	./sf+,/sp
서산이나	서산/nq+이나/jcj
유교의	유교/nq+의/jcm
퇴계	퇴계/nq
,	,/sp
율곡	율곡/nq
,	,/sp
다산	다산/nq
등은	등/nbn+은/jxc
모두	모두/mag
세계	세계/ncn
사상계에	사상/ncn+계/xsn+에/jca
내놓아도	내놓/pvg+아도/ecs
손색없는	손색없/paa+는/etm
세계적	세계/ncn+적/xsn
사상가이지	사상/ncn+가/xsn+이/jp+지/ecs
한국적	한국/nq+적/xsn
사상가는	사상/ncn+가/xsn+는/jxc
아닌	아니/paa+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
(	(/sl
이	이/mmd
점은	점/ncn+은/jxc
한국의	한국/nq+의/jcm
스승에서	스승/ncn+에서/jca
이미	이미/mag
밝힌	밝히/pvg+ㄴ/etm
바	바/nbn
있다	있/paa+다/ef
).	)/sr+./sf
그런데	그런데/maj
구한말	구한말/ncn
때	때/ncn
,	,/sp
한국	한국/nq
역사	역사/ncn
최초로	최초/ncn+로/jca
민족의	민족/ncn+의/jcm
존립	존립/ncn
자체가	자체/ncn+가/jcs
절대	절대/ncn
위기에	위기/ncn+에/jca
처하게	처하/pvg+게/ecx
되자	되/px+자/ecs
,	,/sp
우리	우리/npp
민족은	민족/ncn+은/jxc
문화	문화/ncn
사상적인	사상/ncn+적/xsn+이/jp+ㄴ/etm
면에서	면/ncn+에서/jca
주체성을	주체/ncn+성/xsn+을/jco
찾으려는	찾/pvg+으려/ecs+는/etm
열의가	열의/ncn+가/jcs
그	그/mmd
어느	어느/mmd
때보다도	때/ncn+보다/jca+도/jxc
높았다	높/paa+았/ep+다/ef
.	./sf
이것이	이것/npd+이/jcs
가시화된	가시/ncn+화/xsn+되/xsv+ㄴ/etm
것이	것/nbn+이/jcs
수운으로부터	수운/nq+으로/jca+부터/jxc
일어났던	일어나/pvg+았/ep+던/etm
신종교	신/xp+종교/ncn
운동이다	운동/ncn+이/jp+다/ef
.	./sf
이	이/mmd
운동들은	운동/ncn+들/xsn+은/jxc
가장	가장/mag
민중적인	민중/ncn+적/xsn+이/jp+ㄴ/etm
기충에서	기충/ncn+에서/jca
태동되었기	태동/ncpa+되/xsv+었/ep+기/etn
때문에	때문/nbn+에/jca
가장	가장/mag
한국적인	한국/nq+적/xsn+이/jp+ㄴ/etm
사상이	사상/ncn+이/jcs
주축을	주축/ncn+을/jco
이루고	이루/pvg+고/ecx
있으며	있/px+으며/ecs
,	,/sp
동시에	동시/ncn+에/jca
그때까지	그때/ncn+까지/jxc
한국에	한국/nq+에/jca
있었던	있/paa+었/ep+던/etm
세계적인	세계/ncn+적/xsn+이/jp+ㄴ/etm
종교	종교/ncn
사상을	사상/ncn+을/jco
섭취했기	섭취/ncpa+하/xsv+었/ep+기/etn
때문에	때문/nbn+에/jca
보편성까지	보편/ncn+성/xsn+까지/jca
갖게	갖/pvg+게/ecx
되었다	되/px+었/ep+다/ef
.	./sf
물론	물론/mag
그	그/mmd
이후로	이후/ncn+로/jca
일어났던	일어나/pvg+았/ep+던/etm
종교	종교/ncn
사상들이	사상/ncn+들/xsn+이/jcs
모두	모두/mag
이렇게	이렇게/mag
한국적인	한국/nq+적/xsn+이/jp+ㄴ/etm
특수성과	특수/ncn+성/xsn+과/jcj
세계적인	세계/ncn+적/xsn+이/jp+ㄴ/etm
보편성을	보편/ncn+성/xsn+을/jco
가졌던	가지/pvg+었/ep+던/etm
것은	것/nbn+은/jxc
아니다	아니/paa+다/ef
.	./sf
그	그/mmd
가운데에서도	가운데/ncn+에서/jca+도/jxc
나는	나/npp+는/etm
세계적인	세계/ncn+적/xsn+이/jp+ㄴ/etm
보편성과	보편/ncn+성/xsn+과/jcj
한국적인	한국/nq+적/xsn+이/jp+ㄴ/etm
특수성을	특수/ncn+성/xsn+을/jco
다	다/mag
지닌	지니/pvg+ㄴ/etm
교단으로	교단/ncn+으로/jca
위의	위/ncn+의/jcm
세	세/nnc
교단을	교단/ncn+을/jco
드는데	들/pvg+는데/ecs
,	,/sp
그것을	그것/npd+을/jco
이	이/mmd
세	세/nnc
교단이	교단/ncn+이/jcs
한국의	한국/nq+의/jcm
전통	전통/ncn
종교를	종교/ncn+를/jco
각각	각각/mag
나름대로	나름/nbn+대로/jca
이어받아	잇/pvg+어/ecx+받/px+아/ecs
새로운	새롭/paa+ㄴ/etm
종교로	종교/ncn+로/jca
만들었다고	만들/pvg+었/ep+다/ef+고/ecs
생각되기	생각/ncpa+되/xsv+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
우선	우선/mag
수운과	수운/nq+과/jcj
해월의	해월/nq+의/jcm
사상은	사상/ncn+은/jxc
그	그/mmd
뿌리를	뿌리/ncn+를/jco
전통	전통/ncn
유교에	유교/nq+에/jca
두고	두/pvg+고/ecx
있는	있/px+는/etm
것으로	것/nbn+으로/jca
생각되는데	생각/ncpa+되/xsv+는데/ecs
,	,/sp
동학은	동학/nq+은/jxc
개혁	개혁/ncn
유교	유교/nq
학자에	학자/ncn+에/jca
따라서는	따르/pvg+아서/ecs+는/jxc
세속화된	세속/ncn+화/xsn+되/xsv+ㄴ/etm
유교라고	유교/nq+라고/jcr
보는	보/pvg+는/etm
시각도	시각/ncn+도/jxc
있다	있/paa+다/ef
라고	라고/jcr
볼	보/pvg+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
정도로	정도/ncn+로/jca
교리가	교리/ncn+가/jcs
전통	전통/ncn
유교	유교/nq
,	,/sp
그	그/mmd
중에서도	중/ncn+에서/jca+도/jxc
성리학과	성리학/nq+과/jct
관계되는	관계/ncpa+되/xsv+는/etm
경우가	경우/ncn+가/jcs
많았다	많/paa+았/ep+다/ef
.	./sf
특히	특히/mag
세계관과	세계/ncn+관/xsn+과/jcj
인생관이	인생/ncn+관/xsn+이/jcs
유교의	유교/nq+의/jcm
그것과	그것/npd+과/jct
다르지	다르/paa+지/ecx
않다는	않/px+다/ef+는/etm
의미에서	의미/ncpa+에서/jca
동학의	동학/nq+의/jcm
중심	중심/ncn
사상은	사상/ncn+은/jxc
유교라고	유교/nq+라/ef+고/ecs
할	하/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
동학이	동학/nq+이/jcs
유교에	유교/nq+에/jca
경사되었다는	경사/ncpa+되/xsv+었/ep+다/ef+는/etm
것은	것/nbn+은/jxc
그들의	그/npp+들/xsn+의/jcm
교리가	교리/ncn+가/jcs
유	유/nq
불	불/nq
선을	선/nq+을/jco
모두	모두/mag
통합했다고는	통합/ncpa+하/xsv+었/ep+다/ef+고/ecs+는/jxc
하지만	하/pvg+지만/ecs
,	,/sp
사실상	사실/ncn+상/xsn
불교의	불교/nq+의/jcm
교리는	교리/ncn+는/jxc
전혀	전혀/mag
포함되어	포함/ncpa+되/xsv+어/ecx
있지	있/px+지/ecx
않은	않/px+은/etm
것을	것/nbn+을/jco
보아도	보/pvg+아도/ecs
조선조	조선/nq+조/xsn
성리학이	성리학/nq+이/jcs
불교에	불교/nq+에/jca
얼마나	얼마나/mag
배타적이었나를	배타/ncn+적/xsn+이/jp+었/ep+나/ef+를/etm
보면	보/pvg+면/ecs
이	이/mmd
점을	점/ncn+을/jco
쉽게	쉽/paa+게/ecx
알	알/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
알	알/pvg+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그런가	그런가/maj
하면	하/pvg+면/ecs
중산	중산/nq
사상은	사상/ncn+은/jxc
전통	전통/ncn
사상	사상/ncn
가운데	가운데/ncn
무교와	무교/ncn+와/jcj
선도의	선도/ncn+의/jcm
전통을	전통/ncn+을/jco
주로	주로/mag
이어받은	잇/pvg+어/ecx+받/px+은/etm
것	것/nbn
같다	같/paa+다/ef
.	./sf
중산	중산/nq
사상의	사상/ncn+의/jcm
핵심을	핵심/ncn+을/jco
해원	해원/nq
(	(/sl
解寃	解寃/ncn
)인데	)/sr+이/jp+ㄴ데/ecs
,	,/sp
이것은	이것/npd+은/jxc
무교의	무교/ncn+의/jcm
'	'/sl
풀이	풀이/ncn
'를	'/sl+를/jco
한자로	한자/ncn+로/jca
바꾼	바꾸/pvg+ㄴ/etm
것에	것/nbn+에/jca
불과하다	불과/ncps+하/xsm+다/ef
.	./sf
한편	한편/maj
중산은	중산/nq+은/jxc
해원을	해원/ncn+을/jco
이루는	이루/pvg+는/etm
방법으로서	방법/ncn+으로서/jca
선도식의	선도/ncn+식/xsn+의/jcm
수련을	수련/ncn+을/jco
선호하고	선호/ncpa+하/xsv+고/ecc
,	,/sp
주문을	주문/ncn+을/jco
강조하는	강조/ncpa+하/xsv+는/etm
등	등/nbn
선도에도	선도/ncn+에/jca+도/jxc
강한	강하/paa+ㄴ/etm
관심을	관심/ncn+을/jco
보였다	보이/pvg+었/ep+다/ef
.	./sf
필자의	필자/ncn+의/jcm
견해로는	견해/ncn+로/jca+는/jxc
,	,/sp
증산은	중산/nq+은/jxc
당시	당시/ncn
민중들에게	민중/ncn+들/xsn+에게/jca
가장	가장/mag
친숙한	친숙/ncps+하/xsm+ㄴ/etm
종교	종교/ncn
이념이었던	이념/ncn+이/jp+었/ep+던/etm
무교적	무교/ncn+적/xsn
해원	해원/ncn
사상과	사상/ncn+과/jct
선도의	선도/ncn+의/jcm
조화	조화/ncn
사상을	사상/ncn+을/jco
민간	민간/ncn
신앙	신앙/ncn
차원에서	차원/ncn+에서/jca
끌어올려	끌/pvg+어/ecx+올리/px+어/ecs
,	,/sp
상대적으로	상대/ncn+적/xsn+으로/jca
보편적인	보편/ncn+적/xsn+이/jp+ㄴ/etm
종교로	종교/ncn+로/jca
만든	만들/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
생각된다	생각/ncpa+되/xsv+ㄴ다/ef
.	./sf
소태산은	소태산/nq+은/jxc
원불교라는	원불교/nq+라/ef+는/etm
교명에서도	교명/ncn+에서/jca+도/jxc
알	알/pvg+ㄹ/etm
수	수/nbn
있듯이	있/paa+듯이/ecs
,	,/sp
아마도	아마도/mag
가장	가장/mag
한국화된	한국/nq+화/xsn+되/xsv+ㄴ/etm
불교라고	불교/nq+라고/ecs
할	하/pvg+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
개혁적인	개혁/ncn+적/xsn+이/jp+ㄴ/etm
불교를	불교/nq+를/jco
산출해	산출/ncpa+하/xsv+어/ecx
냈다	내/px+었/ep+다/ef
.	./sf
중심	중심/ncn
사상은	사상/ncn+은/jxc
불교에	불교/nq+에/jca
뿌리박고	뿌리/ncn+박/pvg+고/ecx
있으면서	있/px+으면서/ecs
,	,/sp
현실성과	현실/ncn+성/xsn+과/jcj
사회성이	사회/ncn+성/xsn+이/jcs
약한	약하/pvg+ㄴ/etm
전통	전통/ncn
불교의	불교/nq+의/jcm
약점을	약점/ncn+을/jco
보완하고자	보완/ncpa+하/xsv+고자/ecs
유교의	유교/nq+의/jcm
실천	실천/ncn
윤리를	윤리/ncn+를/jco
많이	많/paa+이/xsa
포함	포함/ncn
시켰다	시키/pvg+었/ep+다/ef
.	./sf
이	이/mmd
세	세/nnc
전통들은	전통/ncn+들/xsn+은/jxc
종래의	종래/ncn+의/jcm
유불선무	유불선무/ncn
(	(/sl
儒佛仙巫	儒佛仙巫/ncn
)	)/sr
전통	전통/ncn
및	및/maj
민간	민간/ncn
신앙을	신앙/ncn+을/jco
모두	모두/mag
받아들였으되	받/pvg+아/ecx+들이/px+었/ep+으되/ecs
,	,/sp
나름대로의	나름/nbn+대로/jca+의/jcm
관점에서	관점/ncn+에서/jca
종래의	종래/ncn+의/jcm
교리를	교리/ncn+를/jco
재해석해	재/xp+해석/ncpa+하/xsv+어/ecx
각기	각기/mag
독특한	독특/ncps+하/xsm+ㄴ/etm
구조	구조/ncn
속에	속/ncn+에/jca
배열해	배열/ncpa+하/xsv+어/ecx
놓아	놓/px+아/ecs
전혀	전혀/mag
새로운	새롭/paa+ㄴ/etm
,	,/sp
그러나	그러나/maj
매우	매우/mag
한국적인	한국/nq+적/xsn+이/jp+ㄴ/etm
여기에서	여기/npd+에서/jca
'	'/sl
한국적	한국/nq+적/xsn
'이라는	'/sl+이/jp+라/ef+는/etm
말이	말/ncn+이/jcs
모호하기는	모호하/paa+기/etn+는/jxc
하다	하/pvg+다/ef
종교를	종교/ncn+를/jco
만들어	만들/pvg+어/ecx
냈다	내/px+었/ep+다/ef
.	./sf
바로	바로/mag
이	이/mmd
점	점/ncn
때문에	때문/nbn+에/jca
나는	나/npp+는/jxc
이	이/mmd
세	세/nnc
종교가	종교/ncn+가/jcs
한국	한국/nq
종교	종교/ncn
전통을	전통/ncn+을/jco
완성	완성/ncn
시킨	시키/pvg+ㄴ/etm
것이	것/nbn+이/jcc
아닌가	아니/paa+ㄴ가/ef
보고	보/pvg+고/ecx
싶다	싶/px+다/ef
.	./sf
이를테면	이를테면/maj
자국내에서	자국/ncn+내/ncn+에서/jca
역사상	역사/ncn+상/xsn
거의	거의/mag
최초로	최초/ncn+로/jca
일어난	일/pvg+어/ecx+나/px+ㄴ/etm
종교개혁	종교/ncn+개혁/ncn
운동인	운동/ncn+이/jp+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
물론	물론/mag
이	이/mmd
세	세/nnc
종교	종교/ncn
외에도	외/ncn+에/jca+도/jxc
그	그/mmd
후에	후/ncn+에/jca
수많은	수많/paa+은/etm
군소	군소/ncn
종단들이	종단/ncn+들/xsn+이/jcs
각세도계	각세도계/ncn
,	,/sp
찬물교계	찬물교계/ncn
등	등/nbn
일어났다	일/pvg+어/ecx+나/px+았/ep+다/ef
.	./sf
그러나	그러나/maj
사상의	사상/ncn+의/jcm
깊이나	깊이/ncn+나/jcj
당시	당시/ncn
혹은	혹은/maj
현재의	현재/ncn+의/jcm
민중들에게	민중/ncn+들/xsn+에게/jca
받아들여지는	받/pvg+아/ecx+들이/px+어/ecx+지/px+는/etm
열기	열기/ncn
등에	등/nbn+에/jca
비추어	비추/pvg+어/ecx
볼	보/px+ㄹ/etm
때	때/ncn
,	,/sp
동학	동학/nq
,	,/sp
증산계	증산/ncn+계/xsn
,	,/sp
원불교는	원불교/nq+는/jxc
우리나라의	우리/npp+나라/ncn+의/jcm
신종교를	신/xp+종교/ncn+를/jco
대표할	대표/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
세	세/nbu
산맥이라고	산맥/ncn+이/jp+라고/ecs
보아도	보/pvg+아도/ecs
과언이	과언/ncn+이/jcc
아닐	아니/paa+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그런데	그런데/maj
이렇게	이렇게/mag
중요하게	중요/ncps+하/xsm+게/ecx
보이는	보이/px+는/etm
종교	종교/ncn
전통이	전통/ncn+이/jcs
우리에게는	우리/npp+에게/jca+는/jcm
전혀	전혀/mag
소개가	소개/ncn+가/jcs
안	안/mag
되어	되/pvg+어/ecx
있는	있/px+는/etm
느낌이다	느낌/ncn+이/jp+다/ef
.	./sf
앞에서도	앞/ncn+에서/jca+도/jxc
누누이	누누이/mag
지적했지만	지적/ncpa+하/xsv+었/ep+지만/ecs
,	,/sp
대부분의	대부분/ncn+의/jcm
한국인은	한국/nq+인/xsn+은/jxc
이	이/mmd
분들을	분/nbn+들/xsn+을/jco
그저	그저/mag
토속적인	토속/ncn+적/xsn+이/jp+ㄴ/etm
민간사상가	민간/ncn+사상/ncn+가/xsn
정도로만	정도/ncn+로/jca+만/jxc
이해하고	이해/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
반면	반면/ncn
,	,/sp
또	또/maj
소수의	소수/ncn+의/jcm
다른	다르/paa+ㄴ/etm
사람들은	사람/ncn+들/xsn+은/jxc
이	이/mmd
분들이야말로	분/nbn+들/xsn+이/jp+야말로/jxc
세계	세계/ncn
모든	모든/mmd
사상의	사상/ncn+의/jcm
근원을	근원/ncn+을/jco
주창한	주창/ncpa+하/xsv+ㄴ/etm
분들이라고	분/nbn+들/xsn+이/jp+라/ef+고/ecs
한껏	한껏/mag
높이	높/paa+이/xsa
올려	올리/pvg+어/ecx
평가하는	평가/ncpa+하/xsv+는/etm
등	등/nbn
보다	보다/mag
더	더/mag
객관적인	객관/ncn+적/xsn+이/jp+ㄴ/etm
평가가	평가/ncn+가/jcs
잘	잘/mag
이루어지지	이루/pvg+어/ecx+지/px+지/ecx
않고	않/px+고/ecx
있다	있/px+다/ef
.	./sf
그러나	그러나/maj
내가	내/npp+가/jcs
이	이/mmd
분들의	분/nbn+들/xsn+의/jcm
사상을	사상/ncn+을/jco
모르고는	모르/pvg+고/ecx+는/jxc
한국	한국/nq
종교를	종교/ncn+를/jco
알	알/pvg+ㄹ/etm
수	수/nbn
없다는	없/paa+다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이런	이런/mmd
점들을	점/ncn+들/xsn+을/jco
알리고	알리/pvg+고/ecc
보완하기	보완/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecx
바로	바로/mag
이	이/mmd
책을	책/ncn+을/jco
내는	내/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이	이/mmd
책에서	책/ncn+에서/jca
하는	하/pvg+는/etm
시도는	시도/ncn+는/jxc
물론	물론/mag
학술적인	학술/ncn+적/xsn+이/jp+ㄴ/etm
것은	것/nbn+은/jxc
아니다	아니/paa+다/ef
.	./sf
종교는	종교/ncn+는/jxc
인간의	인간/ncn+의/jcm
행동을	행동/ncn+을/jco
변화시킬	변화/ncpa+시키/xsv+ㄹ/etm
수도	수/nbn+도/jxc
있고	있/paa+고/ecc
,	,/sp
변화시켜야	변화/ncpa+시키/xsv+어야/ecs
하기	하/px+기/etn
때문에	때문/nbn+에/jca
학문적인	학문/ncn+적/xsn+이/jp+ㄴ/etm
영역에만	영역/ncn+에/jca+만/jxc
머물러	머무르/pvg+어/ecx
있을	있/px+을/etm
수는	수/nbn+는/jxc
없다	없/paa+다/ef
.	./sf
될	되/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
대로	대로/nbn
대중들과	대중/ncn+들/xsn+과/jct
호흡하면서	호흡/ncpa+하/xsv+면서/ecc
가진	가지/pvg+ㄴ/etm
것을	것/nbn+을/jco
서로	서로/mag
나누어	나누/pvg+어/ecx
가져야만	가지/pvg+어야/ecs+만/jxc
한다	하/px+ㄴ다/ef
.	./sf
이	이/mmd
책은	책/ncn+은/jxc
크게	크/paa+게/ecx
몇	몇/nnc
부분으로	부분/ncn+으로/jca
나뉘어져	나뉘/pvg+어/ecx+지/px+어/ecx
있다	있/px+다/ef
.	./sf
무엇보다	무엇/npd+보다/jca
이	이/mmd
분들의	분/nbn+들/xsn+의/jcm
사상은	사상/ncn+은/jxc
'	'/sl
개벽	개벽/ncn
'으로	'/sl+으로/jca
특징지을	특징/ncn+짓/pvg+을/etm
수	수/nbn
있기	있/paa+기/etn
때문에	때문/nbn+에/jca
,	,/sp
개벽과	개벽/ncn+과/jct
그에	그/npd+에/jca
따른	따르/pvg+ㄴ/etm
새로운	새롭/paa+ㄴ/etm
한국의	한국/nq+의/jcm
탄생이	탄생/ncn+이/jcs
어떠할	어떠하/pad+ㄹ/etm
것인가에	것/nbn+이/jp+ㄴ가/ef+에/jca
대해	대하/pvg+어/ecx
우선	우선/mag
넣어	넣/pvg+어/ecx
보았다	보/px+았/ep+다/ef
.	./sf
후천개벽시대에	후천/ncn+개벽/ncn+시대/ncn+에/jca
대한	대하/pvg+ㄴ/etm
이	이/mmd
분들의	분/nbn+들/xsn+의/jcm
평가와	평가/ncn+와/jcj
묘사는	묘사/ncn+는/jxc
각기	각기/ncn
나름대로의	나름/nbn+대로/jca+의/jcm
진단	진단/ncn
속에	속/ncn+에/jca
놀라우리만큼	놀랍/paa+리만큼/ecs
뛰어난	뛰어나/paa+ㄴ/etm
통찰력을	통찰/ncn+력/xsn+을/jco
보여	보이/pvg+어/ecx
준다	주/px+ㄴ다/ef
.	./sf
한	한/nnc
예로	예/ncn+로/jca
소태산은	소태산/nq+은/jxc
한국이라는	한국/nq+이/jp+라/ef+는/etm
나라가	나라/ncn+가/jcs
지구상에서	지구/ncn+상/xsn+에서/jca
아예	아예/mag
자취도	자취/ncn+도/jxc
없었던	없/paa+었/ep+던/etm
일제시대	일제/ncn+시대/ncn
때	때/ncn
,	,/sp
한국이	한국/nq+이/jcs
앞으로	앞/ncn+으로/jca
큰	크/paa+ㄴ/etm
무녕국이	무녕/ncn+국/xsn+이/jcc
되리라고	되/pvg+리라/ef+고/ecx
점쳤다	점치/pvg+었/ep+다/ef
.	./sf
당시의	당시/ncn+의/jcm
상황으로	상황/ncn+으로/jca
보아	보/pvg+아/ecs
그것은	그것/npd+은/jxc
미친	미치/pvg+ㄴ/etm
사람이나	사람/ncn+이나/jcj
할	하/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
말이었다	말/ncn+이/jp+었/ep+다/ef
.	./sf
그런데	그런데/maj
우리나라는	우리/npp+나라/ncn+는/jxc
현재	현재/ncn
그	그/mmd
어려운	어렵/paa+ㄴ/etm
역경을	역경/ncn+을/jco
딛고	딛/pvg+고/ecx
일어나	일/pvg+어/ecx+나/px+아/ecs
조금씩	조금씩/mag
조금씩	조금씩/mag
그	그/mmd
예언대로	예언/ncn+대로/jca
움직이고	움직이/pvg+고/ecx
있지	있/px+지/ecx
않은가	않/px+은가/ef
.	./sf
그	그/mmd
외에도	외/ncn+에/jca+도/jxc
진리	진리/ncn
,	,/sp
수행	수행/ncn
,	,/sp
법언과	법언/ncn+과/jcj
지혜	지혜/ncn
,	,/sp
죽음과	죽음/ncn+과/jcj
제례	제례/ncn
,	,/sp
여성	여성/ncn
(	(/sl
새로운	새롭/paa+ㄴ/etm
여성관	여성/ncn+관/xsn
),	)/sr+,/sp
인간	인간/ncn
,	,/sp
잡편	잡편/ncn
등이	등/nbn+이/jcs
포함되는데	포함/ncpa+되/xsv+는데/ecs
,	,/sp
이	이/mmd
중에서도	중/ncn+에서/jca+도/jxc
특히	특히/mag
'	'/sl
죽음과	죽음/ncn+과/jcj
제례	제례/ncn
'와	'/sr+와/jcj
'	'/sl
여성	여성/ncn
'	'/sl
편을	편/ncn+을/jco
주목할	주목/ncpa+하/xsv+ㄹ/etm
필요가	필요/ncn+가/jcs
있다	있/paa+다/ef
.	./sf
이	이/mmd
분들의	분/nbn+들/xsn+의/jcm
여성과	여성/ncn+과/jcj
어린이에	어린이/ncn+에/jca
대한	대하/pvg+ㄴ/etm
이해를	이해/ncn+를/jco
보면	보/pvg+면/ecs
실로	실로/mag
예언자적인	예언/ncn+자/xsn+적/xsn+이/jp+ㄴ/etm
기지가	기지/ncn+가/jcs
무서우리만큼	무섭/paa+리만큼/ecs
번득인다	번득이/pvg+ㄴ다/ef
.	./sf
철저하게	철저/ncps+하/xsm+게/ecx
남성	남성/ncn
혹은	혹은/maj
어른	어른/ncn
중심	중심/ncn
사회였던	사회/ncn+이/jp+었/ep+던/etm
그	그/mmd
시대에	시대/ncn+에/jca
남녀차별	남녀/ncn+차별/ncn
혁파	혁파/ncn
심지어	심지어/mag
어떤	어떤/mmd
경우에는	경우/ncn+에/jca+는/jxc
여성우위를	여성/ncn+우위/ncn+를/jco
말하기도	말하/pvg+기/etn+도/jxc
했다	하/pvg+었/ep+다/ef
를	를/jco
강조하고	강조/ncpa+하/xsv+고/ecc
,	,/sp
앞으로	앞/ncn+으로/jca
여성의	여성/ncn+의/jcm
시대를	시대/ncn+를/jco
예고했다는	예고/ncpa+하/xsv+었/ep+다/ef+는/etm
것은	것/nbn+은/jxc
놀라운	놀랍/paa+ㄴ/etm
일이	일/ncn+이/jcc
아닐	아니/paa+ㄹ/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf
또	또/maj
종래에	종래/ncn+에/jca
수많은	수많/paa+은/etm
문제를	문제/ncn+를/jco
일으켜	일으키/pvg+어/ecx
왔던	오/px+았/ep+던/etm
장례와	장례/ncn+와/jcj
제례에	제례/ncn+에/jca
대해서도	대하/pvg+어서/ecs+도/jxc
놀랍도록	놀랍/paa+도록/ecs
합리적인	합리/ncn+적/xsn+이/jp+ㄴ/etm
방법으로	방법/ncn+으로/jca
새로운	새롭/paa+ㄴ/etm
해결책을	해결/ncn+책/xsn+을/jco
제시하고	제시/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
이런	이런/mmd
혁신적인	혁신/ncn+적/xsn+이/jp+ㄴ/etm
사고들은	사고/ncn+들/xsn+은/jxc
곳곳에서	곳곳/ncn+에서/jca
발견된다	발견/ncpa+되/xsv+ㄴ다/ef
.	./sf
모두가	모두/ncn+가/jcs
개벽의	개벽/ncn+의/jcm
선지자다운	선지/ncn+자/xsn+답/xsm+ㄴ/etm
말씀들이다	말씀/ncn+들/xsn+이/jp+다/ef
.	./sf
이	이/mmd
책은	책/ncn+은/jxc
여러	여러/mma
분들의	분/nbn+들/xsn+의/jcm
도움으로	도움/ncn+으로/jca
쉽지	쉽/paa+지/ecx
않은	않/px+은/etm
과정을	과정/ncn+을/jco
통해	통하/pvg+어/ecx
나오게	나오/px+게/ecx
되었다	되/px+었/ep+다/ef
.	./sf
우선	우선/mag
자료	자료/ncn
제공이나	제공/ncn+이나/jcj
조언으로	조언/ncn+으로/jca
도와주신	돕/pvg+아/ecx+주/px+시/ep+ㄴ/etm
분들로	분/nbn+들/xsn+로/jca
,	,/sp
항상	항상/mag
격려를	격려/ncn+를/jco
아끼지	아끼/pvg+지/ecx
않으셨던	않/px+으시/ep+었/ep+던/etm
천도교의	천도교/nq+의/jcm
임운길	임운길/nq
총무원장님	총무/ncn+원장/ncn+님/xsn
,	,/sp
숨겨진	숨기/pvg+어/ecx+지/px+ㄴ/etm
좋은	좋/paa+은/etm
자료를	자료/ncn+를/jco
흔쾌하게	흔쾌/ncps+하/xsm+게/ecx
제공해	제공/ncpa+하/xsv+어/ecx
주셨던	주/px+시/ep+었/ep+던/etm
원불교	원불교/nq
서울	서울/nq
사무소의	사무/ncn+소/xsn+의/jcm
김대선	김대선/nq
교무님	교무/ncn+님/xsn
,	,/sp
그리고	그리고/maj
누구보다도	누구/npp+보다/jca+도/jxc
이	이/mmd
책의	책/ncn+의/jcm
원고를	원고/ncn+를/jco
편집하는	편집/ncpa+하/xsv+는/etm
과정에	과정/ncn+에/jca
계속	계속/mag
참여했던	참여/ncpa+하/xsv+었/ep+던/etm
남궁명씨에게	남궁명/nq+씨/xsn+에게/jca
감사드린다	감사/ncn+드리/pvg+ㄴ다/ef
.	./sf
또	또/maj
이	이/mmd
책을	책/ncn+을/jco
출판하기로	출판/ncpa+하/xsv+기/etn+로/jca
결정한	결정/ncpa+하/xsv+ㄴ/etm
출판사	출판/ncn+사/xsn
측에	측/ncn+에/jca
감사드리고	감사/ncps+드리/pvg+고/ecc
,	,/sp
인쇄	인쇄/ncn
,	,/sp
사식	사식/ncn
,	,/sp
제본	제본/ncn
등	등/nbn
모든	모든/mmd
출판	출판/ncn
과정에	과정/ncn+에/jca
동참해	동참/ncpa+하/xsv+어/ecx
주셨던	주/px+시/ep+었/ep+던/etm
분들께	분/nbn+들/xsn+께/jca
감사드린다	감사/ncps+드리/pvg+ㄴ다/ef
