<tdmsfile>
<tdmsfile>
kbs1.hwp
여러분	여러분/npp
지지세	지지/ncn+세/xsn
확산여부가	확산/ncn+여부/ncn+가/jcs
그대로	그대로/mag
대선의	대선/ncn+의/jcm
판도를	판도/ncn+를/jco
결정하기	결정/ncpa+하/xsv+기/etn
때문입니다.	때문/nbn+이/jp+ㅂ니다/ef+./sf
보도에	보도/ncn+에/jca
윤준호	윤준호/nq
기자입니다.	기자/ncn+이/jp+ㅂ니다/ef+./sf
여의도	여의도/nq
신한국당사	신한국/nq+당사/ncn
총재	총재/ncn
집무실,	집무/ncn+실/xsn+,/sp
총재에	총재/ncn+에/jca
이회창이라는	이회창/nq+이/jp+라/ef+는/etm
새	새/mma
명패만	명패/ncn+만/jxc
자리하고	자리/ncpa+하/xsv+고/ecx
있을	있/px+을/etm
뿐,	뿐/nbn+,/sp
정작	정작/ncn
이회창	이회창/nq
총재는	총재/ncn+는/jxc
이방에	이/mmd+방/ncn+에/jca
들를	들르/pvg+ㄹ/etm
겨를이	겨를/ncn+이/jcs
없습니다.	없/paa+습니다/ef+./sf
당은	당/ncn+은/jxc
신임	신임/ncn
이대표가	이/nq+대표/ncn+가/jcs
추스리고	추스리/pvg+고/ecs
이총재는	이/nq+총재/ncn+는/jxc
밖으로만	밖/ncn+으로/jca+만/jxc
돌면서	돌/pvg+면서/ecs
득표활동에	득표/ncn+활동/ncn+에/jca
전념하고	전념/ncpa+하/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
지난달	지나/pvg+ㄴ/etm+달/ncn
30일	30/nno+일/nbu
전당대회에	전당/ncn+대회/ncn+에/jca
이어	이어/mag
오늘	오늘/ncn
또다시	또다시/mag
2박3일	2/nnc+박/nbu+3/nnc+일/nbu
일정으로	일정/ncn+으로/jca
부산	부산/nq
경남지역을	경남/nq+지역/ncn+을/jco
찾아	찾/pvg+아/ecs
영남권	영남/nq+권/xsn
민심잡기에	민심/ncn+잡기/ncn+에/jca
나섰습니다.	나서/pvg+었/ep+습니다/ef+./sf
오늘과	오늘/ncn+과/jcj
내일의	내일/ncn+의/jcm
방송토론을	방송/ncn+토론/ncn+을/jco
통해	통하/pvg+어/ecs
김대통령의	김/nq+대통령/ncn+의/jcm
정치적	정치/ncn+적/xsn
고향인	고향/ncn+이/jp+ㄴ/etm
이곳의	이/mmd+곳/ncn+의/jcm
지지세를	지지/ncn+세/xsn+를/jco
만회하겠다는	만회/ncpa+하/xsv+겠/ep+다/ef+는/etm
생각입니다.	생각/ncn+이/jp+ㅂ니다/ef+./sf
국민회의	국민회의/nq
김대중	김대중/nq
총재도	총재/ncn+도/jxc
오늘	오늘/ncn
영남권	영남/nq+권/xsn
표심을	표심/ncn+을/jco
향한	향하/pvg+ㄴ/etm
닷새간의	닷새/ncn+간/xsn+의/jcm
장정을	장정/ncn+을/jco
계속했습니다.	계속/ncpa+하/xsv+었/ep+습니다/ef+./sf
김총재는	김/nq+총재/ncn+는/jxc
오늘	오늘/mag
부산	부산/nq
기자간담회에서	기자/ncn+간담/ncn+회/xsn+에서/jca
미국의	미국/nq+의/jcm
슈퍼	nq[슈퍼/ncn
301조가	301/nno+조/nbu]nq+가/jcs
실제	실제/mag
발동되려면	발동/ncpa+되/xsv+려면/ecs
20개월	20/nnc+개월/nbu
정도가	정도/ncn+가/jcs
필요한	필요/ncps+하/xsm+ㄴ/etm
만큼	만큼/nbn
이	이/mmd
문제는	문제/ncn+는/jxc
다음	다음/ncn
정권에서	정권/ncn+에서/jca
처리되어야	처리/ncpa+되/xsv+어야/ecs
하며	하/px+며/ecs
WTO	WT0/f
제소	제소/ncn
등	등/nbn
상대를	상대/ncn+를/jco
자극하는	자극/ncpa+하/xsv+는/etm
발언은	발언/ncn+은/jxc
자제되어야	자제/ncpa+되/xsv+어야/ecs
한다고	하/px+ㄴ다/ef+고/jcr
정부측에	정부/ncn+측/nbn+에/jca
촉구했습니다.	촉구/ncpa+하/xsv+었/ep+습니다/ef+./sf
자민련은	자민련/nq+은/jxc
오늘	오늘/mag
지난달	지나/pvg+ㄴ/etm+달/ncn
27일	27/nno+일/nbu
출국했던	출국/ncpa+하/xsv+었/ep+던/etm
김용환	김용환/nq
부총재가	부총재/ncn+가/jcs
귀국함에	귀국/ncpa+하/xsv+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
다음주중으로	다음/ncn+주/ncn+중/nbn+으로/jca
국민회의와의	국민회의/nq+와/jct+의/jcm
후보	후보/ncn
단일화	단일/ncn+화/xsn
협상을	협상/ncn+을/jco
재개해	재개/ncpa+하/xsv+어/ecs
내각제	내각/ncn+제/xsn
형태와	형태/ncn+와/jcj
시기,	시기/ncn+,/sp
공동정권의	공동/ncn+정권/ncn+의/jcm
운영방안	운영/ncn+방안/ncn
등	등/nbn
쟁점에	쟁점/ncn+에/jca
대한	대하/pvg+ㄴ/etm
타결모색을	타결/ncn+모색/ncn+을/jco
계속해나갈	계속/ncpa+하/xsv+어/ecx+나가/px+ㄹ/etm
방침입니다.	방침/ncn+이/jp+ㅂ니다/ef+./sf
조순	조순/nq
민주당	민주당/nq
총재는	총재/ncn+는/jxc
오늘	오늘/mag
기자간담회를	기자/ncn+간담/ncn+회/xsn+를/jco
갖고	갖/pvg+고/ecs
그동안	그/mmd+동안/ncn
다소	다소/mag
미진했던	미진/ncps+하/xsm+었/ep+던/etm
당조직을	당/ncn+조직/ncn+을/jco
총가동해	총/xp+가동/ncpa+하/xsv+어/ecs
지지세	지지/ncn+세/xsn
회복에	회복/ncn+에/jca
나서겠다며	나서/pvg+겠/ep+다/ef+며/ecs
이달중	이/mmd+달/ncn+중/nbn
민주당이	민주당/nq+이/jcs
긍정적인	긍정/ncn+적/xsn+이/jp+ㄴ/etm
방향으로	방향/ncn+으로/jca
정치권에	정치/ncn+권/xsn+에/jca
새로운	새롭/paa+ㄴ/etm
변화가	변화/ncn+가/jcs
일	일/pvg+ㄹ/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
말했습니다.	말/ncpa+하/xsv+었/ep+습니다/ef+./sf
신당	신당/ncn
창당을	창당/ncn+을/jco
앞두고	앞/ncn+두/pvg+고/ecx
있는	있/px+는/etm
이인제	이인제/nq
전	전/mma
경기지사도	경기/nq+지사/ncn+도/jxc
오늘	오늘/ncn
이천	이천/nq
도자기축제와	도자기/ncn+축제/ncn+와/jcj
우수	우수/ncn
진돗개	진돗개/ncn
전람회	전람/ncn+회/xsn
행사	행사/ncn
등에	등/nbn+에/jca
잇따라	잇따르/pvg+아/ecs
참석하면서	참석/ncpa+하/xsv+면서/ecs
이미지	이미지/ncn
심기와	심/pvg+기/etn+와/jcj
지지세	지지/ncn+세/xsn
확산작업에	확산/ncn+작업/ncn+에/jca
주력했습니다.	주력/ncpa+하/xsv+었/ep+습니다/ef+./sf
KBS	KBS/f
뉴스,	뉴스/ncn+,/sp
윤준호입니다.	윤준호/nq+이/jp+ㅂ니다/ef+./sf
'스치기사고'	'/sl+스치/pvg+기/etn+사고/ncn+'/sr
잦다	잦/paa+다/ef
그	그/mmd
넓은	넓/paa+은/etm
하늘에서	하늘/ncn+에서/jca
비행기끼리	비행/ncn+기/xsn+끼리/xsn
스치거나	스치/pvg+거나/ecc
또	또/mag
충돌하는	충돌/ncpa+하/xsv+는/etm
사고가	사고/ncn+가/jcs
있다면은	있/paa+다면/ecs+은/jxc
좀	좀/mag
의아해하실지	의아/ncps+하/xsm+어/ecx+하/px+시/ep+ㄹ지/ecs
모르지만	모르/pvg+지만/ecs
실제로	실제로/mag
우리나라	우리/npp+나라/ncn
상공에서	상공/ncn+에서/jca
비행기끼리	비행/ncn+기/xsn+끼리/xsn
스치는	스치/pvg+는/etm
사고가	사고/ncn+가/jcs
올	올/ncn
들어	들/pvg+어/ecs
벌써	벌써/mag
6건이나	6/nnc+건/nbu+이나/jxc
일어났습니다.	일어나/pvg+았/ep+습니다/ef+./sf
아슬아슬하게	아슬아슬/mag+하/xsm+게/ecs
충돌을	충돌/ncn+을/jco
면한	면하/pvg+ㄴ/etm
아찔한	아찔/ncps+하/xsm+ㄴ/etm
이런	이런/mmd
사고는	사고/ncn+는/jxc
아직	아직/mag
몇몇	몇몇/mma
국내선	국내/ncn+선/ncn
항공기의	항공/ncn+기/xsn+의/jcm
공중충돌	공중/ncn+충돌/ncn
방지장치가	방지/ncn+장치/ncn+가/jcs
없기	없/paa+기/etn
때문에	때문/nbn+에/jca
일어났습니다.	일어나/pvg+았/ep+습니다/ef+./sf
대책마련이	대책/ncn+마련/ncn+이/jcs
시급합니다.	시급/ncps+하/xsm+ㅂ니다/ef+./sf
강석훈	강석훈/nq
기자의	기자/ncn+의/jcm
보도입니다.	보도/ncn+이/jp+ㅂ니다/ef+./sf
지난	지나/pvg+ㄴ/etm
9월	9/nno+월/nbu
30일	30/nno+일/nbu
부산에서	부산/nq+에서/jca
하얼삔으로	하얼삔/nq+으로/jca
가던	가/pvg+던/etm
대한항공기는	대한항공/nq+기/xsn+는/jxc
오산	오산/nq
상공에서	상공/ncn+에서/jca
아찔한	아찔/ncps+하/xsm+ㄴ/etm
순간에	순간/ncn+에/jca
직면했습니다.	직면/ncpa+하/xsv+었/ep+습니다/ef+./sf
비행	비행/ncn
10여초거리인	10/nnc+여/xsn+초/nbu+거리/ncn+이/jp+ㄴ/etm
불과	불과/mag
3km	3/nnc+km/su
전방에서	전방/ncn+에서/jca
갑자기	갑자기/mag
아시아나	아시아나/nq
항공기가	항공/ncn+기/xsn+가/jcs
나타났고,	나타나/pvg+았/ep+고/ecs+,/sp
긴급히	긴급/ncn+히/xsa
기수를	기수/ncn+를/jco
돌려	돌리/pvg+어/ecs
가까스로	가까스로/mag
위기를	위기/ncn+를/jco
모면했습니다.	모면/ncpa+하/xsv+었/ep+습니다/ef+./sf
이른바	이른바/maj
공중스치기	공중/ncn+스치/pvg+기/etn
사고였습니다.	사고/ncn+이/jp+었/ep+습니다/ef+./sf
올	올/ncn
들어	들/pvg+어/ecs
우리나라	우리/npp+나라/ncn
상공에서	상공/ncn+에서/jca
일어난	일어나/pvg+ㄴ/etm
스치기	스치/pvg+기/etn
사고는	사고/ncn+는/jxc
모두	모두/mag
6건,	6/nnc+건/nbu+,/sp
우리나라는	우리/npp+나라/ncn+는/jxc
16개	16/nnc+개/nbu
공항	공항/ncn
가운데	가운데/ncn
12곳이	12/nnc+곳/nbu+이/jcs
군용	군용/ncn
비행장이기	비행/ncn+장/xsn+이/jp+기/etn
때문에	때문/nbn+에/jca
스치기	스치/pvg+기/etn
사고의	사고/ncn+의/jcm
가능성이	가능/ncn+성/xsn+이/jcs
특히	특히/mag
높습니다.	높/paa+습니다/ef+./sf
이같은	이/npd+같/paa+은/etm
스치기	스치/pvg+기/etn
사고를	사고/ncn+를/jco
예방하기	예방/ncpa+하/xsv+기/etn
위한	위하/pvg+ㄴ/etm
것이	것/nbn+이/jcs
공중충돌	공중/ncn+충돌/ncn
경보장치인	경보/ncn+장치/ncn+이/jp+ㄴ/etm
티카스입니다.	티카스/ncn+이/jp+ㅂ니다/ef+./sf
그러나	그러나/maj
국내	국내/ncn
여객기	여객/ncn+기/xsn
가운데	가운데/ncn
아직도	아직/mag+도/jxc
10대가	10/nnc+대/nbu+가/jcs
이같은	이/npd+같/paa+은/etm
공중충돌	공중/ncn+충돌/ncn
경보장치를	경보/ncn+장치/ncn+를/jco
장착하지	장착/ncpa+하/xsv+지/ecx
않은	않/px+은/etm
것으로	것/nbn+으로/jca
확인됐습니다.	확인/ncpa+되/xsv+었/ep+습니다/ef+./sf
지상접근	지상/ncn+접근/ncn
경보장치와	경보/ncn+장치/ncn+와/jct
같이	같이/mag
공중충돌	공중/ncn+충돌/ncn
경보장치인	경보/ncn+장치/ncn+이/jp+ㄴ/etm
티카스	티카스/ncn
장비도	장비/ncn+도/jxc
항공기에	항공/ncn+기/xsn+에/jca
반드시	반드시/mag
장착하도록	장착/ncpa+하/xsv+도록/ecs
의무화할	의무/ncn+화/xsn+하/xsv+ㄹ/etm
필요가	필요/ncn+가/jcs
있습니다.	있/paa+습니다/ef+./sf
항공사별로는	항공/ncn+사/xsn+별/xsn+로/jca+는/jxc
대한항공에	대한항공/nq+에/jca
3대,	3/nnc+대/nbu+,/sp
아시아나	nq[아시아나/nq
항공에	항공/ncn]nq+에/jca
7대가	7/nnc+대/nbu+가/jcs
공중충돌	공중/ncn+충돌/ncn
경보장치를	경보/ncn+장치/ncn+를/jco
갖추지	갖추/pvg+지/ecx
않은	않/px+은/etm
것으로	것/nbn+으로/jca
나타났습니다.	나타나/pvg+았/ep+습니다/ef+./sf
항공기	항공/ncn+기/xsn
사고는	사고/ncn+는/jxc
일어나기만	일어나/pvg+기/etn+만/jxc
하면	하/pvg+면/ecs
곧	곧/maj
대형참사입니다.	대형/ncn+참사/ncn+이/jp+ㅂ니다/ef+./sf
항공기가	항공/ncn+기/xsn+가/jcs
모든	모든/mma
안전장치를	안전/ncn+장치/ncn+를/jco
갖추어야	갖추/pvg+어야/ecs
하는	하/px+는/etm
것도	것/nbn+도/jxc
만에	만/nnc+에/jca
하나	하나/nnc
있을지	있/paa+을지/ecs
모를	모르/pvg+ㄹ/etm
이런	이런/mmd
대형	대형/ncn
참사를	참사/ncn+를/jco
막기	막/pvg+기/etn
위해서입니다.	위하/pvg+어서/ecs+이/jp+ㅂ니다/ef+./sf
KBS	KBS/f
뉴스,	뉴스/ncn+,/sp
강석훈입니다.	강석훈/nq+이/jp+ㅂ니다/ef+./sf
최첨단	최첨단/ncn
도입	도입/ncn
항공기	항공/ncn+기/xsn
사고를	사고/ncn+를/jco
막기	막/pvg+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
이처럼	이/npd+처럼/jca
항공기에	항공/ncn+기/xsn+에/jca
충돌방지장치가	충돌/ncn+방지/ncn+장치/ncn+가/jcs
필수적이지만	필수/ncn+적/xsn+이/jp+지만/ecs
공항의	공항/ncn+의/jcm
이착륙	이착륙/ncn
시스템도	시스템/ncn+도/jxc
더욱	더욱/mag
중요하다고	중요/ncps+하/xsm+다/ef+고/jcr
할	하/pvg+ㄹ/etm
수	수/nbn
있습니다.	있/paa+습니다/ef+./sf
그래서	그래서/maj
현재	현재/ncn
건설공사가	건설/ncn+공사/ncn+가/jcs
한창	한창/mag
진행중인	진행/ncn+중/nbn+이/jp+ㄴ/etm
인천	nq[인천/nq
국제공항에는	국제/ncn+공항/ncn]nq+에/jca+는/jxc
이착륙의	이착륙/ncn+의/jcm
안전성을	안전/ncn+성/xsn+을/jco
확보하기	확보/ncpa+하/xsv+기/etn
위한	위하/pvg+ㄴ/etm
최첨단	최첨단/ncn
기기들이	기기/ncn+들/xsn+이/jcs
대거	대거/mag
설치될	설치/ncpa+되/xsv+ㄹ/etm
예정입니다.	예정/ncn+이/jp+ㅂ니다/ef+./sf
정찬호	정찬호/nq
기자의	기자/ncn+의/jcm
보도입니다.	보도/ncn+이/jp+ㅂ니다/ef+./sf
공항의	공항/ncn+의/jcm
생명은	생명/ncn+은/jxc
항공기의	항공/ncn+기/xsn+의/jcm
운항과	운항/ncn+과/jcj
이착륙때	이착륙/ncn+때/ncn
안전성을	안전/ncn+성/xsn+을/jco
확보하는데	확보/ncpa+하/xsv+는/etm+데/nbn
있다해도	있/paa+다/ef+하/pvg+어도/ecs
과언이	과언/ncn+이/jcc
아닙니다.	아니/paa+ㅂ니다/ef+./sf
새로	새로/mag
건설될	건설/ncpa+되/xsv+ㄹ/etm
인천	nq[인천/nq
국제공항은	국제/ncn+공항/ncn]nq+은/jxc
안전성을	안전/ncn+성/xsn+을/jco
극대화하기	극대/ncn+화/xsn+하/xsv+기/etn
위해	위하/pvg+어/ecs
최첨단	최첨단/ncn
시설을	시설/ncn+을/jco
갖춥니다.	갖추/pvg+ㅂ니다/ef+./sf
조종사가	조종/ncn+사/xsn+가/jcs
착륙을	착륙/ncn+을/jco
최종	최종/ncn
결심하도록	결심/ncpa+하/xsv+도록/ecs
도와주는	돕/pvg+아/ecx+주/px+는/etm
위치	위치/ncn
정보	정보/ncn
지시기를	지시/ncn+기/xsn+를/jco
더욱	더욱/mag
첨단화해	첨단/ncn+화/xsn+하/xsv+어/ecs
완벽한	완벽/ncps+하/xsm+ㄴ/etm
자동착륙이	자동/ncn+착륙/ncn+이/jcs
가능하도록	가능/ncps+하/xsm+도록/ecs
했습니다.	하/pvg+었/ep+습니다/ef+./sf
또	또/maj
착륙각도를	착륙/ncn+각도/ncn+를/jco
지시해주는	지시/ncpa+하/xsv+어/ecx+주/px+는/etm
활공각	활공각/ncn
지시기와	지시/ncn+기/xsn+와/jcj
활주로	활주/ncn+로/xsn
폭을	폭/ncn+을/jco
나타내주는	나타내/pvg+어/ecx+주/px+는/etm
방위각	방위각/ncn
시설도	시설/ncn+도/jxc
이착륙을	이착륙/ncn+을/jco
더욱	더욱/mag
안전하게	안전/ncps+하/xsm+게/ecs
해주는	하/pvg+어/ecx+주/px+는/etm
장치입니다.	장치/ncn+이/jp+ㅂ니다/ef+./sf
특히	특히/mag
최첨단	최첨단/ncn
위성항법	위성/ncn+항법/ncn
시스템을	시스템/ncn+을/jco
도입해	도입/ncpa+하/xsv+어/ecs
인공위성으로부터	인공/ncn+위성/ncn+으로/jca+부터/jxc
각종	각종/ncn
정보를	정보/ncn+를/jco
얻어	얻/pvg+어/ecs
항로를	항로/ncn+를/jco
단축하고	단축/ncpa+하/xsv+고/ecs
위치판단의	위치/ncn+판단/ncn+의/jcm
오류를	오류/ncn+를/jco
줄이게	줄이/pvg+게/ecs
됩니다.	되/pvg+ㅂ니다/ef+./sf
변화가	변화/ncn+가/jcs
심한	심하/paa+ㄴ/etm
기상상황을	기상/ncn+상황/ncn+을/jco
정확하게	정확/ncps+하/xsm+게/ecs
파악하는	파악/ncpa+하/xsv+는/etm
공항전용	공항/ncn+전용/ncn
기상레이다도	기상/ncn+레이다/ncn+도/jxc
설치해	설치/ncpa+하/xsv+어/ecs
항공기	항공/ncn+기/xsn
결항률을	결항/ncn+률/xsn+을/jco
0.2%까지	0.2/nnc+%/su+까지/jxc
낮출	낮추/pvg+ㄹ/etm
방침입니다.	방침/ncn+이/jp+ㅂ니다/ef+./sf
공항의	공항/ncn+의/jcm
심장부는	심장/ncn+부/xsn+는/jxc
바로	바로/mag
관제탑입니다.	관제/ncn+탑/ncn+이/jp+ㅂ니다/ef+./sf
인천	nq[인천/nq
국제공항의	국제/ncn+공항/ncn]nq+의/jcm
관제탑은	관제/ncn+탑/ncn+은/jxc
세계에서	세계/ncn+에서/jca
규모가	규모/ncn+가/jcs
가장	가장/mag
클	크/paa+ㄹ/etm
뿐만	뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
각종	각종/ncn
첨단	첨단/ncn
관계기기도	관계/ncn+기기/ncn+도/jxc
갖추게	갖추/pvg+게/ecs
됩니다.	되/pvg+ㅂ니다/ef+./sf
최저안전고도	최저/ncn+안전/ncn+고도/ncn
경보장치와	경보/ncn+장치/ncn+와/jcj
항공기간의	항공/ncn+기/xsn+간/nbn+의/jcm
충돌을	충돌/ncn+을/jco
미연에	미연/ncn+에/jca
방지하는	방지/ncpa+하/xsv+는/etm
충돌경보장치,	충돌/ncn+경보/ncn+장치/ncn+,/sp
비행금지구역	비행/ncn+금지/ncn+구역/ncn
침입	침입/ncn
경보장치	경보/ncn+장치/ncn
등도	등/nbn+도/jxc
설치됩니다.	설치/ncpa+되/xsv+ㅂ니다/ef+./sf
인천	nq[인천/nq
국제공항은	국제/ncn+공항/ncn]nq+은/jxc
현재	현재/ncn
공정이	공정/ncn+이/jcs
36%	36/nnc+%/su
정도이며,	정도/ncn+이/jp+며/ecc+,/sp
오는	오/pvg+는/etm
KBS	KBS/f
뉴스,	뉴스/ncn+,/sp
정찬호입니다.	정찬호/nq+이/jp+ㅂ니다/ef+./sf
빚더미	빚/ncn+더미/ncn
경영	경영/ncn
우리나라	우리/npp+나라/ncn
30대	30/nnc+대/nbu
그룹의	그룹/ncn+의/jcm
전체	전체/ncn
부채가	부채/ncn+가/jcs
무려	무려/mag
270조원에	270조/nnc+원/nbu+에/jca
이르는	이르/pvg+는/etm
것으로	것/nbn+으로/jca
집계됐습니다.	집계/ncpa+되/xsv+었/ep+습니다/ef+./sf
최근	최근/ncn
대기업들이	대/xp+기업/ncn+들/xsn+이/jcs
자금난으로	자금/ncn+난/xsn+으로/jca
잇따라	잇따르/pvg+아/ecs
쓰러지는	쓰러지/pvg+는/etm
것은	것/nbn+은/jxc
이처럼	이/npd+처럼/jca
상상을	상상/ncn+을/jco
초월할	초월/ncpa+하/xsv+ㄹ/etm
정도로	정도/ncn+로/jca
많은	많/paa+은/etm
부채를	부채/ncn+를/jco
안고	안/pvg+고/ecs
기업을	기업/ncn+을/jco
꾸려가면서	꾸리/pvg+어/ecx+가/px+면서/ecs
부실경영을	부실/ncn+경영/ncn+을/jco
하고	하/pvg+고/ecx
있기	있/px+기/etn
때문입니다.	때문/nbn+이/jp+ㅂ니다/ef+./sf
보도에	보도/ncn+에/jca
김대회	김대회/nq
기자입니다.	기자/ncn+이/jp+ㅂ니다/ef+./sf
국회요청에	국회/ncn+요청/ncn+에/jca
따라	따르/pvg+아/ecs
은행감독원이	은행감독원/nq+이/jcs
30대그룹의	30/nnc+대/nbu+그룹/ncn+의/jcm
부채총액을	부채/ncn+총액/ncn+을/jco
집계한	집계/ncpa+하/xsv+ㄴ/etm
결과	결과/ncn
모두	모두/mag
270조원으로	270조/nnc+원/nbu+으로/jca
나타났습니다.	나타나/pvg+았/ep+습니다/ef+./sf
재벌들이	재벌/ncn+들/xsn+이/jcs
덩치는	덩치/ncn+는/jxc
커졌지만	커지/pvg+었/ep+지만/ecs
재무구조는	재무/ncn+구조/ncn+는/jxc
엉망이라는	엉망/ncn+이/jp+라/ef+는/etm
사실이	사실/ncn+이/jcs
드러난	드러나/pvg+ㄴ/etm
셈입니다.	셈/nbn+이/jp+ㅂ니다/ef+./sf
부채가	부채/ncn+가/jcs
가장	가장/mag
많은	많/paa+은/etm
대기업은	대/xp+기업/ncn+은/jxc
현대그룹으로	현대그룹/nq+으로/jca
무려	무려/mag
43조3천억원이나	43조/nnc+3천억/nnc+원/nbu+이나/jxc
됩니다.	되/pvg+ㅂ니다/ef+./sf
그다음이	그/mmd+다음/ncn+이/jcs
삼성그룹으로	삼성그룹/nq+으로/jca
37조원,	37조/nnc+원/nbu+,/sp
LG가	LG/f+가/jcs
28조7천억원입니다.	28조/nnc+7천억/nnc+원/nbu+이/jp+ㅂ니다/ef+./sf
또	또/maj
대우가	대우/nq+가/jcs
26조3천억원이고,	26조/nnc+3천억/nnc+원/nbu+이/jp+고/ecc+,/sp
선경.	선경/nq+./sp
쌍용도	쌍용/nq+도/jxc
부채가	부채/ncn+가/jcs
만만치	만만/ncps+치/ecx
않습니다.	않/px+습니다/ef+./sf
10그룹	10/nnc+그룹/ncn
가운데	가운데/ncn
한화와	한화/nq+와/jcj
대림을	대림/nq+을/jco
제외하고는	제외/ncpa+하/xsv+고는/ecs
모두	모두/mag
부채가	부채/ncn+가/jcs
10조	10조/nnc
원을	원/nbu+을/jco
넘고	넘/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
특히	특히/mag
이들	이/npd+들/xsn
그룹들은	그룹/ncn+들/xsn+은/jxc
지난해부터	지나/pvg+ㄴ/etm+해/ncn+부터/jxc
경기침체로	경기/ncn+침체/ncn+로/jca
설비투자를	설비/ncn+투자/ncn+를/jco
줄이면서도	줄이/pvg+면서/ecs+도/jxc
은행대출은	은행/ncn+대출/ncn+은/jxc
오히려	오히려/mag
늘려	늘리/pvg+어/ecs
지난해	지나/pvg+ㄴ/etm+해/ncn
8조원의	8조/nnc+원/nbu+의/jcm
은행돈을	은행/ncn+돈/ncn+을/jco
꾸어쓴데	꾸/pvg+어/ecs+쓰/pvg+ㄴ/etm+데/nbn
이어	이어/mag
올	올/ncn
상반기에만도	상반/ncn+기/xsn+에/jca+만/jxc+도/jxc
5조5천억원의	5조/nnc+5천억/nnc+원/nbu+의/jcm
돈을	돈/ncn+을/jco
더	더/mag
빌렸습니다.	빌리/pvg+었/ep+습니다/ef+./sf
경쟁적으로	경쟁/ncn+적/xsn+으로/jca
은행돈을	은행/ncn+돈/ncn+을/jco
빌려쓰고	빌리/pvg+어/ecs+쓰/pvg+고/ecx
있는	있/px+는/etm
셈입니다.	셈/nbn+이/jp+ㅂ니다/ef+./sf
은행돈을	은행/ncn+돈/ncn+을/jco
많이	많/paa+이/xsa
빌려쓰는	빌리/pvg+어/ecs+쓰/pvg+는/etm
대기업들이	대/xp+기업/ncn+들/xsn+이/jcs
부실화되면은	부실/ncn+화/xsn+되/xsv+면/ecs+은/jxc
자금난을	자금/ncn+난/xsn+을/jco
악화시키는	악화/ncpa+시키/xsv+는/etm
등	등/nbn
국민경제적으로	국민/ncn+경제/ncn+적/xsn+으로/jca
파급효과가	파급/ncn+효과/ncn+가/jcs
매우	매우/mag
큽니다.	크/paa+ㅂ니다/ef+./sf
결국	결국/mag
경제구조를	경제/ncn+구조/ncn+를/jco
개편하거나	개편/ncpa+하/xsv+거나/ecc
경기회복을	경기/ncn+회복/ncn+을/jco
진전시키는	진전/ncpa+시키/xsv+는/etm
그러한	그러하/pad+ㄴ/etm
요인이	요인/ncn+이/jcc
될	되/pvg+ㄹ/etm
것입니다.	것/nbn+이/jp+ㅂ니다/ef+./sf
빚더미	빚/ncn+더미/ncn
경영을	경영/ncn+을/jco
하고	하/pvg+고/ecx
있는	있/px+는/etm
대기업들은	대/xp+기업/ncn+들/xsn+은/jxc
천원어치의	천/nnc+원/nbu+어치/xsn+의/jcm
물건을	물건/ncn+을/jco
팔아서	팔/pvg+아서/ecs
빚을	빚/ncn+을/jco
갚고	갚/pvg+고/ecs
겨우	겨우/mag
2원을	2/nnc+원/nbu+을/jco
남기는	남기/pvg+는/etm
꼴이	꼴/ncn+이/jcc
되었습니다.	되/pvg+었/ep+습니다/ef+./sf
최근	최근/ncn
잇따른	잇따르/pvg+ㄴ/etm
대기업들의	대/xp+기업/ncn+들/xsn+의/jcm
부도사태만	부도/ncn+사태/ncn+만/jxc
봐도	보/pvg+아도/ecs
덩치만	덩치/ncn+만/jxc
키우는	키우/pvg+는/etm
기업,	기업/ncn+,/sp
부채비율이	부채/ncn+비율/ncn+이/jcs
높은	높/paa+은/etm
기업은	기업/ncn+은/jxc
결국	결국/mag
쓰러진다는	쓰러지/pvg+ㄴ다/ef+는/etm
사실입니다.	사실/ncn+이/jp+ㅂ니다/ef+./sf
KBS	KBS/f
뉴스,	뉴스/ncn+,/sp
김대회입니다.	김대회/nq+이/jp+ㅂ니다/ef+./sf
골프	골프/ncn
돌연사	돌연/ncn+사/xsn
급증	급증/ncn
최근	최근/ncn
일본에서는	일본/nq+에서/jca+는/jxc
골프를	골프/ncn+를/jco
치다가	치/pvg+다가/ecs
사망하는	사망/ncpa+하/xsv+는/etm
4-50대가	4/nnc+-/sd+50/nnc+대/nbn+가/jcs
급격히	급격/ncn+히/xsa
늘고	늘/pvg+고/ecx
있다고	있/px+다/ef+고/jcr
합니다.	하/pvg+ㅂ니다/ef+./sf
사인은	사인/ncn+은/jxc
공을	공/ncn+을/jco
때리는	때리/pvg+는/etm
순간까지	순간/ncn+까지/jxc
생기는	생기/pvg+는/etm
긴장때문에	긴장/ncn+때문/nbn+에/jca
심장박동이	심장/ncn+박동/ncn+이/jcs
급격히	급격/ncn+히/xsa
늘어나면서	늘/pvg+어/ecx+나/px+면서/ecs
일어나는	일어나/pvg+는/etm
심장발작이	심장/ncn+발작/ncn+이/jcs
주원인입니다.	주/mma+원인/ncn+이/jp+ㅂ니다/ef+./sf
그래서	그래서/maj
