<tdmsfile>
<tdmsfile>
지금	지금/mag
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
이에	이/npd+에/jca
대해	대하/pvg+어/ecs
후세인	후세인/nq
대통령은	대통령/ncn+은/jxc
집권	집권/ncn
바트당	바트당/nq
혁명평의회	nq[혁명/ncn+평의회/ncn]nq
회의에서	회의/ncn+에서/jca
"이라크는	"/sl+이라크/ncn+는/jxc
명예를	명예/ncn+를/jco
지키느냐	지키/pvg+느냐/ef
아니면	아니/paa+면/ecs
노예가	노예/ncn+가/jcc
되느냐	되/pvg+느냐/ef
양자택일의	양자/ncn+택일/ncn+의/jcm
길	길/ncn
밖에	밖에/jxc
없다"	없/paa+다/ef+"/sr
면서	면서/ecs
유엔	유엔/nq
무기사찰에	무기/ncn+사찰/ncn+에/jca
맞서	맞서/pvg+어/ecs
대결이	대결/ncn+이/jcs
불가피함을	불가피/ncps+하/xsm+ㅁ/etn+을/jco
역설했다고	역설/ncpa+하/xsv+었/ep+다/ef+고/jcr
CNN은	CNN/f+은/jxc
전했다.	전하/pvg+었/ep+다/ef+./sf
코피아난	코피아난/nq
유엔	유엔/nq
사무총장은	사무/ncn+총장/ncn+은/jxc
10일	10/nno+일/nbu
오전	오전/ncn
타리크아지크	타리크아지크/nq
이라크	이라크/nq
외무	외무/ncn
차관과	차관/ncn+과/jct
최종	최종/ncn
협상을	협상/ncn+을/jco
가질	가지/pvg+ㄹ/etm
계획이며,	계획/ncn+이/jp+며/ecc+,/sp
이	이/mmd
자리에서	자리/ncn+에서/jca
이라크의	이라크/nq+의/jcm
입장에	입장/ncn+에/jca
변화가	변화/ncn+가/jcs
없으면	없/paa+으면/ecs
유엔의	유엔/nq+의/jcm
외교적	외교/ncn+적/xsn
중재	중재/ncn
종료를	종료/ncn+를/jco
선언할	선언/ncpa+하/xsv+ㄹ/etm
예정인	예정/ncn+이/jp+ㄴ/etm
것으로	것/nbn+으로/jca
알려졌다.	알리/pvg+어/ecx+지/px+었/ep+다/ef+./sf
유엔	nq[유엔/nq
안보리는	안보리/nq]nq+는/jxc
이어	잇/pvg+어/ecs
10일	10/nno+일/nbu
오후	오후/ncn
회의를	회의/ncn+를/jco
갖고	갖/pvg+고/ecs
유엔	유엔/nq
이라크	이라크/nq
특사들의	특사/ncn+들/xsn+의/jcm
보고를	보고/ncn+를/jco
받고	받/pvg+고/ecs
향후	향후/ncn
대책을	대책/ncn+을/jco
논의할	논의/ncpa+하/xsv+ㄹ/etm
예정인데,	예정/ncn+이/jp+ㄴ데/ecs+,/sp
미국은	미국/nq+은/jxc
이	이/mmd
자리에서	자리/ncn+에서/jca
'가장	'/sl+가장/mag
강력한	강력/ncps+하/xsm+ㄴ/etm
대응책'을	대응/ncn+책/xsn+'/sr+을/jco
모색할것이라고	모색/ncpa+하/xsv+ㄹ/etm+것/nbn+이/jp+라/ef+고/jcr
매들린	nq[매들린/nq
올브라이트	올브라이트/nq]nq
미국	미국/nq
국무장관이	국무/ncn+장관/ncn+이/jcs
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
동남아시아의	동남아시아/nq+의/jcm
다음은	다음/ncn+은/jxc
한국과	한국/nq+과/jcj
일본인가.	일본/nq+이/jp+ㄴ가/ef+./sf
태국에서	태국/nq+에서/jca
발화된	발화/ncpa+되/xsv+ㄴ/etm
아시아	아시아/nq
경제위기의	경제/ncn+위기/ncn+의/jcm
불똥이	불똥/ncn+이/jcs
홍콩을	홍콩/nq+을/jco
거쳐	거치/pvg+어/ecs
한국과	한국/nq+과/jcj
일본으로	일본/nq+으로/jca
번지면서	번지/pvg+면서/ecs
세계	세계/ncn
경제	경제/ncn
전반에	전반/ncn+에/jca
위기감을	위기/ncn+감/xsn+을/jco
불러일으키고	부르/pvg+어/ecs+일으키/pvg+고/ecx
있다.	있/px+다/ef+./sf
특히	특히/mag
최근들어	최근/ncn+들/pvg+어/ecs
세계	세계/ncn
언론을	언론/ncn+을/jco
장식하고	장식/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
'아시아	'/sl+아시아/nq
경제붕괴론'의	경제/ncn+붕괴/ncn+론/xsn+'/sr+의/jcm
진앙은	진앙/ncn+은/jxc
한국.	한국/nq+./sf
블룸버그	nq[블룸버그/nq
통신,	통신/ncn]nq+,/sp
아시안	nq[아시안/nq
월스트리트	월스트리트/nq
저널,	저널/ncn]nq+,/sp
인터내셔널	nq[인터내셔널/ncn
헤럴드	헤럴드/nq
트리뷴,	트리뷴/nq]nq+,/sp
비즈니스	nq[비즈니스/ncn
위크	위크/ncn]nq
등에	등/nbn+에/jca
한국	한국/nq
경제에	경제/ncn+에/jca
대한	대하/pvg+ㄴ/etm
비관적인	비관/ncn+적/xsn+이/jp+ㄴ/etm
보도가	보도/ncn+가/jcs
잇따르면서	잇따르/pvg+면서/ecs
원화와	원화/ncn+와/jcj
서울	서울/nq
증시가	증시/ncn+가/jcs
폭락하고	폭락/ncpa+하/xsv+고/ecx
있으며	있/px+으며/ecs
그	그/mmd
충격파가	충격/ncn+파/xsn+가/jcs
일본과	일본/nq+과/jcj
대만으로	대만/nq+으로/jca
번지고	번지/pvg+고/ecx
있다.	있/px+다/ef+./sf
한국	한국/nq
정부의	정부/ncn+의/jcm
강력한	강력/ncps+하/xsm+ㄴ/etm
부인에도	부인/ncn+에/jca+도/jxc
불구,	불구/ncn+,/sp
최근	최근/ncn
국제사회에서는	국제/ncn+사회/ncn+에서/jca+는/jxc
한국이	한국/nq+이/jcs
국제통화기금(IMF)의	국제통화기금/nq+(/sl+IMF/f+)/sr+의/jcm
지원을	지원/ncn+을/jco
요청할	요청/ncpa+하/xsv+ㄹ/etm
가능성이	가능/ncn+성/xsn+이/jcs
있다는	있/paa+다/ef+는/etm
추측이	추측/ncn+이/jcs
확산되고	확산/ncpa+되/xsv+고/ecx
있다.	있/px+다/ef+./sf
잇단	잇달/pvg+ㄴ/etm
재벌그룹	재벌/ncn+그룹/ncn
부도에	부도/ncn+에/jca
따른	따르/pvg+ㄴ/etm
금융기관의	금융/ncn+기관/ncn+의/jcm
총체적	총체/ncn+적/xsn
부실화,	부실/ncn+화/xsn+,/sp
원화	원화/ncn
폭락으로	폭락/ncn+으로/jca
인한	인하/pvg+ㄴ/etm
환차손	환차손/ncn
급증,	급증/ncn+,/sp
6백50억달러	6백50억/nnc+달러/nbu
규모의	규모/ncn+의/jcm
단기외채	단기/ncn+외채/ncn
상환압력	상환/ncn+압력/ncn
등이	등/nbn+이/jcs
그	그/mmd
근거	근거/ncn
비즈니스위크지는	비즈니스위크지/nq+는/jxc
한국에	한국/nq+에/jca
대한	대하/pvg+ㄴ/etm
구제금융	구제/ncn+금융/ncn
규모가	규모/ncn+가/jcs
4백억달러에	4백억/nnc+달러/nbu+에/jca
달할	달하/pvg+ㄹ/etm
수	수/nbn
있다고	있/paa+다/ef+고/jcr
보도했다.	보도/ncpa+하/xsv+었/ep+다/ef+./sf
이같은	이/npd+같/paa+은/etm
우려를	우려/ncn+를/jco
반영,	반영/ncn+,/sp
지난	지나/pvg+ㄴ/etm
7일	7/nno+일/nbu
뉴욕과	뉴욕/nq+과/jcj
런던에서는	런던/nq+에서/jca+는/jxc
한국산업은행이	한국산업은행/nq+이/jcs
발행한	발행/ncpa+하/xsv+ㄴ/etm
2006년	2006/nno+년/nbu
만기	만기/ncn
채권가격이	채권/ncn+가격/ncn+이/jcs
폭락하면서	폭락/ncpa+하/xsv+면서/ecs
수익률이	수익/ncn+률/xsn+이/jcs
0.6%	0.6/nnc+%/su
포인트나	포인트/nbu+나/jxc
올랐다.	오르/pvg+았/ep+다/ef+./sf
이에	이/npd+에/jca
따라	따르/pvg+아/ecs
산업은행의	산업은행/nq+의/jcm
글로벌	글로벌/ncn
본드	본드/ncn
유통수익률은	유통/ncn+수익/ncn+률/xsn+은/jxc
미	미/nq
국채보다	국채/ncn+보다/jca
3.8%나	3.8/nnc+%/su+나/jxc
높아졌다.	높/paa+아/ecx+지/px+었/ep+다/ef+./sf
이는	이/npd+는/jxc
인도	인도/nq
기업의	기업/ncn+의/jcm
회사채	회사채/ncn
수익률과	수익/ncn+률/xsn+과/jct
비슷한	비슷/ncps+하/xsm+ㄴ/etm
수준으로,	수준/ncn+으로/jca+,/sp
한국의	한국/nq+의/jcm
국책은행이	국책/ncn+은행/ncn+이/jcs
발행한	발행/ncpa+하/xsv+ㄴ/etm
채권이	채권/ncn+이/jcs
국제자본시장에서	국제/ncn+자본/ncn+시장/ncn+에서/jca
정크본드	정크본드/ncn
취급을	취급/ncn+을/jco
받게됐다는	받/pvg+게/ecs+되/pvg+었/ep+다/ef+는/etm
사실을	사실/ncn+을/jco
의미한다.	의미/ncpa+하/xsv+ㄴ다/ef+./sf
한국은	한국/nq+은/jxc
국내총생산(GDP)	국내/ncn+총/xp+생산/ncn+(/sl+GDP/f+)/sr
규모	규모/ncn
세계	세계/ncn
제11위의	제/xp+11/nno+위/nbu+의/jcm
경제국이며	경제/ncn+국/xsn+이/jp+며/ecc
태국,	태국/nq+,/sp
말레이시아	말레이시아/nq+,/sp
인도네시아를	인도네시아/nq+를/jco
합친	합치/pvg+ㄴ/etm
것보다	것/nbn+보다/jca
경제규모가	경제/ncn+규모/ncn+가/jcs
크다.	크/paa+다/ef+./sf
따라서	따라서/maj
한국의	한국/nq+의/jcm
금융위기가	금융/ncn+위기/ncn+가/jcs
몰고	몰/pvg+고/ecs
올	오/pvg+ㄹ/etm
파장도	파장/ncn+도/jxc
훨씬	훨씬/mag
클	크/paa+ㄹ/etm
수	수/nbn
밖에	밖에/jxc
없다.	없/paa+다/ef+./sf
더욱이	더욱이/mag
문제는	문제/ncn+는/jxc
한국	한국/nq
경제에	경제/ncn+에/jca
불안감을	불안/ncn+감/xsn+을/jco
느끼고	느끼/pvg+고/ecx
있는	있/px+는/etm
구미	구미/nq
투자자들의	투자/ncn+자/xsn+들/xsn+의/jcm
시선이	시선/ncn+이/jcs
일본으로	일본/nq+으로/jca
향하고	향하/pvg+고/ecx
있다는	있/px+다/ef+는/etm
점.	점/ncn+./sf
원화	원화/ncn
가치	가치/ncn
하락은	하락/ncn+은/jxc
일본	일본/nq
기업들의	기업/ncn+들/xsn+의/jcm
수출경쟁력을	수출/ncn+경쟁/ncn+력/xsn+을/jco
약화시켜	약화/ncpa+시키/xsv+어/ecs
일본	일본/nq
경제	경제/ncn
회복을	회복/ncn+을/jco
늦춤으로써	늦추/pvg+ㅁ/etn+으로써/jca
다시	다시/mag
아시아	아시아/nq
국가들의	국가/ncn+들/xsn+의/jcm
대일	대일/ncn
수출에	수출/ncn+에/jca
부정적인	부정/ncn+적/xsn+이/jp+ㄴ/etm
영향을	영향/ncn+을/jco
끼치는	끼치/pvg+는/etm
등	등/nbn
연쇄반응을	연쇄/ncn+반응/ncn+을/jco
불러일으킬	부르/pvg+어/ecs+일으키/pvg+ㄹ/etm
전망이다.	전망/ncn+이/jp+다/ef+./sf
또	또/maj
한국을	한국/nq+을/jco
비롯한	비롯/ncpa+하/xsv+ㄴ/etm
아시아	아시아/nq
경제가	경제/ncn+가/jcs
전반적으로	전반/ncn+적/xsn+으로/jca
위기상황에	위기/ncn+상황/ncn+에/jca
몰릴	몰리/pvg+ㄹ/etm
경우	경우/ncn
일본이	일본/nq+이/jcs
안게될	안/pvg+게/ecs+되/pvg+ㄹ/etm
부담에	부담/ncn+에/jca
대한	대하/pvg+ㄴ/etm
우려도	우려/ncn+도/jxc
증폭되고	증폭/ncpa+되/xsv+고/ecx
있다.	있/px+다/ef+./sf
이미	이미/mag
일본	일본/nq
금융기관들은	금융/ncn+기관/ncn+들/xsn+은/jxc
부동산	부동산/ncn
거품	거품/ncn
붕괴에	붕괴/ncn+에/jca
따른	따르/pvg+ㄴ/etm
2천5백억달러	2천5백억/nnc+달러/nbu
규모의	규모/ncn+의/jcm
부실채권을	부실/ncn+채권/ncn+을/jco
안고	안/pvg+고/ecx
있는	있/px+는/etm
데다	데/nbn+다/ecs
2천6백억달러	2천6백억/nnc+달러/nbu
규모의	규모/ncn+의/jcm
대아시아	대/xp+아시아/nq
채권중	채권/ncn+중/nbn
상당수가	상당/ncn+수/ncn+가/jcs
부실채권화할	부실/ncn+채권/ncn+화/xsn+하/xsv+ㄹ/etm
가능성이	가능/ncn+성/xsn+이/jcs
있는	있/paa+는/etm
상태다.	상태/ncn+다/ef+./sf
여기에다	여기/npd+에/jca+다/jxc
아시아	아시아/nq
경제에	경제/ncn+에/jca
대한	대하/pvg+ㄴ/etm
불안감으로	불안/ncn+감/xsn+으로/jca
인한	인하/pvg+ㄴ/etm
도쿄	도쿄/nq
증시의	증시/ncn+의/jcm
주가폭락	주가/ncn+폭락/ncn
사태는	사태/ncn+는/jxc
일본	일본/nq
금융기관들을	금융/ncn+기관/ncn+들/xsn+을/jco
더욱	더욱/mag
궁지로	궁지/ncn+로/jca
몰아가고	몰/pvg+아/ecs+가/pvg+고/ecx
있다.	있/px+다/ef+./sf
닛케이	닛케이/nq
주가지수	주가/ncn+지수/ncn
1만6천엔이	1만/nnc+6천/nnc+엔/nbu+이/jcs
무너지면서	무너지/pvg+면서/ecs
국제결제은행(BIS)이	국제결제은행/nq+(/sl+BIS/f+)/sr+이/jcs
정한	정하/pvg+ㄴ/etm
자본금	자본/ncn+금/xsn
기준에	기준/ncn+에/jca
미달할	미달/ncpa+하/xsv+ㄹ/etm
위기	위기/ncn+를/jco
맞고	맞/pvg+고/ecx
있는	있/px+는/etm
것이다.	것/nbn+이/jp+다/ef+./sf
일부	일부/ncn
전문가들은	전문/ncn+가/xsn+들/xsn+은/jxc
주가폭락	주가/ncn+폭락/ncn
사태가	사태/ncn+가/jcs
계속될	계속/ncpa+되/xsv+ㄹ/etm
경우	경우/ncn
일본	일본/nq
금융기관들이	금융/ncn+기관/ncn+들/xsn+이/jcs
미국채	미국/nq+채/ncn
등	등/nbn
대외	대외/ncn
채권	채권/ncn
매각에	매각/ncn+에/jca
나설	나서/pvg+ㄹ/etm
것으로	것/nbn+으로/jca
우려하고	우려/ncpa+하/xsv+고/ecx
있다.	있/px+다/ef+./sf
아시아	아시아/nq
경제위기가	경제/ncn+위기/ncn+가/jcs
세계적인	세계/ncn+적/xsn+이/jp+ㄴ/etm
금융위기를	금융/ncn+위기/ncn+를/jco
초래할	초래/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다는	있/paa+다/ef+는/etm
시나리오다.	시나리오/ncn+다/ef+./sf
동남아	동남아/nq
통화위기	통화/ncn+위기/ncn
때만	때/ncn+만/jxc
해도	하/pvg+어도/ecs
수입물가	수입/ncn+물가/ncn
하락	하락/ncn
등의	등/nbn+의/jcm
긍정적인	긍정/ncn+적/xsn+이/jp+ㄴ/etm
효과가	효과/ncn+가/jcs
있다며	있/paa+다/ef+며/ecs
여유를	여유/ncn+를/jco
보이던	보이/pvg+던/etm
서방	서방/ncn
언론들의	언론/ncn+들/xsn+의/jcm
논조가	논조/ncn+가/jcs
최근	최근/ncn
심각해지고	심각/ncps+하/xsm+어/ecx+지/px+고/ecx
있는	있/px+는/etm
것은	것/nbn+은/jxc
이	이/mmd
때문이다.	때문/nbn+이/jp+다/ef+./sf
안견	안견/nq
그림등	그림/ncn+등/nbn
2점	2/nnc+점/nbu
미박물관	미/nq+박물/ncn+관/xsn
보내	보내/pvg+어/ecs
처리...	처리/ncn+.../se
보존과학자	보존/ncn+과학/ncn+자/xsn
양성시급	양성/ncn+시급/ncn
.	./sf
"왜	"/sl+왜/mag
우리	우리/npp
그림을	그림/ncn+을/jco
외국에서	외국/ncn+에서/jca
보존처리해야할까!	보존/ncn+처리/ncpa+하/xsv+어야/ecs+하/px+ㄹ까/ef+!/sf
".	"/sr+./sf
최근	최근/ncn
보물급	보물/ncn+급/ncn
조선시대	조선/nq+시대/ncn
회화	회화/ncn
2점이	2/nnc+점/nbu+이/jcs
외국으로	외국/ncn+으로/jca
보존처리를	보존/ncn+처리/ncn+를/jco
위해	위하/pvg+어/ecs
건너	건너/pvg+어/ecs
간	가/pvg+ㄴ/etm
것을	것/nbn+을/jco
바라보는	바라/pvg+아/ecs+보/pvg+는/etm
미술사학계는	미술/ncn+사/xsn+학계/ncn+는/jxc
몹시	몹시/mag
착잡한	착잡/ncps+하/xsm+ㄴ/etm
시선이다.	시선/ncn+이/jp+다/ef+./sf
이	이/mmd
작품들은	작품/ncn+들/xsn+은/jxc
메트로폴리탄의	메트로폴리탄/nq+의/jcm
내년	내년/ncn
한국관	한국관/nq
개관을	개관/ncn+을/jco
앞두고	앞/ncn+두/pvg+고/ecs
전시될	전시/ncpa+되/xsv+ㄹ/etm
유물들로,	유물/ncn+들/xsn+로/jca+,/sp
전시되기에는	전시/ncpa+되/xsv+기/etn+에/jca+는/jxc
상태가	상태/ncn+가/jcs
좋지	좋/paa+지/ecx
않아	않/px+아/ecs
보존처리가	보존/ncn+처리/ncn+가/jcs
필요했던	필요/ncps+하/xsm+었/ep+던/etm
것.	것/nbn+./sf
내년	내년/ncn
1월	1/nno+월/nbu
중순	중순/ncn
쯤	쯤/xsn
개관할	개관/ncpa+하/xsv+ㄹ/etm
한국관	한국관/nq
전시에는	전시/ncn+에/jca+는/jxc
우리나라의	우리/npp+나라/ncn+의/jcm
국보-	국보/ncn+-/sd
보물급	보물/ncn+급/ncn
미술품들이	미술/ncn+품/xsn+들/xsn+이/jcs
80여점	80/nnc+여/xsn+점/nbu
전시될	전시/ncpa+되/xsv+ㄹ/etm
예정이다.	예정/ncn+이/jp+다/ef+./sf
문제는	문제/ncn+는/jxc
우리	우리/npp
서화를	서화/ncn+를/jco
꼭	꼭/mag
미국에서	미국/nq+에서/jca
보존처리해야	보존/ncn+처리/ncpa+하/xsv+어야/ecs
했느냐는	하/px+었/ep+느냐/ef+는/etm
점.	점/ncn+./sf
한	한/nnc
문화재위원은	문화/ncn+재/xsn+위원/ncn+은/jxc
"메트로폴리탄에는	"/sl+메트로폴리탄/nq+에/jca+는/jxc
동양서화류	동양/ncn+서화/ncn+류/xsn
보존처리를	보존/ncn+처리/ncn+를/jco
전담하는	전담/ncpa+하/xsv+는/etm
일본인	일본/nq+인/xsn
전문가들이	전문/ncn+가/xsn+들/xsn+이/jcs
있으며,	있/paa+으며/ecc+,/sp
이들의	이/npd+들/xsn+의/jcm
실력은	실력/ncn+은/jxc
결코	결코/mag
우리나라	우리/npp+나라/ncn
서화	서화/ncn
보존처리전문가보다	보존/ncn+처리/ncn+전문/ncn+가/xsn+보다/jca
떨어지지	떨어지/pvg+지/ecx
않는다"고	않/px+는다/ef+"/sr+고/jcr
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
또	또/maj
개관전까지의	개관/ncn+전/ncn+까지/jxc+의/jcm
촉박한	촉박/ncps+하/xsm+ㄴ/etm
시간	시간/ncn
등을	등/nbn+을/jco
감안할때	감안/ncpa+하/xsv+ㄹ/etm+때/ncn
메트로폴리탄에서의	메트로폴리탄/nq+에서/jca+의/jcm
수복	수복/ncn
작업에도	작업/ncn+에/jca+도/jxc
이해할	이해/ncpa+하/xsv+ㄹ/etm
여지가	여지/ncn+가/jcs
많다는	많/paa+다/ef+는/etm
얘기다.	얘기/ncn+다/ef+./sf
그러나	그러나/maj
어디까지나	어디/npd+까지/jxc+나/jxc
우리의	우리/npp+의/jcm
미술품이므로	미술/ncn+품/xsn+이/jp+므로/ecs
우리의	우리/npp+의/jcm
전통과	전통/ncn+과/jcj
정서에	정서/ncn+에/jca
바탕을	바탕/ncn+을/jco
둔	두/pvg+ㄴ/etm
보존처리를	보존/ncn+처리/ncn+를/jco
해야하지	하/pvg+어야/ecs+하/px+지/ecx
않았겠느냐는	않/px+았/ep+겠/ep+느냐/ef+는/etm
반론도	반론/ncn+도/jxc
만만치않다.	만만/ncps+치/ecx+않/px+다/ef+./sf
예컨대	예컨대/mag
"일본인	"/sl+일본/nq+인/xsn
전문가들이	전문/ncn+가/xsn+들/xsn+이/jcs
작업을	작업/ncn+을/jco
할	하/pvg+ㄹ/etm
경우	경우/ncn
서화에	서화/ncn+에/jca
일본풍이	일본/nq+풍/xsn+이/jcs
밸	배/pvg+ㄹ/etm
가능성도	가능/ncn+성/xsn+도/jxc
배제할	배제/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없다"고	없/paa+다/ef+"/sr+고/jcr
한	한/nnc
문화재위원은	문화/ncn+재/xsn+위원/ncn+은/jxc
지적했다.	지적/ncpa+하/xsv+었/ep+다/ef+./sf
때문에	때문/nbn+에/jca
이들	이/npd+들/xsn
유물의	유물/ncn+의/jcm
반출허가를	반출/ncn+허가/ncn+를/jco
놓고	놓/pvg+고/ecs
문화재위원회에서도	문화재위원회/nq+에서/jca+도/jxc
찬반이	찬반/ncn+이/jcs
팽팽하게	팽팽/mag+하/xsm+게/ecs
맞섰지만,	맞서/pvg+었/ep+지만/ecs+,/sp
국내에	국내/ncn+에/jca
서화류	서화/ncn+류/xsn
보존처리전문가가	보존/ncn+처리/ncn+전문/ncn+가/xsn+가/jcs
몇사람	몇/mma+사람/ncn
없는데다	없/paa+는데다/ecs
메트로폴리탄	메트로폴리탄/nq
개관	개관/ncn
일정에	일정/ncn+에/jca
맞추기	맞추/pvg+기/etn
위해	위하/pvg+어/ecs
반출이	반출/ncn+이/jcs
허가된	허가/ncpa+되/xsv+ㄴ/etm
것으로	것/nbn+으로/jca
알려졌다.	알리/pvg+어/ecx+지/px+었/ep+다/ef+./sf
미술사학계는	미술/ncn+사/xsn+학계/ncn+는/jxc
결국	결국/mag
우리가	우리/npp+가/jcs
보존과학자를	보존/ncn+과학/ncn+자/xsn+를/jco
제대로	제대로/mag
키우지	키우/pvg+지/ecx
않았기	않/px+았/ep+기/etn
때문에	때문/nbn+에/jca
이같은	이/npd+같/paa+은/etm
일이	일/ncn+이/jcs
발생했다는	발생/ncpa+하/xsv+었/ep+다/ef+는/etm
시각이다.	시각/ncn+이/jp+다/ef+./sf
날로	날로/mag
급증하는	급증/ncpa+하/xsv+는/etm
발굴로	발굴/ncn+로/jca
인한	인하/pvg+ㄴ/etm
매장문화재	매장/ncn+문화/ncn+재/xsn
출토	출토/ncn
증가를	증가/ncn+를/jco
생각해서라도	생각/ncpa+하/xsv+어서/ecs+라도/ecs
보존과학자를	보존/ncn+과학/ncn+자/xsn+를/jco
시급히	시급/ncn+히/xsa
늘려야한다고	늘리/pvg+어야/ecs+하/px+ㄴ다/ef+고/jcr
학계는	학계/ncn+는/jxc
입을	입/ncn+을/jco
모으고	모으/pvg+고/ecx
있다.	있/px+다/ef+./sf
초등학교	초등/ncn+학교/ncn
어린이들이	어린이/ncn+들/xsn+이/jcs
인터넷	인터넷/ncn
신문	신문/ncn
제작에	제작/ncn+에/jca
나선다.	나서/pvg+ㄴ다/ef+./sf
대전	대전/nq
유성구	유성구/nq
금성초등학교(교장	금성초등학교/nq+(/sl+교장/ncn
이성웅)는	이성웅/nq+)/sr+는/jxc
학생들이	학생/ncn+들/xsn+이/jcs
직접	직접/mag
'금성	'/sl+nq[금성/nq
어린이	어린이/ncn
인터넷	인터넷/ncn
신문'을	신문/ncn]nq+'/sr+을/jco
만들어	만들/pvg+어/ecs
사진설명:금성초등학교의	사진/ncn+설명/ncn+:/sp+금성초등학교/nq+의/jcm
어린이	어린이/ncn
기자단이전산실습실에	기자/ncn+단/xsn+이/jcs+전산/ncn+실습/ncn+실/xsn+에/jca
모여	모이/pvg+어/ecs
김선애	김선애/nq
교사로부터	교사/ncn+로/jca+부터/jxc
인터넷	인터넷/ncn
전자신문의	전자/ncn+신문/ncn+의/jcm
구성에	구성/ncn+에/jca
대한	대하/pvg+ㄴ/etm
설명을	설명/ncn+을/jco
듣고	듣/pvg+고/ecx
있다.	있/px+다/ef+./sf
오는	오/pvg+는/etm
20일	20/nno+일/nbu
학교	학교/ncn
인터넷	인터넷/ncn
홈페이지	홈페이지/ncn
홈페이지	(http:/ns.kumsong-e.ed.taejon.kr)
에	에/jca
게재한다.	게재/ncpa+하/xsv+ㄴ다/ef+./sf
초등학교	초등/ncn+학교/ncn
어린이들이	어린이/ncn+들/xsn+이/jcs
인터넷	인터넷/ncn
신문을	신문/ncn+을/jco
만들어	만들/pvg+어/ecs
공개하기는	공개/ncpa+하/xsv+기/etn+는/jxc
국내	국내/ncn
처음이다.	처음/ncn+이/jp+다/ef+./sf
이를	이/npd+를/jco
위해	위하/pvg+어/ecs
금성초등교는	금성초등교/nq+는/jxc
지난	지나/pvg+ㄴ/etm
10월25일	10/nno+월/nbu+25/nno+일/nbu
4학년(14명)과	4/nno+학년/ncn+(/sl+14/nnc+명/nbu+)/sr+과/jcj
5학년(13명)	5/nno+학년/ncn+(/sl+13/nnc+명/nbu+)/sr
어린이들로	어린이/ncn+들/xsn+로/jca
'금성	'/sl+nq[금성/nq
어린이기자단'을	어린이/ncn+기자/ncn+단/xsn]nq+'/sr+을/jco
결성했다.	결성/ncpa+하/xsv+었/ep+다/ef+./sf
이들은	이/npd+들/xsn+은/jxc
취재,	취재/ncn+,/sp
기사쓰기,	기사/ncn+쓰기/ncn+,/sp
사진촬영은	사진/ncn+촬영/ncn+은/jxc
물론,	물론/ncn+,/sp
편집까지	편집/ncn+까지/jxc
스스로	스스로/mag
맡아	맡/pvg+아/ecs
신문을	신문/ncn+을/jco
만들고,	만들/pvg+고/ecc+,/sp
이를	이/npd+를/jco
인터넷용	인터넷/ncn+용/xsn
언어(HTML)로	언어/ncn+(/sl+HTML/f+)/sr+로/jca
바꾸어	바꾸/pvg+어/ecs
학교	학교/ncn
홈페이지에	홈페이지/ncn+에/jca
올리는	올리/pvg+는/etm
작업에	작업/ncn+에/jca
몰두하고	몰두/ncpa+하/xsv+고/ecx
있다.	있/px+다/ef+./sf
김교사는	김/nq+교사/ncn+는/jxc
취재와	취재/ncn+와/jcj
편집	편집/ncn
등	등/nbn
신문제작	신문/ncn+제작/ncn
지도를	지도/ncn+를/jco
맡고,	맡/pvg+고/ecc+,/sp
윤	윤/nq
교사는	교사/ncn+는/jxc
인터넷	인터넷/ncn
활용	활용/ncn
취재와	취재/ncn+와/jcj
워드프로세싱,	워드프로세싱/ncn+,/sp
편집기(에디터)	편집/ncn+기/xsn+(/sl+에디터/ncn+)/sr
등에	등/nbn+에/jca
대한	대하/pvg+ㄴ/etm
교육을	교육/ncn+을/jco
전담하고	전담/ncpa+하/xsv+고/ecx
있다.	있/px+다/ef+./sf
이성웅	이성웅/nq
교장은	교장/ncn+은/jxc
"자기가	"/sl+자기/npp+가/jcs
쓴	쓰/pvg+ㄴ/etm
글을	글/ncn+을/jco
읽어주는	읽/pvg+어/ecx+주/px+는/etm
독자가	독자/ncn+가/jcs
있을	있/paa+을/etm
때	때/ncn
어린이들의	어린이/ncn+들/xsn+의/jcm
쓰기	쓰기/ncn
실력이	실력/ncn+이/jcs
크게	크/paa+게/ecs
는다"며	늘/pvg+ㄴ다/ef+"/sr+며/ecs
"인터넷신문	"/sl+인터넷/ncn+신문/ncn
제작은	제작/ncn+은/jxc
쓰기실력	쓰기/ncn+실력/ncn
향상에	향상/ncn+에/jca
좋은	좋/paa+은/etm
기회를	기회/ncn+를/jco
제공할	제공/ncpa+하/xsv+ㄹ/etm
것"이라고	것/nbn+"/sr+이/jp+라고/jcr
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
금성	nq[금성/nq
어린이기자단	어린이/ncn+기자/ncn+단/xsn]nq
선발경쟁은	선발/ncn+경쟁/ncn+은/jxc
치열했다.	치열/ncps+하/xsm+었/ep+다/ef+./sf
논술과	논술/ncn+과/jcj
면접시험까지	면접/ncn+시험/ncn+까지/jxc
거쳐야	거치/pvg+어야/ecs
했다.	하/px+었/ep+다/ef+./sf
이들은	이/npd+들/xsn+은/jxc
