<tdmsfile>


이곳에서는	이곳/npd+에서/jca+는/jxc
사람처럼	사람/ncn+처럼/jca
시계바늘	시계/ncn+바늘/ncn
보면서	보/pvg+면서/ecs
....	....../se

복잡한	복잡/ncps+하/xsm+ㄴ/etm
도시인의	도시/ncn+인/xsn+의/jcm
일상	일상/ncn
생활을	생활/ncn+을/jco
경쾌한	경쾌/ncps+하/xsm+ㄴ/etm
리듬에	리듬/ncn+에/jca
맞추어	맞추/pvg+어/ecs
솔직하게	솔직/ncps+하/xsm+게/ecs
표현한	표현/ncpa+하/xsv+ㄴ/etm
듯합니다	듯하/px+ㅂ니다/ef
.	./sf

도시의	도시/ncn+의/jcm
생활이란	생활/ncn+이/jp+란/jxc
앞으로도	앞/ncn+으로/jca+도/jxc
점점	점점/mag
더	더/mag
복잡하게	복잡/ncps+하/xsm+게/ecs
펼쳐지며	펼치/pvg+어/ecx+지/px+며/ecs
사람들을	사람/ncn+들/xsn+을/jco
피곤하게	피곤/ncps+하/xsm+게/ecx
만들	만들/px+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf

사람들은	사람/ncn+들/xsn+은/jxc
여유를	여유/ncn+를/jco
알고	알/pvg+고/ecc
,	,/sp
그저	그저/mag
시간과	시간/ncn+과/jcj
돈에	돈/ncn+에/jca
쫓기면서	쫓기/pvg+면서/ecc
하루	하루/ncn
하루	하루/ncn
살아갈지도	살/pvg+아/ecx+가/px+ㄹ지도/ecs
모릅니다	모르/pvg+ㅂ니다/ef
.	./sf

물론	물론/mag
컴퓨터	컴퓨터/ncn
때문에	때문/nbn+에/jca
여유를	여유/ncn+를/jco
빼앗겼다는	빼앗기/pvg+었/ep+다/ef+는/etm
사람들도	사람/ncn+들/xsn+도/jxc
있긴	있/paa+기/etn+ㄴ/jxc
하지만요	하/pvg+지만/ecs+요/jxf
자	자/ii
,	,/sp
아침에	아침/ncn+에/jca
일어나서	일어나/pvg+서/ecs
컴퓨터를	컴퓨터/ncn+를/jco
켭니다	켜/pvg+ㅂ니다/ef
.	./sf

또	또/maj
며칠	며칠/ncn
전에	전/ncn+에/jca
신문	신문/ncn
기사	기사/ncn
내용이	내용/ncn+이/jcs
필요해서	필요/ncps+하/xsm+어서/ecs
그	그/mmd
날짜를	날짜/ncn+를/jco
입력합니다	입력/ncpa+하/xsv+ㅂ니다/ef
.	./sf

그것도	그것/npd+도/jxc
단	단/mma
한번만	한번/ncn+만/jxc
잘	잘/mag
교육하면	교육/ncpa+하/xsv+면/ecs
말입니다	말/ncn+이/jp+ㅂ니다/ef
.	./sf

이와	이/npd+와/jct
관련된	관련/ncpa+되/xsv+ㄴ/etm
기능을	기능/ncn+을/jco
`	`/sl
데이터	데이터/nq
베이스	베이스/ncn
(	(/sl
Data	Data/f
Base	Base/f
)`	)/sr+`/sr
기능이라고	기능/ncn+이/jp+라/ef+고/jcr
합니다	하/pvg+ㅂ니다/ef
.	./sf

돌아온	돌/pvg+아/ecs+오/pvg+ㄴ/etm
솔거	솔거/nq
,	,/sp
우리들의	우리/npp+들/xsn+의/jcm
솔거	솔거/nq
하면	글씨/ncn+하/pvg+면/ecs
한석봉이듯	한석봉/nq+이/jp+듯/ecs
,	,/sp
그림	그림/ncn
하면	하/pvg+면/ecs
솔거입니다	솔거/nq+이/jp+ㅂ니다/ef
.	./sf

그런	그런/mmd
그림을	그림/ncn+을/jco
그리기	그리/pvg+기/etn
위해서라면	위하/pvg+어서/ecs+라/ef+면/ecs
무엇을	무엇/npd+을/jco
준비하면	준비/ncpa+하/xsv+면/ecs
될까요	되/pvg+ㄹ까/ef+요/jxf
?	?/sf

하지만	하지만/maj
컴퓨터로	컴퓨터/ncn+로/jca
그림을	그림/ncn+을/jco
그리려면	그리/pvg+려면/ecs
그래픽	그래픽/ncn
소프트웨어라는	소프트웨어/ncn+라/ef+는/etm
프로그램이	프로그램/ncn+이/jcs
필요합니다	필요/ncps+하/xsm+ㅂ니다/ef
.	./sf

손으로	손/ncn+으로/jca
그린	그리/pvg+ㄴ/etm
그림은	그림/ncn+은/jxc
한번	한/nnc+번/nbu
잘못	잘못/mag
그리면	그리/pvg+면/ecs
처음부터	처음/ncn+부터/jxc
다시	다시/mag
그려야	그리/pvg+어야/ecs
하지만	하/pvg+지만/ecs
,	,/sp
컴퓨터로	컴퓨터/ncn+로/jca
그린	그리/pvg+ㄴ/etm
그림은	그림/ncn+은/jxc
틀렸을	틀리/pvg+었/ep+을/etm
경우	경우/ncn
얼마든지	얼마/ncn+든지/jxc
부분	부분/ncn
수정을	수정/ncn+을/jco
할	하/pvg+ㄹ/etm
수	수/ncn
있으며	있/paa+으며/ecs
,	,/sp
한	한/nnc
그림에	그림/ncn+에/jca
여러	여러/mma
색상을	색상/ncn+을/jco
마음대로	마음/ncn+대로/jca
칠했다	칠/ncn+하/pvg+었/ep+다/ef
지울	지우/pvg+ㄹ/etm
수도	수/nbn+도/jxc
있고	있/paa+고/ecc
,	,/sp
같은	같/paa+은/etm
그림을	그림/ncn+을/jco
수없이	수/ncn+없/paa+이/xsa
반복해서	반복/ncpa+하/xsv+어서/ecs
찍어낼	찍/pvg+어/ecx+내/px+ㄹ/etm
수	수/nbn
있기	있/paa+기/etn
때문에	때문/nbn+에/jca
디자인	디자인/ncn
분야	분야/ncn
등에	등/nbn+에/jca
특히	특히/mag
널리	널리/mag
사용되고	사용/ncpa+되/xsv+고/ecx
있습니다	있/px+습니다/ef
.	./sf

이제	이제/mag
그	그/mmd
음악의	음악/ncn+의/jcm
세계에도	세계/ncn+에/jca+도/jxc
컴퓨터가	컴퓨터/ncn+가/jcs
끼어들고	끼어들/pvg+고/ecc
있습니다	있/paa+습니다/ef
.	./sf

아니	아니/mag
,	,/sp
끼어든	끼어들/pvg+ㄴ/etm
정도가	정도/nbn+가/jcc
아니라	아니/paa+라/ecs
일정	일정/ncn
부분에서는	부분/ncn+에서/jca+는/jxc
벌써	벌써/mag
주인	주인/ncn
역할을	역할/ncn+을/jco
하고	하/pvg+고/ecx
있습니다	있/px+습니다/ef
.	./sf

컴퓨터	컴퓨터/ncn
음악이라	음악/ncn+이/jp+라/ef
함은	하/pvg+ㅁ/etn+은/jxc
단순히	단순/ncn+히/xsa
저장되어	저장/ncpa+되/xsv+어/ecx
있는	있/paa+는/etm
음악만	음악/ncn+만/jxc
들려	들리/pvg+어/ecx
주는	주/px+는/etm
것이	것/nbn+이/jcs
아니라	아니/paa+라/ecs
,	,/sp
작기도	작/paa+기/etn+도/jxc
하고	하/pvg+고/ecc
,	,/sp
즉시	즉시/mag
그것을	그것/npd+을/jco
컴퓨터가	컴퓨터/ncn+가/jcs
연주해	연주/ncpa+하/xsv+어/ecx
주고	주/px+고/ecc
,	,/sp
기존의	기존/ncn+의/jcm
음악들을	음악/ncn+들/xsn+을/jco
편곡도	편곡/ncn+도/jxc
해	하/pvg+어/ecx
주는	주/px+는/etm
것을	것/nbn+을/jco
말합니다	말/ncpa+하/xsv+ㅂ니다/ef
.	./sf

뿐만	뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
,	,/sp
요즘	요즘/mag
유행하는	유행/ncpa+하/xsv+는/etm
노래방의	노래방/ncn+의/jcm
기기처럼	기기/ncn+처럼/jca
노래의	노래/ncn+의/jcm
반주를	반주/ncn+를/jco
해	하/pvg+어/ecx
주기도	주/px+기/etn+도/jxc
합니다	하/pvg+ㅂ니다/ef
.	./sf

이	이/mmd
뮤직	뮤직/ncn
카드라는	카드/ncn+라/ef+는/etm
특별한	특별/ncps+하/xsm+ㄴ/etm
장치를	장치/ncn+를/jco
컴퓨터	컴퓨터/ncn
속에	속/ncn+에/jca
있는	있/paa+는/etm
특정한	특정/ncpa+하/xsv+ㄴ/etm
장소에	장소/ncn+에/jca
끼워	끼우/pvg+어/ecx
놓으면	놓/pvg+으면/ecs
컴퓨터	컴퓨터/ncn
음악을	음악/ncn+을/jco
할	하/pvg+ㄹ/etm
수	수/nbn
있지요	있/paa+지/ef+요/jxf
.	./sf

물론	물론/mag
뮤직	뮤직/ncn
카드들을	카드/ncn+들/xsn+을/jco
지원하는	지원/ncpa+하/xsv+는/etm
특정한	특정/ncps+하/xsm+ㄴ/etm
프로그램들을	프로그램/ncn+들/xsn+을/jco
같이	같/paa+이/xsa
사용해야	사용/ncpa+하/xsv+어야/ecs
하겠지요	하/pvg+겠/ep+지/ef+요/jxf
.	./sf

어떤	어떻/pad+ㄴ/etm
소프트웨어를	소프트웨어/ncn+를/jco
쓰느냐에	쓰/pvg+느냐/ef+에/jca
따라	따르/pvg+아/ecs
게임기	게임/ncn+기/xsn
,	,/sp
워드프로세서	워드프로세서/ncn
,	,/sp
전자	전자/ncn
계산기	계산/ncn+기/xsn
,	,/sp
데이터	데이터/ncn
베이스	베이스/ncn
,	,/sp
그래픽	그래픽/ncn
에디터	에디터/ncn
등등	등등/nbn
여러	여러/mma
가지	가지/nbu
용도로	용도/ncn+로/jca
컴퓨터를	컴퓨터/ncn+를/jco
활용할	활용/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있으니까요	있/paa+으니까/ecs+요/jxf
.	./sf

정보화	정보/ncn+화/xsn
시대의	시대/ncn+의/jcm
꽃	꽃/ncn
,	,/sp
컴퓨터	컴퓨터/ncn
통신	통신/ncn
여러분도	여러분/npp+도/jxc
잘	잘/mag
아시다시피	알/pvg+시/ep+다시피/ecs
통신이란	통신/ncn+이/jp+란/jxc
한	한/nnc
지역에서	지역/ncn+에서/jca
다른	다르/paa+ㄴ/etm
지역으로	지역/ncn+으로/jca
사람이	사람/ncn+이/jcs
직접	직접/mag
가지	가/pvg+지/ecx
않고도	않/px+고/ecc+도/jxc
서로의	서로/ncn+의/jcm
의사를	의사/ncn+를/jco
교화하는	교화/ncpa+하/xsv+는/etm
것을	것/nbn+을/jco
말합니다	말/ncpa+하/xsv+ㅂ니다/ef
.	./sf

통신	통신/ncn
수단이라	수단/ncn+이/jp+라/ef
하면	하/pvg+면/ecs
우리는	우리/npp+는/jxc
가장	가장/mag
쉽게	쉽/paa+게/ecc
전화를	전화/ncn+를/jco
예로	예/ncn+로/jca
들	들/pvg+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf

상대방의	상대방/ncn+의/jcm
모습은	모습/ncn+은/jxc
볼	보/pvg+ㄹ/etm
수	수/nbn
없지만	없/paa+지만/ecs
,	,/sp
전화를	전화/ncn+를/jco
통한	통하/pvg+ㄴ/etm
음성의	음성/ncn+의/jcm
교류로	교류/ncn+로/jca
서로의	서로/ncn+의/jcm
안부	안부/ncn
,	,/sp
혹은	혹은/maj
새로운	새롭/paa+ㄴ/etm
정보를	정보/ncn+를/jco
교환	교환/ncn
할	하/pvg+ㄹ/etm
수	수/nbn
있기	있/paa+기/etn
때문입니다	때문/nbn+이/jp+ㅂ니다/ef
.	./sf

컴퓨터	컴퓨터/ncn
통신이란	통신/ncn+이/jp+라/ef+ㄴ/jxc
바로	바로/mag
이와	이/npd+와/jct
같은	같/paa+은/etm
전화의	전화/ncn+의/jcm
원리를	원리/ncn+를/jco
한층	한층/mag
더	더/mag
응용하여	응용/ncpa+하/xsv+여/ecc
자신의	자신/npp+의/jcm
컴퓨터와	컴퓨터/ncn+와/jct
다른	다르/paa+ㄴ/etm
곳의	곳/ncn+의/jcm
컴퓨터를	컴퓨터/ncn+를/jco
연결시켜	연결/ncpa+시키/xsv+어/ecs
사용하는	사용/ncpa+하/xsv+는/etm
것을	것/nbn+을/jco
말합니다	말/ncpa+하/xsv+ㅂ니다/ef
.	./sf

이때	이/mmd+때/ncn
반드시	반드시/mag
`	`/sl
모뎀	모뎀/ncn
(	(/sl
Modem	Modem/f
)`	)/sr+`/sr
이라는	이/jp+라/ef+는/etm
특수한	특수/ncps+하/xsm+ㄴ/etm
장치가	장치/ncn+가/jcs
있어야	있/paa+어야/ecs
합니다	하/pvg+ㅂ니다/ef
.	./sf

모뎀과	모뎀/ncn+과/jcj
통신용	통신/ncn+용/xsn
소프트웨어에	소프트웨어/ncn+에/jca
대해서는	대하/pvg+어서/ecs+는/jxc
뒤에서	뒤/ncn+에서/jca
자세히	자세/ncn+히/xsa
다루도록	다루/pvg+도록/ecs
하겠습니다	하/pvg+겠/ep+습니다/ef
.	./sf

정보화	정보/ncn+화/xsn
시대를	시대/ncn+를/jco
출발시킨	출발/ncpa+시키/xsv+ㄴ/etm
것이	것/nbn+이/jcs
컴퓨터라면	컴퓨터/ncn+라/ef+면/ecs
,	,/sp
특히	특히/mag
통신망과	통신/ncn+망/ncn+과/jct
결합되는	결합/ncpa+되/xsv+는/etm
뉴미디어들의	뉴미디어/ncn+들/xsn+의/jcm
발전의	발전/ncn+의/jcm
정보의	정보/ncn+의/jcm
공유를	공유/ncn+를/jco
한층	한층/mag
강화시키며	강화/ncpa+시키/xsv+며/ecs
정보화	정보/ncn+화/xsn
시대를	시대/ncn+를/jco
발전시키는	발전/ncpa+시키/xsv+는/etm
결정적인	결정/ncn+적/xsn+이/jp+ㄴ/etm
요인이	요인/ncn+이/jcc
됩니다	되/pvg+ㅂ니다/ef
.	./sf

통신망과	통신/ncn+망/ncn+과/jct
결합된	결합/ncpa+되/xsv+ㄴ/etm
컴퓨터들은	컴퓨터/ncn+들/xsn+은/jxc
흩어져	흩/pvg+어/ecx+지/px+어/ecx
있으면서도	있/px+으면서/ecs+도/jxc
사실상	사실/ncn+상/xsn
합쳐져	합치/pvg+어/ecx+지/px+어/ecx
있는	있/px+는/etm
효과를	효과/ncn+를/jco
내는	내/pvg+는/etm
셈입니다	셈/nbn+이/jp+ㅂ니다/ef
.	./sf

예를	예/ncn+를/jco
들어	들/pvg+어/ecs
,	,/sp
다른	다르/paa+ㄴ/etm
사람들이	사람/ncn+들/xsn+이/jcs
입력한	입력/ncpa+하/xsv+ㄴ/etm
정보	정보/ncn
중에	중/nbn+에/jca
나에게	나/npp+에게/jca
필요한	필요/ncps+하/xsm+ㄴ/etm
정보가	정보/ncn+가/jcs
있다면	있/paa+다/ef+면/ecs
찾아	찾/pvg+아/ecs
사용하고	사용/ncpa+하/xsv+고/ecc
,	,/sp
내가	내/npp+가/jcs
입력한	입력/ncpa+하/xsv+ㄴ/etm
정보를	정보/ncn+를/jco
다른	다르/paa+ㄴ/etm
사람들이	사람/ncn+들/xsn+이/jcs
역시	역시/mag
유용하게	유용/ncpa+하/xsv+게/ecx
사용한다면	사용/ncpa+하/xsv+ㄴ다/ef+면/ecs
,	,/sp
정보	정보/ncn
수집과	수집/ncn+과/jcj
추적에	추적/ncn+에/jca
들어가는	들/pvg+어/ecx+가/px+는/etm
막대한	막대/ncps+하/xsm+ㄴ/etm
인적	인/ncn+적/xsn
,	,/sp
물적	물/ncn+적/xsn
자원을	자원/ncn+을/jco
아낄	아끼/pvg+ㄹ/etm
수	수/nbn
있으니까요	있/paa+으니까/ef+요/jxf
.	./sf

그러므로	그러므로/maj
컴퓨터와	컴퓨터/ncn+와/jcj
통신은	통신/ncn+은/jxc
앞으로	앞/ncn+으로/jca
뗄래야	떼/pvg+ㄹ래야/ecs
뗄	떼/pvg+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
관계로	관계/ncn+로/jca
계속	계속/mag
무한대로	무한대/ncn+로/jca
발전할	발전/ncpa+하/xsv+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf

지금부터	지금/ncn+부터/jxc
여러분도	여러분/npp+도/jxc
컴퓨터라는	컴퓨터/ncn+라/ef+는/etm
램프의	램프/ncn+의/jcm
확실한	확실/ncps+하/xsm+ㄴ/etm
주인이	주인/ncn+이/jcc
되어야	되/pvg+어야/ecs
합니다	하/pvg+ㅂ니다/ef
.	./sf

주문만	주문/ncn+만/jxc
적당히	적당/ncn+히/xsa
외워	외우/pvg+어/ecx
주면	주/px+면/ecs
,	,/sp
요	요/mmd
컴퓨터라는	컴퓨터/ncn+라/ef+는/etm
마술	마술/ncn
램프를	램프/ncn+를/jco
마음대로	마음/ncn+대로/jca
써먹을	쓰/pvg+어/ecx+먹/px+을/etm
수	수/nbn
있으니까요	있/paa+으니까/ef+요/jxf
.	./sf

자	자/ii
,	,/sp
가볍고	가볍/paa+고/ecc
부드럽게	부드럽/paa+게/ecc
컴퓨터	컴퓨터/ncn
글자판	글자/ncn+판/ncn
(	(/sl
Keyboard	Keyboard/f
)	)/sr
에	에/jca
손을	손/ncn+을/jco
올려	올리/pvg+어/ecx
봅시다	보/px+ㅂ시/ep+다/ef
.	./sf

글자판	글자/ncn+판/ncn
(	(/sl
Keyboard	Keyboard/f
)	)/sr
을	을/jco
쳐	치/pvg+어/ecx
보세요	보/px+시/ep+어/ef+요/jxf
컴퓨터에	컴퓨터/ncn+에/jca
정보를	정보/ncn+를/jco
입력하거나	입력/ncpa+하/xsv+거나/ecc
어떤	어떻/pad+ㄴ/etm
명령을	명령/ncn+을/jco
주려면	주/pvg+려면/ecs
,	,/sp
반드시	반드시/mag
글자판	글자/ncn+판/ncn
(	(/sl
키보드	키보드/ncn
)	)/sr
을	을/jco
두드려야	두드리/pvg+어야/ecs
합니다	하/pvg+ㅂ니다/ef
.	./sf

그러므로	그러므로/maj
효율적으로	효율/ncn+적/xsn+으로/jca
컴퓨터를	컴퓨터/ncn+를/jco
사용하려면	사용/ncpa+하/xsv+려면/ecs
,	,/sp
우선	우선/mag
무엇보다도	무엇/npd+보다/jca+도/jxc
타자	타자/ncn
실력을	실력/ncn+을/jco
높여야	높이/pvg+어야/ecs
합니다	하/pvg+ㅂ니다/ef
.	./sf

그저	그저/mag
꾸준히	꾸준/ncn+히/xsa
연습을	연습/ncn+을/jco
해서	하/pvg+어서/ecs
마치	마치/mag
연필로	연필/ncn+로/jca
글씨를	글씨/ncn+를/jco
쓰듯	쓰/pvg+듯/ecs
컴퓨터의	컴퓨터/ncn+의/jcm
글자판이	글자/ncn+판/ncn+이/jcs
손에	손/ncn+에/jca
익어야	익/pvg+어야/ecs
합니다	하/pvg+ㅂ니다/ef
.	./sf

알아두면	알/pvg+아/ecx+두/px+면/ecs
좋지요	좋/paa+지/ef+요/jxf
타자를	타자/ncn+를/jco
잘	잘/mag
치려면	치/pvg+려면/ef
.....?	....../se+?/sf

당시	당시/ncn
형편으로서는	형편/ncn+으로서/jca+는/jxc
꽤	꽤/mag
거금을	거금/ncn+을/jco
주고	주/pvg+고/ecx
산	사/pvg+ㄴ/etm
것이라	것/nbn+이/jp+라/ecs
그냥	그냥/mag
놔둘	놔두/pvg+ㄹ/etm
수는	수/nbn+는/jxc
없다고	없/paa+다/ef+고/jcr
생각했습니다	생각/ncpa+하/xsv+었/ep+습니다/ef
.	./sf

경쾌한	경쾌/ncps+하/xsm+ㄴ/etm
음악을	음악/ncn+을/jco
들으며	들/pvg+으며/ecs
`	`/sl
마치	마치/mag
독수리가	독수리/ncn+가/jcs
먹이를	먹이/ncn+를/jco
쪼듯	쪼/pvg+듯/ecs
`	`/sr
치며	치/pvg+며/ecs
하루	하루/ncn
이틀	이틀/ncn
계속하다	계속/ncpa+하/xsv+다/ecx
보니	보/px+니/ecs
손톱이	손톱/ncn+이/jcs
들떠서	들뜨/pvg+어서/ecs
무척	무척/mag
아팠습니다	아프/paa+았/ep+습니다/ef
.	./sf

기타도	기타/ncn+도/jxc
제대로	제대로/mag
못	못/mag
치는	치/pvg+는/etm
ㄴ주라	ㄴ주/pvg+라/ecs
여기서	여기/npd+서/jca
그만두면	그만/mag+두/pvg+면/ecs
영영	영영/mag
못	못/mag
배우겠다는	배우/pvg+겠/ep+다/ef+는/etm
생각이	생각/ncn+이/jcs
들어	들/pvg+어/ecs
,	,/sp
손톱에	손톱/ncn+에/jca
스카치	스카치/ncn
테이프를	테이프/ncn+를/jco
감아	감/pvg+아/ecs
가면서	가/pvg+면서/ecs
계속	계속/mag
쳤습니다	치/pvg+었/ep+습니다/ef
.	./sf

예를	예/ncn+를/jco
들어	들/pvg+어/ecs
,	,/sp
이런	이런/mmd
식이었지요	식/nbn+이/jp+었/ep+지/ef+요/jxf
.	./sf

정말	정말/mag
재미가	재미/ncn+가/jcs
없어서	없/paa+어서/ecs
라디오를	라디오/ncn+를/jco
꼭	꼭/mag
켜놓고	켜/pvg+어/ecx+놓/px+고/ecc
똑같이	똑같/paa+이/xsa
반복하여	반복/ncpa+하/xsv+여/ecx
연습만	연습/ncn+만/jxc
했습니다	하/pvg+었/ep+습니다/ef
.	./sf

지루하기도	지루/ncps+하/xsm+기/etn+도/jxc
했지만	하/pvg+었/ep+지만/ecs
계속	계속/mag
꾸준하게	꾸준/ncps+하/xsm+게/ecs
연습했습니다	연습/ncpa+하/xsv+었/ep+습니다/ef
.	./sf

글자판을	글자/ncn+판/ncn+을/jco
보면서	보/pvg+면서/ecs
치면	치/pvg+면/ecs
별로	별로/mag
나아지지가	나아지/pvg+지/ecx+가/jcs
않는다고	않/px+는다/ef+고/jcr
해서	하/pvg+어서/ecs
절대	절대/mag
보지	보/pvg+지/ecx
않았지요	않/px+았/ep+지/ef+요/jxf
.	./sf

처음엔	처음/ncn+에/jca+ㄴ/jxc
약간	약간/mag
어색하더니	어색/ncps+하/xsm+더니/ecs
놀라울	놀랍/paa+ㄹ/etm
정도로	정도/nbn+로/jca
속력이	속력/ncn+이/jcs
붙기	붙/pvg+기/etn
시작하였습니다	시작/ncpa+하/xsv+었/ep+습니다/ef
.	./sf

손톱이	손톱/ncn+이/jcs
처음엔	처음/ncn+에/jca+ㄴ/jxc
약간	약간/mag
어색하더니	어색/ncps+하/xsm+더니/ecs
놀라울	놀랍/paa+ㄹ/etm
정도로	정도/ncn+로/jca
속력이	속력/ncn+이/jcs
붙기	붙/pvg+기/etn
시작하였습니다	시작/ncpa+하/xsv+었/ep+습니다/ef
.	./sf

손톱이	손톱/ncn+이/jcs
들뜰	들뜨/pvg+ㄹ/etm
정도로	정도/nbn+로/jca
연습하였기	연습/ncpa+하/xsv+었/ep+기/etn
때문에	때문/nbn+에/jca
손가락	손가락/ncn
힘도	힘/ncn+도/jxc
어느	어느/mmd
정도	정도/ncn
붙어	붙/pvg+어/ecs
그렇게	그렇/pad+게/ecs
되지	되/pvg+지/ecx
않았나	않/px+았/ep+나/ef
합니다	하/pvg+ㅂ니다/ef
.	./sf

그리고	그리고/maj
무엇보다도	무엇/npd+보다/jca+도/jxc
처음	처음/mag
타자를	타자/ncn+를/jco
치면서	치/pvg+면서/ecs
자꾸	자꾸/mag
받게	받/pvg+게/ecs
되는	되/pvg+는/etm
유혹을	유혹/ncn+을/jco
견뎌냈기	견디/pvg+어/ecx+내/px+었/ep+기/etn
때문이겠지요	때문/nbn+이/jp+겠/ep+지/ef+요/jxf
.	./sf

사실	사실/mag
타자기로	타자/ncn+기/xsn+로/jca
찍혀	찍히/pvg+어/ecx
나오는	나오/px+는/etm
글자를	글자/ncn+를/jco
보면	보/pvg+면/ecs
신기한	신기/ncps+하/xsm+ㄴ/etm
나머지	나머지/ncn
꾸준한	꾸준/ncps+하/xsm+ㄴ/etm
연습도	연습/ncn+도/jxc
없이	없/paa+이/xsa
자꾸	자꾸/mag
문자를	문자/ncn+를/jco
만들고	만들/pvg+고/ecx
싶어집니다	싶/px+어/ecx+지/px+ㅂ니다/ef
.	./sf

섣불리	섣불리/mag
문장을	문장/ncn+을/jco
만들다	만들/pvg+다/ecs
보면	보/px+면/ecs
좋지	좋/paa+지/ecx
않은	않/px+은/etm
타자	타자/ncn
습관이	습관/ncn+이/jcs
붙어서	붙/pvg+어서/ecs
영영	영영/mag
효율적으로	효율/ncn+적/xsn+으로/jca
치기	치/pvg+기/etn
힘들어집니다	힘/ncn+들/pvg+어/ecx+지/px+ㅂ니다/ef
.	./sf

대신	대신/mag
,	,/sp
꾸준하게	꾸준/ncps+하/xsm+게/ecs
반복	반복/ncn
연습을	연습/ncn+을/jco
하라	하/pvg+라/ef
!	!/sf

그런데	그런데/maj
지금은	지금/ncn+은/jxc
타자	타자/ncn
실력을	실력/ncn+을/jco
높여	높이/pvg+어/ecx
주는	주/px+는/etm
여러	여러/mma
가지	가지/nbu
타자	타자/ncn
연습용	연습/ncn+용/xsn
소프트웨어들도	소프트웨어/ncn+들/xsn+도/jxc
많이	많/paa+이/xsa
나와	나오/pvg+아/ecx
있으니	있/px+으니/ecs
,	,/sp
그것을	그것/npd+을/jco
이용하는	이용/ncpa+하/xsv+는/etm
것도	것/nbn+도/jxc
좋겠지요	좋/paa+겠/ep+지/ef+요/jxf
.	./sf

101키	101/nnc+키/ncn+는/jxc
커서	커서/ncn
(	(/sl
Cursor	Cursor/f
)	)/sr
이동키와	이동/ncn+키/ncn+와/jcj
각종	각종/ncn
특수	특수/ncn
키를	키/ncn+를/jco
따로	따로/mag
설치해	설치/ncpa+하/xsv+어/ecx
놓고	놓/px+고/ecc
,	,/sp
86키보드의	86/nnc+키보드/ncn+의/jcm
왼쪽에	왼쪽/ncn+에/jca
있는	있/paa+는/etm
기능키를	기능/ncn+키/ncn+를/jco
글자판	글자/ncn+판/ncn
제일	제일/ncn
윗줄에	윗줄/ncn+에/jca
놓았다는	놓/pvg+았/ep+다/ef+는/etm
점이	점/ncn+이/jcs
다릅니다	다르/paa+ㅂ니다/ef
.	./sf

복잡한	복잡/ncps+하/xsm+ㄴ/etm
나머지	나머지/ncn
두려워	두렵/paa+어/ecs
뭔가	뭐/npd+ㄴ가/ef
만져	만지/pvg+어/ecx
보는	보/px+는/etm
것도	것/nbn+도/jxc
망설여집니다	망설이/pvg+어/ecx+지/px+ㅂ니다/ef
.	./sf

괜히	괜히/mag
잘못	잘못/mag
두드려서	두드리/pvg+어서/ecs
컴퓨터가	컴퓨터/ncn+가/jcs
망가지지나	망가지/pvg+지/ecx+나/ecx
않을까	않/px+을까/ef
.	./sf

수십만	수십만/nnc
번	번/nbu
,	,/sp
수백만	수백만/nnc
번	번/nbu
두드려도	두드리/pvg+어도/ecs
고장나는	고장/ncn+나/pvg+는/etm
법이	법/nbn+이/jcs
거의	거의/mag
없습니다	없/paa+습니다/ef
.	./sf

그리고	그리고/maj
보면	보/pvg+면/ecs
,	,/sp
글자판은	글자/ncn+판/ncn+은/jxc
단순한	단순/ncpa+하/xsv+ㄴ/etm
입력	입력/ncn
장치로서	장치/ncn+로서/jca
그	그/mmd
원리도	원리/ncn+도/jxc
무척	무척/mag
간단합니다	간단/ncpa+하/xsv+ㅂ니다/ef
.	./sf

`	`/sl
3	3/nnc
`	`/sr
을	을/jco
치면	치/pvg+면/ecs
그것을	그것/npd+을/jco
기계적으로	기계/ncn+적/xsn+으로/jca
변화시켜서	변화/ncpa+시키/xsv+어서/ecs
컴퓨터의	컴퓨터/ncn+의/jcm
명령	명령/ncn
처리	처리/ncn
장치로	장치/ncn+로/jca
보내	보내/pvg+어/ecx
주는	주/px+는/etm
역할을	역할/ncn+을/jco
할	하/pvg+ㄹ/etm
뿐입니다	뿐/nbn+이/jp+ㅂ니다/ef
.	./sf

그러므로	그러므로/maj
고장날까	고장/ncn+나/pvg+ㄹ까/ef
두려워하지	두렵/paa+어/ecx+하/px+지/ecx
말고	말/px+고/ecc
열심히	열심/ncn+히/xsa
글자판을	글자/ncn+판/ncn+을/jco
두드려야	두드리/pvg+어야/ecs
합니다	하/pvg+ㅂ니다/ef
.	./sf

우선	우선/mag
글자판을	글자/ncn+판/ncn+을/jco
자유	자유/ncn
자재로	자재/ncn+로/jca
활용하려면	활용/ncn++하/xsv+려면/ecs
,	,/sp
두드리는	두드리/pvg+는/etm
손가락의	손가락/ncn+의/jcm
위치가	위치/ncn+가/jcs
중요합니다	중요/ncps+하/xsm+ㅂ니다/ef
.	./sf

