<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0146.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0146.txt </filename>
<title>정보화사회와 글로벌도시  </title>
<author>원제무, 박용훈 공저  </author>
<date> 1993 </date>
<publisher>박영사  </publisher>
<kdc>331.541  </kdc>
<ddc> 303.483 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
국제환경	국제/ncn+환경/ncn
있다	있/px+다/ef
.	./sf
고령화	고령/ncn+화/xsn
사회의	사회/ncn+의/jcm
도래	도래/ncn
우리나라의	우리/npp+나라/ncn+의/jcm
인구구조는	인구/ncn+구조/ncn+는/jxc
개발도상국형인	개발/ncn+도상/ncn+국/xsn+형/xsn+이/jp+ㄴ/etm
피라미드형에서	피라미드/ncn+형/xsn+에서/jca
선진국형인	선진/ncn+국/xsn+형/xsn+이/jp+ㄴ/etm
종형으로	종/ncn+형/xsn+으로/jca
옮겨가는	옮기/pvg+어/ecs+가/pvg+는/etm
과도기적	과도/ncn+기/xsn+적/xsn
형태로	형태/ncn+로/jca
중간연령층이	중간/ncn+연령/ncn+층/xsn+이/jcs
두터워지고	두텁/paa+어/ecx+지/px+고/ecs
출생률이	출생/ncn+률/xsn+이/jcs
떨어지면서	떨어지/pvg+면서/ecc
저연령층	저/xp+연령/ncn+층/xsn
인구의	인구/ncn+의/jcm
감소가	감소/ncn+가/jcs
현저히	현저/ncn+히/xsa
표출되는	표출/ncpa+되/xsv+는/etm
구조다	구조/ncn+다/ef
.	./sf
이것은	이것/npd+은/jcs
연령별	연령/ncn+별/xsn
인구구조의	인구/ncn+구조/ncn+의/jcm
변동추이를	변동/ncn+추이/ncn+를/jco
살펴보면	살피/pvg+어/ecs+보/pvg+면/ecs
잘	잘/mag
알	알/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
즉	즉/mag
14	14/nnc
세	세/nbu
이하의	이하/ncn+의/jcm
경우는	경우/ncn+는/jxc
앞으로	앞/ncn+으로/jca
낮은	낮/paa+은/etm
출생률이	출생/ncn+률/xsn+이/jcs
지속되면서	지속/ncpa+되/xsv+면서/ecc
계속	계속/mag
감소할	감소/ncpa+하/xsv+ㄹ/etm
것이고	것/nbn+이/jp+고/ecc
생산연령층인	생산/ncn+연령/ncn+층/xsn+이/jp+ㄴ/etm
15	15/nnc
-	-/sd
64	64/nnc
세	세/nbu
사이의	사이/ncn+의/jcm
인구는	인구/ncn+는/jxc
앞으로	앞/ncn+으로/jca
완만한	완만/ncps+하/x느+ㄴ/etm
증가를	증가/ncn+를/jco
보이면서	보이/pvg+면서/ecc
21	21/nno
세기에는	세기/ncn+에/jca+는/jxc
70	70/nnc
%를	%/su+를/jco
상회하게	상회/ncpa+하/xsv+게/ecs
될	되/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그러나	그러나/maj
65	65/nnc
세	세/nbu
이상의	이상/ncn+의/jcm
고령인구는	고령/ncn+인구/ncn+는/jcs
낮은	낮/paa+은/etm
출산율과	출산/ncn+율/xsn+과/jcj
평균수명의	평균/ncn+수명/ncn+의/jcm
연장으로	연장/ncn+으로/jca
현재의	현재/ncn+의/jcm
5.0	5.0/nnc
%	%/su
수준에서	수준/ncn+에서/jca
크게	크/paa+게/ecs
증가할	증가/ncpa+하/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
예상되는데	예상/ncpa+되/xsv+는데/ecs
보사부는	보사부/nq+는/jxc
2010	2010/nno
년경의	년/nbu+경/xsn+의/jcm
고령인구	고령/ncn+인구/ncn
비율이	비율/ncn+이/jcs
12.5	12.5/nnc
%	%/su
수준이	수준/ncn+이/jcc
될	되/pvg+ㄹ/etm
것이라고	것/nbn+이/jp+라고/ecs
점치고	점치/pvg+고/ecx
있다	있/px+다/ef
.	./sf
특히	특히/mag
30	30/nnc
년	년/nbu
후인	후/ncn+이/jp+ㄴ/etm
2020	2020/nno
년대에는	년대/nbu+에/jca+는/jxc
전체	전체/ncn
인구	인구/ncn
중에서	중/nbn+에서/jca
노령인구가	노령/ncn+인구/ncn+가/jcs
차지하는	차지/ncpa+하/xsv+는/etm
비율이	비율/ncn+이/jcs
18.4	18.4/nnc
%에	%/su+에/jca
이를	이르/pvg+ㄹ/etm
것으로	것/nbn+으로/jca
예상되고	예상/ncpa+되/xsv+고/ecx
있어서	있/px+어서/ecs
앞으로	앞/ncn+으로/jca
고령인구에	고령/ncn+인구/ncn+에/jca
대한	대하/pvg+ㄴ/etm
근본적이고	근본/ncn+적/xsn+이/jp+고/ecc
장기적인	장기/ncn+적/xsn+이/jp+ㄴ/etm
정책적	정책/ncn+적/xsn
배려가	배려/ncn+가/jxc
중요과제로	중요/ncn+과제/ncn+로/jca
떠오를	떠오르/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
인구구조가	인구/ncn+구조/ncn+가/jcs
변화되면서	변화/ncpa+되/xsv+면서/ecc
가장	가장/mag
두드러지게	두드러지/pvg+게/ecx
나타나는	나타나/pvg+는/etm
특징은	특징/ncn+은/jcs
피부양인구비의	피부양/ncn+인구/ncn+비/ncn+의/jcm
감소를	감소/ncn+를/jco
들	들/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
'	'/sl
부양비	부양/ncn+비/ncn
'	'/sr
라고	라고/jcr
하는	하/pvg+는/etm
단어는	단어/ncn+는/jxc
인구구조를	인구/ncn+구조/ncn+를/jco
경제학적으로	경제/ncn+학/xsn+적/xsn+으로/jca
분석하기	분석/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecx
사용되는데	사용/ncpa+되/xsv+는데/ecs
,	,/sp
피부양인구비는	피부양/ncn+인구/ncn+비/ncn+는/jcs
피부양연령층의	피부양/ncn+연령/ncn+층/xsn+의/jcm
인구를	인구/ncn+를/jco
생산가능연령층	생산/ncn+가능/ncn+연령/ncn+층/xsn
인구의	인구/ncn+의/jcm
비율로	비율/ncn+로/jca
나타낸	나타내/pvg+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
즉	즉/mag
생산활동이	생산/ncn+활동/ncn+이/jcs
가능한	가능/ncpa+하/xsv+ㄴ/etm
인구	인구/ncn
1	1/nnc
명이	명/nbu+이/jcs
평균적으로	평균/ncn+적/xsn+으로/jca
부양하는	부양/ncpa+하/xsv+는/etm
인구수를	인구/ncn+수/ncn+를/jco
나타내는	나타내/pvg+는/etm
지수를	지수/ncn+를/jco
의미한다	의미/ncpa+하/xsv+ㄴ다/ef
.	./sf
우리나라의	우리/npp+나라/ncn+의/jcm
부양비는	부양/ncn+비/ncn+는/jxc
센서스가	센서스/ncn+가/jcs
실시된	실시/ncpa+되/xsv+ㄴ/etm
1990	1990/nno
년에	년/nbu+에/jca
44.5	44.5/nnc
%로	%/su+로/jca
나타났는데	나타나/pvg+았/ep+는데/ecs
최근	최근/ncn
몇	몇/nnc
년간	년/nbu+간/xsn
이	이/mmd
비율은	비율/ncn+은/jxc
감소추세에	감소/ncn+추세/ncn+에/jca
있다	있/paa+다/ef
.	./sf
이	이/mmd
비율은	비율/ncn+은/jxc
앞으로	앞/ncn+으로/jca
고령인구가	고령/ncn+인구/ncn+가/jcs
증가하면	증가/ncpa+하/xsv+면/ecs
부양비는	부양/ncn+비/ncn+는/jxc
다시	다시/mag
상승할	상승/ncpa+하/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
보인다	보이/pvg+ㄴ다/ef
.	./sf
이와	이/npd+와/jct
함께	함께/mag
우리나라의	우리/npp+나라/ncn+의/jcm
인구구조는	인구/ncn+구조/ncn+는/jxc
앞으로	앞/ncn+으로/jca
급속한	급속/ncps+하/xsm+ㄴ/etm
고령화	고령/ncn+화/xsn
추이를	추이/ncn+를/jco
보이게	보이/pvg+게/ecs
되고	되/pvg+고/ecc
평균수명의	평균/ncn+수명/ncn+의/jcm
연장이	연장/ncn+이/jcs
가속화	가속/ncn+화/xsn
되어	되/pvg+어/ecs
인구의	인구/ncn+의/jcm
고령화가	고령/ncn+화/xsn+가/jcs
급진전될	급진전/ncpa+되/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
예상된다	예상/ncpa+되/xsv+ㄴ다/ef
.	./sf
고령화	고령/ncn+화/xsn
사회가	사회/ncn+가/jcs
도래하면	도래/ncpa+하/xsv+면/ecs
우리사회에는	우리/npp+사회/ncn+에/jca+는/jxc
어떤	어떤/mmd
문제가	문제/ncn+가/jcs
발생할	발생/ncpa+하/xsv+ㄹ/etm
것인가	것/nbn+이/jp+ㄴ가/ef
?	?/sf
과연	과연/mag
사회의	사회/ncn+의/jcm
원동력이라고	원동/ncn+력/xsn+이/jp+라고/ecs
할	하/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
경제활동인구가	경제/ncn+활동/ncn+인구/ncn+가/jcs
앞으로도	앞/ncn+으로/jca+도/jxc
현재의	현재/ncn+의/jcm
수준을	수준/ncn+을/jco
유지할	유지/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
것인가	것/nbn+이/jp+ㄴ가/ef
?	?/sf
고령화	고령/ncn+화/xsn
사회를	사회/ncn+를/jco
앞	앞/ncn
둔	두/pvg+ㄴ/etm
시점에서는	시점/ncn+에서/jca+는/jxc
이	이/mmd
문제도	문제/ncn+도/jxc
중요한	중요/ncpa+하/xsv+ㄴ/etm
과제가	과제/ncn+가/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
왜냐하면	왜냐하면/maj
사회를	사회/ncn+를/jco
지탱하는	지탱/ncpa+하/xsv+는/etm
노동력은	노동/ncn+력/xsn+은/jxc
바로	바로/mag
노동에	노동/ncn+에/jca
종사할	종사/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
경제활동인구로부터	경제/ncn+활동/ncn+인구/ncn+로/jca+부터/jxc
나오기	나오/pvg+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
일반적으로	일반/ncn+적/xsn+으로/jca
한	한/nnc
사회의	사회/ncn+의/jcm
노동력을	노동/ncn+력/xsn+을/jco
산정하기	산정/ncpa+하/xsv+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
노동을	노동/ncn+을/jco
제공하고	제공/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
근로자의	근로/ncn+자/xsn+의/jcm
수를	수/ncn+를/jco
추계한다	추계/ncpa+하/xsv+ㄴ다/ef
.	./sf
따라서	따라서/maj
미래의	미래/ncn+의/jcm
노동력을	노동/ncn+력/xsn+을/jco
알아보기	알/pvg+아/ecx+보/px+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
앞으로	앞/ncn+으로/jca
어느	어느/ncn
정도의	정도/ncn+의/jcm
인구가	인구/ncn+가/jcs
노동을	노동/ncn+을/jco
제공할	제공/ncpa+하/xsv+ㄹ/etm
의사가	의사/ncn+가/jcs
있으며	있/paa+으며/ecs
이들	이/npd+들/xsn
중	중/ncn
일자리를	일자리/ncn+를/jco
갖게	갖/pvg+게/ecs
되는	되/pvg+는/etm
사람은	사람/ncn+은/jxc
얼마나	얼마나/mag
되는	되/pvg+는/etm
것인지를	것/nbn+이/jp+ㄴ지를/ecs
파악해야	파악/ncpa+하/xsv+어야/ecx
한다	하/px+ㄴ다/ef
.	./sf
사회구성원	사회/ncn+구성/ncn+원/xsn
중에서	중/nbn+에서/jca
일을	일/ncn+을/jco
할	하/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
사람의	사람/ncn+의/jcm
수를	수/ncn+를/jco
파악하는	파악/ncpa+하/xsv+는/etm
일은	일/ncn+은/jxc
그	그/mmd
사회의	사회/ncn+의/jcm
경제	경제/ncn
,	,/sp
사회	사회/ncn
,	,/sp
그리고	그리고/maj
문화적	문화/ncn+적/xsn
특성을	특성/ncn+을/jco
이해하는	이해/ncpa+하/xsv+는/etm
데도	데/nbn+도/jxc
큰	크/paa+ㄴ/etm
도움이	도움/ncn+이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
사회구성원	사회/ncn+구성/ncn+원/xsn
중에서	중/nbn+에서/jca
일을	일/ncn+을/jco
하려는	하/pvg+려/ecs+는/etm
의사가	의사/ncn+가/jcs
있는	있/paa+는/etm
사람을	사람/ncn+을/jco
경제학에서는	경제/ncn+학/xsn+에서/jca+는/jxc
'	'/sl
경제활동인구	경제/ncn+활동/ncn+인구/ncn
'	'/sr
로	로/jca
구분하고	구분/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
그런데	그런데/maj
경제활동인구는	경제/ncn+활동/ncn+인구/ncn+는/jcs
곧	곧/maj
전체	전체/ncn
인구에서	인구/ncn+에서/jca
일을	일/ncn+을/jco
하고자	하/pvg+고자/ecx
하는	하/pvg+는/etm
의사가	의사/ncn+가/jcs
있는	있/paa+는/etm
일부분이므로	일부분/ncn+이/jp+므로/ecs
경제활동인구는	경제/ncn+활동/ncn+인구/ncn+는/jcs
전체인구의	전체/ncn+인구/ncn+의/jcm
규모에	규모/ncn+에/jca
의하여	의하/pvg+어/ecx
결정된다	결정/ncpa+되/xsv+ㄴ다/ef
.	./sf
그런데	그런데/maj
우리나라의	우리/npp+나라/ncn+의/jcm
경제활동인구는	경제/ncn+활동/ncn+인구/ncn+는/jcs
전후	전후/ncn
출생한	출생/ncpa+하/xsv+ㄴ/etm
베이비	베이비/ncn
붐	붐/ncn
세대가	세대/ncn+가/jcs
장년	장년/ncn
중년층에	중년/ncn+층/xsn+에/jca
도달하여	도달/ncpa+하/xsv+어/ecx
주된	주되/pvg+ㄴ/etm
경제활동	경제/ncn+활동/ncn
연령층에	연령/ncn+층/xsn+에/jca
진입하게	진입/ncpa+하/xsv+게/ecs
되어감에	되/pvg+어/ecx+가/px+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
꾸준히	꾸준/ncn+히/xsa
증가하고	증가/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
21	nq[21/nno
세기위원회에서는	세기/ncn+위원/ncn+회/xsn]nq+에서/jca+는/jxc
경제활동	경제/ncn+활동/ncn
참가율을	참가/ncn+율/xsn+을/jco
기준으로	기준/ncn+으로/jca
장래의	장래/ncn+의/jcm
노동력을	노동/ncn+력/xsn+을/jco
전망하고	전망/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
우리나라의	우리/npp+나라/ncn+의/jcm
경제활동참가율은	경제/ncn+활동/ncn+참가/ncn+율/xsn+은/jcs
전체	전체/ncn
남자의	남자/ncn+의/jcm
경우	경우/ncn
1970	1970/nno
년부터	년/nbu+부터/jca
1990	1990/nno
년대의	년/nbu+대/xsn
중반까지는	중반/ncn+까지/jca+는/jxc
점차	점차/mag
하락하여	하락/ncpa+하/xsv+어/ecx
왔으나	오/px+았/ep+으나/ecs
80	80/nno
년대	년대/nbu
후반부터는	후반/ncn+부터/jxc+는/jxc
다시	다시/mag
반전되어	반전/ncpa+되/xsv+어/ecx
상승하는	상승/ncpa+하/xsv+는/etm
추세를	추세/ncn+를/jco
보이고	보이/pvg+고/ecx
있다	있/px+다/ef
.	./sf
그런데	그런데/maj
이러한	이러하/pad+ㄴ/etm
경향은	경향/ncn+은/jxc
2000	2000/nno
년대	년대/nbu
후반부터는	후반/ncn+부터/jxc+는/jxc
다시	다시/mag
반전되어	반전/ncpa+되/xsv+어/ecx
상승하는	상승/ncpa+하/xsv+는/etm
추세를	추세/ncn+를/jco
보이고	보이/pvg+고/ecx
있다	있/px+다/ef
.	./sf
그런데	그런데/maj
이러한	이러하/pad+ㄴ/etm
경향은	경향/ncn+은/jxc
2000	2000/nno
년대	년/nbu+대/xsn
이후에는	이후/ncn+에/jca+는/jxc
일정	일정/ncn
수준을	수준/ncn+을/jco
유지하게	유지/ncpa+하/xsv+게/ecs
되어	되/pvg+어/ecs
경제활동참가율은	경제/ncn+활동/ncn+참가/ncn+율/xsn+은/jcs
안정상태를	안정/ncn+상태/ncn+를/jco
유지할	유지/ncpa+하/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
보인다	보이/pvg+ㄴ다/ef
.	./sf
우리나라	우리/npp+나라/ncn
여자의	여자/ncn+의/jcm
경제활동	경제/ncn+활동/ncn
참가율은	참가/ncn+율/xsn+은/jxc
70	70/nno
년대	년대/nbu
이후	이후/ncn
꾸준히	꾸준/ncn+히/xsa
상승되어	상승/ncpa+되/xsv+어/ecx
왔는데	오/px+았/ep+는데/ecs
이와	이/npd+와/jct
같은	같/paa+은/etm
추세는	추세/ncn+는/jxc
1990	1990/nno
년대에도	년대/nbu+에도/jca
지속될	지속/ncpa+되/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
보인다	보이/pvg+ㄴ다/ef
.	./sf
남자의	남자/ncn+의/jcm
경우	경우/ncn
,	,/sp
1970	1970/nno
년에는	년/nbu+에/jca+는/jxc
77	77/nnc
.	./sf
9	9/nnc
%에서	%/su+에서/jca
1988	1988/nno
년에	년/nbu+에/jca
72.9	72.9/nnc
%로	%/su+로/jca
경제활동	경제/ncn+활동/ncn
참가율은	참가/ncn+율/xsn+은/jxc
하락하였지만	하락/ncpa+하/xsv+었/ep+지만/ecs
같은	같/paa+은/etm
기간	기간/ncn
동안에	동안/ncn+에/jca
경제활동인구의	경제/ncn+활동/ncn+인구/ncn+의/jcm
절대수는	절대/ncn+수/ncn+는/jxc
1970	1970/nno
년의	년/nbu+의/jcm
645	645/nnc
만	만/nnc
명에서	명/nbu+에서/jca
1988	1988/nno
년에	년/nbu+에/jca
72.9	72.9/nnc
%로	%/su+로/jca
경제활동	경제/ncn+활동/ncn
참가율은	참가/ncn+율/xsn+은/jxc
하락하였지만	하락/ncpa+하/xsv+었/ep+지만/ecs
같은	같/paa+은/etm
기간	기간/ncn
동안에	동안/ncn+에/jca
경제활동인구의	경제/ncn+활동/ncn+인구/ncn+의/jcm
절대수는	절대/ncn+수/ncn+는/jxc
1970	1970/nno
년의	년/nbu+의/jcm
645	645/nnc
만	만/nnc
명에서	명/nbu+에서/jca
1988	1988/nnoi
년의	년/nbu+의/jcm
1,041	1,041/nnc
만	만/nnc
명으로	명/nbu+으로/jca
대폭증가하였다	대폭/ncn+증가/ncpa+하/xsv+었/ep+다/ef
.	./sf
이것은	이것/npd+은/jcs
인구증가와	인구/ncn+증가/ncn+와/jct
함께	함께/mag
연령별	연령/ncn+별/xsn
인구구성의	인구/ncn+구성/ncn+의/jcm
변화에	변화/ncn+에/jca
기인한	기인/ncpa+하/xsv+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
대신에	대신/ncn+에/jca
참가율이	참가/ncn+율/xsn+이/jcs
낮아진	낮/paa+아/ecx+지/px+ㄴ/etm
것은	것/nbn+은/jxc
경제활동	경제/ncn+활동/ncn
참가율이	참가/ncn+율/xsn+이/jcs
상대적으로	상대/ncn+적/xsn+으로/jca
낮은	낮/paa+은/etm
수준인	수준/ncn+이/jp+ㄴ/etm
고령인구의	고령/ncn+인구/ncn+의/jcm
증가와	증가/ncn+와/jcj
저연령층의	저/xp+연령/ncn+층/xsn+의/jcm
참가율이	참가/ncn+율/xsn+이/jcs
큰	크/paa+ㄴ/etm
폭으로	폭/ncn+으로/jca
하락하였기	하락/ncpa+하/xsv+었/ep+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
21	21/nno
세기의	세기/ncn+의/jcm
노동인력	노동/ncn+인력/ncn
우리나라는	우리/npp+나라/ncn+는/jxc
1960	1960/nno
년대	년대/nbu
이후	이후/ncn
고도성장시대를	고도/ncn+성장/ncn+시대/ncn+를/jco
지나오면서	지나/pvg+아/ecs+오/pvg+면서/ecs
노동인력수요가	노동/ncn+인력/ncn+수요/ncn+가/jcs
계속	계속/mag
증가하여	증가/ncpa+하/xsv+어/ecx
실업률이	실업/ncn+률/xsn+이/jcs
전반적으로	전반/ncn+적/xsn+으로/jca
하락	하락/ncn
,	,/sp
노동인력의	노동/ncn+인력/ncn+의/jcm
수요와	수요/ncn+와/jcj
공급은	공급/ncn+은/jxc
대체로	대체로/mag
균형을	균형/ncn+을/jco
유지해	유지/ncpa+하/xsv+어/ecx
왔다	오/px+았/ep+다/ef
.	./sf
그러나	그러나/maj
1980	1980/nno
년대	년대/nbu
후반	후반/ncn
이후	이후/ncn
대내외	대내외/ncn
경제여건의	경제/ncn+여건/ncn+의/jcm
변화를	변화/ncn+를/jco
초래함에	초래/ncpa+하/xsv+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
노동인력	노동/ncn+인력/ncn
공급패턴도	공급/ncn+패턴/ncn+도/jxc
크게	크/paa+게/ecx
변화하였다	변화/ncpa+하/xsv+였/ep+다/ef
.	./sf
노동인력	노동/ncn+인력/ncn
공급패턴의	공급/ncn+패턴/ncn+의/jcm
변화는	변화/ncn+는/jxc
곧	곧/maj
산업별	산업/ncn+별/xsn
고용구조에	고용/ncn+구조/ncn+에/jca
인력수급	인력/ncn+수급/ncn
불균형을	불/xp+균형/ncn+을/jco
초래하게	초래/ncpa+하/xsv+게/ecs
되었다	되/pvg+었/ep+다/ef
.	./sf
즉	즉/mag
,	,/sp
사무직	사무/ncn+직/xsn
인력은	인력/ncn+은/jxc
구직난이	구직/ncn+난/xsn+이/jcs
심화되고	심화/ncpa+되/xsv+고/ecx
있는	있/px+는/etm
반면	반면/maj
,	,/sp
기능생산직이나	기능/ncn+생산/ncn+직/xsn+이나/jcj
단순노무직	단순/ncn+노무/ncn+직/xsn
인력은	인력/ncn+은/jxc
크게	크/paa+게/ecx
부족하여	부족/ncps+하/xsv+여/ecx
노동을	노동/ncn+을/jco
근간으로	근간/ncn+으로/jca
하는	하/pvg+는/etm
제조업체에서는	제조/ncn+업체/ncn+에서/jca+는/jxc
구인난이	구인/ncn+난/xsn+이/jcs
심각한	심각/ncps+하/xsm+ㄴ/etm
상태에	상태/ncn+에/jca
놓여	놓이/pvg+어/ecx
있다	있/px+다/ef
.	./sf
그	그/mmd
동안	동안/ncn
우리나라는	우리/npp+나라/ncn+는/jcs
산업구조의	산업/ncn+구조/ncn+의/jcm
고도화가	고도/ncn+화/xsn+가/jcs
진전되면서	진전/ncpa+되/xsv+면서/ecc
취업구조	취업/ncn+구조/ncn
역시	역시/mag
제조업	제조/ncn+업/xsn
및	및/maj
서비스업부문	서비스/ncn+업/xsn+부문/ncn
위주로	위주/ncn+로/jca
변화되어	변화/ncpa+되/xsv+어/ecx
왔으나	오/pvg+았/ep+으나/ecs
,	,/sp
최근	최근/ncn
들어서는	들/pvg+어서/ecs+는/jxc
제조업에서	제조/ncn+업/xsn+에서/jca
취업비중이	취업/ncn+비중/ncn+이/jcs
줄어들고	줄/pvg+어/ecx+들/px+고/ecc
서비스업부문에서는	서비스업/ncn+부문/ncn+에서/jca+는/jxc
취업비중이	취업/ncn+비중/ncn+이/jcs
현저하게	현저/ncps+하/xsm+게/ecx
늘어나고	늘/pvg+어/ecs+나/pvg+고/ecx
있는	있/px+는/etm
실정이다	실정/ncn+이/jp+다/ef
.	./sf
그렇다면	그렇다면/maj
앞으로	앞/ncn+으로/jca
산업활동에	산업/ncn+활동/ncn+에/jca
필요한	필요/ncps+하/xsm+ㄴ/etm
노동력의	노동/ncn+력/xsn+의/jcm
수요와	수요/ncn+와/jcj
공급은	공급/ncn+은/jxc
어떤	어떤/mmd
상황이	상황/ncn+이/jcc
될	되/pvg+ㄹ/etm
것인가	것/nbn+이/jp+ㄴ가/ef
?	?/sf
이	이/mmd
문제는	문제/ncn+는/jxc
21	21/nno
세기의	세기/ncn+의/jcm
한국경제에	한국/nq+경제/ncn+에/jca
있어서	있/paa+어서/ecs
매우	매우/mag
중요한	중요/ncps+하/xsm+ㄴ/etm
문제가	문제/ncn+가/jcc
될	되/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
한국개발연구원에서	한국개발연구원/nq+에서/jca
예측한	예측/ncpa+하/xsv+ㄴ/etm
자료에	자료/ncn+에/jca
의하면	의하/pvg+면/ecs
앞으로	앞/ncn+으로/jca
우리나라는	우리/npp+나라/ncn+는/jxc
인력수요가	인력/ncn+수요/ncn+가/jcs
꾸준히	꾸준/ncn+히/xsa
증가하는	증가/ncpa+하/xsv+는/etm
것으로	것/nbn+으로/jca
나타나고	나타나/pvg+고/ecx
있다	있/px+다/ef
.	./sf
지난	지나/pvg+ㄴ/etm
1985	1985/nno
년에는	년/nbu+에/jca+는/jxc
인력수요가	인력/ncn+수요/ncn+가/jcs
14,572,000	14,572,000/nnc
명이었으나	명/nbu+이/jp+었/ep+으나/ecs
1990	1990/nno
년에는	년/nbu+에/jca+는/jxc
15,928,000	15,928,000/nnc
명으로	명/nbu+으로/jca
증가되었으며	증가/ncpa+되/xsv+었/ep+으며/ecs
,	,/sp
앞으로	앞/ncn+으로/jca
1995	1995/nno
년에는	년/nbu+에/jca+는/jxc
17,063,000	17,063,000/nnc
명으로	명/nbu+으로/jca
증가하는	증가/ncpa+하/xsv+는/etm
것으로	것/nbn+으로/jca
되어	되/pvg+어/ecx
있다	있/px+다/ef
.	./sf
즉	즉/mag
,	,/sp
1985	1985/nno
년에서	년/nbu+에서/jca
1990	1990/nno
년까지는	년/nbu+까지/jxc+는/jxc
인력수요가	인력/ncn+수요/ncn+가/jcs
연평균	연평균/ncn
1.8	1.8/nnc
%의	%/su+의/jcm
증가율을	증가/ncn+율/xsn+을/jco
보였으나	보이/pvg+었/ep+으나/ecs
,	,/sp
1990	1990/nno
년에서	년/nbu+에서/jca
1995	1995/nno
년까지는	년/nbu+까지/jxc+는/jxc
연평균	연평균/ncn
1.4	1.4/nnc
%의	%/su+의/jcm
증가율을	증가/ncn+율/xsn+을/jco
유지할	유지/ncpa+하/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
전망하고	전망/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
그리고	그리고/maj
1995	1995/nno
년에서	년/nbu+에서/jca
2020	2020/nno
년까지는	년/nbu+까지/jxc+는/jxc
연평균	연평균/ncn
0.9	0.9/nnc
%의	%/su+의/jcm
인력수요	인력/ncn+수요/ncn
증가를	증가/ncn+를/jco
예상하고	예상/ncpa+하/xsv+고/ecx
있는데	있/px+는데/ecs
2020	2020/nno
년에는	년/nbu+에/jca+는/jxc
총인력수요가	총/xp+인력/ncn+수요/ncn+가/jcs
21,467,000	21,467,000/nnc
명에	명/nbu+에/jca
이를	이르/pvg+ㄹ/etm
것으로	것/nbn+으로/jca
보고	보/pvg+고/ecx
있다	있/px+다/ef
.	./sf
통일	통일/ncn
후의	후/ncn+의/jcm
인구변화	인구/ncn+변화/ncn
통일이	통일/ncn+이/jcs
멀지	멀/paa+지/ecx
않은	않/px+은/etm
시점에서	시점/ncn+에서/jca
이제	이제/mag
인구문제는	인구/ncn+문제/ncn+는/jcs
더	더/mag
이상	이상/ncn
남한만의	남한/nq+만/jxc+의/jcm
문제는	문제/ncn+는/jcc
아니다	아니/paa+다/ef
.	./sf
통일은	통일/ncn+은/jxc
인구문제에	인구/ncn+문제/ncn+에/jca
있어서도	있/paa+어서도/ecs
단순히	단순/ncn+히/xsa
두	두/nnc
개의	개/nbu+의/jcm
인구집단이	인구/ncn+집단/ncn+이/jcs
통합되는	통합/ncpa+되/xsv+는/etm
것	것/nbn
이상의	이상/ncn+의/jcm
영향을	영향/ncn+을/jco
줄	주/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
인구학적	인구/ncn+학/xsn+적/xsn
차원에서	차원/ncn+에서/jca
보면	보/pvg+면/ecs
통일은	통일/ncn+은/jxc
