<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 97-kaist_corpus_97_social_pos_bac027.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_social97_bac027.txt </filename>
<title> 한국의 토종 </title>
<author> 박남일 </author>
<date>  </date>
<publisher>  </publisher>
<kdc>380.911  </kdc>
<ddc>390.09519  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
한국의	nq[한국/nq+의/jcm
열매에서	열매/ncn+에서/jca
가루가나오는	가루/ncn+가/jcs+나오/pvg+는/etm
비율은	비율/ncn+은/jxc
70	70/nnc
~	~/sd
75	75/nnc
%	%/su
정도이다	정도/ncn+이/jp+다/ef
.	./sf
메밀의	메밀/ncn+의/jcm
재배역사는	재배/ncn+역사/ncn+는/jxc
비교적	비교/ncn+적/xsn
짧다	짧/paa+다/ef
.	./sf
원산지는	원산/ncn+지/xsn+는/jxc
동아시아의	동아시아/nq+의/jcm
온대	온대/ncn
북부	북부/ncn
,	,/sp
아무르강	아무르강/nq
,	,/sp
만주	만주/nq
,	,/sp
바이칼호	바이칼호/nq
부근이다	부근/ncn+이/jp+다/ef
.	./sf
7	7/nnc
~	~/sd
9	9/nnc
세기의	세기/nbu+의/jcm
당나라	당나라/nq
때	때/ncn
일반에게	일반/ncn+에게/jca
알려져	알리/pvg+어/ecx+지/px+어/ecs
10	10/nnc
~	~/sd
13	13/nnc
세기	세기/nbu
경에	경/xsn+에/jca
널리	널리/mag
보급되었다고	보급/ncpa+되/xsv+었/ep+다고/ecs
한다	하/pvg+ㄴ다/ef
.	./sf
문헌상의	문헌/ncn+상/xsn+의/jcm
기록을	기록/ncn+을/jco
보면	보/pvg+면/ecs
서기	서기/ncn
713	713/nno
년	년/nbu
경에	경/xsn+에/jca
나온	나오/pvg+ㄴ/etm
{	{/sl
식료본초	식료본초/nq
(	(/sl
食療本草	食療本草/nq
)}	)/sr+}/sr
에	에/jca
메밀에	메밀/ncn+에/jca
관한기록이	관하/pvg+ㄴ/etm+기록/ncn+이/jcs
나오며	나오/pvg+며/ecc
이보다	이/npd+보다/jca
시대적으로	시대/ncn+적/xsn+으로/jca
앞선	앞서/pvg+ㄴ/etm
{	{/sl
제민요술	제민요술/nq
(	(/sl
濟民要術	濟民要術/nq
)}	)/sr+}/sr
의	의/jcm
잡설	잡설/ncn
(	(/sl
雜說	雜說/ncn
)	)/sr
에	에/jca
메밀가꾸기에	메밀/ncn+가꾸/pvg+기/etn+에/jca
대하여	대하/pvg+어/ecs
상세하게	상세/ncps+하/xsm+게/ecs
나온다	나오/pvg+ㄴ다/ef
.	./sf
그러나	그러나/maj
최근에	최근/ncn+에/jca
중국	중국/nq
한나라	한나라/nq
시대의	시대/ncn+의/jcm
분묘에서	분묘/ncn+에서/jca
메밀이	메밀/ncn+이/jcs
출토된	출토/ncpa+되/xsv+ㄴ/etm
사실로	사실/ncn+로/jca
미루어메밀의	미루/pvg+어/ecs+메밀/ncn+의/jcm
역사는	역사/ncn+는/jxc
지금까지	지금/ncn+까지/jxc
밝혀진	밝히/pvg+어/ecx+지/px+ㄴ/etm
연대보다	연대/ncn+보다/jca
훨씬	훨씬/mag
이전으로	이전/ncn+으로/jca
거슬러	거스르/pvg+어/ecs
올라간다는	오르/pvg+아/ecx+가/px+ㄴ다/ef+는/etm
것을	것/nbn+을/jco
알수	알/pvg+ㄹ/etm+수/nbn
있다	있/paa+다/ef
.	./sf
-	-/sd
125	125/nno
-	-/sd
우리나라에는	우리/npp+나라/ncn+에/jca+는/jxc
기원전	기원/ncn+전/ncn
8	8/nno
세기	세기/nbu
이전에중국으로부터	이전/ncn+에/jca+중국/nq+으로/jca+부터/jxc
들어왔고	들어오/pvg+았/ep+고/ecc
,	,/sp
이후	이후/ncn
일본으로	일본/nq+으로/jca
전했다고	전하/pvg+었/ep+다고/ecs
한다	하/pvg+ㄴ다/ef
.	./sf
일본에서	일본/nq+에서/jca
8	8/nno
세기	세기/nbu
경에	경/ncn+에/jca
이미메밀	이미/mag+메밀/ncn
재배를	재배/ncn+를/jco
장려했다는	장려/ncpa+하/xsv+었/ep+다/ef+는/etm
기록이	기록/ncn+이/jcs
있는	있/paa+는/etm
것으로	것/nbn+으로/jca
미루어	미루/pvg+어/ecs
원산지에서	원산/ncn+지/xsn+에서/jca
가까운우리나라에는	가깝/paa+ㄴ/etm+우리/npp+나라/ncn+에/jca+는/jxc
그보다	그/npd+보다/jca
훨씬	훨씬/mag
이전에	이전/ncn+에/jca
재배되었을	재배/ncpa+되/xsv+었/ep+을/etm
가능성도	가능/ncn+성/xsn+도/jxc
배제할	배제/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf
우리나라의	우리/npp+나라/ncn+의/jcm
옛	옛/mma
문헌에서	문헌/ncn+에서/jca
메밀에	메밀/ncn+에/jca
대한	대하/pvg+ㄴ/etm
기록은	기록/ncn+은/jxc
{	{/sl
향약구급방	향약구급방/nq
}	}/sr
에	에/jca
최초로	최초/ncn+로/jca
나온다	나오/pvg+ㄴ다/ef
.	./sf
메밀은	메밀/ncn+은/jxc
생육기간이	생육/ncn+기간/ncn+이/jcs
짧고	짧/paa+고/ecc
추위에	추위/ncn+에/jca
잘	잘/mag
견딘다	견디/pvg+ㄴ다/ef
.	./sf
파종해서부터	파종/ncpa+하/xsv+어서/ecs+부터/jxc
약	약/ncn
2	2/nnc
개월	개월/nbu
후	후/ncn
수확할	수확/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
환경에	환경/ncn+에/jca
대한	대하/pvg+ㄴ/etm
적응성이	적응/ncn+성/xsn+이/jcs
강하고한대지방이나	강하/paa+고/ecc+한대/ncn+지방/ncn+이나/jcj
높은	높/paa+은/etm
산지에서도	산지/ncn+에서/jca+도/jxc
잘	잘/mag
자라므로	자라/pvg+므로/ecs
옛날부터	옛날/ncn+부터/jxc
구황작물로	구황/ncn+작물/ncn+로/jca
이용되어왔다	이용/ncpa+되/xsv+어/ecx+오/px+았/ep+다/ef
.	./sf
즉	즉/maj
,	,/sp
극심한	극심/ncps+하/xsm+ㄴ/etm
흉년이	흉년/ncn+이/jcs
들었을	들/pvg+었/ep+을/etm
때	때/ncn
대작	대작/ncn
(	(/sl
代作	代作/ncn
)	)/sr
이나	이나/jcj
토양이	토양/ncn+이/jcs
척박한흉작지대에서	척박/ncps+하/xsm+ㄴ/etm+흉작/ncn+지대/ncn+에서/jca
응급작으로	응급/ncn+작/xsn+으로/jca
재배되었던	재배/ncpa+되/xsv+었/ep+더/ep+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이처럼	이/npd+처럼/jca
구황식물로	구황/ncn+식물/ncn+로/jca
우리	우리/npp
조상들의	조상/ncn+들/xsn+의/jcm
배고픔을	배/ncn+고프/paa+ㅁ/etn+을/jco
면하게	면하/pvg+게/ecx
해주었던	하/px+어/ecx+주/px+었/ep+더/ep+ㄴ/etm
메밀은언제부턴가	메밀/ncn+은/jxc+언제/npd+부터/jxc+ㄴ가/ef
메밀국수	메밀국수/ncn
,	,/sp
냉면	냉면/ncn
등의	등/nbn+의/jcm
특수한	특수/ncps+하/xsm+ㄴ/etm
향토음식	향토/ncn+음식/ncn
문화를	문화/ncn+를/jco
발전시켜	발전/ncpa+시키/xsv+어/ecx
주었으며근래에	주/px+었/ep+으며/ecc+근래/ncn
와서는	오/pvg+아서/ecs+는/jxc
건강식품으로	건강/ncn+식품/ncn+으로/jca
각광을	각광/ncn+을/jco
받고	받/pvg+고/ecx
있다	있/px+다/ef
.	./sf
성분	성분/ncn
메밀의	메밀/ncn+의/jcm
과피를	과피/ncn+를/jco
제외한	제외/ncpa+하/xsv+ㄴ/etm
메밀분의	메밀분/ncn+의/jcm
주성분은	주/mma+성분/ncn+은/jxc
탄수화물로	탄수화물/ncn+로/jca
전분	전분/ncn
(	(/sl
녹말	녹말/ncn
)	)/sr
이	이/jcs
주가	주/ncn+가/jcs
되는데	되/xsv+는데/ecs
아밀라제	아밀라제/ncn
(	(/sl
Amylose	Amylose/f
)	)/sr
25	25/nnc
%,	%/su+,/sp
아밀로펙틴	아밀로펙틴/ncn
(	(/sl
Amylopectin	Amylopectin/f
)	)/sr
75	75/nnc
%	%/su
로	로/jca
구성되어있다	구성/ncpa+되/xsv+어/ecx+있/px+다/ef
.	./sf
메밀에는	메밀/ncn+에/jca+는/jxc
특히	특히/mag
필수	필수/ncn
아미노산과	아미노산/ncn+과/jcj
식물성단백질이	식물/ncn+성/xsn+단백질/ncn+이/jcs
풍부하며	풍부/ncps+하/xsm+며/ecc
,	,/sp
비타민	비타민/ncn
B1	B/f+1/nno
과	과/jcj
B2	B/f+2/nno
,	,/sp
칼륨	칼륨/ncn
,	,/sp
인산	인산/ncn
등도	등/nbn+도/jxc
많이	많/paa+이/xsa
들어	들/pvg+어/ecx
있다	있/px+다/ef
.	./sf
또모세혈관을	또/maj+모세/ncn+혈관/ncn+을/jco
튼튼하게	튼튼/ncps+하/xsm+게/ecs
해주는	하/pvg+어/ecx+주/px+는/etm
성분도	성분/ncn+도/jxc
들어	들/pvg+어/ecx
있어	있/px+어/ecs
혈압환자에게는	혈압/ncn+환자/ncn+에게/jca+는/jxc
아주	아주/mag
좋은	좋/paa+은/etm
식품이다	식품/ncn+이/jp+다/ef
.	./sf
메밀은	메밀/ncn+은/jxc
다른	다르/paa+ㄴ/etm
곡류에	곡류/ncn+에/jca
비해	비하/pvg+어/ecs
리신	리신/ncn
,	,/sp
트레오닌	트레오닌/ncn
,	,/sp
트립토판	트립토판/ncn
등의	등/nbn+의/jcm
필수	필수/ncn
아미노산이많아	아미노산/ncn+이/jcs+많/paa+아/ecs
식물성	식물/ncn+성/xsn
단백질로서는	단백질/ncn+로서/jca+는/jxc
우수한	우수/ncps+하/xsm+ㄴ/etm
식품이다	식품/ncn+이/jp+다/ef
.	./sf
그러므로	그러므로/maj
우리나라	우리/npp+나라/ncn
사람들이메밀국수	사람/ncn+들/xsn+이/jcs+메밀국수/ncn
및	및/maj
메밀묵	메밀묵/ncn
등을	등/nbn+을/jco
많이	많/paa+이/xsa
먹는	먹/pvg+는/etm
것은	것/nbn+은/jxc
매우	매우/mag
합리적인	합리/ncn+적/xsn+이/jp+ㄴ/etm
식생활이라	식생활/ncn+이라/jca
하겠다	하/pvg+겠/ep+다/ef
.	./sf
비타민	비타민/ncn
B1	B/f+1/nno
의	의/jcm
함량이	함량/ncn+이/jcs
매우	매우/mag
높고	높/paa+고/ecc
,	,/sp
특히	특히/mag
모세혈관을	모세/ncn+혈관/ncn+을/jco
보강하는	보강/ncpa+하/xsv+는/etm
루틴이	루틴/ncn+이/jcs
포함되어	포함/ncpa+되/xsv+어/ecx
있어	있/px+어/ecs
모세혈관	모세/ncn+혈관/ncn
출혈방지	출혈/ncn+방지/ncn
및	및/maj
고혈압	고/xp+혈압/ncn
예방에	예방/ncn+에/jca
효과가	효과/ncn+가/jcs
있다	있/paa+다/ef
.	./sf
메밀에는	메밀/ncn+에/jca+는/jxc
많은	많/paa+은/etm
효소가	효소/ncn+가/jcs
존재하므로	존재/ncpa+하/xsv+므로/ecs
보존에	보존/ncn+에/jca
주의해야	주의/ncpa+하/xsv+어야/ecs
한다	하/pvg+ㄴ다/ef
.	./sf
쓰임새	쓰임새/ncn
메밀은	메밀/ncn+은/jxc
외국에서는	외국/ncn+에서/jca+는/jxc
주로	주로/mag
사료용으로쓰이나	사료/ncn+용/xsn+으로/jca+쓰이/pvg+나/ecs
한국	한국/nq
,	,/sp
일본	일본/nq
등지에서는	등지/ncn+에서/jca+는/jxc
식용으로도	식용/ncn+으로/jca+도/jxc
수요가	수요/ncn+가/jcs
많다	많/paa+다/ef
.	./sf
이를테면	이를테면/maj
유럽이나미국에서는	유럽/nq+이나/jcj+미국/nq+에서/jca+는/jxc
메밀순을	메밀순/ncn+을/jco
소	소/ncn
,	,/sp
돼지	돼지/ncn
사육용	사육/ncn+용/xsn
사료로	사료/ncn+로/jca
사용하고	사용/ncpa+하/xsv+고/ecc
,	,/sp
인도에서는	인도/nq+에서/jca+는/jxc
이것을소채로	이것/npd+을/jco+소채/ncn+로/jca
먹기도	먹/pvg+기/etn+도/jxc
한다	하/pvg+ㄴ다/ef
.	./sf
또한	또한/maj
독일에서는	독일/nq+에서/jca+는/jxc
메밀로	메밀/ncn+로/jca
맥주	맥주/ncn
,	,/sp
증류주	증류/ncn+주/xsn
등	등/nbn
술의	술/ncn+의/jcm
원료로	원료/ncn+로/jca
쓴다	쓰/pvg+ㄴ다/ef
.	./sf
한편	한편/maj
우리나라에서는	우리/npp+나라/ncn+에서/jca+는/jxc
메밀국수	메밀국수/ncn
,	,/sp
메밀묵	메밀묵/ncn
,	,/sp
메밀부침	메밀부침/ncn
등으로	등/nbn+으로/jca
식탁에	식탁/ncn+에/jca
오르거나	오르/pvg+거나/ecc
메밀묵과	메밀묵/ncn+과/jcj
닭고기를	닭고기/ncn+를/jco
맑은	맑/paa+은/etm
장국에	장국/ncn+에/jca
넣어	넣/pvg+어/ecs
끓인	끓이/pvg+ㄴ/etm
다음	다음/ncn
여기에	여기/npd+에/jca
계란을	계란/ncn+을/jco
풀어	풀/pvg+어/ecs
갖은	갖/pvg+은/etm
고명을	고명/ncn+을/jco
얹은	얹/pvg+은/etm
유탕	유탕/ncn
(	(/sl
乳湯	乳湯/ncn
)	)/sr
등을	등/nbn+을/jco
보신제로	보신/ncn+제/xsn+로/jca
먹기도한다	먹/pvg+기/etn+도/jxc+하/pvg+ㄴ다/ef
.	./sf
또한	또한/maj
우리나라에서는	우리/npp+나라/ncn+에서/jca+는/jxc
옛날부터	옛날/ncn+부터/jxc
메밀껍질을	메밀/ncn+껍질/ncn+을/jco
베갯속으로	베갯속/ncn+으로/jca
이용해	이용/ncpa+하/xsv+어/ecx
왔다	오/px+았/ep+다/ef
.	./sf
메밀	메밀/ncn
가루에는	가루/ncn+에/jca+는/jxc
프롤라민의	프롤라민/ncn+의/jcm
함량이	함량/ncn+이/jcs
적으며	적/paa+으며/ecc
메밀가루	메밀/ncn+가루/ncn
입자	입자/ncn
상호간의	상호/ncn+간/xsn+의/jcm
끈기가약하므로	끈기/ncn+가/jcs+약하/paa+므로/ecs
밀가루를	밀가루/ncn+를/jco
30	30/nnc
~	~/sd
80	80/nnc
%	%/su
정도	정도/ncn
배합하고	배합/ncpa+하/xsv+고/ecc
소금을	소금/ncn+을/jco
첨가하여	첨가/ncpa+하/xsv+어/ecs
물로	물/ncn+로/jca
반죽한	반죽/ncpa+하/xsv+ㄴ/etm
다음	다음/ncn
'	'/sl
메밀국수	메밀국수/ncn
'	'/sr
를	를/jco
만든다	만들/pvg+ㄴ다/ef
.	./sf
특히	특히/mag
우리나라에서는	우리/npp+나라/ncn+에서/jca+는/jxc
옛날부터	옛날/ncn+부터/jxc
메밀가루로	메밀/ncn+가루/ncn+로/jca
죽을만든	죽/ncn+을/jco+만들/pvg+ㄴ/etm
다음	다음/ncn
이것을	이것/npd+을/jco
굳혀서	굳히/pvg+어서/ecs
젤리상태의	젤리/ncn+상태/ncn+의/jcm
[	[/sl
메밀묵	메밀묵/ncn
]	]/sr
을	을/jco
만들었다	만들/pvg+었/ep+다/ef
.	./sf
그리고	그리고/maj
메밀의	메밀/ncn+의/jcm
연한잎사귀는	연하/paa+ㄴ/etm+잎사귀/ncn+는/jxc
데쳐서	데치/paa+어서/ecs
나물로	나물/ncn+로/jca
무쳐	무치/pvg+어/ecs
먹기도	먹/pvg+기/etn+도/jxc
했다	하/pvg+었/ep+다/ef
.	./sf
메밀가루는	메밀/ncn+가루/ncn+는/jxc
너무	너무/mag
희면	희/paa+면/ecs
영양분이	영양/ncn+분/xsn+이/jcs
적다	적/paa+다/ef
.	./sf
감피	감피/ncn
(	(/sl
甘皮	甘皮/ncn
)	)/sr
부분이나	부분/ncn+이나/jcj
겉껍질의	겉/ncn+껍질/ncn+의/jcm
부서진가루가	부서지/pvg+ㄴ/etm+가루/ncn+가/jcs
많이	많/paa+이/xsa
섞여	섞이/pvg+어/ecx
있을수록	있/px+을수록/ecs
영양면에서	영양/ncn+면/ncn+에서/jca
좋으며	좋/paa+으며/ecc
향기도	향기/ncn+도/jxc
높다	높/paa+다/ef
.	./sf
또한	또한/maj
메밀은	메밀/ncn+은/jxc
열매	열매/ncn
뿐만	뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
줄기나	줄기/ncn+나/jcj
잎에도	잎/ncn+에/jca+도/jxc
루틴의	루틴/ncn+의/jcm
함량이풍부하므로	함량/ncn+이/jcs+풍부/ncps+하/xsm+므로/ecs
채소로	채소/ncn+로/jca
이용할	이용/ncpa+하/xsv+ㄹ/etm
수도	수/nbn+도/jxc
있다	있/paa+다/ef
.	./sf
{	{/sl
본초강목	본초강목/nq
}	}/sr
에	에/jca
의하면	의하/pvg+면/ecs
'	'/sl
메밀은	메밀/ncn+은/jxc
장과	장/ncn+과/jcj
위를실	위/ncn+를/jco+실/ncps
(	(/sl
實	實/ncps
)	)/sr
하게	하/xsm+게/ecx
하고	하/px+고/ecc
북돋아준다	북돋/pvg+아/ecx+주/px+ㄴ다/ef
.	./sf
또한	또한/maj
적체	적체/ncn
(	(/sl
積滯	積滯/ncn
),	)/sr+,/sp
풍통	풍통/ncn
(	(/sl
風痛	風痛/nq
),	)/sr+,/sp
설사	설사/ncn
등을없애준다	등/nbn+을/jco+없애/pvg+어/ecx+주/px+ㄴ다/ef
'	'/sr
고	고/jcr
한다	하/pvg+ㄴ다/ef
.	./sf
{	{/sl
식료본초	식료본초/nq
}	}/sr
에는	에/jca+는/jxc
'	'/sl
메밀은	메밀/ncn+은/jxc
정신을	정신/ncn+을/jco
맑게해주고	맑/paa+게/ecx+하/px+어/ecx+주/px+고/ecc
오장의	오장/ncn+의/jcm
부패물을	부패/ncn+물/xsn+을/jco
제거시켜	제거/ncpa+시키/xsv+어/ecx
준다	주/px+ㄴ다/ef
'	'/sr
고	고/jcr
기록되어	기록/ncpa+되/xsv+어/ecx
있다	있/px+다/ef
.	./sf
실제로	실제/ncn+로/xsa
요즘에	요즘/ncn+에/jca
민간요법을연구하는	민간/ncn+요법/ncn+을/jco+연구/ncpa+하/xsv+는/etm
사람들은	사람/ncn+들/xsn+은/jxc
비만이나	비만/ncn+이나/jcj
변비	변비/ncn
,	,/sp
숙변	숙변/ncn
제거에	제거/ncn+에/jca
메밀	메밀/ncn
줄기를	줄기/ncn+를/jco
활용하는	활용/ncpa+하/xsv+는/etm
경우가있다	경우/ncn+가/jcs+있/paa+다/ef
.	./sf
말린	말리/pvg+ㄴ/etm
메밀대를	메밀대/ncn+를/jco
푹	푹/mag
삶아서	삶/pvg+아서/ecs
우린	우리/pvg+는/etm
물을	물/ncn+을/jco
먹으면	먹/pvg+으면/ecs
장	장/ncn
속의	속/ncn+의/jcm
온갖	온갖/mma
찌꺼기가	찌꺼기/ncn+가/jcs
씻겨나온다	씻기/pvg+어/ecx+나오/px+ㄴ다/ef
.	./sf
물론	물론/mag
정상적인	정상/ncn+적/xsn+이/jp+ㄴ/etm
사람들에게	사람/ncn+들/xsn+에게/jca
권장할	권장/ncpa+하/xsv+ㄹ/etm
방법은	방법/ncn+은/jxc
못된다	못/mag+되/pvg+ㄴ다/ef
.	./sf
하지만	하지만/maj
온갖	온갖/mma
약이나	약/ncn+이나/jcj
운동등의	운동/ncn+등/xsn+의/jcm
요법으로도	요법/ncn+으로/jca+도/jxc
치료되지	치료/ncpa+되/xsv+지/ecx
않은	않/px+은/etm
만성변비환자는	만성/ncn+변비/ncn+환자/ncn+는/jxc
한번쯤	한/nnc+번/nbu+쯤/xsn
시도해볼만한	시도/ncpa+하/xsv+어/ecx+보/px+ㄹ/etm+만/nbn+하/xsm+ㄴ/etm
방법이다	방법/ncn+이/jp+다/ef
.	./sf
이밖에도	이/npd+밖/ncn+에/jca+도/jxc
메밀은	메밀/ncn+은/jxc
소화불량	소화/ncn+불량/ncn
,	,/sp
중풍예방	중풍/ncn+예방/ncn
등에도	등/nbn+에/jca+도/jxc
도움이	도움/ncn+이/jcc
되는	되/pvg+는/etm
식품이다	식품/ncn+이/jp+다/ef
.	./sf
소화불량으로	소화/ncn+불량/ncn+으로/jca
고생하는	고생/ncpa+하/xsv+는/etm
사람은	사람/ncn+은/jxc
메밀가루와	메밀/ncn+가루/ncn+와/jcj
대황가루를	대황/ncn+가루/ncn+를/jco
섞어	섞/pvg+어/ecs
잠자기	잠/ncn+자/pvg+기/etn
전에	전/ncn+에/jca
온수나	온수/ncn+나/jcj
술과함께	술/ncn+과/jct+함께/mag
먹으면	먹/pvg+으면/ecs
효험이	효험/ncn+이/jcs
있다	있/paa+다/ef
.	./sf
메밀껍질과	메밀/ncn+껍질/ncn+과/jct
함께	함께/mag
검은콩	검은콩/ncn
,	,/sp
녹두껍질	녹두/ncn+껍질/ncn
,	,/sp
결명자	결명자/ncn
,	,/sp
국화초	국화초/ncn
(	(/sl
菊花草	菊花草/ncn
)	)/sr
를	를/jco
각각	각각/ncn
같은	같/paa+은/etm
분량으로	분량/ncn+으로/jca
베개	베개/ncn
속에	속/ncn+에/jca
넣어	넣/pvg+어/ecs
베고	베/pvg+고/ecc
자면	자/pvg+면/ecs
뇌와	뇌/ncn+와/jcj
눈이맑아진다	눈/ncn+이/jcs+맑/paa+아/ecx+지/px+ㄴ다/ef
.	./sf
이	이/mmd
방법은	방법/ncn+은/jxc
두풍열	두풍열/ncn
(	(/sl
頭風熱	頭風熱/ncn
)	)/sr
이	이/jcs
있는	있/paa+는/etm
사람이나	사람/ncn+이나/jcj
고혈압	고/xp+혈압/ncn
환자에게도	환자/ncn+에게/jca+도/jxc
좋다	좋/paa+다/ef
.	./sf
이것이	이것/npd+이/jcs
토종	토종/ncn
우리나라에서	우리/npp+나라/ncn+에서/jca
재배되고	재배/ncpa+되/xsv+고/ecx
있는	있/px+는/etm
메밀의품종으로는	메밀/ncn+의/jcm+품종/ncn+으로/jca+는/jxc
보통종	보통/ncn+종/xsn
,	,/sp
달단종	달단/ncn+종/xsn
,	,/sp
유시종	유시/ncn+종/xsn
,	,/sp
숙근종	숙근/ncn+종/xsn
등이	등/nbn+이/jcs
있다	있/paa+다/ef
.	./sf
이중	이/mmd+중/ncn
보통종이	보통/ncn+종/xsn+이/jcs
가장	가장/mag
많이	많/paa+이/xsa
재배되고	재배/ncpa+되/xsv+고/ecx
있으며	있/px+으며/ecc
,	,/sp
달단종은	달단/ncn+종/xsn+은/jxc
가루에서	가루/ncn+에서/jca
쓴맛이	쓰/paa+ㄴ/etm+맛/ncn+이/jcs
나고	나/pvg+고/ecc
유시종은	유시/ncn+종/xsn+은/jxc
씨알의	씨알/ncn+의/jcm
모가	모/ncn+가/jcs
자라서	자라/pvg+서/ecs
날개처럼	날개/ncn+처럼/jca
된	되/pvg+ㄴ/etm
것이며	것/nbn+이/jp+며/ecc
숙근종은	숙근/ncn+종/xsn+은/jxc
다년생메밀이다	다년생/ncn+메밀/ncn+이/jp+다/ef
.	./sf
-	-/sd
132	132/nno
-	-/sd
또한	또한/maj
수확하는	수확/ncpa+하/xsv+는/etm
시기에	시기/ncn+에/jca
따라서	따르/pvg+아서/ecs
여름메밀과	여름/ncn+메밀/ncn+과/jcj
가을메밀로	가을/ncn+메밀/ncn+로/jca
나눌	나누/pvg+ㄹ/etm
수	수/nbn
있는데	있/paa+는데/ecs
주로	주로/mag
재배되는	재배/ncpa+되/xsv+는/etm
재래	재래/ncn
품종은	품종/ncn+은/jxc
가을메밀이다	가을/ncn+메밀/ncn+이/jp+다/ef
.	./sf
그러나	그러나/maj
가을메밀이라	가을/ncn+메밀/ncn+이라/jca
하더라도	하/pvg+더/ep+라도/ecs
각	각/mma
지방에	지방/ncn+에/jca
따라서	따르/pvg+아서/ecs
독특한	독특/ncps+하/xsm+ㄴ/etm
풍토의	풍토/ncn+의/jcm
영향을	영향/ncn+을/jco
받아서	받/pvg+아서/ecs
품종에	품종/ncn+에/jca
약간씩	약간/ncn+씩/xsn
차이가	차이/ncn+가/jcs
난다	나/pvg+ㄴ다/ef
.	./sf
그러한	그러하/pad+ㄴ/etm
의미에서	의미/ncn+에서/jca
메밀은	메밀/ncn+은/jxc
토양의	토양/ncn+의/jcm
성질에	성질/ncn+에/jca
상당히	상당/ncn+히/xsa
민감한	민감/ncps+하/xsm+ㄴ/etm
작물이라	작물/ncn+이라/ecs
할	하/pvg+ㄹ/etm
수	수/nbn
있으며	있/paa+으며/ecc
토종의	토종/ncn+의/jcm
의미를	의미/ncps+를/jco
새삼	새삼/ncn
일깨워	일깨우/pvg+어/ecx
주는	주/px+는/etm
작물이다	작물/ncn+이/jp+다/ef
.	./sf
우리	우리/npp
나라에서	나라/ncn+에서/jca
메밀은	메밀/ncn+은/jxc
강원도	강원도/nq
,	,/sp
함경도	함경도/nq
,	,/sp
평안도	평안도/nq
등지의	등지/ncn+의/jcm
산간	산간/ncn
,	,/sp
개간지에서	개간/ncn+지/xsn+에서/jca
많이	많/paa+이/xsa
재배된다	재배/ncpa+되/xsv+ㄴ다/ef
.	./sf
특히	특히/mag
고산지대의	고산/ncn+지대/ncn+의/jcm
자갈땅에서	자갈/ncn+땅/ncn+에서/jca
생산한	생산/ncpa+하/xsv+ㄴ/etm
메밀이	메밀/ncn+이/jcs
맛이	맛/ncn+이/jcs
좋다	좋/paa+다/ef
.	./sf
이효석의	이효석/nq+의/jcm
소설	소설/ncn
'	'/sl
메밀꽃	nq[메밀/ncn+꽃/ncn
필	피/pvg+ㄹ/etm
무렵	무렵/ncn]nq
'	'/sr
의	의/jcm
배경이	배경/ncn+이/jcc
되기도	되/pvg+기/etn+도/jxc
한	하/pvg+ㄴ/etmn
강원도	강원도/nq
평창	평창/nq
(	(/sl
平昌	平昌/nq
)	)/sr
등의	등/nbn+의/jcm
해발	해발/ncn
600	600/nnc
m	m/su
이상되는	이상/ncn+되/pvg+는/etm
화전지대에서	화전/ncn+지대/ncn+에서/jca
나는	나/pvg+는/etm
메밀은	메밀/ncn+은/jxc
그맛과	그/mmd+맛/ncn+과/jcj
질이	질/ncn+이/jcs
우수하기로	우수/ncps+하/xsm+기/etn+로/jca
정평이	정평/ncn+이/jcs
나	나/pvg+아/ecx
있다	있/px+다/ef
.	./sf
***	*/sy+*/sy+*/sy
참고자료	참고/ncn+자료/ncn
1	1/nno
.{	./sf+{/sl
약이	nq[약/ncn+이/jcc
되는	되/pvg+는/etm
식품	식품/ncn]nq
}	}/sr
2	2/nno
.{	./sf+{/sl
식품사전	식품사전/nq
}	}/sr
3	3/nno
.{	./sf+{/sl
기초식품학	기초식품학/nq
}	}/sr
150	150/nno
쪽	쪽/nbu
,	,/sp
지구문화사	지구문화사/nq
4	4/nno
.{	./sf+{/sl
약용음식물	nq[약용/ncn+음식/ncn+물/xsn
백선	백선/ncn]nq
}	}/sr
5	5/nno
.{	./sf+{/sl
보약의	nq[보약/ncn+의/jcm
건강학	건강/ncn+학/xsn]nq
}	}/sr
6	6/nno
.{	./sf+{/sl
민족문화대백과	민족문화대백과/nq
}	}/sr
-	-/sd
133	133/nno
-	-/sd
11343   <       </sl
본초류	본초류/nq
>	>/sr
10	10/nno
.	./sf
인삼	인삼/ncn
세계	세계/ncn
최고의	최고/ncn+의/jcm
고려	nq[고려/nq
인삼	인삼/ncn]nq
우리나라에	우리/npp+나라/ncn+에/jca
인삼이	인삼/ncn+이/jcs
재배되기	재배/ncpa+되/xsv+기/etn
시작한	시작/ncpa+하/xsv+ㄴ/etm
것은	것/nbn+은/jxc
