<tdmsfile>
<tdmsfile>
Han2.hwp
전대협과	전대협/nq+과/jcj
자민련	자민련/nq
입당을	입당/ncn+을/jco
계기로	계기/ncn+로/jca
여권을	여권/ncn+을/jco
포함한	포함/ncpa+하/xsv+ㄴ/etm
각계	각계/ncn
인사	인사/ncn
영입을	영입/ncn+을/jco
본격화할	본격/ncn+화/xsn+하/xsv+ㄹ/etm
예정이다.	예정/ncn+이/jp+다/ef+./sf
특정범죄가중처벌법상	특정/ncn+범죄/ncn+가중/ncn+처벌/ncn+법/ncn+상/xsn
알선수재와	알선/ncn+수재/ncn+와/jcj
조세포탈죄가	조세/ncn+포탈/ncn+죄/ncn+가/jcs
적용돼	적용/ncpa+되/xsv+어/ecs
1심에서	1/nno+심/ncn+에서/jca
징역3년이	징역/ncn+3/nnc+년/nbu+이/jcs
선고된	선고/ncpa+되/xsv+ㄴ/etm
김현철씨에	김현철/nq+씨/xsn+에/jca
대해	대하/pvg+어/ecs
보석허가	보석/ncn+허가/ncn
결정이	결정/ncn+이/jcs
3일	3/nno+일/nbu
내려졌다.	내리/pvg+어/ecx+지/px+었/ep+다/ef+./sf
이에	이/npd+에/jca
따라	따르/pvg+아/ecs
현철씨는	현철/nq+씨/xsn+는/jxc
검찰이	검찰/ncn+이/jcs
즉시	즉시/ncn
항고하지	항고/ncpa+하/xsv+지/ecx
않을	않/px+을/etm
경우	경우/ncn
이날	이/mmd+날/ncn
오후	오후/ncn
수감중인	수감/ncn+중/nbn+이/jp+ㄴ/etm
서울구치소에서	서울구치소/nq+에서/jca
석방된다.	석방/ncpa+되/xsv+ㄴ다/ef+./sf
신한국당은	신한국당/nq+은/jxc
3일	3/nno+일/nbu
국민회의와	국민회의/nq+와/jcj
자민련이	자민련/nq+이/jcs
대통령	대통령/ncn
후보	후보/ncn
단일화	단일/ncn+화/xsn
합의문	합의/ncn+문/xsn
서명식을	서명/ncn+식/xsn+을/jco
갖는데	갖/pvg+는/etm+데/nbn
대해	대하/pvg+어/ecs
`밀실야합'	`/sl+밀실/ncn+야합/ncn+'/sr
`권력	`권력/ncn
나눠먹기	나누/pvg+어/ecs+먹/pvg+기/etn
계약'	계약/ncn+'/sr
`3김정치연장음모'	`/sl+3/nnc+김/nq+정치/ncn+연장/ncn+음모/ncn+'/sr
등	등/nbn
원색적	원색/ncn+적/xsn
용어를	용어/ncn+를/jco
동원,	동원/ncn+,/sp
강력	강력/ncn
비난하고	비난/ncpa+하/xsv+고/ecs
나섰다.	나서/pvg+었/ep+다/ef+./sf
이회창	이회창/nq
총재를	총재/ncn+를/jco
비롯한	비롯/ncpa+하/xsv+ㄴ/etm
주요	주요/ncn
당직자들은	당직/ncn+자/xsn+들/xsn+은/jxc
`DJP	`/sl+DJP/f
연합'에	연합/ncn+'/sr+에/jca
따른	따르/pvg+ㄴ/etm
법적	법/ncn+적/xsn
효력은	효력/ncn+은/jxc
차치하고라도	차치/ncpa+하/xsv+고/ecc+라도/ecs
비도덕적	비/xp+도덕/ncn+적/xsn
정치행태라는	정치/ncn+행태/ncn+라/ef+는/etm
비난이	비난/ncn+이/jcs
고조되고	고조/ncpa+되/xsv+고/ecx
있는	있/px+는/etm
점에	점/ncn+에/jca
입각,	입각/ncn+,/sp
이	이/mmd
부분에	부분/ncn+에/jca
초점을	초점/ncn+을/jco
맞춰	맞추/pvg+어/ecs
공세적	공세/ncn+적/xsn
대선전략을	대선/ncn+전략/ncn+을/jco
짜고있다.	짜/pvg+고/ecx+있/px+다/ef+./sf
대전	대전/nq
TV토론회	TV/f+토론/ncn+회/xsn
참석차	참석/ncn+차/xsn
청주에	청주/nq+에/jca
들른	들르/pvg+ㄴ/etm
이	이/nq
총재는	총재/ncn+는/jxc
이날	이/mmd+날/ncn
오후	오후/ncn
유성리베라	nq[유성/nq+리베라/nq
호텔에서	호텔/ncn]nq+에서/jca
기자간담회를	기자/ncn+간담/ncn+회/xsn+를/jco
갖고	갖/pvg+고/ecs
`정치혁신을	`/sl+정치/ncn+혁신/ncn+을/jco
염원하는	염원/ncpa+하/xsv+는/etm
국민들께	국민/ncn+들/xsn+께/jca
드리는	드리/pvg+는/etm
글'이라는	글/ncn+'/sr+이/jp+라/ef+는/etm
회견문을	회견/ncn+문/xsn+을/jco
발표,	발표/ncn+,/sp
`DJP연합의	`/sl+DJP/f+연합/ncn+의/jcm
부도덕성'을	부/xp+도덕/ncn+성/xsn+'/sr+을/jco
집중	집중/ncn
비판하면서	비판/ncpa+하/xsv+면서/ecs
김대중	김대중/nq
총재가	총재/ncn+가/jcs
지난	지나/pvg+ㄴ/etm
4.11총선	nq[4/nno+./sf+11/nno+총선/ncn]nq
당시	당시/ncn
'내각제	'/sl+내각/ncn+제/xsn
개헌음모를	개헌/ncn+음모/ncn+를/jco
분쇄하기	분쇄/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
1백석	1백/nnc+석/nbu
이상을	이상/ncn+을/jco
국민회의에	국민회의/nq+에/jca
달라'고	달/px+라/ef+'/sr+고/jcr
촉구한	촉구/ncpa+하/xsv+ㄴ/etm
것을	것/nbn+을/jco
지적했다.	지적/ncpa+하/xsv+었/ep+다/ef+./sf
오세응	오세응/nq
김종호	김종호/nq
김영구	김영구/nq
양정규	양정규/nq
김진재	김진재/nq
이세기	이세기/nq
김중위	김중위/nq
서정화	서정화/nq
현경대	현경대/nq
심정구	심정구/nq
의원	의원/ncn
등	등/nbn
민정계	민정/ncn+계/xsn
중진들은	중진/ncn+들/xsn+은/jxc
오전	오전/ncn
시내	시내/ncn
맨하탄호텔에서	맨하탄호텔/nq+에서/jca
회동,	회동/ncn+,/sp
`DJP	`/sl+DJP/f
연합'의	연합/ncn+'/sr+의/jcm
부도덕성을	부/xp+도덕/ncn+성/xsn+을/jco
비난하면서	비난/ncpa+하/xsv+면서/ecs
대선구도에	대선/ncn+구도/ncn+에/jca
미칠	미치/pvg+ㄹ/etm
파장을	파장/ncn+을/jco
우려했다.	우려/ncpa+하/xsv+었/ep+다/ef+./sf
이우재	이우재/nq
홍준표	홍준표/nq
김문수	김문수/nq
홍문종	홍문종/nq
의원	의원/ncn
등	등/nbn
초재선	초재선/ncn
의원	의원/ncn
20여명도	20/nnc+여/xsn+명/nbu+도/jxc
국회	국회/ncn
의원회관에서	의원/ncn+회관/ncn+에서/jca
모임을	모임/ncn+을/jco
갖고	갖/pvg+고/ecs
`DJP	`/sl+DJP/f
단일화	단일/ncn+화/xsn
합의문'	합의/ncn+문/xsn+'/sr
서명을	서명/ncn+을/jco
규탄하고	규탄/ncpa+하/xsv+고/ecs
`내각제	`/sl+내각/ncn+제/xsn
개헌음모'를	개헌/ncn+음모/ncn+'/sr+를/jco
신랄하게	신랄/ncps+하/xsm+게/ecs
비판했다.	비판/ncpa+하/xsv+었/ep+다/ef+./sf
이들은	이/npp+들/xsn+은/jxc
특히	특히/mag
공동성명을	공동/ncn+성명/ncn+을/jco
채택,	채택/ncn+,/sp
`DJP	`/sl+DJP/f
세력'을	세력/ncn+'/sr+을/jco
헌정파괴	헌정/ncn+파괴/ncn
세력으로	세력/ncn+으로/jca
규정,	규정/ncn+,/sp
집중	집중/ncn
비판하면서	비판/ncpa+하/xsv+면서/ecs
향후	향후/ncn
`DJP연합'에	`/sl+DJP/f+연합/ncn+'/sr+에/jca
반대하는	반대/ncpa+하/xsv+는/etm
대국민	대/xp+국민/ncn
서명운동을	서명/ncn+운동/ncn+을/jco
전개하는	전개/ncpa+하/xsv+는/etm
방안을	방안/ncn+을/jco
검토키로	검토/ncpa+키/etn+로/jca
했다.	하/pvg+었/ep+다/ef+./sf
한편	한편/maj
이한동대표와	이한동/nq+대표/ncn+와/jcj
김윤환	김윤환/nq
김덕용	김덕용/nq
선대위원장	선대/ncn+위원/ncn+장/xsn
등	등/nbn
당수뇌부는	당/ncn+수뇌/ncn+부/xsn+는/jxc
오전	오전/ncn
고위대책회의를	고위/ncn+대책/ncn+회의/ncn+를/jco
열어	열/pvg+어/ecs
이	이/nq
총재	총재/ncn
회견문의	회견/ncn+문/xsn+의/jcm
내용을	내용/ncn+을/jco
검토,	검토/ncn+,/sp
그	그/mmd
기조위에서	기조/ncn+위/ncn+에서/jca
자신들의	자신/ncn+들/xsn+의/jcm
비판	비판/ncn
수위를	수위/ncn+를/jco
조절하기로	조절/ncpa+하/xsv+기/etn+로/jca
하는	하/pvg+는/etm
등	등/nbn
기민한	기민/ncps+하/xsm+ㄴ/etm
모습을	모습/ncn+을/jco
보였다.	보이/pvg+었/ep+다/ef+./sf
이들	이/npp+들/xsn
수뇌부는	수뇌/ncn+부/xsn+는/jxc
당초	당초/ncn
고위대책회의	고위/ncn+대책/ncn+회의/ncn
직후	직후/ncn
간담회를	간담/ncn+회/xsn+를/jco
갖고	갖/pvg+고/ecs
`DJP	`/sl+DJP/f
단일화'의	단일/ncn+화/xsn+'/sr+의/jcm
문제점을	문제/ncn+점/ncn+을/jco
비판할	비판/ncpa+하/xsv+ㄹ/etm
예정이었으나,	예정/ncn+이/jp+었/ep+으나/ecs+,/sp
`DJP	`/sl+DJP/f
단일화'	단일/ncn+화/xsn+'/sr
합의와	합의/ncn+와/jcj
이	이/nq
총재	총재/ncn
기자간담회가	기자/ncn+간담/ncn+회/xsn+가/jcs
모두	모두/mag
오후에	오후/ncn+에/jca
잡혀	잡히/pvg+어/ecx
있는	있/px+는/etm
점을	점/ncn+을/jco
감안,	감안/ncn+,/sp
이	이/nq
총재의	총재/ncn+의/jcm
간담회	간담/ncn+회/xsn
이후	이후/ncn
발표키로	발표/ncpa+키/etn+로/jca
일정을	일정/ncn+을/jco
늦췄다.	늦추/pvg+었/ep+다/ef+./sf
앞서	앞서/mag
이들은	이/npp+들/xsn+은/jxc
2일저녁	2/nno+일/nbu+저녁/ncn
시내	시내/ncn
한	한/nnc
호텔에서	호텔/ncn+에서/jca
회동을	회동/ncn+을/jco
갖고	갖/pvg+고/ecs
`DJP	`/sl+DJP/f
후보단일화'	후보/ncn+단일/ncn+화/xsn+'/sr
합의가	합의/ncn+가/jcs
대선구도에	대선/ncn+구도/ncn+에/jca
미칠	미치/pvg+ㄹ/etm
영향을	영향/ncn+을/jco
검토하고,	검토/ncpa+하/xsv+고/ecs+,/sp
향후	향후/ncn
대응방안을	대응/ncn+방안/ncn+을/jco
놓고	놓/pvg+고/ecs
이견을	이견/ncn+을/jco
조율했다.	조율/ncpa+하/xsv+었/ep+다/ef+./sf
김영삼	김영삼/nq
대통령은	대통령/ncn+은/jxc
3일	3/nno+일/nbu
신한국당을	신한국당/nq+을/jco
탈당하지	탈당/ncpa+하/xsv+지/ecx
않겠다는	않/px+겠/ep+다/ef+는/etm
입장을	입장/ncn+을/jco
밝혔다고	밝히/pvg+었/ep+다/ef+고/jcr
자민련	자민련/nq
김종필	김종필/nq
총재가	총재/ncn+가/jcs
전했다.	전하/pvg+었/ep+다/ef+./sf
이스라엘	이스라엘/nq
전투기들이	전투/ncn+기/xsn+들/xsn+이/jcs
2일	2/nno+일/nbu
남부	남부/ncn
레바논내	레바논/nq+내/nbn
친이란계	친/xp+이란/nq+계/xsn
무장단체인	무장/ncn+단체/ncn+이/jp+ㄴ/etm
헤즈볼라의	헤즈볼라/nq+의/jcm
거점으로	거점/ncn+으로/jca
추정되는	추정/ncpa+되/xsv+는/etm
지역을	지역/ncn+을/jco
공습했다고	공습/ncpa+하/xsv+었/ep+다/ef+고/jcr
보안	보안/ncn
관계자들이	관계/ncn+자/xsn+들/xsn+이/jcs
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
이날	이/mmd+날/ncn
공습은	공습/ncn+은/jxc
헤즈볼라가	헤즈볼라/nq+가/jcs
남부	남부/ncn
레바논에서	레바논/nq+에서/jca
이스라엘	이스라엘/nq
순찰대를	순찰/ncn+대/xsn+를/jco
습격해	습격/ncpa+하/xsv+어/ecs
레바논	레바논/nq
여인	여인/ncn
1명이	1/nnc+명/nbu+이/jcs
부상한	부상/ncpa+하/xsv+ㄴ/etm
직후에	직후/ncn+에/jca
발생한	발생/ncpa+하/xsv+ㄴ/etm
것으로	것/nbn+으로/jca
사상자는	사상/ncn+자/xsn+는/jxc
즉각	즉각/mag
확인되지	확인/ncpa+되/xsv+지/ecx
않았다.	않/px+았/ep+다/ef+./sf
대자연의	대/xp+자연/ncn+의/jcm
아름다움과	아름다움/ncn+과/jcj
놀라움을	놀라움/ncn+을/jco
그대로	그대로/mag
화폭에	화폭/ncn+에/jca
담으려는	담/pvg+으려/ecs+는/etm
화가들의	화가/ncn+들/xsn+의/jcm
노력은	노력/ncn+은/jxc
풍경화란	풍경/ncn+화/xsn+라/ef+ㄴ/etm
장르를	장르/ncn+를/jco
만들어냈다.	만들/pvg+어/ecx+내/px+었/ep+다/ef+./sf
종교적	종교/ncn+적/xsn
또는	또는/maj
신화적	신화/ncn+적/xsn
사건의	사건/ncn+의/jcm
배경이나	배경/ncn+이나/jcj
무대	무대/ncn
구실만	구실/ncn+만/jxc
하던	하/pvg+던/etm
풍경화가	풍경/ncn+화/xsn+가/jcs
하나의	하나/ncn+의/jcm
미술	미술/ncn
주제로	주제/ncn+로/jca
홀로서기를	홀로서기/ncn+를/jco
한	하/pvg+ㄴ/etm
것은	것/nbn+은/jxc
16세기	16/nno+세기/nbu
네덜란드에서	네덜란드/nq+에서/jca
였는데,	이/jp+었/ep+는데/ecs+,/sp
풍경	풍경/ncn
그	그/mmd
자체가	자체/ncn+가/jcs
이야깃거리가	이야깃거리/ncn+가/jcc
되겠다고	되/pvg+겠/ep+다/ef+고/jcr
본	보/pvg+ㄴ/etm
이들의	이/npp+들/xsn+의/jcm
시각은	시각/ncn+은/jxc
스페인으로부터	스페인/nq+으로/jca+부터/jxc
막	막/mag
독립한	독립/ncpa+하/xsv+ㄴ/etm
조국의	조국/ncn+의/jcm
산하를	산하/ncn+를/jco
기쁨의	기쁨/ncn+의/jcm
눈으로	눈/ncn+으로/jca
껴안고	껴안/pvg+고/ecs
마음으로부터	마음/ncn+으로/jca+부터/jxc
자랑스럽게	자랑/ncps+스럽/xsm+게/ecs
여긴	여기/pvg+ㄴ/etm
애국심의	애국/ncn+심/xsn+의/jcm
한	한/nnc
발로였다.	발로/ncn+이/jp+었/ep+다/ef+./sf
서양에서	서양/ncn+에서/jca
풍경화는	풍경/ncn+화/xsn+는/jxc
탄생부터	탄생/ncn+부터/jxc
이런	이런/mmd
정치적	정치/ncn+적/xsn
뜻이	뜻/ncn+이/jcs
깃들어	깃들/pvg+어/ecx
있었다.	있/px+었/ep+다/ef+./sf
`풍경'이란	`/sl+풍경/ncn+'/sr+이란/jxc
말하자면	말/ncpa+하/xsv+자/ef+면/ecs
독일식의	독일/nq+식/xsn+의/jcm
`시대정신'	`/sl+시대/ncn+정신/ncn+'/sr
또는	또는/maj
`아우라(품고	`/sl+아우라/ncn+(/sl+품/pvg+고/ecx
있는	있/px+는/etm
분위기)'를	분위기/ncn+)/sr+'/sr+를/jco
포함한	포함/ncpa+하/xsv+ㄴ/etm
표현인	표현/ncn+이/jp+ㄴ/etm
셈이다.	셈/nbn+이/jp+다/ef+./sf
도상학과	도상/ncn+학/xsn+과/jcj
관념론이	관념/ncn+론/xsn+이/jcs
강한	강하/paa+ㄴ/etm
독일	독일/nq
미술사학의	미술/ncn+사학/ncn+의/jcm
전통을	전통/ncn+을/jco
잇는	잇/pvg+는/etm
바른케의	바른케/nq+의/jcm
`정치적	`/sl+nq[정치/ncn+적/xsn
풍경'	풍경/ncn]nq+'/sr
해석은	해석/ncn+은/jxc
물론	물론/mag
모든	모든/mma
풍경화에	풍경/ncn+화/xsn+에/jca
적용할	적용/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
보편적인	보편/ncn+적/xsn+이/jp+ㄴ/etm
것은	것/nbn+은/jxc
아니지만,	아니/paa+지만/ecs+,/sp
하나의	하나/ncn+의/jcm
미술사	미술/ncn+사/xsn
흐름으로서	흐름/ncn+으로서/jca
눈여겨	눈여기/pvg+어/ecs
볼	보/pvg+ㄹ/etm
만	만/nbn
하다.	하/pvg+다/ef+./sf
백제사	백제/nq+사/xsn
연구는	연구/ncn+는/jxc
한국	한국/nq
고대사에서	고대/ncn+사/xsn+에서/jca
큰	크/paa+ㄴ/etm
비중을	비중/ncn+을/jco
차지하고	차지/ncpa+하/xsv+고/ecx
있음에도	있/px+음/etn+에/jca+도/jxc
불구하고	불구/ncpa+하/xsv+고/ecs
제한된	제한/ncpa+되/xsv+ㄴ/etm
문헌사료와	문헌/ncn+사료/ncn+와/jcj
새로운	새롭/paa+ㄴ/etm
연구	연구/ncn
방법론의	방법/ncn+론/xsn+의/jcm
부재	부재/ncn
등으로	등/nbn+으로/jca
인해	인하/pvg+어/ecs
그	그/mmd
역사적	역사/ncn+적/xsn
실상이	실상/ncn+이/jcs
제대로	제대로/mag
밝혀지지	밝히/pvg+어/ecx+지/px+지/ecx
못하고	못하/px+고/ecx
있다.	있/px+다/ef+./sf
이도학	이도학/nq
지음	짓/pvg+음/etn
<새로           </sl+nq[새로/mag
쓰는	쓰/pvg+는/etm
백제사>는	백제/ncn+사/xsn]nq+>/sr+는/jxc
정치사를	정치/ncn+사/xsn+를/jco
축으로	축/ncn+으로/jca
한	하/pvg+ㄴ/etm
백제	백제/nq
통사의	통사/ncn+의/jcm
성격을	성격/ncn+을/jco
지닌	지니/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
지금까지	지금/ncn+까지/jxc
지은이의	지은이/ncn+의/jcm
일련의	일련/ncn+의/jcm
연구성과를	연구/ncn+성과/ncn+를/jco
종합해서	종합/ncpa+하/xsv+어서/ecs
쓴	쓰/pvg+ㄴ/etm
것이다.	것/nbn+이/jp+다/ef+./sf
7부로	7/nnc+부/nbu+로/jca
돼	되/pvg+어/ecx
있는	있/px+는/etm
내용	내용/ncn
가운데	가운데/ncn
지은이가	지은이/ncn+가/jcs
특히	특히/mag
강조하고	강조/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
부분은	부분/ncn+은/jxc
크게	크/paa+게/ecs
세	세/nnc
부분으로	부분/ncn+으로/jca
집약해	집약/ncpa+하/xsv+어/ecx
볼	보/px+ㄹ/etm
수	수/nbn
있다.	있/paa+다/ef+./sf
첫째,	첫째/nno+,/sp
정복국가론에	정복/ncn+국가/ncn+론/xsn+에/jca
대한	대하/pvg+ㄴ/etm
서술	서술/ncn
부분이다.	부분/ncn+이/jp+다/ef+./sf
셋째,	셋째/nno+,/sp
칠지도의	칠지도/nq+의/jcm
명문해석을	명문/ncn+해석/ncn+을/jco
통해	통하/pvg+어/ecs
백제의	백제/nq+의/jcm
천하관을	천하/ncn+관/xsn+을/jco
살펴	살피/pvg+어/ecs
보았고,	보/pvg+았/ep+고/ecc+,/sp
백제와	백제/nq+와/jcj
고구려가	고구려/nq+가/jcs
부여의	부여/nq+의/jcm
정통	정통/ncn
후예라는	후예/ncn+라/ef+는/etm
정통성	정통/ncn+성/xsn
확보를	확보/ncn+를/jco
위해	위하/pvg+어/ecs
오랫동안	오랫동안/ncn
대립관계를	대립/ncn+관계/ncn+를/jco
유지했다는	유지/ncpa+하/xsv+었/ep+다/ef+는/etm
점,	점/ncn+,/sp
그리고	그리고/maj
백제의	백제/nq+의/jcm
교역망이	교역/ncn+망/ncn+이/jcs
남중국과	남중국/nq+과/jcj
동남	nq[동남/ncn
아시아에	아시아/nq]nq+에/jca
걸친	걸치/pvg+ㄴ/etm
거대한	거대/ncps+하/xsm+ㄴ/etm
채널이었음을	채널/ncn+이/jp+었/ep+음/etn+을/jco
밝혀	밝히/pvg+어/ecs
백제의	백제/nq+의/jcm
국가적	국가/ncn+적/xsn
위상을	위상/ncn+을/jco
여러	여러/mma
측면에서	측면/ncn+에서/jca
고찰하고	고찰/ncpa+하/xsv+고/ecx
있다.	있/px+다/ef+./sf
지은이가	지은이/ncn+가/jcs
엉성한	엉성하/paa+ㄴ/etm
관련	관련/ncn
문헌사료를	문헌/ncn+사료/ncn+를/jco
치밀하게	치밀/ncps+하/xsm+게/ecs
고증했을	고증/ncpa+하/xsv+었/ep+을/etm
뿐	뿐/nbn
아니라	아니/paa+라/ef
금석문이나	금석/ncn+문/xsn+이나/jcj
고고학	고고/ncn+학/xsn
연구성과를	연구/ncn+성과/ncn+를/jco
원용해	원용/ncpa+하/xsv+어/ecs
백제사를	백제/ncn+사/xsn+를/jco
새로운	새롭/paa+ㄴ/etm
관점에서	관점/ncn+에서/jca
재구성한	재/xp+구성/ncpa+하/xsv+ㄴ/etm
점은	점/ncn+은/jxc
백제사	백제/nq+사/xsn
연구	연구/ncn
수준을	수준/ncn+을/jco
한	한/nnc
단계	단계/ncn
높여	높이/pvg+어/ecx
준	주/px+ㄴ/etm
노작으로	노작/ncn+으로/jca
높이	높/paa+이/xsa
평가할	평가/ncpa+하/xsv+ㄹ/etm
만	만/nbn
하다.	하/pvg+다/ef+./sf
그러나	그러나/maj
책이	책/ncn+이/jcs
지닌	지니/pvg+ㄴ/etm
많은	많/paa+은/etm
장점에도	장점/ncn+에/jca+도/jxc
불구하고	불구/ncpa+하/xsv+고/ecs
연구시각이나	연구/ncn+시각/ncn+이나/jcj
부분적이고	부분/ncn+적/xsn+이/jp+고/ecc
단편적인	단편/ncn+적/xsn+이/jp+ㄴ/etm
내용에	내용/ncn+에/jca
대해	대하/pvg+어/ecs
이론의	이론/ncn+의/jcm
여지가	여지/ncn+가/jcs
없지	없/paa+지/ecx
않을	않/px+을/etm
것이다.	것/nbn+이/jp+다/ef+./sf
예컨대	예컨대/maj
백제왕실의	백제/nq+왕실/ncn+의/jcm
출자를	출자/ncn+를/jco
4세기	4/nno+세기/nbu
부여족의	부여족/nq+의/jcm
남하에	남하/ncn+에/jca
따른	따르/pvg+ㄴ/etm
정복왕조설의	정복/ncn+왕조/ncn+설/xsn+의/jcm
입장에서	입장/ncn+에서/jca
접근하고	접근/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
점은	점/ncn+은/jxc
좀더	좀/mag+더/mag
신중한	신중/ncps+하/xsm+ㄴ/etm
검토를	검토/ncn+를/jco
필요로	필요/ncn+로/jca
하고	하/pvg+고/ecx
있다.	있/px+다/ef+./sf
근초고왕의	근초고왕/nq+의/jcm
등장을	등장/ncn+을/jco
새로운	새롭/paa+ㄴ/etm
정복왕조의	정복/ncn+왕조/ncn+의/jcm
출현이라는	출현/ncn+이/jp+라/ef+는/etm
돌발적인	돌발/ncn+적/xsn+이/jp+ㄴ/etm
사건으로	사건/ncn+으로/jca
받아들일	받/pvg+아/ecs+들이/pvg+ㄹ/etm
경우	경우/ncn
지은이가	지은이/ncn+가/jcs
설정한	설정/ncpa+하/xsv+ㄴ/etm
백제역사의	백제/nq+역사/ncn+의/jcm
계기적인	계기/ncn+적/xsn+이/jp+ㄴ/etm
발전과정과	발전/ncn+과정/ncn+과/jct
괴리가	괴리/ncn+가/jcs
생길	생기/pvg+ㄹ/etm
수도	수/nbn+도/jxc
있다.	있/paa+다/ef+./sf
새로운	새롭/paa+ㄴ/etm
왕조	왕조/ncn
출현이	출현/ncn+이/jcs
전	전/mma
왕조의	왕조/ncn+의/jcm
역사적	역사/ncn+적/xsn
경험을	경험/ncn+을/jco
그대로	그대로/mag
계승하는	계승/ncpa+하/xsv+는/etm
것으로	것/nbn+으로/jca
볼	보/pvg+ㄹ/etm
수	수/nbn
없기	없/paa+기/etn
때문이다.	때문/nbn+이/jp+다/ef+./sf
또한	또한/maj
백제가	백제/nq+가/jcs
해상	해상/ncn
교역망을	교역/ncn+망/ncn+을/jco
남중국과	남중국/nq+과/jcj
동남	nq[동남/ncn
아시아로까지	아시아/nq]nq+로/jca+까지/jxc
확대했다는	확대/ncpa+하/xsv+었/ep+다/ef+는/etm
주장도	주장/ncn+도/jxc
검토의	검토/ncn+의/jcm
여지가	여지/ncn+가/jcs
많다.	많/paa+다/ef+./sf
관련기사를	관련/ncn+기사/ncn+를/jco
단지	단지/mag
중국의	중국/nq+의/jcm
남조국가를	남조/nq+국가/ncn+를/jco
통한	통하/pvg+ㄴ/etm
교류	교류/ncn
차원에서	차원/ncn+에서/jca
비롯된	비롯/ncpa+되/xsv+ㄴ/etm
것으로	것/nbn+으로/jca
이해할	이해/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있으며,	있/paa+으며/ecc+,/sp
동일한	동일/ncps+하/xsm+ㄴ/etm
문화적	문화/ncn+적/xsn
요소가	요소/ncn+가/jcs
반드시	반드시/mag
정치적	정치/ncn+적/xsn
단위와	단위/ncn+와/jct
일치하지	일치/ncpa+하/xsv+지/ecx
않는다는	않/px+는다/ef+는/etm
점,	점/ncn+,/sp
당시의	당시/ncn+의/jcm
항로나	항로/ncn+나/jcj
백제의	백제/nq+의/jcm
해상력	해상/ncn+력/xsn
실태	실태/ncn
등에	등/nbn+에/jca
관한	관하/pvg+ㄴ/etm
문제도	문제/ncn+도/jxc
여전히	여전/ncn+히/xsa
과제로	과제/ncn+로/jca
남는다.	남/pvg+는다/ef+./sf
고구려	고구려/nq
백제	백제/nq
신라의	신라/nq+의/jcm
삼국	삼국/ncn
가운데서도	가운데/ncn+서/jca+도/jxc
백제는	백제/nq+는/jxc
연구자들에	연구/ncn+자/xsn+들/xsn+에/jca
의해	의하/pvg+어/ecs
가장	가장/mag
홀대받고	홀대/ncn+받/pvg+고/ecx
있는	있/px+는/etm
나라이다.	나라/ncn+이/jp+다/ef+./sf
그	그/mmd
까닭의	까닭/ncn+의/jcm
상당	상당/ncn
부분은	부분/ncn+은/jxc
다른	다르/paa+ㄴ/etm
두	두/nnc
나라에	나라/ncn+에/jca
비해	비하/pvg+어/ecs
턱없이	턱/ncn+없/paa+이/xsa
부족하기만	부족/ncps+하/xsm+기/etn+만/jxc
한	하/pvg+ㄴ/etm
역사	역사/ncn
기록에	기록/ncn+에/jca
있다.	있/paa+다/ef+./sf
따라서,	따라서/maj+,/sp
백제사의	백제/nq+사/xsn+의/jcm
기술에는	기술/ncn+에/jca+는/jxc
한정된	한정/ncpa+되/xsv+ㄴ/etm
자료를	자료/ncn+를/jco
요령껏	요령껏/mag
꿰어맞추는	꿰/pvg+어/ecs+맞추/pvg+는/etm
상상력이	상상/ncn+력/xsn+이/jcs
필요하다.	필요/ncps+하/xsm+다/ef+./sf
그러나	그러나/maj
상상력은	상상/ncn+력/xsn+은/jxc
역사적	역사/ncn+적/xsn
균형감각으로	균형/ncn+감각/ncn+으로/jca
견제를	견제/ncn+를/jco
받아야	받/pvg+아야/ecs
설득력을	설득/ncn+력/xsn+을/jco
더하게	더하/pvg+게/ecs
된다.	되/pvg+ㄴ다/ef+./sf
지은이의	지은이/ncn+의/jcm
백제관은	백제/nq+관/xsn+은/jxc
`동방의	`/sl+동방/ncn+의/jcm
로마제국	로마제국/nq
백제사의	백제/nq+사/xsn+의/jcm
복원'이라는	복원/ncn+'/sr+이/jp+라/ef+는/etm
부제에	부제/ncn+에/jca
여실히	여실/ncn+히/xsa
담겨	담기/pvg+어/ecx
있다.	있/px+다/ef+./sf
한반도말고	한반도/nq+말/pvg+고/ecc
중국	중국/nq
만주	만주/nq
지역에	지역/ncn+에/jca
또다른	또/mag+다르/paa+ㄴ/etm
백제가	백제/nq+가/jcs
있었다거나,	있/paa+었/ep+다/ef+거나/ecc+,/sp
전성기의	전성/ncn+기/xsn+의/jcm
백제가	백제/nq+가/jcs
멀리	멀리/mag
동남아와	동남아/nq+와/jcj
인도까지	인도/nq+까지/jxc
상업항로를	상업/ncn+항로/ncn+를/jco
개척한	개척/ncpa+하/xsv+ㄴ/etm
해상강국이었다는	해상/ncn+강국/ncn+이/jp+었/ep+다/ef+는/etm
등이	등/nbn+이/jcs
지은이의	지은이/ncn+의/jcm
