<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0300.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0300.txt </filename>
<title>수학과의 만남  </title>
<author>써지 랭 저 ; 송교식 역  </author>
<date>1992  </date>
<publisher>가서원  </publisher>
<kdc>410  </kdc>
<ddc> 510 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
수학을	수학/ncn+을/jco
가	가/jcs
그	그/npp
수가	수/nbn+가/jcs
된다고	되/pvg+ㄴ다/ef+고/jcr
가정할	가정/ncpa+하/xsv+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
물론	물론/mag
우리가	우리/npp+가/jcs
원하는	원하/pvg+는/etm
어떤	어떤/mmd
측정의	측정/ncn+의/jcm
단위로도	단위/ncn+로/jca+도/jxc
가정할	가정/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
그리고	그리고/maj
그것은	그것/npd+은/jxc
의	의/jcm
정의로	정의/ncn+로/jca
반지름이	반지름/ncn+이/jcs
1	1/nnc
인	이/jp+ㄴ/etm
원판의	원판/ncn+의/jcm
넓이를	넓이/ncn+를/jco
택할	택하/pvg+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
그러므로	그러므로/maj
,	,/sp
조금	조금/ncn
전에	전/ncn+에/jca
본대로	보/pvg+ㄴ/etm+대로/nbn
반지름이	반지름/ncn+이/jcs
r	r/f
인	이/jp+ㄴ/etm
원판의	원판/ncn+의/jcm
넓이는	넓이/ncn+는/jxc
입니다	이/jp+ㅂ니다/ef
.	./sf
앞에서	앞/ncn+에서/jca
반지름이	반지름/ncn+이/jcs
1	1/nnc
인	이/jp+ㄴ/etm
원판의	원판/ncn+의/jcm
넓이를	넓이/ncn+를/jco
A	A/f
라고	라/ef+고/jcr
불렀습니다	부르/pvg+었/ep+습니다/ef
.	./sf
이제는	이제/ncn+는/jxc
라고	라/ef+고/jcr
부릅시다	부르/pvg+ㅂ시다/ef
.	./sf
그것은	그것/npd+은/jxc
하나의	하나/ncn+의/jcm
상수입니다	상수/ncn+이/jp+ㅂ니다/ef
.	./sf
우리는	우리/npp+는/jxc
의	의/jcm
정의로부터	정의/ncn+로/jca+부터/jxc
시작하여	시작/ncpa+하/xsv+여/ecs
r	r/f
을	을/jco
설명했습니다	설명/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
이것으로	이것/npd+으로/jca
공식들	공식/ncn+들/xsn
중	중/nbn
하나를	하나/ncn+를/jco
처리한	처리/ncpa+하/xsv+ㄴ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
좋습니까	좋/paa+습니까/ef
?	?/sf
질문없어요	질문/ncn+없/paa+어/ef+요/jxf
?	?/sf
계속해도	계속/ncpa+하/xsv+어도/ecs
되겠어요	되/pvg+겠/ep+어/ef+요/jxf
?	?/sf
(	(/sl
질문이	질문/ncn+이/jcs
없다	없/paa+다/ef
.)	./sf+)/sr
그럼	그럼/mag
두	두/nnc
개의	개/nbu+의/jcm
질문이	질문/ncn+이/jcs
제기되었던	제기/ncpa+되/xsv+었/ep+던/etm
원판의	원판/ncn+의/jcm
넓이와	넓이/ncn+와/jcj
원의	원/ncn+의/jcm
둘레라는	둘레/ncn+라/ef+는/etm
처음의	처음/ncn+의/jcm
문제로	문제/ncn+로/jca
돌아갑시다	돌/pvg+아/ecs+가/pvg+ㅂ시다/ef
.	./sf
원판의	원판/ncn+의/jcm
넓이	넓이/ncn
문제를	문제/ncn+를/jco
처리했습니다	처리/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
이제	이제/mag
원주가	원주/ncn+가/jcs
남았지요	남/pvg+았/ep+지/ef+요/jxf
.	./sf
다음	다음/mmd
정리를	정리/ncn+를/jco
봅시다	보/pvg+ㅂ시다/ef
.	./sf
정리	정리/ncn
:	:/sp
반지름이	반지름/ncn+이/jcs
r	r/f
인	이/jp+ㄴ/etm
원의	원/ncn+의/jcm
둘레는	둘레/ncn+는/jxc
2	2/nnc
r	r/f
이다	이/jp+다/ef
.	./sf
이것은	이것/npd+은/jxc
새로운	새롭/paa+ㄴ/etm
정리입니다	정리/ncn+이/jp+ㅂ니다/ef
.	./sf
원주를	원주/ncn+를/jco
c	c/f
라고	라/ef+고/jcr
합시다	하/pvg+ㅂ시다/ef
.	./sf
우리는	우리/npp+는/jxc
의	의/jcm
정의로	정의/ncn+로/jca
시작해서	시작/ncpa+하/xsv+어서/ecs
을	을/jco
얻었고	얻/pvg+었/ep+고/ecc
이제	이제/mag
c	c/f
=	=/sy
2	2/nnc
r	r/f
이라는	이/jcs+라/ef+는/etm
것을	것/nbn+을/jco
증명하고자	증명/ncpa+하/xsv+고자/ecs
합니다	하/px+ㅂ니다/ef
.	./sf
제가	제/npp+가/jcs
하고자	하/pvg+고자/ecs
하는	하/px+는/etm
것은	것/nbn+은/jxc
이것입니다	이것/npd+이/jp+ㅂ니다/ef
:	:/sp
r	r/f
과	과/jcj
2	2/nnc
에	에/jca
대한	대하/pvg+ㄴ/etm
체계적인	체계/ncn+적/xsn+이/jp+ㄴ/etm
논법을	논법/ncn+을/jco
제시하라	제시/ncpa+하/xsv+라/ef
.	./sf
맞지요	맞/pvg+지/ef+요/jxf
?	?/sf
불만있어요	불만/ncn+있/paa+어/ef+요/jxf
?	?/sf
(	(/sl
웃음	웃음/ncn
)	)/sr
학생	학생/ncn
:	:/sp
불만없습니다	불만/ncn+없/paa+습니다/ef
.	./sf
다른	다르/paa+ㄴ/etm
학생	학생/ncn
:	:/sp
아직까지는	아직/ncn+까지/jxc+는/jxc
없어요	없/paa+어/ef+요/jxf
!	!/sf
학생	학생/ncn
써지	써지/nq
:	:/sp
왜	왜/mag
지름이	지름/ncn+이/jcc
아니라	아니/paa+라/ecs
반지름을	반지름/ncn+을/jco
씁니까	쓰/pvg+ㅂ니까/ef
?	?/sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
d	d/f
를	를/jco
지름이라	지름/ncn+이/jp+라/ef
할	하/pvg+ㄹ/etm
때	때/ncn
,	,/sp
공식을	공식/ncn+을/jco
c	c/f
=	=/sy
d	d/f
라고	라/ef+고/jcr
쓸	쓰/pvg+ㄹ/etm
수도	수/nbn+도/jxc
있습니다	있/paa+습니다/ef
.	./sf
학생	학생/ncn
:	:/sp
왜	왜/mag
지름	지름/ncn
(	(/sl
diameter	diameter/f
)	)/sr
인가요	이/jp+ㄴ가/ef+요/jxf
?	?/sf
그것이	그것/npd+이/jcs
2	2/nnc
r	r/f
이라는	이/jp+라/ef+는/etm
것을	것/nbn+을/jco
어떻게	어떻/pad+게/ecs
알	알/pvg+ㄹ/etm
수	수/nbn
있습니까	있/paa+습니까/ef
?	?/sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
여러분은	여러분/npp+은/jxc
아직	아직/mag
모릅니다	모르/pvg+ㅂ니다/ef
.	./sf
그것이	그것/npd+이/jcs
바로	바로/mag
내가	내/npp+가/jcs
증명하려고	증명/ncpa+하/xsv+려고/ecs
하는	하/px+는/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
아직	아직/mag
그것을	그것/npd+을/jco
증명하지	증명/ncpa+하/xsv+지/ecx
않은	않/px+은/etm
것은	것/nbn+은/jxc
분명합니다	분명/ncps+하/xsm+ㅂ니다/ef
.	./sf
그것이	그것/npd+이/jcs
계획의	계획/ncn+의/jcm
전체적인	전체/ncn+적/xsn+이/jp+ㄴ/etm
관점입니다	관점/ncn+이/jp+ㅂ니다/ef
.	./sf
이것이	이것/npd+이/jcs
올바른	올바르/paa+ㄴ/etm
공식이다라고	공식/ncn+이/jp+다/ef+라/ef+고/jcr
증명하는	증명/ncpa+하/xsv+는/etm
것은	것/nbn+은/jxc
아직	아직/mag
하지	하/pvg+지/ecx
않았습니다	않/px+았/ep+습니다/ef
.	./sf
그	그/mmd
증명을	증명/ncn+을/jco
이제	이제/mag
하겠습니다	하/pvg+겠/ep+습니다/ef
.	./sf
넓이에	넓이/ncn+에/jca
대한	대하/pvg+ㄴ/etm
공식에서	공식/ncn+에서/jca
나타난	나타나/pvg+ㄴ/etm
상수가	상수/ncn+가/jcs
똑같은	똑같/paa+은/etm
형태로	형태/ncn+로/jca
원주에	원주/ncn+에/jca
대한	대하/pvg+ㄴ/etm
공식에서도	공식/ncn+에서/jca+도/jxc
나타난다는	나타나/pvg+ㄴ다/ef+는/etm
것은	것/nbn+은/jxc
주목할만한	주목/ncpa+하/xsv+ㄹ/etm+만하/px+ㄴ/etm
사실입니다	사실/ncn+이/jp+ㅂ니다/ef
.	./sf
정확하게	정확/ncps+하/xsm+게/ecs
이것이	이것/npd+이/jcs
정리의	정리/ncn+의/jcm
요지입니다	요지/ncn+이/jp+ㅂ니다/ef
.	./sf
공식에서	공식/ncn+에서/jca
정확하게	정확/ncps+하/xsm+게/ecs
이와	이/npd+와/jct
같은	같/paa+은/etm
방식으로	방식/ncn+으로/jca
나타납니다	나타나/pvg+ㅂ니다/ef
:	:/sp
원주는	원주/ncn+는/jxc
지름의	지름/ncn+의/jcm
배인	배/ncn+이/jp+ㄴ/etm
입니다	이/jp+ㅂ니다/ef
.	./sf
맨	맨/mma
먼저	먼저/mag
,	,/sp
왜	왜/mag
이와	이/npd+와/jct
같은가	같/paa+은가/ef
하는	하/pvg+는/etm
이유는	이유/ncn+는/jxc
없습니다	없/paa+습니다/ef
.	./sf
내가	내/npp+가/jcs
말하고자	말/ncpa+하/xsv+고자/ecs
하는	하/px+는/etm
것은	것/nbn+은/jxc
그것이	그것/npd+이/jcs
다른	다르/paa+ㄴ/etm
방식으로도	방식/ncn+으로/jca+도/jxc
나올	나오/pvg+ㄹ/etm
수	수/nbn
있다는	있/paa+다/ef+는/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
그것이	그것/npd+이/jcs
그렇게	그렇/pad+게/ecs
나왔다고	나오/pvg+았/ep+다/ef+고/jcr
해도	하/pvg+어도/ecs
저를	저/npp+를/jco
비난하진	비난/ncpa+하/xsv+지/ecx+ㄴ/jxc
마십시오	말/px+시/ep+ㅂ시오/ef
.	./sf
신이	신/ncn+이/jcs
그렇게	그렇/pad+게/ecs
믿는	믿/pvg+는/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.(	./sf+(/sl
웃음	웃음/ncn
)	)/sr
제가	제/npp+가/jcs
그	그/npp
방법을	방법/ncn+을/jco
정리한	정리/ncpa+하/xsv+ㄴ/etm
것은	것/nbn+은/jxc
아닙니다	아니/paa+ㅂ니다/ef
.	./sf
그것은	그것/npd+은/jxc
다른	다르/paa+ㄴ/etm
사람에	사람/ncn+에/jca
의해서	의하/pvg+어서/ecs
정리된	정리/ncpa+되/xsv+ㄴ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
그러나	그러나/maj
왜라고	왜/mag+라/ef+고/jcr
제게	제/ncn+게/jca
묻는다면	묻/pvg+는다/ef+면/ecs
왜인지를	왜/mag+이/jp+ㄴ지/ecs+를/jco
대답할	대답/ncpa+하/xsv+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
그것이	그것/npd+이/jcs
증명이라는	증명/ncn+이/jp+라/ef+는/etm
단어가	단어/ncn+가/jcs
의미하는	의미/ncpa+하/xsv+는/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.(	./sf+(/sl
웃음	웃음/ncn
)	)/sr
그래서	그래서/maj
다음	다음/mmd
단어를	단어/ncn+를/jco
쓰겠습니다	쓰/pvg+겠/ep+습니다/ef
:	:/sp
증명	증명/ncn
(	(/sl
proof	proof/f
)	)/sr
그리고	그리고/maj
증명을	증명/ncn+을/jco
보여주겠습니다	보이/pvg+어/ecx+주/px+겠/ep+습니다/ef
.	./sf
학생의	학생/ncn+의/jcm
이름은	이름/ncn+은/jxc
?	?/sf
학생	학생/ncn
:	:/sp
쉐릴	쉐릴/nq
(	(/sl
Sheryl	Sheryl/f
)	)/sr
입니다	이/jp+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
바로	바로/mag
쉐릴이	쉐릴/nq+이/jcs
왜라고	왜/mag+라/ef+고/jcr
물었습니다	묻/pvg+었/ep+습니다/ef
.(	./sf+(/sl
큰	크/paa+ㄴ/etm
웃음	웃음/ncn
)	)/sr
써지도	써지/nq+도/jxc
왜라고	왜/mag+라/ef+고/jcr
물었습니다	묻/pvg+었/ep+습니다/ef
.	./sf
(	(/sl
웃음	웃음/ncn
)	)/sr
그리고	그리고/maj
제가	제/npp+가/jcs
왜인지를	왜/nq+이/jp+ㄴ지/ecs+를/jco
대답하겠습니다	대답/ncpa+하/xsv+겠/ep+습니다/ef
.	./sf
그러면	그러면/maj
제가	제/npp+가/jcs
쓰려는	쓰/pvg+려/ecs+는/etm
방법이	방법/ncn+이/jcs
무엇일까요	무엇/npd+이/jp+ㄹ까/ef+요/jxf
?	?/sf
근사적인	근사/ncn+적/xsn+이/jp+ㄴ/etm
방법을	방법/ncn+을/jco
다시	다시/mag
쓰겠습니다	쓰/pvg+겠/ep+습니다/ef
.	./sf
우리가	우리/npp+가/jcs
넓이에	넓이/ncn+에/jca
대해	대하/pvg+어/ecs
확신하고	확신/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
유일한	유일/ncps+하/xsm+ㄴ/etm
것은	것/nbn+은/jxc
직사각형과	직사각형/ncn+과/jcj
삼각형의	삼각형/ncn+의/jcm
넓이입니다	넓이/ncn+이/jp+ㅂ니다/ef
.	./sf
그것을	그것/npd+을/jco
가지고	가지/pvg+고/ecs
시작하고자	시작/ncpa+하/xsv+고자/ecs
합니다	하/px+ㅂ니다/ef
.	./sf
반지름이	반지름/ncn+이/jcs
r	r/f
인	이/jp+ㄴ/etm
원을	원/ncn+을/jco
보겠습니다	보/pvg+겠/ep+습니다/ef
.	./sf
이것을	이것/npd+을/jco
삼각형을	삼각형/ncn+을/jco
가지고	가지/pvg+고/ecs
근사시켜봅시다	근사/ncpa+시키/xsv+어/ecx+보/px+ㅂ시다/ef
.	./sf
먼저	먼저/mag
네	네/nnc
개의	개/nbu+의/jcm
삼각형을	삼각형/ncn+을/jco
그립시다	그리/pvg+ㅂ시다/ef
.	./sf
이와	이/npd+와/jct
같이	같/paa+이/xsa
.	./sf
네	네/nnc
개의	개/nbu+의/jcm
삼각형들이	삼각형/ncn+들/xsn+이/jcs
보이지요	보이/pvg+지/ef+요/jxf
?	?/sf
이것은	이것/npd+은/jxc
매우	매우/mag
엉성한	엉성/ncps+하/xsm+ㄴ/etm
근사입니다	근사/nbn+이/jp+ㅂ니다/ef
.	./sf
아주	아주/mag
좋지	좋/paa+지/ecx
않군요	않/px+군/ef+요/jxf
.	./sf
반지름이	반지름/ncn+이/jcs
r	r/f
인	이/jp+ㄴ/etm
원을	원/ncn+을/jco
더	더/mag
많은	많/paa+은/etm
삼각형들로	삼각형/ncn+들/xsn+로/jca
근사시킵시다	근사/ncpa+시키/xsv+ㅂ시다/ef
.	./sf
예를	예/ncn+를/jco
들어	들/pvg+어/ecs
다음처럼	다음/ncn+처럼/jca
여섯은	여섯/nnc+은/jxc
어떨까요	어떻/pad+ㄹ까/ef+요/jxf
.	./sf
일곱이나	일곱/nnc+이나/jcj
여덟	여덟/nnc
개의	개/nbu+의/jcm
삼각형으로	삼각형/ncn+으로/jca
할	하/pvg+ㄹ/etm
수도	수/nbn+도/jxc
있겠죠	있/paa+겠/ep+지/ef+요/jxf
.	./sf
삼각형이	삼각형/ncn+이/jcs
많아지면	많/paa+아/ecx+지/px+면/ecs
많아질수록	많/paa+아/ecx+지/px+ㄹ수록/ecs
점점	점점/mag
더	더/mag
좋은	좋/paa+은/etm
근사값을	근사/ncn+값/ncn+을/jco
얻습니다	얻/pvg+습니다/ef
.	./sf
이전에	이전/ncn+에/jca
정다각형을	정다각형/ncn+을/jco
보았지요	보/pvg+았/ep+지/ef+요/jxf
?	?/sf
예	예/ii
?	?/sf
좋습니다	좋/paa+습니다/ef
.	./sf
이제	이제/mag
다각형으로	다각형/ncn+으로/jca
원을	원/ncn+을/jco
근사시킵시다	근사/ncpa+시키/xsv+ㅂ시다/ef
.	./sf
처음	처음/mag
사용한	사용/ncpa+하/xsv+ㄴ/etm
다각형은	다각형/nbn+은/jxc
변이	변/ncn+이/jcs
네	네/nnc
개인	개/nbu+이/jp+ㄴ/etm
정사각형이었습니다	정사각형/ncn+이/jp+었/ep+습니다/ef
.	./sf
정다각형의	정다각형/ncn+의/jcm
변이	변/ncn+이/jcs
여섯	여섯/nnc
개이면	개/nbu+이/jp+면/ecs
그것을	그것/npd+을/jco
무엇이라	무엇/npd+이/jp+라/ef
부릅니까	부르/pvg+ㅂ니까/ef
?	?/sf
변이	변/ncn+이/jcs
여섯	여섯/nnc
개인	개/nbu+이/jp+ㄴ/etm
다각형을	다각형/ncn+을/jco
뭐라고	뭐/npd+라/ef+고/jcr
하는지	하/pvg+는지/ecs
알고	알/pvg+고/ecx
있습니까	있/px+습니까/ef
?	?/sf
한	한/nnc
학생	학생/ncn
:	:/sp
정육각형	정육각형/ncn
(	(/sl
hexagon	hexagon/f
)	)/sr
입니다	이/jp+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
맞습니다	맞/pvg+습니다/ef
.	./sf
정육각형입니다	정육각형/ncn+이/jp+ㅂ니다/ef
.	./sf
알고	알/pvg+고/ecx
있는지	있/px+는지/ecs
한번	한번/ncn
알아	알/pvg+아/ecx
본	보/px+ㄴ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
자	자/ii
여기	여기/npd
삼각형	삼각형/ncn
4	4/nnc
개	개/nbu
,	,/sp
다음은	다음/ncn+은/jxc
삼각형	삼각형/ncn
6	6/nnc
개	개/nbu
,	,/sp
7	7/nnc
개	개/nbu
그리고	그리고/maj
점점	점점/mag
더	더/mag
많이	많/paa+이/xsa
그릴	그리/pvg+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
정다각형이	정다각형/ncn+이/jcs
많으면	많/paa+으면/ecs
많을수록	많/paa+ㄹ수록/ecs
점점	점점/mag
더	더/mag
좋은	좋/paa+은/etm
원의	원/ncn+의/jcm
근사값을	근사/ncn+값/ncn+을/jco
얻습니다	얻/pvg+습니다/ef
.	./sf
맞지요	맞/pvg+지/ef+요/jxf
?	?/sf
(	(/sl
그러면서	그러/pvd+면서/ecs
선생님은	선생/ncn+님/xsn+은/jxc
칠판에	칠판/ncn+에/jca
그림들을	그림/ncn+들/xsn+을/jco
그린다	그리/pvg+ㄴ다/ef
.)	./sf+)/sr
여기	여기/npd
임의의	임의/ncn+의/jcm
n	n/f
에	에/jca
대해서	대하/pvg+어서/ecs
n	n/f
개의	개/nbu+의/jcm
변을	변/ncn+을/jco
가지는	가지/pvg+는/etm
다각형을	다각형/ncn+을/jco
그렸습니다	그리/pvg+었/ep+습니다/ef
.	./sf
n	n/f
에	에/jca
대해서	대하/pvg+어서/ecs
알고	알/pvg+고/ecx
있습니까	있/px+습니까/ef
?	?/sf
한	한/nnc
학생	학생/ncn
:	:/sp
어떤	어떤/mmd
수입니다	수/nbn+이/jp+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
그래요	그렇/pad+어/ef+요/jxf
.	./sf
특별한	특별/ncpa+하/xsv+ㄴ/etm
경우만	경우/ncn+만/jxc
설명하려는	설명/ncpa+하/xsv+려/ecs+는/etm
것이	것/nbn+이/jcc
아니라	아니/paa+라/ecs
,	,/sp
일반적인	일반/ncn+적/xsn+이/jp+ㄴ/etm
상황을	상황/ncn+을/jco
설명하고자	설명/ncpa+하/xsv+고자/ecs
합니다	하/px+ㅂ니다/ef
.	./sf
그러면	그러면/maj
n	n/f
을	을/jco
사용하겠습니다	사용/ncpa+하/xsv+겠/ep+습니다/ef
.	./sf
이것이	이것/npd+이/jcs
신경쓰입니까	신경/ncn+쓰이/pvg+ㅂ니까/ef
?	?/sf
한	한/nnc
학생	학생/ncn
:	:/sp
아니요	아니/paa+요/jxf
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
좋습니다	좋/paa+습니다/ef
.	./sf
바로	바로/mag
그것이	그것/npd+이/jcs
방법입니다	방법/ncn+이/jp+ㅂ니다/ef
.	./sf
정다각형으로	정다각형/ncn+으로/jca
원에	원/ncn+에/jca
근사시킵니다	근사/ncpa+시키/xsv+ㅂ니다/ef
.	./sf
그러면	그러면/maj
원의	원/ncn+의/jcm
넓이는	넓이/ncn+는/jxc
삼각형으로	삼각형/ncn+으로/jca
근사되고	근사/ncpa+되/xsv+고/ecc
,	,/sp
원주는	원주/ncn+는/jxc
다각형의	다각형/ncn+의/jcm
둘레로	둘레/ncn+로/jca
근사됩니다	근사/ncpa+되/xsv+ㅂ니다/ef
.	./sf
같은	같/paa+은/etm
삼각형이	삼각형/ncn+이/jcs
4	4/nnc
개	개/nbu
있는	있/paa+는/etm
여기	여기/npd
정사각형은	정사각형/ncn+은/jxc
별로	별로/mag
좋지가	좋/paa+지/ecx+가/jcs
않군요	않/px+군/ef+요/jxf
.	./sf
다음	다음/mmd
그림에서는	그림/ncn+에서/jca+는/jxc
같은	같/paa+은/etm
삼각형이	삼각형/ncn+이/jcs
여섯	여섯/nnc
개	개/nbu
있군요	있/paa+군/ef+요/jxf
.	./sf
저기에서는	저기/npd+에서/jca+는/jxc
같은	같/paa+은/etm
삼각형이	삼각형/ncn+이/jcs
일곱	일곱/nnc
개가	개/nbu+가/jcs
있습니다	있/paa+습니다/ef
.	./sf
맞지요	맞/pvg+지/ef+요/jxf
?	?/sf
그	그/npp
각각의	각각/ncn+의/jcm
삼각형에	삼각형/ncn+에/jca
이름을	이름/ncn+을/jco
붙입시다	붙이/pvg+ㅂ시다/ef
.	./sf
예를	예/ncn+를/jco
들어	들/pvg+어/ecs
,	,/sp
처음	처음/ncn
것을	것/nbn+을/jco
T	T/f
라고	라/ef+고/jcr
부르겠습니다	부르/pvg+겠/ep+습니다/ef
.	./sf
4	4/nnc
라는	라/ef+는/etm
숫자는	숫자/ncn+는/jxc
네	네/nnc
개의	개/nbu+의/jcm
삼각형으로	삼각형/ncn+으로/jca
이루어졌다는	이루/pvg+어/ecx+지/px+었/ep+다/ef+는/etm
것을	것/nbn+을/jco
가리키는	가리키/pvg+는/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
그것의	그것/npd+의/jcm
밑변을	밑변/ncn+을/jco
,	,/sp
높이를	높이/ncn+를/jco
라고	라/ef+고/jcr
부릅시다	부르/pvg+ㅂ시다/ef
.	./sf
삼각형	삼각형/ncn
가	가/jcs
네	네/nnc
개	개/nbu
있습니다	있/paa+습니다/ef
.	./sf
그러면	그러면/maj
삼각형	삼각형/ncn
는	는/jxc
밑변	밑변/nbn
와	와/jcj
높이	높이/ncn
를	를/jco
갖게	갖/pvg+게/ecs
됩니다	되/pvg+ㅂ니다/ef
.	./sf
삼각형	삼각형/ncn
는	는/jcs
여섯	여섯/nnc
개	개/nbu
있습니다	있/paa+습니다/ef
.	./sf
저기에	저기/npd+에/jca
있는	있/paa+는/etm
삼각형	삼각형/ncn
은	은/jxc
일곱	일곱/nnc
개	개/nbu
있겠지요	있/paa+겠/ep+지/ef+요/jxf
.	./sf
일반적으로	일반/ncn+적/xsn+으로/jca
,	,/sp
삼각형	삼각형/ncn
은	은/jxc
n	n/f
개	개/nbu
있을	있/paa+을/etm
것이고	것/nbn+이/jp+고/ecc
,	,/sp
밑변	밑변/ncn
과	과/jcj
높이	높이/ncn
을	을/jco
갖게	갖/pvg+게/ecs
되지요	되/pvg+지/ef+요/jxf
.	./sf
의	의/jcm
넓이는	넓이/ncn+는/jxc
얼마입니까	얼마/ncn+이/jp+ㅂ니까/ef
?	?/sf
삼각형의	삼각형/ncn+의/jcm
넓이는	넓이/ncn+는/jxc
얼마지요	얼마/ncn+지/ef+요/jxf
?	?/sf
쉐릴	쉐릴/nq
:	:/sp
이	이/nnc
분의	분/nbn+의/jcm
일	일/nnc
곱하기	곱하기/ncn
입니다	이/jp+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
학생은	학생/ncn+은/jxc
너무	너무/mag
앞서	앞/ncn+서/pvg+어/ecs
가고	가/pvg+고/ecx
있습니다	있/px+습니다/ef
.	./sf
다른	다르/paa+ㄴ/etm
사람을	사람/ncn+을/jco
위해	위하/pvg+어/ecs
천천히	천천/ncn+히/xsa
합시다	하/pvg+ㅂ시다/ef
.	./sf
삼각형	삼각형/ncn
의	의/jcm
넓이는	넓이/ncn+는/jxc
입니다	이/jp+ㅂ니다/ef
.	./sf
지금	지금/ncn
그녀는	그녀/npp+는/jxc
일반적인	일반/ncn+적/xsn+이/jp+ㄴ/etm
대답을	대답/ncn+을/jco
했습니다	하/pvg+었/ep+습니다/ef
.	./sf
하나씩	하나/ncn+씩/xsn
하나씩	하나/ncn+씩/xsn
합시다	하/pvg+ㅂ시다/ef
.	./sf
의	의/jcm
넓이는	넓이/ncn+는/jxc
얼마입니까	얼마/ncn+이/jp+ㅂ니까/ef
?	?/sf
한	한/nnc
학생	학생/ncn
:	:/sp
이	이/nnc
분의	분/nbn+의/jcm
일	일/nnc
곱하기	곱하기/ncn
입니다	이/jp+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
예	예/ii
,	,/sp
의	의/jcm
넓이는	넓이/ncn+는/jxc
?	?/sf
입니다	이/jp+ㅂ니다/ef
.	./sf
마지막으로	마지막/ncn+으로/jca
,	,/sp
의	의/jcm
넓이는	넓이/ncn+는/jxc
?	?/sf
쉐릴	쉐릴/nq
.	./sf
대답해	대답/ncpa+하/xsv+어/ecx
보세요	보/px+시/ep+에/ef+요/jxf
.	./sf
쉐릴	쉐릴/nq
:	:/sp
이분의	이/nnc+분/nbn+의/jcm
일	일/ncn
곱하기	곱하기/ncn
입니다	이/jp+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
맞습니다	맞/pvg+습니다/ef
.	./sf
이제	이제/mag
칠판의	칠판/ncn+의/jcm
여백이	여백/ncn+이/jcs
없으니	없/paa+으니/ecs
n	n/f
에	에/jca
대한	대하/pvg+ㄴ/etm
그림만	그림/ncn+만/jxc
남기고	남기/pvg+고/ecs
다른	다르/paa+ㄴ/etm
것들은	것/nbn+들/xsn+은/jxc
지워도	지우/pvg+어도/ecs
되겠지요	되/pvg+겠/ep+지/ef+요/jxf
?	?/sf
4	4/nno
,	,/sp
6	6/nno
,	,/sp
7	7/nno
의	의/jcm
그림은	그림/ncn+은/jxc
n	n/f
으로	으로/jca
이끌기	이끌/pvg+기/etn
위해	위하/pvg+어/ecs
필요로	필요/ncn+로/jca
했던	하/pvg+었/ep+던/etm
것들입니다	것/nbn+들/xsn+이/jp+ㅂ니다/ef
.	./sf
저는	저/npp+는/jxc
오직	오직/mag
n	n/f
에	에/jca
대한	대하/pvg+ㄴ/etm
그림이	그림/ncn+이/jcs
필요했습니다	필요/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
그렇지요	그렇/pad+지/ef+요/jxf
?	?/sf
자	자/ii
,	,/sp
다각형	다각형/ncn
안의	안/ncn+의/jcm
넓이는	넓이/ncn+는/jxc
얼마입니까	얼마/ncn+이/jp+ㅂ니까/ef
?	?/sf
학생	학생/ncn
:	:/sp
