<tdmsfile>
<project>  </project>
1670    ,        ,/sp
1671    이를    이/npd+를/jco
1672    단문에서의      단문/ncn+에서/jca+의/jcm
1673    관계화와        관계화/ncn+와/jct
1674    소위    소위/mag
1675    섬제약  섬제약/ncn
1676    (       (/sl
1677    island   island/f
1678    constraint       constraint/f
1679    )       )/sr
1680    을      을/jco
1681    어기고  어기/pvg+고/ecc
1682    관계화가        관계화/ncn+가/jcs
1683    이루어지는      이루/pvg+어/ecx+지/px+는/etm
1684    복합구성에서    복합/ncpa+구성/ncpa+에서/jca
1685    그      그/mmd
1686    가능성에        가능성/ncn+에/jca
1687    차이가  차이/ncn+가/jcs
1688    있다    있/paa+다/ef
1689    .        ./sf
1690    일반적으로      일반/ncn+적/xsn+으로/jca
1691    보충어와        보충어/ncn+와/jct
1692    첨가어는        첨가어/ncn+는/jxc
1693    다      다/mag
1694    관계화될        관계화/ncn+되/xsv+ㄹ/etm
1695    수      수/nbn
1696    있으나  있/paa+으나/ecs
1697    ,        ,/sp
1698    서술어의        서술어/ncn+의/jcm
1699    특정한  특정/ncpa+하/xsv+ㄴ/etm
1700    의미와  의미/ncps+와/jcj
1701    연관이  연관/ncpa+이/jcs
1702    있는    있/paa+는/etm
1703    첨가어는        첨가어/ncn+는/jxc
1704    그      그/mmd
1705    가능성이        가능성/ncn+이/jcs
1706    낮고    낮/paa+고/ecc
1707    ,        ,/sp
1708    특히    특히/mag
1709    복합구성에서    복합/ncpa+구성/ncpa+에서/jca
1710    내포된  내포/ncpa+되/xsv+ㄴ/etm
1711    절이    절/ncn+이/jcs
1712    첨가절  첨가절/ncn
1713    (       (/sl
1714    adjunct adjunct/f
1715    clause  clause/f
1716    )       )/sr
1717    일      이/jp+ㄹ/etm
1718    때      때/ncn
1719    이      이/mmd
1720    절에서  절/ncn+에서/jca
1721    첨가어가        첨가/pvg+어/ecs+가/jxc
1722    상위문의        상위문/ncn+의/jcm
1723    핵심명사로      핵심/ncn+명사/ncn+로/jca
1724    되는    되/pvg+는/etm
1725    관계화는        관계화/ncn+는/jxc
1726    그      그/npp
1727    가능성이        가능성/ncn+이/jcs
1729    아주    아주/mag
1730    낮아진다        낮/paa+아/ecx+지/px+ㄴ다/ef
1731    .        ./sf
1732    이런    이런/mmd
1733    관계화  관계화/ncn
1734    가능성  가능성/ncn
1735    외에    외/ncn+에/jca
1736    ,        ,/sp
1737    기본적인        기본/ncn+적/xsn+이/jp+ㄴ/etm
1738    관계구성과      관계/ncpa+구성/ncpa+과/jct
1739    달리    달리/mag
1740    의미적으로      의미/ncps+적/xsn+으로/jca
1741    핵심명사로      핵심/ncn+명사/ncn+로/jca
1742    여겨질  여기/pvg+어/ecx+지/px+ㄹ/etm
1743    수      수/nbn
1744    있는    있/paa+는/etm
1745    성분이  성분/ncn+이/jcs
1746    관계절  관계절/ncn
1747    내에    내/ncn+에/jca
1748    있는    있/paa+는/etm
1749    소위    소위/ncn
1750    '       '/sr
1751    머리어가        머리어/ncn+가/jcs
1752    내재된  내재/ncpa+되/xsv+ㄴ/etm
1753    관계구성        관계/ncpa+구성/ncpa
1754    (       (/sl
1755    internally       internally/f
1756    headed headed/f
1757    relative relative/f
1758    clause  clause/f
1759    )'      )/sr+'/sl
1760    과      과/jct
1761    관련하여        관련/ncpa+하/xsv+어/ecs
1762    이      이/mmd
1763    가능한  가능/ncpa+하/xsv+ㄴ/etm
1764    구조를  구조/ncpa+를/jco
1765    유사한  유사/ncpa+하/xsv+ㄴ/etm
1766    보문    보문/ncn
1767    /       //sp
1768    동격구성과      동격/ncn+구성/ncpa+과/jcj
1769    구분하는        구분/ncpa+하/xsv+는/etm
1770    방법    방법/ncn
1771    및      및/maj
1772    그      그/mmd
1773    특징에  특징/ncpa+에/jca
1774    대해서  대하/pvg+어서/ecs
1775    논의한다        논의/ncpa+하/xsv+ㄴ다/ef
1776    .        ./sf
1777    또      또/maj
1778    소유격  소유격/ncn
1779    관계구성이라    관계/ncpa+구성/ncpa+이라/jca
1780    하여    하/pvg+어/ecs
1781    관계절  관계절/ncn
1782    내의    내/npp+의/jcm
1783    공백과  공백/ncn+과/jcj
1784    공지시  공지시/ncn
1785    될      되/pvg+ㄹ/etm
1786    수      수/nbn
1787    있는    있/paa+는/etm
1788    성분으로        성분/ncn+으로/jca
1789    주어가  주어/ncn+가/jcs
1790    아닌    아니/paa+ㄴ/etm
1791    소유어가        소유어/ncn+가/jcs
1792    나타나는        나타나/pvg+는/etm
1793    구성에  구성/ncpa+에/jca
1794    대해서도        대하/pvg+어서/ecs+도/jxc
1795    살펴본다        살피/pvg+어/ecx+보/px+ㄴ다/ef
1796    .        ./sf
1797    앞에서도        앞/ncn+에서/jca+도/jxc
1799    지적했지만      지적/ncpa+하/xsv+었/ep+지만/ecs
1800    ,        ,/sp
1801    한국어  한국어/ncn
1802    관형구성은      관형구성/ncn+은/jxc
1803    전통적으로      전통/ncn+적/xsn+으로/jca
1804    보문    보문/ncn
1805    /       //sp
1806    동격구성과      동격/ncn+구성/ncpa+과/jcj
1807    관계구성이라는  관계/ncpa+구성/ncpa+이/jp+라는/etm
1808    이분법적인      이분법/ncn+적/xsn+이/jp+ㄴ/etm
1809    분류가  분류/ncpa+가/jcs
1810    지배적이었지만  지배/ncpa+적/xsn+이/jp+었/ep+지만/ecs
1811    이      이/mmd
1812    두      두/nnc
1813    구성    구성/ncn
1814    가운데에        가운데/ncn+에/jca
1815    위치하고        위치/ncpa+하/xsv+고/ecc
1816    어느    어느/mmd
1817    한      한/nnc
1818    구성에  구성/ncn+에/jca
1819    포함    포함/ncpa
1820    시키기  시키/pvg+기/etn
1821    어려운  어렵/paa+ㄴ/etm
1822    소위    소위/ncn
1823    '       '/sl
1824    의사관계구성    의사/ncn+관계/ncpa+구성/ncpa
1825    (       (/sl
1826    pseudo pseudo/f
1827    -       -/sd
1828    relative relative/f
1829    construction     construction/f
1830    )'      )/sr+'/sl
1831    이      이/jcs
1832    존재함을        존재/ncpa+하/xsv+ㅁ/etn+을/jco
1833    보이고  보이/pvg+고/ecc
1834    이      이/mmd
1835    구성이  구성/ncpa+이/jcs
1836    지니는  지니/pvg+는/etm
1837    특징에  특징/ncpa+에/jca
1838    대해서도        대하/pvg+어서/ecs+도/jxc
1839    자세히  자세히/mag
1840    논의하도록      논의/ncpa+하/xsv+도록/ecx
1841    한다    하/px+ㄴ다/ef
1842    .        ./sf
1843    이런    이런/mmd
1844    분류를  분류/ncpa+를/jco
1845    바탕으로        바탕/ncpa+으로/jca
1846    그      그/mmd
1847    형식적인        형식/ncn+적/xsn+이/jp+ㄴ/etm
1848    측면을  측면/ncn+을/jco
1849    바탕으로        바탕/ncpa+으로/jca
1850    한국어의        한국어/ncn+의/jcm
1851    관형구조를      관형구조/ncn+를/jco
1852    새로    새로/mag
1853    구성해  구성/ncpa+하/xsv+어/ecx
1854    보도록  보/px+도록/ecx
1855    한다    하/px+ㄴ다/ef
1856    .        ./sf
1857    관계구문은      관계/ncpa+구문/ncn+은/jxc
1858    그      그/mmd
1859    통사론적        통사론/ncn+적/xsn
1860    측면    측면/ncn
1861    외에    외/ncn+에/jca
1862    의미론적인      의미론/ncn+적/xsn+이/jp+ㄴ/etm
1863    측면과도        측면/ncn+과/jct+도/jxc
1864    밀접한  밀접/ncps+하/xsm+ㄴ/etm
1865    관련을  관련/ncpa+을/jco
1866    맺고    맺/pvg+고/ecx
1867    있다    있/px+다/ef
1868    .        ./sf
1869    즉      즉/maj
1870    통사론적으로는  통사론/ncn+적/xsn+으로/jca+는/jxc
1871    아무    아무/mmd
1872    문제가  문제/ncn+가/jcs
1873    없는    없/paa+는/etm
1874    구조이지만      구조/ncpa+이/jp+지만/ecs
1875    적격한  적격한/mag
1876    구조로  구조/ncpa+로/jca
1877    받아들여지지    받/pvg+아/ecx+들이/px+어/ecx+지/px+지/ecx
1878    않는    않/px+는/etm
1879    구성들이        구성/ncpa+들/xsn+이/jcs
1881    있는데  있/paa+는데/ecs
1882    이를    이/npd+를/jco
1883    4       4/nnc
1884    장에서  장/nbu+에서/jca
1885    관계구문의      관계/ncpa+구문/ncn+의/jcm
1886    의미기능으로    의미/ncps+기능/ncn+으로/jca
1887    고찰한다        고찰/ncpa+하/xsv+ㄴ다/ef
1888    .        ./sf
1889    관계문의        관계문/ncn+의/jcm
1890    의미에  의미/ncps+에/jca
1891    접근하는        접근/ncpc+하/xsv+는/etm
1893    두      두/nnc
1894    방법    방법/ncn
1895    -       -/sd
1896    형식의미론적    형식의미론+적/xsn
1897    접근방법과      접근/ncpa+방법/ncn+과/jcj
1898    의미기능주의적  의미/ncps+기능주의/ncn+적/xsn
1899    접근방법        접근/ncpa+방법/ncn
1900    -       -/sd
1901    중에서  중/ncn+에서/jca
1902    의미기능        의미/ncps+기능/ncn
1903    주의적  주의/ncn+적/xsn
1904    접근방법을      접근/ncpa+방법/ncn+을/jco
1905    취하여  취하/pvg+어/ecs
1906    관계문이        관계문/ncn+이/jcs
1907    그      그/mmd
1908    핵심명사를      핵심/ncn+명사/ncn+를/jco
1909    '       '/sl
1910    제한    제한/ncpa
1911    (       (/sl
1912    restrict restrict/f
1913    )'      )/sr+'/sl
1914    하는    하/pvg+는/etm
1915    과정을  과정/ncpa+을/jco
1916    중시    중시/ncpa
1917    여겨    여기/pvg+어/ecs
1919    이를    이/npd+를/jco
1920    '       '/sl
1921    속성    속성/ncn
1922    ',       '/sl+,/sp
1923    '       '/sl
1924    행위성  행위성/ncn
1925    ',       '/sl+,/sp
1926    '       '/sl
1927    대상성  대상성/ncn
1928    ',       '/sl+,/sp
1929    '       '/sl
1930    배경성  배경성/ncn
1931    '       '/sr
1932    의      의/jcm
1933    네      네/nnc
1934    유형으로        유형/ncn+으로/jca
1935    구분하여        구분/ncpa+하/xsv+어/ecs
1936    제한이  제한/ncpa+이/jcs
1937    어떤    어떤/mmd
1938    방식    방식/ncn
1939    으로    으로/jca
1940    체계화되는지를  체계화/ncpa+되/xsv+는지/ecs+를/jxc
1941    살펴본다        살피/pvg+어/ecx+보/px+ㄴ다/ef
1942    .        ./sf
1943    또      또/maj
1944    '       '/sl
1945    의미적  의미/ncps+적/xsn
1946    정연성  정연성/ncn
1947    (       (/sl
1948    The    The/f
1949    Coherence       Coherence/f
1950    Condition       Condition/f
1951    )       )/sr
1952    조건    조건/ncn
1953    '       '/sr
1954    을      을/jco
1955    설정하여        설정/ncpa+하/xsv+어/ecs
1956    관계문이        관계문/ncn+이/jcs
1957    적격해질        적격하/pvg+어/ecx+지/px+ㄹ/etm
1958    수      수/nbn
1959    있는    있/paa+는/etm
1960    의미원리를      의미/ncps+원리/ncn+를/jco
1961    체계화하였다    체계화/ncpa+하/xsv+었/ep+다/ef
1962    .        ./sf
1963    5       5/nnc
1964    장에서는        장/nbu+에서/jca+는/jxc
1965    이렇게  이렇게/mag
1966    통사론적        통사론/ncn+적/xsn
1967    ,        ,/sp
1968    의미론적으로    의미론/ncn+적/xsn+으로/jca
1969    논의된  논의/ncpa+되/xsv+ㄴ/etm
1970    사항을  사항/ncn+을/jco
1971    바탕으로        바탕/ncpa+으로/jca
1972    HPSG  HPSG/f
1973    로      로/jca
1974    한국어  한국어/ncn
1975    관계구문을      관계/ncpa+구문/ncn+을/jco
1976    기술해  기술/ncpa+하/xsv+어/ecx
1977    본다    보/px+ㄴ다/ef
1978    .        ./sf
1979    HPSG  HPSG/f
1980    에서    에서/jca
1981    설정하고        설정/ncpa+하/xsv+고/ecx
1982    있는    있/px+는/etm
1983    무경계  무경계/ncn
1984    의존구성        의존/ncpa+구성/ncpa
1985    (       (/sl
1986    unbounded      unbounded/f
1987    dependency     dependency/f
1988    construction     construction/f
1989    )       )/sr
1990    의      의/jcm
1991    개념에서부터    개념/ncn+에서/jca+부터/jxc
1992    관계구문에      관계/ncpa+구문/ncn+에/jca
1993    대한    대하/pvg+ㄴ/etm
1994    논의를  논의/ncpa+를/jco
1995    재검토하고      재검토/ncpa+하/xsv+고/ecc
1996    한국어  한국어/ncn
1998    기술에  기술/ncpa+에/jca
1999    있어    있/paa+어/ecs
2000    고려해야        고려/ncpa+하/xsv+어야/ecx
2001    할      하/px+ㄹ/etm
2002    사항들을        사항/ncn+들/xsn+을/jco
2003    논의한다        논의/ncpa+하/xsv+ㄴ다/ef
2004    .        ./sf
2005    따라서  따라서/maj
2006    영어의  영어/ncn+의/jcm
2007    관계문을        관계문/ncn+을/jco
2008    설명하기        설명/ncpa+하/xsv+기/etn
2009    위하어  위하/pvg+어/ecs
2011    설정된  설정/ncpa+되/xsv+ㄴ/etm
2012    공관계사구      공관계사구/ncn
2013    (       (/sl
2014    RP     RP/f
2015    )       )/sr
2016    를      를/jco
2017    설정하지        설정/ncpa+하/xsv+지/ecx
2018    않으며  않/px+으며/ecs
2019    ,        ,/sp
2020    또      또/maj
2021    관계절  관계절/ncn
2022    내에    내/ncn+에/jca
2023    공백을  공백/ncpa+을/jco
2024    흔적으로        흔적/ncn+으로/jca
2025    설정하지        설정/ncpa+하/xsv+지/ecx
2027    않는    않/px+는/etm
2028    접근방식을      접근/ncpa+방식/ncn+을/jco
2029    받아들인다      받/pvg+아/ecx+들이/px+ㄴ다/ef
2030    .        ./sf
2031    관형구조의      관형구조/ncn+의/jcm
2032    여러    여러/mma
2033    하위유형들      하위/ncn+유형/ncn+들/xsn
2034    -       -/sd
2035    보문    보문/ncn
2036    /       //sp
2037    동격구성        동격/ncn+구성/ncpa
2038    ,        ,/sp
2039    관계구성        관계/ncpa+구성/ncpa
2041    ,        ,/sp
2042    유사관계구성    유사/ncpa+관계/ncpa+구성/ncpa
2043    등      등/ncn
2044    -       -/sd
2045    은      은/jxc
2046    통사적인        통사/ncn+적/xsn+이/jp+ㄴ/etm
2047    면에서는        면/ncn+에서/jca+는/jxc
2048    특징적으로      특징/ncpa+적/xsn+으로/jca
2049    구별되지        구별/ncpa+되/xsv+지/ecx
2050    않는    않/px+는/etm
2051    공통의  공통/ncpa+의/jcm
2052    자질을  자질/ncn+을/jco
2053    공유하는        공유/ncpa+하/xsv+는/etm
2054    구조로  구조/ncpa+로/jca
2055    표시되지만      표시/ncpa+되/xsv+지만/ecs
2056    ,        ,/sp
2057    의미적인        의미/ncps+적/xsn+이/jp+ㄴ/etm
2058    면에서는        면/ncn+에서/jca+는/jxc
2059    서로    서로/mag
2060    다른    다른/mma
2061    구조로  구조/ncpa+로/jca
2062    구분될  구분/ncpa+되/xsv+ㄹ/etm
2063    수      수/nbn
2064    있다는  있/paa+다는/etm
2065    논의를  논의/ncpa+를/jco
2066    바탕으로        바탕/ncpa+으로/jca
2067    이를    이/npd+를/jco
2068    체계화할        체계화/ncpa+하/xsv+ㄹ/etm
2069    수      수/nbn
2070    있는    있/paa+는/etm
2071    의미기술을      의미/ncps+기술/ncn+을/jco
2072    시도하였다      시도/ncpa+하/xsv+었/ep+다/ef
2073    .        ./sf
2074    이런    이런/mmd
2075    의미기술은      의미/ncps+기술/ncn+은/jxc
2076    여기서  여기/npd+서/jca
2078    처음    처음/mag
2079    시도된  시도/ncpa+되/xsv+ㄴ/etm
2080    것이며  것/nbn+이/jp+며/ecc
2081    따라서  따라서/maj
2082    앞으로  앞/ncn+으로/jca
2083    더      더/mag
2084    수정    수정/ncpa
2085    ,        ,/sp
2086    보완될  보완/ncpa+되/xsv+ㄹ/etm
2087    여지가  여지/ncn+가/jcs
2088    있다    있/paa+다/ef
2089    .        ./sf
2090    1       1/nnc
2091    .        ./sf
2092    4       4/nnc
2093    .        ./sf
2094    HPSG  HPSG/f
2095    의      의/jcm
2096    특징    특징/ncpa
2097    본      본/mmd
2098    논의에서        논의/ncpa+에서/jca
2099    이론적  이론/ncn+적/xsn
2100    기반으로        기반/ncn+으로/jca
2101    삼는    삼/pvg+는/etm
2102    문법은  문법/ncn+은/jxc
2103    HPSG  HPSG/f
2104    이다    이/jp+다/ef
2105    .        ./sf
2106    여기서는        여기/npd+서/jca+는/jxc
2107    HPSG  HPSG/ff
2108    의      의/jcm
2109    전반적인        전반/ncn+적/xsn+이/jp+ㄴ/etm
2110    특징을  특징/ncpa+을/jco
2111    개략적으로      개략/ncpa+적/xsn+으로/jca
2112    살펴보도록      살피/pvg+어/ecx+보/px+도록/ecx
2113    한다    하/px+ㄴ다/ef
2114    .{{      ./sf+{/sl+{/sl
2115    관계구문과      관계/ncpa+구문/ncn+과/jcj
2116    관련한  관련/ncpa+하/xsv+ㄴ/etm
2117    무경계  무경계/ncn
2118    의존구성        의존/ncpa+구성/ncpa
2119    (       (/sl
2120    unbounded      unbounded/f
2121    relative relative/f
2122    construction     construction/f
2123    )       )/sr
2124    이나    이나/jcj
2125    여러    여러/mma
2126    원리들은        원리/ncn+들/xsn+은/jxc
2127    5       5/nnc
2128    장에서  장/nbu+에서/jca
2129    자세히  자세히/mag
2130    논의된다        논의/ncpa+되/xsv+ㄴ다/ef
2131    .        ./sf
2132    }}      }/sr+}/sr
2133    HPSG  는/etm
2134    는      는/jxc
2135    Pollard Pollard/f
2136    and     and/f
2137    Sag     Sag/f
2138    (       (/sl
2139    1987    1987/nnc
2140    )       )/sr
2141    에      에/jca
2142    의해    의하/pvg+어/ecs
2143    개발되어        개발/ncpa+되/xsv+어/ecs
2145    현재    현재/ncn
2146    Pollard Pollard/f
2147    and     and/f
2148    Sag     Sag/f
2149    (       (/sl
2150    1994    1994/nnc
2151    )       )/sr
2152    까지    까지/jca
2153    이르고  이르/pvg+고/ecx
2154    있는    있/px+는/etm
2155    문법이론으로    문법이론/ncn+으로/jca
2156    ,        ,/sp
2157    변형을  변형/ncpa+을/jco
2158    인정하지        인정/ncpa+하/xsv+지/ecx
2159    않는    않/px+는/etm
2160    여타    여타/ncn
2161    다른    다른/mma
2162    생성문법과      생성문법/ncn+과/jct
2163    같은    같/paa+ㄴ/etm
2164    계열에  계열/ncn+에/jca
2165    속하며  속하/pvg+며/ecc
2166    직접적으로는    직접/ncn+적/xsn+으로/jca+는/jxc
2167    일반화구조문법  일반화/ncn+구조/ncpa+문법/ncn
2168    (       (/sl
2169    Generalized      Generalized/f
2170    Phrase Phrase/f
2171    Structure       Structure/f
2172    Grammar       Grammar/f
2173    :       :/sp
2174    GPSG  GPSG/f
2175    )       )/sr
2176    에      에/jca
2177    그      그/mmd
2178    뿌리를  뿌리/ncn+를/jco
2179    두고    두/pvg+고/ecx
2180    있다    있/px+다/ef
2181    .        ./sf
2182    HPSG  HPSG/f
2183    는      는/jxc
2184    수학적  수학/ncn+적/xsn
2185    엄격성  엄격성/ncn
2186    과      과/jcj
2187    상황의미론을    상황/ncn+의미론/ncn+을/jco
2188    기본    기본/ncn
2189    축으로  축/ncn+으로/jca
2190    하고    하/pvg+고/ecx
2191    있으며  있/px+으며/ecs
2192    ,        ,/sp
2193    범주문법        범주문법/ncn
2194    (       (/sl
2195    Categorial       Categorial/f
2196    Grammar       Grammar/f
2197    :       :/sp
2198    CG     CG/f
2199    ),       )/sr+,/sp
2200    어휘    어휘/ncn
2201    기능문법        기능/ncn+문법/ncn
2202    (       (/sl
2203    Lexical Lexical/f
2204    Functional      Functional/f
2205    Grammar       Grammar/f
2206    :       :/sp
2207    LFG    LFG/f
2208    ),       )/sr+,/sp
2209    더      더/mag
2210    나아가  나아가/pvg+아/ecs
2211    담화표상이론    담화/ncn+표상/ncpa+이론/ncn
2212    (       (/sl
2213    Discourse       Discourse/f
2214    Representation   Representation/f
2215    Theory Theory/f
2216    :       :/sp
2217    DRT    DRT/f
2218    ),       )/sr+,/sp
2219    컴퓨터과학      컴퓨터/ncn+과학/ncn
2220    ,        ,/sp
2221    인공지능        인공지능/ncn
2222    (       (/sl
2223    Artificial        Artificial/f
2224    Intelligence      Intelligence/f
2225    :       :/sp
2226    AI      AI/f
2227    )       )/sr
2228    과도    과/jct+도/jxc
2229    관련을  관련/ncpa+을/jco
2230    맺고    맺/pvg+고/ecc
2231    영향을  영향/ncn+을/jco
2232    받는    받/pvg+는/etm
2233    문법이론이다    문법이론/ncn+이/jp+다/ef
2234    .        ./sf
2235    Pollard Pollard/f
2236    and     and/f
2237    Sag     Sag/f
2238    (       (/sl
2239    1987    1987/nnc
2240    )       )/sr
2241    이      이/jcs
2242    HPSG  HPSG/f
2243    의      의/jcm
2244    기본적인        기본/ncn+적/xsn+이/jp+ㄴ/etm
2245    자질구조        자질/ncn+구조/ncpa
2246    ,        ,/sp
2247    원리체계        원리/ncn+체계/ncn
2248    등      등/ncn
2249    기초적인        기초/ncn+적/xsn+이/jp+ㄴ/etm
2250    내용    내용/ncn
2251    에      에/jca
2252    대한    대하/pvg+ㄴ/etm
2253    것이라면        것/nbn+이/jp+라면/ecs
2254    ,        ,/sp
2255    Pollard Pollard/f
2256    and     and/f
2257    Sag     Sag/f
2258    (       (/sl
2259    1994    1994/nnc
2260    )       )/sr
2261    는      는/jxc
2262    이      이/mmd
2263    이론적  이론/ncn+적/xsn
2264    기초를  기초/ncn+를/jco
2265    바탕으로        바탕/ncpa+으로/jca
2266    문법기술이      문법/ncn+기술/ncn+이/jcs
2267    더      더/mag
2268    확대    확대/ncpa
2269    발전되어        발전/ncpa+되/xsv+어/ecx
2270    간      가/px+ㄴ/etm
2271    것이라  것/nbn+이라/jca
2272    할      하/pvg+ㄹ/etm
2273    수      수/nbn
2274    있다    있/paa+다/ef
2275    .        ./sf
2276    이      이/npd
2277    Pollard Pollard/f
2278    and     and/f
2279    Sag     Sag/f
2280    (       (/sl
2281    1994    1994/nnc
2282    )       )/sr
2283    는      는/jxc
2284    전체가  전체/ncn+가/jcs
2285    9       9/nnc
2286    장      장/nbu
2287    으로    으로/jca
2288    되어    되/pvg+어/ecx
2289    있는데  있/px+는데/ecs
2290    {{      {/sl+{/sl
2291    Pollard Pollard/f
2292    and     and/f
2293    Sag     Sag/f
2294    (       (/sl
2295    1994    1994/nnc
2296    )       )/sr
2297    의      의/jcm
2298    전체    전체/ncn
2299    목록은  목록/ncn+은/jxc
2300    다음과  다음/ncn+과/jct
2301    같다    같/paa+다/ef
2302    .        ./sf
2303    i       i/f
2304    .        ./sf
2305    HPSG  HPSG/f
2306    :       :/sp
2307    A      A/f
2308    System System/f
2309    of      of/f
2310    Signs   Signs/f
2311    ii       ii/f
2312    .        ./sf
2313    Agreement      Agreement/f
2314    iii      iii/f
2315    .        ./sf
2316    Complement     Complement/f
2317    Structures       Structures/f
2318    iv      iv/f
2319    .        ./sf
2320    Unbounded      Unbounded/f
2321    Dependency     Dependency/f
2322    Constructions   Constructions/f
2323    v       v/f
2324    .        ./sf
2325    Relative Relative/f
2326    Clauses Clauses/f
2327    vi      vi/f
2328    .        ./sf
2329    Binding Binding/f
2330    Theory Theory/f
2331    vii      vii/f
2332    .        ./sf
2333    Complement     Complement/f
2334    Control Control/f
2335    viii     viii/f
2336    .        ./sf
2337    Aspects Aspects/f
2338    of      of/f
2339    Interpretation    Interpretation/f
2340    ix      ix/f
2341    .        ./sf
2342    Reflections      Reflections/f
2343    and     and/f
2344    Revisions       Revisions/f
2345    }}      }/sr+}/sr
2346    그      그/mmd
2347    중에서  중/ncn+에서/jca
2348    9       9/nnc
2349    장은    장/nbu+은/jxc
2350    앞      앞/ncn
2351    장에서  장/nbu+에서/jca
2352    논의한  논의/ncpa+하/xsv+ㄴ/etm
2353    여러    여러/mma
2354    사항    사항/ncn
2355    중      중/ncn
2356    몇      몇/nnc
2357    가지가  가지/nbu+가/jcs
2358    근본적으로      근본/ncn+적/xsm+으로/jca
2360    수정되는        수정/ncpa+되/xsv+는/etm
2361    특징을  특징/ncpa+을/jco
2362    보인다  보이/pvg+ㄴ다/ef
2363    .        ./sf
2364    그      그/mmd
2365    하나가  하나/nnc+가/jcs
2366    본      본/mmd
2367    논의와  논의/ncpa+와/jcj
2368    관계가  관계/ncpa+가/jcs
2369    있는    있/paa+는/etm
2370    무경계  무경계/ncn
2371    의존구성에서의  의존/ncpa+구성/ncpa+에서의/jca
2372    흔적    흔적/ncn
2373    (       (/sl
2374    trace    trace/f
2375    )       )/sr
2376    과      과/jcj
2377    관련한  관련/ncpa+하/xsv+ㄴ/etm
2378    개념이다        개념/ncn+이/jp+다/ef
2379    .{{      ./sf+{/sl+{/sl
2380    이      이/mmd
2381    수정사항에      수정/ncpa+사항/ncn+에/jca
2382    대해서는        대하/pvg+어서/ecs+는/jxc
2383    5       5/nnc
2384    장에서  장/nbu+에서/jca
2385    자세히  자세히/mag
2386    논의한다        논의/ncpa+하/xsv+ㄴ다/ef
2387    .        ./sf
2388    }}      }/sr+}/sr
2389    HPSG  의/jcm
2390    의      의/jcm
2391    전반적인        전반/ncn+적/xsn+이/jp+ㄴ/etm
2392    특징으로는      특징/ncpa+으로/jca+는/jxc
2393    우선    우선/mag
2394    정보에  정보/ncn+에/jca
2395    기반을  기반/ncn+을/jco
2396    둔      두/pvg+ㄴ/etm
2397    (       (/sl
2398    information      information/f
2399    -       -/sd
2400    based   based/f
2401    )       )/sr
2402    그리고  그리고/maj
2403    제약에  제약/ncpa+에/jca
2404    기초한  기초/ncpa+하/xsv+ㄴ/etm
2405    (       (/sl
2406    constraint       constraint/f
2407    -       -/sd
2408    based   based/f
2409    )       )/sr
2410    이론이라는      이론/ncn+이/jp+라는/etm
2411    점을    점/ncn+을/jco
2412    들      들/pvg+ㄹ/etm
2413    수      수/nbn
2414    있다    있/paa+다/ef
2415    .{{      ./sf+{/sl+{/sl
2416    여기서의        여기/npd+서/jca+의/jcm
2417    설명은  설명/ncpa+은/jxc
2418    박병수  박병수/nq
2419    (       (/sl
2420    1994    1994/nnc
2421    )       )/sr
2422    의      의/jcm
2423    설명을  설명/ncpa+을/jco
2424    참고로  참고/ncpa+로/jca
2425    하였다  하/pvg+었/ep+다/ef
2426    .        ./sf
2427    }}      }/sr+}/sr
2428    HPSG  는/etm
2429    는      는/jxc
2430    상황의미론      상황/ncn+의미론/ncn
2431    (       (/sl
2432    Situation        Situation/f
2433    Semantics       Semantics/f
2434    )       )/sr
2435    의      의/jcm
2436    영향을  영향/ncn+을/jco
2437    많이    많이/mag
2438    받았는데        받/pvg+았/ep+는데/ecs
2439    ,        ,/sp
2440    상황의미론은    상황/ncn+의미론/ncn+은/jxc
2441    자연언어를      자연언어/ncn+를/jco
2442    여러    여러/mma
2443    가지    가지/nbu
2444    상황을  상황/ncn+을/jco
2445    기술하고        기술/ncpa+하/xsv+고/ecc
2446    다양하고        다양하/paa+고/ecc
2447    복잡한  복잡하/paa+ㄴ/etm
2448    정보를  정보/ncn+를/jco
2449    효율적으로      효율/ncn+적/xsn+으로/jca
2450    전달하여        전달/ncpa+하/xsv+어/ecs
2451    사람들로        사람/ncn+들/xsn+로/jca
2452    하여금  하여금/mag
2453    의사    의사/ncn
2454    소통을  소통/ncpa+을/jco
2455    하게    하/pvg+게/ecx
2456    해주는  하/px+어/ecx+주/px+는/etm
2457    데      데/nbn
2458    중요한  중요/ncps+하/xsm+ㄴ/etm
2459    것으로  것/nbn+으로/jca
2460    파악하고        파악/ncpa+하/xsv+고/ecc
2461    ,        ,/sp
2462    언어기호란      언어/ncn+기호/ncn+란/etm
2463    정보를  정보/ncn+를/jco
2464    지니고  지니/pvg+고/ecx
2465    있다는  있/px+다는/etm
2466    점      점/ncn
2467    을      을/jco
2468    중시    중시/ncpa
2469    여긴다  여기/pvg+ㄴ다/ef
2470    .        ./sf
2471    정보에  정보/ncn+에/jca
2472    기반을  기반/ncn+을/jco
2473    둔      두/pvg+ㄴ/etm
2474    이론이란        이론/ncn+이/jp+란/etm
2475    언어기호가      언어/ncn+기호/ncn+가/jcs
2476    지니고  지니/pvg+고/ecx
2477    있는    있/px+는/etm
2478    정보를  정보/ncn+를/jco
