
그리스	그리스/nq
.	./sf

1905	1905/nno
년	년/nbu
네덜란드의	네덜란드/nq+의/jcm
영양학자	영양/ncn+학자/ncn
페켈하링은	페켈하링/nq+은/jxc
지방과	지방/ncn+과/jcj
탄수화물	탄수화물/ncn
,	,/sp
단백질이	단백질/ncn+이/jcs
풍부한	풍부/ncps+하/xsm+ㄴ/etm
인공	인공/ncn
사료로	사료/ncn+로/jca
쥐를	쥐/ncn+를/jco
키웠는데	키우/pvg+었/ep+는데/ecs
한	한/nnc
달	달/nbu
이내에	이내/ncn+에/jca
모두	모두/mag
죽었다	죽/pvg+었/ep+다/ef
.	./sf

또	또/maj
아미노산의	아미노산/ncn+의/jcm
중요성을	중요/ncn+성/xsn+을/jco
증명했던	증명/ncpa+하/xsv+었/ep+던/etm
영국의	영국/nq+의/jcm
생화학자	생화학/ncn+자/xsn
홉킨스도	홉킨스/nq+도/jxc
일련의	일련/ncn+의/jcm
실험을	실험/ncn+을/jco
통해	통하/pvg+어/ecs
우유의	우유/ncn+의/jcm
카세인에	카세인/ncn+에/jca
있는	있/paa+는/etm
무엇인가를	무엇/npd+이/jp+ㄴ가/ef+를/jco
인공	인공/ncn
사료에	사료/ncn+에/jca
첨가하면	첨가/ncpa+하/xsv+면/ecs
생장에	생장/ncn+에/jca
중요한	중요/ncps+하/xsm+ㄴ/etm
차이가	차이/ncn+가/jcs
있다고	있/paa+다/ef+고/jcr
하였다	하/pvg+였/ep+다/ef
.	./sf

이	이/mmd
미지의	미지/ncn+의/jcm
물질은	물질/ncn+은/jxc
물에	물/ncn+에/jca
녹는	녹/pvg+는/etm
것이었는데	것/nbn+이/jp+었/ep+는데/ecs
음식물	음식/ncn+물/xsn
첨가제로는	첨가/ncn+제/xsn+로/jca+는/jxc
카세인보다	카세인/ncn+보다/jca
소량의	소량/ncn+의/jcm
효모	효모/ncn
추출액이	추출/ncn+액/ncn+이/jcs
더	더/mag
효과적이었다	효과/ncn+적/xsn+이/jp+었/ep+다/ef
.	./sf

가금류의	가금/ncn+류/xsn+의/jcm
각기병	각기병/ncn
치료에는	치료/ncn+에/jca+는/jxc
이	이/mmd
물질	물질/ncn
5	5/nnc
내지	내지/maj
10	10/nnc
mg	mg/su
이면	이/jp+면/ecs
충분하였다	충분/ncps+하/xsm+였/ep+다/ef
.	./sf

같은	같/paa+은/etm
해	해/ncn
태생의	태생/ncn+의/jcm
생화학자	생화학/ncn+자/xsn
풍크	풍크/nq
(	(/sl
영국에	영국/nq+에/jca
있다가	있/paa+다가/ecs
뒤에	뒤/ncn+에/jca
미국에서	미국/nq+에서/jca
연구함	연구/ncpa+하/xsv+ㅁ/etn
)	)/sr
는	는/jxc
같은	같/paa+은/etm
화합물을	화합/ncn+물/xsn+을/jco
효모에서	효모/ncn+에서/jca
얻었다	얻/pvg+었/ep+다/ef
.	./sf

이	이/mmd
화합물이	화합/ncn+물/xsn+이/jcc
NH2	NH/f+2/nnc
를	를/jco
갖는	갖/pvg+는/etm
아민으로	아민/ncn+으로/jca
밝혀졌기	밝히/pvg+어/ecx+지/px+었/ep+기/etn
때문에	때문/nbn+에/jca
풍크는	풍크/nq+는/jxc
라틴어를	라틴어/nq+를/jco
생명에	생명/ncn+에/jca
필요한	필요/ncps+하/xsm+ㄴ/etm
아민	아민/ncn
즉	즉/mag
'	'/sl
비타민	비타민/ncn
'	'/sr
이라	이/jp+라/ef
불렀다	부르/pvg+었/ep+다/ef
.	./sf

그는	그/npp+는/jxc
각기병과	각기병/ncn+과/jcj
괴혈병	괴혈병/ncn
,	,/sp
펠라그라	펠라그라/ncn
,	,/sp
구루병	구루병/ncn
등이	등/nbn+이/jcs
모두	모두/mag
비타민의	비타민/ncn+의/jcm
부족에서	부족/ncn+에서/jca
생긴다고	생기/pvg+ㄴ다/ef+고/jcr
추측했다	추측/ncpa+하/xsv+었/ep+다/ef
.	./sf

매콜럼은	매콜럼/nq+은/jxc
항각기병	항각기병/ncn
요소를	요소/ncn+를/jco
수용성	수용/ncn+성/xsn
B	B/f
라고	라고/jcr
부르는데	부르/pvg+는데/ecs
물질은	물질/ncn+은/jxc
지용성	지용/ncn+성/xsn
A	A/f
라고	라고/jcr
했다	하/pvg+었/ep+다/ef
.	./sf

이	이/mmd
요소의	요소/ncn+의/jcm
성질에	성질/ncn+에/jca
대한	대하/pvg+ㄴ/etm
화학적	화학/ncn+적/xsn
정보가	정보/ncn+가/jcs
없을	없/paa+을/etm
때에는	때/ncn+에/jca+는/jxc
이것만으로도	이것/npd+만/jxc+으로/jca+도/jxc
충분해서	충분/ncps+하/xsm+어서/ecs
일반적으로	일반/ncn+적/xsn+으로/jca
문자를	문자/ncn+를/jco
붙여	붙이/pvg+어/ecx
명명하게	명명/ncpa+하/xsv+게/ecx
되었다	되/pvg+었/ep+다/ef
.	./sf

1920	1920/nno
년	년/nbu
영국의	영국/nq+의/jcm
생화학자	생화학/ncn+자/xsn
드러몬드가	드러몬드/nq+가/jcs
이	이/mmd
물질의	물질/ncn+의/jcm
이름을	이름/ncn+을/jco
'	'/sl
비타민	비타민/ncn
A	A/f
,	,/sp
B	B/f
'	'/sr
등으로	등/nbn+으로/jca
바꾸었는데	바꾸/pvg+었/ep+는데/ecs
'	'/sl
vitamine	vitamine/f
'	'/sr
에서	에서/jca
마지막	마지막/ncn
'	'/sl
e	e/f
'	'/sr
를	를/jco
없애	없애/pvg+어/ecs
아민의	아민/ncn+의/jcm
의미를	의미/ncn+를/jco
버리려고	버리/pvg+려고/ecs
하였다	하/pvg+였/ep+다/ef
.	./sf

그는	그/npp+는/jxc
또	또/maj
항괴혈병	항괴혈병/ncn
요소가	요소/ncn+가/jcs
3	3/nno
번째	번째/nbu
물질이므로	물질/ncn+이/jp+므로/ecs
'	'/sl
비타민	비타민/ncn
C	C/f
'	'/sr
로	로/jca
부르자고	부르/pvg+자/ef+고/jcr
제안하였다	제안/ncpa+하/xsv+였/ep+다/ef
.	./sf

비타민	비타민/ncn
A	A/f
는	는/jxc
음식물	음식/ncn+물/xsn
속에	속/ncn+에/jca
있는	있/paa+는/etm
요소이며	요소/ncn+이/jp+며/ecc
눈	눈/ncn
주변의	주변/ncn+의/jcm
결막과	결막/ncn+과/jcj
각막이	각막/ncn+이/jcs
비정상적으로	비/xp+정상/ncn+적/xsn+으로/jca
마르는	마르/pvg+는/etm
안구	안구/ncn
건조	건조/ncn
증세를	증세/ncn+를/jco
예방한다는	예방/ncpa+하/xsv+ㄴ다/ef+는/etm
것이	것/nbn+이/jcs
밝혀졌다	밝히/pvg+어/ecx+지/px+었/ep+다/ef
.	./sf

이들은	이/npd+들/xsn+은/jxc
항구루병	항구루병/ncn
요소가	요소/ncn+가/jcs
4	4/nno
번째	번째/nbu
비타민이	비타민/ncn+이/jcc
되어야	되/pvg+어야/ecs
한다고	하/pvg+ㄴ다/ef+고/jcr
결정을	결정/ncn+을/jco
하여	하/pvg+여/ecs
'	'/sl
비타민	비타민/ncn
D	D/f
'	'/sr
라	라/ecs
명명했다	명명/ncpa+하/xsv+었/ep+다/ef
.	./sf

비타민	비타민/ncn
D	D/f
와	와/jcj
A	A/f
는	는/jxc
지용성	지용/ncn+성/xsn
물질이고	물질/ncn+이/jp+고/ecc
C	C/f
와	와/jcj
B	B/f
는	는/jxc
수용성	수용/ncn+성/xsn
물질이다	물질/ncn+이/jp+다/ef
.	./sf

1930	1930/nno
년까지	년/nbu+까지/jxc
비타민	비타민/ncn
B	B/f
는	는/jxc
단순한	단순/ncps+하/xsm+ㄴ/etm
물질이	물질/ncn+이/jcc
아니라	아니/paa+라/ecs
다른	다르/paa+ㄴ/etm
성질을	성질/ncn+을/jco
가진	가지/pvg+ㄴ/etm
화합물의	화합/ncn+물/xsn+의/jcm
혼합물임이	혼합/ncn+물/xsn+이/jp+ㅁ/etn+이/jcs
밝혀졌다	밝히/pvg+어/ecx+지/px+었/ep+다/ef
.	./sf

하지만	하지만/maj
이	이/mmd
숫자는	숫자/ncn+는/jxc
계속	계속/mag
늘어나서	늘어나/pvg+아서/ecs
B14	B/f+14/nno
까지	까지/jxc
있다	있/paa+다/ef
.	./sf

수용성인	수용/ncn+성/xsn+이/jp+ㄴ/etm
이	이/mmd
집단의	집단/ncn+의/jcm
비타민은	비타민/ncn+은/jxc
보통	보통/ncn
'	'/sl
비타민	비타민/ncn
B	B/f
복합체	복합/ncn+체/xsn
'	'/sr
라	라/jcr
부른다	부르/pvg+ㄴ다/ef
.	./sf

즉	즉/mag
비타민	비타민/ncn
F	F/f
는	는/jxc
비타민이	비타민/ncn+이/jcc
아니라고	아니/paa+라/ef+고/jcr
판정되었고	판정/ncpa+되/xsv+었/ep+고/ecc
비타민	비타민/ncn
H	H/f
는	는/jxc
비타민	비타민/ncn
B	B/f
복합체의	복합/ncn+체/xsn+의/jcm
하나임이	하나/nnc+이/jp+ㅁ/etn+이/jcs
밝혀졌다	밝히/pvg+어/ecx+지/px+었/ep+다/ef
.	./sf

어떤	어떤/mmd
이유에서인지	이유/ncn+에서/jca+이/jp+ㄴ지/ecs
수용성보다는	수용/ncn+성/xsn+보다/jca+는/jxc
지용성	지용/ncn+성/xsn
비타민에서	비타민/ncn+에서/jca
아직도	아직/mag+도/jxc
문자가	문자/ncn+가/jcs
주로	주로/mag
쓰이고	쓰이/pvg+고/ecx
있지만	있/px+지만/ecs
요즈음에는	요즈음/ncn+에/jca+는/jxc
비타민의	비타민/ncn+의/jcm
화학적	화학/ncn+적/xsn
구성이	구성/ncn+이/jcs
밝혀져	밝히/pvg+어/ecx+지/px+어/ecs
진짜	진짜/ncn
비타민도	비타민/ncn+도/jxc
문자보다는	문자/ncn+보다/jca+는/jxc
화학명으로	화학/ncn+명/ncn+으로/jca
쓰고	쓰/pvg+고/ecx
있다	있/px+다/ef
.	./sf

예를	예/ncn+를/jco
들면	들/pvg+면/ecs
1	1/nnc
톤의	톤/nbu+의/jcm
벼	벼/ncn
껍질에서	껍질/ncn+에서/jca
겨우	겨우/mag
5	5/nnc
g	g/su
의	의/jcm
비타민	비타민/ncn
B1	B/f+1/nno
을	을/jco
얻을	얻/pvg+을/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf

네덜란드의	네덜란드/nq+의/jcm
생화학자	생화학/ncn+자/xsn
얀센과	얀센/nq+과/jcj
도나츠는	도나츠/nq+는/jxc
매우	매우/mag
적은	적/paa+은/etm
양의	양/ncn+의/jcm
표본을	표본/ncn+을/jco
가지고	가지/pvg+고/ecc
비타민	비타민/ncn
B	B/f
의	의/jcm
조성을	조성/ncn+을/jco
밝혔지만	밝히/pvg+었/ep+지만/ecs
잘못된	잘못/ncpa+되/xsv+ㄴ/etm
것으로	것/nbn+으로/jca
판명되었다	판명/ncpa+되/xsv+었/ep+다/ef
.	./sf

1932	1932/nno
년	년/nbu
오다케는	오다케/nq+는/jxc
좀더	좀더/mag
많은	많/paa+은/etm
시료를	시료/ncn+를/jco
사용하여	사용/ncpa+하/xsv+어/ecs
거의	거의/mag
유사한	유사/ncps+하/xsm+ㄴ/etm
조성을	조성/ncn+을/jco
얻었다	얻/pvg+었/ep+다/ef
.	./sf

여기서	여기/npd+서/jca
전혀	전혀/mag
예상치	예상/ncpa+하/xsv+지/ecx
못했던	못하/pvg+었/ep+던/etm
것이	것/nbn+이/jcs
황	황/ncn
(	(/sl
그리스어로	그리스어/nq+로/jca
theion	theion/f
)	)/sr
원소였으므로	원소/ncn+이/jp+었/ep+으므로/ecs
이	이/mmd
비타민은	비타민/ncn+은/jxc
'	'/sl
티아민	티아민/ncn
'	'/sr
이라	이/jp+라/ecs
불리게	불리/pvg+게/ecx
되었다	되/pvg+었/ep+다/ef
.	./sf

신맛이	시/paa+ㄴ/etm+맛/ncn+이/jcs
나는	나/pvg+는/etm
과일에는	과일/ncn+에/jca+는/jxc
비교적	비교/ncn+적/xsn
이	이/mmd
물질이	물질/ncn+이/jcs
풍부히	풍부/ncn+히/xsa
들어	들/pvg+어/ecx
있었으나	있/px+었/ep+으나/ecs
스스로	스스로/ncn
비타민	비타민/ncn
C	C/f
를	를/jco
만들지	만들/pvg+지/ecx
않는	않/px+는/etm
실험	실험/ncn
동물을	동물/ncn+을/jco
찾는	찾/pvg+는/etm
게	거/nbn+이/jcs
어려웠던	어렵/paa+었/ep+던/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

괴혈병이	괴혈병/ncn+이/jcs
생기는	생기/pvg+는/etm
값싸고	값/ncn+싸/paa+고/ecc
단순한	단순/ncps+하/xsm+ㄴ/etm
실험	실험/ncn
동물이	동물/ncn+이/jcs
없으면	없/paa+으면/ecs
과일즙을	과일/ncn+즙/ncn+을/jco
화학적인	화학/ncn+적/xsn+이/jp+ㄴ/etm
방법을	방법/ncn+을/jco
통해	통하/pvg+어/ecs
여러	여러/mma
성분으로	성분/ncn+으로/jca
나누었을	나누/pvg+었/ep+을/etm
때	때/ncn
비타민	비타민/ncn
C	C/f
가	가/jcs
어느	어느/mmd
것인지	것/nbn+이/jp+ㄴ지/ecs
알	알/pvg+ㄹ/etm
방법이	방법/ncn+이/jcs
없었다	없/paa+었/ep+다/ef
.	./sf

1918	1918/nno
년	년/nbu
미국의	미국/nq+의/jcm
생화학자	생화학/ncn+자/xsn
코헨과	코헨/nq+과/jcj
멘델은	멘델/nq+은/jxc
기니아	기니아/nq
피그가	피그/nq+가/jcs
비타민	비타민/ncn
C	C/f
를	를/jco
만들지	만들/pvg+지/ecx
못한다는	못하/px+ㄴ다/ef+는/etm
사실을	사실/ncn+을/jco
발견하여	발견/ncpa+하/xsv+여/ecs
이	이/mmd
문제점을	문제/ncn+점/ncn+을/jco
해결하였다	해결/ncpa+하/xsv+였/ep+다/ef
.	./sf

비타민	비타민/ncn
C	C/f
는	는/jxc
매우	매우/mag
불안정하여	불/xp+안정/ncps+하/xsm+여/ecs
이	이/mmd
물질을	물질/ncn+을/jco
추출하는	추출/ncpa+하/xsv+는/etm
화학	화학/ncn
처리	처리/ncn
과정에서	과정/ncn+에서/jca
쉽게	쉽/paa+게/ecc
파괴되었다	파괴/ncpa+되/xsv+었/ep+다/ef
.	./sf

비타민	비타민/ncn
C	C/f
는	는/jxc
이	이/mmd
물질을	물질/ncn+을/jco
찾으려고	찾/pvg+으려고/ecs
한	하/pvg+ㄴ/etm
사람이	사람/ncn+이/jcc
아닌	아니/paa+ㄴ/etm
다른	다르/paa+ㄴ/etm
사람에	사람/ncn+에/jca
의해	의하/pvg+어/ecs
우연히	우연/ncn+히/xsa
추출되었다	추출/ncpa+되/xsv+었/ep+다/ef
.	./sf

1928	1928/nno
년	년/nbu
헝가리	헝가리/nq
태생의	태생/ncn+의/jcm
생화학자	생화학/ncn+자/xsn
센트괴르디는	센트괴르디/nq+는/jxc
런던의	런던/nq+의/jcm
홉킨스	홉킨스/nq
실험실에서	실험/ncn+실/xsn+에서/jca
조직의	조직/ncn+의/jcm
산소	산소/ncn
사용법을	사용/ncn+법/ncn+을/jco
주로	주로/mag
연구하고	연구/ncpa+하/xsv+고/ecx
있었는데	있/px+었/ep+는데/ecs
양배추에서	양배추/ncn+에서/jca
수소의	수소/ncn+의/jcm
전달을	전달/ncn+을/jco
도와	돕/pvg+아/ecx
주는	주/px+는/etm
물질을	물질/ncn+을/jco
발견했다	발견/ncpa+하/xsv+었/ep+다/ef
.	./sf

얼마	얼마/mag
되지	되/pvg+지/ecx
않아	않/px+아/ecs
비타민	비타민/ncn
C	C/f
를	를/jco
찾고	찾/pvg+고/ecx
있던	있/px+던/etm
피츠버그	nq[피츠버그/nq
대학의	대학/ncn]nq+의/jcm
킹과	킹/nq+과/jcj
그의	그/npp+의/jcm
동료들은	동료/ncn+들/xsn+은/jxc
양배추에서	양배추/ncn+에서/jca
어떤	어떤/mmd
물질을	물질/ncn+을/jco
얻었는데	얻/pvg+었/ep+는데/ecs
이	이/mmd
물질이	물질/ncn+이/jcs
괴혈병의	괴혈병/ncn+의/jcm
강력한	강력/ncps+하/xsm+ㄴ/etm
대응책이	대응/ncn+책/xsn+이/jcc
될	되/pvg+ㄹ/etm
수	수/nbn
있음을	있/paa+음/etn+을/jco
알았다	알/pvg+았/ep+다/ef
.	./sf

킹은	킹/nq+은/jxc
1933	1933/nno
년	년/nbu
이	이/mmd
물질의	물질/ncn+의/jcm
구조를	구조/ncn+를/jco
명백히	명백/ncn+히/xsa
밝혔는데	밝히/pvg+었/ep+는데/ecs
,	,/sp
D	D/f
계열이	계열/ncn+이/jcc
아닌	아니/paa+ㄴ/etm
L	L/f
계열의	계열/ncn+의/jcm
6	6/nnc
탄당으로	탄당/ncn+으로/jca
되어	되/pvg+어/ecx
있음이	있/px+음/etn+이/jcs
확인되었다	확인/ncpa+되/xsv+었/ep+다/ef
.	./sf

이	이/mmd
물질은	물질/ncn+은/jxc
그리스어로	그리스어/nq+로/jca
'	'/sl
괴혈병이	괴혈병/ncn+이/jcs
없다	없/paa+다/ef
'	'/sr
는	는/etm
뜻의	뜻/ncn+의/jcm
'	'/sl
아스코르브산	아스코르브/ncn+산/ncn
'	'/sr
이라	이/jp+라/ef
불리게	불리/pvg+게/ecx
되었다	되/pvg+었/ep+다/ef
.	./sf

비타민	비타민/ncn
A	A/f
의	의/jcm
구조에	구조/ncn+에/jca
대한	대하/pvg+ㄴ/etm
첫	첫/nno
번째	번째/nbu
단서는	단서/ncn+는/jxc
비타민	비타민/ncn
A	A/f
가	가/jcs
노랗거나	노랗/paa+거나/ecc
오렌지색인	오렌지/ncn+색/ncn+이/jp+ㄴ/etm
음식물	음식/ncn+물/xsn
(	(/sl
버터	버터/ncn
,	,/sp
계란	계란/ncn
노른자	노른자/ncn
,	,/sp
당근	당근/ncn
,	,/sp
간유	간유/ncn
등	등/nbn
)	)/sr
에	에/jca
풍부하다는데	풍부/ncps+하/xsm+다/ef+는/etm+데/nbn
있다	있/paa+다/ef
.	./sf

비타민	비타민/ncn
A	A/f
자체가	자체/ncn+가/jcs
노란색을	노랗/paa+ㄴ/etm+색/ncn+을/jco
띠는	띠/pvg+는/etm
것은	것/nbn+은/jxc
아니기	아니/paa+기/etn
때문에	때문/nbn+에/jca
카로틴	카로틴/ncn
자체가	자체/ncn+가/jcs
비타민	비타민/ncn
A	A/f
가	가/jcc
아니지만	아니/paa+지만/ecs
카로틴이	카로틴/ncn+이/jcs
간에서	간/ncn+에서/jca
비타민	비타민/ncn
A	A/f
로	로/jca
전환되는	전환/ncpa+되/xsv+는/etm
것으로	것/nbn+으로/jca
추리할	추리/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf

비타민	비타민/ncn
D	D/f
를	를/jco
연구했던	연구/ncpa+하/xsv+었/ep+던/etm
화학자들은	화학/ncn+자/xsn+들/xsn+은/jxc
태양빛을	태양/ncn+빛/ncn+을/jco
사용해서	사용/ncpa+하/xsv+어서/ecs
가장	가장/mag
좋은	좋/paa+은/etm
화학적	화학/ncn+적/xsn
단서를	단서/ncn+를/jco
찾았다	찾/pvg+았/ep+다/ef
.	./sf

비타민의	비타민/ncn+의/jcm
존재를	존재/ncn+를/jco
가장	가장/mag
먼저	먼저/mag
밝혔던	밝히/pvg+었/ep+던/etm
매콜럼	매콜럼/nq
연구팀은	연구/ncn+팀/ncn+은/jxc
1921	1921/nno
년	년/nbu
쥐를	쥐/ncn+를/jco
햇빛에	햇빛/ncn+에/jca
노출시키면	노출/ncpa+시키/xsv+면/ecs
비타민	비타민/ncn
D	D/f
가	가/jcs
부족한	부족/ncps+하/xsm+ㄴ/etm
사료로	사료/ncn+로/jca
키워도	키우/pvg+어도/ecs
구루병에	구루병/ncn+에/jca
걸리지	걸리/pvg+지/ecx
않음을	않/px+음/etn+을/jco
증명하였다	증명/ncpa+하/xsv+였/ep+다/ef
.	./sf
생화학자들은	생화학/ncn+자/xsn+들/xsn+은/jxc
태양에너지가	태양/ncn+에너지/ncn+가/jcs
몸	몸/ncn
안의	안/ncn+의/jcm
전구	전구/ncn
물질을	물질/ncn+을/jco
비타민	비타민/ncn
D	D/f
로	로/jca
바꾸는	바꾸/pvg+는/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
추측했다	추측/ncpa+하/xsv+었/ep+다/ef
.	./sf

지방을	지방/ncn+을/jco
잘게	잘/paa+게/ecx
부순	부수/pvg+ㄴ/etm
다음	다음/ncn
이를	이/npd+를/jco
햇빛에	햇빛/ncn+에/jca
노출시키는	노출/ncpa+시키/xsv+는/etm
방법으로	방법/ncn+으로/jca
햇빛에	햇빛/ncn+에/jca
의해	의하/pvg+어/ecs
비타민	비타민/ncn
D	D/f
로	로/jca
바뀌는	바뀌/pvg+는/etm
전구	전구/ncn
물질이	물질/ncn+이/jcs
스케로이드임을	스케로이드/ncn+이/jp+ㅁ/etn+을/jco
알았다	알/pvg+았/ep+다/ef
.	./sf

체내에	체내/ncn+에/jca
있는	있/paa+는/etm
가장	가장/mag
일반적인	일반/ncn+적/xsn+이/jp+ㄴ/etm
콜레스테롤을	콜레스테롤/ncn+을/jco
시험해	시험/ncpa+하/xsv+어/ecx
보았으나	보/px+았/ep+으나/ecs
그것은	그것/npd+은/jxc
아니었다	아니/paa+었/ep+다/ef
.	./sf

그	그/mmd
후	후/ncn
1926	1926/nno
년	년/nbu
영국의	영국/nq+의/jcm
생화학자	생화학/ncn+자/xsn
로젠하임과	로젠하임/nq+과/jcj
웹스터는	웹스터/nq+는/jxc
스테롤과	스테롤/ncn+과/jct
아주	아주/mag
유사한	유사/ncps+하/xsm+ㄴ/etm
에르고스테롤	에르고스테롤/ncn
(	(/sl
이	이/mmd
이름은	이름/ncn+은/jxc
맥각병	맥각병/ncn
(	(/sl
ergot	ergot/f
-	-/sd
infested	infested/f
)	)/sr
에	에/jca
걸린	걸리/pvg+ㄴ/etm
호밀에서	호밀/ncn+에서/jca
가장	가장/mag
먼저	먼저/mag
추출되었기	추출/ncpa+되/xsv+었/ep+기/etn
때문에	때문/nbn+에/jca
이	이/mmd
같은	같/paa+은/etm
이름이	이름/ncn+이/jcs
붙었다	붙/pvg+었/ep+다/ef
)	)/sr
이	이/jcs
햇빛에	햇빛/ncn+에/jca
의해	의하/pvg+어/ecs
비타민	비타민/ncn
D	D/f
로	로/jca
바뀌는	바뀌/pvg+는/etm
것을	것/nbn+을/jco
알았다	알/pvg+았/ep+다/ef
.	./sf

비타민	비타민/ncn
D	D/f
는	는/jxc
라틴어로	라틴어/nq+로/jca
'	'/sl
칼슘	칼슘/ncn
운반체	운반/ncn+체/xsn
'	'/sr
라는	라/ef+는/etm
뜻의	뜻/ncn+의/jcm
'	'/sl
칼리페롤	칼리페롤/ncn
'	'/sr
이라	이/jp+라/ef
불리기도	불리/pvg+기/etn+도/jxc
하는데	하/pvg+는데/ecs
그	그/mmd
이유는	이유/ncn+는/jxc
이	이/mmd
물질이	물질/ncn+이/jcs
뼈의	뼈/ncn+의/jcm
구조를	구조/ncn+를/jco
적절하게	적절/ncps+하/xsm+게/ecc
만드는데	만들/pvg+는데/ecs
필수적이기	필수/ncn+적/xsn+이/jp+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf

에번스와	에번스/nq+와/jct
그의	그/npp+의/jcm
동료들은	동료/ncn+들/xsn+은/jxc
1936	1936/nno
년이	년/nbu+이/jcc
되어서야	되/pvg+어서야/ecs
이	이/mmd
물질	물질/ncn
즉	즉/mag
비타민	비타민/ncn
E	E/f
를	를/jco
추출하는	추출/ncpa+하/xsv+는/etm
데	데/nbn
성공했다	성공/ncpa+하/xsv+었/ep+다/ef
.	./sf

그러나	그러나/maj
사람에게	사람/ncn+에게/jca
비타민	비타민/ncn
E	E/f
가	가/jcs
필요한	필요/ncps+하/xsm+ㄴ/etm
것인지	것/nbn+이/jp+ㄴ지/ecs
아닌지	아니/paa+ㄴ지/ecs
그리고	그리고/maj
필요하다면	필요/ncps+하/xsm+다/ef+면/ecs
얼마나	얼마나/mag
필요한지	필요/ncps+하/xsm+ㄴ지/ecs
등은	등/nbn+은/jxc
불행하게도	불행/ncps+하/xsm+게/ecx+도/jxc
밝혀지지	밝히/pvg+어/ecx+지/px+지/ecx
않았다	않/px+았/ep+다/ef
.	./sf

그리고	그리고/maj
비타민	비타민/ncn
E	E/f
가	가/jcs
없어	없/paa+어/ecs
불임이	불임/ncn+이/jcc
된다는	되/pvg+ㄴ다/ef+는/etm
사실로써	사실/ncn+로써/jca
동물에게서조차	동물/ncn+에게/jca+서/jca+조차/jxc
자연적인	자연/ncn+적/xsn+이/jp+ㄴ/etm
불임이	불임/ncn+이/jcs
이	이/mmd
비타민	비타민/ncn
때문에	때문/nbn+에/jca
생긴다고는	생기/pvg+ㄴ다/ef+고/jcr+는/jxc
할	하/pvg+ㄹ/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf

그는	그/npp+는/jxc
이	이/mmd
비타민을	비타민/ncn+을/jco
'	'/sl
응고	응고/ncn
비타민	비타민/ncn
'	'/sl
이라	이/jp+라/ef
명명하였고	명명/ncpa+하/xsv+였/ep+고/ecc
나중에	나중/ncn+에/jca
'	'/sl
비타민	비타민/ncn
K	K/f
'	'/sp
로	로/jca
줄여	줄이/pvg+어/ecs
불렀다	부르/pvg+었/ep+다/ef
.	./sf

세인트루이스	nq[세인트루이스/nq
대학의	대학/ncn]nq+의/jcm
도이지와	도이지/nq+와/jct
그의	그/npp+의/jcm
동료들은	동료/ncn+들/xsn+은/jxc
비타민	비타민/ncn
K	K/f
를	를/jco
추출하여	추출/ncpa+하/xsv+어/ecs
구조를	구조/ncn+를/jco
결정하였다	결정/ncpa+하/xsv+였/ep+다/ef
.	./sf

비타민	비타민/ncn
K	K/f
는	는/jxc
주요	주요/ncn
비타민이	비타민/ncn+이/jcc
아니며	아니/paa+며/ecc
영양상으로	영양/ncn+상/xsn+으로/jca
부족할	부족/ncps+하/xsm+ㄹ/etm
문제도	문제/ncn+도/jxc
없다	없/paa+다/ef
.	./sf

정상적으로는	정상/ncn+적/xsn+으로/jca+는/jxc
장에	장/ncn+에/jca
사는	살/pvg+는/etm
세균에	세균/ncn+에/jca
의해	의하/pvg+어/ecs
적정량	적정/ncn+량/ncn
이상	이상/ncn
공급될	공급/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf

갓	갓/mag
태어난	태어나/pvg+ㄴ/etm
아기들은	아기/ncn+들/xsn+은/jxc
비타민	비타민/ncn
K	K/f
가	가/jcs
부족하여	부족/ncps+하/xsm+어/ecc
혈액	혈액/ncn
응고가	응고/ncn+가/jcs
잘	잘/mag
안	안/mag
되기	되/pvg+기/etn
때문에	때문/nbn+에/jca
피를	피/ncn+를/jco
흘리게	흘리/pvg+게/ecx
되면	되/pvg+면/ecs
매우	매우/mag
위험하다	위험/ncps+하/xsm+다/ef
.	./sf

현대화된	현대/ncn+화/xsn+되/xsv+ㄴ/etm
병원에서는	병원/ncn+에서/jca+는/jxc
태아가	태아/ncn+가/jcs
사흘	사흘/ncn
동안	동안/nbn
적정량의	적정/ncn+량/ncn+의/jcm
장내	장내/ncn
세균을	세균/ncn+을/jco
갖도록	갖/pvg+도록/ecs
하든가	하/pvg+든가/ecc
태아에게	태아/ncn+에게/jca
직접	직접/mag
이	이/mmd
비타민을	비타민/ncn+을/jco
주사하든가	주사/ncpa+하/xsv+든가/ecc
태어나기	태어나/pvg+기/etn
직전에	직전/ncn+에/jca
모체에	모체/ncn+에/jca
주사한다	주사/ncpa+하/xsv+ㄴ다/ef
.	./sf

전에는	전/ncn+에/jca+는/jxc
대개	대개/mag
태아가	태아/ncn+가/jcs
박테리아를	박테리아/ncn+를/jco
직접	직접/mag
