<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0417.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0417.txt </filename>
<title> 최부의 표류기 </title>
<author>최부 저 ; 박화목 역 </author>
<date>1993  </date>
<publisher>민문고  </publisher>
<kdc>981.2  </kdc>
<ddc>915.1  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
멀리	멀리/mag
,	,/sp
마침	마침/mag
안의가	안의/nq+가/jcs
다가왔다가	다가오/pvg+았/ep+다가/ecs
이	이/mmd
말을	말/ncn+을/jco
들었습니다	듣/pvg+었/ep+습니다/ef
.	./sf
안의는	안의/nq+는/jcs
,	,/sp
"	"/sl
아니	아니/ii
,	,/sp
그럴	그렇/pad+ㄹ/etm
수는	수/nbn+는/jxc
없네	없/paa+네/ef
.	./sf
어찌	어찌/mag
길을	길/ncn+을/jco
떠났다가	떠나/pvg+았/ep+다가/ecs
다시	다시/mag
되돌아간단	되돌/pvg+아/ecs+가/pvg+ㄴ다/ef+ㄴ/jxc
말인가	말/ncn+이/jp+ㄴ가/ef
?	?/sf
그리고	그리고/maj
더이상	더이상/mag
시일을	시일/ncn+을/jco
지체할	지체하/pvg+ㄹ/etm
수가	수/nbn+가/jcs
없잖은가	없/paa+잖은가/ef
?"	?/sf+"/sl
하고	하/pvg+고/ecc
,	,/sp
큰	크/paa+ㄴ/etm
소리로	소리/ncn+로/jca
말했습니다	말/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
최부는	최부/nq+는/jcs
안의를	안의/nq+를/jco
돌아보았습니다	돌/pvg+아/ecs+보/pvg+았/ep+습니다/ef
.	./sf
안의의	안의/nq+의/jcm
얼굴에	얼굴/ncn+에/jca
적이	적이/mag
노여움	노여움/ncn
같은	같/paa+은/etm
빛이	빛/ncn+이/jcs
엿보였습니다	엿보이/pvg+었/ep+습니다/ef
.	./sf
"	"/sl
이	이/mmd
사람들은	사람/ncn+들/xsn+은/jxc
나무라지	나무라/pvg+지/ecx
말게	말/px+게/ecs
.	./sf
이	이/mmd
사람들도	사람/ncn+들/xsn+도/jxc
우리의	우리/npp+의/jcm
가는	가/pvg+는/etm
길이	길/ncn+이/jcs
걱정되어	걱정/ncpa+되/xsv+어/ecs
그러는	그러/pvd+는/jxc
것이네	것/nbn+이/jp+네/ef
."	./sf+"/sr
하고	하/pvg+고/ecc
조용히	조용/ncn+히/xsa
타일렀습니다	타이르/pvg+었/ep+습니다/ef
.	./sf
안의가	안의/nq+가/jcs
다시	다시/mag
말했습니다	말/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
"	"/sl
하늘의	하늘/ncn+의/jcm
기후는	기후/ncn+는/jxc
사람이	사람/ncn+이/jcs
미리	미리/mag
짐작할	짐작/ncpa+하/xsv+ㄹ/etm
수가	수/nbn+가/jcs
없습니다	없/paa+습니다/ef
.	./sf
잠깐	잠깐/mag
동안에	동안/ncn+에/jca
구름이	구름/ncn+이/jcs
걷히고	걷히/pvg+고/ecs
하늘을	하늘/ncn+을/jco
볼	보/pvg+ㄹ/etm
수	수/nbn
있을지	있/paa+을지/ecs
압니까	알/pvg+ㅂ니까/ef
?	?/sf
예로부터	예/ncn+로부터/jca
왕명을	왕명/ncn+을/jco
받든	받들/pvg+ㄴ/etm
조신으로서	조신/ncn+으로/jca+서/jxc
배가	배/ncn+가/jcs
표류하여	표류/ncpa+하/xsv+여/ecs
침몰된	침몰/ncpa+되/xsv+ㄴ/etm
사람은	사람/ncn+은/jxc
없었습니다	없/paa+었/ep+습니다/ef
.	./sf
이는	이/npd+는/jxc
임금의	임금/ncn+의/jcm
덕망이	덕망/ncn+이/jcs
무거움을	무겁/paa+ㅁ/etn+을/jco
하늘이	하늘/ncn+이/jcs
알고	알/pvg+고/ecx
있기	있/px+기/etn
때문이지요	때문/nbn+이/jp+지/ef+요/jxf
.	./sf
하늘이	하늘/ncn+이/jcs
우리의	우리/npp+의/jcm
갈	가/pvg+ㄹ/etm
길을	길/ncn+을/jco
보살펴	보살피/pvg+어/ecx
주실	주/px+시/ep+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
."	./sf+"/sr
"	"/sl
내	내/npp
생각에도	생각/ncn+에/jca+도/jxc
이미	이미/mag
떠난	떠나/pvg+ㄴ/etm
길이니	길/ncn+이니/ecs
배를	배/ncn+를/jxc
되돌릴	되돌리/pvg+ㄹ/etm
수는	수/nbn+는/jxc
없는	없/paa+는/etm
일이라고	일/ncn+이/jp+라고/ecs
여겨지네	여기/pvg+어지네/ef
."	./sf+"/sr
최부는	최부/nq+는/jxc
나직이	나직/ncn+이/xsa
,	,/sp
그러면서	그러면서/maj
굳건히	굳건/ncn+히/xsa
말했습니다	말/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
"	"/sl
돛을	돛/ncn+을/jco
달아라	달/pvg+아라/ef
!	!/sf
바람을	바람/ncn+을/jco
타고	타/pvg+고/ecc
빨리	빠르/paa+이/xsa
가야	가/pvg+야/ecs
한다	하/pvg+ㄴ다/ef
!"	!/sf+"/sl
안의는	안의/nq+는/jcs
큰	크/paa+ㄴ/etm
소리로	소리/ncn+로/jxc
호령했습니다	호령/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
곁꾼	곁꾼/ncn
(	(/sl
배를	배/ncn+를/jco
부리는	부리/pvg+는/etm
뱃사람	뱃사람/ncn
)	)/sr
들은	들/xsn+은/etm
돛을	돛/ncn+을/jco
높이	높이/mag
달았습니다	달/pvg+았/ep+습니다/ef
.	./sf
돛은	돛/ncn+은/jxc
바람을	바람/ncn+을/jco
맞아	맞/pvg+아/ecs
펄럭였습니다	펄럭이/pvg+었/ep+습니다/ef
.	./sf
그리고	그리고/maj
배는	배/ncn+는/jxc
바다를	바다/ncn+를/jco
가로질러	가로/pvg+어/ecs+지르/pvg+어/ecs
나아갔습니다	나아가/pvg+았/ep+습니다/ef
.	./sf
"	"/sl
바람을	바람/ncn+을/jco
따라	따르/pvg+아/ecs
나아가면	나아가/pvg+면/ecs
추자도에	추자도/nq+에/jca
닿을	닿/pvg+을/etm
수가	수/nbn+가/jcs
있겠어요	있/paa+겠/ep+어/ef+요/jxf
."	./sf+"/sr
"	"/sl
오늘	오늘/ncn
추자도에	추자도/nq+에/jca
정박하면	정박/ncpa+하/xsv+면/ecs
매우	매우/mag
빠르게	빠르/paa+게/ecs
갈	가/pvg+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
."	./sf+"/sr
하고	하/pvg+고/ecc
,	,/sp
사람들은	사람/ncn+들/xsn+은/jxc
저마다	저/npp+마다/jxc
한마디씩	한마디/ncn+씩/xsn
했습니다	하/pvg+었/ep+습니다/ef
.	./sf
키를	키/ncn+를/jco
잡은	잡/pvg+은/etm
권산은	권산/nq+은/jxc
사람들의	사람/ncn+들/xsn+의/jcm
말을	말/ncn+을/jco
듣는	듣/pvg+는/etm
둥	둥/nbn
마는	말/pvg+는/etm
둥	둥/nbn
하면서	하/pvg+면서/ecs
,	,/sp
잠자코	잠자코/mag
바람을	바람/ncn+을/jco
따라	따르/pvg+아/ecs
배를	배/ncn+를/jco
달리게	달리/pvg+게/ecx
했습니다	하/px+었/ep+습니다/ef
.	./sf
배를	배/ncn+를/jco
바람이	바람/ncn+이/jcs
부는	불/pvg+는/etm
대로	대로/jxc
수덕도를	수덕도/nq+를/jco
지나서	지나/pvg+아서/ecs
서쪽으로	서쪽/ncn+으로/jca
나아가는	나아가/pvg+는/etm
듯싶었습니다	듯싶/px+었/ep+습니다/ef
.	./sf
얼마나	얼마나/mag
시간이	시간/ncn+이/jcs
지났을까	지나/pvg+았/ep+을까/ef
?	?/sf
또	또/maj
,	,/sp
뱃길을	뱃길/ncn+을/jco
얼마나	얼마나/mag
왔을까	오/pvg+았/ep+ㄹ까/ef
?	?/sf
어서	어서/mag
추자도에	추자도/nq+에/jca
닿아	닿/pvg+아/ecs
배를	배/ncn+를/etm
정박시킬	정박/ncpa+시키/xsv+ㄹ/etm
곳을	곳/ncn+을/jco
찾아야	찾/pvg+아야/ecx
하는데	하/px+는데/ecs
,	,/sp
어느덧	어느덧/mag
날이	날/ncn+이/jcs
저물어	저물/pvg+어/ecs
바다가	바다/ncn+가/jcs
캄캄해지기	캄캄하/paa+어/ecx+지/px+기/etn
시작했습니다	시작/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
그러자	그러자/maj
,	,/sp
바람은	바람/ncn+은/jxc
약해지는	약해지/pvg+는/etm
한편	한편/maj
,	,/sp
비가	비/ncn+가/jcs
부슬부슬	부슬부슬/mag
내리기	내리/pvg+기/etn
시작했습니다	시작/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
게다가	게다가/maj
썰물이	썰물/ncn+이/jcs
매우	매우/mag
급하게	급하/paa+게/ecs
흘렀습니다	흐르/pvg+었/ep+습니다/ef
.	./sf
배는	배/ncn+는/jxc
좀처럼	좀처럼/mag
나아가지	나아가/pvg+지/ecx
않았습니다	않/px+았/ep+습니다/ef
.	./sf
또한	또한/maj
,	,/sp
사방이	사방/ncn+이/jcs
캄캄해	캄캄하/paa+어/ecs
뱃길의	뱃길/ncn+의/jcm
갈피를	갈피/ncn+를/jco
바로잡기가	바로잡/pvg+기/etn+가/jcs
무척	무척/mag
어려웠습니다	어렵/paa+었/ep+습니다/ef
.	./sf
"	"/sl
어서	어서/mag
,	,/sp
힘껏	힘껏/mag
노를	노/ncn+를/jco
저어라	젓/pvg+어라/ef
!"	!/sf+"/sl
"	"/sl
어서	어서/mag
,	,/sp
힘껏	힘껏/mag
노를	노/ncn+를/jco
저어라	젓/pvg+어라/ef
!"	!/sf+"/sl
하고	하/pvg+고/ecc
,	,/sp
힘껏	힘껏/mag
노를	노/ncn+를/jco
젓도록	젓/pvg+도록/ecx
독려했습니다	독려/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
곁꾼들은	곁꾼/ncn+들/xsn+은/jxc
저마다	저/npp+마다/jxc
투덜거렸습니다	투덜거리/pvg+었/ep+습니다/ef
.	./sf
"	"/sl
이같은	이/npd+같/paa+은/etm
날씨에	날씨/ncn+에/jca
배를	배/ncn+를/jco
출발시킨	출발/ncpa+시키/xsv+ㄴ/etm
것이	것/nbn+이/jcs
잘못이야	잘못/ncn+이/jp+야/ef
!"	!/sf+"/sl
"	"/sl
이거	이거/ii
원	원/ii
썰물에	썰물/ncn+에/jca
밀려서	밀리/pvg+어서/ecs
노를	노/ncn+를/jco
제대로	제대로/mag
저을	젓/pvg+을/etm
수가	수/nbn+가/jcs
있나	있/paa+나/ef
!"	!/sf+"/sl
그러면서도	그러/pvd+면서/ecs+도/jxc
힘껏	힘껏/mag
노를	노/ncn+를/jco
저어	젓/pvg+어/ecs
,	,/sp
뒤로	뒤/ncn+로/jca
흘러	흐르/pvg+어/ecs
내려와서	내리/pvg+어/ecs+오/pvg+아서/ecs
다행히	다행히/mag
어느	어느/mmd
섬에	섬/ncn+에/jca
닿았습니다	닿/pvg+았/ep+습니다/ef
.	./sf
초란도의	초란도/nq+의/jcm
섬	섬/ncn
기슭인듯싶었습니다	기슭/ncn+이/jp+ㄴ듯/nbn+싶/px+었/ep+습니다/ef
.	./sf
최부는	최부/nq+는/jcs
배를	배/ncn+를/jco
서쪽	서쪽/ncn
해안으로	해안/ncn+으로/jca
돌리게	돌리/pvg+게/ecs
한	하/pvg+ㄴ/etm
후	후/ncn
,	,/sp
닻을	닻/ncn+을/jco
내리게	내리/pvg+게/ecs
했습니다	하/pvg+었/ep+습니다/ef
.	./sf
"	"/sl
오늘	오늘/ncn
밤은	밤/ncn+은/jxc
여기서	여기/npd+서/jca
정박한다	정박/ncpa+하/xsv+ㄴ다/ef
."	./sf+"/sr
하고	하/pvg+고/jcr
,	,/sp
최부가	최부/nq+가/jcs
말했습니다	말/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
그런대로	그런대로/maj
일행은	일행/ncn+은/jxc
한숨을	한숨/ncn+을/jco
돌리는	돌리/pvg+는/etm
듯싶었습니다	듯/nbn+싶/px+었/ep+습니다/ef
.	./sf
배안에서	배/ncn+안/ncn+에서/jca
한	한/nnc
밤을	밤/ncn+을/jco
지낼	지내/pvg+ㄹ/etm
채비를	채비/ncn+를/jco
부산히	부산/ncn+히/xsa
차렸습니다	차리/pvg+었/ep+습니다/ef
.	./sf
그러나	그러나/maj
날씨는	날씨/ncn+는/jxc
더욱	더욱/mag
험악해져만	험악/ncps+하/xsm+어져/ecs+만/jxc
갔습니다	가/pvg+았/ep+습니다/ef
.	./sf
부슬부슬	부슬부슬/mag
내리던	내리/pvg+던/etm
비도	비/ncn+도/jxc
,	,/sp
이제는	이제/mag+는/jxc
빗줄기가	빗줄기/ncn+가/jcs
굵어졌으며	굵어지/paa+었/ep+으며/ecs
,	,/sp
약해졌던	약해지/pvg+었/ep+던/etm
바람도	바람/ncn+도/jxc
다시금	다시금/mag
세차게	세차/paa+게/ecs
일기	일/pvg+기/etn
시작했습니다	시작/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
사방은	사방/ncn+은/jxc
온통	온통/mag
자욱한	자욱/ncps+하/xsm+ㄴ/etm
빗줄기였습니다	빗줄기/ncn+이/jp+었/ep+습니다/ef
.	./sf
칠흑	칠흑/ncn
같은	같/paa+은/etm
어둠이	어둠/ncn+이/jcs
배를	배/ncn+를/jco
꽉	꽉/mag
덮어	덮/pvg+어/ecs
누르고	누르/pvg+고/ecx
있었습니다	있/px+었/ep+습니다/ef
.	./sf
배를	배/ncn+를/jco
끊임없이	끊임없/paa+이/xsa
흔들리고	흔들리/pvg+고/ecs
있었습니다	있/paa+었/ep+습니다/ef
.	./sf
모두	모두/mag
불안스러운지	불안/ncps+스럽/xsm+ㄴ지/ecs
좀처럼	좀처럼/mag
잠을	잠/ncn+을/jco
못	못/mag
이루는	이루/pvg+는/etm
것	것/nbn
같았습니다	같/paa+았/ep+습니다/ef
.	./sf
한밤중쯤이었습니다	한밤중/ncn+쯤/xsn+이/jp+었/ep+습니다/ef
.	./sf
허상리가	허상리/nq+가/jcs
최부에게	최부/nq+에게/jca
다가와서	다가오/pvg+아서/ecs
은밀히	은밀/ncn+히/xsa
말을	말/ncn+을/jco
건넸습니다	건네/pvg+었/ep+습니다/ef
.	./sf
"	"/sl
배를	배/ncn+를/jco
섬의	섬/ncn+의/jcm
서쪽	서쪽/ncn
해안에	해안/ncn+에/jca
대었기	대/pvg+었/ep+기/etn
때문에	때문/nbn+에/jca
,	,/sp
동녁	동녁/ncn
바람을	바람/ncn+을/jco
막아	막/pvg+아/ecx
낼	내/px+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
그러나	그러나/maj
이	이/mmd
험악한	험악/ncps+하/xsm+ㄴ/etm
날씨로	날씨/ncn+로/jca
보아	보/pvg+아/ecs
,	,/sp
곧	곧/maj
북녁	북녁/mmd
바람이	바람/ncn+이/jcs
불어	불/pvg+어/ecs
닥칠	닥치/pvg+ㄹ/etm
것	것/nbn
같습니다	같/paa+습니다/ef
."	./sf+"/sr
"	"/sl
그렇다면	그렇/pad+다면/ecs
,	,/sp
어찌했으면	어찌하/pvd+었/ep+으면/ecs
좋겠느냐	좋/paa+겠/ep+느냐/ef
?"	?/sf+"/sl
"	"/sl
배를	배/ncn+를/jco
빨리	빠르/paa+이/xsa
딴	딴/mag
곳으로	곳/ncn+으로/jca
돌리는	돌리/pvg+는/etm
것이	것/nbn+이/jcs
좋을	좋/paa+을/etm
것	것/nbn
같습니다	같/paa+습니다/ef
."	./sf+"/sr
"	"/sl
그럼	그럼/mag
,	,/sp
어서	어서/mag
닻을	닻/ncn+을/jco
올려서	올리/pvg+어서/ecs
그렇게	그렇게/mag
하여라	하/pvg+어라/ef
!"	!/sf+"/sl
최부의	최부/nq+의/jcm
말을	말/ncn+을/jco
들은	듣/pvg+은/etm
허상리는	허상리/nq+는/jxc
무언가	무언가/npd
이상하다는	이상/ncps+하/xsm+다/ef+는/etm
듯	듯/nbn
어둠	어둠/ncn
속에서	속/ncn+에서/jca
고개를	고개/ncn+를/jco
갸웃거렸습니다	갸웃거리/pvg+었/ep+습니다/ef
.	./sf
"	"/sl
하온데	하온데/mag
,	,/sp
이상한	이상/ncps+하/xsm+ㄴ/etm
일입니다	일/ncn+이/jp+ㅂ니다/ef
."	./sf+"/sr
"	"/sl
뭐가	뭐/npd+가/jcs
이상하단	이상/ncps+하/xsm+다/ef+ㄴ/etm
말이냐	말/ncn+이/jp+냐/ef
?"	?/sf+"/sl
"	"/sl
배가	배/ncn+가/jcs
지금	지금/mag
어디로	어디/npd+로/jca
흘러가고	흐르/pvg+어/ecs+가/pvg+고/ecx
있는	있/px+는/etm
것	것/nbn
같습니다	같/paa+습니다/ef
."	./sf+"/sr
"	"/sl
그럼	그럼/mag
,	,/sp
정박해	정박/ncpa+하/xsv+어/ecs
있지	있/paa+지/ecx
않단	않/px+다/ef+ㄴ/etm
말이냐	말/ncn+이/jp+냐/ef
?"	?/sf+"/sr
"	"/sl
그러하옵니다	그러하/pvd+오/ep+ㅂ니다/ef
.	./sf
혹시	혹시/mag
."	./sf+"/sr
"	"/sl
무슨	무슨/mmd
일이	일/ncn+이/jcs
있단	있/paa+다/ef+ㄴ/etm
말이냐	말/ncn+이/jp+냐/ef
?"	?/sf+"/sl
"	"/sl
내린	내리/pvg+ㄴ/etm
닻줄이	닻줄/ncn+이/jcs
벌써	벌써/mag
끊어졌는지	끊어지/pvg+었/ep+는지/ecs
모릅니다	모르/pvg+ㅂ니다/ef
."	./sf+"/sr
"	"/sl
닻줄이	닻줄/ncn+이/jcs
끊어지지	끊어지/pvg+지/ecx
않았다면	않/px+았/ep+다면/ecs
조금	조금/mag
앞으로	앞/ncn+으로/jca
나아가서	나아가/pvg+서/ecs
해안에	해안/ncn+에/jca
매어	매/pvg+어/ecs
두고	두/pvg+고/ecc
,	,/sp
날이	날/ncn+이/jcs
밝기를	밝/paa+기/etn+를/jco
기다렸다가	기다리/pvg+었/ep+다가/ecs
추자도로	추자도/nq+로/jca
노를	노/ncn+를/jco
저어	젓/pvg+어/ecs
가야만	가/pvg+아야/ecs+만/jxc
하옵니다	하/px+오/ep+ㅂ니다/ef
."	./sf+"/sr
"	"/sl
그럼	그럼/mag
어서	어서/mag
닻을	닻/ncn+을/jco
끌어올려라	끌/pvg+어/ecs+올리/pvg+어라/ef
!"	!/sf+"/sl
최부는	최부/nq+는/jcs
곁꾼들에게	곁꾼/ncn+들/xsn+에게/jca
명령했습니다	명령/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
곁꾼들이	곁꾼/ncn+들/xsn+이/jcs
닻을	닻/ncn+을/jco
끌어올리려	끌/pvg+어/ecs+올리/pvg+려/ecs
하였으나	하/pvg+였/ep+으나/ecs
,	,/sp
허상리가	허상리/nq+가/jcs
예상했던	예상/ncpa+하/xsv+었/ep+던/etm
대로	대로/jxc
닻줄은	닻줄/ncn+은/jxc
벌써	벌써/mag
끊겨져	끊겨지/pvg+어/ecx
있었습니다	있/px+었/ep+습니다/ef
.	./sf
"	"/sl
노를	노/nq+를/jco
저어	젓/pvg+어/ecs
해안	해안/ncn
쪽으로	쪽/nbn+으로/jca
배를	배/ncn+를/jco
대어라	대/pvg+어라/ef
."	./sf+"/sr
최부는	최부/nq+는/jxc
다시	다시/mag
곁꾼들에게	곁꾼/ncn+들/xsn+에게/jca
명령하였습니다	명령/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
그러나	그러나/maj
이미	이미/mag
늦었습니다	늦/paa+었/ep+습니다/ef
.	./sf
배는	배/ncn+는/jxc
바람에	바람/ncn+에/jca
밀려	밀리/pvg+어/ecs
세찬	세차/paa+ㄴ/etm
물결을	물결/ncn+을/jco
따라	따르/pvg+아/ecs
바다	바다/ncn
한가운데로	한가운데/ncn+로/jca
자꾸만	자꾸/mag+만/jxc
흘러가고	흐르/pvg+어/ecs+가/pvg+고/ecx
있었습니다	있/px+었/ep+습니다/ef
.	./sf
사방은	사방/ncn+은/jxc
캄캄한	캄캄하/paa+ㄴ/etm
어둠이	어둠/ncn+이/jcs
꽉	꽉/mag
덮여	덮이/pvg+어/ecx
있어서	있/px+어서/ecs
배의	배/ncn+의/jcm
가는	가/pvg+는/etm
곳을	곳/ncn+을/jco
전혀	전혀/mag
알	알/pvg+ㄹ/etm
수가	수/nbn+가/jcs
없었습니다	없/paa+었/ep+습니다/ef
.	./sf
세찬	세차/paa+ㄴ/etm
풍랑	풍랑/ncn
속에서	속/ncn+에서/jca
하룻밤이	하룻밤/ncn+이/jcs
지났습니다	지나/pvg+았/ep+습니다/ef
.	./sf
그	그/mmd
밤은	밤/ncn+은/jxc
어떻게	어떻게/mag
해야	하/pvg+어야/ecx
좋을지	좋/paa+ㄹ지/ecs
몰라	모르/pvg+아/ecs
그저	그저/mag
뱃전을	뱃전/ncn+을/jco
붙들고	붙들/pvg+고/ecc
앉아서	앉/pvg+아서/ecs
,	,/sp
거의	거의/mag
뜬	뜨/pvg+ㄴ/etm
눈으로	눈/ncn+으로/jca
밤을	밤/ncn+을/jco
새우고	새우/ncn+고/ecx
말았습니다	말/px+았/ep+습니다/ef
.	./sf
날이	날/ncn+이/jcs
훤히	훤히/mag
밝아	밝/paa+아/ecs
오자	오/pvg+자/ecs
,	,/sp
배가	배/ncn+가/jcs
자욱한	자욱/ncps+하/xsm+ㄴ/etm
빗줄기	빗줄기/ncn
속에	속/ncn+에/jca
휩싸여	휩싸이/pvg+어/ecx
있음을	있/px+음/etn+을/jco
알게	알/pvg+게/ecs
되었습니다	되/pvg+었/ep+습니다/ef
.	./sf
비뿐이	비/ncn+뿐/nbn+이/jcc
아니라	아니/paa+라/ecs
,	,/sp
가끔	가끔/mag
우박도	우박/ncn+도/jxc
섞여	섞이/pvg+어/ecs
쏟아졌습니다	쏟아지/pvg+었/ep+습니다/ef
.	./sf
바람을	바람/ncn+을/jco
더	더/mag
세차게	세차/paa+게/ecs
불어와	불/pvg+어/ecs+오/pvg+아/ecs
바다는	바다/ncn+는/jxc
사뭇	사뭇/mag
성이	성/ncn+이/jcs
난	나/pvg+ㄴ/etm
듯	듯/nbn
물결이	물결/ncn+이/jcs
무섭게	무섭/paa+게/ecs
날뛰었습니다	날뛰/pvg+었/ep+습니다/ef
.	./sf
성난	성나/pvg+ㄴ/etm
물결은	물결/ncn+은/jxc
뱃전을	뱃전/ncn+을/jco
사정	사정/ncn
없이	없/paa+이/xsa
때리고	때리/ncn+고/ecc
,	,/sp
두들기고	두들기/pvg+고/ecc
,	,/sp
부서지며	부서지/pvg+며/ecs
,	,/sp
배	배/ncn
안에	안/ncn+에/jca
물을	물/ncn+을/jco
퍼부었습니다	퍼붓/pvg+었/ep+습니다/ef
.	./sf
돗자리로	돗자리/ncn+로/jca
만든	만들/pvg+ㄴ/etm
돛은	돛/ncn+은/jcs
바람에	바람/ncn+에/jca
모두	모두/mag
부서져	부서지/pvg+어/ecs
달아나고	달아나/pvg+고/ecx
말았습니다	말/px+았/ep+습니다/ef
.	./sf
비와	비/ncn+와/jcj
우박과	우박/ncn+과/jcj
큰	크/paa+ㄴ/etm
바람은	바람/ncn+은/jxc
하늘을	하늘/ncn+을/jco
뒤흔들고	뒤흔들/pvg+고/ecs
바다를	바다/ncn+를/jco
쳐서	치/pvg+어서/ecs
,	,/sp
마치	마치/mag
세상을	세상/ncn+을/jco
끝장내려는	끝장내/pvg+려는/etm
것	것/nbn
같았습니다	같/paa+았/ep+습니다/ef
.	./sf
배는	배/ncn+는/jcs
바람에	바람/ncn+에/jca
밀려	밀리/pvg+어/ecx
물결을	물결/ncn+을/jxc
따라	따르/pvg+아/ecs
갈팡질팡하며	갈팡질팡/mag+하/xsv+며/ecc
어디론지	어디론지/mag
떠밀려	떠밀리/pvg+어/ecs
가고	가/pvg+고/ecs
있었습니다	있/paa+었/ep+습니다/ef
.	./sf
이	이/mmd
배가	배/ncn+가/jcs
바다의	바다/ncn+의/jcm
어디쯤	어디/npd+쯤/xsn
흘러와	흐르/pvg+어/ecs+오/pvg+아/ecx
있는지	있/px+는지/ecs
조차	조차/jxc
전혀	전혀/mag
어림할	어림/ncpa+하/xsv+ㄹ/etm
수도	수/nbn+도/jxc
없었습니다	없/paa+었/ep+습니다/ef
.	./sf
그보다도	그/npd+보다/jca+도/jxc
당장	당장/mag
배가	배/ncn+가/jcs
뒤집혀	뒤집히/pvg+어/ecs
가라앉을	가라앉/pvg+을/etm
것만	것/nbn+만/jxc
같았습니다	같/paa+았/ep+습니다/ef
.	./sf
돛을	돛/ncn+을/jco
내려	내리/pvg+어/ecs
놓았지만	놓/pvg+았/ep+지만/ecs
,	,/sp
두	두/nnc
돛대가	돛대/ncn+가/jcs
높고	높/paa+고/ecc
크기	크/paa+기/etn
때문에	때문/nbn+에/jca
그것으로	그것/npd+으로/jca
인해	인하/pvg+어/ecs
배가	배/ncn+가/jcs
더욱더	더욱더/mag
기울어지곤	기울어지/pvg+곤/ecx
하는	하/px+는/etm
것을	것/nbn+을/jco
알았습니다	알/pvg+았/ep+습니다/ef
.	./sf
"	"/sl
저	저/mmd
돛대를	돛대/ncn+를/jco
찍어	찍/pvg+어/ecs
없애라	없애/pvg+라/ef
!"	!/sf+"/sl
최부가	최부/nq+가/jcs
이렇게	이렇게/mag
명령했습니다	명령/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
곁꾼	곁꾼/ncn
몇이	몇/nnc+이/jcs
도끼를	도끼/ncn+를/jco
들고	들/pvg+고/ecs
나와	나오/pvg+아/ecs
,	,/sp
두	두/nnc
돛대를	돛대/ncn+를/jco
찍어	찍/pvg+어/ecs
쓰려뜨렸습니다	쓰러뜨리/pvg+었/ep+습니다/ef
.	./sf
이번에는	이/mmd+번/nbn+에/jca+는/jxc
배의	배/ncn+의/jcm
고물	고물/ncn
쪽으로	쪽/nbn+으로/jca
바닷물이	바닷물/ncn+이/jcs
넘쳐	넘치/pvg+어/ecs
들어오는	들/pvg+어/ecx+오/px+는/etm
것을	것/nbn+을/jco
막아야만	막/pvg+아야/ecs+만/jxc
했습니다	하/pvg+었/ep+습니다/ef
.	./sf
"	"/sl
거적	거적/ncn
같은	같/paa+은/etm
것이	것/nbn+이/jcs
없느냐	없/paa+느냐/ef
?"	?/sf+"/sl
최부가	최부/nq+가/jcs
곁꾼들에게	곁꾼/ncn+들/xsn+에게/jca
물었습니다	묻/pvg+었/ep+습니다/ef
.	./sf
"	"/sl
찾아보면	찾/pvg+아/ecx+보/px+면/ecs
있을	있/paa+을/etm
것이옵니다	것/nbn+이/jp+오/ep+ㅂ니다/ef
."	./sf+"/sr
"	"/sl
빨리	빠르/paa+이/xsa
그것을	그것/npd+을/jco
가져오너라	가지/pvg+어/ecs+오/pvg+너라/ef
.'	./sf+'/sl
한	한/nnc
곁꾼이	곁꾼/ncn+이/jcs
거적	거적/ncn
몇	몇/nnc
장을	장/nbu+을/jco
가지고	가지/pvg+고/ecs
왔습니다	오/pvg+았/ep+습니다/ef
.	./sf
"	"/sl
거적을	거적/ncn+을/jco
얽어서	얽/pvg+어서/ecs
고물간에	고물/ncn+간/xsn+에/jca
파도가	파도/ncn+가/jcs
들어오는	들/pvg+어/ecs+오/pvg+는/etm
것을	것/nbn+을/jco
막아라	막/pvg+아라/ef
."	./sf+"/sr
이리하여	이리하/pvd+여/ecs
배의	배/ncn+의/jcm
당장	당장/mag
위급한	위급/ncps+하/xsm+ㄴ/etm
것을	것/nbn+을/jco
간신히	간신히/mag
막아	막/pvg+아/ecx
