<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0054.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0054.txt </filename>
<title>한국경제,  설 땅이 없다 : 일본, 동남아연합, 한국경제의 선택과 전략</title>
<author>이경규 [외]  </author>
<date>1993  </date>
<publisher>중앙일보사  </publisher>
<kdc>320.911  </kdc>
<ddc>330.9519  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
동남아서	동남아/nq+서/jca
.	./sf
모두가	모두/ncn+가/jcs
말없이	말/ncn+없/paa+이/xsa
자기	자기/npp
자리를	자리/ncn+를/jco
찾아	찾/pvg+아/ecs
잽싸게	잽싸/paa+게/ecs
움직였다	움직이/pvg+었/ep+다/ef
.	./sf
일이	일/ncn+이/jcs
끝난	끝/ncn+나/pvg+ㄴ/etm
10대의	10/nnc+대/nbu+의/jcm
여종업원들은	여종업/ncn+원/xsn+들/xsn+은/jxc
저마다	저/npp+마다/jxc
휴식을	휴식/ncn+을/jco
취하면서	취하/pvg+면서/ecs
깔깔	깔깔/mag
거렸다	거리/pvg+었/ep+다/ef
.	./sf
이러니	이러/pvd+니/ecs
생산성이	생산/ncn+성/xsn+이/jcs
높을	높/paa+을/etm
수밖에	수/nbn+밖에/jxc
없다는	없/paa+다/ef+는/etm
느낌이	느낌/ncn+이/jcs
들었다	들/pvg+었/ep+다/ef
.	./sf
공장	공장/ncn
전체가	전체/ncn+가/jcs
이런	이런/mmd
식으로	식/ncn+으로/jca
돌아갔다	돌/pvg+아/ecs+가/pvg+았/ep+다/ef
.	./sf
도대체가	도대체/mag+가/jcs
이곳이	이/npd+곳/ncn+이/jcs
일본인지	일본/nq+이/jp+ㄴ지/ecs
,	,/sp
태국인지	태국/nq+이/jp+ㄴ지/ecs
모를	모르/pvg+ㄹ/etm
정도였다	정도/ncn+이/jp+었/ep+다/ef
.	./sf
근로자들의	근로/ncn+자/xsn+들/xsn+의/jcm
국적만	국적/ncn+만/jxc
태국이지	태국/nq+이/jp+지/ef
종업원들의	종업/ncn+원/xsn+들/xsn+의/jcm
일하는	일/ncpa+하/xsv+는/etm
모습이나	모습/ncn+이나/j처
진지한	진지/ncps+하/xsm+ㄴ/etm
표정은	표정/ncn+은/jxc
일본에	일본/nq+에/jca
있는	있/paa+는/etm
공장과	공장/ncn+과/jct
전혀	전혀/mag
다를	다르/paa+ㄹ/etm
바가	바/nbn+가/jcs
없었다	없/paa+었/ep+다/ef
.	./sf
일본공장을	일본/nq+공장/ncn+을/jco
그대로	그대로/mag
옮겨다	옮기/pvg+어다/ecs
놓았다는	놓/pvg+았/ep+다/ef+는/etm
느낌이었다	느낌/ncn+이/jp+었/ep+다/ef
.	./sf
한마디로	한마디/ncn+로/jca
'	'/sl
태국내	태국/nq+내/nbn
일본	일본/nq
'	'/sr
그것이었다	그것/npd+이/jp+었/ep+다/ef
.	./sf
다만	다만/mag
일본과	일본/nq+과/jct
다른	다르/paa+ㄴ/etm
것이	것/nbn+이/jcs
있다면	있/paa+다면/ecs
일당	일당/ncn
4달러의	4/nnc+달러/nbu+의/jcm
싼	싸/paa+ㄴ/etm
임금뿐이다	임금/ncn+뿐/nbn+이/jp+다/ef
.	./sf
이	이/mmd
공장은	공장/ncn+은/jxc
바다	바다/ncn
건너편에서	건너편/ncn+에서/jca
일본이	일본/nq+이/jcs
동남아를	동남아/nq+를/jco
어떻게	어떻/pad+게/ecs
활용하고	활용/ncpa+하/xsv+고/ecx
있는지를	있/paa+는지/ef+를/jco
그대로	그대로/mag
보여주는	보이/pvg+어/ecx+주/px+는/etm
대표적인	대표/ncn+적/xsn+이/jp+ㄴ/etm
현장이었다	현장/ncn+이/jp+었/ep+다/ef
동남아는	동남아/nq+는/jxc
일제	일제/ncn
자동차의	자동/ncn+차/ncn+의/jcm
부품공장	부품/ncn+공장/ncn
닛산의	닛산/nq+의/jcm
'	'/sl
아시안	아시안/ncn
카	카/ncn
'	'/sl
가	가/jcs
달린다	달리/pvg+ㄴ다/ef
.	./sf
출생지는	출생/ncn+지/xsn+는/jxc
동남아지만	동남아/nq+지만/jxc
국적을	국적/ncn+을/jco
따지기	따지/pvg+기/etn
힘들	힘/ncn+들/pvg+ㄹ/etm
만큼	만큼/nbn
혼혈아다	혼혈/ncn+아/xsn+다/ef
.	./sf
말레이시아에서	말레이시아/nq+에서/jca
만든	만들/pvg+ㄴ/etm
엔진	엔진/ncn
부품	부품/ncn
,	,/sp
대만에서	대만/nq+에서/jca
만든	만들/pvg+ㄴ/etm
기어	기어/ncn
액슬	액슬/ncn
,	,/sp
태국에서	태국/nq+에서/jca
만든	만들/pvg+ㄴ/etm
프레스	프레스/ncn
부품으로	부품/ncn+으로/jca
생산되기	생산/ncpa+되/xsv+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
이처럼	이/npd+처럼/jca
과연	과연/mag
어디	어디/npd
산	산/xsn
(	(/sl
産	産/ncn
)	)/sr
인지	이/jp+ㄴ지/ecs
도무지	도무지/mag
구분이	구분/ncn+이/jcs
쉽지	쉽/paa+지/ecx
않지만	않/px+지만/ecs
따져보면	따지/pvg+어/ecx+보/px+면/ecs
누가	누/npp+가/jcs
뭐래도	뭐/npd+래/jca+도/jxc
일본산이다	일본/ncn+산/xsn+이/jp+다/ef
.	./sf
현지	현지/ncn
노동력만	노동/ncn+력/xsn+만/jxc
빌렸을	빌리/pvg+었/ep+을/etm
뿐	뿐/nbn
자본과	자본/ncn+과/jcj
기술	기술/ncn
모두	모두/mag
일본	일본/nq
것이다	것/nbn+이/jp+다/ef
.	./sf
일본	일본/nq
자동차업계	자동/ncn+차/ncn+업계/ncn
중	중/ncb
국제화	국제/ncn+화/xsn
속도가	속도/ncn+가/jcs
가장	가장/mag
빠르다는	빠르/paa+다/ef+는/etm
닛산의	닛산/nq+의/jcm
이같은	이/npd+같/paa+은/jxc
동남아	동남아/nq
부품분업	부품/ncn+분업/ncn
가동	가동/ncn
시기는	시기/ncn+는/jxc
오는	오/pvg+는/etm
94년이나	94/nno+년/nbu+이나/jcj
95년께부터	95/nno+년/nbu+께/xsn+부터/jca
본격화	본격/ncn+화/xsn
할	하/pvg+ㄹ/etm
계획이다	계획/ncn+이/jp+다/ef
.	./sf
특히	특히/mag
태국	태국/nq
필리핀	필리핀/nq
말레이시아	말레이시아/nq
대만	대만/nq
등	등/nbn
4개국을	4/nnc+개/nbu+국/xsn+을/jco
중심으로	중심/ncn+으로/jca
부품분업	부품/ncn+분업/ncn
계획을	계획/ncn+을/jco
짜고	짜/pvg+고/ecx
있다	있/px+다/ef
.	./sf
이	이/mmd
부품	부품/ncn
분업도에	분업/ncn+도/xsn+에/jca
한국은	한국/nq+은/jxc
눈을	눈/ncn+을/jco
씻고	씻/pvg+고/ecx
찾아봐도	찾/pvg+아/ecs+보/pvg+아도/ecs
없다	없/paa+다/ef
.	./sf
성능은	성능/ncn+은/jxc
일본	일본/nq
기준에	기준/ncn+에/jca
맞추는	맞추/pvg+는/etm
대신	대신/ncn
,	,/sp
각국의	각국/ncn+의/jcm
장점만을	장점/ncn+만/jxc+을/jco
골라	고르/pvg+아/ecs
가격을	가격/ncn+을/jco
싸게	싸/pvg+게/ecx
하는	하/px+는/etm
코스트	코스트/ncn
절감방침에	절감/ncn+방침/ncn+에/jca
우리는	우리/npp+는/jxc
맞지	맞/pvg+지/ecx
않기	않/px+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
메릿이	메릿/ncn+이/jcs
없어	없/paa+어/ecs
한국이	한국/nq+이/jcs
제외되어	제외/ncpa+되/xsv+어/ecx
있는	있/px+는/etm
닛산의	닛산/nq+의/jcm
아시안	아시안/ncn
카는	카/ncn+는/jxc
90년대	90/nno+년대/nbu
후반께부터는	후반/ncn+께/xsn+부터/jxc+는/jxc
일본에도	일본/nq+에/jca+도/jxc
역수입될	역/xp+수입/ncpa+되/xsv+ㄹ/etm
계획이다	계획/ncn+이/jp+다/ef
.	./sf
이때쯤	이/mmd+때/ncn+쯤/xsn
되면	되/pvg+면/ecs
닛산의	닛산/nq+의/jcm
동남아	동남아/nq
혼혈산	혼혈/ncn+산/xsc
자동차는	자동/ncn+차/ncn+는/jxc
각	각/mma
지역의	지역/ncn+의/jcm
입맛에	입맛/ncn+에/jca
맞는	맞/pvg+는/etm
차종으로	차종/ncn+으로/jca
동남아	동남아/nq
일대의	일대/ncn+의/jcm
거리는	거리/ncn+는/jxc
물론이고	물론/ncn+이/jp+고/ecc
일본거리도	일본/nq+거리/ncn+도/jxc
누빌	누비/pvg+ㄹ/etm
전망이다	전망/ncn+이/jp+다/ef
.	./sf
닛산자동차가	닛산자동차/nq+가/jcs
경영의	경영/ncn+의/jcm
초점을	초점/ncn+을/jco
동남아	동남아/nq
쪽에	쪽/nbn+에/jca
맞추고	맞추/pvg+고/ecc
,	,/sp
이쪽	이쪽/npd
경영을	경영/ncn+을/jco
대폭	대폭/mag
강화키로	강화/ncpa+하/xsv+기/etn+로/jca
방침을	방침/ncn+을/jco
세운	세우/pvg+ㄴ/etm
것은	것/nbn+은/jxc
동남아	동남아/nq
시장의	시장/ncn+의/jcm
성장	성장/ncn
가능성이	가능/ncn+성/xsn+이/jcs
그	그/mmd
어떤	어떤/mmd
지역보다	지역/ncn+보다/jca
높다고	높/paa+다/ef+고/ecx
보기	보/px+기/etn
때문이란	때문/nbn+이/jp+라/ef+ㄴ/jxc
게	거/nbn+이/jcs
회사측	회사/ncn+측/xsn
설명이다	설명/ncn+이/jp+다/ef
.	./sf
그동안은	그/mmd+동안/ncn+은/jxc
주로	주로/mag
미국과	미국/nq+과/jcj
유럽에	유럽/nq+에/jca
중점적으로	중점/ncn+적/xsn+으로/jca
투자를	투자/ncn+를/jco
해왔으나	하/pvg+어/ecx+오/px+았/ep+으나/ecs
앞으론	앞/ncn+으로/jca+ㄴ/etm
아시아	아시아/nq
쪽에	쪽/nbn+에/jca
투자가	투자/ncn+가/jcs
집중될	집중/ncpa+되/xsv+ㄹ/etm
것이란	것/nbn+이/jp+라/ef+ㄴ/jxc
얘기다	얘기/ncn+다/ef
.	./sf
이	이/mmd
투자가	투자/ncn+가/jcs
잘만	잘/mag+만/jxc
추진되면	추진/ncpa+되/xsv+면/ecs
닛산이	닛산/nq+이/jcs
그리고	그리/pvg+고/ecx
있는	있/px+는/etm
21세기	21/nno+세기/nbu
청사진도	청사진/ncn+도/jxc
마무리된다	마무리/ncpa+되/xsv+ㄴ다/ef
.	./sf
일본에서	일본/nq+에서/jca
생산해	생산/ncpa+하/xsv+어/ecx
해외시장에	해외/ncn+시장/ncn+에/jca
판다는	팔/pvg+ㄴ다/ef+는/etm
그동안의	그/mmd+동안/ncn+의/jcm
성장전략에서	성장/ncn+전략/ncn+에서/jca
완전히	완전/ncn+히/xsa
벗어나게	벗어나/pvg+게/ecs
되는	되/pvg+는/etm
셈이다	셈/nbn+이/jp+다/ef
.	./sf
아시아	아시아/nq
+	+/sy
일본	일본/nq
,	,/sp
멕시코	멕시코/nq
+	+/sy
미주	미주/nq
,	,/sp
동유럽	동유럽/nq
+	+/sy
EC의	EC/f+의/jcm
전세계	전/mma+세계/ncn
3극	3/nnc+극/ncn
체제	체제/ncn
구축	구축/ncn
시나리오의	시나리오/ncn+의/jcm
완결편이다	완결/ncn+편/xsn+이/jp+다/ef
.	./sf
한국시장	한국/nq+시장/ncn
진출도	진출/ncn+도/jxc
한국이	한국/nq+이/jcs
제	제/npp
아무리	아무리/mag
일제차의	일제/ncn+차/ncn+의/jcm
수입을	수입/ncn+을/jco
규제한다	규제/ncpa+하/xsv+ㄴ다/ef
해도	하/pvg+어도/ecs
국적불명의	국적/ncn+불명/ncn+의/jcm
'	'/sl
아시안	아시안/ncn
카	카/ncn
'	'/sl
로	로/jca
밀고	밀/pvg+고/ecc
들어가는데야	들/pvg+어/ecs+가/pvg+는/etm+데/nbn+야/jxc
별수	별/mma+수/ncn
있겠느냐는	있/pvg+겠/ep+느냐/ef+는/etm
계산이다	계산/ncn+이/jp+다/ef
.	./sf
아시안	아시안/ncn
카를	카/ncn+를/jco
구상하는	구상/ncpa+하/xsv+는/etm
회사는	회사/ncn+는/jxc
비단	비단/mag
닛산만이	닛산/nq+만/jxc+이/jcc
아니다	아니/paa+다/ef
.	./sf
도요타도	도요타/nq+도/jxc
동남아	동남아/nq
국별분업을	국별/ncn+분업/ncn+을/jco
통해	통하/pvg+어/ecx
엔진과	엔진/ncn+과/jcj
트랜스미션을	트랜스미션/ncn+을/jco
교환하면서	교환/ncpa+하/xsv+면서/ecs
자동차를	자동/ncn+차/ncn+를/jco
만들고	만들/pvg+고/ecx
있다	있/px+다/ef
.	./sf
도요타의	도요타/nq+의/jcm
아시아	아시아/nq
생산기지는	생산/ncn+기지/ncn+는/jxc
태국	태국/nq
말레이시아	말레이시아/nq
인도네시아	인도네시아/nq
필리핀	필리핀/nq
등	등/nbn
4	4/nnc
군데	군데/nbu
,	,/sp
닛산과	닛산/nq+과/jct
또	또/maj
다른	다르/paa+ㄴ/etm
아시안	아시안/ncn
카를	카/ncn+를/jco
탄생시킬	탄생/ncpa+시키/xsv+ㄹ/etm
도요타의	도요타/nq+의/jcm
동남아	동남아/nq
부품생상도를	부품/ncn+생상/ncn+도/xsn+를/jco
살펴보자	살피/pvg+어/ecx+보/px+자/ef
.	./sf
85년초부터	85/nno+년/nbu+초/ncn+부터/jca
가동된	가동/ncpa+되/xsv+ㄴ/etm
인도네시아	인도네시아/nq
현지	현지/ncn
공장에	공장/ncn+에/jca
이어	잇/pvg+어/ecx
89년에는	89/nnc+년/nbu+에/jca+는/jxc
태국	태국/nq
공장이	공장/ncn+이/jcs
돌아가기	돌/pvg+아/ecs+가/pvg+기/etn
시작했다	시작/ncpa+하/xsv+었/ep+다/ef
.	./sf
92년	92/nno+년/nbu
가을부터는	가을/ncn+부터/jxc+는/jxc
필리핀과	필리핀/nq+과/jcj
말레이시아	말레이시아/nq
공장이	공장/ncn+이/jcs
문을	문/ncn+을/jco
열고	열/pvg+고/ecc
이미	이미/mag
가동되고	가동/ncpa+되/xsv+고/ecx
있는	있/px+는/etm
태국과	태국/nq+과/jcj
인도네시아	인도네시아/nq
공장은	공장/ncn+은/jxc
엔진을	엔진/ncn+을/jco
각각	각각/mag
만들고	만들/pvg+고/ecx
있다	있/px+다/ef
.	./sf
필리핀	필리핀/nq
공장은	공장/ncn+은/jxc
트랜스미션을	트랜스미션/ncn+을/jco
,	,/sp
말레이시아는	말레이시아/nq+는/jxc
스티어링	스티어링/ncn
기어를	기어/ncn+를/jco
각각	각각/mag
맡아	맡/pvg+아/ecs
생산한다	생산/ncpa+하/xsv+ㄴ다/ef
.	./sf
이들	이/npd+들/xsn
4	4/nnc
개국	개/nbu+국/xsn
공장이	공장/ncn+이/jcs
본궤도에	본/mma+궤도/ncn+에/jca
오르면	오르/pvg+면/ecs
각종	각종/ncn
부품은	부품/ncn+은/jxc
국경을	국경/ncn+을/jco
넘어	넘/pvg+어/ecx
서로	서로/mag
교환된다	교환/ncpa+되/xsv+ㄴ다/ef
.	./sf
이를테면	이를테면/maj
태국산	태국/nq+산/xsn
디젤엔진의	디젤엔진/ncn+의/jcm
프레스	프레스/ncn
부품과	부품/ncn+과/jcj
전장품은	전장/ncn+품/xsn+은/jxc
말레이시아로	말레이시아/nq+로/jca
,	,/sp
그중	그/npp+중/nbn
전장품은	전장/ncn+품/xsn+은/jxc
필리핀과	필리핀/nq+과/jcj
인도네시아로	인도네시아/nq+로/jca
각각	각각/mag
보내진다	보내/pvg+어/ecx+지/px+ㄴ다/ef
.	./sf
필리핀산	필리핀/nq+산/xsn
트랜스미션은	트랜스미션/ncn+은/jxc
태국	태국/nq
인도네시아	인도네시아/nq
말레이시아로	말레이시아/nq+로/jca
간다	가/pvg+ㄴ다/ef
.	./sf
인도네시아산	인도네시아/nq+산/xsn
가솔린	가솔린/ncn
엔진은	엔진/ncn+은/jxc
말레이시아의	말레이시아/nq+의/jcm
국경을	국경/ncn+을/jco
넘는다	넘/pvg+는다/ef
.	./sf
역내에서	역내/ncn+에서/jca
왔다	오/pvg+았/ep+다/ef
갔다	가/pvg+았/ep+다/ef
주고받는	주/pvg+고/ecs+받/pvg+는/etm
이같은	이/npd+같/paa+은/jxc
상호부품	상호/ncn+부품/ncn
교환	교환/ncn
계획은	계획/ncn+은/jxc
마치	마치/mag
거미줄처럼	거미줄/ncn+처럼/jca
짜여져	짜이/pvg+어/ecx+지/px+어/ecx
있다	있/px+다/ef
.	./sf
이를	이/npd+를/jco
중간에서	중간/ncn+에서/jca
교통정리	교통/ncn+정리/ncn
해주는	하/pvg+어/ecx+주/px+는/etm
곳도	곳/ncn+도/jxc
있다	있/paa+다/ef
.	./sf
도요타	nq[도요타/nq
모터	모터/ncn
매니지먼트	매니지먼트/ncn
서비스	서비스/ncn]nq
(	(/sl
TMMS	TMMS/f
)	)/sr
회사가	회사/ncn+가/jcs
바로	바로/mag
이곳이다	이/npd+곳/ncn+이/jp+다/ef
.	./sf
1백%	1백/nnc+%/su
직접투자로	직접/ncn+투자/ncn+로/jca
지난	지나/pvg+ㄴ/etm
90년	90/nno+년/nbu
싱가포르에	싱가포르/nq+에/jca
설립된	설립/ncpa+되/xsv+ㄴ/etm
이	이/mmd
회사의	회사/ncn+의/jcm
역활은	역활/ncn+은/jxc
한마디로	한마디/ncn+로/jca
각국	각국/ncn
생산부품이	생산/ncn+부품/ncn+이/jcs
필요할	필요/ncps+하/xsm+ㄹ/etm
때	때/ncn
제때에	제때/ncn+에/jca
순조롭게	순조롭/paa+게/ecs
교환되도록	교환/ncpa+되/xsv+도록/ecs
관장하는	관장/ncpa+하/xsv+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
물론	물론/mag
일본에	일본/nq+에/jca
있는	있/paa+는/etm
사령탑에서	사령탑/ncn+에서/jca
진두지휘하지만	진두지휘/ncpa+하/xsv+지만/ecs
현지	현지/ncn
사령부	사령/ncn+부/xsn
격으로	격/nbn+으로/jca
독자적으로	독자/ncn+적/xsn+으로/jca
움직인다	움직이/pvg+ㄴ다/ef
.	./sf
이같은	이/npd+같/paa+은/jxc
역내	역내/ncn
부품교환으로	부품/ncn+교환/ncn+으로/jca
얻는	얻/pvg+는/etm
이점이	이점/ncn+이/jcs
많다	많/paa+다/ef
.	./sf
생산품들이	생산/ncn+품/xsn+들/xsn+이/jcs
자국산으로	자국/ncn+산/xsn+으로/jca
인정되고	인정/ncpa+되/xsv+고/ecc
,	,/sp
결국	결국/mag
현지	현지/ncn
국산화율을	국산/ncn+화/xsn+율/xsn+을/jco
높이는	높이/pvg+는/etm
기능을	기능/ncn+을/jco
하게	하/pvg+게/ecs
되는	되/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
각국의	각국/ncn+의/jcm
대일	대일/ncn
무역수지	무역/ncn+수지/ncn
개선	개선/ncn
효과도	효과/ncn+도/jxc
이만저만한	이만저만/mag+하/xsm+ㄴ/etm
게	거/nbn+이/jcs
아니다	아니/paa+다/ef
.	./sf
'	'/sl
누이좋고	누이/ncn+좋/paa+고/ecc
매부좋은	매부/ncn+좋/paa+은/jxc
'	'/sl
식이다	식/ncn+이/jp+다/ef
.	./sf
각국	각국/ncn
생산부품의	생산/ncn+부품/ncn+의/jcm
질과	질/ncn+과/jcj
자격	자격/ncn
,	,/sp
그리고	그리고/maj
납기문제만	납기/ncn+문제/ncn+만/jxc
잘	잘/mag
해결하면	해결/ncpa+하/xsv+면/ecs
엄청나게	엄청나/paa+게/ecs
큰	크/paa+ㄴ/etm
생상공장이	생상/ncn+공장/ncn+이/jcs
동남아에	동남아/nq+에/jca
세워지게	세우/pvg+어/ecx+지/px+게/ecs
되는	되/pvg+는/etm
셈이다	셈/nbn+이/jp+다/ef
.	./sf
이제	이제/mag
기술까지도	기술/ncn+까지/jxc+도/jxc
현지에	현지/ncn+에/jca
넘겨줄	넘기/pvg+어/ecx+주/px+ㄹ/etm
스케줄을	스케줄/ncn+을/jco
짜놓고	짜/pvg+아/ecs+놓/pvg+고/ecx
있는	있/px+는/etm
일본	일본/nq
자동차	자동/ncn+차/ncn
업계의	업계/ncn+의/jcm
야심작인	야심/ncn+작/xsn+이/jp+ㄴ/etm
아시안	아시안/ncn
카의	카/ncn+의/jcm
시동이	시동/ncn+이/jcs
걸리는	걸리/pvg+는/etm
소리가	소리/ncn+가/jcs
동남아	동남아/nq
곳곳에서	곳곳/ncn+에서/jca
들려오고	들리/pvg+어/ecx+오/px+고/ecx
있다	있/px+다/ef
.	./sf
이것이	이것/npd+이/jcs
성공하면	성공/ncpa+하/xsv+면/ecs
일본의	일본/nq+의/jcm
자동차업계는	자동/ncn+차/ncn+업계/ncn+는/jxc
꿩먹고	꿩/ncn+먹/pvg+고/ecx
알먹게	알/ncn+먹/pvg+게/ecs
되는	되/pvg+는/etm
셈이다	셈/nbn+이/jp+다/ef
.	./sf
당장	당장/mag
동남아	동남아/nq
각국으로부터	각국/ncn+으로부터/jca
거세게	거세/paa+게/ecs
요구받고	요구/ncn+받/pvg+고/ecx
있는	있/px+는/etm
현지화	현지/ncn+화/xsn
정책에	정책/ncn+에/jca
부합되는	부합/ncpa+되/xsv+는/etm
것일	것/nbn+이/jp+ㄹ/etm
뿐더러	뿐/nbn+더러/jca
자동차산업의	자동/ncn+차/ncn+산업/ncn+의/jcm
최대	최대/ncn
관건인	관건/ncn+이/jp+ㄴ/etm
이른바	이른바/maj
'	'/sl
규모의	규모/ncn+의/jcm
경제	경제/ncn
'	'/sl
문제가	문제/ncn+가/jcs
거뜬히	거뜬/ncn+히/xsa
해결된다	해결/ncpa+되/xsv+ㄴ다/ef
.	./sf
요컨대	요컨대/maj
단위공장의	단위/ncn+공장/ncn+의/jcm
생산이	생산/ncn+이/jcs
연간	연간/ncn
30만대	30만/nnc+대/nbu
이상은	이상/ncn+은/jxc
되어야	되/pvg+어야/ecs
하는데	하/px+는데/ecs
,	,/sp
이처럼	이/npd+처럼/jca
국가별로	국가/ncn+별/xsn+로/jca
부품들을	부품/ncn+들/xsn+을/jco
분업화	분업/ncn+화/xsn
전문화	전문/ncn+화/xsn
시킴으로써	시키/pvg+ㅁ/etn+으로써/jca
이	이/mmd
문제	문제/ncn
역시	역시/mag
극복할	극복/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있게	있/paa+게/ecs
되기	되/pvg+기/etn
때문이다	때문/ncn+이/jp+다/ef
.	./sf
싱가포르	싱가포르/nq
번영	번영/ncn
뒤엔	뒤/ncn+에/jca+ㄴ/jxc
일본이	일본/nq+이/jcs
있다	있/paa+다/ef
.	./sf
싱가포르가	싱가포르/nq+가/jcs
새로운	새롭/paa+ㄴ/etm
각도에서	각도/ncn+에서/jca
주목을	주목/ncn+을/jco
끌고	끌/pvg+고/ecx
있다	있/px+다/ef
.	./sf
단순한	단순/ncps+하/xsm+ㄴ/etm
국제	국제/ncn
금융도시로서가	금융/ncn+도시/ncn+로서/jca+가/jcc
아니라	아니/paa+라/ecs
동남아에서	동남아/nq+에서/jca
새로이	새롭/paa+이/xsa
형성되고	형성/ncpa+되/xsv+고/ecx
있는	있/px+는/etm
국제분업	국제/ncn+분업/ncn
체제를	체제/ncn+를/jco
통괄하는	통괄/ncpa+하/xsv+는/etm
사령탑의	사령탑/ncn+의/jcm
역활을	역활/ncn+을/jco
해내고	하/pvg+어/ecx+내/px+고/ecx
있기	있/px+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
철저하게	철저/ncps+하/xsm+게/ecs
국제화의	국제/ncn+화/xsn+의/jcm
길을	길/ncn+을/jco
달리고	달리/pvg+고/ecx
있는	있/px+는/etm
싱가포르와	싱가포르/nq+와/jct
아시아	아시아/nq
경제의	경제/ncn+의/jcm
주도권을	주도/ncn+권/xsn+을/jco
장악한	장악/ncpa+하/xsv+ㄴ/etm
일본의	일본/nq+의/jcm
이익이	이익/ncn+이/jcs
잘	잘/mag
맞아	맞/pvg+아/ecs
떨어진	떨어지/pvg+ㄴ/etm
결과다	결과/ncn+다/ef
.	./sf
지난	지나/pvg+ㄴ/etm
86년부터	86/nno+년/nbu+부터/jca
도입된	도입/ncpa+되/xsv+ㄴ/etm
아시아총괄본부	아시아총괄본부/nq
(	(/sl
OHQ	OHQ/f
)	)/sr
와	와/jcj
국제조달사무소	국제조달사무소/nq
(	(/sl
IPO	IPO/f
)	)/sr
는	는/jxc
그러한	그러하/pad+ㄴ/etm
구심점들이다	구심/ncn+점/ncn+들/xsn+이/jp+다/ef
.	./sf
OHQ는	OHQ/f+는/jxc
동남아	동남아/nq
지역	지역/ncn
여기저기서	여기저기/npd+서/jca
사업을	사업/ncn+을/jco
벌이고	보이/pvg+고/ecs
있는	있/px+는/etm
회사들을	회사/ncn+들/xsn+을/jco
총괄	총괄/ncn
지휘하는	지휘/ncpa+하/xsv+는/etm
일종의	일종/ncn+의/jcm
사업본부이고	사업/ncn+본부/ncn+이/jp+고/ecc
,	,/sp
IPO	IPO/f
는	는/jxc
분업화해서	분업/ncn+화/xsn+하/xsv+어서/ecs
생산되는	생산/ncpa+되/xsv+는/etm
부품을	부품/ncn+을/jco
이곳에서	이/npd+곳/ncn+에서/jca
중개	중개/ncn
분배해준다	분배/ncpa+하/xsv+어/ecx+주/px+ㄴ다/ef
.	./sf
말하자면	말/ncpa+하/xsv+자면/ecs
통합과	통합/ncn+과/jcj
분화를	분화/ncn+를/jco
조화시켜	조화/ncpa+시키/xsv+어/ecx
효율을	효율/ncn+을/jco
극대화시키자는	극대/ncn+화/xsn+시키/xsv+자/ef+는/etm
제도다	제도/ncn+다/ef
.	./sf
이	이/mmd
제도를	제도/ncn+를/jco
가장	가장/mag
잘	잘/mag
활용하는	활용/ncpa+하/xsv+는/etm
업체는	업체/ncn+는/jxc
역시	역시/mag
일본계	일본/ncn+계/xsn
기업들이다	기업/ncn+들/xsn+이/jp+다/ef
.	./sf
싱가포르	싱가포르/nq
경제개발청의	경제/ncn+개발/ncn+청/xsn+의/jcm
한	한/nnc
관계자도	관계/ncn+자/xsn+도/jxc
"	"/sl
이	이/mmd
제도의	제도/ncn+의/jcm
가장	가장/mag
큰	크/paa+ㄴ/etm
지지자가	지지/ncn+자/xsn+가/jcs
일본기업	일본/nq+기업/ncn
"	"/sl
이라고	이/jp+라/ef+고/jcr
확인해준다	확인/ncpa+하/xsv+어/ecx+주/px+ㄴ다/ef
.	./sf
OHQ	OHQ/f
설립은	설립/ncn+은/jxc
매년	매년/mag
자격심사를	자격/ncn+심사/ncn+를/jco
거쳐	거치/pvg+어/ecx
6	6/nnc
7	7/nnc
개사에	개/nbu+사/xsn+에/jca
한해	한하/pvg+어/ecs
허가한다	허가/ncpa+하/xsv+ㄴ다/ef
.	./sf
지원요건은	지원/ncn+요건/ncn+은/jxc
역내에	역내/ncn+에/jca
제조공장을	제조/ncn+공장/ncn+을/jco
갖고	갖/pvg+고/ecx
있고	있/px+고/ecc
R&D	R/f+&/sy+D/f
센터와	센터/ncn+와/jcj
IPO	IPO/f
,	,/sp
그리고	그리고/maj
판매점을	판매/ncn+점/xsn+을/jco
지니고	지니/pvg+고/ecx
있어야	있/px+어야/ecs
한다	하/px+ㄴ다/ef
.	./sf
91	91/nno
년말	년/nbu+말/ncn
현재	현재/ncn
33	33/nnc
개의	개/nbu+의/jcm
OHQ	OHQ/f
설립이	설립/ncn+이/jcs
허가되었는데	허가/ncpa+되/xsv+었/ep+는데/ecs
그	그/mmd
중	중/nbn
일본계	일본/nq+계/xsn
