<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0058.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0058.txt </filename>
<title>(속)나무이야기  </title>
<author>권영한  </author>
<date>1993  </date>
<publisher>전원문화사  </publisher>
<kdc>480.4  </kdc>
<ddc>580  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
가을이	가을/ncn+이/jcc
있습니다.	있/paa+습니다/ef+./sf
꽃에는	꽃/ncn+에/jca+는/jxc
암술	암술/ncn
머리의	머리/ncn+의/jcm
발육이	발육/ncn+이/jcs
불완전한	불/xp+완전/ncps+하/xsm+ㄴ/etm
꽃도	꽃/ncn+도/jxc
많이	많/paa+이/xsa
있어서,	있/paa+어서/ecs+,/sp
이런	이런/mmd
꽃은	꽃/ncn+은/jxc
결실을	결실/ncn+을/jco
못	못/mag
하나	하/pvg+나/ecs
화분만은	화분/ncn+만은/jxc
수정	수정/ncn
능력을	능력/ncn+을/jco
갖고	갖/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
100개의	100/nnc+개/nbu+의/jcm
꽃	꽃/ncn
중	중/nbn
1개만	1/nnc+개/nbu+만/jxc
수정되어도	수정/ncpa+되/xsv+어도/ecs
충분하다고	충분/ncps+하/xsm+다고/ecs
합니다.	하/pvg+ㅂ니다/ef+./sf
열매의	열매/ncn+의/jcm
생김새는	생김새/ncn+는/jxc
품종에	품종/ncn+에/jca
따라	따르/pvg+아/ecs
구형,	구형/ncn+,/sp
장원형,	장원/ncn+형/xsn+,/sp
계란형	계란/ncn+형/xsn
등이	등/nbn+이/jcs
있고	있/paa+고/ecc
과육	과육/ncn
속에는	속/ncn+에/jca+는/jxc
7	7/nnc
30%의	30/nnc+%/su+의/jcm
기름기가	기름기/ncn+가/jcs
들어있으며	들/pvg+어/ecx+있/px+으며/ecs
종자	종자/ncn
속에도	속/ncn+에/jca+도/jxc
거의	거의/mag
같은	같/paa+은/etm
정도의	정도/ncn+의/jcm
기름기가	기름기/ncn+가/jcs
들어있습니다.	들/pvg+어/ecx+있/px+습니다/ef+./sf
열매는	열매/ncn+는/jxc
완숙하면	완숙/ncpa+하/xsv+면/ecs
흑갈색으로	흑갈색/ncn+으로/jca
착색되는데	착색/ncpa+되/xsv+는데/ecs
용도에	용도/ncn+에/jca
따라	따르/pvg+아/ecs
수확기를	수확/ncn+기/xsn+를/jco
달리합니다.	달리하/pvg+ㅂ니다/ef+./sf
중요한	중요/ncps+하/xsm+ㄴ/etm
용도는	용도/ncn+는/jxc
역시	역시/mag
유용이며	유용/ncn+이/jp+며/ecs
기타	기타/ncn
염장용(鹽藏用),	염장용/ncn+(/sl+鹽藏用/ncn+)/sr+,/sp
생식용으로도	생식/ncn+용/xsn+으로/jca+도/jxc
쓰입니다.	쓰이/pvg+ㅂ니다/ef+./sf
염장용	염장/ncn+용/xsn
올리브는	올리브/ncn+는/jxc
착색	착색/ncn
전에	전/ncn+에/jca
수확하여	수확/ncpa+하/xsv+여/ecs
2%의	2/nnc+%/su+의/jcm
가성소다수에	가성소다수/ncn+에/jca
20	20/nnc
시간	시간/nbu
정도	정도/ncn
담가서	담그/pvg+아서/ecs
잘	잘/mag
우려내고	우리/pvg+어/ecx+내/px+고/ecs
그	그/mmd
후	후/ncn
식염수에	식염수/ncn+에/jca
담그는데,	담그/pvg+는데/ecs+,/sp
식염수는	식염수/ncn+는/jxc
2%에서	2/nnc+%/su+에서/jca
시작해서	시작/ncpa+하/xsv+어서/ecs
순차적으로	순차/ncn+적/xsn+으로/jca
농도를	농도/ncn+를/jco
높여	높이/pvg+어/ecx
최후에는	최후/ncn+에/jca+는/jxc
80%로	80/nnc+%/su+로/jca
하여	하/pvg+여/ecs
3	3/nnc
5	5/nnc
개월간	개월/nbu+간/xsn
저장	저장/ncn
발효시키는	발효/ncpa+시키/xsv+는/etm
것이	것/nbn+이/jcs
보통입니다.	보통/ncn+이/jp+ㅂ니다/ef+./sf
올리브에	올리브/ncn+에/jca
대한	대하/pvg+ㄴ/etm
전설로는	전설/ncn+로/jca+는/jxc
다음과	다음/ncn+과/jct
같은	같/paa+은/etm
이야기가	이야기/ncn+가/jcs
있습니다.	있/paa+습니다/ef+./sf
스칸디나비아의	스칸디나비아/nq+의/jcm
웃음과	웃음/ncn+과/jct
기쁨의	기쁨/ncn+의/jcm
신인	신/ncn+이/jp+ㄴ/etm
'바르데르'는	'/sl+바르데르/nq+'/sr+는/jxc
영원히	영원/ncn+히/xsa
살	살/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
생명을	생명/ncn+을/jco
얻지	얻/pvg+지/ecx
못해서	못하/px+어서/ecs
그의	그/npp+의/jcm
친구인	친구/ncn+이/jp+ㄴ/etm
다른	다르/paa+ㄴ/etm
신들과	신/ncn+들/xsn+과/jcj
언젠가는	언젠가/npd+는/jxc
이별하지	이별/ncpa+하/xsv+지/ecx
않으면	않/px+으면/ecs
안	안/mag
될	되/pvg+ㄹ/etm
슬픈	슬프/paa+ㄴ/etm
운명에	운명/ncn+에/jca
놓여	놓이/pvg+어/ecx
있었습니다.	있/px+었/ep+습니다/ef+./sf
그래서	그래서/maj
모든	모든/mma
신들과	신/ncn+들/xsn+과/jct
서로	서로/mag
의논한	의논/ncpa+하/xsv+ㄴ/etm
결과	결과/ncn
그에게도	그/npp+에게/jca+도/jxc
영원히	영원/ncn+히/xsa
살	살/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
자격을	자격/ncn+을/jco
달라고,	달라/pvg+고/ecs+,/sp
우뢰의	우뢰/ncn+의/jcm
신인	신/ncn+이/jp+ㄴ/etm
'트루'에게	'/sl+트루/nq+'/sr+에게/jca
간청하기로	간청/ncpa+하/xsv+기/etn+로/jca
하였습니다.	하/pvg+였/ep+습니다/ef+./sf
그리하여	그리하/pvg+여/ecs
어느	어느/mma
날	날/ncn
모든	모든/mma
신들은	신/ncn+들/xsn+은/jxc
'트루'에게	'/sl+트루/nq+'/sr+에게/jca
달려가서	달리/pvg+어/ecs+가/pvg+서/ecs
'바르데르'에게도	'/sl+바르데르/nq+'/sr+에게/jca+도/jxc
영원히	영원/ncn+히/xsa
살	살/pvg+ㄹ/etm
수	수/nbn
있도록	있/paa+도록/ecs
해	하/pvg+어/ecs
달라고	달라/pvg+고/ecs
부탁을	부탁/ncn+을/jco
하였습니다.	하/pvg+였/ep+습니다/ef+./sf
'트루'는	'/sl+트루/nq+'/sr+는/jxc
신들의	신/ncn+들/xsn+의/jcm
이야기를	이야기/ncn+를/jco
듣고,	듣/pvg+고/ecs+,/sp
이	이/mmd
세상의	세상/ncn+의/jcm
모든	모든/mma
동식물들에게	동식물/ncn+들/xsn+에게/jca
'바르데르'를	'/sl+바르데르/nq+'/sr+를/jco
해치지	해치/pvg+지/ecx
않겠다는	않/px+겠/ep+다/ef+는/etm
서약을	서약/ncn+을/jco
받아오면	받/pvg+아/ecs+오/pvg+면/ecs
그리해	그리하/pvg+어/ecx
준다고	주/px+ㄴ다고/ecs
했습니다.	하/pvg+었/ep+습니다/ef+./sf
'바르데르'의	'/sl+바르데르/nq+'/sr+의/jcm
부인인	부인/ncn+이/jp+ㄴ/etm
'니나'와	'/sr+니나/nq+'/sr+와/jcj
친구	친구/ncn
신들은	신/ncn+들/xsn+은/jxc
곧	곧/maj
땅으로	땅/ncn+으로/jca
내려와서	내리/pvg+어/ecs+오/pvg+아서/ecs
모든	모든/mma
동물들과	동물/ncn+들/xsn+과/jcj
식물들에게	식물/ncn+들/xsn+에게/jca
'바르데르'를	'/sl+바르데르/nq+'/sr+를/jco
해치지	해치/pvg+지/ecx
않겠다는	않/px+겠/ep+다/ef+는/etm
약속을	약속/ncn+을/jco
받기	받/pvg+기/etn
시작하였습니다.	시작/ncpa+하/xsv+였/ep+습니다/ef+./sf
그런데	그런데/maj
질투의	질투/ncn+의/jcm
신인	신/ncn+이/jp+ㄴ/etm
'로키라'는	'/sr+로키라/nq+'/sr+는/jxc
이	이/mmd
서약을	서약/ncn+을/jco
방해하려고	방해/ncpa+하/xsv+려고/ecs
까마귀로	까마귀/ncn+로/jca
변장해서	변장/ncpa+하/xsv+어서/ecs
참나무에	참나무/ncn+에/jca
붙어	붙/pvg+어/ecx
있는	있/px+는/etm
겨우살이(기생목)	겨우살이/ncn+(/sl+기생목/ncn+)/sr
위에	위/ncn+에/jca
앉아,	앉/pvg+아/ecs+,/sp
겨우살이를	겨우살이/ncn+를/jco
'니나'와	'/sr+니나/nq+'/sr+와/jcj
다른	다르/paa+ㄴ/etm
신들이	신/ncn+들/xsn+이/jcs
보지	보/pvg+지/ecx
못하게	못하/px+게/ecx
날개	날개/ncn
밑에	밑/ncn+에/jca
감추었습니다.	감추/pvg+었/ep+습니다/ef+./sf
그리하여	그리하/pvg+어/ecx
겨우살이로	겨우살이/ncn+로/jca
하여금	하여금/mag
서약을	서약/ncn+을/jco
못하게	못하/pvg+게/ecx
하였습니다.	하/px+었/ep+습니다/ef+./sf
'니나'와	'/sl+니나/nq+'/sr+와/jcj
다른	다르/paa+ㄴ/etm
모든	모든/mma
신들은	신/ncn+들/xsn+은/jxc
그런	그런/mmd
줄도	줄/nbn+도/jxc
모르고	모르/pvg+고/ecs
이	이/mmd
세상의	세상/ncn+의/jcm
모든	모든/mma
동식물에게	동식물/ncn+에게/jca
빠짐없이	빠짐/ncn+없/paa+이/xsa
서약을	서약/ncn+을/jco
다	다/mag
받은	받/pvg+은/etm
줄	줄/nbn
알고	알/pvg+고/ecs
안심을	안심/ncn+을/jco
했습니다.	하/pvg+었/ep+습니다/ef+./sf
그리하여	그리하/pvd+여/ecs
어느	어느/mma
날	날/ncn
많은	많/paa+은/etm
신들이	신/ncn+들/xsn+이/jcs
한자리에	한자리/ncn+에/jca
037933802 
모여	모이/pvg+어/ecs
활	활/ncn
쏘기를	쏘/pvg+기/etn+를/jco
하는데,	하/pvg+는데/ecs+,/sp
질투의	질투/ncn+의/jcm
신	신/ncn
'로키라'가	'/sl+로키라/nq+'/sr+가/jcs
활촉	활촉/ncn
끝에	끝/ncn+에/jca
몰래	몰래/mag
겨우살이를	겨우살이/ncn+를/jco
달아	달/pvg+아/ecx
놓았으나,	놓/px+았/ep+으나/ecs+,/sp
그것을	그것/npd+을/jco
모르는	모르/pvg+는/etm
다른	다르/paa+ㄴ/etm
신들은	신/ncn+들/xsn+은/jxc
그	그/mmd
겨우살이	겨우살이/ncn
활촉으로	활촉/ncn+으로/jca
'바르데르'를	'/sl+바르데르/nq+'/sr+를/jco
쏘았습니다.	쏘/pvg+았/ep+습니다/ef+./sf
'바르데르'를	'/sl+바르데르/nq+'/sr+를/jco
해치지	해치/pvg+지/ecx
않겠다는	않/px+겠/ep+다/ef+는/etm
서약을	서약/ncn+을/jco
안	안/mag
한	하/pvg+ㄴ/etm
겨우살이	겨우살이/ncn
활촉은	활촉/ncn+은/jxc
그만'바르데르'의	그만/mag+'/sl+바르데르/nq+'/sr+의/jcm
심장을	심장/ncn+을/jco
명중해서	명중/ncpa+하/xsv+어서/ecs
'바르데르'를	'/sl+바르데르/nq+'/sr+를/jco
죽이고	죽이/pvg+고/ecx
말았습니다.	말/px+았/ep+습니다/ef+./sf
그때	그/mmd+때/ncn
흘린	흘리/pvg+ㄴ/etm
'바르데르'의	'/sl+바르데르/nq+'/sr+의/jcm
붉은	붉/pvg+은/etm
피는	피/ncn+는/jxc
감람나무에	감람나무/ncn+에/jca
뿌려져	뿌리/pvg+어/ecx+지/px+어/ecs
열매가	열매/ncn+가/jcs
붉어졌고	붉/pvg+어/ecx+지/px+었/ep+고/ecs
그때까지	그/mmd+때/ncn+까지/jxc
희던	희/paa+던/etm
까마귀는	까마귀/ncn+는/jxc
검게	검/paa+게/ecx
변했으며,	변하/pvg+었/ep+으며/ecs+,/sp
'바르데르'가	'/sl+바르데르/nq+'/sr+가/jcs
죽음으로써	죽음/ncn+으로써/jca
웃음과	웃음/ncn+과/jct
기쁨은	기쁨/ncn+은/jxc
영원하지	영원/ncps+하/xsa+지/ecx
못하게	못하/px+게/ecs
되었다고	되/pvg+었/ep+다고/ecs
합니다.	하/pvg+ㅂ니다/ef+./sf
올리브에는	올리브/ncn+에/jca+는/jxc
여러	여러/mma
가지	가지/nbu
품종이	품종/ncn+이/jcs
있는데	있/paa+는데/ecs
그	그/mmd
중	중/nbn
가장	가장/mag
많이	많/paa+이/xsa
재배하는	재배/ncpa+하/xsv+는/etm
것은	것/nbn+은/jxc
미션(Mission겸종용),	미션/ncn+(/sl+Mission/f+겸용/ncn+종/xsn+)/sr+,/sp
루카(Iucca油用種),	루카/ncn+(/sl+Iucca/f+油用種/ncn+)/sr+,/sp
만자닐로(Manzanillo겸종용)	만자닐로/ncn+(/sl+Manzanillo/f+겸용/ncn+종
만자닐로(Manzanillo겸종용)	/xsn+)/sr
등	등/nbn
3가지	3/nnc+가지/nbu
품종이	품종/ncn+이/jcs
가장	가장/mag
대표적입니다.	대표/ncn+적/xsn+이/jp+ㅂ니다/ef+./sf
또	또/maj
감람나무에는	감람나무/ncn+에/jca+는/jxc
위에서	위/ncn+에서/jca
말하는	말/ncpa+하/xsv+는/etm
물푸레나무과에	물푸레나무/ncn+과/ncn+에/jca
속하는	속하/pvg+는/etm
것	것/nbn
외에	외/nbn+에/jca
감람나뭇과에	감람나뭇과/ncn+에/jca
속하는	속하/pvg+는/etm
것이	것/nbn+이/jcs
또	또/maj
하나	하나/nnc
있는데,	있/paa+는데/ecs+,/sp
중국	중국/nq
남부와	남부/ncn+와/jcj
인도차이나	인도차이나/nq
등에서	등/nbn+에서/jca
자생하는	자생/ncpa+하/xsv+는/etm
나무이며,	나무/ncn+이/jp+며/ecs+,/sp
언뜻	언뜻/mag
보기에는	보/pvg+기/etn+에/jca+는/jxc
올리브와	올리브/ncn+와/jct
비슷하나	비슷/ncps+하/xsm+나/ecs
식물학적으로	식물/ncn+학/xsn+적/xsn+으로/jca
전혀	전혀/mag
다른	다르/paa+ㄴ/etm
과에	과/ncn+에/jca
속하는	속하/pvg+는/etm
나무입니다.	나무/ncn+이/jp+ㅂ니다/ef+./sf
성경에	성경/ncn+에/jca
나오는	나오/pvg+는/etm
감람나무는	감람나무/ncn+는/jxc
여러	여러/mma
가지로	가지/nbu+로/jca
연구해본	연구/ncpa+하/xsv+어/ecx+보/px+ㄴ/etm
결과	결과/ncn
물푸레나뭇과에	물푸레나뭇과/ncn+에/jca
속하는	속하/pvg+는/etm
감람나무인	감람나무/ncn+이/jp+ㄴ/etm
것으로	것/nbn+으로/jca
생각됩니다.	생각/ncpa+되/xsv+ㅂ니다/ef+./sf
겨우살이	겨우살이/ncn
내가	내/npp+가/jcs
겨우살이를	겨우살이/ncn+를/jco
처음	처음/ncn
본	보/pvg+ㄴ/etm
것은	것/nbn+은/jxc
오래	오래/mag
전,	전/ncn+,/sp
소백산	소백산/nq
겨울	겨울/ncn
등산	등산/ncn
때였습니다.	때/nbn+이/jp+었/ep+습니다/ef+./sf
낙엽	낙엽/ncn
진	지/pvg+ㄴ/etm
황량한	황량/ncps+하/xsm+ㄴ/etm
참나무	참나무/ncn
숲을	숲/ncn+을/jco
지나갈	지나/pvg+아/ecs+가/pvg+ㄹ/etm
때,	때/ncn+,/sp
높은	높/paa+은/etm
나무	나무/ncn
가지	가지/nbu
위에	위/ncn+에/jca
마치	마치/mag
까치집과	까치/ncn+집/ncn+과/jct
같이	같/paa+이/xsa
생긴	생기/pvg+ㄴ/etm
푸른	푸르/paa+ㄴ/etm
것들이	것/nbn+들/xsn+이/jcs
군데군데	군데군데/mag
있는	있/paa+는/etm
것을	것/nbn+을/jco
보고	보/pvg+고/ecc
무척	무척/mag
신기하게	신기/ncps+하/xsm+게/ecs
생각하였습니다.	생각/ncpa+하/xsv+었/ep+습니다/ef+./sf
지금도	지금/ncn+도/jxc
늘	늘/mag
자주	자주/mag
가는	가/pvg+는/etm
도산서원	도산서원/nq
입구에서도	입구/ncn+에서/jca+도/jxc
늙은	늙/paa+은/etm
참나무	참나무/ncn
가지	가지/ncn
위와	위/ncn+와/jcj
단풍나무	단풍나무/ncn
위에	위/ncn+에/jca
겨우살이가	겨우살이/ncn+가/jcs
여러	여러/mma
곳에	곳/ncn+에/jca
많이	많/paa+이/xsa
피어	피/pvg+어/ecx
있는	있/px+는/etm
것을	것/nbn+을/jco
볼	보/pvg+ㄹ/etm
수	수/nbn
있습니다.	있/paa+습니다/ef+./sf
쌍자엽식물과에	쌍자엽/ncn+식물/ncn+과/ncn+에/jca
속하는	속하/pvg+는/etm
겨우살이는	겨우살이/ncn+는/jxc
참나무,	참나무/ncn+,/sp
물오리나무,	물오리나무/ncn+,/sp
버드나무,	버드나무/ncn+,/sp
팽나무	팽나무/ncn
등	등/nbn
많은	많/paa+은/etm
나무들에	나무/ncn+들/xsn+에/jca
뿌리를	뿌리/ncn+를/jco
박고	박/pvg+고/ecs
기생하는	기생/ncpa+하/xsv+는/etm
기생식물입니다.	기생/ncn+식물/ncn+이/jp+ㅂ니다/ef+./sf
여름철,	여름철/ncn+,/sp
나무들의	나무/ncn+들/xsn+의/jcm
잎이	잎/ncn+이/jcs
무성할	무성/ncps+하/xsm+ㄹ/etm
때는	때/ncn+는/jxc
푸른	푸르/paa+ㄴ/etm
잎에	잎/ncn+에/jca
가리어	가리/pvg+어/ecs
눈에	눈/ncn+에/jca
잘	잘/mag
띄지	띄/pvg+지/ecx
않으나	않/px+으나/ecs
기생하는	기생/ncpa+하/xsv+는/etm
나무가	나무/ncn+가/jcs
낙엽이	낙엽/ncn+이/jcs
진	지/pvg+ㄴ/etm
겨울철이	겨울/ncn+철/ncn+이/jcc
되면	되/pvg+면/ecs
잘	잘/mag
보입니다.	보이/pvg+ㅂ니다/ef+./sf
사람들	사람/ncn+들/xsn
중에서	중/nbn+에서/jca
놀고	놀/pvg+고/ecx
먹는	먹/pvg+는/etm
자가	자/nbn+가/jcs
더	더/mag
살이	살/ncn+이/jcs
찌고	찌/pvg+고/ecc
번들번들하듯이,	번들번들하/paa+듯이/ecs+,/sp
겨우살이도	겨우살이/ncn+도/jxc
자기의	자기/npp+의/jcm
힘으로	힘/ncn+으로/jca
흙	흙/ncn
속에	속/ncn+에/jca
뿌리를	뿌리/ncn+를/jco
박아	박/ncn+아/ecs
양분을	양분/ncn+을/jco
섭취하는	섭취/ncpa+하/xsv+는/etm
것이	것/nbn+이/jcs
아니라	아니/paa+라/ef
다른	다르/paa+ㄴ/etm
식물이	식물/ncn+이/jcs
애써	애쓰/pvg+어/ecs
섭취한	섭취/ncpa+하/xsv+ㄴ/etm
양분을	양분/ncn+을/jco
공짜로	공짜/ncn+로/jca
가로채어	가로채/pvg+어/ecs
먹고	먹/pvg+고/ecc
놀며,	놀/pvg+며/ecs+,/sp
높은	높/paa+은/etm
가지	가지/ncn
위에서	위/ncn+에서/jca
좋은	좋/paa+은/etm
경치를	경치/ncn+를/jco
마음껏	마음껏/mag
구경하고,	구경/ncpa+하/xsv+고/ecs+,/sp
시원한	시원/ncps+하/xsm+ㄴ/etm
바람도	바람/ncn+도/jxc
마음껏	마음껏/mag
쐬고	쐬/pvg+고/ecs
사는	살/pvg+는/etm
얌체	얌체/ncn
식물답게,	식물/ncps+답/xsm+게/ecs+,/sp
기생하는	기생/ncpa+하/xsv+는/etm
나무들이	나무/ncn+들/xsn+이/jcs
겨울	겨울/ncn
추위에	추위/ncn+에/jca
맥을	맥/ncn+을/jco
못추고,	못추/pvg+고/ecs+,/sp
낙엽져서	낙엽/ncn+지/pvg+어서/ecs
앙상한	앙상/ncps+하/xsm+ㄴ/etm
가지만	가지/ncn+만/jxc
남겼는데도,	남기/pvg+었/ep+는데/ecs+도/jxc+,/sp
그들은	그/npd+들/xsn+은/jxc
피둥피둥	피둥피둥/mag
살이	살/ncn+이/jcs
쪄서	찌/pvg+어서/ecs
푸르름을	푸르/paa+ㅁ/etn+을/jco
잃지	잃/pvg+지/ecx
않고	않/px+고/ecx
있습니다.	있/px+습니다/ef+./sf
겨우살이	겨우살이/ncn
입장에서	입장/ncn+에서/jca
보면	보/pvg+면/ecs
놀고	놀/pvg+고/ecc
먹으니	먹/pvg+으니/ecs
팔자가	팔자/ncn+가/jcs
좋다고	좋/paa+다고/ecs
할	하/pvg+ㄹ/etm
수	수/nbn
있겠으나	있/paa+겠/ep+으나/ecs
기생당하는	기생/ncn+당하/pvg+는/etm
나무의	나무/ncn+의/jcm
입장으로	입장/ncn+으로/jca
본다면	보/pvg+ㄴ다면/ecs
애써	애쓰/pvg+어/ecs
모은	모으/pvg+ㄴ/etm
양분을	양분/ncn+을/jco
모조리	모조리/mag
수탈해	수탈/ncpa+하/xsv+어/ecx
가버리니	가/px+아/ecx+버리/px+니/ecs
무척	무척/mag
밉고	밉/paa+고/ecc
귀찮은	귀찮/paa+은/etm
존재일	존재/ncn+이/jp+ㄹ/etm
겁니다.	거/nbn+ㅂ니다/ef+./sf
우리	우리/npp
인간들의	인간/ncn+들/xsn+의/jcm
사회에도	사회/ncn+에/jca+도/jxc
이마에	이마/ncn+에/jca
땀을	땀/ncn+을/jco
흘려서	흘리/pvg+어서/ecs
돈을	돈/ncn+을/jco
버는	벌/pvg+는/etm
것이	것/nbn+이/jcs
아니고,	아니/paa+고/ecs+,/sp
부동산	부동산/ncn
투기나,	투기/ncn+나/jcj+,/sp
사기,	사기/ncn+,/sp
공갈,	공갈/ncn+,/sp
협박,	협박/ncn+,/sp
절도,	절도/ncn+,/sp
도박	도박/ncn
등	등/nbn
옳지	옳/paa+지/ecx
못한	못하/px+ㄴ/etm
방법으로	방법/ncn+으로/jca
남의	남/npp+의/jcm
돈을	돈/ncn+을/jco
뜯어서	뜯/pvg+어서/ecs
놀고	놀/pvg+고/ecs
사는	살/pvg+는/etm
얌체족이	얌체/ncn+족/xsn+이/jcs
있는	있/paa+는/etm
것과	것/nbn+과/jct
같습니다.	같/paa+습니다/ef+./sf
뿌리를	뿌리/ncn+를/jco
땅에	땅/ncn+에/jca
박고,	박/pvg+고/ecc+,/sp
흙으로부터	흙/ncn+으로/jca+부터/jxc
무한히	무한/ncn+히/xsa
많은	많/paa+은/etm
양분을	양분/ncn+을/jco
섭취해서	섭취/ncpa+하/xsv+어서/ecs
자력으로	자력/ncn+으로/jca
살아가는	살/pvg+아/ecx+가/px+는/etm
나무들은	나무/ncn+들/xsn+은/jxc
안정된	안정/ncps+되/xsm+ㄴ/etm
상태에서	상태/ncn+에서/jca
천수를	천수/ncn+를/jco
다	다/mag
누릴	누리/pvg+ㄹ/etm
수	수/nbn
있으나,	있/paa+으나/ecs+,/sp
겨우살이처럼	겨우살이/ncn+처럼/jca
다른	다르/paa+ㄴ/etm
나무에게	나무/ncn+에게/jca
뿌리를	뿌리/ncn+를/jco
박고	박/pvg+고/ecx
사는	살/pvg+는/etm
얌체족들은,	얌체/ncn+족/xsn+들/xsn+은/jxc+,/sp
겉보기에는	겉보기/ncn+에/jca+는/jxc
화려한	화려/ncps+하/xsm+ㄴ/etm
듯해도	듯하/px+어도/ecs
그	그/mmd
수명이	수명/ncn+이/jcs
길지가	길/paa+지/ecx+가/jcs
못하고,	못하/paa+고/ecs+,/sp
모든	모든/mma
운명이	운명/ncn+이/jcs
기생하는	기생/ncpa+하/xsv+는/etm
나무에	나무/ncn+에/jca
달려	달리/pvg+어/ecx
있다는	있/px+다/ef+는/etm
것을	것/nbn+을/jco
알아야	알/pvg+아야/ecs
합니다.	하/px+ㅂ니다/ef+./sf
용비어천가에서도	용비어천가/nq+에서/jca+도/jxc
'뿌리	'/sl+뿌리/ncn
깊은	깊/paa+은/etm
나무는	나무/ncn+는/jxc
바람에	바람/ncn+에/jca
움직이지	움직이/pvg+지/ecx
않고	않/px+고/ecs
꽃피고	꽃/ncn+피/pvg+고/ecs
열매를	열매/ncn+를/jco
많이	많/paa+이/xsa
맺는다.'라고	맺/pvg+는다/ef+./sf+'/sr+라고/ecs
하였습니다.	하/pvg+였/ep+습니다/ef+./sf
이	이/mmd
세상	세상/ncn
모든	모든/mma
사물에는	사물/ncn+에/jca+는/jxc
반드시	반드시/mag
본말이	본말/ncn+이/jcs
있는	있/paa+는/etm
법으로	법/ncn+으로/jca
뿌리가	뿌리/ncn+가/jcs
굳세게	굳세/paa+게/ecx
서면	서/pvg+면/ecs
끝도	끝/ncn+도/jxc
꼭	꼭/mag
안전한	안전/ncps+하/xsm+ㄴ/etm
법이니,	법/ncn+이/jp+니/ecs+,/sp
만사는	만사/ncn+는/jxc
근본을	근본/ncn+을/jco
단단히	단단/ncn+히/xsa
해야	하/pvg+어야/ecs
하는	하/px+는/etm
겁니다.	거/nbn+ㅂ니다/ef+./sf
그래서	그래서/maj
우리의	우리/npp+의/jcm
삶에도	삶/ncn+에/jca+도/jxc
나의	나/npp+의/jcm
뿌리를	뿌리/ncn+를/jco
알고,	알/pvg+고/ecc+,/sp
그	그/mmd
뿌리를	뿌리/ncn+를/jco
찾아서	찾/pvg+아서/ecs
받들고	받들/pvg+고/ecs
모시면	모시/pvg+면/ecs
집안이	집안/ncn+이/jcs
편안하고	편안/ncps+하/xsm+고/ecc
자손이	자손/ncn+이/jcs
어질어진다는	어질/paa+어/ecx+지/px+ㄴ다/ef+는/etm
것입니다.	것/nbn+이/jp+ㅂ니다/ef+./sf
제사를	제사/ncn+를/jco
지낼	지내/pvg+ㄹ/etm
때	때/ncn
3실과라고	3/nnc+실과/ncn+라고/ecs
해서	하/pvg+어서/ecs
밤,	밤/ncn+,/sp
대추,	대추/ncn+,/sp
감을	감/ncn+을/jco
쓰고	쓰/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
다른	다르/paa+ㄴ/etm
과실을	과실/ncn+을/jco
다	다/mag
제쳐	제치/pvg+어/ecx
놓고	놓/px+고/ecc
이	이/mmd
3가지	3/nnc+가지/nbu
과실을	과실/ncn+을/jco
꼭	꼭/mag
쓰는	쓰/pvg+는/etm
이유는,	이유/ncn+는/jxc+,/sp
밤은	밤/ncn+은/jxc
땅에	땅/ncn+에/jca
밤톨을	밤톨/ncn+을/jco
심어	심/pvg+어/ecx
발아한	발아/ncpa+하/xsv+ㄴ/etm
다음,	다음/ncn+,/sp
밤나무가	밤나무/ncn+가/jcs
제법	제법/mag
큰	크/paa+ㄴ/etm
후에도	후/ncn+에/jca+도/jxc
밤나무	밤나무/ncn
묘목을	묘목/ncn+을/jco
캐보면	캐/pvg+어/ecx+보/px+면/ecs
씨앗으로	씨앗/ncn+으로/jca
심은	심/pvg+은/etm
밤이	밤/ncn+이/jcs
삭지	삭/pvg+지/ecx
않고	않/px+고/ecs
생생하게	생생/ncps+하/xsm+게/ecs
달려	달리/pvg+어/ecx
있다고	있/px+다고/ecs
하는	하/pvg+는/etm
뜻에서,	뜻/ncn+에서/jca+,/sp
근원을	근원/ncn+을/jco
잊지	잊/pvg+지/ecx
말아라!	말/px+아라/ef+!/sf
즉	즉/mag
조상의	조상/ncn+의/jcm
뿌리를	뿌리/ncn+를/jco
알아라	알/pvg+아라/ef
하는	하/pvg+는/etm
뜻으로	뜻/ncn+으로/jca
쓰고,	쓰/pvg+고/ecc+,/sp
대추는	대추/ncn+는/jxc
열매가	열매/ncn+가/jcs
여러	여러/mma
개	개/nbu
많이	많/paa+이/xsa
달리는	달리/pvg+는/etm
나무이니	나무/ncn+이/jp+니/ecs
대추처럼	대추/ncn+처럼/jca
자손	자손/ncn
번창하라고	번창/ncpa+하/xsv+라고/ecs
쓰고,	쓰/pvg+고/ecs+,/sp
