<tdmsfile>
<tdmsfile>
mbc.hwp
"지옥	"/sl+지옥/ncn
부각시킬	부각/ncpa+시키/xsv+ㄹ/etm
계획입니다.	계획/ncn+이/jp+ㅂ니다/ef+./sf
국민회의	국민회의/nq
초선의원들도	초선/ncn+의원/ncn+들/xsn+도/jxc
21세기	nq[21/nno+세기/nbu
푸른정치모임을	푸르/paa+ㄴ/etm+정치/ncn+모임/ncn]nq+을/jco
결성하고	결성/ncpa+하/xsv+고/ecc
당의	당/ncn+의/jcm
개혁적	개혁/ncn+적/xsn
노선을	노선/ncn+을/jco
뒷받침하기	뒷받침/ncpa+하/xsv+기/etn
위한	위하/pvg+ㄴ/etm
공식	공식/ncn
활동에	활동/ncn+에/jca
들어갔습니다.	들/pvg+어/ecx+가/px+았/ep+습니다/ef+./sf
입당을	입당/ncn+을/jco
선언한	선언/ncpa+하/xsv+ㄴ/etm
노무현	노무현/nq
전	전/mma
의원은	의원/ncn+은/jxc
초선	초선/ncn
의원모임에	의원/ncn+모임/ncn+에/jca
참석해	참석/ncpa+하/xsv+어/ecs
지난	지나/pvg+ㄴ/etm
90년	90/nno+년/nbu
3당합당	3/nnc+당/nbu+합당/ncn
당시	당시/ncn
이인제	이인제/nq
후보의	후보/ncn+의/jcm
행적을	행적/ncn+을/jco
비판해	비판/ncpa+하/xsv+어/ecs
눈길을	눈길/ncn+을/jco
끌었습니다.	끌/pvg+었/ep+습니다/ef+./sf
국민회의와	국민회의/nq+와/jcj
자민련은	자민련/nq+은/jxc
통추측	통추/ncn+측/xsn
인사들까지를	인사/ncn+들/xsn+까지/jxc+를/jco
망라하는	망라/pvg+하/xsv+는/etm
대규모	대/xp+규모/ncn
선거대책	선거/ncn+대책/ncn
기구를	기구/ncn+를/jco
내일	내일/ncn
중	중/nbn
발족시켜	발족/ncpa+시키/xsv+어/ecs
대세	대세/ncn
굳히기에	굳히/pvg+기/etn+에/jca
들어갈	들/pvg+어/ecs+가/pvg+ㄹ/etm
계획입니다.	계획/ncn+이/jp+ㅂ니다/ef+./sf
MBC	MBC/f
뉴스	뉴스/ncn
송기원입니다.	송기원/nq+이/jp+ㅂ니다/ef+./sf
기업의	기업/ncn+의/jcm
기술	기술/ncn
개발을	개발/ncn+을/jco
보호해	보호/ncpa+하/xsv+어/ecx
주는	주/px+는/etm
역할을	역할/ncn+을/jco
하는	하/pvg+는/etm
특허	특허/ncn
행정이	행정/ncn+이/jcs
갈팡질팡하는	갈팡질팡/ncpa+하/xsv+는/etm
모습을	모습/ncn+을/jco
보여주고	보이/pvg+어/ecx+주/px+고/ecx
있습니다.	있/px+습니다/ef+./sf
특허청이	특허청/nq+이/jcs
지하철	지하철/ncn
안내	안내/ncn
표시기에	표시/ncn+기/xsn+에/jca
대해서	대하/pvg+어서/ecs
3년간의	3/nnc+년/nbu+간/xsn+의/jcm
심사	심사/ncn
끝에	끝/ncn+에/jca
실용신안	실용/ncn+신안/ncn
결정을	결정/ncn+을/jco
내렸다가	내리/pvg+었/ep+다가/ecs
불과	불과/mag
몇	몇/mma
달만에	달/nbu+만/jxc+에/jca
이	이/mmd
결정을	결정/ncn+을/jco
뒤집었습니다.	뒤집/pvg+었/ep+습니다/ef+./sf
이	이/mmd
과정에	과정/ncn+에/jca
여러	여러/mma
가지	가지/nbu
의혹에	의혹/ncn+에/jca
제기되고	제기/ncpa+되/xsv+고/ecx
있어서	있/px+어서/ecs
이진호	이진호/nq
기자가	기자/ncn+가/jcs
취재했습니다.	취재/ncpa+하/xsv+었/ep+습니다/ef+./sf
출근길	출근/ncn+길/ncn
서울의	서울/nq+의/jcm
지하철	지하철/ncn
역.	역/ncn+./sf
전동차	전동/ncn+차/ncn
도착을	도착/ncn+을/jco
알리는	알리/pvg+는/etm
안내	안내/ncn
표시기입니다.	표시/ncn+기/xsn+이/jp+ㅂ니다/ef+./sf
이	이/mmd
지하철	지하철/ncn
안내	안내/ncn
표시기가	표시/ncn+기/xsn+가/jcs
최근	최근/ncn
새로	새로/mag
개발됐습니다.	개발/ncpa+되/xsv+었/ep+습니다/ef+./sf
기존	기존/ncn
제품은	제품/ncn+은/jxc
곧	곧/mag
도착한다고만	도착/ncpa+하/xsv+ㄴ다/ef+고/jcr+만/jxc
알릴	알리/pvg+ㄹ/etm
뿐입니다.	뿐/nbn+이/jp+ㅂ니다/ef+./sf
그러나	그러나/maj
신제품은	신/xp+제품/ncn+은/jxc
남은	남/pvg+은/etm
도착	도착/ncn
시간은	시간/ncn+은/jxc
물론	물론/mag
전동차의	전동/ncn+차/ncn+의/jcm
움직임까지	움직임/ncn+까지/jxc
알	알/pvg+ㄹ/etm
수	수/nbn
있습니다.	있/paa+습니다/ef+./sf
또	또/maj
신제품은	신/xp+제품/ncn+은/jxc
양쪽	양쪽/ncn
방향을	방향/ncn+을/jco
한눈에	한눈/ncn+에/jca
알	알/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
장점도	장점/ncn+도/jxc
가지고	가지/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
작은	작/paa+은/etm
변화지만	변화/ncn+이/jp+지만/ecs
돋보이는	돋보이/pvg+는/etm
아이디어입니다.	아이디어/ncn+이/jp+ㅂ니다/ef+./sf
서울시청,	서울시청/nq+,/sp
그	그/mmd
지하철	지하철/ncn
역사에	역사/ncn+에/jca
시범	시범/ncn
설치를	설치/ncn+를/jco
해놨습니다.	하/pvg+어/ecx+놓/px+았/ep+습니다/ef+./sf
바로	바로/mag
이	이/mmd
지하철	지하철/ncn
공사	공사/ncn
사장이	사장/ncn+이/jcs
역사가	역사/ncn+가/jcs
100년이	100/nnc+년/nbu+이/jcc
되는	되/pvg+는/etm
데도	데/nbn+도/jxc
지금	지금/ncn
이런	이런/mmd
시스템이	시스템/ncn+이/jcs
우리는	우리/npp+는/jxc
없다.	없/paa+다/ef+./sf
그런데도	그런데/maj+도/jxc
서울...	서울/nq+.../se
특허청도	특허청/nq+도/jxc
바로	바로/mag
이런	이런/mmd
점을	점/ncn+을/jco
높이	높/paa+이/xsa
평가하고	평가/ncpa+하/xsv+고/ecc
이	이/mmd
제품을	제품/ncn+을/jco
실용	실용/ncn
신안으로	신안/ncn+으로/jca
인정해	인정/ncpa+하/xsv+어/ecs
공고까지	공고/ncn+까지/jxc
냈습니다.	내/pvg+었/ep+습니다/ef+./sf
3년간의	3/nnc+년/nbu+간/xsn+의/jcm
심사	심사/ncn
결과	결과/ncn
끝에	끝/ncn+에/jca
내린	내리/pvg+ㄴ/etm
결정이었습니다.	결정/ncn+이/jp+었/ep+습니다/ef+./sf
그런데	그런데/maj
특허청은	특허청/nq+은/jxc
불과	불과/mag
수개월만에	수/nnc+개월/nbu+만/jxc+에/jca
관련	관련/ncn
업계의	업계/ncn+의/jcm
이의를	이의/ncn+를/jco
받아들이어	받/pvg+아/ecs+들이/pvg+어/ecs
결정을	결정/ncn+을/jco
번복했습니다.	번복/ncpa+하/xsv+었/ep+습니다/ef+./sf
우선	우선/mag
번복	번복/ncn
사유가	사유/ncn+가/jcs
불분명합니다.	불/xp+분명/ncps+하/xsm+ㅂ니다/ef+./sf
자료	자료/ncn
검토가	검토/ncn+가/jcs
충분히	충분/ncn+히/xsa
안됐다.	안되/pvg+었/ep+다/ef+./sf
결정	결정/ncn
번복	번복/ncn
직후	직후/ncn
휴직을	휴직/ncn+을/jco
한	하/pvg+ㄴ/etm
담당	담당/ncn
심사관은	심사/ncn+관/xsn+은/jxc
행적이	행적/ncn+이/jcs
묘연합니다.	묘연/ncps+하/xsm+ㅂ이다/ef+./sf
또	또/maj
이른바	이른바/mag
전관	전관/ncn
예우의	예우/ncn+의/jcm
의혹도	의혹/ncn+도/jxc
제기됩니다.	제기/ncpa+되/xsv+ㅂ니다/ef+./sf
이의를	이의/ncn+를/jco
제기한	제기/ncpa+하/xsv+ㄴ/etm
측의	측/nbn+의/jcm
대리인	대리/ncn+인/xsn
김모	김/nq+모/ncn
변리사는	변리/ncn+사/xsn+는/jxc
특허청	특허청/nq
국장	국장/ncn
출신입니다.	출신/ncn+이/jp+ㅂ니다/ef+./sf
전직이	전직/ncn+이/jcs
뭐였나?	뭐/npd+이/jp+었/ep+나/ef+?/sf
특허청	특허청/nq
항고	항고/ncn
심판관이었다.	심판/ncn+관/xsn+이/jp+었/ep+다/ef+./sf
제3자인	제/xp+3/nno+자/xsn+이/jp+ㄴ/etm
다른	다르/paa+ㄴ/etm
변리사도	변리/ncn+사/xsn+도/jxc
신제품이	신/xp+제품/ncn+이/jcs
진보된	진보/ncpa+되/xsv+ㄴ/etm
형태라는	형태/ncn+라/ef+는/etm
견해를	견해/ncn+를/jco
보이고	보이/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
자기	자기/ncn
정보화를	정보/ncn+화/xsn+를/jco
해서	하/pvg+어서/ecs
자기가	자기/npp+가/jcs
이	이/mmd
차를	차/ncn+를/jco
타야	타/pvg+아야/ecs
할	하/pvg+ㄹ/etm
것이냐?	것/nbn+이/jp+냐/ef+?/sf
말아야	말/pvg+아야/ecx
될	되/px+ㄹ/etm
것이냐?	것/nbn+이/jp+냐/ef+?/sf
하는	하/pvg+는/etm
그런	그렇/pad+ㄴ/etm
선택을	선택/ncn+을/jco
할	하/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
기회를	기회/ncn+를/jco
주는	주/pvg+는/etm
것이기	것/nbn+이/jp+기/etn
때문에	때문/nbn+에/jca
새로운	새롭/paa+ㄴ/etm
어떤	어떤/mmd
효과를	효과/ncn+를/jco
창출해	창출/ncpa+하/xsv+어/ecx
낸다고	내/px+ㄴ다/ef+고/jcr
봐야	보/pvg+아야/ecx
되겠죠.	되/px+겠/ep+지/ef+요/jxf+./sf
특허	특허/ncn
행정의	행정/ncn+의/jcm
이같은	이/npd+같/paa+은/etm
난맥상에는	난맥/ncn+상/xsn+에/jca+는/jxc
구조적인	구조/ncn+적/xsn+이/jp+ㄴ/etm
문제도	문제/ncn+도/jxc
상당한	상당/ncps+하/xsm+ㄴ/etm
역할을	역할/ncn+을/jco
합니다.	하/pvg+ㅂ니다/ef+./sf
심사관	심사/ncn+관/xsn
한	한/nnc
명은	명/nbu+은/jxc
하루	하루/ncn
한건	한/nnc+건/nbu
이상	이상/ncn
1년에	1/nnc+년/nbu+에/jca
모두	모두/mag
400건	400/nnc+건/nbu
이상의	이상/ncn+의/jcm
특허	특허/ncn
신청을	신청/ncn+을/jco
처리해야	처리/ncpa+하/xsv+어야/ecs
합니다.	하/pvg+ㅂ니다/ef+./sf
이뿐만	이/npd+뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
자료도	자료/ncn+도/jxc
전산화	전산/ncn+화/xsn
되어	되/pvg+어/ecx
있지	있/px+지/ecx
않아	않/px+아/ecs
부실	부실/ncn
심사를	심사/ncn+를/jco
초래할	초래/ncpa+하/xsv+ㄹ/etm
수밖에	수/nbn+밖에/jxc
없습니다.	없/paa+습니다/ef+./sf
출원은	출원/ncn+은/jxc
너무	너무/mag
많거든요?	많/paa+거든/ef+요/jxf+?/sf
출원이	출원/ncn+이/jcs
너무	너무/mag
많아요.	많/paa+아/ef+요/jxf+./sf
워낙	워낙/mag
많은	많/paa+은/etm
자료를	자료/ncn+를/jco
봐야	보/pvg+아야/ecx
하니까	하/px+니까/ecs
사람이	사람/ncn+이/jcs
다	다/mag
.	./sp
특허	특허/ncn
분쟁	분쟁/ncn
건수는	건수/ncn+는/jxc
지난	지나/pvg+ㄴ/etm
86년의	86/nno+년/nbu+의/jcm
800여건에서	800/nnc+여/xsn+건/nbu+에서/jca
10년만인	10/nnc+년/nbu+만/jxc+이/jp+ㄴ/etm
지난해에는	지나/pvg+ㄴ/etm+해/ncn+에/jca+는/jxc
두배로	두/nnc+배/nbu+로/jca
늘었습니다.	늘/pvg+었/ep+습니다/ef+./sf
특허행정에	특허/ncn+행정/ncn+에/jca
대한	대하/pvg+ㄴ/etm
신뢰도가	신뢰/ncn+도/xsn+가/jcs
갈수록	가/pvg+ㄹ수록/ecs
떨어진다는	떨어지/pvg+ㄴ다/ef+는/etm
증거입니다.	증거/ncn+이/jp+ㅂ니다/ef+./sf
그러나	그러나/maj
특허청은	특허청/nq+은/jxc
심사관이	심사/ncn+관/xsn+이/jcs
판단을	판단/ncn+을/jco
잘못	잘못/mag
했다면	하/pvg+었/ep+다/ef+면/ecs
소송	소송/ncn
과정을	과정/ncn+을/jco
통해서	통하/pvg+어서/ecs
해결하면	해결/ncpa+하/xsv+면/ecs
그만이라는	그만/ncn+이/jp+라/ef+는/etm
입장입니다.	입장/ncn+이/jp+ㅂ니다/ef+./sf
기업들의	기업/ncn+들/xsn+의/jcm
기술	기술/ncn
경쟁력을	경쟁/ncn+력/xsn+을/jco
키우고	키우/pvg+고/ecc
보호해야할	보호/ncpa+하/xsv+어야/ecs+하/px+ㄹ/etm
특허행정~	특허/ncn+행정/ncn+~/sd
오히려	오히려/maj
기술	기술/ncn
개발을	개발/ncn+을/jco
가로막고	가로막/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
카메라	nq[카메라/ncn
출동입니다.	출동/ncn]nq+이/jp+ㅂ니다/ef+./sf
치과에서	치과/ncn+에서/jca
스케일링을	스케일링/ncn+을/jco
받는	받/pvg+는/etm
것처럼	것/nbn+처럼/jca
얼굴을	얼굴/ncn+을/jco
정기적으로	정기/ncn+적/xsn+으로/jca
스케일링해서	스케일링/ncpa+하/xsv+어서/ecs
피부를	피부/ncn+를/jco
젊고	젊/paa+고/ecc
탄력있게	탄력/ncn+있/paa+게/ecs
만드는	만들/pvg+는/etm
시술이	시술/ncn+이/jcs
등장해	등장/ncpa+하/xsv+어/ecs
특히	특히/mag
여성들의	여성/ncn+들/xsn+의/jcm
호응을	호응/ncn+을/jco
얻고	얻/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
그렇지만	그렇지만/maj
자칫하면	자칫/mag+하/xsv+면/ecs
얼굴색이	얼굴/ncn+색/ncn+이/jcs
변하는	변하/pvg+는/etm
심각한	심각/ncps+하/xsm+ㄴ/etm
부작용을	부작용/ncn+을/jco
일으킬	일으키/pvg+ㄹ/etm
수도	수/nbn+도/jxc
있다고	있/paa+다/ef+고/jcr
합니다.	하/pvg+ㅂ니다/ef+./sf
지윤태	지윤태/nq
기자입니다	기자/ncn+이/jp+ㅂ니다/ef
맑고	맑/paa+고/ecc
고운	곱/paa+ㄴ/etm
피부를	피부/ncn+를/jco
원하는	원하/pvg+는/etm
여성들	여성/ncn+들/xsn
사이에	사이/ncn+에/jca
요즘	요즘/ncn
피부	피부/ncn
스케일링이라는	스케일링/ncn+이/jp+라/ef+는/etm
말이	말/ncn+이/jcs
유행처럼	유행/ncn+처럼/jca
퍼지고	퍼지/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
올해	올해/ncn
24살인	24/nnc+살/nbu+이/jp+ㄴ/etm
무용강사	무용/ncn+강사/ncn
서씨는	서/nq+씨/xsn+는/jxc
피부	피부/ncn
스케일링	스케일링/ncn
시술을	시술/ncn+을/jco
받은	받/pvg+은/etm
뒤	뒤/ncn
얼굴이	얼굴/ncn+이/jcs
아이처럼	아이/ncn+처럼/jca
고와졌다고	곱/paa+아/ecx+지/px+었/ep+다/ef+고/jcr
자랑합니다.	자랑/ncpa+하/xsv+ㅂ니다/ef+./sf
피부가	피부/ncn+가/jcs
어렸을	어리/paa+었/ep+을/etm
때처럼	때/ncn+처럼/jca
뽀송뽀송하게	뽀송뽀송/ncps+하/xsm+게/ecs
바뀌었어요.	바뀌/pvg+었/ep+어/ef+요/jxf+./sf
여자들이	여자/ncn+들/xsn+이/jcs
다	다/mag
예뻐지고	예쁘/paa+어/ecx+지/px+고/ecx
싶어하고	싶/px+어/ecx+하/px+고/ecc
더	더/mag
나은	낫/paa+은/etm
피부를	피부/ncn+를/jco
갖고	갖/pvg+고/ecx
싶어	싶/px+어/ecx
하잖아요	하/px+잖아/ef+요/jxf
피부	피부/ncn
스케일링은	스케일링/ncn+은/jxc
얼굴에	얼굴/ncn+에/jca
약품을	약품/ncn+을/jco
발라서	바르/pvg+아서/ecs
피부를	피부/ncn+를/jco
태우는	태우/pvg+는/etm
박피술을	박피/ncn+술/xsn+을/jco
응용한	응용/ncpa+하/xsv+ㄴ/etm
것으로써	것/nbn+으로써/jca
최근에	최근/ncn+에/jca
개발되었습니다.	개발/ncpa+되/xsv+었/ep+습니다/ef+./sf
종전의	종전/ncn+의/jcm
박피술처럼	박피/ncn+술/xsn+처럼/jca
피부	피부/ncn
깊숙이	깊숙/ncps+이/xsa
태우는	태우/pvg+는/etm
것이	것/nbn+이/jcc
아니라	아니/paa+라/ecs
각질층만	각질/ncn+층/xsn+만/jxc
벗겨내	벗기/pvg+어/ecx+내/px+어/ecs
표면을	표면/ncn+을/jco
매끄럽게	매끄럽/paa+게/ecx
만듭니다.	만들/px+ㅂ니다/ef+./sf
또	또/maj
진피를	진피/ncn+를/jco
자극해서	자극/ncpa+하/xsv+어서/ecs
탄력	탄력/ncn
있는	있/paa+는/etm
새살이	새/mma+살/ncn+이/jcs
돋게	돋/pvg+게/ecx
함으로써	하/px+ㅁ/etn+으로써/jca
피부	피부/ncn
노화를	노화/ncn+를/jco
막아	막/pvg+아/ecx
줍니다.	주/px+ㅂ니다/ef+./sf
시술할	시술/ncpa+하/xsv+ㄹ/etm
때	때/ncn
통증이	통증/ncn+이/jcs
거의	거의/mag
없으며	없/paa+으며/ecs
시술이	시술/ncn+이/jcs
끝난	끝/ncn+나/pvg+ㄴ/etm
뒤에는	뒤/ncn+에/jca+는/jxc
바로	바로/mag
화장하고	화장/ncpa+하/xsv+고/ecc
외출할	외출/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있습니다.	있/paa+습니다/ef+./sf
피부	피부/ncn
스케일링	스케일링/ncn
효과는	효과/ncn+는/jxc
6개월	6/nnc+개월/nbu
정도	정도/ncn
지속되며	지속/ncpa+되/xsv+며/ecc
피부	피부/ncn
탄력을	탄력/ncn+을/jco
유지하려면	유지/ncpa+하/xsv+려면/ecs
다시	다시/mag
시술	시술/ncn
받아야	받/pvg+아야/ecs
합니다	하/pvg+ㅂ니다/ef
우리	우리/npp
피부는	피부/ncn+는/jxc
시간이	시간/ncn+이/jcs
가면서	가/pvg+면서/ecs
약하고	약하/paa+고/ecc
가늘어지거든요.	가늘/paa+어/ecx+지/px+거든/ef+요/jxf+./sf
그런데	그런데/maj
위에다	위/ncn+에다/jca
어떤	어떤/mmd
자극을	자극/ncn+을/jco
줌으로	주/pvg+ㅁ/etn+으로/jca
인해서	인하/pvg+어서/ecs
이	이/mmd
섬유들이	섬유/ncn+들/xsn+이/jcs
굵고	굵/paa+고/ecc
튼튼하게	튼튼/ncps+하/xsm+게/ecs
바뀌는	바뀌/pvg+는/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
피부	피부/ncn
스케일링을	스케일링/ncn+을/jco
무턱대고	무턱대고/mag
받으면	받/pvg+으면/ecs
심각한	심각/ncps+하/xsm+ㄴ/etm
부작용을	부작용/ncn+을/jco
일으킬	일으키/pvg+ㄹ/etm
수도	수/nbn+도/jxc
있습니다.	있/paa+습니다/ef+./sf
얼굴	얼굴/ncn
자극에	자극/ncn+에/jca
민감한	민감/ncps+하/xsm+ㄴ/etm
사람은	사람/ncn+은/jxc
흉터가	흉터/ncn+가/jcs
남을	남/pvg+을/etm
수	수/nbn
있고	있/paa+고/ecc
기미가	기미/ncn+가/jcs
많은	많/paa+은/etm
경우에는	경우/ncn+에/jca+는/jxc
피부에	피부/ncn+에/jca
얼룩이	얼룩/ncn+이/jcs
질	지/pvg+ㄹ/etm
수도	수/nbn+도/jxc
있으므로	있/paa+으므로/ecs
반드시	반드시/mag
전문의를	전문의/ncn+를/jco
통해	통하/pvg+어/ecs
시술을	시술/ncn+을/jco
받아야	받/pvg+아야/ecs
한다고	하/pvg+ㄴ다/ef+고/jcr
의사들은	의사/ncn+들/xsn+은/jxc
지적합니다	지적/ncpa+하/xsv+ㅂ니다/ef
MBC	MBC/f
뉴스	뉴스/ncn
지윤태입니다.	지윤태/nq+이/jp+ㅂ니다/ef+./sf
오늘	오늘/ncn
오전	오전/ncn
지하철	지하철/ncn
1호선에	1/nno+호/nbu+선/ncn+에/jca
갑자기	갑자기/mag
전력	전력/ncn
공급이	공급/ncn+이/jcs
끊기면서	끊기/pvg+면서/ecs
지하철	지하철/ncn
운행이	운행/ncn+이/jcs
길게는	길/paa+게/ecs+는/jxc
30여분동안	30/nnc+여/xsn+분/nbu+동안/ncn
중단됐습니다.	중단/ncpa+되/xsv+었/ep+습니다/ef+./sf
이번	이/mmd+번/nbn
사고는	사고/ncn+는/jxc
하수도관	하수/ncn+도/xsn+관/ncn
공사	공사/ncn
중이던	중/nbn+이/jp+던/etm
크레인이	크레인/ncn+이/jcs
전동차에	전동/ncn+차/ncn+에/jca
전기를	전기/ncn+를/jco
공급해	공급/ncpa+하/xsv+어/ecs
주는	주/pvg+는/etm
전선을	전선/ncn+을/jco
잘못	잘못/mag
건드려서	건드리/pvg+어서/ecs
일어났습니다.	일어나/pvg+았/ep+습니다/ef+./sf
손쉽게	손쉽/paa+게/ecs
저지르는	저지르/pvg+는/etm
과실에	과실/ncn+에/jca
시민들의	시민/ncn+들/xsn+의/jcm
발은	발/ncn+은/jxc
묶였습니다.	묶이/pvg+었/ep+습니다/ef+./sf
유상하	유상하/nq
기자입니다.	기자/ncn+이/jp+ㅂ니다/ef+./sf
오늘	오늘/ncn
아침	아침/ncn
8시	8/nno+시/nbu
5분	5/nno+분/nbu
국철	국철/ncn
1호선	1/nno+호/nbu+선/ncn
인천선과	인천/nq+선/ncn+과/jcj
수원선	수원/nq+선/ncn
그리고	그리고/maj
안산선에	안산/nq+선/ncn+에/jca
42개역을	42/nnc+개/nbu+역/ncn+을/jco
달리던	달리/pvg+던/etm
전동차에	전동/ncn+차/ncn+에/jca
갑자기	갑자기/mag
전력	전력/ncn
공급이	공급/ncn+이/jcs
끊기면서	끊기/pvg+면서/ecs
전동차	전동/ncn+차/ncn
30여대가	30/nnc+여/xsn+대/nbu+가/jcs
이	이/mmd
순간	순간/ncn
일제히	일제/ncn+히/xsa
멈추었습니다.	멈추/pvg+었/ep+습니다/ef+./sf
물론	물론/mag
승객	승객/ncn
4만여명은	4만/nnc+여/xsn+명/nbu+은/jxc
멈추어선	멈추/pvg+어서/ecs+ㄴ/etm
전동차에	전동/ncn+차/ncn+에/jca
갇히고	갇히/pvg+고/ecx
말았고	말/px+았/ep+고/ecc
출근길	출근/ncn+길/ncn
시민들은	시민/ncn+들/xsn+은/jxc
때아닌	때/ncn+아니/paa+ㄴ/etm
전쟁을	전쟁/ncn+을/jco
치뤄야	치루/pvg+어야/ecs
했습니다.	하/px+었/ep+습니다/ef+./sf
출근	출근/ncn
시간	시간/ncn
바쁜	바쁘/paa+ㄴ/etm
때에	때/ncn+에/jca
갇혀	갇히/pvg+어/ecx
있으니까	있/px+으니까/ecs
짜증나고	짜증/ncn+나/pvg+고/ecc
미치겠더라고요.	미치/pvg+겠/ep+더/ep+라고/ef+요/jxf+./sf
철도청측은	철도청/nq+측/xsn+은/jxc
응급	응급/ncn
조치에	조치/ncn+에/jca
나서	나서/pvg+어/ecs
10여분	10/nnc+여/xsn+분/nbu
뒤	뒤/ncn
운행을	운행/ncn+을/jco
재개했습니다.	재개/ncpa+하/xsv+었/ep+습니다/ef+./sf
그러나	그러나/maj
전동차는	전동/ncn+차/ncn+는/jxc
가다서다를	가/pvg+다/ecs+서/pvg+다/ef+를/jco
반복하면서	반복/ncpa+하/xsv+면서/ecs
승객들의	승객/ncn+들/xsn+의/jcm
애를	애/ncn+를/jco
태웠고,	태우/pvg+었/ep+고/ecc+,/sp
연쇄적으로	연쇄/ncn+적/xsn+으로/jca
배차	배차/ncn
간격이	간격/ncn+이/jcs
늦춰지면서	늦추/pvg+어/ecx+지/px+면서/ecs
정시보다	정시/ncn+보다/jca
36분까지	36/nnc+분/nbu+까지/jxc
운행이	운행/ncn+이/jcs
지연되었습니다.	지연/ncpa+되/xsv+었/ep+습니다/ef+./sf
사고	사고/ncn
원인은	원인/ncn+은/jxc
어처구니	어처구니/ncn
없는	없/paa+는/etm
실수였습니다.	실수/ncn+이/jp+었/ep+습니다/ef+./sf
광명시	광명시/nq
철산동에	철산동/nq+에/jca
7호선	7/nno+호/nbu+선/ncn
역사	역사/ncn
신축	신축/ncn
현장에서	현장/ncn+에서/jca
하수관을	하수/ncn+관/ncn+을/jco
옮기던	옮기/pvg+던/etm
크레인이	크레인/ncn+이/jcs
1호선	1/nno+호/nbu+선/ncn
전철에	전철/ncn+에/jca
전기를	전기/ncn+를/jco
공급해	공급/ncpa+하/xsv+어/ecs
주는	주/pvg+는/etm
송전	송전/ncn
고압선을	고압/ncn+선/ncn+을/jco
건드렸기	건드리/pvg+었/ep+기/etn
때문이었습니다.	때문/nbn+이/jp+었/ep+습니다/ef+./sf
간격	간격/ncn
유지를	유지/ncn+를/jco
갖다가	갖/pvg+다가/ecs
한	한/mma
4m정도	4/nnc+m/su+정도/ncn
맞췄다고	맞추/pvg+었/ep+다/ef+고/jcr
생각하는데.	생각/ncpa+하/xsv+는데/ef+./sf
더욱이	더욱이/mag
시공업체는	시공/ncn+업체/ncn+는/jxc
15만	15만/nnc
킬로와트의	킬로와트/nbu+의/jcm
전기가	전기/ncn+가/jcs
흐르는	흐르/pvg+는/etm
고압선	고압/ncn+선/ncn
아래에서	아래/ncn+에서/jca
작업하면서도	작업/ncpa+하/xsv+면서/ecs+도/jxc
철도청측에	철도청/nq+측/xsn+에/jca
신고하지	신고/ncpa+하/xsv+지/ecx
않았습니다.	않/px+았/ep+습니다/ef+./sf
작업	작업/ncn
자체가	자체/ncn+가/jcs
현장	현장/ncn
정리용	정리/ncn+용/xsn
작업이기	작업/ncn+이/jp+기/etn
때문에	때문/nbn+에/jca
아주	아주/mag
간단한	간단/ncps+하/xsm+ㄴ/etm
작업이므로	작업/ncn+이/jp+므로/ecs
자체	자체/ncn
통보를	통보/ncn+를/jco
하지	하/pvg+지/ecx
못하고	못하/px+고/ecc
그냥	그냥/mag
작업이	작업/ncn+이/jcs
이루어졌습니다.	이루/pvg+어/ecx+지/px+었/ep+습니다/ef+./sf
고압전선에	고압/ncn+전선/ncn+에/jca
접근하면	접근/ncpa+하/xsv+면/ecs
안된다는	안/mag+되/pvg+ㄴ다/ef+는/etm
최소한의	최소한/ncn+의/jcm
수칙조차	수칙/ncn+조차/jxc
지키지	지키/pvg+지/ecx
않는	않/px+는/etm
안전	안전/ncn
불감증	불감/ncn+증/xsn
때문에	때문/nbn+에/jca
출근길	출근/ncn+길/ncn
수많은	수/ncn+많/paa+은/etm
시민들이	시민/ncn+들/xsn+이/jcs
전동차	전동/ncn+차/ncn
안에	안/ncn+에/jca
갖혀있는	갖히/pvg+어/ecx+있/px+는/etm
고통을	고통/ncn+을/jco
겪어야	겪/pvg+어야/ecs
했습니다	하/px+었/ep+습니다/ef
MBC	MBC/f
뉴스	뉴스/ncn
유상하입니다.	유상하/nq+이/jp+ㅂ니다/ef+./sf
천억원대의	천억/nnc+원/nbu+대/xsn+의/jcm
재산을	재산/ncn+을/jco
남긴	남기/pvg+ㄴ/etm
채	채/nbn
대한항공기	대한항공/nq+기/xsn
괌	괌/nq
추락	추락/ncn
사고로	사고/ncn+로/jca
숨진	숨/ncn+지/pvg+ㄴ/etm
인천	인천/nq
거부	거부/ncn
이성철씨의	이성철/nq+씨/xsn+의/jcm
집을	집/ncn+을/jco
놓고,	놓/pvg+고/ecc+,/sp
이씨의	이/nq+씨/xsn+의/jcm
형제들과	형제/ncn+들/xsn+과/jcj
