<tdmsfile>
<tdmsfile>
Chosun2. 2차 수정 hwp
새로운	새롭/paa+ㄴ/etm
창구가	창구/ncn+가/jcs
되겠다"고	되/pvg+겠/ep+다/ef+"/sr+고/jcr
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
노	노/nq
부총재는	부총재/ncn+는/jxc
한나라당의	한나라당/nq+의/jcm
'남이가'전략은	'/sl+남/ncn+이가/jcs+'/sl+전략/ncn+은/jxc
'호남따돌리기'라고	'/sl+호남/nq+따돌리/pvg+기/etn+'/sl+라/ef+고/jcr
규정했다.	규정/ncpa+하/xsv+었/ep+다/ef+./sf
그는	그/npp+는/jxc
"지난	"/sl+지나/pvg+ㄴ/etm
대선의	대선/ncn+의/jcm
지역감정은	지역/ncn+감정/ncn+은/jxc
우리	우리/npp
지역대통령을	지역/ncn+대통령/ncn+을/jco
만들자는	만들/pvg+자/ef+는/etm
것이지만,	것/nbn+이/jp+지만/ecs+,/sp
지금의	지금/ncn+의/jcm
지역감정은	지역/ncn+감정/ncn+은/jxc
남의	남/ncn+의/jcm
지역출신은	지역/ncn+출신/ncn+은/jxc
안된다는	안/mag+되/paa+ㄴ다/ef+는/etm
식의	식/ncn+의/jcm
'호남따돌리기'"라며	'/sl+호남/nq+따돌리/pvg+기/ncn+'/sr+"/sr+라며/ecs
"지역갈등을	"/sl+지역/ncn+갈등/ncn+을/jco
해소하지	해소/ncpa+하/xsv+지/ecx
않고는	않/px+고/ecc+는/jxc
한발짝도	한/nnc+발짝/nbu+도/jxc
발전을	발전/ncn+을/jco
향해	향하/pvg+어/ecs
나아갈	나아가/pvg+ㄹ/etm
수	수/nbn
없다"고	없/paa+다/ef+"/sr+고/jcr
강조했다.	강조/ncpa+하/xsv+었/ep+다/ef+./sf
신한국당과	신한국당/nq+과/jcj
민주당은	민주당/nq+은/jxc
21일	21/nno+일/nbu
대전	대전/nq
충무체육관에서	충무체육관/nq+에서/jca
합당	합당/ncn
전당대회를	전당/ncn+대회/ncn+를/jco
열고	열/pvg+고/ecc
양당의	양당/ncn+의/jcm
합당을	합당/ncn+을/jco
의결,	의결/ncn+,/sp
통합신당인	통합/ncn+신당/ncn+이/jp+ㄴ/etm
한나라	nq[한나라/nq
당을	당/ncn]nq+을/jco
공식출범시켰다.	공식/ncn+출범/ncpa+시키/xsv+었/ep+다/ef+./sf
한나라당은	한나라당/nq+은/jxc
신한국당	신한국당/nq
이회창	이회창/nq
총재를	총재/ncn+를/jco
대통령후보로	대통령/ncn+후보/ncn+로/jca
추대하고,	추대/ncpa+하/xsv+고/ecc+,/sp
민주당	민주당/nq
조순	조순/nq
총재를	총재/ncn+를/jco
초대	초대/ncn
총재로	총재/ncn+로/jca
선출했다.	선출/ncpa+하/xsv+었/ep+다/ef+./sf
조총재는	조/nq+총재/ncn+는/jxc
신한국당	신한국당/nq
이한동	이한동/nq
대표를	대표/ncn+를/jco
신당의	신당/ncn+의/jcm
대표로	대표/ncn+로/jca
지명했다	지명/ncpa+하/xsv+었/ep+다/ef
이후보는	이/nq+후보/ncn+는/jxc
명예총재로	명예/ncn+총재/ncn+로/jca
추대됐다.	추대/ncpa+되/xsv+었/ep+다/ef+./sf
한나라당은	한나라당/nq+은/jxc
이날	이/mmd+날/ncn
9개항의	9/nnc+개/nbu+항/ncn+의/jcm
강령과	강령/ncn+과/jcj
62개항의	62/nnc+개/nbu+항/ncn+의/jcm
기본정책을	기본/ncn+정책/ncn+을/jco
채택하면서,	채택/ncpa+하/xsv+면서/ecc+,/sp
신한국당	신한국당/nq
정강정책	정강/ncn+정책/ncn
전문에	전문/ncn+에/jca
들어있던	들어있/pvg+던/etm
'역사	'/sl+역사/ncn
바로세우기'를	바로/mag+세우/pvg+기/etn+'/sr+를/jco
삭제하고,	삭제/ncpa+하/xsv+고/ecc+,/sp
금융	금융/ncn
실명제와	실명/ncn+제/xsn+와/jcj
부동산	부동산/ncn
실명제의	실명/ncn+제/xsn+의/jcm
보완을	보완/ncn+을/jco
주요	주요/ncn
정책으로	정책/ncn+으로/jca
제시했다.	제시/ncpa+하/xsv+었/ep+다/ef+./sf
신한국당은	신한국당/nq+은/jxc
합당	합당/ncn
전당대회에	전당/ncn+대회/ncn+에/jca
앞서	앞서/mag
4차	4/nno+차/nbu
전당대회를	전당/ncn+대회/ncn+를/jco
열어	열/pvg+어/ecs
10여분만에	10/nnc+여/xsn+분/nbu+만/jxc+에/jca
민주당과의	민주당/nq+과/jct+의/jcm
합당을	합당/ncn+을/jco
의결했다.	의결/ncpa+하/xsv+었/ep+다/ef+./sf
이후보는	이/nq+후보/ncn+는/jxc
대통령	대통령/ncn
후보	후보/ncn
수락연설에서	수락/ncn+연설/ncn+에서/jca
"한나라당은	"/sl+한나라당/nq+은/jxc
3김	3/nnc+김/nq
장기구도를	장기/ncn+구도/ncn+를/jco
끝내고,	끝내/pvg+고/ecc
국민대통합의	국민/ncn+대/xp+통합/ncn+의/jcm
시대를	시대/ncn+를/jco
열어갈	열/pvg+어/ecx+가/px+ㄹ/etm
정치세력이	정치/ncn+세력/ncn+이/jcs
모인	모이/pvg+ㄴ/etm
정당"이라며	정당/ncn+"/sr+이/jp+라며/ecs
"집권	"/sl+집권/ncn
하면	하/pvg+면/ecs
최우선	최우선/ncn
과제로	과제/ncn+로/jca
위기에	위기/ncn+에/jca
처한	처하/pvg+ㄴ/etm
경제를	경제/ncn+를/jco
살리고	살리/pvg+고/ecc
민생을	민생/ncn+을/jco
안정시키는데	안정/ncn+시키/xsv+는데/ecs
총력을	총력/ncn+을/jco
기울이겠다"고	기울이/pvg+겠/ep+다/ef+"/sr+고/jcr
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
3년만기	3/nnc+년/nbu+만기/ncn
회사채	회사채/ncn
수익률이	수익/ncn+률/xsn+이/jcs
연	연/ncn
14.5%로	14.5/nnc+%/su+로/jca
상승,	상승/ncn+,/sp
2년4개월여만에	2/nnc+년/nbu+4/nnc+개월/nbu+여/xsn+만/nbn+에/jxc
최고치를	최고/ncn+치/xsn+를/jco
기록했다.	기록/ncpa+하/xsv+었/ep+다/ef+./sf
21일	21/nno+일/nbu
자금시장에서	자금/ncn+시장/ncn+에서/jca
3년만기	3/nnc+년/nbu+만기/ncn
은행보증	은행/ncn+보증/ncn
회사채	회사채/ncn
수익률은	수익/ncn+률/xsn+은/jxc
전날보다	전날/ncn+보다/jca
0.2	0.2/nnc
%포인트	%/su+포인트/nbu
상승한	상승/ncpa+하/xsv+ㄴ/etm
연	연/ncn
14.5%를	14.5/nnc+%/su+를/jco
기록,	기록/ncn+,/sp
95년	95/nno+년/nbu
7월4일(연	7/nno+월/nbu+4/nno+일/nbu+(/sl+연/mma
14.53%)	14.53/nnc+%/su+)/sr
이후	이후/ncn
최고치로	최고/ncn+치/xsn+로/jca
올라섰다.	오르/pvg+아/ecs+서/pvg+었/ep+다/ef+./sf
그러나	그러나/maj
콜금리는	콜금리/ncn+는/jxc
전날보다	전날/ncn+보다/jca
0.22%포인트	0.22/nnc+%/su+포인트/nbu
하락한	하락/ncpa+하/xsv+ㄴ/etm
14.87%로	14.87/nnc+%/su+로/jca
마감했으며	마감/ncpa+하/xsv+었/ep+으며/ecs
기업어음(CP)도	기업/ncn+어음/ncn+(/sl+CP/f+)/sr+도/jxc
유통수익률이	유통/ncn+수익/ncn+률/xsn+이/jcs
전날보다	전날/ncn+보다/jca
0.33%포인트	0.33/nnc+%/su+포인트/nbu
하락한	하락/ncpa+하/xsv+ㄴ/etm
연	연/ncn
17.97%를	17.97/nnc+%/su+를/jco
기록했다.	기록/ncpa+하/xsv+었/ep+다/ef+./sf
98학년도	98/nno+학년/nbu+도/jxc
대학입시에서	대학/ncn+입시/ncn+에서/jca
서울대	서울대/nq
상위권	상위/ncn+권/xsn
학과에	학과/ncn+에/jca
지원하기	지원/ncpa+하/xsv+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
대학수학능력시험	대학/ncn+수학/ncn+능력/ncn+시험/ncn
3백70점	3백/nnc+70/nnc+점/nbu
안팎,	안팎/nbn+,/sp
연-고대	연/nq+-/sd+고대/nq
상위권	상위/ncn+권/xsn
학과는	학과/ncn+는/jxc
3백50점	3백/nnc+50/nnc+점/nbu
안팎의	안팎/nbn+의/jcm
성적을	성적/ncn+을/jco
얻어야	얻/pvg+어야/ecx
하는	하/px+는/etm
등	등/nbn
대부분	대부분/ncn
대학의	대학/ncn+의/jcm
학과별	학과/ncn+별/xsn
지원가능	지원/ncn+가능/ncn
점수가	점수/ncn+가/jcs
작년보다	작년/ncn+보다/jca
50점	50/nnc+점/nbu
이상	이상/ncn
대폭	대폭/mag
오를	오르/pvg+ㄹ/etm
것으로	것/nbn+으로/jca
보인다.	보이/pvg+ㄴ다/ef+./sf
나산	nq[나산/nq
플라망스의	플라망스/nq]nq+의/jcm
백인	백인/ncn
센터	센터/ncn
브라이언	nq[브라이언/nq
브루소가	브루소/nq]nq+가/jcs
이버츠	이버츠/nq
망령을	망령/ncn+을/jco
떨쳐	떨치/pvg+어/ecx
냈다.	내/px+었/ep+다/ef+./sf
그러나	그러나/maj
지난	지나/pvg+ㄴ/etm
시즌	시즌/ncn
용병중	용병/ncn+중/nbn
살아남은	살/pvg+아/ecs+남/pvg+은/etm
선수는	선수/ncn+는/jxc
나래의	나래/nq+의/jcm
제이슨	nq[제이슨/nq
윌리포드와	윌리포드/nq]nq+와/jcj
기아의	기아/nq+의/jcm
클리프	nq[클리프/nq
리드	리드/nq]nq
뿐이었다.	뿐/nbn+이/jp+었/ep+다/ef+./sf
이버츠는	이버츠/nq+는/jxc
나머지	나머지/ncn
용병들이	용병/ncn+들/xsn+이/jcs
그랬던	그리하/pvd+었/ep+던/etm
것처럼	것/nbn+처럼/jca
짐을	짐/ncn+을/jco
싸야	싸/pvg+아야/ecs
했다.	하/pvg+었/ep+다/ef+./sf
한국에서	한국/nq+에서/jca
농구	농구/ncn
인생을	인생/ncn+을/jco
계속하고	계속/ncpa+하/xsv+고/ecx
싶다는	싶/px+다/ef+는/etm
의사를	의사/ncn+를/jco
계속	계속/mag
표명했지만	표명/ncpa+하/xsv+었/ep+지만/ecs
나산은	나산/nq+은/jxc
올	올/ncn
시즌	시즌/ncn
트라이아웃서	트라이아웃/ncn+서/jca
더	더/mag
좋은	좋/paa+은/etm
용병들을	용병/ncn+들/xsn+을/jco
스카우트할	스카우트/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다는	있/paa+다/ef+는/etm
기대로	기대/ncn+로/jca
재계약을	재/xp+계약/ncn+을/jco
거부했다.	거부/ncpa+하/xsv+었/ep+다/ef+./sf
나산은	나산/nq+은/jxc
이버츠와	이버츠/ncn+와/jcj
다른	다르/paa+ㄴ/etm
구단과의	구단/ncn+과/jct+의/jcm
계약도	계약/ncn+도/jxc
방해했다.	방해/ncpa+하/xsv+었/ep+다/ef+./sf
이버츠는	이버츠/nq+는/jxc
공항에서	공항/ncn+에서/jca
한국팬이	한국/nq+팬/ncn+이/jcs
준	주/pvg+ㄴ/etm
선물을	선물/ncn+을/jco
받아들고	받/pvg+아/ecs+들/pvg+고/ecc
눈물을	눈물/ncn+을/jco
글썽였고,	글썽/pvg+이/jp+었/ep+고/ecc+,/sp
이	이/mmd
모습은	모습/ncn+은/jxc
한국	한국/nq
팬들에게	팬/ncn+들/xsn+에게/jca
깊은	깊/paa+은/etm
인상을	인상/ncn+을/jco
남겼다	남기/pvg+었/ep+다/ef
그런	그런/mmd
이버츠가	이버츠/nq+가/jcs
브루소에게는	브루소/nq+에게/jca+는/jxc
큰	크/paa+ㄴ/etm
부담이었다.	부담/ncn+이/jp+었/ep+다/ef+./sf
브루소의	브루소/nq+의/jcm
체면을	체면/ncn+을/jco
위해서	위하/pvg+어서/ecs
그리고	그리고/maj
나산	나산/nq
구단의	구단/ncn+의/jcm
체면을	체면/ncn+을/jco
위해서	위하/pvg+어서/ecs
브루소는	브루소/nq+는/jxc
이버츠에	이버츠/nq+에/jca
버금가는	버금/ncn+가/pvg+는/etm
플레이를	플레이/ncn+를/jco
할	하/pvg+ㄹ/etm
필요가	필요/ncn+가/jcs
있었다.	있/paa+었/ep+다/ef+./sf
그러나	그러나/maj
브루소의	브루소/nq+의/jcm
성적은	성적/ncn+은/jxc
그만큼은	그/npd+만큼/jxc+은/jxc
되지	되/pvg+지/ecs
못했다.	못/ncpa+하/xsv+었/ep+다/ef+./sf
리바운드는	리바운드/ncn+는/jxc
11.7개로	11.7/nnc+개/nbu+로/jca
비슷한	비슷/ncps+하/xsm+ㄴ/etm
기록을	기록/ncn+을/jco
갖고	갖/pvg+고/ecx
있지만	있/px+지만/ecs
평균득점은	평균/ncn+득점/ncn+은/jxc
15.3점에	15.3/nnc+점/nbu+에/jca
그쳤다	그치/pvg+었/ep+다/ef
소속팀도	소속/ncn+팀/ncn+도/jxc
3연패를	3/nnc+연패/ncn+를/jco
하고	하/pvg+고/ecx
있었다.	있/px+었/ep+다/ef+./sf
따라서	따라서/maj
20일	20/nno+일/nbu
공동	공동/ncn
최하위팀인	최하위/ncn+팀/ncn+이/jp+ㄴ/etm
SBS전에	nq[SBS/f+전/xsn]nq+에/jca
나서는	나서/pvg+는/etm
브루소의	브루소/nq+의/jcm
마음가짐은	마음가짐/ncn+은/jxc
비장할	비장/ncps+하/xsm+ㄹ/etm
수밖에	수/nbn+밖에/jxc
없었다.	없/paa+었/ep+다/ef+./sf
그런데도	그런데/maj+도/jxc
처음엔	처음/ncn+에/jca+ㄴ/jxc
잘	잘/mag
안	안/mag
풀렸다.	풀리/pvg+었/ep+다/ef+./sf
1쿼터	1/nno+쿼터/nbu
9분40초	9/nnc+분/nbu+40/nnc+초/nbu
김상식이	김상식/nq+이/jcs
이어준	잇/pvg+어/ecx+주/px+ㄴ/etm
공을	공/ncn+을/jco
넣어	넣/pvg+어/ecs
첫	첫/mma
득점에	득점/ncn+에/jca
성공했다.	성공/ncpa+하/xsv+었/ep+다/ef+./sf
2점에	2/nnc+점/nbu+에/jca
리바운드는	리바운드/ncn+는/jxc
6개.	6/nnc+개/nbu+./sf
2쿼터에서는	2/nno+쿼터/nbu+에서/jca+는/jxc
9점	9/nnc+점/nbu
7리바운드.	7/nnc+리바운드/nbu+./sf
괜찮은	괜찮/paa+은/etm
기록이었지만	기록/ncn+이/jp+었/ep+지만/ecs
3쿼터	3/nno+쿼터/nbu
들어서	들/pvg+어서/ecs
다시	다시/mag
4점	4/nnc+점/nbu
1리바운드에	1/nnc+리바운드/nbu+에/jca
그쳤다.	그치/pvg+었/ep+다/ef+./sf
위기에	위기/ncn+에/jca
몰린	몰리/pvg+ㄴ/etm
브루소는	브루소/nq+는/jxc
4쿼터	4/nno+쿼터/ncn
마지막	마지막/ncn
순간	순간/ncn
투혼을	투혼/ncn+을/jco
발휘했다.	발휘/ncpa+하/xsv+었/ep+다/ef+./sf
경기	경기/ncn
종료	종료/ncn
17초전	17/nnc+초/nbu+전/ncn
78대	78/nnc+대/nbn
78	78/nnc
상황.	상황/ncn+./sf
SBS	SBS/f
래리	nq[래리/nq
데이비스의	데이비스/nq]nq+의/jcm
슛이	슛/ncn+이/jcs
빗나가는	빗나가/pvg+는/etm
순간	순간/mag
솟구쳐올라	솟구치/pvg+어/ecs+오르/pvg+아/ecs
필사적으로	필사/ncn+적/xsn+으로/jca
리바운드를	리바운드/ncn+를/jco
잡아냈다.	잡/pvg+아/ecx+내/px+었/ep+다/ef+./sf
SBS	SBS/f
수비수의	수비/ncn+수/xsn+의/jcm
반칙으로	반칙/ncn+으로/jca
자유투까지	자유투/ncn+까지/jxc
얻어냈다.	얻/pvg+어/ecs+내/px+었/ep+다/ef+./sf
전날까지	전날/ncn+까지/jxc
자유투	자유투/ncn
성공률	성공/ncn+률/xsn
55%를	55/nnc+%/su+를/jco
기록했던	기록/ncpa+하/xsv+었/ep+던/etm
브루소의	브루소/nq+의/jcm
첫번째	첫/nno+번째/nbu
공이	공/ncn+이/jcs
림을	림/ncn+을/jco
세번튀기고	세/nnc+번/nbu+튀기/pvg+고/ecc
아슬아슬하게	아슬아슬/ncps+하/xsm+게/ecs
들어갔다.	들/pvg+어/ecx+가/px+았/ep+다/ef+./sf
두번째는	두/nno+번째/nbu+는/jxc
클린슛.	클린슛/ncn+./sf
브루소는	브루소/nq+는/jxc
불끈	불끈/mag
주먹을	주먹/ncn+을/jco
쥐었다.	쥐/pvg+었/ep+다/ef+./sf
박빙의	박빙/nq+의/jcm
승부는	승부/ncn+는/jxc
이자유투를	이/npd+자유투/ncn+를/jco
계기로	계기/ncn+로/jca
나산의	나산/nq+의/jcm
극적인	극적/ncn+이/jp+ㄴ/etm
역전승	역전/ncn+승/ncn
으로	으로/jca
마무리됐다	마무리/ncpa+되/xsv+었/ep+다/ef
부르소는	부르소/nq+는/jxc
처음으로	처음/ncn+으로/jca
선수들과	선수/ncn+들/xsn+과/jcj
하이파이브를	하이파이브/ncn+를/jco
나누며	나누/pvg+며/ecc
기쁨을	기쁨/ncn+을/jco
만끽했다.	만끽/ncpa+하/xsv+었/ep+다/ef+./sf
득점	득점/ncn
23점도	23/nnc+점/nbu+도/jxc
괜찮은	괜찮/paa+은/etm
수준인데다	수준/ncn+이/jp+ㄴ데다/ecs
리바운드는	리바운드/ncn+는/jxc
18개나	18/nnc+개/nbu+나/jxc
잡아냈다	잡/pvg+아/ecx+내/px+었/ep+다/ef
브루소로서는	브루소/nq+로서/jca+는/jxc
경기	경기/ncn
내용과	내용/ncn+과/jcj
기록,	기록/ncn+,/sp
승부	승부/ncn
모두에	모두/ncn+에/jca
스스로	스스로/mag
만족할	만족/ncps+하/xsm+ㄹ/etm
수	수/nbn
있었다.	있/paa+었/ep+다/ef+./sf
그는	그/npp+는/jxc
비로소	비로소/mag
'이버츠	'/sl+이버츠/nq
망령'에서	망령/ncn+'/sr+에서/jca
벗어날	벗/pvg+어/ecx+나/px+ㄹ/etm
수	수/nbn
있었다.	있/paa+었/ep+다/ef+./sf
한국과	한국/nq+과/jcj
일본은	일본/nq+은/jxc
제2차	제/xp+2/nno+차/nbu
직선기선	직선/ncn+기선/ncn
전문가회의를	전문/ncn+가/xsn+회의/ncn+를/jco
25일부터	25/nno+일/nbu+부터/jxc
이틀간	이틀/ncn+간/xsn
서울에서	서울/nq+에서/jca
개최하고	개최/ncpa+하/xsv+고/ecc
올해	올해/ncn
제7차	제/xp+7/nno+차/nbu
어업실무자회의를	어업/ncn+실무/ncn+자/xsn+회의/ncn+를/jco
26일부터	26/nno+일/nbu+부터/jxc
사흘간	사흘/ncn+간/xsn
서울에서	서울/nq+에서/jca
개최키로	개최/ncpa+키/etn+로/jca
합의했다.	합의/ncpa+하/xsv+었/ep+다/ef+./sf
태경제협력체	태경제협력체/nq
각료회의	각료/ncn+회의/ncn
참석을	참석/ncn+을/jco
계기로	계기/ncn+로/jca
22일	22/nno+일/nbu
오후	오후/ncn
양국	양국/ncn
외무장관회담을	외무/ncn+장관/ncn+회담/ncn+을/jco
갖고	갖/pvg+고/ecc
이같이	이/npd+같이/mag
합의했다고	합의/ncpa+하/xsv+었/ep+다/ef+고/jcr
외무부가	외무/ncn+부/xsn+가/jcs
발표했다.	발표/ncpa+하/xsv+었/ep+다/ef+./sf
정부는	정부/ncn+는/jxc
직선기선	직선/ncn+기선/ncn
전문가회의에서	전문/ncn+가/xsn+회의/ncn+에서/jca
일본측이	일본/nq+측/xsn+이/jcs
일방적으로	일방/ncn+적/xsn+으로/jca
설정한	설정/ncpa+하/xsv+ㄴ/etm
직선기선이	직선/ncn+기선/ncn+이/jcs
한일어업협정	한일어업협정/nq
위반이며,	위반/ncn+이/jp+며/ecc+,/sp
국제법	국제/ncn+법/ncn
규정에도	규정/ncn+에/jca+도/jxc
맞지	맞/pvg+지/ecx
않는다는	않/px+는다/ef+는/etm
점을	점/ncn+을/jco
지적하고	지적/ncpa+하/xsv+고/ecc
이의	이/npd+의/jcm
시행을	시행/ncn+을/jco
유보해줄	유보/ncpa+하/xsv+어/ecx+주/px+ㄹ/etm
것을	것/nbn+을/jco
촉구할	촉구/ncpa+하/xsv+ㄹ/etm
방침이다.	방침/ncn+이/jp+다/ef+./sf
한일	한일/nq
양국은	양국/ncn+은/jxc
특히	특히/mag
이번	이번/ncn
어업실무자회담을	어업/ncn+실무/ncn+자/xsn+회담/ncn+을/jco
통해	통하/pvg+어/ecs
개림호	개림호/nq
나포사건으로	나포/ncn+사건/ncn+으로/jca
교착상태에빠진	교착/ncn+상태/ncn+에/jca+빠지/pvg+ㄴ/etm
양국간	양국/ncn+간/nbn
어업협정	어업/ncn+협정/ncn
개정교섭을	개정/ncn+교섭/ncn+을/jco
본격화할	본격/ncn+화/xsn+하/xsv+ㄹ/etm
계획이다.	계획/ncn+이/jp+다/ef+./sf
그러나	그러나/maj
일본측은	일본/nq+측/xsn+은/jxc
어업협정	어업/ncn+협정/ncn
교섭의	교섭/ncn+의/jcm
타결을	타결/ncn+을/jco
위한	위하/pvg+ㄴ/etm
한국측	한국/nq+측/xsn
의지를	의지/ncn+를/jco
확인한뒤	확인/ncn+하/pvg+ㄴ/etm+뒤/ncn
현행	현행/ncn
협정의	협정/ncn+의/jcm
연내	연내/ncn
파기여부를	파기/ncn+여부/ncn+를/jco
결정할	결정/ncpa+하/xsv+ㄹ/etm
방침인	방침/ncn+이/jp+ㄴ/etm
것으로	것/nbn+으로/jca
알려져	알리/pvg+어/ecx+지/px+어/ecs
협의결과가	협의/ncn+결과/ncn+가/jcs
주목된다.	주목/ncpa+되/xsv+ㄴ다/ef+./sf
경북	경북/nq
표밭갈이를	표/ncn+밭/ncn+갈/pvg+이/etn+를/jco
위해	위하/pvg+어/ecs
포항으로	포항/nq+으로/jca
갔다.	가/pvg+았/ep+다/ef+./sf
경북지역에	경북/nq+지역/ncn+에/jca
대한공략에	대하/pvg+ㄴ/etm+공략/ncn+에/jca
나섰다.	나서/pvg+었/ep+다/ef+./sf
K공략에	K/f+공략/ncn+에/jca
나설	나서/pvg+ㄹ/etm
계획이다.	계획/ncn+이/jp+다/ef+./sf
미셸	nq[미셸/nq
캉드쉬	캉드쉬/nq]nq
IMF총재는	IMF/f+총재/ncn+는/jxc
IMF의	IMF/f+의/jcm
지원은	지원/ncn+은/jxc
국제적인	국제/ncn+적/xsn+이/jp+ㄴ/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
말함으로써	말하/pvg+ㅁ/etn+으로써/jca
IMF의	IMF/f+의/jcm
직접원조	직접/ncn+원조/ncn
뿐아니라	뿐/nbn+아니/paa+라/ef
미국과	미국/nq+과/jcj
일본	일본/nq
등	등/nbn
개별	개별/ncn
국가	국가/ncn
차원의	차원/ncn+의/jcm
지원도	지원/ncn+도/jxc
이루어질	이루/pvg+어/ecx+지/px+ㄹ/etm
것임을	것/nbn+이/jp+ㅁ/etn+을/jco
시사했다.	시사/ncpa+하/xsv+었/ep+다/ef+./sf
캉드쉬	캉드쉬/nq
총재는	총재/ncn+는/jxc
그러나	그러나/maj
예상되는	예상/ncpa+되/xsv+는/etm
구제금융	구제/ncn+금융/ncn
총액의	총액/ncn+의/jcm
규모와	규모/ncn+와/jcj
이에	이/npd+에/jca
참여할	참여/ncpa+하/xsv+ㄹ/etm
기구	기구/ncn
또는	또는/maj
국가에	국가/ncn+에/jca
대해서는	대하/pvg+어서/ecs+는/jxc
구체적으로	구체/ncn+적/xsn+으로/jca
밝히지	밝히/pvg+지/ecx
않았다.	않/px+았/ep+다/ef+./sf
한국	한국/nq
정부는	정부/ncn+는/jxc
금융위기에서	금융/ncn+위기/ncn+에서/jca
벗어나기	벗/pvg+어/ecx+나/px+기/etn
위해	위하/pvg+어/ecs
필요한	필요/ncps+하/xsm+ㄴ/etm
외화지원	외화/ncn+지원/ncn
규모가	규모/ncn+가/jcs
2백억달러인것으로	2백억/nnc+달러/nbu+이/jp+ㄴ/etm+것/nbn+으로/jca
평가하고	평가/ncpa+하/xsv+고/ecx
있으나	있/px+으나/ecs
민간	민간/ncn
금융전문가들은	금융/ncn+전문/ncn+가/xsn+들/xsn+은/jxc
최고	최고/ncn
6백억달러까지로	6백억/nnc+달러/nbu+까지/jxc+로/jca
잡고	잡/pvg+고/ecx
있다.	있/px+다/ef+./sf
입시	입시/ncn
계절이	계절/ncn+이/jcs
되면서	되/pvg+면서/ecs
우수	우수/ncn
학생들을	학생/ncn+들/xsn+을/jco
유치하려는	유치/ncpa+하/xsv+려는/etm
대학들의	대학/ncn+들/xsn+의/jcm
발걸음도	발/ncn+걸음/ncn+도/jxc
바빠지고	바쁘/paa+아/ecx+지/px+고/ecx
있다.	있/px+다/ef+./sf
성균관대는	성균관대/nq+는/jxc
수능시험	수능/ncn+시험/ncn
다음	다음/ncn
날인	날/ncn+이/jp+ㄴ/etm
20일부터	20/nno+일/nbu+부터/jxc
부산을	부산/nq+을/jco
시작으로,	시작/ncn+으로/jca+,/sp
전국	전국/ncn
9	9/nnc
개	개/nbu
지역을	지역/ncn+을/jco
돌며	돌/pvg+며/ecc
대학	대학/ncn
설명회를	설명/ncn+회/xsn+를/jco
열고	열/pvg+고/ecx
있다.	있/px+다/ef+./sf
부총장	부총장/ncn
등	등/nbn
교수	교수/ncn
및	및/maj
교직원	교직/ncn+원/xsn
8명과	8/nnc+명/nbu+과/jcj
홍보담당	홍보/ncn+담당/ncn
학생인	학생/ncn+이/jp+ㄴ/etm
'알리미'	'/sl+알리미/ncn+'/sl
18명이	18/nnc+명/nbu+이/jcs
동참하는	동참/ncpa+하/xsv+는/etm
이번	이번/ncn
설명회에는	설명/ncn+회/xsn+에/jca+는/jxc
5t트럭	5/nnc+t/su+트럭/ncn
2대를	2/nnc+대/nbu+를/jco
이용,	이용/ncn+,/sp
논술	논술/ncn
참고자료와	참고/ncn+자료/ncn+와/jcj
볼펜과	볼펜/ncn+과/jct
다이어리	다이어리/ncn
등	등/nbn
기념품을	기념/ncn+품/xsn+을/jco
실어나른다.	싣/pvg+어/ecs+나르/pvg+ㄴ다/ef+./sf
또	또/maj
설명회	설명/ncn+회/xsn
중간에	중간/ncn+에/jca
'성균관대	'/sl+성균관대/nq
마스코트는	마스코트/ncn+는/jxc
무엇일까요'	무엇/npd+이/jp+ㄹ까/ef+요/jxf+'/sr
등의	등/nbn+의/jcm
퀴즈를	퀴즈/ncn+를/jco
낸	내/pvg+ㄴ/etm
뒤	뒤/nbn
맞추는	맞추/pvg+는/etm
학생에겐	학생/ncn+에게/jca+ㄴ/jxc
소형카세트라디오를	소형/ncn+카세트/ncn+라디오/ncn+를/jco
경품으로	경품/ncn+으로/jca
주고	주/pvg+고/ecc
입학원서	입학/ncn+원서/ncn
1만	1만/nnc
여	여/xsn
장도	장/nbu+도/jxc
무료	무료/ncn
배부한다.	배부/ncpa+하/xsv+ㄴ다/ef+./sf
경희대는	경희대/nq+는/jxc
학생들을	학생/ncn+들/xsn+을/jco
찾아다니는	찾/pvg+아/ecs+다니/pvg+는/etm
대신	대신/nbn
불러들이는	부르/pvg+어/ecs+들이/pvg+는/etm
전략을	전략/ncn+을/jco
세웠다.	세우/pvg+었/ep+다/ef+./sf
28일	28/nno+일/nbu
오후	오후/ncn
음대	음대/ncn
교수와	교수/ncn+와/jcj
학생들	학생/ncn+들/xsn
주최로	주최/ncn+로/jca
고3생들을	고/ncn+3/nno+생/xsn+들/xsn+을/jco
상대로	상대/ncn+로/jca
'목련음악	'/sl+nq[목련/ncn+음악/ncn
회'를	회/xsn]nq+'/sr+를/jco
연다.	열/pvg+ㄴ다/ef+./sf
음악회	음악/ncn+회/xsn
티켓	티켓/ncn
뒷면에는	뒷면/ncn+에/jca+는/jxc
모의고사	모의/ncn+고사/ncn
성적과	성적/ncn+과/jct
