<tdmsfile>
<tdmsfile>
Han3.hwp
먼저	먼저/mag
결단을	결단/ncn+을/jco
촉구받고	촉구/ncn+받/xsv+고/ecx
있는	있/px+는/etm
처지에	처지/ncn+에/jca
놓여	놓이/pvg+어/ecx
있다.	있/px+다/ef+./sf
하지만	하지만/maj
그의	그/npp+의/jcm
처지는	처지/ncn+는/jxc
최근	최근/mag
이	이/nq
총재가	총재/ncn+가/jcs
이인제	이인제/nq
국민신당	국민신당/nq
후보와의	후보/ncn+와/jct+의/jcm
연대	연대/ncn
거부	거부/ncn
의사를	의사/ncn+를/jco
하면서	분명/ncn+히/xsa+하/pvg+면서/ecs
더욱	더욱/mag
난처해진	난처/ncps+하/xsm+어/ecx+지/px+ㄴ/etm
양상이다.	양상/ncn+이/jp+다/ef+./sf
김	김/nq
위원장과	위원/ncn+장/xsn+과/jct
가까운	가깝/paa+ㄴ/etm
의원이나	의원/ncn+이나/jcj
원외	원외/ncn
위원장들도	위원/ncn+장/xsn+들/xsn+도/jxc
그에게	그/npp+에게/jca
당에	당/ncn+에/jca
남든지	남/pvg+든지/ecc
이인제	이인제/nq
후보를	후보/ncn+를/jco
돕든지	돕/pvg+든지/ecc
어느	어느/mmd
한쪽을	한쪽/ncn+을/jco
빨리	빨리/mag
선택할	선택/ncpa+하/xsv+ㄹ/etm
것을	것/nbn+을/jco
재촉하고	재촉/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
것으로	것/nbn+으로/jca
알려졌다.	알리/pvg+어/ecs+지/px+었/ep+다/ef+./sf
국민회의	국민회의/nq
김대중	김대중/nq
총재를	총재/ncn+를/jco
원색적으로	원색/ncn+적/xsn+으로/jca
비난하는	비난/ncpa+하/xsv+는/etm
출처	출처/ncn
불명의	불명/ncn+의/jcm
괴유인물이	괴유/ncn+인물/ncn+이/jcs
3일과	3/nno+일/nbu+과/jcj
4일	4/nno+일/nbu
청주지역	청주/nq+지역/ncn
일부	일부/ncn
언론사에	언론/ncn+사/xsn+에/jca
팩스로	팩스/ncn+로/jca
전달됐다.	전달/ncpa+되/xsv+었/ep+다/ef+./sf
김종구	김종구/nq
김이택,	김이택/nq+,/sp
김이택,	대구/박찬수
기자	기자/ncn
.	./sp
<kdc>news.                    </sl+kdc/f+>/sr+news/f+./sf
03</kdc>                      03/nnc+</sl+//su+kdc/f+>/sr
[감사원]	[/sl+감사원/nq+]/sr
라인빌리지	라인빌리지/nq
사업승인	사업/ncn+승인/ncn
관련	관련/ncn
공무원	공무/ncn+원/xsn
6명	6/nnc+명/nbu
징계	징계/ncn
.	./sp
무등산	무등산/nq
자락에	자락/ncn+에/jca
신축중인	신축/ncn+중/nbn+이/jp+ㄴ/etm
두암동	두암동/nq
라인빌리지	라인빌리지/nq
사업승인	사업/ncn+승인/ncn
및	및/maj
사전결정과	사전/ncn+결정/ncn+과/jct
관련해	관련/ncpa+하/xsv+어/ecs
공무원	공무/ncn+원/xsn
6명이	6/nnc+명/nbu+이/jcs
무더기로	무더기/ncn+로/jca
징계를	징계/ncn+를/jco
받게	받/pvg+게/ecx
됐다.	되/px+었/ep+다/ef+./sf
감사원은	감사원/nq+은/jxc
4일	4/nno+일/nbu
라인빌리지	라인빌리지/nq
사업승인과	사업/ncn+승인/ncn+과/jcj
사전결정	사전/ncn+결정/ncn
과정에서	과정/ncn+에서/jca
토지형질변경	토지/ncn+형질/ncn+변경/ncn
협의를	협의/ncn+를/jco
둘러싸고	두르/pvg+어/ecs+싸/pvg+고/ecc
물의를	물의/ncn+를/jco
빚은	빚/pvg+은/etm
광주시	광주시/nq
북구청	북/ncn+구청/ncn
모경배	모경배/nq
건축과장과	건축/ncn+과장/ncn+과/jcj
김창전	김창전/nq
도시개발과장,	도시/ncn+개발/ncn+과장/ncn+,/sp
송갑환	송갑환/nq
주택계장	주택/ncn+계장/ncn
등	등/nbn
공무원	공무/ncn+원/xsn
6명에	6/nnc+명/nbu+에/jca
대해	대하/pvg+어/ecs
해임	해임/ncn
등을	등/nbn+을/jco
요구했다.	요구/ncpa+하/xsv+었/ep+다/ef+./sf
감사원은	감사원/nq+은/jxc
또	또/mag
업무협의나	업무/ncn+협의/ncn+나/jcj
지도감독을	지도/ncn+감독/ncn+을/jco
제대로	제대로/mag
하지	하/pvg+지/ecx
못한	못하/px+ㄴ/etm
책임을	책임/ncn+을/jco
물어	묻/pvg+ㄹ어/ecs
광주시	광주시/nq
주옥균	주옥균/nq
전	전/ncn
건설주택국장	건설/ncn+주택/ncn+국장/ncn
등	등/nbn
간부	간부/ncn
공무원	공무/ncn+원/xsn
3명에	3/nnc+명/nbu+에/jca
대해	대하/pvg+어/ecs
엄중주의	엄중/ncn+주의/ncn
촉구하도록	촉구/ncpa+하/xsv+도록/ecs
했다.	하/pvg+었/ep+다/ef+./sf
북한이	북한/nq+이/jcs
최근	최근/ncn
경제개혁으로	경제/ncn+개혁/ncn+으로/jca
조금씩	조금/ncn+씩/xsn
나아가는	나아가/pvg+는/etm
인상을	인상/ncn+을/jco
주고	주/pvg+고/ecx
있으며	있/px+으며/ecc
한국	한국/nq
정부도	정부/ncn+도/jxc
북한의	북한/nq+의/jcm
개혁을	개혁/ncn+을/jco
후원하기	후원/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
남북관계와	남북/nq+관계/ncn+와/jcj
대북	대북/ncn
경제협력을	경제/ncn+협력/ncn+을/jco
분리시킬	분리/ncn+시키/xsv+ㄹ/etm
움직임을	움직임/ncn+을/jco
보이고	보이/pvg+고/ecx
있다고	있/px+다/ef+고/jcr
<파이낸셜타임스>가            </sl+파이낸셜타임스/nq+>/sl+가/jcs
3일	3/nno+일/nbu
보도했다.	보도/ncpa+하/xsv+었/ep+다/ef+./sf
이	이/mmd
신문은	신문/ncn+은/jxc
최근	최근/mag
북한의	북한/nq+의/jcm
남포와	남포/nq+와/jcj
원산	원산/nq
보세가공수출지대	보세/ncn+가공/ncn+수출/ncn+지대/ncn
지정을	지정/ncn+을/jco
언급하면서,	언급/ncpa+하/xsv+면서/ecc+,/sp
이는	이/npd+는/jxc
김정일	김정일/nq
노동당	노동당/nq
총비서가	총/xp+비서/ncn+가/jcs
최소한	최소한/ncn
제한된	제한/ncpa+되/xsv+ㄴ/etm
경제개혁을	경제/ncn+개혁/ncn+을/jco
지지하고	지지/ncpa+하/xsv+고/ecx
있음을	있/px+음/etn+을/jco
시사하는	시사/ncpa+하/xsv+는/etm
것으로	것/nbn+으로/jca
분석된다고	분석/ncpa+되/xsv+ㄴ다/ef+고/jcr
전했다.	전하/pvg+었/ep+다/ef+./sf
신문은	신문/ncn+은/jxc
또	또/mag
북한에서	북한/nq+에서/jca
물물교환	물물/ncn+교환/ncn
형태의	형태/ncn+의/jcm
원시적	원시/ncn+적/xsn
시장과	시장/ncn+과/jcj
암시장	암시장/ncn
등이	등/nbn+이/jcs
중국	중국/nq
접경지대에서	접경/ncn+지대/ncn+에서/jca
확산되고	확산/ncpa+되/xsv+고/ecx
있다며,	있/px+다/ef+며/ecs+,/sp
이는	이/npd+는/jxc
70년대	70/nnc+년대/nbu
후반	후반/ncn
중국의	중국/nq+의/jcm
경제개혁	경제/ncn+개혁/ncn
초기에	초기/ncn+에/jca
해당하는	해당/ncpa+하/xsv+는/etm
과정의	과정/ncn+의/jcm
시작을	시작/ncn+을/jco
알리는	알리/pvg+는/etm
조짐일	조짐/ncn+이/jp+ㄹ/etm
수도	수/nbn+도/jxc
있다고	있/paa+다/ef+고/jcr
분석했다.	분석/ncpa+하/xsv+었/ep+다/ef+./sf
김대중	김대중/nq
국민회의	국민회의/nq
총재는	총재/ncn+는/jxc
4일	4/nno+일/nbu
집권할	집권/ncpa+하/xsv+ㄹ/etm
경우	경우/ncn
지역구의	지역/ncn+구/ncn+의/jcm
30%를	30/nnc+%/su+를/jco
여성에게	여성/ncn+에게/jca
공천하고	공천/ncpa+하/xsv+고/ecc
비례대표(전국구)도	비례/ncn+대표/ncn+(/sl+전국/ncn+구/ncn+)/sr+도/jxc
전체의석의	전체/ncn+의석/ncn+의/jcm
2분의	2/nnc+분/nbu+의/jcm
1이나	1/nnc+이나/jcj
3분의	3/nnc+분/nbu+의/jcm
1	1/nnc
수준으로	수준/ncn+으로/jca
늘려	늘리/pvg+어/ecs
상당수를	상당/ncn+수/ncn+를/jco
여성들에게	여성/ncn+들/xsn+에게/jca
할당하겠다고	할당/ncpa+하/xsv+겠/ep+다/ef+고/jcr
밝혔다.	밝히/pvg+었/ep+다/ef+./sf
한국조세연구원과	한국조세연구원/nq+과/jcj
독일	독일/nq
프리드리히	nq[프리드리히/nq
에버트	+에버트/nq]nq
재단	재단/ncn
공동	공동/ncn
주최로	주최/ncn+로/jca
4일	4/nno+일/nbu
대한상공회의소에서	대한상공회의소/nq+에서/jca
개최된	개최/ncpa+되/xsv+ㄴ/etm
`국제화,	`/sl+국제/ncn+화/xsn+,/sp
통일	통일/ncn
그리고	그리고/maj
조세정책'	조세/ncn+정책/ncn+'/sl
국제	국제/ncn
심포지엄에서	심포지엄/ncn+에서/jca
조세연구원	조세/ncn+연구/ncn+원/xsn
최준욱	최준욱/nq
연구위원은	연구/ncn+위원/ncn+은/jxc
`한국의	`/sl+한국/nq+의/jcm
통일비용	통일/ncn+비용/ncn
조달방안'이라는	조달/ncn+방안/ncn+'/sr+이/jp+라/ef+는/etm
주제발표를	주제/ncn+발표/ncn+를/jco
통해	통하/pvg+어/ecs
이렇게	이렇/pad+게/ecs
밝혔다.	밝히/pvg+었/ep+다/ef+./sf
최	최/nq
위원은	위원/ncn+은/jxc
남한	남한/nq
정부가	정부/ncn+가/jcs
통일	통일/ncn
이후	이후/ncn
북한의	북한/nq+의/jcm
경제개발을	경제/ncn+개발/ncn+을/jco
위한	위하/pvg+ㄴ/etm
사회간접자본	사회/ncn+간접/ncn+자본/ncn
확충	확충/ncn
투자비로	투자/ncn+비/xsn+로/jca
연간	연간/ncn
100억달러를	100억/nnc+달러/nbu+를/jco
지출한다고	지출/ncpa+하/xsv+ㄴ다/ef+고/jcr
가정할	가정/ncpa+하/xsv+ㄹ/etm
경우,	경우/ncn+,/sp
최저생계비	최저/ncn+생계/ncn+비/xsn
의료비	의료/ncn+비/xsn
등	등/nbn
북한주민에	북한/nq+주민/ncn+에/jca
대한	대하/pvg+ㄴ/etm
사회복지비용	사회/ncn+복지/ncn+비용/ncn
및	및/maj
기타	기타/ncn
행정비용	행정/ncn+비용/ncn
따위를	따위/nbn+를/jco
합한	합하/pvg+ㄴ/etm
총비용은	총/xp+비용/ncn+은/jxc
통일	통일/ncn
첫	첫/mma
해에	해/ncn+에/jca
245억달러가	245억/nnc+달러/nbu+가/jcc
될	되/pvg+ㄹ/etm
것으로	것/nbn+으로/jca
전망했다.	전망/ncpa+하/xsv+었/ep+다/ef+./sf
또	또/maj
통일	통일/ncn
2차년도	2/nno+차/nbu+년도/nbu
192억달러,	192억/nnc+달러/nbu+,/sp
4차년도	4/nno+차/nbu+년도/nbu
193억달러,	193억/nnc+달러/nbu+,/sp
6차년도	6/nno+차/nbu+년도/nbu
197억달러,	197억/nnc+달러/nbu+,/sp
8차년도	8/nno+차/nbu+년도/nbu
223억달러,	223억/nnc+달러/nbu+,/sp
10차년도	10/nno+차/nbu+년도/nbu
250억달러	250억/nnc+달러/nbu
등	등/nbn
북한내	북한/nq+내/nbn
임금상승에	임금/ncn+상승/ncn+에/jca
따라	따르/pvg+아/ecs
추가	추가/ncn
재정지출도	재정/ncn+지출/ncn+도/jxc
증가해,	증가/ncpa+하/xsv+어/ecs+,/sp
통일후	통일/ncn+후/ncn
10년간	10/nno+년/nbu+간/xsn
총	총/mma
통일비용은	통일/ncn+비용/ncn+은/jxc
2230억달러가	2230억/nnc+달러/nbu+가/jcs
들	들/pvg+ㄹ/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
추정했다.	추정/ncpa+하/xsv+었/ep+다/ef+./sf
이와	이/npd+와/jct
함께	함께/mag
북한에	북한/nq+에/jca
대한	대하/pvg+ㄴ/etm
공공투자	공공/ncn+투자/ncn
규모를	규모/ncn+를/jco
연간	연간/ncn
200억달러로	200억/nnc+달러/nbu+로/jca
산정할	산정/ncpa+하/xsv+ㄹ/etm
경우의	경우/ncn+의/jcm
10년간	10/nno+년/nbu+간/xsn
통일비용은	통일/ncn+비용/ncn+은/jxc
3540억달러에	3540억/nnc+달러/nbu+에/jca
이를	이르/paa+ㄹ/etm
것으로	것/nbn+으로/jca
예상했다.	예상/ncpa+하/xsv+었/ep+다/ef+./sf
최	최/nq
위원은	위원/ncn+은/jxc
따라서	따라서/maj
통일	통일/ncn
이후	이후/nbn
과도한	과도/ncps+하/xsm+ㄴ/etm
비용	비용/ncn
부담을	부담/ncn+을/jco
초래하지	초래/ncpa+하/xsv+지/ecx
않도록	않/px+도록/ecs
현실적	현실/ncn+적/xsn
정책검토가	정책/ncn+검토/ncn+가/jcs
이뤄져야	이루/pvg+어/ecs+지/px+어야/ecx
하며	하/px+며/ecc
통일	통일/ncn
이전부터	이전/ncn+부터/jxc
공공지출의	공공/ncn+지출/ncn+의/jcm
효율성을	효율/ncn+성/xsn+을/jco
높이는	높이/pvg+는/etm
노력을	노력/ncn+을/jco
병행하는	병행/ncpa+하/xsv+는/etm
한편	한편/ncn
소득세	소득/ncn+세/ncn
등	등/nbn
세제개편	세제/ncn+개편/ncn
작업이	작업/ncn+이/jcs
추진돼야	추진/ncpa+되/xsv+어야/ecx
할	하/px+ㄹ/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
강조했다.	강조/ncpa+하/xsv+었/ep+다/ef+./sf
국민신당은	국민신당/nq+은/jxc
4일	4/nno+일/nbu
서울	서울/nq
올림픽	nq[올림픽/ncn
펜싱경기장에서	+펜싱/ncn+경기/ncn+장/xsn]nq+에서/jca
1만여명의	1만/nnc+여/xsn+명/nbu+의/jcm
당원이	당원/ncn+이/jcs
참석한	참석/ncpa+하/xsv+ㄴ/etm
가운데	가운데/ncn
열린	열리/pvg+ㄴ/etm
창당대회에서	창당/ncn+대회/ncn+에서/jca
이인제	이인제/nq
후보의	후보/ncn+의/jcm
`젊음'과	`/sl+젊음/ncn+'/sr+과/jcj
`강력한	`/sl+강력/ncps+하/xsm+ㄴ/etm
지도력'을	지도/ncn+력/xsn+'/sr+을/jco
과시하는	과시/ncpa+하/xsv+는/etm
데	데/nbn
주력했다.	주력/ncpa+하/xsv+었/ep+다/ef+./sf
또	또/maj
대형	대형/ncn
멀티비전	멀티비전/ncn
3대를	3/nnc+대/nbu+를/jco
설치해	설치/ncpa+하/xsv+어/ecs
행사	행사/ncn
진행	진행/ncn
모습을	모습/ncn+을/jco
볼	보/pvg+ㄹ/etm
수	수/nbn
있도록	있/paa+도록/ecs
했고,	하/pvg+었/ep+고/ecs+,/sp
대회장	대회/ncn+장/xsn
곳곳에는	곳곳/ncn+에/jca+는/jxc
`젊은	`/sl+젊/paa+은/etm
한국,	한국/nq+,/sp
미래를	미래/ncn+를/jco
여는	열/pvg+는/etm
국민신당'	국민신당/nq+'/sr
등이	등/nbn+이/jcs
새겨진	새기/pvg+어/ecx+지/px+ㄴ/etm
애드벌룬과	애드벌룬/ncn+과/jcj
`세계는	`/sl+세계/ncn+는/jxc
지금	지금/mag
젊고	젊/paa+고/ecc
강한	강하/paa+ㄴ/etm
지도자를	지도/ncn+자/xsn+를/jco
원한다',	원하/pvg+ㄴ다/ef+'/sr+,/sp
`젊은	`/sl+젊/paa+은/etm
한국,	한국/nq+,/sp
부강한	부강/ncps+하/xsm+ㄴ/etm
나라,	나라/ncn+,/sp
이인제가	이인제/nq+가/jcs
이루겠습니다'	이루/pvg+겠/ep+습니다/ef+'/sr
등	등/nbn
`젊음'을	`/sl+젊음/ncn+'/sr+을/jco
강조하는	강조/ncpa+하/xsv+는/etm
현수막이	현수막/ncn+이/jcs
나붙었다.	나붙/paa+었/ep+다/ef+./sf
전당대회에는	전당/ncn+대회/ncn+에/jca+는/jxc
홍사덕	홍사덕/nq
정무장관이	정무/ncn+장관/ncn+이/jcs
참석하고,	참석/ncpa+하/xsv+고/ecc+,/sp
김대중	김대중/nq
국민회의	국민회의/nq
총재와	총재/ncn+와/jcj
조순	조순/nq
민주당	민주당/nq
총재가	총재/ncn+가/jcs
화환을	화환/ncn+을/jco
보냈다	보내/pvg+었/ep+다/ef
그러나	그러나/maj
다른	다르/paa+ㄴ/etm
정당에서	정당/ncn+에서/jca
온	오/pvg+ㄴ/etm
손님은	손님/ncn+은/jxc
한	한/nnc
명도	명/nbu+도/jxc
없었다.	없/paa+었/ep+다/ef+./sf
총재의	총재/ncn+의/jcm
경우	경우/ncn
애초	애초/ncn
복수의	복수/ncn+의/jcm
최고위원을	최고/ncn+위원/ncn+을/jco
선출한	선출/ncpa+하/xsv+ㄴ/etm
뒤	뒤/nbn
잠시	잠시/mag
정회해서	정회/ncpa+하/xsv+어서/ecs
최고위원들끼리	최고/ncn+위원/ncn+들/xsn+끼리/xsn
총재를	총재/ncn+를/jco
호선하는	호선/nbu+하/xsv+는/etm
방식을	방식/ncn+을/jco
예고했으나	예고/ncpa+하/xsv+었/ep+으나/ecs
장	장/nq
의원	의원/ncn
이외에	이외/ncn+에/jca
최고위원	최고/ncn+위원/ncn
영입작업이	영입/ncn+작업/ncn+이/jcs
성과를	성과/ncn+를/jco
거두지	거두/pvg+지/ecx
못해	못하/px+어/ecs
`추대'로	`/sl+추대/ncn+'/sr+로/jca
바꿨다.	바꾸/pvg+었/ep+다/ef+./sf
20여분간의	20/nnc+여/xsn+분/nbu+간/xsn+의/jcm
후보수락	후보/ncn+수락/ncn
연설	연설/ncn
동안	동안/ncn
참석자들은	참석/ncn+자/xsn+들/xsn+은/jxc
20여	20/nnc+여/xsn
차례나	차례/nbu+나/jxc
`이인제'	`/sl+이인제/nq+'/sr
`대통령'을	`/sl+대통령/ncn+'/sr+을/jco
연호하며	연호/ncpa+하/xsv+며/ecc
수기를	수기/ncn+를/jco
흔들고	흔들/pvg+고/ecc
박수를	박수/ncn+를/jco
쳤다.	치/pvg+었/ep+다/ef+./sf
이	이/nq
전	전/ncn
지사는	지사/ncn+는/jxc
연설문이	연설/ncn+문/xsn+이/jcs
담긴	담기/pvg+ㄴ/etm
노트북을	노트북/ncn+을/jco
연단에	연단/ncn+에/jca
놓고	놓/pvg+고/ecc
연설을	연설/ncn+을/jco
하는	하/pvg+는/etm
등	등/nbn
다른	다르/paa+ㄴ/etm
후보와의	후보/ncn+와/jct+의/jcm
차별성을	차별/ncn+성/xsn+을/jco
부각시키기	부각/ncpa+시키/xsv+기/etn
위해	위하/pvg+어/ecs
노력하는	노력/ncpa+하/xsv+는/etm
모습을	모습/ncn+을/jco
보였다.	보이/pvg+었/ep+다/ef+./sf
신한국당	신한국당/nq
현역	현역/ncn
의원을	의원/ncn+을/jco
영입하려는	영입/ncpa+하/xsv+려는/etm
국민회의의	국민회의/nq+의/jcm
물밑작업이	물/ncn+밑/ncn+작업/ncn+이/jcs
`두더지	`/sl+두더지/ncn
작전'처럼	작전/ncn+'/sr+처럼/jca
은밀히	은밀/ncn+히/xsa
진행되고	진행/ncpa+되/xsv+고/ecx
있다.	있/px+다/ef+./sf
4일	4/nno+일/nbu
국민회의	국민회의/nq
관계자들에	관계/ncn+자/xsn+들/xsn+에/jca
따르면	따르/pvg+면/ecs
서울과	서울/nq+과/jcj
대구경북	대구/nq+경북/nq
출신	출신/ncn
현역	현역/ncn
지역구	지역/ncn+구/ncn
의원	의원/ncn
가운데	가운데/ncn
민정계	민정/ncn+계/xsn
인사	인사/ncn
4~5명을	4/nnc+~/sd+5/nnc+명/nbu+을/jco
상대로	상대/ncn+로/jca
입당교섭이	입당/ncn+교섭/ncn+이/jcs
구체적으로	구체/ncn+적/xsn+으로/jca
진행중인데	진행/ncn+중/nbn+이/jp+ㄴ데/ecs
성과가	성과/ncn+가/jcs
보인다는	보이/pvg+ㄴ다는/etm
것이다.	것/nbn+이/jp+다/ef+./sf
국민회의가	국민회의/nq+가/jcs
신한국당	신한국당/nq
인사들에게	인사/ncn+들/xsn+에게/jca
접근하는	접근/ncpa+하/xsv+는/etm
통로는	통로/ncn+는/jxc
두가지다.	두/nnc+가지/nbu+이/jp+다/ecs+./sf
하나는	하나/nnc+는/jxc
최근	최근/mag
입당한	입당/ncpa+하/xsv+ㄴ/etm
엄삼탁	엄삼탁/nq
전	전/ncn
병무청장과	병무청/nq+장/xsn+과/jcj
이용택	이용택/nq
전	전/ncn
의원,	의원/ncn+,/sp
최형우	최형우/nq
고문의	고문/ncn+의/jcm
동생	동생/ncn
최형호씨	최형호/nq+씨/xsn
등	등/nbn
영남지역	영남/nq+지역/ncn
영입인사들을	영입/ncn+인사/ncn+들/xsn+을/jco
통해	통하/pvg+어/ecs
신한국당	신한국당/nq
의원들을	의원/ncn+들/xsn+을/jco
설득하는	설득/ncpa+하/xsv+는/etm
방법이다.	방법/ncn+이/jp+다/ef+./sf
다른	다르/paa+ㄴ/etm
하나는	하나/nnc+는/jxc
박태준	박태준/nq
의원을	의원/ncn+을/jco
통하는	통하/pvg+는/etm
방법이다.	방법/ncn+이/jp+다/ef+./sf
박	박/nq
의원은	의원/ncn+은/jxc
신한국당	신한국당/nq
민정계	민정/ncn+계/xsn
의원	의원/ncn
대부분과	대부분/ncn+과/jct
오랜	오래/paa+ㄴ/etm
`인연'을	`/sl+인연/ncn+'/sr+을/jco
맺고	맺/pvg+고/ecx
있기	있/px+기/etn
때문이다.	때문/nbn+이/jp+다/ef+./sf
박	박/nq
의원은	의원/ncn+은/jxc
애초	애초/ncn
국민회의쪽	국민회의/nq+쪽/nbn
요청에	요청/ncn+에/jca
상당히	상당/ncn+히/xsa
협조적인	협조/ncn+적/xsn+이/jp+ㄴ/etm
태도를	태도/ncn+를/jco
보였으나	보이/pvg+었/ep+으나/ecs
자민련	자민련/nq
총재를	총재/ncn+를/jco
맡기로	맡/pvg+기/etn+로/jca
함에	하/pvg+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
잠시	잠시/mag
주춤하고	주춤하/pvg+고/ecx
있는	있/px+는/etm
상태인	상태/ncn+이/jp+ㄴ/etm
것으로	것/nbn+으로/jca
알려졌다.	알리/pvg+어/ecs+지/px+었/ep+다/ef+./sf
이에	이/npd+에/jca
따라	따르/pvg+아/ecs
일부	일부/ncn
영입	영입/ncn
대상	대상/ncn
의원들은	의원/ncn+들/xsn+은/jxc
자민련쪽으로	자민련/nq+쪽/nbn+으로/jca
선회할	선회/ncpa+하/xsv+ㄹ/etm
가능성도	가능/ncn+성/xsn+도/jxc
있는	있/paa+는/etm
것으로	것/nbn+으로/jca
보인다.	보이/pvg+ㄴ다/ef+./sf
국민회의는	국민회의/nq+는/jxc
최근	최근/mag
내부	내부/ncn
전략회의에서	전략/ncn+회의/ncn+에서/jca
신한국당	신한국당/nq
의원들의	의원/ncn+들/xsn+의/jcm
영입은	영입/ncn+은/jxc
오는	오/pvg+는/etm
26일	26/nno+일/nbu
후보등록	후보/ncn+등록/ncn
이후로	이후/ncn+로/jca
미루기로	미루/pvg+기/etn+로/jca
결정했다.	결정/ncpa+하/xsv+었/ep+다/ef+./sf
박태준	박태준/nq
의원은	의원/ncn+은/jxc
4반세기	4/nnc+반/nnc+세기/nbu
동안	동안/ncn
포항제철을	포항제철/nq+을/jco
이끈	이끌/pvg+ㄴ/etm
`철의	`/sl+철/ncn+의/jcm
사나이'로	사나이/ncn+'/sr+로/jca
일반	일반/ncn
국민들에게	국민/ncn+들/xsn+에게/jca
널리	널리/mag
알려져	알리/pvg+어/ecx+지/px+어/ecx
있다	있/px+다/ecs
경제인으로서	경제/ncn+인/xsn+으로서/jca
화려한	화려/ncps+하/xsm+ㄴ/etm
자취를	자취/ncn+를/jco
남긴	남기/pvg+ㄴ/etm
것이다.	것/nbn+이/jp+다/ef+./sf
그러나	그러나/maj
박	박/nq
의원의	의원/ncn+의/jcm
`정치적	`/sl+정치/ncn+적/xsn
삶'은	삶/ncn+'/sr+은/jxc
그다지	그다지/mag
성공적이지	성공/ncn+적/xsn+이/jp+지/ecx
못했다.	못하/pvg+었/ep+다/ef+./sf
그는	그/npp+는/jxc
`3김씨'와	`/sl+3/nnc+김/nq+씨/xsn+'/sr+와/jct
같은	같/paa+은/etm
반열로	반열/ncn+로/jca
평가되기를	평가/ncpa+되/xsv+기/etn+를/jco
원하고	원하/pvg+고/ecx
있지만,	있/px+지만/ecs+,/sp
그에	그/npp+에/jca
어울리는	어울리/pvg+는/etm
정치력을	정치/ncn+력/xsn+을/jco
갖추고	갖추/pvg+고/ecx
있는	있/px+는/etm
것으로	것/nbn+으로/jca
보는	보/pvg+는/etm
사람은	사람/ncn+은/jxc
많지	많/paa+지/ecx
않다.	않/px+다/ef+./sf
또	또/maj
군사정권	군사/ncn+정권/ncn
시절	시절/ncn
`양지'에서만	`/sl+양지/ncn+'/sr+에서/jca+만/jxc
머물러	머무르/pvg+어/ecs
과감한	과감/ncps+하/xsm+ㄴ/etm
결단에	결단/ncn+에/jca
익숙하지	익숙/ncps+하/xsm+지/ecx
않다는	않/px+다/ef+는/etm
평도	평/ncn+도/jxc
받고	받/pvg+고/ecx
있다.	있/px+다/ef+./sf
1927년	1927/nno+년/nbu
경남	경남/nq
양산에서	양산/nq+에서/jca
태어난	태어나/pvg+ㄴ/etm
그는	그/npp+는/jxc
육사	육사/nq
6기로	6/nno+기/nbu+로/jca
`박정희	`/sl+박정희/nq
교관'과	교관/ncn+'/sr+과/jcj
인연을	인연/ncn+을/jco
맺어	맺/pvg+어/ecs
61년	61/nno+년/nbu
박정희	박정희/nq
국가재건최고회의	국가/ncn+재건/ncn+최고/ncn+회의/ncn
의장	의장/ncn
비서실장에	비서/ncn+실장/ncn+에/jca
발탁됐고,	발탁/ncpa+되/xsv+었/ep+고/ecc
68년	68/nno+년/nbu
포철의	포철/nq+의/jcm
산파역을	산파/ncn+역/ncn+을/jco
맡게	맡/pvg+게/ecs
됐다.	되/pvg+었/ep+다/ef+./sf
그가	그/npp+가/jcs
정치에	정치/ncn+에/jca
발을	발/ncn+을/jco
들여놓은	들이/pvg+어/ecs+놓/pvg+은/etm
계기는	계기/ncn+는/jxc
80년	80/nno+년/nbu
신군부의	신/xp+군부/ncn+의/jcm
국가보위비상대책위	국가/보위비상대책위/nq
참여다.	참여/ncn+다/ef+./sf
그	그/mmd
뒤	뒤/ncn
3선	3/nno+선/nbu
의원으로서	의원/ncn+으로서/jca
지난	지나/pvg+ㄴ/etm
90년	90/nno+년/nbu
민자당	민자당/nq
최고위원에	최고/ncc+위원/ncn+에/jca
올라	오르/pvg+아/ecs
노태우	노태우/nq
전	전/ncn
대통령을	대통령/ncn+을/jco
대신해	대신/ncpa+하/xsv+어/ecs
민정계의	민정/ncn+계/xsn+의/jcm
관리자가	관리/ncn+자/xsn+가/jcc
되면서	되/pvg+면서/ecs
정치의	정치/ncn+의/jcm
전면에	전면/ncn+에/jca
나서게	나서/pvg+게/ecx
됐다.	되/px+었/ep+다/ef+./sf
정치인으로서	정치/ncn+인/xsn+으로서/jca
첫	첫/mma
고비는	고비/ncn+는/jxc
92년	92/nno+년/nbu
대선을	대선/ncn+을/jco
앞둔	앞두/pvg+ㄴ/etm
시점에	시점/ncn+에/jca
다가왔다.	다가오/pvg+았/ep+다/ef+./sf
그는	그/npp+는/jxc
민자당	민자당/nq
후보	후보/ncn
경선과정에서	경선/ncn+과정/ncn+에서/jca
김영삼	김영삼/nq
당시	당시/ncn
대표와	대표/ncn+와/jct
맞서다	맞서/pvg+다/ecs
주저앉았다.	주저앉/pvg+았/ep+다/ef+./sf
그	그/mmd
해	해/ncn
10월	10/nno+월/nbu
민자당을	민자당/nq+을/jco
