<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0098.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0098.txt </filename>
<title> 교실 밖 국사여행 </title>
<author>역사학연구소   </author>
<date> 1993 </date>
<publisher>사계절출판사  </publisher>
<kdc>911  </kdc>
<ddc>951.9  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
도구를	도구/ncn+를/jco
역사에서	역사/ncn+에서/jca
사라지게	사라지/pvg+게/ecx
되었다	되/px+었/ep+다/ef
.	./sf
천하의	천하/ncn+의/jcm
중심은	중심/ncn+은/jxc
고구려	고구려/nq
광개토왕비에	광개토왕비/nq+에/jca
나타난	나타나/pvg+ㄴ/etm
고구려인의	고구려/nq+인/xsn+의/jcm
세계관	세계/ncn+관/xsn
압록강에서	압록강/nq+에서/jca
가까운	가깝/paa+ㄴ/etm
집안	집안/nq
(	(/sl
輯安	輯安/nq
:	:/sp
현재	현재/ncn
중국	중국/nq
길림성	길림성/nq
集安	集安/nq
)	)/sr
은	은/jxc
427년에	427/nno+년/nbu+에/jca
평양으로	평양/nq+으로/jca
천도하기	천도/ncpa+하/xsv+기/etn
전까지	전/ncn+까지/jxc
400여년	400/nnc+여/xsn+년/nbu
동안	동안/ncn
고구려의	고구려/nq+의/jcm
도읍이었던	도읍/ncn+이/jp+었/ep+던/etm
곳이다	곳/ncn+이/jp+다/ef
.	./sf
그	그/mmd
곳에는	곳/ncn+에/jca+는/jxc
높이	높이/ncn
6.4미터나	6.4/nnc+미터/nbu+나/jxc
되는	되/pvg+는/etm
광개토대왕비가	광개토대왕비/nq+가/jcs
위풍당당하게	위풍당당/ncps+하/xsm+게/ecs
서	서/pvg+어/ecx
있다	있/px+다/ef
.	./sf
또	또/maj
,	,/sp
비의	비/ncn+의/jcm
주변에는	주변/ncn+에/jca+는/jxc
광개토왕릉으로	광개토왕릉/nq+으로/jca
생각되는	생각/ncpa+되/xsv+는/etm
보기	보/px+기/etn
힘든	힘들/pvg+ㄴ/etm
거대한	거대/ncps+하/xsm+ㄴ/etm
규모들이다	규모/ncn+들/xsn+이/jp+다/ef
.	./sf
광개토왕은	광개토왕/nq+은/jxc
고구려	고구려/nq
제19대	제/xp+19/nno+대/nbu
왕으로	왕/ncn+으로/jca
,	,/sp
젊은	젊/paa+은/etm
나이에	나이/ncn+에/jca
왕위에	왕위/ncn+에/jca
올라	오르/pvg+아/ecs
사방으로	사방/ncn+으로/jca
영토를	영토/ncn+를/jco
확장하여	확장/ncpa+하/xsv+어/ecs
고구려의	고구려/nq+의/jcm
전성시대를	전성/ncn+시대/ncn+를/jco
열었던	열/pvg+었/ep+던/etm
인물로	인물/ncn+로/jca
잘	잘/mag
알려져	알리/pvg+어/ecx+지/px+어/ecx
있다	있/px+다/ef
.	./sf
광개토왕비는	광개토왕비/nq+는/jxc
그	그/mmd
아들	아들/ncn
장수왕이	장수왕/nq+이/jcs
부왕의	부왕/ncn+의/jcm
업적을	업적/ncn+을/jco
기리기	기리/pvg+기/etn
위해	위하/pvg+어/ecs
414년에	414/nno+년/nbu+에/jca
세운	세우/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
,	,/sp
1800여	1800/nnc+여/xsn
자의	자/ncn+의/jcm
비문이	비문/ncn+이/jcs
세겨져	세기/pvg+어/ecx+지/px+어/ecx
있다	있/px+다/ef
.	./sf
비문	비문/ncn
글씨는	글씨/ncn+는/jxc
질박하고	질박/ncps+하/xsm+고/ecc
근엄한	근엄/ncps+하/xsm+ㄴ/etm
예서체로	예서/ncn+체/xsn+로/jca
쓰여져	쓰이/pvg+어/ecx+지/px+어/ecs
고구려의	고구려/nq+의/jcm
기풍을	기풍/ncn+을/jco
잘	잘/mag
보여	보이/pvg+어/ecx
주고	주/px+고/ecx
있으며	있/px+으며/ecc
,	,/sp
그	그/mmd
내용은	내용/ncn+은/jxc
고구려가	고구려/nq+가/jcs
동아시아에서	동아시아/nq+에서/jca
가장	가장/mag
강대한	강대/ncps+하/xsm+ㄴ/etm
나라였음을	나라/ncn+이/jp+었/ep+ㅁ/etn+을/jco
호방하게	호방/ncps+하/xsm+게/ecs
자랑하고	자랑/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
비문은	비문/ncn+은/jxc
세	세/nnc
단락으로	단락/ncn+으로/jca
되어	되/pvg+어/ecx
있다	있/px+다/ef
.	./sf
먼저	먼저/mag
고구려의	고구려/nq+의/jcm
건국자	건국/ncn+자/xsn
주몽의	주몽/nq+의/jcm
신이한	신이/ncn+하/xsm+ㄴ/etm
출생과	출생/ncpa+과/jcj
건국	건국/ncn
과정	과정/ncn
그리고	그리고/maj
신성한	신성/ncps+하/xsm+ㄴ/etm
왕통의	왕통/ncn+의/jcm
계승자인	계승/ncn+자/xsn+이/jp+ㄴ/etm
광개토왕의	광개토왕/nq+의/jcm
치적을	치적/ncn+을/jco
칭송하였다	칭송/ncpa+하/xsv+었/ep+다/ef
.	./sf
두번째로는	두/nno+번째/nbu+로/jca+는/jxc
광개토왕이	광개토왕/nq+이/jcs
영토를	영토/ncn+를/jco
크게	크/paa+게/ecs
넓힌	넓히/pvg+ㄴ/etm
내용을	내용/ncn+을/jco
연도별로	연도/ncn+별/xsn+로/jca
기록하고	기록/ncpa+하/xsv+고/ecc
,	,/sp
마지막으로	마지막/ncn+으로/jca
광개토왕릉을	광개토왕릉/nq+을/jco
지키고	지키/pvg+고/ecc
관리하는	관리/ncpa+하/xsv+는/etm
묘지기에	묘/ncn+지기/xsn+에/jca
대한	대하/pvg+ㄴ/etm
규정을	규정/ncn+을/jco
담고	담/pvg+고/ecx
있다	있/px+다/ef
.	./sf
첫번째	첫/nno+번째/nbu
단락을	단락/ncn+을/jco
옮겨	옮기/pvg+어/ecx
보면	보/px+면/ecs
이렇다	이렇/pad+다/ef
.	./sf
옛날	옛날/ncn
시조	시조/ncn
추모왕	추모왕/nq
(	(/sl
鄒牟王	鄒牟王/nq
)	)/sr
이	이/jp
나라를	나라/ncn+를/jco
세웠다	세우/pvg+었/ep+다/ef
.	./sf
시조는	시조/ncn+는/jxc
북부여에서	북/ncn+부여/nq+에서/jca
나셨는데	나/pvg+시/ep+었/ep+는데/ecs
,	,/sp
아버지는	아버지/ncn+는/jxc
천제	천제/ncn
(	(/sl
天帝	天帝/ncn
)	)/sr
의	의/jcm
아들이요	아들/ncn+이/jp+요/ef
,	,/sp
어머니는	어머니/ncn+는/jxc
하백	하백/nq
(	(/sl
河伯	河伯/nq
)	)/sr
의	의/jcm
따님이시다	딸/ncn+님/xsn+이/jp+시/ep+다/ef
.	./sf
알을	알/ncn+을/etm
깨고	깨/pvg+고/ecc
태어나셨는대	태어나/pvg+시/ep+었/ep+는데/ecs
,	,/sp
나면서부터	나/pvg+면서/ecs+부터/jxc
성스러운	성스럽/paa+ㄴ/etm
덕을	덕/ncn+을/jco
지니셨다	지니/pvg+셨/ep+다/ef
.	./sf
(	(/sl
왕이	왕/ncn+이/jcs
어머니의	어머니/ncn+의/jcm
명을	명/ncn+을/jco
받들어	받들/pvg+어/ecs
)	)/sr
수레를	수레/ncn+를/jco
몰아	몰/pvg+아/ecs
남쪽으로	남쪽/ncn+으로/jca
내려가게	내리/pvg+어/ecs+가/pvg+게/ecs
되었다	되/pvg+었/ep+다/ef
.	./sf
오는	오/pvg+는/etm
길에	길/ncn+에/jca
엄리대수	엄리대수/nq
(	(/sl
奄利大水	奄利大水/nq
)	)/sr
를	를/jco
건너게	건너/ncn+게/ecs
되었는데	되/pvg+었/ep+는데/ecs
,	,/sp
왕이	왕/ncn+이/jcs
강나루에	강나루/ncn+에/jca
이르러	이르/pvg+어/ecs
"	"/sl
나는	나/npp+는/jxc
하늘의	하늘/ncn+의/jcm
아들이며	아들/ncn+이/jp+며/ecc
,	,/sp
하백의	하백/nq+의/jcm
딸을	딸/ncn+을/jco
어머니로	어머니/ncn+로/jca
한	하/pvg+ㄴ/etm
추모왕이다	추모왕/nq+이/jp+다/ef
.	./sf
나를	나/npp+를/jco
위하여	위하/pvg+어/ecs
갈대를	갈대/ncn+를/jco
연결하고	연결/ncpa+하/xsv+고/ecc
,	,/sp
거북을	거북/ncn+을/jco
떠오르게	떠오르/pvg+게/ecx
하라	하/px+라/ef
!'	!/sf+'/sr
하고	하/pvg+고/ecx
외치니	외치/pvg+니/ecs
,	,/sp
곧	곧/maj
갈대가	갈대/ncn+가/jcs
이어지고	잇/pvg+어/ecx+지/px+고/ecc
,	,/sp
거북이가	거북이/ncn+가/jcs
떠올라	떠오르/pvg+아/ecs
강을	강/ncn+을/jco
건넜다	건너/pvg+었/ep+다/ef
.	./sf
비류곡	비류곡/nq
졸본	졸본/nq
동쪽	동쪽/ncn
언덕에서	언덕/ncn+에서/jca
황룡을	황룡/ncn+을/jco
타고	타/pvg+고/ecc
승천하시고	승천/ncpa+하/xsv+시/ep+고/ecc
,	,/sp
세자에게	세자/ncn+에게/jca
나랏일을	나라/ncn+일/ncn+을/jco
부탁하시었다	부탁/ncpa+하/xsv+시/ep+었/ep+다/ef
.	./sf
유류왕	유류왕/nq
(	(/sl
儒留王	儒留王/nq
)	)/sr
은	은/jxc
도	도/ncn
(	(/sl
道	道/ncn
)	)/sr
로	로/jca
다스렸다	다스리/pvg+었/ep+다/ef
.	./sf
대주류왕	대주류왕/nq
(	(/sl
大朱留王	大朱留王/nq
)	)/sr
이	이/jcs
왕업을	왕업/ncn+을/jco
계승하시어	계승/ncpa+하/xsv+시/ep+어/ecs
17	17/nno
세손인	세손/ncn+이/jp+ㄴ/etm
국강상광개토경평안홍태왕	국강상광개토경평안홍태왕/nq
(	(/sl
國岡上廣開土境平安好太王	國岡上廣開土境平安好太王/nq
)	)/sr
이라	이라/jca
하였다	하/px+었/ep+다/ef
.	./sf
왕은	왕/ncn+은/jxc
18세에	18/nnc+세/nbu+에/jca
왕위에	왕위/ncn+에/jca
오르시어	오르/pvg+시/ep+어/ecs
호를	호/ncn+를/jco
영락대왕	영락대왕/nq
(	(/sl
永樂大王	永樂大王/nq
)	)/sr
이라	이라/jca
하였다	하/pvg+었/ep+다/ef
.	./sf
그	그/mmd
은택은	은택/ncn+은/jxc
하늘에	하늘/ncn+에/jca
미치고	미치/pvg+고/ecc
,	,/sp
위엄이	위엄/ncn+이/jcs
온	온/mma
세상에	세상/ncn+에/jca
두루	두루/mag
미치어	미치/pvg+어/ecs
오랑캐를	오랑캐/ncn+를/jco
평정하여	평정/ncpa+하/xsv+어/ecs
왕업을	왕업/ncn+을/jco
안녕케	안녕/ncn+게/ecx
하고	하/px+고/ecc
,	,/sp
나라를	나라/ncn+를/jco
부강케	부강/ncn+게/ecx
하며	하/px+며/ecc
,	,/sp
백성을	백성/ncn+을/jco
풍요롭게	풍요/ncps+롭/xsm+게/ecx
하니	하/px+니/ecs
곡식도	곡식/ncn+도/jxc
잘	잘/mag
익었다	익/pvg+었/ep+다/ef
.	./sf
하늘이	하늘/ncn+이/jcs
불쌍히	불쌍하/paa+이/xsa
여기지	여기/pvg+지/ecx
않으시사	않/px+으시사/ecs
39세에	39/nnc+세/nbu+에/jca
돌아가셨다	돌/pvg+아/ecx+가/px+시/ep+었/ep+다/ef
.	./sf
이에	이/npd+에/jca
갑인년	갑인년/nq
(	(/sl
414년	414/nno+년/nbu
)	)/sr
9월	9/nno+월/nbu
29일에	29/nno+일/nbu+에/jca
산의	산/ncn+의/jcm
무덤으로	무덤/ncn+으로/jca
시신을	시신/ncn+을/jco
옮겼고	옮기/pvg+었/ep+고/ecc
,	,/sp
여기에	여기/npd+에/jca
비를	비/ncn+를/jco
세워	세우/pvg+어/ecs
그	그/mmd
업적을	업적/ncn+을/jco
기록하여	기록/ncpa+하/xsv+어/ecx
후세로	후세/ncn+로/jca
하여금	하여금/mag
보게	보/pvg+게/ecx
한다	하/px+ㄴ다/ef
.	./sf
널리	널리/mag
알려진	알리/pvg+어/ecx+지/px+ㄴ/etm
고구려의	고구려/nq+의/jcm
건국	건국/ncn
시조	시조/ncn
주몽	주몽/nq
설화는	설화/ncn+는/jxc
주몽의	주몽/nq+의/jcm
어버지는	어버지/ncn+는/jxc
천제의	천제/ncn+의/jcm
아들	아들/ncn
해모수이며	해모수/nq+이/jp+며/ecc
,	,/sp
어머니는	어머니/ncn+는/jxc
하백	하백/nq
(	(/sl
강의	강/ncn+의/jcm
신	신/ncn
)	)/sr
의	의/jcm
딸	딸/ncn
유화라는	유화/ncn+라/ef+는/etm
내용이다	내용/ncn+이/jp+다/ef
.	./sf
곧	곧/maj
,	,/sp
고구려왕은	고구려/nq+왕/ncn+은/jxc
하늘과	하늘/ncn+과/jcj
땅을	땅/ncn+을/jco
대표하는	대표/ncpa+하/xsv+는/etm
신의	신/ncn+의/jcm
후손이라는	후손/ncn+이/jp+라는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그러므로	그러므로/maj
고구려왕은	고구려/nq+왕/nq+은/jxc
신성한	신성/ncps+하/xsm+ㄴ/etm
천손족이며	천손/ncn+족/xsn+이/jp+며/ecc
,	,/sp
그	그/mmd
통치	통치/ncn
역시	역시/mag
신성한	신성/ncps+하/xsm+ㄴ/etm
것이라	것/nbn+이/jp+라/ef
하여	하/pvg+어/ecs
왕의	왕/ncn+의/jcm
지배를	지배/ncn+를/jco
정당화해	정당/ncn+화/xsn+하/xsv+어/ecx
주는	주/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
주몽	주몽/nq
설화는	설화/ncn+는/jxc
백두산	백두산/nq
,	,/sp
평양	평양/nq
,	,/sp
요동성	요동성/nq
지역	지역/ncn
등	등/nbn
고구려	고구려/nq
지역에	지역/ncn+에/jca
널리	널리/mag
퍼져	퍼지/pvg+어/ecx
있었고	있/px+었/ep+고/ecc
,	,/sp
고구려에서는	고구려/nq+에서/jca+는/jxc
주몽과	주몽/nq+과/jcj
유화	유화/nq
부인을	부인/ncn+을/jco
신으로	신/ncn+으로/jca
모시고	모시/pvg+고/ecc
제사지냈다	제사/ncn+지내/pvg+었/ep+다/ef
.	./sf
또	또/maj
광개토왕비에서	광개토왕/nq+비/ncn+에서/jca
1	1/nno
,	,/sp
2	2/nno
,	,/sp
3대	3/nno+대/nbu
왕인	왕/ncn+이/jp+ㄴ/etm
주몽왕	주몽왕/nq
유리왕	유리왕/nq
,	,/sp
대주류왕으로	대주류왕/nq+으로/jca
쓰여	쓰이/pvg+어/ecx
있어	있/px+어/ecs
,	,/sp
비를	비/ncn+를/jco
건립할	건립/ncpa+하/xsv+ㄹ/etm
때	때/ncn
그렇게	그렇/pad+게/ecs
불리었음을	불리/pvg+었/ep+ㅁ/etn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
이어서	잇/pvg+어서/ecs
대대로	대대로/mag
신성한	신성/ncps+하/xsm+ㄴ/etm
시조	시조/ncn
추모왕을	추모왕/nq+을/jco
계승하여	계승/ncpa+하/xsv+어/ecs
광개토왕이	광개토왕/nq+이/jcs
왕위에	왕위/ncn+에/jca
올라	오르/pvg+아/ecs
이룩한	이룩하/pvg+ㄴ/etm
업적을	업적/ncn+을/jco
칭송하였고	칭송/ncpa+하/xsv+었/ep+고/ecc
,	,/sp
젊은	젊/paa+은/etm
나이에	나이/ncn+에/jca
죽은	죽/pvg+은/etm
사실을	사실/ncn+을/jco
기록하였다	기록/ncpa+하/xsv+었/ep+다/ef
.	./sf
두번째	두/nno+번째/nbu
단락에서는	단락/ncn+에서/jca+는/jxc
광개토왕이라는	광개토왕/nq+이/jp+라/ef+는/etm
이름과도	이름/ncn+과/jct+도/jxc
같이	같/paa+이/xsa
사방을	사방/ncn+을/jco
토벌하여	토벌/ncpa+하/xsv+어/ecs
북으로	북/ncn+으로/jca
송화강	송화강/nq
,	,/sp
서쪽으로	서쪽/ncn+으로/jca
요하	요하/nq
,	,/sp
동으로	동/ncn+으로/jca
연해주	연해주/nq
,	,/sp
남으로	남/ncn+으로/jca
한강까지	한강/nq+까지/jxc
이르렀던	연해주/nq
영토를	영토/ncn+를/jco
널리	널리/mag
확장한	확장/ncpa+하/xsv+ㄴ/etm
업적과	업적/ncn+과/jcj
왕이	왕/ncn+이/jcs
다스리던	다스리/pvg+던/etm
5세기의	5/nno+세기/ncn+의/jcm
국제	국제/ncn
관계를	관계/ncn+를/jco
보여	보이/pvg+어/ecx
주고	주/px+고/ecx
있다	있/px+다/ef
.	./sf
그	그/mmd
가운데에는	가운데/ncn+에/jca+는/jxc
백제와	백제/nq+와/jcj
신라는	신라/nq+는/jxc
예부터	예/ncn+부터/jxc
속민으로	속민/ncn+으로/jca
조공을	조공/ncn+을/jco
바쳤고	바치/pvg+었/ep+고/ecc
,	,/sp
왜가	왜/nq+가/jcs
391년에	391/nno+년/nbu+에/jca
바다를	바다/ncn+를/jco
건너와	건너/ncn+와/jcj
백제와	백제/nq+와/jcj
신라를	신라/nq+를/jco
격파하자	격파/ncpa+하/xsv+자/ecs
,	,/sp
왕이	왕/ncn+이/jcs
몸소	몸소/mag
수군을	수군/ncn+을/jco
이끌고	이끌/pvg+고/ecc
토벌하였으며	토벌/ncpa+하/xsv+었/ep+으며/ecc
,	,/sp
또	또/maj
동부여는	동/ncn+부여/nq+는/jxc
추모왕의	추모왕/nq+의/jcm
신민이었는데	신민/ncn+이/jp+었/ep+는데/ecs
,	,/sp
중간에	중간/ncn+에/jca
배반하여	배반/ncpa+하/xsv+어/ecs
조공치	조공/ncpa+하/xsv+지/ecx
않아	않/px+아/ecs
응징하려고	응징/ncpa+하/xsv+려고/ecs
토벌하였다는	토벌/ncpa+하/xsv+었/ep+다는/etm
내용들이	내용/ncn+들/xsn+이/jcs
있다	있/paa+다/ef
.	./sf
400년에	400/nno+년/nbu+에/jca
광개토왕은	광개토왕/nq+은/jxc
낙동강	낙동강/nq
유역에	유역/ncn+에/jca
침공한	침공/ncpa+하/xsv+ㄴ/etm
왜를	왜/nq+를/jco
격파하고	격파/ncpa+하/xsv+고/ecc
,	,/sp
신라를	신라/nq+를/jco
구원한	구원/ncpa+하/xsv+ㄴ/etm
적이	적/nbn+이/jcs
있었다	있/paa+었/ep+다/ef
.	./sf
이	이/nq
때부터	때/ncn+부터/jxc
고구려는	고구려/nq+는/jxc
신라에	신라/nq+에/jca
크게	크/paa+게/ecs
영향력을	영향/ncn+력/xsn+을/jco
행사하여	행사/ncpa+하/xsv+어/ecs
정치에	정치/ncn+에/jca
깊숙이	깊숙하/paa+이/xsa
개입하였고	개입/ncpa+하/xsv+었/ep+고/ecc
,	,/sp
신라왕이	신라/nq+왕/ncn+이/jcs
직접	직접/mag
고구려에	고구려/nq+에/jca
와서	오/pvg+아서/ecs
신하의	신하/ncn+의/jcm
예를	예/ncn+를/jco
표하기도	표하/pvg+기/etn+도/jxc
하였다	하/px+었/ep+다/ef
.	./sf
또한	또한/maj
신라는	신라/nq+는/jxc
금이나	금/ncn+이나/jcj
옥	옥/ncn
같은	같/paa+은/etm
특산물을	특산/ncn+물/xsn+을/jco
보내어	보내/pvg+어/ecs
조공하면	조공/ncpa+하/xsv+면/ecs
,	,/sp
고구려는	고구려/nq+는/jxc
의복	의복/ncn
등	등/nbn
답례품을	답례/ncn+품/xsn+을/jco
하사하기도	하사/ncpa+하/xsv+기/etn+도/jxc
하였다	하/px+었/ep+다/ef
.	./sf
즉	즉/mag
,	,/sp
고구려는	고구려/nq+는/jxc
조공국인	조공/ncn+국/xsn+이/jp+ㄴ/etm
신라를	신라/nq+를/jco
군사적으로	군사/ncn+적/xsn+으로/jca
지원하여	지원/ncpa+하/xsv+어/ecs
안전을	안전/ncn+을/jco
보장해	보장/ncpa+하/xsv+어/ecx
주고	주/px+고/ecc
,	,/sp
정치적	정치/ncn+적/xsn
영향력을	영향/ncn+력/xsn+을/jco
행사하여	행사/ncpa+하/xsv+어/ecs
고구려	고구려/nq
중심의	중심/ncn+의/jcm
국제	국제/ncn
정치권을	정치/ncn+권/xsn+을/jco
유지했던	유지/ncpa+하/xsv+었/ep+던/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
광개토왕이	광개토왕/nq+이/jcs
위새를	위새/ncn+를/jco
떨치고	떨치/pvg+고/ecx
있을	있/px+을/etm
때	때/ncn
,	,/sp
중국은	중국/nq+은/jxc
2세기	2/nno+세기/ncn
말	말/ncn
한	한/nq
(	(/sl
漢	漢/nq
)	)/sr
나라가	나라/ncn+가/jcs
멸망한	멸망/ncpa+하/xsv+ㄴ/etm
뒤	뒤/ncn
남북에	남/ncn+북/ncn+에/jca
여러	여러/mma
나라가	나라/ncn+가/jcs
흥망을	흥망/ncn+을/jco
거듭하면서	거듭하/pvg+면서/ecs
서로	서로/mag
세력을	세력/ncn+을/jco
겨루고	겨루/pvg+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf
고구려는	고구려/nq+는/jxc
국경이	국경/ncn+이/jcs
맞닿아	맞닿/pvg+아/ecx
있는	있/px+는/etm
북위나	북위/ncn+나/jxc
멀리	멀리/mag
남조의	남조/ncn+의/jcm
다른	다르/paa+ㄴ/etm
나라	나라/ncn
및	및/maj
몽고	몽고/nq
고원의	고원/ncn+의/jcm
유연과	유연/nq+과/jcj
연결하여	연결/ncpa+하/xsv+어/ecs
북위를	북위/ncn+를/jco
견제하였다	견제/ncpa+하/xsv+었/ep+다/ef
.	./sf
동북	동북/ncn
아시아에서	아시아/nq+에서/jca
가장	가장/mag
강대한	강대/ncps+하/xsm+ㄴ/etm
나라로서	나라/ncn+로서/jca
계속	계속/mag
팽창하고	팽창/ncpa+하/xsv+고/ecx
있던	있/px+던/etm
고구려는	고구려/nq+는/jxc
국제	국제/ncn
정세를	정세/ncn+를/jco
잘	잘/mag
이용하여	이용/ncpa+하/xsv+어/ecs
이	이/mmd
지역에서	지역/ncn+에서/jca
200여년	200/nnc+여/xsn+년/nbu
동안	동안/ncn
독자적	독자/ncn+적/xsn
세력권을	세력/ncn+권/xsn+을/jco
유지하였다	유지/ncpa+하/xsv+었/ep+다/ef
.	./sf
고구려는	고구려/nq+는/jxc
일찍이	일찍이/mag
중국	중국/nq
세력과	세력/ncn+과/jcj
겨루어	겨루/pvg+어/ecs
옛	옛/mma
고조선	고조선/nq
지역에	지역/ncn+에/jca
설치되었던	설치/ncpa+되/xsv+었/ep+던/etm
중국의	중국/nq+의/jcm
군현들을	군현/ncn+들/xsn+을/jco
아우르고	아우르/pvg+고/ecc
,	,/sp
4세기부터는	4/nno+세기/ncn+부터/jxc+는/jxc
중국	중국/nq
북부에까지	북부/ncn+에/jca+까지/jxc
점령해	점령/ncpa+하/xsv+어/ecs
들어갔다	들/pvg+어/ecx+가/px+았/ep+다/ef
.	./sf
그래서	그래서/maj
5세기	5/nno+세기/ncn
무렵	무렵/nbn
,	,/sp
고구려의	고구려/nq+의/jcm
영토	영토/ncn
확장은	확장/ncn+은/jxc
절정에	절정/ncn+에/jca
이르렀다	이르/pvg+었/ep+다/ef
.	./sf
이때	이때/npd
,	,/sp
고구려는	고구려/nq+는/jxc
직접	직접/ncn
지배하는	지배/ncpa+하/xsv+는/etm
영토와	영토/ncn+와/jcj
조공을	조공/ncn+을/jco
받는	받/pvg+는/etm
주변	주변/ncn
나라들까지	나라/ncn+들/xsn+까지/jca
포함하여	포함/ncpa+하/xsv+어/ecs
천하	천하/ncn
사방이라고	사방/ncn+이/jp+라/ef+고/jcr
내세우고	내/pvg+어/ecs+세우/pvg+고/ecc
,	,/sp
고구려가	고구려/nq+가/jcs
그	그/mmd
천하의	천하/ncn+의/jcm
중심이라고	중심/ncn+이/jp+라/ef+고/jcr
자부하였다	자부/ncpa+하/xsv+었/ep+다/ef
.	./sf
고구려는	고구려/nq+는/jxc
새로	새로/mag
확장한	확장/ncpa+하/xsv+ㄴ/etm
영토에	영토/ncn+에/jca
대하여	대하/pvg+어/ecs
천하라는	천하/ncn+라/ef+는/etm
관념을	관념/ncn+을/jco
내세워	내/pvg+어/ecs+세우/pvg+어/ecs
지배하고자	지배/ncpa+하/xsv+고자/ecx
하였다	하/px+었/ep+다/ef
.	./sf
그	그/mmd
천하의	천하/ncn+의/jcm
중심을	중심/ncn+을/jco
고구려였다	고구려/nq+이/jp+었/ep+다/ef
.	./sf
고구려는	고구려/nq+는/jxc
독자적	독자/ncn+적/xsn
연호를	연호/ncn+를/jco
사용하고	사용/ncpa+하/xsv+고/ecc
,	,/sp
주변	주변/ncn
나라들과	나라/ncn+들/xsn+과/jcj
조공	조공/ncn
관계를	관계/ncn+를/jco
맺었다	맺/pvg+었/ep+다/ef
.	./sf
광개토왕이	광개토왕/nq+이/jcs
오랑캐를	오랑캐/ncn+를/jco
평정하고	평정/ncpa+하/xsv+고/ecc
,	,/sp
백제	백제/nq
,	,/sp
신라	신라/nq
,	,/sp
동부여	동부여/nq
등이	등/nbn+이/jcs
조공하였다는	조공/ncpa+하/xsv+었/ep+다는/etm
사실도	사실/ncn+도/jxc
이러한	이러하/pad+ㄴ/etm
내용을	내용/ncn+을/jco
보여	보이/pvg+어/ecx
주는	주/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
또한	또한/maj
조공을	조공/ncn+을/jco
바치는	바치/pvg+는/etm
주변	주변/ncn
나라들은	나라/ncn+들/xsn+은/jxc
고구려의	고구려/nq+의/jcm
세력권	세력/ncn+권/xsn
안에	안/ncn+에/jca
들어	들/pvg+어/ecx
있었으므로	있/px+었/ep+으므로/ecs
군사적으로	군사/ncn+적/xsn+으로/jca
지원하고	지원/ncpa+하/xsv+고/ecc
,	,/sp
정치에도	정치/ncpa+에/jca+도/jxc
간여한	간여/ncpa+하/xsv+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
우리	우리/npp
근대	근대/ncn
역사학의	역사/ncn+학/xsn+의/jcm
수립자이며	수립/ncn+자/xsn+이/jp+며/ecc
직접	직접/ncn
항일	항일/ncn
투쟁에	투쟁/ncn+에/jca
나섰던	나서/pvg+었/ep+던/etm
단재	단재/nq
신채호는	신채호/nq+는/jxc
일찍이	일찍이/mag
만주	만주/nq
지역을	지역/ncn+을/jco
답사하고	답사/ncpa+하/xsv+고/ecc
,	,/sp
우뚝	우뚝/mag
서	서/pvg+어/ecx
있는	있/px+는/etm
광개토왕비를	광개토왕/nq+비/ncn+를/jco
손으로	손/ncn+으로/jca
한	한/nnc
뼘	뼘/nbu
한	한/nnc
뼘	뼘/nbu
재	재/pvg+어/ecx
가며	가/px+며/ecc
조사한	조사/ncpa+하/xsv+ㄴ/etm
적이	적/nbn+이/jcs
있다	있/paa+다/ef
.	./sf
그리고	그리고/maj
우리	우리/npp
역사를	역사/ncn+를/jco
알려면	알/pvg+려면/ecs
'	'/sl
삼국사기	삼국사기/nq
'	'/sr
를	를/nq
만	만/nnc
번	번/nbu
읽는	읽/pvg+는/etm
것보다	것/nbn+보다/jxc
고구려	고구려/nq
유적을	유적/ncn+을/jco
한	한/nnc
번	번/nbu
답사해	답사/ncpa+하/xsv+어/ecx
보라고	보/px+라/ef+고/jcr
말했다	말/ncpa+하/xsv+었/ep+다/ef
.	./sf
옛	옛/mma
유적지	유적/ncn+지/xsn
답사는	답사/ncn+는/jxc
역사책에서	역사/ncn+책/ncn+에서/jca
볼	보/pvg+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
많은	많/paa+은/etm
사실을	사실/ncn+을/jco
전해	전하/pvg+어/ecx
준다	주/px+ㄴ다/ef
.	./sf
광개토왕비는	광개토왕/nq+비/ncn+는/jxc
