<tdmsfile>


자연이	자연/ncn+이/jcs
야자기름으로	야자/ncn+기름/ncn+으로/jca
만든	만들/pvg+ㄴ/etm
천연비누	천연/ncn+비누/ncn
(	(/sl
큰	크/paa+ㄴ/etm
슈퍼마켓에서	슈퍼마켓/ncn+에서/jca
판매함	판매/ncpa+하/xsv+ㅁ/etn
)	)/sr
를	를/jco
8	8/nnc
를	를/jco
녹여	녹이/pvg+어/ecs
만듭니다	만들/pvg+ㅂ니다/ef
.	./sf
개개인이	개개인/ncn+이/jcs
컵으로	컵/ncn+으로/jca
비눗물을	비눗물/ncn+을/jco
만들	만들/pvg+ㄹ/etm
때	때/ncn
,	,/sp
여러	여러/mma
가지	가지/nbu
형태의	형태/ncn+의/jcm
비누를	비누/ncn+를/jco
부수어	부수/pvg+어/ecs
액체를	액체/ncn+를/jco
만드는	만들/pvg+는/etm
경쟁을	경쟁/ncn+을/jco
시키는	시키/pvg+는/etm
것도	것/nbn+도/jxc
좋습니다	좋/paa+습니다/ef
.	./sf
철사를	철사/ncn+를/jco
사용하여	사용/ncpa+하/xsv+여/ecs
비눗방울을	비눗방울/ncn+을/jco
만들	만들/pvg+ㄹ/etm
경우	경우/ncn
,	,/sp
선생님은	선생/ncn+님/xsn+은/jxc
반드시	반드시/mag
철사	철사/ncn
끝을	끝/ncn+을/jco
둥글게	둥글/paa+게/ecs
구부린	구부리/pvg+ㄴ/etm
뒤에	뒤/ncn+에/jca
아이들에게	아이/ncn+들/xsn+에게/jca
건네	건네/pvg+어/ecx
주십시오	주/px+시/ep+ㅂ시오/ef
.	./sf
그리고	그리고/maj
철사로	철사/ncn+로/jca
만든	만들/pvg+ㄴ/etm
비누막	비누/ncn+막/ncn
뜨개를	뜨개/ncn+를/jco
만드는	만들/pvg+는/etm
경우	경우/ncn
눈을	눈/ncn+을/jco
찌르는	찌르/pvg+는/etm
등의	등/nbn+의/jcm
사고가	사고/ncn+가/jcs
일어나지	일어나/pvg+지/ecx
않도록	않/px+도록/ecs
충분히	충분/ncn+히/xsa
주의를	주의/ncn+를/jco
주십시오	주/pvg+시/ep+ㅂ시오/ef
.	./sf
손잡이가	손잡이/ncn+가/jcs
없으면	없/paa+으면/ecs
손에	손/ncn+에/jca
비눗물을	비눗물/ncn+을/jco
흘리기가	흘리/pvg+기/etn+가/jcs
쉽고	쉽/paa+고/ecs
,	,/sp
실험대	실험/ncn+대/ncn
위에	위/ncn+에/jca
흘리거나	흘리/pvg+거나/ecc
넘어뜨릴	넘어뜨리/pvg+ㄹ/etm
위험이	위험/ncps+이/jcs
있습니다	있/paa+습니다/ef
.	./sf
실험기구를	실험/ncn+기구/ncn+를/jcoa
사용하여	사용/ncpa+하/xsv+여/ecs
국민학생이	국민/ncn+학생/ncn+이/jcc
되면	되/pvg+면/ecs
비눗방울	비눗방울/ncn
놀이만	놀이/ncn+만/jxc
강조하던	강조/ncpa+하/xsv+던/etm
데에서	데/nbn+에서/jca
이제	이제/mag
실험하는	실험/ncpa+하/xsv+는/etm
분위기를	분위기/ncn+를/jco
강조할	강조/ncpa+하/xsv+ㄹ/etm
필요가	필요/ncn+가/jcs
있게	있/paa+게/ecs
됩니다	되/pvg+ㅂ니다/ef
.	./sf
자연스럽게	자연/ncps+스럽/xsm+게/ecs
실험실에	실험/ncn+실/xsn+에/jca
있는	있/paa+는/etm
기구를	기구/ncn+를/jco
다루는	다루/pvg+는/etm
법도	법/nbn+도/jxc
배우게	배우/pvg+게/ecs
되고	되/pvg+고/ecs
비눗방울	비눗방울/ncn
놀이가	놀이/ncn+가/jcs
이제는	이제/ncn+는/jxc
과학실험으로	과학/ncn+실험/ncn+으로/jca
탈바꿈할	탈바꿈/ncpa+하/xsv+ㄹ/etm
수도	수/nbn+도/jxc
있는	있/paa+는/etm
것이로구나	것/nbn+이/jp+로구나/ef
하는	하/pvg+는/etm
것을	것/nbn+을/jco
배우게도	배우/pvg+게/ecs+도/jxc
됩니다	되/pvg+ㅂ니다/ef
.	./sf
철사를	철사/ncn+를/jco
펜치로	펜치/ncn+로/jca
구부리고	구부리/pvg+고/ecs
여러	여러/mma
가지	가지/nbu
모양의	모양/ncn+의/jcm
비누막	비누/ncn+막/ncn
뜨개를	뜨개/ncn+를/jco
만들어	만들/pvg+어/ecx
보는	보/px+는/etm
것도	것/nbn+도/jxc
좋을	좋/paa+을/etm
겁니다	거/nbn+ㅂ니다/ef
.	./sf
아빠나	아빠/ncn+나/jcj
엄마와	엄마/ncn+와/jct
같이	같/paa+이/xsa
여러	여러/mma
가지	가지/nbu
모양의	모양/ncn+의/jcm
비누막	비누/ncn+막/ncn
뜨개를	뜨개/ncn+를/jco
만들어	만들/pvg+어/ecs
해보는	하/pvg+어/ecx+보/px+는/etm
것도	것/nbn+도/jxc
재미있지요	재미/ncn+있/paa+지/ef+요/jxf
.	./sf
여러	여러/mma
가지	가지/nbu
농도의	농도/ncn+의/jcm
비눗물을	비눗물/ncn+을/jco
만들어	만들/pvg+어/ecs
어느	어느/mmd
농도의	농도/ncn+의/jcm
비눗물이	비눗물/ncn+이/jcs
제일	제일/mag
큰	크/paa+ㄴ/etm
비눗방울을	비눗방울/ncn+을/jco
만들	만들/pvg+ㄹ/etm
수	수/nbn
있는지	있/paa+는지/ef
알아	알/pvg+아/ecx
봅시다	보/px+ㅂ시다/ef
.	./sf
농도에는	농도/ncn+에/jca+는/jxc
용매	용매/ncn
(	(/sl
물	물/ncn
)	)/sr
와	와/jcj
용질	용질/ncn
(	(/sl
비누	비누/ncn
)	)/s'
의	의/jcm
질량비로	질량/ncn+비/xsn+로/jca
%	%/su
농도로	농도/ncn+로/jca
나타낼	나타내/pvg+ㄹ/etm
수도	수/nbn+도/jxc
있으나	있/paa+으나/ecs
,	,/sp
여기서는	여기/npd+서/jca+는/jxc
대략적인	대략/ncn+적/xsn+이/jp+ㄴ/etm
것으로	것/nbn+으로/jca
차숟가락의	차/ncn+숟가락/ncn+의/jcm
부피의	부피/ncn+의/jcm
비로	비/ncn+로/jca
생각해	생각/ncpa+하/xsv+어/ecx
보는	보/px+는/etm
것이	것/nbn+이/jcs
좋을	좋/paa+을/etm
듯합니다	듯하/px+ㅂ니다/ef
.	./sf
농도가	농도/ncn+가/jcs
40	40/nnc
%,	%,/su
50	50/nnc
%,	%,/su
60	60/nnc
%	%/su
인	이/jp+ㄴ/etm
세	세/nnc
종류의	종류/ncn+의/jcm
비눗물을	비눗물/ncn+을/jco
만들어	만들/pvg+어/ecs
어느	어느/mmd
비눗물이	비눗물/ncn+이/jcs
잘	잘/mag
만들어지고	만들/pvg+어/ecx+지/px+고/eccs
오래	오래/mag
견디는지를	견디/pvg+는지/ef+를/jco
표로	표/ncn+로/jca
만들어	만들/pvg+어/ecs
알아	알/pvg+아/ecx
봅시다	보/px+ㅂ시다/ef
.	./sf
첨가물을	첨가/ncn+물/xsn+을/jco
넣어서	넣/pvg+어서/ecs
위의	위/ncn+의/jcm
실험을	실험/ncn+을/jco
통해서	통하/pvg+어서/ecs
비눗방울이	비눗방울/ncn+이/jcs
제일	제일/mag
잘	잘/mag
만들어지는	만들/pvg+어/ecx+지/px+는/etm
비눗물을	비눗물/ncn+을/jco
만들	만들/pvg+ㄹ/etm
수	수/nbn
있었습니까	있/paa+었/ep+습니까/ef
?	?/sf
비눗방울이	비눗방울/ncn+이/jcs
제일	제일/mag
잘	잘/mag
생기는	생기/pvg+는/etm
농도의	농도/ncn+의/jcm
비눗물에	비눗물/ncn+에/jca
여러	여러/mma
가지	가지/nbu
물질을	물질/ncn+을/jco
넣어	넣/pvg+어/ecx
봅시다	보/px+ㅂ시다/ef
.	./sf
먼저	먼저/mag
비눗방울을	비눗방울/ncn+을/jco
크고	크/paa+고/ecc
오래가게	오래/mag+가/pvg+게/ecx
하려면	하/px+려면/ecs
비눗물이	비눗물/ncn+이/jcs
좀더	좀더/mag
끈기를	끈기/ncn+를/jco
가지고	가지/pvg+고/ecx
있어야겠지요	있/px+어야/ecs+겠/ep+지/ef+요/jxf
.	./sf
바닐라유	바닐라유/ncn
,	,/sp
그	그/mmd
밖의	밖/ncn+의/jcm
여러	여러/mma
향을	향/ncn+을/jco
넣으면	넣/pvg+으면/ecs
비눗방울이	비눗방울/ncn+이/jcs
터질	터지/pvg+ㄹ/etm
때	때/ncn
즐거운	즐겁/paa+ㄴ/etm
향내	향내/ncn
가득한	가득/ncpa+하/xsv+ㄴ/etm
방을	방/ncn+을/jco
만들	만들/pvg+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
겁니다	거/nbn+ㅂ니다/ef
.	./sf
그때마다	그/mmd+때/ncn+마다/jxc
비눗물	비눗물/ncn
만들랴	만들/pvg+랴/ecs
빨대	빨대/ncn
구하랴	구하/pvg+랴/ef
허둥댈	허둥대/pvg+ㄹ/etm
필요가	필요/ncn+가/jcs
없도록	없/paa+도록/ecs
미리	미리/mag
준비해	준비/ncpa+하/xsv+어/ecx
두는	두/px+는/etm
것이	것/nbn+이/jcs
좋을	좋/paa+을/etm
듯합니다	듯하/px+ㅂ니다/ef
.	./sf
또한	또한/maj
비눗물의	비눗물/ncn+의/jcm
독성으로	독성/ncn+으로/jca
인해	인하/pvg+어/ecs
다른	다르/paa+ㄴ/etm
사람들에게	사람/ncn+들/xsn+에게/jca
어떤	어떤/mmd
피해를	피해/ncn+를/jco
주게	주/pvg+게/ecs
될지도	되/pvg+ㄹ지/ef+도/jxc
모르니	모르/pvg+니/ecs
언제라도	언제/mag+라도/jxc
놀이나	놀이/ncn+나/jxc
실험을	실험/ncn+을/jco
해볼	하/pvg+어/ecx+보/px+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
비눗물	비눗물/ncn
전용	전용/ncn
용기를	용기/ncn+를/jco
마련해	마련/ncpa+하/xsv+어/ecx
두는	두/px+는/etm
것도	것/nbn+도/jxc
필요합니다	필요/ncps+하/xsm+ㅂ니다/ef
.	./sf
특히	특히/mag
여러분들이	여러분/npp+들/xsn+이/jcs
귀중하게	귀중/ncps+하/xsv+게/ecs
만들어	만들/pvg+어/ecx
놓은	놓/px+은/etm
비눗물도	비눗물/ncn+도/jxc
다시	다시/mag
한번	한/nnc+번/nbu
얻기	얻/pvg+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
더	더/mag
많은	많/paa+은/etm
시간이	시간/ncn+이/jcs
걸릴지도	걸리/pvg+ㄹ지/ecs+도/jxc
모르니	모르/pvg+니/ecs
자신이	자신/ncn+이/jcs
쉽게	쉽/paa+게/ecs
실험할	실험/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있도록	있/paa+도록/ecs
비눗물	비눗물/ncn
컵	컵/ncn
등의	등/nbn+의/jcm
용기를	용기/ncn+를/jco
정해	정하/pvg+어/ecx
두는	두/px+는/etm
것이	것/nbn+이/jcs
좋겠지요	좋/paa+겠/ep+지/ef+요/jxf
.	./sf
집에서	집/ncn+에서/jca
버리는	버리/pvg+는/etm
폐품	폐품/ncn
중에도	중/nbn+에/jca+도/jxc
훌륭한	훌륭/ncps+하/xsm+ㄴ/etm
실험도구가	실험/ncn+도구/ncn+가/jcs
있으니	있/paa+으니/ecs
한	한/nnc
번	번/nbu
찾아보십시오	찾/pvg+아/ecx+보/px+시/ep+ㅂ시오/ef
.	./sf
중학생	중학생/ncn
중학생이	중학생/ncn+이/jcc
되면서	되/pvg+면서/ecs
학생들은	학생/ncn+들/xsn+은/jxc
친구들을	친구/ncn+들/xsn+을/jco
더욱	더욱/mag
폭넓게	폭/ncn+넓/paa+게/ecs
사귀기	사귀/pvg+기/etn
시작하며	시작/ncpa+하/xsv+며/ecs
자연현상에	자연/ncn+현상/ncn+에/jca
대한	대하/pvg+ㄴ/etm
좀더	좀더/mag
깊이있는	깊이/ncn+있/paa+는/etm
생각을	생각/ncn+을/jco
하게	하/pvg+게/ecs
됩니다	되/pvg+ㅂ니다/ef
.	./sf
비눗방울	비눗방울/nc
놀이에	놀이/ncn+에/jca
관해	관하/pvg+어/ecs
보다	보다/mag
구체적인	구체/ncn+적/xsn+이/jp+ㄴ/etm
관심을	관심/ncn+을/jco
가질	가지/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
시기가	시기/ncn+가/jcc
된	되/pvg+ㄴ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
예를	예/ncn+를/jco
들어	들/pvg+어/ecs
비누와	비누/ncn+와/jcj
설탕은	설탕/ncn+은/jxc
물에	물/ncn+에/jca
잘	잘/mag
녹고	녹/pvg+고/ecs
,	,/sp
후추나	후추/ncn+나/jcj
모래는	모래/ncn+는/jxc
물에	물/ncn+에/jca
잘	잘/mag
녹지	녹/pvg+지/ecx
않습니다	않/px+습니다/ef
.	./sf
또	또/maj
친구들과	친구/ncn+들/xsn+과/jct
함께	함께/mag
[	[/sl
비눗방울	비눗방울/ncn
진단표	진단/ncn+표/ncn
]	]/sr
를	를/jco
만들어	만들/pvg+어/ecx
두면	두/px+면/ecs
편리합니다	편리/ncps+하/xsm+ㅂ니다/ef
.	./sf
고등학생	고등/ncn+학생/ncn
고등학생이	고등/ncn+학생/ncn+이/jcc
되면	되/pvg+면/ecs
자기가	자기/npp+가/jcs
생각한	생각/ncpa+하/xsv+ㄴ/etm
것은	것/nbn+은/jxc
웬만큼	웬만큼/mag
다	다/mag
만들어	만들/pvg+어/ecs
실험할	실험/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
학교에서	학교/ncn+에서/jca
배우는	배우/pvg+는/etm
과학도	과학/ncn+도/jxc
여러	여러/mma
과목으로	과목/ncn+으로/jca
늘어나고	늘/pvg+어/ecx+나/px+고/ecs
보다	보다/mag
전문적인	전문/ncn+적/xsn+이/jp+ㄴ/etm
접근이	접근/ncn+이/jcs
가능하게	가능/ncpa+하/xsv+게/ecs
됩니다	되/pvg+ㅂ니다/ef
.	./sf
물리	물리/ncn
시간에	시간/ncn+에/jca
배운	배우/pvg+ㄴ/etm
빛의	빛/ncn+의/jcm
파동과	파동/ncn+과/jcj
간접무늬에	간접/ncn+무늬/ncn+에/jca
대해	대하/pvg+어/ecs
생각해	생각/ncpa+하/xsv+어/ecx
볼	보/px+ㄹ/etm
수도	수/nbn+도/jxc
있습니다	있/paa+습니다/ef
.	./sf
화학	화학/ncn
시간에	시간/ncn+에/jca
배운	배우/pvg+ㄴ/etm
유기화학	유기/ncn+화학/ncn
물질을	물질/ncn+을/jco
이용해	이용/ncpa+하/xsv+어/ecs
좀더	좀더/mag
오래	오래/mag
견딜	견디/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
풍선을	풍선/ncn+을/jco
만들	만들/pvg+ㄹ/etm
수도	수/nbn+도/jxc
있습니다	있/paa+습니다/ef
.	./sf
물리	물리/ncn
수업에	수업/ncn+에/jca
응용	응용/ncn
물리	물리/ncn
수업과	수업/ncn+과/jct
관련시켜	관련/ncpa+시키/xsv+어/ecs
비눗방울	비눗방울/ncn
실험을	실험/ncn+을/jco
해봅시다	하/pvg+어/ecx+보/px+ㅂ시다/ef
.	./sf
화학약품을	화학/ncn+약품/ncn+을/jco
사용하는	사용/ncpa+하/xsv+는/etm
등의	등/nbn+의/jcm
수준높은	수준/ncn+높/paa+은/etm
실험이므로	실험/ncn+이/jp+므로/ecs
,	,/sp
재료를	재료/ncn+를/jco
신중하게	신중/ncps+하/xsm+게/ecs
선택하고	선택/ncpa+하/xsv+고/ecs
녹여서	녹이/pvg+어서/ecs
실험합시다	실험/ncpa+하/xsv+ㅂ시다/ef
.	./sf
가능한	가능/ncps+하/xsm+ㄴ/etm
한	한/nbn
순수한	순수/ncps+하/xsm+ㄴ/etm
화장비누를	화장/ncn+비누/ncn+를/jco
선택하여	선택/ncpa+하/xsv+여/ecs
비교적	비교/ncn+적/xsn
뜨거운	뜨겁/paa+ㄴ/etm
물에	물/ncn+에/jca
녹입니다	녹이/pvg+ㅂ니다/ef
.	./sf
이렇게	이렇/pad+게/ecs
해도	하/pvg+어도/ecs
녹지	녹/pvg+지/ecx
않는	않/px+는/etm
찌꺼기는	찌꺼기/ncn+는/jxc
제거하고	제거/ncpa+하/xsv+고/ecs
,	,/sp
글리세린을	글리세린/ncn+을/jco
한두	한두/nnc
방울	방울/nbu
첨가해	첨가/ncpa+하/xsv+어/ecx
봅시다	보/px+ㅂ시다/ef
(	(/sl
글리세린의	글리세린/ncn+의/jcm
효과에	효과/ncn+에/jca
대해서는	대하/pvg+어서/ecs+는/jxf
뒤에	뒤/ncn+에/jca
설명하겠습니다	설명/ncpa+하/xsv+겠/ep+습니다/ef
).	)/sr+./sf
축제	축제/ncn
(	(/sl
학예제의	학예/ncn+제/xsn+의/jcm
일종	일종/ncn
)	)/sr
에서	에서/jca
비눗방울에	비눗방울/ncn+에/jca
대한	대하/pvg+ㄴ/etm
연구	연구/ncn
결과를	결과/ncn+를/jco
발표하기도	발표/ncpa+하/xsv+기/etn+도/jxc
하고	하/pvg+고/ecs
,	,/sp
모의판매대에서	모의/ncn+판매/ncn+대/ncn+에서/jca
판매	판매/ncn
해봅시다	하/pvg+어/ecx+보/px+ㅂ시다/ef
.	./sf
화학	화학/ncn
수업에	수업/ncn+에/jca
응용	응용/ncn
물질의	물질/ncn+의/jcm
구조가	구조/ncn+가/jcs
입자적으로	입자/ncn+적/xsn+으로/jca
이루어져	이루/pvg+어/ecx+지/px+어/ecx
있는지	있/px+는지/ecs
연속적으로	연속/ncn+적/xsn+으로/jca
되어	되/pvg+어/ecx
있는지를	있/px+는지/ef+를/jco
알아	알/pvg+아/ecx
보기	보/px+기/etn
위한	위하/pvg+ㄴ/etm
실험으로	실험/ncn+으로/jca
구성할	구성/ncpa+하/xsv+ㄹ/etm
수도	수/nbn+도/jxc
있습니다	있/paa+습니다/ef
.	./sf
또는	또는/maj
비누막을	비누/ncn+막/ncn+을/jco
무한히	무한/ncn+히/xsa
크게	크/paa+게/ecs
할	하/pvg+ㄹ/etm
수	수/nbn
있을까	있/paa+을까/ef
등의	등/nbn+의/jcm
문제를	문제/ncn+를/jco
풀어	풀/pvg+어/ecx
봄으로써	보/px+ㅁ/etn+으로써/jca
물질에	물질/ncn+에/jca
대한	대하/pvg+ㄴ/etm
기본적인	기본/ncn+적/xsn+이/jp+ㄴ/etm
입장을	입장/ncn+을/jco
확인해	확인/ncpa+하/xsv+어/ecx
볼	보/px+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
(	(/sl
자세한	자세/ncps+하/xsm+ㄴ/etm
자료는	자료/ncn+는/jxc
뒤에	뒤/ncn+에/jca
).	)/sr+./sf
또	또/maj
화학의	화학/ncn+의/jcm
극성물질과	극성/ncn+물질/ncn+과/jcj
비극성	비극/ncn+성/xsn
물질간의	물질/ncn+간/nbn+의/jcm
결합을	결합/ncn+을/jco
설명하면서	설명/ncpa+하/xsv+면서/ecs
비누가	비누/ncn+가/jcs
때를	때/ncn+를/jco
씻을	씻/pvg+을/etm
수	수/nbn
있는지를	있/paa+는지/ef+를/jco
알아	알/pvg+아/ecx
봅니다	보/px+ㅂ니다/ef
.	./sf
여러	여러/mma
가지	가지/nbu
비누막	비누/ncn+막/ncn
뜨개로	뜨개/ncn+로/jca
만들어	만들/pvg+어/ecx
본	보/px+ㄴ/etm
비눗방울의	비눗방울/ncn+의/jcm
모양을	모양/ncn+을/jco
예측하게	예측/ncpa+하/xsv+게/ecx
하고	하/px+고/ecs
,	,/sp
왜	왜/mag
그렇게	그렇/pad+게/ecs
되는가를	되/pvg+는가/ef+를/jco
생각해	생각/ncpa+하/xsv+어/ecx
봅시다	보/px+ㅂ시다/ef
.	./sf
또	또/maj
몇	몇/mma
가지	가지/nbu
비누막	비누/ncn+막/ncn
뜨개를	뜨개/ncn+를/jco
이용하면	이용/ncpa+하/xsv+면/ecs
쉽게	쉽/paa+게/ecs
간단한	간단/ncps+하/xsm+ㄴ/etm
기체분자의	기체/ncn+분자/ncn+의/jcm
모양을	모양/ncn+을/jco
만들어	만들/pvg+어/ecx
보일	보이/px+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
Boys	Boys/f
가	가/jcs
1959	1959/nnc
년에	년/nbu+에/jca
출판했던	출판/ncpa+하/xsv+었/ep+던/etm
비눗방울	비눗방울/nq
이라는	이/jp+라/ef+는/etm
책에서도	책/ncn+에서/jca+도/jxc
볼	보/pvg+ㄹ/etm
수	수/nbn
있듯이	있/paa+듯이/ecs
비눗방울	비눗방울/ncn
속에	속/ncn+에/jca
숨겨진	숨기/pvg+어/ecx+지/px+ㄴ/etm
과학은	과학/ncn+은/jxc
평생을	평생/ncn+을/jco
걸려	걸리/pvg+어/ecs
연구해도	연구/ncpa+하/xsv+어도/ecs
모자랄	모자라/pvg+ㄹ/etm
만큼	만큼/nbn
다양하고도	다양/ncps+하/xsm+고/ecc+도/jxc
재미있는	재미/ncn+있/xsm+는/etm
과학소재로	과학/ncn+소재/ncn+로/jca
꽉	꽉/mag
차	차/pvg+아/ecx
있습니다	있/px+습니다/ef
.	./sf

대학	대학/ncn
도서관에는	도서/ncn+관/xsn+에/jca+는/jxc
많은	많/paa+은/etm
자료가	자료/ncn+가/jcs
있고	있/paa+고/ecc
,	,/sp
연구실에는	연구/ncn+실/xsn+에/jca+는/jxc
여러	여러/mma
가지	가지/nbu
약품이	약품/ncn+이/jcs
진열되어	진열/ncpa+되/xsv+어/ecx
있습니다	있/px+습니다/ef
.	./sf
이런	이런/mmd
약품	약품/ncn
(	(/sl
재료	재료/ncn
)	)/sr
들이	들/xsn+이/jcs
설마	설마/mag
아이들의	아이/ncn+들/xsn+의/jcm
손이	손/ncn+이/jcs
닿는	닿/pvg+는/etm
곳에	곳/ncn+에/jca
있지는	있/paa+지/ecx+는/jxf
않겠지만	않/px+겠/ep+지만/ecs
주의하여	주의/ncpa+하/xsv+여/ecs
보관해야	보관/ncpa+하/xsv+어야/ecs
합니다	하/px+ㅂ니다/ef
.	./sf
증류수로	증류수/ncn+로/jca
만들기	만들/pvg+기/etn
비눗방울에	비눗방울/ncn+에/jca
대한	대하/pvg+ㄴ/etm
연구를	연구/ncn+를/jco
본격적으로	본격/ncn+적/xsn+으로/jca
해보려면	하/pvg+어/ecx+보/px+려면/ecs
먼저	먼저/mag
비누에	비누/ncn+에/jca
대해	대하/pvg+어/ecs
확실히	확실/ncn+히/xsa
알고	알/pvg+고/ecx
있어야	있/px+어야/ecs
합니다	하/px+ㅂ니다/ef
.	./sf
그러므로	그러므로/maj
물과	물/ncn+과/jcj
기름	기름/ncn
양쪽이	양쪽/ncn+이/jcs
모두	모두/mag
순수해야만	순수/ncps+하/xsm+어야/ecs+만/jxc
비누의	비누/ncn+의/jcm
성질과	성질/ncn+과/jcj
역할을	역할/ncn+을/jco
이해하기	이해/ncpa+하/xsv+기/etn
쉬워지겠지요	쉽/paa+어/ecx+지/px+겠/ep+지/ef+요/jxf
.	./sf
비누의	비누/ncn+의/jcm
역할	역할/ncn
소수기는	소수기/ncn+는/jxc
길어서	길/paa+어서/ecs
물	물/ncn
속에	속/ncn+에/jca
들어가려면	들/pvg+어/ecs+가/pvg+려면/ecs
에너지가	에너지/ncn+가/jcs
많이	많/paa+이/xsa
필요하기	필요/ncps+하/xsm+기/etn
때문에	때문/nbn+에/jca
비누	비누/ncn
분자가	분자/ncn+가/jcs
하나씩떨어져	하나/nnc+씩/xsn+떨어지/pvg+어/ecs
물에	물/ncn+에/jca
녹아	녹/pvg+아/ecx
들어	들/px+어/ecs
가기는	가/pvg+기/etn+는/jxc
쉽지	쉽/paa+지/ecx
않습니다	않/px+습니다/ef
.	./sf
그래서	그래서/maj
물에	물/ncn+에/jca
비누를	비누/ncn+를/jco
풀면	풀/pvg+면/ecs
소수기는	소수기/ncn+는/jxc
물에서	물/ncn+에서/jca
튕겨나와	튕기/pvg+어/ecs+나오/pvg+아/ecs
소수기를	소수기/ncn+를/jco
물	물/ncn
표면으로	표면/ncn+으로/jca
밀어내고	밀/pvg+어/ecx+내/px+고/ecs
친수기가	친수기/ncn+가/jcs
물속에	물/ncn+속/ncn+에/jca
있는	있/paa+는/etm
그런	그런/mmd
형태를	형태/ncn+를/jco
취하게	취하/pvg+게/ecs
됩니다	되/pvg+ㅂ니다/ef
.	./sf
비누분자가	비누/ncn+분자/ncn+가/jcs
몇	몇/mma
개	개/nbu
모여서	모이/pvg+어서/ecs
친수기를	친수기/ncn+를/jco
바깥쪽으로	바깥/ncn+쪽/nbn+으로/jca
돌리고	돌리/pvg+고/ecc
소수기는	소수기/ncn+는/jxc
안쪽으로	안/ncn+쪽/nbn+으로/jca
모여	모이/pvg+어/ecs
물과	물/ncn+과/jct
접하지	접하/pvg+지/ecx
않은	않/px+은/etm
것	것/nbn
같은	같/paa+은/etm
집합체	집합/ncn+체/xsn
(	(/sl
이것을	이것/npd+을/jco
미셸이라고	미셸/ncn+이/jp+라/ef+고/jcr
부른다	부르/pvg+ㄴ다/ef
)	)/sr
를	를/jco
만듭니다	만들/pvg+ㅂ니다/ef
.	./sf
아래	아래/ncn
그림을	그림/ncn+을/jco
보면	보/pvg+면/ecs
수면이	수면/ncn+이/jcs
마치	마치/mag
기름에	기름/ncn+에/jca
덮여진	덮이/pvg+어/ecx+지/px+ㄴ/etm
것	것/nbn
같이	같/paa+이/xsa
보이는	보이/pvg+는/etm
것도	것/nbn+도/jxc
바로	바로/mag
이	이/mmd
때문입니다	때문/nbn+이/jp+ㅂ니다/ef
.	./sf
올레인산	올레인산/ncn
비누로	비누/ncn+로/jca
만들기	만들/pvg+기/etn
비누의	비누/ncn+의/jcm
역할을	역할/ncn+을/jco
알아	알/pvg+아/ecx
보려면	보/px+려면/ecs
순수한	순수/ncps+하/xsm+ㄴ/etm
비누	비누/ncn
,	,/sp
즉	즉/mag
착향료가	착향료/ncn+가/jcs
들어	들/pvg+어/ecx
있지	있/paa+지/ecx
않은	않/px+은/etm
비누를	비누/ncn+를/jco
이용해야만	이용/ncpa+하/xsv+어야/ecs+만/jxc
합니다	하/px+ㅂ니다/ef
.	./sf
올레산	올레산/ncn
동식물에	동식물/ncn+에/jca
널리	널리/mag
존재하는	존재/ncpa+하/xsv+는/etm
지방산의	지방/ncn+산/ncn+의/jcm
하나인데	하나/nnc+이/jp+ㄴ데/ef
화학식은	화학/ncn+식/ncn+은/jxc
C18H34O2	C/f+18/nnc+H/f+34/nnc+O/f+2/nnc
이며	이/jp+며/ecs
,	,/sp
이중결합을	이중/ncn+결합/ncn+을/jco
1	1/nnc
개	개/nbu
가지는	가지/pvg+는/etm
불포화성지방산으로	불/xp+포화/ncn+성/xsn+지방/ncn+산/ncn+으로
불포화성지방산으로	/jca
녹는점	녹/paa+는/etm+점/ncn
12	12/nnc
끓는점	끓/paa+는/etm+점/ncn
360	360/nnc
인	이/jp+ㄴ/etm
무색무취의	무색/ncn+무취/ncn+의/jcm
기름	기름/ncn
모양의	모양/ncn+의/jcm
액체입니다	액체/ncn+이/jp+ㅂ니다/ef
.	./sf
올리브유나	올리브유/ncn+나/jcj
동백기름	동백기름/ncn
등	등/nbn
식물성	식물/ncn+성/xsn
기름에	기름/ncn+에/jca
특히	특히/mag
많이	많/paa+이/xsa
포함되어	포함/ncpa+되/xsv+어/ecx
있고	있/px+고/ecs
,	,/sp
소나	소/ncn+나/jcj
돼지의	돼지/ncn+의/jcm
기름에	기름/ncn+에/jca
많이	많/paa+이/xsa
들어	들/pvg+어/ecx
있습니다	있/px+습니다/ef
.	./sf
음이온	음이온/ncn
계면활성제	계면/ncn+활성/ncn+제/xsn
유지를	유지/ncn+를/jco
수산화나트륨	수산화나트륨/ncn
수용액으로	수용액/ncn+으로/jca
