아들은	아들/ncn+은/jxc
많다	많/paa+다/ef
.	./sf
세상에는	세상/ncn+에/jca+는/jxc
자기	자기/npp
결혼	결혼/ncn
상대자의	상대/ncn+자/xsn+의/jcm
체면을	체면/ncn+을/jco
생각하고	생각/ncpa+하/xsv+고/ecs
조사를	조사/ncn+를/jco
주저하는	주저/ncpa+하/xsv+는/etm
예가	예/ncn+가/jcs
많으나	많/paa+으나/ecs
이것은	이것/npd+은/jxc
크게	크/paa+게/ecs
잘못된	잘못/ncpa+되/xsv+ㄴ/etm
생각이다	생각/ncn+이/jp+다/ef
.	./sf
하물며	하물며/mag
일생을	일생/ncn+을/jco
동고동락	동고동락/ncn
(	(/sl
同苦同樂	同苦同樂/ncn
)	)/sr
할	하/pvg+ㄹ/etm
배우자를	배우/ncn+자/xsn+를/jco
결정하는데	결정/ncpa+하/xsv+는데/ecs
제대로	제대로/mag
조사마저	조사/ncn+마저/jxc
하지	하/pvg+지/ecx
않는다면	않/px+는다/ef+면/ecs
오히려	오히려/mag
그것은	그것/npd+은/jxc
상대방에	상대/ncn+방/xsn+에/jca
대한	대하/pvg+ㄴ/etm
실례가	실례/ncn+가/jcc
될	되/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
조사	조사/ncn
후에	후/ncn+에/jca
만약	만약/mag
아무런	아무렇/pad+ㄴ/etm
하자가	하자/ncn+가/jcs
발견되지	발견/ncpa+되/xsv+지/ecx
않아서	않/px+아서/ecs
상호	상호/ncn
결합된	결합/ncpa+되/xsv+ㄴ/etm
부부는	부부/ncn+는/jxc
서로가	서로/ncn+가/jcs
더욱	더욱/mag
떳떳하게	떳떳/ncps+하/xsm+게/ecc
행복한	행복/ncpa+하/xsv+ㄴ/etm
일생을	일생/ncn+을/jco
살아갈	살/pvg+아/ecx+가/px+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
직장에서	직장/ncn+에서/jca
사귄	사귀/pvg+ㄴ/etm
남성과	남성/ncn+과/jct
결혼을	결혼/ncn+을/jco
서두르고	서두르/pvg+고/ecx
있는	있/px+는/etm
판국에	판국/ncn+에/jca
그의	그/npp+의/jcm
아버지와	아버지/ncn+와/jcj
삼촌	삼촌/ncn
두	두/nnc
사람이	사람/ncn+이/jcs
망막	망막/ncn
색소	색소/ncn
변성	변성/ncn
(	(/sl
網膜	網膜/ncn
色素	色素/ncn
變性	變性/ncn
)	)/sr
으로	으로/jca
실명	실명/ncn
(	(/sl
失明	失明/ncn
)	)/sr
된	되/pvg+ㄴ/etm
것을	것/nbn+을/jco
알게	알/pvg+게/ecx
되어	되/px+어/ecs
,	,/sp
장래에	장래/ncn+에/jca
태어날	태어나/pvg+ㄹ/etm
아기에게	아기/ncn+에게/jca
유전될	유전/ncpa+되/xsv+ㄹ/etm
것을	것/nbn+을/jco
유려하니	유려/ncpa+하/xsv+니/ecs
상담에	상담/ncn+에/jca
응해	응하/pvg+어/ecx
달라는	달라/px+는/etm
것이었다	것/nbn+이/jp+었/ep+다/ef
.	./sf
보통	보통/ncn
어렸을	어리/paa+었/ep+을/etm
때는	때/ncn+는/jxc
정상적인	정상/ncn+적/xsn+이/jp+ㄴ/etm
시력을	시력/ncn+을/jco
가졌던	가지/pvg+었/ep+던/etm
사람이	사람/ncn+이/jcs
갑자기	갑자기/mag
시야가	시야/ncn+가/jcs
좁아지고	좁/paa+아/ecx+지/px+고/ecc
시력도	시력/ncn+도/jxc
약해져서	약하/pvg+어/ecx+지/px+어서/ecs
결국엔	결국/ncn+에/jca+ㄴ/jxc
실명상태가	실명/ncn+상태/ncn+가/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
태어나면서부터의	태어나/pvg+면서/ecs+부터/jxc+의/jcm
맹인과는	맹인/ncn+과/jct+는/jxc
달리	다르/paa+이/xsa
학업	학업/ncn
도중이나	도중/ncn+이/jp+나/ecs
사회인으로서	사회/ncn+인/xsn+으로서/jca
활동을	활동/ncn+을/jco
시작할	시작/ncpa+하/xsv+ㄹ/etm
나이에	나이/ncn+에/jca
발생하는	발생/ncpa+하/xsv+는/etm
일이	일/ncn+이/jcs
많으므로	많/paa+으므로/ecs
정신적인	정신/ncn+적/xsn+이/jp+ㄴ/etm
쇼크가	쇼크/ncn+가/jcs
크고	크/paa+고/ecs
본인은	본인/ncn+은/jxc
물론	물론/mag
가족들까지도	가족/ncn+들/xsn+까지/jxc+도/jxc
뜻하지	뜻하/pvg+지/ecx
않은	않/px+은/etm
일에	일/ncn+에/jca
당황하게	당황/ncpa+하/xsv+게/ecx
된다	되/px+ㄴ다/ef
.	./sf
병명	병명/ncn
(	(/sl
病名	病名/ncn
)	)/sr
은	은/jxc
같아도	같/paa+아도/ecs
유전의	유전/ncn+의/jcm
형	형/ncn
(	(/sl
型	型/ncn
)	)/sr
은	은/jxc
다르다	다르/paa+다/ef
망막	망막/ncn
색소	색소/ncn
변성이라고	변성/ncn+이/jp+라/ef+고/jcr
해도	하/pvg+어도/ecs
여러	여러/mma
가지	가지/nbu
유형이	유형/ncn+이/jcs
있어	있/paa+어/ecs
그	그/mmd
중에는	중/nbn+에/jca+는/jxc
유전하지	유전/ncpa+하/xsv+지/ecx
않는	않/px+는/etm
종류도	종류/ncn+도/jxc
섞여	섞이/pvg+어/ecx
있다고	있/px+다/ef+고/jcr
한다	하/pvg+ㄴ다/ef
.	./sf
그렇다면	그렇다면/maj
E	E/f
양의	양/xsn+의/jcm
상대가	상대/ncn+가/jcs
발병	발병/ncn
할	하/pvg+ㄹ/etm
위험은	위험/ncn+은/jxc
그다지	그다지/mag
크지	크/paa+지/ecx
않으며	않/px+으며/ecs
그	그/mmd
자식이라면	자식/ncn+이/jp+라면/ecs
더욱	더욱/mag
더	더/mag
그러할	그러하/pad+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
두	두/nno
번째의	번째/nbu+의/jcm
유형은	유형/ncn+은/jxc
반성	반성/ncn
(	(/sl
伴性	伴性/ncn
)	)/sr
유전형인데	유전/ncn+형/xsn+이/jp+ㄴ데/ecs
이것은	이것/npd+은/jxc
아빠에게서	아빠/ncn+에게/jca+서/jca
자식에게	자식/ncn+에게/jca
전염되는	전염/ncpa+되/xsv+는/etm
성질의	성질/ncn+의/jcm
병이	병/ncn+이/jcc
아니다	아니/paa+다/ef
.	./sf
이상에서	이상/ncn+에서/jca
설명한	설명/ncpa+하/xsv+ㄴ/etm
바와	바/nbn+와/jct
같이	같/paa+이/xsa
세	세/nbu
가지의	가지/nbu+의/jcm
유형을	유형/ncn+을/jco
구분하기는	구분/ncpa+하/xsv+기/etn+는/jxc
용이하지	용이/ncps+하/xsm+지/ecx
않으나	않/px+으나/ecs
가족의	가족/ncn+의/jcm
조사에서도	조사/ncn+에서/jca+도/jxc
가능성은	가능/ncn+성/xsn+은/jxc
충분하다	충분/ncps+하/xsm+다/ef
.	./sf
따라서	따라서/maj
E	E/f
양에게는	양/xsn+에게/jca+는/jxc
그의	그/npp+의/jcm
조부모와	조부모/ncn+와/jcj
친척들의	친척/ncn+들/xsn+의/jcm
조사를	조사/ncn+를/jco
권유하고	권유/ncpa+하/xsv+고/ecx
나서	나/px+서/ecs
전화를	전화/ncn+를/jco
끊었다	끊/pvg+었/ep+다/ef
.	./sf
유전	유전/ncn
조사의	조사/ncn+의/jcm
효과	효과/ncn
E	E/f
양에게서의	양/xsn+에게서/jca+의/jcm
시외전화를	시외/ncn+전화/ncn+를/jco
받은	받/pvg+은/etm
날로부터	날/ncn+로/jca+부터/jxc
한	한/mma
2	2/nnc
주일쯤	주일/nbu+쯤/xsn
지나서	지나/pvg+서/ecs
다시	다시/mag
연락을	연락/ncn+을/jco
받게	받/pvg+게/ecx
되었다	되/px+었/ep+다/ef
.	./sf
옛날	옛날/mma
일이라	일/ncn+이/jp+라/ecs
본인도	본인/ncn+도/jxc
돌아가시고	돌/pvg+아/ecx+가/px+시/ep+고/ecs
없기	없/paa+기/etn
때문에	때문/nbn+에/jca
원인을	원인/ncn+을/jco
정확히	정확/ncn+히/xsa
조사하기는	조사/ncpa+하/xsv+기/etn+는/jxc
매우	매우/mag
어려우나	어렵/paa+으나/ecs
그	그/mma
병명은	병명/ncn+은/jxc
망막	망막/ncn
색소	색소/ncn
변성일	변성/ncn+이/jp+ㄹ/etm
가능성이	가능/ncn+성xsn+이/jcs
농후하다	농후/ncps+하/xsm+다/ef
.	./sf
이	이/mmd
경우	경우/ncn
만일	만일/mag
그의	그/npp+의/jcm
할머니도	할머니/ncn+도/jxc
그와	그/npd+와/jct
같은	같/paa+은/etm
증세를	증세/ncn+를/jco
나타냈다면	나타내/pvg+었/ep+다/ef+면/ecs
이는	이/npd+는/jxc
우성형	우성/ncn+형/xsn
(	(/sl
優性型	優性型/ncn
)	)/sr
으로	으로/jca
보아야	보/pvg+아야/ecx
할	하/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
망막	망막/ncn
색소	색소/ncn
변성의	변성/ncn+의/jcm
발병	발병/ncn
나이는	나이/ncn+는/jxc
제각기	제각기/mag
다르지만	다르/paa+지만/ecs
같은	같/paa+은/etm
집안의	집안/ncn+의/jcm
환자는	환자/ncn+는/jxc
대개	대개/mag
같은	같/paa+은/etm
나이에	나이/ncn+에/jca
발병하는	발병/ncpa+하/xsv+는/etm
일이	일/ncn+이/jcs
많다	많/paa+다/ef
.	./sf
E	E/f
양의	양/xsn+의/jcm
상대자는	상대/ncn+자/xsn+는/jxc
현재	현재/ncn
24	24/nnc
세라고	세/nbu+라고/jcr
하니	하/pvg+니/ecs
당분간은	당분/ncn+간/xsn+은/jxc
안심할	안심/ncpa+하/xsv+ㄹ/etm
수가	수/nbn+가/jcs
없다	없/paa+다/ef
.	./sf
E	E/f
양의	양/xsn+의/jcm
가장	가장/mag
큰	크/paa+ㄴ/etm
걱정은	걱정/ncn+은/jxc
태어날	태어나/pvg+ㄹ/etm
아기에	아기/ncn+에/jca
대한	대하/pvg+ㄴ/etm
유전	유전/ncn
여부였으나	여부/ncn+이/jp+었/ep+으나/ecs
,	,/sp
만약	만약/mag
배우자	배우/ncn+자/xsn
자신이	자신/ncn+이/jcs
실명한다면	실명/ncpa+하/xsv+ㄴ다/ef+면/ecs
일생의	일생/ncn+의/jcm
설계와	설계/ncn+와/jct
더불어	더불/pvg+어/ecs
그들의	그/npp+들/xsn+의/jcm
행복은	행복/ncn+은/jxc
출발점부터	출발/ncn+점/ncn+부터/jxc
파국에	파국/ncn+에/jca
이르고	이르/pvg+고/ecx
만다	말/px+ㄴ다/ef
.	./sf
따라서	따라서/maj
E	E/f
양이	양/xsn+이/jcs
,	,/sp
꼭	꼭/mag
그와	그/npp+와/jct
결혼할	결혼/ncpa+하/xsv+ㄹ/etm
생각이라면	생각/ncn+이/jp+라면/ecs
그가	그/npp+가/jcs
30	30/nno
세가	세/nbu+가/jcc
될	되/pvg+ㄹ/etm
때까지	때/ncn+까지/jxc
기다렸다가	기다리/pvg+었/ep+다가/ecs
안과전문의사로부터	안과/ncn+전문/ncn+의사/ncn+로/jca+부터/jxc
정밀검사를	정밀/ncn+검사/ncn+를/jco
받도록	받/pvg+도록/ecs
하고	하/pvg+고/ecc
,	,/sp
그가	그/npp+가/jcs
방막	방막/ncn
색소	색소/ncn
변성의	변성/ncn+의/jcm
증세가	증세/ncn+가/jcs
없음을	없/paa+음/etn+을/jco
확인	확인/ncn
한	하/pvg+ㄴ/etm
후	후/ncn
결혼하는	결혼/ncpa+하/xsv+는/etm
것이	것/nbn+이/jcs
서로의	서로/ncn+의/jcm
행복을	행복/ncn+을/jco
위하여	위하/pvg+어/ecs
바람직할	바라/pvg+ㅁ직하/xsm+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
상대의	상대/ncn+의/jcm
장래	장래/ncn
모습을	모습/ncn+을/jco
알기	알/pvg+기/etn
위한	위하/pvg+ㄴ/etm
방법	방법/ncn
젊은	젊/paa+은/etm
여성의	여성/ncn+의/jcm
장래의	장래/ncn+의/jcm
모습을	모습/ncn+을/jco
알기	알/pvg+기/etn
위한	위하/pvg+ㄴ/etm
방법으로는	방법/ncn+으로/jca+는/jxc
먼저	먼저/mag
그녀의	그녀/npp+의/jcm
어머니를	어머니/ncn+를/jco
보면	보/pvg+면/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
물론	물론/mag
어머니의	어머니/ncn+의/jcm
모습	모습/ncn
그대로일	그대로/mag+이/jp+ㄹ/etm
수는	수/nbn+는/jxc
없겠지만	없/paa+겠/ep+지만/ecs
어느	어느/mmd
정도의	정도/ncn+의/jcm
이미지를	이미지/ncn+를/jco
파악할	파악/ncpa+하/xsv+ㄹ/etm
수는	수/nbn+는/jxc
있을	있/paa+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
26	26/nno
세	세/nbu
쯤	쯤/xsn
되어	되/pvg+어/ecx
보이는	보이/pvg+는/etm
청년	청년/ncn
한	한/nnc
사람이	사람/ncn+이/jcs
상담실	상담/ncn+실/xsn
문을	문/ncn+을/jco
두드리며	두드리/pvg+며/ecs
,	,/sp
오늘밤	오늘/ncn+밤/ncn
야간	야간/ncn
열차로	열차/ncn+로/jca
F	F/f
시	시/ncn
(	(/sl
市	市/ncn
)	)/sr
까지	까지/jxc
가지	가/px+지/ecx
않으면	않/px+으면/ecs
안되니	안/mag+되/pvg+니/ecs
시간을	시간/ncn+을/jco
내서	내/pvg+서/ecs
꼭	꼭/mag
좀	좀/mag
상담에	상담/ncn+에/jca
응해	응하/pvg+어/ecx
달라는	달라/px+는/etm
것이었다	것/nbn+이/jp+었/ep+다/ef
.	./sf
그런데	그런데/maj
친척	친척/ncn
아주머니가	아주머니/ncn+가/jcs
찾아	찾/pvg+아/ecx
와서	오/px+아서/ecs
보고는	보/pvg+고/ecs+는/jxc
아이가	아이/ncn+가/jcs
아빠를	아빠/ncn+를/jco
조금도	조금도/mag
닮지	닮/pvg+지/ecx
않았다고	않/px+았/ep+다/ef+고/jcr
하여	하/pvg+어/ecs
그	그/mmd
소문이	소문/ncn+이/jcs
퍼져서	퍼지/pvg+어서/ecs
고민이라는	고민/ncn+이/jp+라/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그런데	그런데/maj
잠시	잠시/mag
볼일이	보/pvg+ㄹ/etm+일/ncn+이/jcs
있어	있/paa+어/ecs
고향엘	고향/ncn+에/jca+ㄹ/jco
가야	가/pvg+야/ecx
하는데	하/px+는데/ecs
이	이/mmd
일을	일/ncn+을/jco
생각하니	생각/ncpa+하/xsv+니/ecs
마음이	마음/ncn+이/jcs
무겁다는	무겁/paa+다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
물론	물론/mag
아내의	아내/ncn+의/jcm
부정을	부정/ncn+을/jco
의심해서가	의심/ncpa+하/xsv+어서/ecs+가/jcc
아니고	아니/paa+고/ecc
대체	대체/mag
왜	왜/mag
자식이	자식/ncn+이/jcs
아빠를	아빠/ncn+를/jco
닮지	닮/pvg+지/ecx
않았는가	않/px+았/ep+는가/ef
,	,/sp
과연	과연/mag
의학적인	의학/ncn+적/xsn+이/jp+ㄴ/etm
측면에서	측면/ncn+에서/jca
볼	보/pvg+ㄹ/etm
때	때/ncn
닮지	닮/pvg+지/ecx
않는	않/px+는/etm
경우도	경우/ncn+도/jxc
합리화시킬	합리/ncpa+화/xsn+시키/xsv+ㄹ/etm
수	수/nbn
있는가에	있/paa+는가/ef+에/jca
대한	대하/pvg+ㄴ/etm
의문을	의문/ncn+을/jco
가지고	가지/pvg+고/ecs
상담에	상담/ncn+에/jca
임한	임하/pvg+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그리하여	그리하/pvg+어/ecx
말많은	말/ncn+많/paa+은/etm
고향	고향/ncn
사람들과	사람/ncn+들/xsn+과/jct
대결할	대결/ncpa+하/xsv+ㄹ/etm
경우	경우/ncn
자신을	자신/ncn+을/jco
갖고	갖/pvg+고/ecc
응대하고	응대/ncpa+하/xsv+고/ecx
싶다는	싶/px+다/ef+는/etm
것이	것/nbn+이/jcs
그의	그/npp+의/jcm
희망이었다	희망/ncn+이/jp+었/ep+다/ef
.	./sf
흔히	흔히/mag
아기가	아기/ncn+가/jcs
태어나면	태어나/pvg+면/ecs
친척들이나	친척/ncn+들/xsn+이나/jcj
친구들이	친구/ncn+들/xsn+이/jcs
찾아와서	찾/pvg+아/ecx+오/px+아서/ecs
입은	입/ncn+은/jxc
엄마를	엄마/ncn+를/jco
꼭	꼭/mag
닮았느니	닮/pvg+았/ep+느니/ecc
코는	코/ncn+는/jxc
아빠를	아빠/ncn+를/jco
닮았느니	닮/pvg+았/ep+느니/ecs
하는	하/pvg+는/etm
것이	것/nbn+이/jcs
상례다	상례/ncn+다/ef
.	./sf
만약	만약/mag
엄마	엄마/ncn
아빠를	아빠/ncn+를/jco
모두	모두/mag
닮지	닮/pvg+지/ecx
않으면	않/px+으면/ecs
범위를	범위/ncn+를/jco
넓혀서	넓히/pvg+어서/ecs
멀리	멀리/mag
떨어진	떨어지/pvg+ㄴ/etm
친척들까지	친척/ncn+들/xsn+까지/jxc
끌어들이기가	끌/pvg+어/ecx+들이/px+기/etn+가/jcs
일쑤다	일쑤/ncn+다/ef
.	./sf
차	차/ncn
안에	안/ncn+에/jca
두	두/nnc
쌍의	쌍/nbu+의/jcm
형제가	형제/ncn+가/jcs
나란히	나란히/mag
타고	타/pvg+고/ecx
있으면	있/px+으면/ecs
전혀	전혀/mag
모르는	모르/pvg+는/etm
다른	다르/paa+ㄴ/etm
사람이	사람/ncn+이/jcs
보아도	보/pvg+아도/ecs
그들이	그/npp+들/xsn+이/jcs
형제라는	형제/ncn+라/ef+는/etm
사실을	사실/ncn+을/jco
구별할	구별/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
반면	반면/ncn
,	,/sp
같은	같/paa+은/etm
부부가	부부/ncn+가/jcs
낳은	낳/pvg+은/etm
형제라	형제/ncn+라/jcr
하더라도	하/pvg+더라도/ecs
전혀	전혀/mag
닮지	닮/pvg+지/ecx
않을	않/px+을/etm
경우도	경우/ncn+도/jxc
있으며	있/paa+으며/ecs
또한	또한/maj
전혀	전혀/mag
인연도	인연/ncn+도/jxc
없는	없/paa+는/etm
남을	남/ncn+을/jco
닮은	닮/pvg+은/etm
경우도	경우/ncn+도/jxc
볼	보/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
유전자는	유전/ncn+자/xsn+는/jxc
부모에서	부모/ncn+에서/jca
자식에게	자식/ncn+에게/jca
,	,/sp
자식에서	자식/ncn+에서/jca
손자에게	손자/ncn+에게/jca
각각	각각/mag
전해가니	전하/pvg+어/ecx+가/px+니/ecs
부모	부모/ncn
자식이	자식/ncn+이/jcs
닮는다는	닮/pvg+는다/ef+는/etm
것은	것/nbn+은/jxc
매우	매우/mag
당연한	당연/ncps+하/xsm+ㄴ/etm
일이다	일/ncn+이/jp+다/ef
.	./sf
또한	또한/maj
형제간은	형제/ncn+간/nbn+은/jxc
같은	같/paa+은/etm
부모로부터	부모/ncn+로/jca+부터/jxc
유전자를	유전/ncn+자/xsn+를/jco
받게	받/pvg+게/ecx
되므로	되/px+므로/ecs
이것도	이것/npd+도/jxc
역시	역시/mag
닮지	닮/pvg+지/ecx
않을	않/px+을/etm
수	수/nbn
없을	없/paa+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그러나	그러나/maj
남이라	남/ncn+이/jp+라/ecs
하더라도	하/pvg+더라도/ecs
우연히	우연/ncn+히/xsa
같은	같/paa+ㄴ/etm
유전자를	유전/ncn+자/xsn+를/jco
가지고	가지/pvg+고/ecx
있다면	있/px+다/ef+면/ecs
그	그/mmd
유전자로	유전/ncn+자/xsn+로/jca
결정되는	결정/ncpa+되/xsv+는/etm
성질	성질/ncn
부분은	부분/ncn+은/jxc
닮을	닮/paa+을/etm
수가	수/nbn+가/jcs
있으니	있/paa+으니/ecs
이상한	이상/ncps+하/xsm+ㄴ/etm
일은	일/ncn+은/jxc
아니다	아니/paa+다/ef
.	./sf
예를	예/ncn+를/jco
들면	들/pvg+면/ecs
귀지가	귀지/ncn+가/jcs
엿처럼	엿/ncn+처럼/jca
연한	연하/paa+ㄴ/etm
사람이	사람/ncn+이/jcs
있는데	있/paa+는데/ecs
이것은	이것/npd+은/jxc
그런	그런/mmd
유전자를	유전/ncn+자/xsn+를/jco
가지고	가지/pvg+고/ecx
있기	있/px+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
이런	이런/mmd
성질은	성질/ncn+은/jxc
백인이나	백인/ncn+이나/jcj
흑인들에게서	흑인/ncn+들/xsn+에게서/jca
많이	많/paa+이/xsa
볼	보/pvg+ㄹ/etm
수	수/nbn
있으며	있/paa+으며/ecs
거의	거의/mag
100	100/nnc
%	%/su
라고	라고/jcr
해도	하/pvg+어도/ecs
과언이	과언/ncn+이/jcc
아니나	아니/paa+나/ecs
한국인이나	한국/nq+인/xsn+이나/jcj
일본인이라면	일본/nq+인/xsn+이jp+라면/ecs
5	5/nnc
명	명/nbu
중	중/nbn
1	1/nnc
명	명/nbu
정도일	정도/ncn+이/jp+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
흑인의	흑인/ncn+의/jcm
머리카락은	머리카락/ncn+은/jxc
몹시	몹시/mag
곱슬이지만	곱슬/ncn+이/jp+지만/ecs
순수한	순수/ncps+하/xsm+ㄴ/etm
동양사람도	동양/ncn+사람/ncn+도/jxc
그러한	그러하/pad+ㄴ/etm
머리털을	머리털/ncn+을/jco
가지고	가지/pvg+고/ecc
있는	있/paa+는/etm
사람이	사람/ncn+이/jcs
많다	많/paa+다/ef
.	./sf
닮았다고	닮/pvg+았/ep+다/ef+고/jcr
해서	하/pvg+어서/ecs
반드시	반드시/mag
혈통이	혈통/ncn+이/jcs
같다는	같/paa+다/ef+는/etm
증거는	증거/ncn+는/jxc
성립될	성립/ncpa+되/xsv+ㄹ/etm
수가	수/nbn+가/jcs
없음을	없/paa+음/etn+을/jco
이것으로도	이것/npd+으로/jca+도/jxc
알	알/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
간단한	간단/ncps+하/xsm+ㄴ/etm
예로서	예/ncn+로서/jca
혈액형이	혈액/ncn+형/xsn+이/jcc
AB	AB/f
형끼리의	형/xsn+끼리/xsn+의/jcm
결혼을	결혼/ncn+을/jco
들	들/pvg+ㄹ/etm
수가	수/nbn+가/jcs
있는데	있/paa+는데/ecs
,	,/sp
AB	AB/f
형의	형/xsn+의/jcm
사람은	사람/ncn+은/jxc
A	A/f
유전자와	유전/ncn+자/xsn+와/jcj
B	B/f
유전자를	유전/ncn+자/xsn+를/jco
각각	각각/mag
한	한/nnc
개씩	개/nbu+씩/xsn
가지고	가지/pvg+고/ecx
있으나	있/px+으나/ecs
한	한/nnc
명의	명/nbu+의/jcm
자식에게는	자식/ncn+에게/jca+는/jxc
A	A/f
나	나/jcj
B	B/f
중	중/nbn
어느	어느/mmd
것이든	것/nbn+이/jp+든/ecc
한	한/nnc
개밖에	개/nbu+밖에/jxc
전할	전하/pvg+ㄹ/etm
수가	수/nbn+가/jcs
없다	없/paa+다/ef
.	./sf
왜냐하면	왜냐하면/maj
AB	AB/f
형	형/xsn
남성의	남성/ncn+의/jcm
정자	정자/ncn
중에	중/nbn+에/jca
어떤	어떤/mma
정자에는	정자/ncn+에/jca+는/jxc
A	A/f
유전자가	유전/ncn+자/xsn+가/jcs
들어	들/pvg+어/ecx
가고	가/px+고/ecs
또	또/maj
어떤	어떤/mma
정자에는	정자/ncn+에/jca+는/jxc
B	B/f
유전자만	유전/ncn+자/xsn+만/jxc
들어가기	들/pvg+어/ecx+가/px+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
어떤	어떤/mma
달의	달/ncn+의/jcm
배란에서	배란/ncn+에서/jca
A	A/f
난자가	난자/ncn+가/jcs
나오는데	나오/pvg+는데/ecs
B	B/f
난자가	난자/ncn+가/jcs
나오리라는	나오/pvg+리라/ef+는/etm
것은	것/nbn+은/jxc
전혀	전혀/mag
예상하기	예상/ncpa+하/xsv+기/etn
어려우며	어렵/paa+으며/ecs
또한	또한/maj
그	그/mmd
난자에	난자/ncn+에/jca
A	A/f
정자가	정자/ncn+가/jcs
결합될	결합/ncpa+되/xsv+ㄹ/etm
것인가	것/nbn+이/jp+ㄴ가/ef
아니면	아니/paa+면/ecs
B	B/f
정자가	정자/ncn+가/jcs
결합될	결합/ncpa+되/xsv+ㄹ/etm
것인가도	것/nbn+이/jp+ㄴ가/ef+도/jxc
전혀	전혀/mag
알	알/pvg+ㄹ/etm
수가	수/nbn+가/jcs
없다	없/paa+다/ef
.	./sf
가끔	가끔/mag
A	A/f
정자와	정자/ncn+와/jcj
A	A/f
난자가	난자/ncn+가/jcs
결합되면	결합/ncpa+되/xsv+면/ecs
수정란은	수정란/ncn+은/jxc
AA	AA/f
라는	라/ef+는/etm
배합이	배합/ncn+이/jcc
되어	되/pvg+어/ecs
발육하면	발육/ncpa+하/xsv+면/ecs
아기는	아기/ncn+는/jxc
A	A/f
형이	형/xsn+이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
또	또/maj
B	B/f
정자와	정자/ncn+와/jcj
B	B/f
난자의	난자/ncn+의/jcm
결합은	결합/ncn+은/jxc
BB	BB/f
이니	이/jp+니/ecs
결국	결국/mag
B	B/f
형의	형/xsn+의/jcm
아기가	아기/ncn+가/jcs
태어나게	태어나/pvg+게/ecx
된다	되/px+ㄴ다/ef
.	./sf
또	또/maj
A	A/f
정자와	정자/ncn+와/jcj
B	B/f
난자와의	난자/ncn+와/jct+의/jcm
수정이라든가	수정/ncn+이/jp+라/ef+든가/ecs
그	그/mmd
반대로	반대/ncn+로/jca
B	B/f
정자와	정자/ncn+와/jcj
A	A/f
난자와의	난자/ncn+와/jct+의/jcm
결합이	결합/ncn+이/jcs
생기면	생기/pvg+면/ecs
아기는	아기/ncn+는/jxc
AB	AB/f
형이	형/xsn+이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
한	한/nnc
가지	가지/nbu
예를	예/ncn+를/jco
더	더/mag
들자면	들/pvg+자면/ecs
A	A/f
형과	형/xsn+과/jcj
B	B/f
형의	형/xsn+의/jcm
결혼으로	결혼/ncn+으로/jca
O	O/f
,	,/sp
A	A/f
,	,/sp
B	B/f
,	,/sp
AB	AB/f
형의	형/xsn+의/jcm
4	4/nnc
종류의	종류/ncn+의/jcm
혈액형을	혈액/ncn+형/xsn+을/jco
가진	가지/pvg+ㄴ/etm
아기가	아기/ncn+가/jcs
모두	모두/mag
태어날	태어나/pvg+ㄹ/etm
수	수/nbn
있으므로	있/paa+으므로/ecs
한	한/nnc
쌍의	쌍/nbu+의/jcm
부부가	부부/ncn+가/jcs
낳은	낳/pvg+은/etm
자식들의	자식/ncn+들/xsn+의/jcm
혈액형이	혈액/ncn+형/xsn+이/jcs
전부	전부/mag
틀릴	틀리/pvg+ㄹ/etm
수	수/nbn
있으므로	있/paa+으므로/ecs
한	한/nnc
쌍의	쌍/nbu+의/jcm
부부가	부부/ncn+가/jcs
낳은	낳/pvg+은/etm
자식들의	자식/ncn+들/xsn+의/jcm
혈액형이	혈액/ncn+형/xsn+이/jcs
전부	전부/mag
틀릴	틀리/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
O	O/f
형과	형/xsn+과/jcj
AB	AB/f
형의	형/xsn+의/jcm
부부가	부부/ncn+가/jcs
그러하며	그러하/pad+며/ecs
,	,/sp
이	이/mmd
경위의	경위/ncn+의/jcm
자식은	자식/ncn+은/jxc
