<tdmsfile>
sbs.hwp
외환당국	외환/ncn+당국/ncn
2교시	2/nno+교시/nbu
수리탐구	수리/ncn+탐구/ncn
1도	1/nno+도/jxc
지난	지나/pvg+ㄴ/etm
해보다	해/ncn+보다/jca
훨씬	훨씬/mag
쉬웠습니다	쉽/paa+었/ep+습니다/ef
기본적인	기본/ncn+적/xsn+이/jp+ㄴ/etm
이해력을	이해/ncn+력/xsn+을/jco
묻는	묻/pvg+는/etm
문제가	문제/ncn+가/jcs
전체	전체/ncn
30문항	30/nnc+문항/nbu
가운데	가운데/ncn
10문항이나	10/nnc+문항/ncn+이나/jxc
출제됐습니다	출제/ncpa+되/xsv+었/ep+습니다/ef
주관식	주관/ncn+식/xsn
6문제도	6/nnc+문제/ncn+도/jxc
비교적	비교/ncn+적/xsn
무난했다는	무난/ncps+하/xsm+었/ep+다/ef+는/etm
평갑니다.	평가/ncn+ㅂ니다/ef+./sf
수리탐구	수리/ncn+탐구/ncn
2에서는	2/nno+에서/jca+는/jxc
대통령제와	대통령/ncn+제/xsn+와/jcj
내각제에	내각/ncn+제/xsn+에/jca
관련된	관련/ncpa+되/xsv+ㄴ/etm
문항이나,	문항/ncn+이나/jcj+,/sp
기상	기상/ncn
이변을	이변/ncn+을/jco
일으키는	일으키/pvg+는/etm
엘니뇨	[엘니뇨/nq
현상	현상/ncn]nq
등	등/nbn
시사성	시사/ncn+성/xsn
있는	있/paa+는/etm
문제가	문제/ncn+가/jcs
많이	많이/mag
출제됐습니다.	출제/ncpa+되/xsv+었/ep+습니다/ef+./sf
외국어	외국/ncn+어/ncn
영역은	영역/ncn+은/jxc
영어로	영어/ncn+로/jca
의사	의사/ncn
소통을	소통/ncn+을/jco
할	하/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
능력을	능력/ncn+을/jco
측정하는데	측정/ncpa+하/xsv+는데/ecs
큰	크/paa+ㄴ/etm
비중을	비중/ncn+을/jco
뒀습니다.	두/pvg+었/ep+습니다/ef+./sf
이번	이/mmd+번/nbn
수능	수능/ncn
시험은	시험/ncn+은/jxc
전체적으로	전체/ncn+적/xsn+으로/jca
평이한	평이/ncps+하/xsm+ㄴ/etm
문제가	문제/ncn+가/jcs
70%	70/nnc+%/su
이상	이상/nbn
출제돼	출제/ncpa+되/xsv+어/ecs
점수가	점수/ncn+가/jcs
지난	지나/pvg+ㄴ/etm
해보다	해/ncn+보다/jca
평균	평균/ncn
15점	15/nnc+점/nbu
이상	이상/nbn
오를	오르/pvg+ㄹ/etm
것으로	것/nbn+으로/jca
분석됐습니다.	분석/ncpa+되/xsv+었/ep+습니다/ef+./sf
득점	득점/ncn
분포도	분포/ncn+도/jxc
올해는	올해/ncn+는/jxc
기존	기존/ncn
중위권이	중위/ncn+권/xsn+이/jcs
상위권으로	상위/ncn+권/xsn+으로/jca
중하위권은	중하위/ncn+권/xsn+은/jxc
중상위권으로	중상위/ncn+권/xsn+으로/jca
치고	치/pvg+고/ecs
올라가,2백	오르/pvg+아/ecs+가/pvg+아/ecs+,/sp+2백/nnc
50점부터	50/nnc+점/nbu+부터/jxc
300점대가	300/nnc+점/nbu+대/xsn+가/jcs
두터워지는	두텁/paa+어/ecx+지/px+는/etm
이른바	이른바/mag
꽃병형이	꽃/ncn+병/ncn+형/xsn+이/jcs
될	되/pvg+ㄹ/etm
것으로	것/nbn+으로/jca
예상되고	예상/ncpa+되/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
이에	이/npd+에/jca
따라	따르/pvg+아/ecs
고득점을	고/xp+득점/ncn+을/jco
얻을	얻/pvg+을/etm
것으로	것/nbn+으로/jca
보이는	보이/pvg+는/etm
중.	중/ncn+./sf
상위권	상위/ncn+권/xsn
학생들이	학생/ncn+들/xsn+이/jcs
다음	다음/ncn
달	달/ncn
시작될	시작/ncpa+되/xsv+ㄹ/etm
특차모집과	특차/ncn+모집/ncn+과/jcj
내년의	내년/ncn+의/jcm
정시모집에서	정시/ncn+모집/ncn+에서/jca
큰	크/paa+ㄴ/etm
혼전을	혼전/ncn+을/jco
벌일	벌이/pvg+ㄹ/etm
것으로	것/nbn+으로/jca
보입니다.	보이/pvg+ㅂ니다/ef+./sf
에스비에스	에스비에스/nq
김현철입니다.	김현철/nq+이/jp+ㅂ니다/ef+./sf
추위	추위/ncn
녹인	녹이/pvg+ㄴ/etm
입시열기	입시/ncn+열기/ncn
매서운	매섭/paa+ㄴ/etm
추위도	추위/ncn+도/jxc
입시열기	입시/ncn+열기/ncn
앞에서는	앞/ncn+에서/jca+는/jxc
맥을	맥/ncn+을/jco
못췄습니다.	못/mag+추/pvg+었/ep+습니다/ef+./sf
전국적으로	전국/ncn+적/xsn+으로/jca
대체로	대체로/mag
원활하게	원활/ncps+하/xsm+게/ecs
시험이	시험/ncn+이/jcs
진행됐습니다.	진행/ncpa+되/pvg+었/ep+습니다/ef+./sf
홍지만기자가	홍지만/nq+기자/ncn+가/jcs
보도합니다.	보도/ncpa+하/xsv+ㅂ니다/ef+./sf
3년	3/nnc+년/nbu
동안	동안/nbn
쌓아온	쌓/pvg+아/ecx+오/px+ㄴ/etm
실력을	실력/ncn+을/jco
마음껏	마음껏/mag
발휘해야	발휘/ncpa+하/xsv+어야/ecx
하는	하/px+는/etm
결전의	결전/ncn+의/jcm
날	날/ncn
꼭	꼭/mag
최선을	최선/ncn+을/jco
다하겠다는	다하/pvg+겠/ep+다/ef+는/etm
다짐을	다짐/ncn+을/jco
해봅니다.	하/pvg+어/ecx+보/px+ㅂ니다/ef+./sf
선배들의	선배/ncn+들/xsn+의/jcm
선전을	선전/ncn+을/jco
비는	빌/pvg+는/etm
후배들의	후배/ncn+들/xsn+의/jcm
열기는	열기/ncn+는/jxc
올해도	올해/ncn+도/jxc
어김없이	어김/ncn+없/paa+이/ecs
찾아온	찾/pvg+아/ecs+오/pvg+ㄴ/etm
입시한파를	입시/ncn+한파/ncn+를/jco
한순간에	한/nnc+순간/ncn+에/jca
녹였습니다.	녹이/pvg+었/ep+습니다/ef+./sf
모르는	모르/pvg+는/etm
문제는	문제/ncn+는/jxc
찍어서	찍/pvg+어서/ecs
맞춘다는	맞추/pvg+ㄴ다/ef+는/etm
'행운의	'/sl+행운/ncn+의/jcm
발'도	발/ncn+'/sr+도/jxc
등장했습니다.	등장/ncpa+하/xsv+었/ep+습니다/ef+./sf
자식을	자식/ncn+을/jco
시험장으로	시험/ncn+장/xsn+으로/jca
들여보내는	들이/pvg+어/ecs+보내/pvg+는/etm
어머니의	어머니/ncn+의/jcm
마음은	마음/ncn+은/jxc
언제나	언제나/mag
간절합니다.	간절/ncps+하/xsm+ㅂ니다/ef+./sf
오늘	오늘/ncn
아침도	아침/ncn+도/jxc
경찰	경찰/ncn
오토바이와	오토바이/ncn+와/jcj
112	112/nnc
순찰차량은	순찰/ncn+차량/ncn+은/jxc
물론	물론/mag
119	119/nnc
구급차와	구급/ncn+차/ncn+와/jcj
퀵	퀵/ncn
서비스까지	서비스/ncn+까지/jxc
등장해	등장/ncpa+하/xsv+어/ecs
지각	지각/ncn
수험생들을	수험/ncn+생/xsn+들/xsn+을/jco
도왔습니다.	돕/pvg+았/ep+습니다/ef+./sf
자가용을	자가/ncn+용/xsn+을/jco
이용하는	이용/ncpa+하/xsv+는/etm
수험생들도	수험/ncn+생/xsn+들/xsn+도/jxc
많이	많/paa+이/ecs
눈에	눈/ncn+에/jca
띄었지만,	띄/pvg+었/ep+지만/ecs+,/sp
아침	아침/ncn
일찍부터	일찍/ncn+부터/jxc
서둘러서인지	서두르/pvg+어서/ecs+이/jp+ㄴ지/ecs
교통	교통/ncn
흐름에는	흐름/ncn+에/jca+는/jxc
큰	크/paa+ㄴ/etm
지장이	지장/ncn+이/jcs
없었습니다.	없/paa+었/ep+습니다/ef+./sf
인천에서는	인천/nq+에서/jca+는/jxc
신명여고	신명여고/nq
유영은양	유영은/nq+양/xsn
등	등/nbn
4명이	4/nnc+명/nbu+이/jcs
몸이	몸/ncn+이/jcc
아파	아프/paa+아/ecs
양호실에서	양호/ncn+실/xsn+에서/jca
시험을	시험/ncn+을/jco
치렀으며	치르/pvg+었/ep+으며/ecs
강릉	강릉/nq
명륜고	명륜고/nq
이기용군도	이기용/nq+군/xsn+도/jxc
양호실에서	양호/ncn+실/xsn+에서/jca
혼자	혼자/mag
시험을	시험/ncn+을/jco
치렀습니다.	치르/pvg+었/ep+습니다/ef+./sf
결시율은	결시/ncn+율/xsn+은/jxc
예년과	예년/ncn+과/jct
비슷한	비슷/ncps+하/xsm+ㄴ/etm
3.5%,	3.5/nnc+%/su+,/sp
85만4천여명이	85만/nnc+4천/nnc+여/xsn+명/nbu+이/jcs
시험을	시험/ncn+을/jco
치렀습니다.	치르/pvg+었/ep+습니다/ef+./sf
서울	서울/nq
상계동	상계동/nq
노일중학교에선	노일중학교/nq+에서/jca+ㄴ/etm
외국어	외국/ncn+어/xsn
영역	영역/ncn
듣기평가	듣기/ncn+평가/ncn
시간에	시간/ncn+에/jca
전파	전파/ncn
장애로	장애/ncn+로/jca
문제가	문제/ncn+가/jcs
들리지	들리/pvg+지/ecx
않아	않/px+아/ecs
시험종료후	시험/ncn+종료/ncn+후/ncn
녹음된	녹음/ncpa+되/xsv+ㄴ/etm
테이프로	테이프/ncn+로/jca
다시	다시/mag
듣기평가를	듣기/ncn+평가/ncn+를/jco
치르기도	치르/pvg+기/etn+도/jxc
했습니다.	하/pvg+었/ep+습니다/ef+./sf
수능시험	수능/ncn+시험/ncn
출제위원과	출제/ncn+위원/ncn+과/jcj
관리요원	관리/ncn+요원/ncn
180여명은	180/nnc+여/xsn+명/nbu+은/jxc
오늘	오늘/ncn
오후	오후/ncn
4시	4/nno+시/nbu
반	반/nnc
경기도	경기도/nq
용인시	용인시/nq
양지리조트에서	양지리조트/nq+에서/jca
사실상	사실/ncn+상/xsn
연금상태였던	연금/ncn+상태/ncn+이/jp+었/ep+던/etm
한달간의	한/nnc+달/nbu+간/xsn+의/jcm
합숙을	합숙/ncn+을/jco
마치고	마치/pvg+고/ecs
출제본부를	출제/ncn+본부/ncn+를/jco
빠져나왔습니다.	빠지/pvg+어/ecs+나오/pvg+았/ep+습니다/ef+./sf
SBS	SBS/f
홍지만입니다	홍지만/nq+이/jp+ㅂ니다/ef+./sf
[속보]	[/sl+속보/ncn+]/sr
부부간첩단	부부/ncn+간첩/ncn+단/xsn
검거	검거/ncn
발표	발표/ncn
한국	한국/nq
사회학계의	사회/ncn+학/xsn+계/xsn+의/jcm
원로인	원로/ncn+이/jp+ㄴ/etm
서울대	서울대/nq
고영복	고영복/nq
명예교수가	명예/ncn+교수/ncn+가/jcs
지난	지나/pvg+ㄴ/etm
61년	61/nno+년/nbu
남파	남파/ncn
간첩에	간첩/ncn+에/jca
포섭돼	포섭/ncpa+되/xsv+어/ecs
무려	무려/mag
36년	36/nnc+년/nbu
동안	동안/nbn
고정간첩	고정/ncn+간첩/ncn
활동을	활동/ncn+을/jco
벌여온	벌이/pvg+어/ecx+오/px+ㄴ/etm
것으로	것/nbn+으로/jca
드러났습니다.	드러나/pvg+았/ep+습니다/ef+./sf
간첩	간첩/ncn
활동	활동/ncn
내역	내역/ncn
사회학계의	사회/ncn+학계/ncn+의/jcm
원로인	원로/ncn+이/jp+ㄴ/etm
서울대	서울대/nq
고영복	고영복/nq
명예교수가	명예/ncn+교수/ncn+가/jcs
지난	지나/pvg+ㄴ/etm
61년	61/nno+년/nbu
북한에	북한/nq+에/jca
포섭된	포섭/ncpa+되/xsv+ㄴ/etm
후	후/ncn
신분을	신분/ncn+을/jco
숨긴	숨기/pvg+ㄴ/etm
채	채/nbn
무려	무려/mag
36년간	36/nnc+년/nbu+간/xsn
고정간첩으로	고정/ncpa+간첩/ncn+으로/jca
활동해온	활동/ncpa+하/xsv+어/ecx+오/px+ㄴ/etm
사실이	사실/ncn+이/jcs
안기부	안기부/nq
수사결과	수사/ncn+결과/ncn
밝혀졌습니다.	밝히/pvg+어/ecx+지/px+었/ep+습니다/ef+./sf
안기부는	안기부/nq+는/jxc
오늘	오늘/ncn
남파된	남파/ncn+되/xsv+ㄴ/etm
부부간첩과	부부/ncn+간첩/ncn+과/jcj
국내	국내/ncn
고정간첩망에	고정/ncn+간첩/ncn+망/ncn+에/jca
대한	대하/pvg+ㄴ/etm
수사결과를	수사/ncn+결과/ncn+를/jco
발표하고	발표/ncpa+하/xsv+고/ecs
고	고/nq
교수를	교수/ncn+를/jco
비롯한	비롯/ncpa+하/xsv+ㄴ/etm
고정간첩	고정/ncn+간첩/ncn
4명을	4/nnc+명/nbu+을/jco
검찰에	검찰/ncn+에/jca
송치했습니다.	송치/ncpa+하/xsv+었/ep+습니다/ef+./sf
"수사결과	"/sl+수사/ncn+결과/ncn
고정간첩으로	고정/ncn+간첩/ncn+으로/jca
드러난	드러나/pvg+ㄴ/etm
고영복	고영복/nq
서울대	서울대/nq
명예교수는	명예/ncn+교수/ncn+는/jxc
그를	그/npp+를/jco
아는	알/pvg+는/etm
주변에선	주변/ncn+에서/jca+ㄴ/etm
보수우익	보수/ncn+우익/ncn
인사로	인사/ncn+로/jca
통할	통하/pvg+ㄹ/etm
만큼	만큼/nbn
철저히	철저/ncn+히/xsa
신분을	신분/ncn+을/jco
위장해	위장/ncpa+하/xsv+어/ecx
왔다"	오/px+았/ep+다/ef+"/sr
올해	올해/ncn
68	68/nnc
살의	살/nbu+의/jcm
이	이/mmd
노교수는	노교수/ncn+는/jxc
경남	경남/nq
함양	함양/nq
출생으로	출생/ncn+으로/jca
지난	지나/pvg+ㄴ/etm
66년부터	66/nno+년/nbu+부터/jxc
93년까지	93/nno+년/nbu+까지/jxc
서울대	서울대/nq
사회학과	사회/ncn+학과/ncn
교수를	교수/ncn+를/jco
지내며	지내/pvg+며/ecs
사회학개론을	사회/ncn+학/xsn+개론/ncn+을/jco
비롯한	비롯/ncpa+하/xsv+ㄴ/etm
22권의	22/nnc+권/nbu+의/jcm
저서와	저서/ncn+와/jcj
백여편의	백/nnc+여/xsn+편/nbu+의/jcm
논문을	논문/ncn+을/jco
발표	발표/ncn
할	하/pvg+ㄹ/etm
만큼	만큼/nbn
왕성한	왕성/ncps+하/xsm+ㄴ/etm
학문활동을	학문/ncn+활동/ncn+을/jco
해왔습니다.	하/pvg+어/ecx+오/px+았/ep+습니다/ef+./sf
더욱이	더욱이/mag
지난	지나/pvg+ㄴ/etm
73년	73/nno+년/nbu
남북적십자회담	남북적십자회담/nq
당시	당시/ncn
자문위원으로	자문/ncn+위원/ncn+으로/jca
평양을	평양/nq+을/jco
다녀왔고,	다니/pvg+어/ecs+오/pvg+았/ep+고/ecs+,/sp
81년에는	81/nno+년/nbu+에/jca+는/jxc
평화통일	평화/ncn+통일/ncn
정책자문위원에	정책/ncn+자문/ncn+위원/ncn+에/jca
위촉되기까지	위촉/ncpa+되/xsv+기/etn+까지/jxc
했습니다.	하/pvg+었/ep+습니다/ef+./sf
하지만	하지만/maj
고	고/nq
교수는	교수/ncn+는/jxc
이미	이미/mag
지난	지나/pvg+ㄴ/etm
61년	61/nno+년/nbu
이대강사	이대/nq+강사/ncn
재직	재직/ncn
당시	당시/ncn
북한	북한/nq
김일성	[김일성/nq
대학	대학/ncn]nq
교수로	교수/ncn+로/jca
있던	있/paa+던/etm
삼촌	삼촌/ncn
고정욱의	고정욱/nq+의/jcm
소식을	소식/ncn+을/jco
전달하며	전달/ncpa+하/xsv+며/ecs
접근한	접근/ncpa+하/xsv+ㄴ/etm
공작원에게	공작/ncn+원/xsn+에게/jca
포섭돼	포섭/ncpa+되/xsv+어/ecs
무려	무려/mag
36년간	36/nno+년/nbu+간/xsn
고정간첩으로	고정/ncn+간첩/ncn+으로/jca
암약해온	암약/ncpa+하/xsv+어/ecx+오/px+ㄴ/etm
것으로	것/nbn+으로/jca
안기부	안기부/nq
수사결과	수사/ncn+결과/ncn
드러났습니다.	드러나/pvg+았/ep+습니다/ef+./sf
고	고/nq
교수는	교수/ncn+는/jxc
남파간첩들에게	남파/ncn+간첩/ncn+들/xsn+에게/jca
수시로	수시/ncn+로/jca
은신처와	은신/ncn+처/xsn+와/jcj
공작장비를	공작/ncn+장비/ncn+를/jco
숨기기	숨기/pvg+기/etn
위한	위하/pvg+ㄴ/etm
이른바	이른바/mag
'드보크'를	'/sl+드보크/ncn+'/sr+를/jco
제공하고	제공/ncpa+하/xsv+고/ecs
지난	지나/pvg+ㄴ/etm
89년엔	89/nno+년/nbu+에/jca+ㄴ/jxc
북한의	북한/nq+의/jcm
지령에	지령/ncn+에/jca
따라	따르/pvg+아/ecs
'남한	'/sl+남한/nq
핵무기	핵/ncn+무기/ncn
개발상황과	개발/ncn+상황/ncn+과/jcj
정세분석'	정세/ncn+분석/ncn+'/sr
보고서까지	보고/ncn+서/xsn+까지/jxc
만들어	만들/pvg+어/ecs
공작원에게	공작/ncn+원/xsn+에게/jca
건넨	건네/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
드러났습니다.	드러나/pvg+았/ep+습니다/ef+./sf
특히	특히/mag
지난	지나/pvg+ㄴ/etm
73년	73/nno+년/nbu
남북적십자회담	남북적십자회담/nq
당시	당시/ncn
평양을	평양/nq+을/jco
방문했을	방문/ncpa+하/xsv+었/ep+을/etm
땐	때/ncn+ㄴ/jxc
남측에서	남/nq+측/nbn+에서/jca
이산가족	이산/ncn+가족/ncn
상봉을	상봉/ncn+을/jco
위한	위하/pvg+ㄴ/etm
면회소	면회/ncn+소/xsn
설치를	설치/ncn+를/jco
제안할	제안/ncpa+하/xsv+ㄹ/etm
것이라는	것/nbn+이/jp+라/ef+는/etm
정보를	정보/ncn+를/jco
미리	미리/mag
대남공작원에게	대남/ncn+공작/ncn+원/xsn+에게/jca
전하기도	전하/pvg+기/etn+도/jxc
했습니다.	하/pvg+었/ep+습니다/ef+./sf
안기부는	안기부/nq+는/jxc
지난달	지나/pvg+ㄴ/etm+달/ncn
27일에	27/nno+일/nbu+에/jca
검거된	검거/ncpa+되/xsv+ㄴ/etm
부부간첩을	부부/ncn+간첩/ncn+을/jco
통해	통하/pvg+어/ecs
유사시	유사/ncn+시/xsn
국가기관시설인	국가/ncn+기관/ncn+시설/ncn+이/jp+ㄴ/etm
지하철을	지하철/ncn+을/jco
마비시키는	마비/ncpa+시키/xsv+는/etm
임무를	임무/ncn+를/jco
부여받은	부여/ncpa+받/xsv+은/etm
서울지하철공사	서울지하철공사/nq
동작설비분소장	동작/ncn+설비/ncn+분소/ncn+장/xsn
55	55/nnc
살	살/nbu
심정웅씨	심정웅/nq+씨/xsn
일가	일가/ncn
3명과	3/nnc+명/nbu+과/jcj
고	고/nq
고	교수/ncn
등	등/nbn
국내	국내/ncn
고정간첩	고정/ncn+간첩/ncn
4명을	4/nnc+명/nbu+을/jco
오늘	오늘/ncn
검찰에	검찰/ncn+에/jca
송치했습니다.	송치/ncpa+하/xsv+었/ep+습니다/ef+./sf
안기부는	안기부/nq+는/jxc
이들에	이/npd+들/xsn+에/jca
대한	대하/pvg+ㄴ/etm
조사내용을	조사/ncn+내용/ncn+을/jco
토대로	토대/ncn+로/jca
고	고/nw
교수의	교수/ncn+의/jcm
사회학과	사회/ncn+학과/ncn
동료교수인	동료/ncn+교수/ncn+이/jp+ㄴ/etm
김모	김/nq+모/ncn
교수와	교수/ncn+와/jcj
일부	일부/ncn
정계인사를	정계/ncn+인사/ncn+를/jco
비롯한	비롯/ncpa+하/xsv+ㄴ/etm
2백여명에	2백/nnc+여/xsn+명/nbu+에/jca
대해	대하/pvg+어/ecs
참고인	참고/ncn+이/jp+ㄴ/etm
조사와	조사/ncn+와/jcj
동향내사를	동향/ncn+내사/ncn+를/jco
계속하겠다고	계속/ncpa+하/xsv+겠/ep+다/ef+고/jcr
밝혔습니다.	밝히/pvg+었/ep+습니다/ef+./sf
북한직파	북한/nq+직파/ncn
부부간첩사건	부부/ncn+간첩/ncn+사건/ncn
수사발표	수사/ncn+발표/ncn
한국	한국/nq
사회학계의	사회/ncn+학계/ncn+의/jcm
원로인	원로/ncn+이/jp+ㄴ/etm
서울대	서울대/nq
고영복	고영복/nq
명예교수가	명예/ncn+교수/ncn+가/jcs
지난	지나/pvg+ㄴ/etm
61년	61/nno+년/nbu
남파	남파/ncn
간첩에	간첩/ncn+에/jca
포섭돼	포섭/ncpa+되/xsv+어/ecs
무려	무려/mag
36년	36/nno+년/nbu
동안	동안/nbn
고정간첩	고정/ncn+간첩/ncn
활동을	활동/ncn+을/jco
벌여온	벌이/pvg+어/ecx+오/px+ㄴ/etm
것으로	것/nbn+으로/jca
드러났습니다.	드러나/pvg+았/ep+습니다/ef+./sf
또	또/maj
철도와	철도/ncn+와/jcj
지하철	지하철/ncn
등	등/nbn
국가기간시설에	국가/ncn+기간/ncn+시설/ncn+에/jca
침투한	침투/ncpa+하/xsv+ㄴ/etm
고정	고정/ncn
간첩망이	간첩/ncn+망/ncn+이/jcs
적발됐습니다	적발/ncpa+되/pvg+었/ep+습니다/ef
국가안전기획부는	국가안전기획부/nq+는/jxc
남파	남파/ncn
간첩	간첩/ncn
35살	35/nnc+살/nbu
최정남과	최정남/nq+과/jcj
28살	28/nnc+살/nbu
강연정	강연정/nq
부부를	부부/ncn+를/jco
검거해	검거/ncpa+하/xsv+어/ecs
조사한	조사/ncpa+하/xsv+ㄴ/etm
결과.	결과/ncn+./sf
서울대	서울대/nq
사회학과	사회/ncn+학과/ncn
고영복	고영복/nq
명예교수와	명예/ncn+교수/ncn+와/jcj
서울지하철공사	서울지하철공사/nq
동작설비분소장	동작/ncn+설비/ncn+분소장/ncn
심정웅씨	심정웅/nq+씨/xsn
등	등/ncn
고정간첩	고정/ncn+간첩/ncn
6명을	6/nnc+명/nbu+을/jco
적발했다고	적발/ncpa+하/xsv+었/ep+다/ef+고/jcr
발표했습니다.	발표/ncpa+하/xsv+었/ep+습니다/ef+./sf
북한의	북한/nq+의/jcm
대남공작부서인	대남/nq+공작/ncn+부서/ncn+이/jp+ㄴ/etm
사회문화부	사회/ncn+문화/ncn+부/xsn
소속인	소속/ncn+이/jp+ㄴ/etm
부부간첩은	부부/ncn+간첩/ncn+은/jxc
지난	지나/pvg+ㄴ/etm
8월2일	8/nno+월/nbu+2/nno+일/nbu
잠수정을	잠수/ncn+정/xsn+을/jco
이용해	이용/ncpa+하/xsv+어/ecs
거제도	거제도/nq
해안으로	해안/ncn+으로/jca
국내에	국내/ncn+에/jca
침투한	침투/ncpa+하/xsv+ㄴ/etm
것으로	것/nbn+으로/jca
수사결과	수사/ncn+결과/ncn
드러났습니다.	드러나/pvg+았/ep+습니다/ef+./sf
안기부는	안기부/nq+는/jxc
이들이	이/npd+들/xsn+이/jcs
서울대	서울대/nq
고	고/nq
교수를	교수/ncn+를/jco
접선해	접선/ncpa+하/xsv+어/ecs
고정간첩	고정/ncn+간첩/ncn
활동을	활동/ncn+을/jco
독려하고,	독려/ncpa+하/xsv+고/ecs+,/sp
서울지하철공사	서울지하철공사/nq
심정웅	심정웅/nq
분소장을	분소/ncn+장/xsn+을/jco
접선해	접선/ncpa+하/xsv+어/ecs
유사시	유사/ncn+시/xsn
지하철을	지하철/ncn+을/jco
마비시키는	마비/ncpa+시키/xsv+는/etm
방안을	방안/ncn+을/jco
보고하도록	보고/ncpa+하/xsv+도록/ecs
지시하기	지시/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
침투했다고	침투/ncpa+하/xsv+었/ep+다/ef+고/jcr
안기부는	안기부/nq+는/jxc
밝혔습니다.	밝히/pvg+었/ep+습니다/ef+./sf
안기부는	안기부/nq+는/jxc
지난달	지나/pvg+ㄴ/etm+달/ncn
27일	27/nno+일/nbu
울산	울산/nq
모	모/mma
호텔에서	호텔/ncn+에서/jca
전국연합	[전국/ncn+연합/ncn
울산지부	울산/nq+지부/ncn]nq
간부	간부/ncn
정모씨를	정/nq+모/ncn+씨/xsn+를/jco
포섭하려는	포섭/ncpa+하/xsv+려/ecs+는/etm
현장에서	현장/ncn+에서/jca
부부간첩을	부부/ncn+간첩/ncn+을/jco
검거했으나	검거/ncpa+하/xsv+었/ep+으나/ecs
여자공작원	여자/ncn+공작/ncn+원/xsn
강연정은	강연정/nq+은/jxc
검거	검거/ncn
다음날	다음/ncn+날/ncn
몸	몸/ncn
은밀한	은밀/ncps+하/xsm+ㄴ/etm
곳에	곳/ncn+에/jca
숨기고	숨기/pvg+고/ecx
있던	있/px+던/etm
독약	독약/ncn
앰플을	앰플/ncn+을/jco
깨물어	깨물/pvg+어/ecs
자살했다고	자살ncpa+하/xsv+었/ep+다/ef+고/jcr
밝혔습니다.	밝히/pvg+었/ep+습니다/ef+./sf
안기부는	안기부/nq+는/jxc
또	또/mag
남파간첩을	남파/ncn+간첩/ncn+을/jco
조사한	조사/ncpa+하/xsv+ㄴ/etm
결과,	결과/ncn+,/sp
지난	지나/pvg+ㄴ/etm
2월	2/nno+월/nbu
귀순자	귀순/ncn+자/xsn
이한영씨	이한영/nq+씨/xsn
피격	피격/ncn
사망사건이	사망/ncn+사건/ncn+이/jcs
남파된	남파/ncpa+되/xsv+ㄴ/etm
특수	특수/ncn
공작조의	공작/ncn+조/ncn+의/jcm
소행이었던	소행/ncn+이/jp+었/ep+던/etm
것으로	것/nbn+으로/jca
드러났다고	드러나/pvg+았/ep+다/ef+고/jcr
밝혔습니다.	밝히/pvg+었/ep+습니다/ef+./sf
안기부는	안기부/nq+는/jxc
고영복	고영복/nq
교수와	교수/ncn+와/jcj
심정웅씨	심정웅/nq+씨/xsn
가족	가족/ncn
등	등/nbn
검거된	검거/ncpa+되/xsv+ㄴ/etm
6명	6/nnc+명/nbu
가운데	가운데/ncn
우선	우선/mag
4명을	4/nnc+명/nbu+을/jco
검찰에	검찰/ncn+에/jca
송치했으며	송치/ncpa+하/xsv+었/ep+으며/ecs
이들과	이/npd+들/xsn+과/jct
접촉한	접촉/ncpa+하/xsv+ㄴ/etm
2백여명을	2백/nnc+여/xsn+명/nbu+을/jco
수사	수사/ncn
또는	또는/maj
내사하고	내사/ncpa+하/xsv+고/ecx
있다고	있/px+다/ef+고/jcr
밝혔습니다.	밝히/pvg+었/ep+습니다/ef+./sf
국민신당:	국민신당/nq+:/sf
군중집회	군중/ncn+집회/ncn
안한다	안/mag+하/pvg+ㄴ다/ef
국민신당은	국민신당/nq+은/jxc
내일부터	내일/ncn+부터/jxc
전국을	전국/ncn+을/jco
순회하며	순회/ncpa+하/xsv+며/ecs
개최하려던	개최/ncpa+하/xsv+려/ecs+던/etm
지역별	지역/ncn+별/xsn
필승	필승/ncn
결의대회를	결의/ncn+대회/ncn+를/jco
모두	모두/mag
취소했습니다.	취소/ncpa+하/xsv+었/ep+습니다/ef+./sf
이인제	이인제/nq
후보는	후보/ncn+는/jxc
경제위기	경제/ncn+위기/ncn
극복을	극복/ncn+을/jco
위해	위하/pvg+어/ecs
대규모	대/xp+규모/ncn
집회를	집회/ncn+를/jco
여는	열/pvg+는/etm
대신	대신/ncn
유권자들과	유권/ncn+자/xsn+들/xsn+과/jct
직접	직접/mag
만나기로	만나/pvg+기/etn+로/jca
했다고	하/pvg+었/ep+다/ef+고/jcr
밝히고	밝히/pvg+고/ecs
다른	다르/paa+ㄴ/etm
후보들의	후보/ncn+들/xsn+의/jcm
동참을	동참/ncn+을/jco
촉구했습니다.	촉구/ncpa+하/xsv+었/ep+습니다/ef+./sf
이성철기자가	이성철/nq+기자/ncn+가/jcs
보도합니다.	보도/ncpa+하/xsv+ㅂ니다/ef+./sf
이인제	이인제/nq
후보는	후보/ncn+는/jxc
오늘	오늘/ncn
긴급기자회견을	긴급/ncn+기자/ncn+회견/ncn+을/jco
갖고	갖/pvg+고/ecs
내일	내일/mag
