<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0024.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0024.txt </filename>
<title>문학비평론  </title>
<author>홍문표  </author>
<date>1993  </date>
<publisher>양문각  </publisher>
<kdc>809  </kdc>
<ddc>801.95  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
1.	1/nno+./sf
오히려	오히려/mag
쌩뜨뵈브가	쌩뜨뵈브/nq+가/jcs
판다보다	판다/nq+보다/jca
작품의	작품/ncn+의/jcm
해석에	해석/ncn+에/jca
힘을	힘/ncn+을/jco
쓴	쓰/pvg+ㄴ/etm
[문학적초상	[/sl+문학적초상/nq
]이나	]/sr+이나/jcj
[월요한담	[/sl+월요한담/nq
]	]/sr
등에서	등/nbn+에서/jca
분석비평이	분석/ncn+비평/ncn+이/jcs
시도되었다고	시도/ncpa+되/xsv+었/ep+다/ef+고/jcr
보는	보/pvg+는/etm
것이	것/nbn+이/jcs
정당하다.	정당/ncps+하/xsm+다/ef+./sf
그러나	그러나/maj
분석비평의	분석/ncn+비평/ncn+의/jcm
본격적인	본격/ncn+적/xsn+이/jp+ㄴ/etm
활동은	활동/ncn+은/jxc
20세기에	20/nno+세기/nbu+에/jca
와서부터다.	오/pvg+아서/ecs+부터/jxc+다/ef+./sf
흄의	흄/nq+의/jcm
[사색록	[/sl+사색록/nq
]에	]/sr+에/jca
의해서	의하/pvg+어서/ecs
근대문학을	근대/ncn+문학/ncn+을/jco
비판한	비판/ncpa+하/xsv+ㄴ/etm
다음	다음/ncn
엘리어트의	엘리어트/nq+의/jcm
비평과	비평/ncn+과/jcj
리차즈의	리차즈/nq+의/jcm
[문예비평의원리	[/sl+문예비평의원리/nq
원리	원리/ncn
],	]/sr+,/sp
엠프슨의	엠프슨/nq+의/jcm
[애매성의일곱가지유형	[/sl+애매성의일곱가지유형/nq
]	]/sr
등	등/nbn
분석의	분석/ncn+의/jcm
과학성을	과학/ncn+성/xsn+을/jco
보여	보이/pvg+어/ecx
준	주/px+ㄴ/etm
작업과	작업/ncn+과/jcj
제임스	제임스/nq
[소설의예술	[/sl+소설의예술/nq
]	]/sr
등	등/nbn
소설의	소설/ncn+의/jcm
기술비평을	기술/ncn+비평/ncn+을/jco
시도한	시도/ncpa+하/xsv+ㄴ/etm
업적에	업적/ncn+에/jca
의해서	의하/pvg+어서/ecs
분석비평의	분석/ncn+비평/ncn+의/jcm
기초가	기초/ncn+가/jcs
마련된다.	마련/ncpa+되/xsv+ㄴ다/ef+./sf
그러나	그러나/maj
분석비평의	분석/ncn+비평/ncn+의/jcm
본령은	본령/ncn+은/jxc
테이트	테이트/nq
(R.Tate	(/sl+R/f+./sf+Tate/f
)	)/sr
등의	등/nbn+의/jcm
신비평	신비평/ncn
,	,/sp
스피처	스피처/nq
(L.Spitzer	(/sl+L/f+./sf+Spitzer/f
)	)/sr
등의	등/nbn+의/jcm
문체론적	문체/ncn+론/xsn+적/xsn
비평	비평/ncn
,	,/sp
몰튼의	몰튼/nq+의/jcm
귀납적	귀납/ncn+적/xsn
비평	비평/ncn
(inductive	(/sl+inductive/f
criticism	criticism/f
)	)/sr
등이라	등/nbn+이/jp+라/jcr
할	하/pvg+ㄹ/etm
것이다.	것/nbn+이/jp+다/ef+./sf
분석비평은	분석/ncn+비평/ncn+은/jxc
작품의	작품/ncn+의/jcm
자체의	자체/ncn+의/jcm
조건에	조건/ncn+에/jca
의해서	의하/pvg+어서/ecs
작품을	작품/ncn+을/jco
분석하고	분석/ncpa+하/xsv+고/ecc
이해하기	이해/ncpa+하/xsv+기/etn
때문에	때문/nbn+에/jca
문학작품에	문학/ncn+작품/ncn+에/jca
있어서의	있/paa+어서/ecs+의/jcm
언어비평	언어/ncn+비평/ncn
,	,/sp
선택	선택/ncn
,	,/sp
비듬	비듬/ncn
또한	또한/maj
이들의	이/npd+들/xsn+의/jcm
적극적인	적극/ncn+적/xsn+이/jp+ㄴ/etm
통일에	통일/ncn+에/jca
의한	의하/pvg+ㄴ/etm
구조의	구조/ncn+의/jcm
언어분석	언어/ncn+분석/ncn
(verbal	(/sl+verbal/f
analysis	analysis/f
)을	)/sr+을/jco
주로하여	주로/mag+하/pvg+어/ecs
작품을	작품/ncn+을/jco
해명한다.	해명/ncpa+하/xsv+ㄴ다/ef+./sf
3.	3/nno+./sf
비평가의	비평/ncn+가/xsn+의/jcm
관점에	관점/ncn+에/jca
따라	따르/pvg+아/ecs
작품을	작품/ncn+을/jco
평가하고	평가/ncpa+하/xsv+고/ecc
감상하는	감상/ncpa+하/xsv+는/etm
행위는	행위/ncn+는/jxc
그	그/mmd
기준의	기준/ncn+의/jcm
문제에	문제/ncn+에/jca
귀착된다.	귀착/ncpa+되/xsv+ㄴ다/ef+./sf
연역적	연역/ncn+적/xsn
관점에서의	관점/ncn+에서/jca+의/jcm
판단기준을	판단/ncn+기준/ncn+을/jco
보면	보/pvg+면/ecs
,	,/sp
객관적	객관/ncn+적/xsn
기준	기준/ncn
,	,/sp
주관적	주관/ncn+적/xsn
기준	기준/ncn
,	,/sp
상대적	상대/ncn+적/xsn
기준으로	기준/ncn+으로/jca
나뉜다.	나뉘/pvg+ㄴ다/ef+./sf
여기서	여기/npd+서/jca
각각	각각/mag
객관주의	객관/ncn+주의/ncn
비평	비평/ncn
,	,/sp
주관주의	주관/ncn+주의/ncn
비평	비평/ncn
,	,/sp
상대주의	상대/ncn+주의/ncn
비평이라는	비평/ncn+이/jp+라/jcr+는/etm
유형이	유형/ncn+이/jcs
생긴다.	생기/pvg+ㄴ다/ef+./sf
기계주의적인	기계/ncn+주의/ncn+적/xsn+이/jp+ㄴ/etm
인상을	인상/ncn+을/jco
주는	주/pvg+는/etm
이러한	이러하/pad+ㄴ/etm
분류를	분류/ncn+를/jco
못마땅하게	못마땅/ncps+하/xsm+게/ecs
여기는	여기/pvg+는/jxc
견해도	견해/ncn+도/jxc
있다.	있/paa+다/ef+./sf
상대주의는	상대/ncn+주의/ncn+는/jxc
문학의	문학/ncn+의/jcm
역사를	역사/ncn+를/jco
연관이	연관/ncn+이/jcs
없는	없/paa+는/etm
단편의	단편/ncn+의/jcm
연속	연속/ncn
,	,/sp
즉	즉/mag
비연속적인	비/xp+연속/ncn+적/xsn+이/jp+ㄴ/etm
단편으로	단편/ncn+으로/jca
변화시킨다.	변화/ncpa+시키/xsv+ㄴ다/ef+./sf
그런데	그런데/maj
대부분의	대부분/ncn+의/jcm
절대주의는	절대/ncn+주의/ncn+는/jxc
변화하는	변화/ncpa+하/xsv+는/etm
오늘의	오늘/ncn+의/jcm
상황에	상황/ncn+에/jca
이바지할	이바지/ncpa+하/xsv+ㄹ/etm
뿐이거나	뿐/nbn+이/jp+거나/ecc
,	,/sp
혹은	혹은/maj
문학의	문학/ncn+의/jcm
역사적인	역사/ncn+적/xsn+이/jp+ㄴ/etm
다양성에	다양/ncn+성/xsn+에/jca
대해서는	대하/pvg+어서는/ecs
적합하지	적합/ncps+하/xsm+지/ecx
않은	않/px+은/etm
어떤	어떤/mmd
추상적인	추상/ncn+적/xsn+이/jp+ㄴ/etm
비역사적인	비/xp+역사/ncn+적/xsn+이/jp+ㄴ/etm
이상	이상/ncn
,	,/sp
즉	즉/maj
신인문주의	신/xp+인문/ncn+주의/ncn
,	,/sp
마르크스주의	마르크스/nq+주의/ncn
신토마스주의의	신/xp+토마스/nq+주의/ncn+의/jcm
기준에	기준/ncn+에/jca
기초한다.	기초/ncpa+하/xsv+ㄴ다/ef+./sf
'퍼스텍티비즘	'/sl+퍼스텍티비즘/ncn
'은	'/sr+은/jxc
모든	모든/mma
시대에	시대/ncn+에/jca
걸쳐서	걸치/pvg+어서/ecs
비교할	비교/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있고	있/paa+고/ecc
,	,/sp
발전하고	발전/ncpa+하/xsv+고/ecc
,	,/sp
변화하고	변화/ncpa+하/xsv+고/ecc
,	,/sp
가능성에	가능/ncn+성/xsn+에/jca
가득찬	가득/mag+차/pvg+ㄴ/etm
하나의	하나/ncn+의/jcm
時	時/ncn
,	,/sp
하나의	하나/ncn+의/jcm
문학이	문학/ncn+이/jcs
존재한다는	존재/ncpa+하/xsv+ㄴ다/ef+는/etm
것을	것/nbn+을/jco
우리가	우리/npp+가/jcs
인식할	인식/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있음을	있/paa+음/etn+을/jco
의미한다.	의미/ncpa+하/xsv+ㄴ다/ef+./sf
1920년대의	1920/nno+년대/nbu+의/jcm
[백조	[/sl+백조/nq
]	]/sr
파의	파/ncn+의/jcm
낭만주의	낭만/ncn+주의/ncn
,	,/sp
1930년대의	1930/nno+년대/nbu+의/jcm
모더니즘	모더니즘/ncn
등은	등/nbn+은/jxc
그	그/mmd
시대의	시대/ncn+의/jcm
어떤	어떤/mmd
틀에	틀/ncn+에/jca
한정된	한정/ncpa+되/xsv+ㄴ/etm
일련의	일련/ncn+의/jcm
작품이	작품/ncn+이/jcc
아니라는	아니/paa+라/ef+는/etm
점에서	점/ncn+에서/jca
상대주의를	상대/ncn+주의/ncn+를/jco
부정한다.	부정/ncpa+하/xsv+ㄴ다/ef+./sf
또한	또한/maj
문학이란	문학/ncn+이/jp+란/jxc
옛날의	옛날/ncn+의/jcm
고전주의가	고전/ncn+주의/ncn+가/jcs
이상으로	이상/ncn+으로/jca
내세운	내/pvg+어/ecs+세우/pvg+ㄴ/etm
동일성이나	동일/ncn+성/xsn+이나/jcj
불편성이라는	불편/ncn+성/xsn+이/jp+라/ef+는/etm
완결된	완결/ncpa+되/xsv+ㄴ/etm
한	한/nnc
덩어리의	덩어리/nbu+의/jcm
우주가	우주/ncn+가/jcc
아니라는	아니/paa+라/ef+는/etm
점에서	점/ncn+에서/jca
절대주의를	절대/ncn+주의/ncn+를/jco
부정한다.	부정/ncpa+하/xsv+ㄴ다/ef+./sf
이리하여	이리하/pvd+어/ecs
상대주의도	상대/ncn+주의/ncn+도/jxc
절대주의도	절대/ncn+주의/ncn+도/jxc
다	다/mag
틀린	틀리/pvg+ㄴ/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
말한다.	말/ncpa+하/xsv+ㄴ다/ef+./sf
그러나	그러나/maj
통념으로서는	통념/ncn+으로서/jca+는/jxc
객관주의	객관/ncn+주의/ncn
비평	비평/ncn
,	,/sp
주관적	주관/ncn+적/xsn
비평	비평/ncn
,	,/sp
상대주의	상대/ncn+주의/ncn
비평	비평/ncn
등으로	등/nbn+으로/jca
분류하고	분류/ncpa+하/xsv+고/ecx
있다.	있/px+다/ef+./sf
주관주의	주관/ncn+주의/ncn
비평	비평/ncn
(subiective	(/sl+subjective/f
criticism	criticism/f
)은	)/sr+은/jxc
객관적	객관/ncn+적/xsn
도그마에	도그마/ncn+에/jca
대한	대하/pvg+ㄴ/etm
반동적	반동/ncn+적/xsn
비평으로	비평/ncn+으로/jca
근대의	근대/ncn+의/jcm
휴머니즘	휴머니즘/ncn
,	,/sp
개인주의	개인/ncn+주의/ncn
,	,/sp
낭만주의에	낭만/ncn+주의/ncn+에/jca
뿌리를	뿌리/ncn+를/jco
내리고	내리/pvg+고/ecx
있다.	있/px+다/ef+./sf
이	이/mmd
비평의	비평/ncn+의/jcm
기준은	기준/ncn+은/jxc
'개인의	'/sl+개인/ncn+의/jcm
감정의	감정/ncn+의/jcm
만족	만족/ncn
'이다.	'/sr+이/jp+다/ef+./sf
여기서	여기/npd+서/jca
주관주의	주관/ncn+주의/ncn
비평의	비평/ncn+의/jcm
무한한	무한/ncps+하/xsm+ㄴ/etm
分化性이	分化性/ncn+이/jcs
일어난다.	일어나/pvg+ㄴ다/ef+./sf
흔히	흔히/mag
말하는	말/ncpa+하/xsv+는/etm
인상비평	인상/ncn+비평/ncn
(impressionistic	(/sl+impressionistic/f
criticism	criticism/f
),	)/sr+,/sp
창조비평	창조/ncn+비평/ncn
(creative	(/sl+creative/f
criticism	criticism/f
)이	)/sr+이/jcs
여기에	여기/npd+에/jca
속한다.	속하/pvg+ㄴ다/ef+./sf
인상적	인상/ncn+적/xsn
비평은	비평/ncn+은/jxc
주로	주로/mag
페이터	페이터/nq
,	,/sp
시먼즈	시먼즈/nq
등의	등/nbn+의/jcm
비평에서	비평/ncn+에서/jca
볼	보/pvg+ㄹ/etm
수	수/nbn
있다.	있/paa+다/ef+./sf
창조적	창조/ncn+적/xsn
비평은	비평/ncn+은/jxc
와일드	와일드/nq
,	,/sp
스핑건	스핑건/nq
등의	등/ncn+의/jcm
비평이론이다.	비평/ncn+이론/ncn+이/jp+다/ef+./sf
객관주의	객관/ncn+주의/ncn
비평	비평/ncn
(objective	(/sl+objective/f
criticism	criticism/f
)은	)/sr+은/jxc
작품이나	작품/ncn+이나/jcj
작가의	작가/ncn+의/jcm
밖에	밖/ncn+에/jca
있는	있/paa+는/etm
객관적	객관/ncn+적/xsn
기준을	기준/ncn+을/jco
중시하는	중시/ncpa+하/xsv+는/etm
비평으로	비평/ncn+으로/jca
각	각/mma
비평가의	비평/ncn+가/xsn+의/jcm
의견	의견/ncn
및	및/maj
판단의	판단/ncn+의/jcm
일치를	일치/ncn+를/jco
요구한다.	요구/ncpa+하/xsv+ㄴ다/ef+./sf
따라서	따라서/maj
분화성이	분화/ncn+성/xsn+이/jcc
아니라	아니/paa+라/ecs
보편성이	보편/ncn+성/xsn+이/jcs
요구된다.	요구/ncpa+되/xsv+ㄴ다/ef+./sf
아리스토텔레스의	아리스토텔레스/nq+의/jcm
[시학	[/sl+시학/nq
],	]/sr+,/sp
호라티우스의	호라티우스/nq+의/jcm
[작시법	[/sl+작시법/nq
],	]/sr+,/sp
보알로의	보알로/nq+의/jcm
[작시법	[/sl+작시법/nq
]	]/sr
등은	등/nbn+은/jxc
모두	모두/mag
고전적	고전/ncn+적/xsn
비평의	비평/ncn+의/jcm
성과이다.	성과/ncn+이/jp+다/ef+./sf
이러한	이러하/pad+ㄴ/etm
성과를	성과/ncn+를/jco
기준으로	기준/ncn+으로/jca
한	하/pvg+ㄴ/etm
고전적	고전/ncn+적/xsn
비평	비평/ncn
또는	또는/maj
재단비평	재단/ncn+비평/ncn
그리고	그리고/maj
떼느의	떼느/nq+의/jcm
과학적	과학/ncn+적/xsn
역사적	역사/ncn+적/xsn
비평	비평/ncn
,	,/sp
마르크스주의	마르크스/nq+주의/ncn
비평	비평/ncn
등은	등/nbn+은/jxc
모두	모두/mag
객관주의	객관/ncn+주의/ncn
비평이다.	비평/ncn+이/jp+다/ef+./sf
영국의	영국/nq+의/jcm
비평가	비평/ncn+가/xsn
리이드는	리이드/nq+는/jxc
정신분석학적	정신/ncn+분석/ncn+학/xsn+적/xsn
비평을	비평/ncn+을/jco
시도했는데	시도/ncpa+하/xsv+었/ep+는데/ecs
,	,/sp
그것이	그것/npd+이/jcs
바로	바로/mag
상대주의	상대/ncn+주의/ncn
비평	비평/ncn
(relative	(/sl+relative/f
criticism	criticism/f
)인	)/sr+이/jp+ㄴ/etm
것이다.	것/nbn+이/jp+다/ef+./sf
정신분석학의	정신/ncn+분석/ncn+학/xsn+의/jcm
입장이라면	입장/ncn+이/jp+라면/ecs
과학적	과학/ncn+적/xsn
성격을	성격/ncn+을/jco
암시하지만	암시/ncpa+하/xsv+지만/ecs
,	,/sp
그가	그/npp+가/jcs
내세우는	내/pvg+어/ecs+세우/pvg+는/etm
기준은	기준/ncn+은/jxc
상대적이다.	상대/ncn+적/xsn+이/jp+다/ef+./sf
상대성이란	상대/ncn+성/xsn+이/jp+란/jxc
절대적인	절대/ncn+적/xsn+이/jp+ㄴ/etm
것이	것/nbn+이/jcc
아니라	아니/paa+라/ecs
문제와	문제/ncn+와/jcj
관련하여	관련/ncpa+하/xsv+어/ecs
비교할	비교/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있고	있/paa+고/ecc
수정	수정/ncn
변경할	변경/ncn+하/xsv+ㄹ/etm
수	수/nbn
있는	있/px+는/etm
특성을	특성/ncn+을/jco
말한다.	말/ncpa+하/xsv+ㄴ다/ef+./sf
리이드는	리이드/nq+는/jxc
비평의	비평/ncn+의/jcm
직능은	직능/ncn+은/jxc
'도그마	'/sl+도그마/ncn
'를	'/sl+를/jco
설정하는	설정/ncpa+하/xsv+는/etm
일이라고	일/ncn+이/jp+라/ef+고/jcr
말한다.	말/ncpa+하/xsv+ㄴ다/ef+./sf
작품을	작품/ncn+을/jco
읽고	읽/pvg+고/ecc
해명하고	해명/ncpa+하/xsv+고/ecc
판단하는	판단/ncpa+하/xsv+는/etm
기준이	기준/ncn+이/jcs
도그마이다.	도그마/ncn+이/jp+다/ef+./sf
도그마를	도그마/ncn+를/jco
설정함으로써	설정/ncpa+하/xsv+ㅁ/etn+으로써/jca
비평의	비평/ncn+의/jcm
혼란을	혼란/ncn+을/jco
막고	막/pvg+고/ecc
,	,/sp
비평의	비평/ncn+의/jcm
수준을	수준/ncn+을/jco
정서적	정서/ncn+적/xsn
차원에서	차원/ncn+에서/jca
더	더/mag
높일	높이/pvg+ㄹ/etm
수	수/nbn
있다.	있/paa+다/ef+./sf
그러나	그러나/maj
이	이/mmd
도그마	도그마/ncn
자체도	자체/ncn+도/jxc
비평하는	비평/ncpa+하/xsv+는/etm
것이	것/nbn+이/jcs
비평의	비평/ncn+의/jcm
직능이다.	직능/ncn+이/jp+다/ef+./sf
여기서	여기/npd+서/jca
도그마의	도그마/ncn+의/jcm
수정	수정/ncn
변경이	변경/ncn+이/jcs
가능하다는	가능/ncps+하/xsm+다/ef+는/etm
사실	사실/ncn
,	,/sp
곧	곧/maj
비평기준의	비평/ncn+기준/ncn+의/jcm
상대성을	상대/ncn+성/xsn+을/jco
볼	보/pvg+ㄹ/etm
수	수/nbn
있다.	있/paa+다/ef+./sf
주관	주관/ncn
,	,/sp
객관의	객관/ncn+의/jcm
문제는	문제/ncn+는/jxc
다시	다시/mag
비평을	비평/ncn+을/jco
작품의	작품/ncn+의/jcm
이해	이해/ncn
즉	즉/maj
의미의	의미/ncn+의/jcm
설명으로	설명/ncn+으로/jca
보느냐	보/pvg+느냐/ef
또는	또는/maj
작품의	작품/ncn+의/jcm
평가	평가/ncn
,	,/sp
즉	즉/maj
좋고	좋/paa+고/ecc
나쁨의	나쁘/paa+ㅁ/etn+의/jcm
시비로	시비/ncn+로/jca
보느냐	보/pvg+느냐/ef
하는	하/pvg+는/etm
문제와	문제/ncn+와/jct
직결된다.	직결/ncpa+되/xsv+ㄴ다/ef+./sf
작품의	작품/ncn+의/jcm
의미는	의미/ncn+는/jxc
객관적이지만	객관/ncn+적/xsn+이/jp+지만/ecs
작품의	작품/ncn+의/jcm
가치는	가치/ncn+는/jxc
보는	보/pvg+는/etm
사람에	사람/ncn+에/jca
따라	따르/pvg+아/ecs
달라질	달라지/pvg+ㄹ/etm
수도	수/nbn+도/jxc
있으니	있/paa+으니/ecs
주관적이라는	주관/ncn+적/xsn+이/jp+라/jcr+는/etm
것이다.	것/nbn+이/jp+다/ef+./sf
원본비평	원본/ncn+비평/ncn
(textual	(/sl+textual/f
criticism	criticism/f
),	)/sr+,/sp
문학사	문학/ncn+사/xsn
,	,/sp
해서학	해서/ncn+학/xsn
등은	등/nbn+은/jxc
객관적	객관/ncn+적/xsn
사실의	사실/ncn+의/jcm
이해를	이해/ncn+를/jco
강조하고	강조/ncpa+하/xsv+고/ecc
작품과	작품/ncn+과/jcj
작가의	작가/ncn+의/jcm
가치평가는	가치/ncn+평가/ncn+는/jxc
되도록	되/pvg+도록/ecs
회피한다.	회피/ncpa+하/xsv+ㄴ다/ef+./sf
일부	일부/ncn
신화비평가도	신화/ncn+비평/ncn+가/xsn+도/jxc
문학의	문학/ncn+의/jcm
근본구조의	근본/ncn+구조/ncn+의/jcm
이해를	이해/ncn+를/jco
강조하며	강조/ncpa+하/xsv+며/ecc
평가를	평가/ncn+를/jco
거부한다.	거부/ncpa+하/xsv+ㄴ다/ef+./sf
따라서	따라서/maj
객관주의자들은	객관/ncn+주의/ncn+자/xsn+들/xsn+은/jxc
자기들을	자기/npp+들/xsn+을/jco
비평가라	비평/ncn+가/xsn+라/jcr
하지	하/pvg+지/ecx
않고	않/px+고/ecc
학자로	학자/ncn+로/jca
자처하든가	자처/ncpa+하/xsv+든가/ecc
,	,/sp
진정한	진정/ncps+하/xsm+ㄴ/etm
비평은	비평/ncn+은/jxc
문학이라는	문학/ncn+이/jp+라/jcr+는/etm
전체적	전체/ncn+적/xsn
체계를	체계/ncn+를/jco
밝혀내는	밝히/pvg+어/ecx+내/px+는/etm
일이지	일/ncn+이/jp+지/ef
주관적	주관/ncn+적/xsn
평가작업이	평가/ncn+작업/ncn+이/jcc
되어서는	되/pvg+어서/ecs+는/jxc
안된다고	안되/pvg+ㄴ다/ef+고/jcr
주장하기도	주장/ncpa+하/xsv+기/etn+도/jxc
한다.	하/pvg+ㄴ다/ef+./sf
그러나	그러나/maj
아무리	아무리/mag
객관적	객관/ncn+적/xsn
사실들의	사실/ncn+들/xsn+의/jcm
이해만을	이해/ncn+만/jxc+을/jco
취급한다는	취급/ncpa+하/xsv+ㄴ다/ef+는/etm
학자라	학자/paa+라/ecs
해도	하/pvg+어도/ecs
무명	무명/ncn
작가가	작가/ncn+가/jcc
아닌	아니/paa+ㄴ/etm
위대한	위대/ncps+하/xsm+ㄴ/etm
작가의	작가/ncn+의/jcm
작품을	작품/ncn+을/jco
골라서	고르/pvg+아서/ecs
연구하는	연구/ncpa+하/xsv+는/etm
것을	것/nbn+을/jco
보면	보/pvg+면/ecs
그들이	그/npp+들/xsn+이/jcs
일단은	일단/ncn+은/jxc
가치평가를	가치/ncn+평가/ncn+를/jco
하고	하/pvg+고/ecc
작업에	작업/ncn+에/jca
임한다는	임하/pvg+ㄴ다/ef+는/etm
것이	것/nbn+이/jcs
분명하다.	분명/ncps+하/xsm+다/ef+./sf
다시	다시/mag
말하면	말/ncpa+하/xsv+면/ecs
비평은	비평/ncn+은/jxc
가치평가를	가치/ncn+평가/ncn+를/jco
완전히	완전/ncn+히/xsa
외면할	외면/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없다.	없/paa+다/ef+./sf
오히려	오히려/mag
비평은	비평/ncn+은/jxc
가치평가가	가치/ncn+평가/ncn+가/jcs
궁극적	궁극/ncn+적/xsn
목적이며	목적/ncn+이/jp+며/ecc
이	이/mmd
가치평가를	가치/ncn+평가/ncn+를/jco
뒷받침하기	뒷받침/ncpa+하/xsv+기/etn
위하여	위하/pvg+어/ecs
이해를	이해/ncn+를/jco
공고히	공고/ncn+히/xsa
하는	하/pvg+는/etm
것은	것/nbn+은/jxc
그	그/mmd
부수적	부수/ncn+적/xsn
작업이	작업/ncn+이/jcc
된다고	되/pvg+ㄴ다/ef+고/jcr
보아야	보/pvg+아야/ecs
한다.	하/px+ㄴ다/ef+./sf
4.	4/nno+./sf
작품조건에	작품/ncn+조건/ncn+에/jca
따라	따르/pvg+아/ecs
전통적인	전통/ncn+적/xsn+이/jp+ㄴ/etm
비평의	비평/ncn+의/jcm
이론과	이론/ncn+과/jcj
실제의	실제/ncn+의/jcm
유형은	유형/ncn+은/jxc
문학작품을	문학/ncn+작품/ncn+을/jco
설명하고	설명/ncpa+하/xsv+고/ecc
판단하는	판단/ncpa+하/xsv+는/etm
데	데/nbn
있어서	있/paa+어서/ecs
,	,/sp
그것들이	그것/npd+들/xsn+이/jcs
기본적으로	기본/ncn+적/xsn+으로/jca
그	그/mmd
작품을	작품/ncn+을/jco
외부세계	외부/ncn+세계/ncn
혹은	혹은/maj
독자	독자/ncn
또는	또는/maj
저자에	저자/ncn+에/jca
귀착시키는가	귀착/ncpa+시키/xsv+는가/ef
,	,/sp
아니면	아니/paa+면/ecs
작품	작품/ncn
그	그/mmd
자체를	자체/ncn+를/jco
하나의	하나/ncn+의/jcm
실체로	실체/ncn+로/jca
보는가에	보/pvg+는가/ef+에/jca
따라서	따르/pvg+아서/ecs
몇	몇/mma
가지로	가지/nbu+로/jca
구별될	구별/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있다.	있/paa+다/ef+./sf
에이브럼즈는	에이브럼즈/nq+는/jxc
문학이	문학/ncn+이/jcs
그것을	그것/npd+을/jco
취급하는	취급/ncpa+하/xsv+는/etm
사물과의	사물/ncn+과/jct+의/jcm
관계에서	관계/ncn+에서/jca
볼	보/pvg+ㄹ/etm
때에는	때/ncn+에는/jca
모방론적	모방/ncn+론/xsn+적/xsn
비평관이	비평/ncn+관/xsn+이/jcs
성립되며	성립/ncpa+되/xsv+며/ecc
,	,/sp
문학이	문학/ncn+이/jcs
독자에게	독자/ncn+에게/jca
미치는	미치/pvg+는/etm
영향과의	영향/ncn+과/jct+의/jcm
관계에서	관계/ncn+에서/jca
볼	보/pvg+ㄹ/etm
때는	때/ncn+는/jxc
효용론적	효용/ncn+론/xsn+적/xsn
비평관이	비평/ncn+관/xsn+이/jcs
성립되고	성립/ncpa+되/xsv+고/ecc
,	,/sp
문학을	문학/ncn+을/jco
작가와의	작가/ncn+와/jct+의/jcm
관계에서	관계/ncn+에서/jca
볼	보/pvg+ㄹ/etm
때는	때/ncn+는/jxc
표현론적	표현/ncn+론/xsn+적/xsn
비평관이	비평/ncn+관/xsn+이/jcs
성립되고	성립/ncpa+되/xsv+고/ecc
,	,/sp
문학을	문학/ncn+을/jco
그	그/mmd
자체로서	자체/ncn+로서/jca
하나의	하나/ncn+의/jcm
자족적	자족/ncn+적/xsn
존재가	존재/ncn+가/jcc
된다고	되/pvg+ㄴ다/ef+고/jcr
볼	보/pvg+ㄹ/etm
때는	때/ncn+는/jxc
존재론적	존재/ncn+론/xsn+적/xsn
혹은	혹은/maj
객관적	객관/ncn+적/xsn
비평관이	비평/ncn+관/xsn+이/jcs
성립된다고	성립/ncpa+되/xsv+ㄴ다/ef+고/jcr
설명하고	설명/ncpa+하/xsv+고/ecx
있다.	있/px+다/ef+./sf
모방론적	모방/ncn+론/xsn+적/xsn
비평	비평/ncn
(mimetic	(/sl+mimetic/f
criticism	criticism/f
)은	)/sr+은/jxc
문학작품을	문학/ncn+작품/ncn+을/jco
세계와	세계/ncn+와/jcj
인간생활의	인간/ncn+생활/ncn+의/jcm
모방	모방/ncn
반영	반영/ncn
혹은	혹은/maj
재현으로	재현/ncn+으로/jca
보며	보/pvg+며/ecc
,	,/sp
작품에	작품/ncn+에/jca
적용되는	적용/ncpa+되/xsv+는/etm
기본적	기본/ncn+적/xsn
기준은	기준/ncn+은/jxc
그것이	그것/npd+이/jcs
재현하거나	재현/ncpa+하/xsv+거나/ecc
재현해야만	재현/ncpa+하/xsv+어야/ecs+만/jxc
할	하/px+ㄹ/etm
대상에	대상/ncn+에/jca
대한	대하/pvg+ㄴ/etm
재현의	재현/ncn+의/jcm
'진실성	'/sl+진실/ncn+성/xsn
'이라는	'/sl+이/jp+라/ef+는/etm
것이다.	것/nbn+이/jp+다/ef+./sf
이	이/mmd
비평양식은	비평/ncn+양식/ncn+은/jxc
플라톤과	플라톤/nq+과/jcj
아리스토텔레스에게서	아리스토텔레스/nq+에게서/jca
처음	처음/ncn
나타났으며	나타나/pvg+았/ep+으며/ecs
,	,/sp
현대	현대/ncn
리얼리즘	리얼리즘/ncn
문학이론의	문학/ncn+이론/ncn+의/jcm
특징이기도	특징/ncn+이/jp+기/etn+도/jxc
하다.	하/px+다/ef+./sf
효용론적	효용/ncn+론/xsn+적/xsn
비평	비평/ncn
(pragmatic	(/sl+pragmatic/f
criticism	criticism/f
)은	)/sr+은/jxc
작품을	작품/ncn+을/jco
