<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0451.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0451.txt </filename>
<title>재미있는 물리실험이야기  </title>
<author>L. J. 가리펠시타인 저 ; 장경룡 역</author>
<date>1993  </date>
<publisher>팬더북 </publisher>
<kdc>420  </kdc>
<ddc>530 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
제	제/xp
한번	한/nnc+번/nbu
켜고	켜/pvg+고/ecx
나면	나/px+면/ecs
판자가	판자/ncn+가/jcs
한	한/nnc
장이	장/nbu+이/jcs
나오고	나오/pvg+고/ecc
,	,/sp
다시	다시/mag
한	한/nnc
번	번/nbu
켜대면	켜/pvg+대/px+면/ecs
또	또/maj
다시	다시/mag
한	한/nnc
장이	장/nbu+이/jcs
나오곤	나오/pvg+고/ecx+ㄴ/etm
하는	하/px+는/etm
식이었습니다	식/ncn+이/jp+었/ep+습니다/ef
.	./sf
이것은	이것/npd+은/jxc
굉장히	굉장/ncn+히/xsa
힘겨운	힘겹/paa+ㄴ/etm
노동이었습니다	노동/ncn+이/jp+었/ep+습니다/ef
.	./sf
오늘날에는	오늘날/ncn+에/jca+는/jxc
이와	이/npd+와/jct
같이	같/paa+이/xsa
톱질을	톱질/ncn+을/jca
하는	하/pvg+는/etm
광경은	광경/ncn+은/jxc
어디서도	어디/npd+서/jca+도/jxc
찾아	찾/pvg+아/ecx
볼	보/px+ㄹ/etm
수	수/nbn
없게	없/paa+게/ecx
되었습니다	되/pvg+었/ep+습니다/ef
.	./sf
하지만	하지만/maj
장난감	장난/ncn+감/xsn
톱장이라면	톱장이/ncn+라면/jca
금세	금세/ncn
만들	만들/pvg+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
그	그/mmd
장난감은	장난/ncn+감/xsn+은/jxc
아주	아주/mag
열심히	열심/ncn+히/xsa
고개를	고개/ncn+를/jco
꾸벅거리면서	꾸벅거리/pvg+면서/ecs
테이블가를	테이블/ncn+가/ncn+를/jco
톱으로	톱/ncn+으로/jca
켜낼	켜/pvg+내/px+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
그렇다고	그렇다고/maj
해서	하/pvg+어서/ecs
이	이/mmd
장난감	장난/ncn+감/ㅌㄴ
때문에	때문/nbn+에/jca
테이블에	테이블/ncn+에/jca
손상이	손상/ncn+이/jcs
가는	가/pvg+는/etm
것은	것/nbn+은/jxc
아니므로	아니/paa+므로/ecs
걱정하지	걱정/ncpa+하/xsv+지/ecx
말고	말/px+고/ecc
만들어	만들/pvg+어/ecx
봅시다	보/px+ㅂ시다/ef
.	./sf
톱장이	톱장이/ncn
인형의	인형/ncn+의/jcm
몸통으로는	몸통/ncn+으로/jca+는/jxc
병마개로	병마개/ncn+로/jca
쓰이는	쓰이/pvg+는/etm
코르크가	코르크/ncn+가/jcs
좋습니다	좋/paa+습니다/ef
.	./sf
코르크는	코르크/ncn+는/jxc
클수록	크/paa+ㄹ수록/ecs
좋습니다만	좋/paa+습니다/ef+만/jxc
,	,/sp
만일	만일/mag
구할	구하/pvg+ㄹ/etm
수	수/nbn
없으면	없/paa+으면/ecs
길이	길이/ncn
4	4/nno
,	,/sp
5	5/nno
센티미터	센티미터/nbu
되는	되/pvg+는/etm
굵은	굵/paa+은/etm
당근	당근/ncn
토막	토막/ncn
같은	같/paa+은/etm
것도	것/nbn+도/jxc
상관	상관/ncn
없습니다	없/paa+습니다/ef
.	./sf
다만	다만/mag
,	,/sp
당근	당근/mag
같은	같/paa+은/etm
것을	것/nbn+을/jco
쓰면	쓰/pvg+면/ecs
하룻만에	하룻/ncn+만/jxc+에/jca
수분이	수분/ncn+이/jcs
빠져	빠지/pvg+어/ecx
쭈그러들어	쭈그러들/pvg+어/ecx
버리므로	버리/px+므로/ecs
오래	오래/mag
가지는	가지/pvg+는/etm
못합니다	못하/px+ㅂ니다/ef
.	./sf
다음에	다음/ncn+에/jca
,	,/sp
성냥개비	성냥/ncn+개비/ncn
두	두/nnc
개를	개/nbu+를/jco
준비하여	준비/ncpa+하/xsv+어/ecs
그	그/mmd
끄트머리를	끄트머리/ncn+를/jco
뾰족하게	뾰족/ncps+하/xsm+게/ecs
깎아	깎/pvg+아/ecs
밑에서부터	밑/ncn+에서/jca+부터/jxc
푹	푹/mag
꽂습니다	꽂/pvg+습니다/ef
.	./sf
이게	이/pvg+게/ecs
인형의	인형/ncn+의/jcm
다리입니다	다리/ncn+이/jp+ㅂ니다/ef
.	./sf
성냥개비의	성냥/ncn+개비/ncn+의/jcm
대가리가	대가리/ncn+가/jcs
톱장이의	톱장이/ncn+의/jcm
신발처럼	신발/ncn+처럼/jca
보이겠지요	보이/pvg+겠/ep+지요/ef
.	./sf
톱은	톱/ncn+은/jxc
굵은	굵/paa+은/etm
철사로	철사/ncn+로/jca
만듭니다	만들/pvg+ㅂ니다/ef
.	./sf
철사	철사/ncn
길이는	길이/ncn+는/jxc
인형의	인형/ncn+의/jcm
키보다	키/ncn+보다/jca
2	2/nno
,	,/sp
3배	3/nno+배/ncn
정도	정도/ncn
필요합니다	필요/ncps+하/xsm+ㅂ니다/ef
.	./sf
철사의	철사/ncn+의/jcm
위쪽	위/ncn+쪽/nbn
끄트머리는	끄트머리/ncn+는/jxc
코르크로	코르크/ncn+로/jca
된	되/pvg+ㄴ/etm
몸통의	몸통/ncn+의/jcm
앞가슴에	앞/ncn+가슴/ncn+에/jca
튼튼하게	튼튼하/paa+게/ecs
푹	푹/mag
꽂습니다	꽂/pvg+습니다/ef
.	./sf
철사의	철사/ncn+의/jcm
아래쪽	아래/ncn+쪽/nbn
끄트머리에는	끄트머리/ncn+에/jca+는/jxc
감자를	감자/ncn+를/jco
꽂아	꽂/pvg+아/ecs
놓거나	놓/pvg+거나/ecs
,	,/sp
그렇지	그렇/pad+지/ecx
않으면	않/px+으면/ecs
무거운	무겁/paa+ㄴ/etm
나사	나사/ncn
같은	같/paa+은/etm
것이라도	것/nbn+이/jp+라/jca+도/jxc
끼워	끼우/pvg+어/ecx
놓으면	놓/px+으면/ecs
될	되/pvg+ㄹ/etm
것입니다	것이/paa+ㅂ니다/ef
.	./sf
인형의	인형/ncn+의/jcm
머리와	머리/ncn+와/jcj
손은	손/ncn+은/jxc
종이를	종이/ncn+를/jco
오려	오리/pvg+어/ecx
내어	내/px+어/ecs
몸통에	몸통/ncn+에/jca
붙여	붙이/pvg+어/ecx
놓아도	놓/px+아/ecs+도/jxc
되고	되/pvg+고/ecc
,	,/sp
찰흙으로	찰흙/ncn+으로/jca
만들어도	만들/pvg+어/ecs+도/jxc
좋습니다	좋/paa+습니다/ef
.	./sf
철사를	철사/ncn+를/jco
톱처럼	톱/ncn+처럼/jca
보이게	보이/pvg+게/ecx
하기	하/px+기/etn
위해서는	위하/pvg+어서/ecs+는/etm
거기에	거기/npd+에/jca
이를	이/npd+를/jco
냅니다	내/pvg+ㅂ니다/ef
.	./sf
가늘고	가늘/paa+고/ecc
긴	기/paa+ㄴ/etm
종이를	종이/ncn+를/jco
톱니처럼	톱니/ncn+처럼/jca
오려내어	오/pvg+려/ecx+내/px+어/ecs
접착제로	접착/ncn+제/xsn+로/jca
철사에	철사/ncn+에/jca
붙이면	붙이/pvg+면/ecx
됩니다	되/pvg+ㅂ니다/ef
.	./sf
톱장이	톱장이/ncn
인형은	인형/ncn+은/jxc
즉시	즉시/mag
자기의	자기/npp+의/jcm
수고스러운	수고/ncps+스럽/xsm+ㄴ/etm
노동에	노동/ncn+에/jca
착수할	착수/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
인형을	인형/ncn+을/jco
테이블가에	테이블/ncn+가/ncn+에/jca
세워	세우/pvg+어/ecx
놓고	놓/px+고/ecc
벌렁	벌렁/mag
넘어지지	넘/pvg+어/ecx+지/px+지/ecx
않도록	않/px+도록/ecs
철사를	철사/ncn+를/jco
구부려	구부리/pvg+어/ecs
조절합니다	조절/ncpa+하/xsv+ㅂ니다/ef
.	./sf
그러면	그러면/maj
감자	감자/ncn
(	(/sl
또는	또는/maj
나사	나사/ncn
)	)/sr
를	를/jco
잡고	잡/pvg+고/ecc
흔들어	흔들/pvg+어/ecx
봅시다	보/px+ㅂ시다/ef
.	./sf
톱장이는	톱장이/ncn+는/jxc
톱질을	톱/ncn+질/xsn+을/jco
하기	하/pvg+기/etn
시작합니다	시작/ncpa+하/xsv+ㅂ니다/ef
.	./sf
하나	하나/nnc
둘	둘/nnc
,	,/sp
하나	하나/nnc
둘	둘/nnc
.	./sf
이리하여	이리하여/maj
인형은	인형/ncn+은/jxc
오랫동안	오랫동안/ncn
톱질하는	톱질/ncpa+하/xsv+는/etm
일을	일/ncn+을/jco
합니다	하/px+ㅂ니다/ef
.	./sf
지쳐서	지치/pvg+어서/ecs
움직이지	움직이/pvg+지/ecx
않으면	않/px+으면/ecs
또다시	또다시/mag
흔들어	흔들/pvg+어/ecx
주면	주/px+면/ecs
되니까요	되/pvg+니까요/ef
.	./sf
제	제/xp
2	2/nno
장	장/nbu
참새가	참새/ncn+가/jcs
나뭇가지에	나뭇가지/ncn+에/jca
앉았다	앉/pvg+았/ep+다/ef
1	1/nno
.	./sf
나뭇가지에	나뭇가지/ncn+에/jca
앉은	앉/pvg+은/etm
참새	참새/ncn
이것도	이것/npd+도/jxc
안정생태를	안정/ncn+생태/ncn+를/jco
유지하려고	유지/ncpa+하/xsv+려고/ecx
하는	하/px+는/etm
균형을	균형/ncn+을/jco
위한	위하/pvg+ㄴ/etm
재미있는	재미/ncn+있/paa+는/etm
장난감입니다	장난/ncn+감/xsn+이/jp+ㅂ니다/ef
.	./sf
참새의	참새/ncn+의/jcm
몸과	몸/ncn+과/jcj
머리는	머리/ncn+는/jxc
찰흙을	찰흙/ncn+을/jco
빚어서	빚/pvg+어서/ecs
만들기로	만들/pvg+기/etn+로/jca
합니다	하/pvg+ㅂ니다/ef
.	./sf
아름다운	아름답/paa+ㄴ/etm
부리는	부리/ncn+는/jxc
아카시아	아카시아/ncn
등과	등/nbn+과/jct
같은	같/paa+은/etm
가시가	가시/ncn+가/jcs
있는	있/paa+는/etm
식물의	식물/ncn+의/jcm
가시를	가시/ncn+를/jco
쓰면	쓰/pvg+면/ecs
좋습니다만	좋/paa+습니다/ef+만/jxc
,	,/sp
만일	만일/mag
적당한	적당/ncps+하/xsm+ㄴ/etm
가지가	가지/nbu+가/jcs
없으면	없/paa+으면/ecs
짤막한	짤막/ncps+하/xsm+ㄴ/etm
막대기를	막대기/ncn+를/jco
뾰족하게	뾰족하/paa+게/ecs
깎아서	깎/pvg+아서/ecs
부리로	부리/ncn+로/jca
삼기	삼/pvg+기/etn
바랍니다	바라/pvg+ㅂ니다/ef
.	./sf
참새의	참새/ncn+의/jcm
눈은	눈/ncn+은/jxc
작은	작/paa+은/etm
장식용	장식/ncn+용/xsn
구슬이나	구슬/ncn+이나/jcj
성냥골을	성냥골/ncn+을/jco
이용할	이용/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
꽁지와	꽁지/ncn+와/jcj
깃으로는	깃/ncn+으로/jca+는/jxc
어딘가에	어디/npd+ㄴ가/ef+에/jxc
떨어져	떨어지/pvg+어/ecx
있는	있/px+는/etm
새의	새/ncn+의/jcm
깃털을	깃털/ncn+을/jco
써도	쓰/pvg+어/ecs+도/jxc
좋고	좋/paa+고/ecc
,	,/sp
종이로	종이/ncn+로/jca
만들어도	만들/pvg+어/ecs+도/jxc
될	되/pvg+ㄹ/etm
것입니다	것이/paa+ㅂ니다/ef
.	./sf
발은	발/ncn+은/jxc
성냥골로	성냥골/ncn+로/jca
충분합니다	충분/ncps+하/xsm+ㅂ니다/ef
.	./sf
철사	철사/ncn
한	한/nnc
개를	개/nbu+를/jco
마련하여	마련/ncpa+하/xsv+어/ecs
,	,/sp
그것을	그것/npd+을/jco
참새의	참새/ncn+의/jcm
몸에	몸/ncn+에/jca
꽂은	꽂/pvg+은/etm
다음	다음/ncn
,	,/sp
한쪽	한쪽/ncn
끝에는	끝/ncn+에/jca+는/jxc
그림과	그림/ncn+과/jct
같이	같/paa+이/xsa
균형을	균형/ncn+을/jco
잡기	잡/pvg+기/etn
위한	위하/pvg+ㄴ/etm
추를	추/ncn+를/jco
답니다	달/pvg+ㅂ니다/ef
.	./sf
이	이/mmd
추는	추/pvg+는/etm
찰흙	찰흙/ncn
덩어리와	덩어리/ncn+와/jct
작은	작/paa+은/etm
감자	감자/ncn
,	,/sp
혹은	혹은/maj
철사를	철사/ncn+를/jco
낚싯바늘	낚싯/ncn+바늘/ncn
끝처럼	끝/ncn+처럼/jca
꼬부려	꼬부리/pvg+어/ecs
나사를	나사/ncn+를/jco
걸어	걸/pvg+어/ecx
놓아도	놓/px+아/ecs+도/jxc
됩니다	되/pvg+ㅂ니다/ef
.	./sf
추의	추/ncn+의/jcm
무게가	무게/ncn+가/jcs
충분하면	충분/ncps+하/xsm+면/ecs
참새는	참새/ncn+는/jxc
손가락	손가락/ncn
위에	위/ncn+에/jca
잘	잘/mag
앉게	앉/pvg+게/ecx
될	되/pvg+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
만일	만일/mag
이	이/mmd
참새를	참새/ncn+를/jco
정원의	정원/ncn+의/jcm
작은	작/paa+은/etm
나뭇가지에	나뭇/ncn+가지/ncn+에/jca
올려	올리/pvg+어/ecx
놓으면	놓/px+으면/ecs
장난감	장난/ncn+감/xsn
참새는	참새/ncn+는/jxc
진짜	진짜/ncn
작은	작/paa+은/etm
새처럼	새/ncn+처럼/jca
가볍게	가볍/paa+게/ecs
흔들릴	흔들리/pvg+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
겨울이	겨울/ncn+이/jcs
되면	되/pvg+면/ecs
크리스마스를	크리스마스/ncn+를/jco
축하할	축하/ncpa+하/xsv+ㄹ/etm
때	때/ncn
쓰이는	쓰이/pvg+는/etm
전나무에	전나무/ncn+에/jca
앉혀	앉히/pvg+어/ecx
놓는	놓/px+는/etm
것도	것/nbn+도/jxc
좋은	좋/paa+은/etm
생각입니다	생각/ncn+이/jp+ㅂ니다/ef
.	./sf
그러면	그러면/maj
,	,/sp
이	이/mmd
참새의	참새/ncn+의/jcm
몸에	몸/ncn+에/jca
달아	달/pvg+아/ecx
놓은	놓/px+은/etm
추가	추/ncn+가/jcs
참새의	참새/ncn+의/jcm
몸무게보다도	몸무게/ncn+보다/jca+도/jxc
훨씬	훨씬/mag
더	더/mag
가볍다면	가볍/paa+다/ef+면/ecs
어떻게	어떻/pad+게/ecx
될까요	되/pvg+ㄹ까요/ef
?	?/sf
이	이/mmd
귀여운	귀엽/paa+ㄴ/etm
작은	작/paa+은/etm
새는	새/ncn+는/jxc
나뭇가지에	나뭇가지/ncn+에/jca
계속	계속/mag
앉아	앉/pvg+아/ecx
있을까요	있/px+ㄹ까요/ef
?	?/sf
그렇지	그렇/pad+지/ecx
않으면	않/px+으면/ecs
굴러	굴/pvg+러/ecs
떨어져	떨어지/pvg+어/ecx
버릴까요	버리/px+ㄹ까요/ef
?	?/sf
연필과	연필/ncn+과/jct
나이프를	나이프/ncn+를/jco
사용한	사용/ncpa+하/xsv+ㄴ/etm
실험을	실험/ncn+을/jco
했을	하/pvg+었/ep+을/etm
때에는	때/ncn+에/jca+는/jxc
무게의	무게/ncn+의/jcm
대부분이	대부분/ncn+이/jcs
받침점보다도	받침/ncn+점/ncn+보다/jca+도/jxc
밑에	밑/ncn+에/jca
있으면	있/paa+으면/ecs
연필은	연필/ncn+은/jxc
균형이	균형/ncn+이/jcs
잡혀	잡히/pvg+어/ecs
똑바로	똑바로/mag
설	서/pvg+ㄹ/etm
수	수/nbn
있었습니다	있/paa+었/ep+습니다/ef
.	./sf
그런데	그런데/maj
추가	추/ncn+가/jcs
가벼운	가볍/paa+ㄴ/etm
참새의	참새/ncn+의/jcm
경우에는	경우/ncn+에/jca+는/jxc
대부분의	대부분/ncn+의/jcm
무게가	무게/ncn+가/jcs
참새의	참새/ncn+의/jcm
몸통	몸통/ncn
부분	부분/ncn
,	,/sp
즉	즉/maj
받침점이	받침/ncn+점/ncn+이/jcs
되어	되/pvg+어/ecx
있는	있/px+는/etm
발보다도	발/ncn+보다/jca+도/jxc
위에	위/ncn+에/jca
와	오/pvg+아/ecx
버리는	버리/px+는/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
그렇다면	그렇다면/maj
추가	추/ncn+가/jcs
가벼운	가볍/paa+ㄴ/etm
참새는	참새/ncn+는/jxc
나뭇가지에	나뭇/ncn+가지/ncn+에/jca
앉아	앉/pvg+아/ecx
있을	있/px+을/etm
수	수/nbn
없는	없/paa+는/etm
가엾은	가엾/paa+ㄴ/etm
작은	작/paa+은/etm
새일까요	새/ncn+이/jp+ㄹ까요/ef
?	?/sf
해답을	해답/ncn+을/jco
서두르지	서두르/pvg+지/ecx
말기를	말/px+기/etn+를/jco
!	!/sf
다시	다시/mag
한	한/nnc
번	번/nbu
처음부터	처음/ncn+부터/jxc
실험을	실험/ncn+을/jco
해	하/pvg+어/ecx
봅시다	보/px+ㅂ시다/ef
.	./sf
철사에	철사/ncn+에/jca
달아맨	달/pvg+아/ecs+매/pvg+ㄴ/etm
추를	추/ncn+를/jco
철사를	철사/ncn+를/jco
따라	따라/pvg+아/ecs
위아래로	위/ncn+아래/ncn+로/jca
조금씩	조금/ncn+씩/xsn
움직여	움직이/pvg+어/ecx
보십시요	보/px+십시요/ef
.	./sf
그	그/mmd
가벼운	가볍/paa+ㄴ/etm
추를	추/ncn+를/jxc
이리저리	이리저리/mag
자리를	자리/ncn+를/jco
옮겨	옮기/pvg+어/ecx
보고	보/px+고/ecx
참새가	참새/ncn+가/jcs
안정감	안정/ncn+감/xsn
있게	있/paa+게/ecs
균형이	균형/ncn+이/jcs
잡히는	잡히/pvg+는/etm
위치가	위치/ncn+가/jcs
발견되면	발견/ncpa+되/xsv+면/ecs
그	그/mmd
추는	추/ncn+는/jxc
아래	아래/ncn
쪽에	쪽/nbn+에/jca
있을수록	있/paa+ㄹ수록/ecs
안정된다는	안정/ncpa+되/xsv+ㄴ다/ef+는/etm
것을	것/nbn+을/jco
알게	알/pvg+게/ecx
될	되/pvg+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
또한	또한/maj
추가	추/ncn+가/jcs
놓은	놓/px+은/etm
위치	위치/ncn
(	(/sl
참새의	참새/ncn+의/jcm
몸통에	몸통/ncn+에/jca
가까운	가깝/paa+ㄴ/etm
위치	위치/ncn
)	)/sr
에	에/jca
오면	오/pvg+면/ecs
참새는	참새/ncn+는/jxc
벌렁	벌렁/mag
넘어져	넘/pvg+어/ecx+지/px+어/ecx
버리고	버리/px+고/ecx
맙니다	말/px+ㅂ니다/ef
.	./sf
그러니까	그러니까/maj
안정감	안정/ncn+감/xsn
있게	있/paa+게/ecs
균형이	균형/ncn+이/jcs
잡히기	잡히/pvg+기/etn
위해서는	위하/pvg+어서/ecs+는/etm
무게만이	무게/ncn+만/jxc+이/jcs
아니라	아니/paa+라/ecs
추의	추/ncn+의/jcm
위치도	위치/ncn+도/jxc
관계가	관계/ncn+가/jcs
있습니다	있/paa+습니다/ef
.	./sf
이	이/mmd
점을	점/ncn+을/jco
좀더	좀더/mag
잘	잘/mag
알아보기	알/pvg+아/ecx+보/px+기/etn
위해서는	위하/pvg+어서/ecs+는/etm
참새를	참새/ncn+를/jco
사용하여	사용/ncpa+하/xsv+어/ecs
또	또/maj
하나의	하나/nnc+의/jcm
실험을	실험/ncn+을/jco
해볼	하/pvg+어/ecx+보/px+ㄹ/etm
필요가	필요/ncn+가/jcs
있습니다	있/paa+습니다/ef
.	./sf
자나	자/ncn+나/jxc
가늘고	가늘/paa+고/ecc
긴	길/paa+ㄴ/etm
나뭇조각	나뭇/ncn+조각/ncn
위에	위/ncn+에/jca
참새의	참새/ncn+의/jcm
철사	철사/ncn
부분을	부분/ncn+을/jco
그림과	그림/ncn+과/jct
같이	같/paa+이/xsa
올려	올리/pvg+어/ecx
놓고	놓/px+고/ecc
균형을	균형/ncn+을/jco
잡습니다	잡/pvg+습니다/ef
.	./sf
추를	추/ncn+를/jco
참새의	참새/ncn+의/jcm
몸통쪽으로	몸통/ncn+쪽/nbn+으로/jca
가까이	가까이/mag
접근시킬수록	접근/ncpa+시키/xsv+ㄹ수록/ecs
자에	자/ncn+에/jca
닿은	닿/pvg+은/etm
철사	철사/ncn
부분의	부분/ncn+의/jcm
위치는	위치/ncn+는/jxc
참새에	참새/ncn+에/jca
접근하려고	접근/ncpa+하/xsv+려고/ecx
하는	하/px+는/etm
것을	것/nbn+을/jco
알게	알/pvg+게/ecx
될	되/pvg+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
이	이/mmd
위치를	위치/ncn+를/jco
장난감	장난/ncn+감/xsn
참새	참새/ncn
전체의	전체/ncn+의/jcm
중심	중심/ncn
(	(/sl
重心	重心/f
)	)/sr
이라고	이/jp+라고/jca
합니다	하/pvg+ㅂ니다/ef
.	./sf
실험하는	실험/ncpa+하/xsv+는/etm
시간을	시간/ncn+을/jco
아까와하지	아깝/paa+아/ecx+하/px+지/ecx
말고	말/px+고/ecc
좀더	좀더/mag
계속해	계속/ncpa+하/xsv+어/ecx
봅시다	보/px+ㅂ시다/ef
.	./sf
그렇게	그렇/pad+게/ecx
한다면	하/px+ㄴ다/ef+면/ecs
참새의	참새/ncn+의/jcm
중심이	중심/ncn+이/jcs
받침점	받침/ncn+점/ncn
(	(/sl
참새의	참새/ncn+의/jcm
발이	발/ncn+이/jcs
손가락에	손가락/ncn+에/jca
닿는	닿/pvg+는/etm
점	점/ncn
)	)/sr
보다	보다/jca
밑에	밑/ncn+에/jca
있기만	있/paa+기/etn+만/jxc
하면	하/pvg+면/ecs
참새는	참새/ncn+는/jxc
손가락에	손가락/ncn+에/jca
앉아	앉/pvg+아/ecx
있을	있/px+을/etm
수	수/nbn
있다는	있/paa+다/ef+는/etm
것을	것/nbn+을/jco
확인할	확인/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있으니까요	있/paa+으니/ecs+까요/ef
.	./sf
그리고	그리고/maj
참새의	참새/ncn+의/jcm
중심이	중심/ncn+이/jcs
받침점보다도	받침/ncn+점/ncn+보다/jca+도/jxc
조금이라도	조금/ncn+이/jp+라/jca+도/jxc
위쪽이	위/ncn+쪽/nbn+이/jcs
되기	되/pvg+기/etn
시작하면	시작/ncpa+하/xsv+면/ecs
이	이/mmd
가엾은	가엾/paa+ㄴ/etm
작은	작/paa+은/etm
새는	새/ncn+는/jxc
벌렁	벌렁/mag
넘어지려고	넘/pvg+어/ecx+지/px+려고/ecx
할	하/px+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
요컨대	요컨대/mag
무게의	무게/ncn+의/jcm
대부분이	대부분/ncn+이/jcs
아래쪽에	아래/ncn+쪽/nbn+에/jca
있는	있/paa+는/etm
것은	것/nbn+은/jxc
반드시	반드시/mag
필요한	필요/ncps+하/xsm+ㄴ/etm
일이	일/ncn+이/jcs
아니며	아니/paa+며/ecc
,	,/sp
중요한	중요/ncps+하/xsm+ㄴ/etm
것은	것/nbn+은/jxc
중심	중심/ncn
(	(/sl
重心	重心/f
)	)/sr
이	이/jcs
받침점보다도	받침/ncn+점/ncn+보다/jca+도/jxc
아래에	아래/ncn+에/jca
있어야	있/paa+어야/ecx
한다는	하/px+ㄴ다/ef+는/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
균형	균형/ncn
상태가	상태/ncn+가/jcs
어떤	어떤/mmd
형태로든	형태/ncn+로/jca+든/jxc
깨지면	깨/pvg+지면/ecs
중심은	중심/ncn+은/jxc
위로	위/ncn+로/jca
쳐들리려고	쳐들리/pvg+려고/ecx
합니다	하/px+ㅂ니다/ef
.	./sf
이	이/mmd
중심이	중심/ncn+이/jcs
쳐들린다는	쳐들리/pvg+ㄴ다는/etm
것은	것/npd+은/jxc
참새나	참새/ncn+나/jxc
추나	추/ncn+나/jcj
철사	철사/ncn
전체의	전체/ncn+의/jcm
무게가	무게/ncn+가/jcs
다	다/mag
같이	같/paa+이/xsa
쳐들린다는	쳐들리/pvg+ㄴ다/ef+는/etm
것과	것/nbn+과/jct
같은	같/paa+은/etm
말입니다	말/ncn+이/jp+ㅂ니다/ef
.	./sf
물론	물론/mag
중심은	중심/ncn+은/jxc
항상	항상/mag
밑으로	밑/ncn+으로/jca
되돌리려고	되돌리/pvg+려고/ecx
하는	하/px+는/etm
힘	힘/ncn
이것을	이것/npd+을/jco
중력	중력/ncn
(	(/sl
重力	重力/f
)	)/sr
이라고	이/jp+라고/jca
합니다만	하/pvg+ㅂ니다/ef+만/jxc
에	에/jca
의하여	의하/pvg+어/ecs
잡아	잡/pvg+아/ecs
당겨지고	당기/pvg+어/ecx+지/px+고/ecx
있으므로	있/px+으므로/ecs
균형이	균형/ncn+이/jcs
회복되는	회복/ncpa+되/xsv+는/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
2	2/nno
.	./sf
작은	작/paa+은/etm
요술	요술/ncn
상자	상자/ncn
중심	중심/ncn
(	(/sl
重心	重心/ncn
)	)/sr
에	에/jca
대해서는	대하/pvg+어서/ecs+는/etm
충분히	충분/ncn+히/xsa
이해했으리라고	이해/ncpa+하/xsv+었/ep+으리/ef+라고/jcr
생각합니다	생각/ncpa+하/xsv+ㅂ니다/ef
.	./sf
그러나	그러나/maj
또	또/maj
한가지	한/nnc+가지/nbu
뜻밖의	뜻밖/ncn+의/jcm
일이	일/ncn+이/jcs
여러분을	여러분/npp+을/jco
기다리고	기다리/pvg+고/ecx
있습니다	있/px+습니다/ef
.	./sf
그것은	그것/npd+은/jxc
성냥갑	성냥/ncn+갑/ncn
속에	속/ncn+에/jca
숨겨져	숨기/pvg+어/ecx+지/px+어/ecx
있습니다만	있/px+습니다/ef+만/jxc
,	,/sp
그렇다고	그렇/pad+다/ef+고/ecx
해서	하/px+어서/ecs
손으로	손/ncn+으로/jca
건드릴	건드리/pvg+ㄹ/etm
수도	수/nbn+도/jxc
없는	없/paa+는/etm
작은	작/paa+은/etm
것은	것/nbn+은/jxc
아닙니다	아니/paa+ㅂ니다/ef
.	./sf
우선	우선/mag
성냥갑	성냥/ncn+갑/ncn
속에	속/ncn+에/jca
무거운	무겁/paa+ㄴ/etm
나사나	나사/ncn+나/jcj
그와	그/npp+와/jct
비슷한	비슷/ncps+하/xsm+ㄴ/etm
추가	추/ncn+가/jcs
될	되/pvg+ㄹ/etm
만한	만하/px+ㄴ/etm
것을	것/nbn+을/jco
넣어	넣/pvg+어/ecs
,	,/sp
그	그/mmd
추를	추/ncn+를/jco
될	되/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
대로	대로/nbn
상자의	상자/ncn+의/jcm
한쪽가에	한쪽/ncn+가/ncn+에/jca
밀어	밀/pvg+어/ecx
놓습니다	놓/px+습니다/ef
.	./sf
이렇게	이렇/pad+게/ecx
해	하/px+어/ecx
두면	두/px+면/ecs
성냥갑의	성냥/ncn+갑/ncn+의/jcm
거의	거의/mag
전부가	전부/mag+가/jxc
테이블가에서	테이블/ncn+가/ncn+에서/jca
밖으로	밖/ncn+으로/jca
나와	나오/pvg+아/ecx
있어도	있/px+어/ecs+도/jxc
추가	추/ncn+가/jcs
