<tdmsfile>
sbsns.hwp
이렇게	이렇/pad+게/ecs
위험한	위험/ncps+하/xsm+ㄴ/etm
작업도	작업/ncn+도/jxc
척척	척척/mag
해냅니다.	하/pvg+어/ecx+내/px+ㅂ니다/ef+./sf
감정표현까지	감정/ncn+표현/ncn+까지/jxc
할	하/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
로봇도	로봇/ncn+도/jxc
등장했습니다.	등장/ncpa+하/xsv+었/ep+습니다/ef+./sf
이	이/mmd
로봇은	로봇/ncn+은/jxc
주위에	주위/ncn+에/jca
모여든	모이/pvg+어/ecs+들/pvg+ㄴ/etm
관객의	관객/ncn+의/jcm
박수소리에	박수/ncn+소리/ncn+에/jca
몸을	몸/ncn+을/jco
흔들며	흔들/pvg+며/ecs
환영의	환영/ncn+의/jcm
뜻을	뜻/ncn+을/jco
표시합니다.	표시/ncpa+하/xsv+ㅂ니다/ef+./sf
하루가	하루/ncn+가/jcs
다르게	다르/paa+게/ecs
변하는	변하/pvg+는/etm
최첨단	최첨단/ncn
로봇기술의	로봇/ncn+기술/ncn+의/jcm
발전으로	발전/ncn+으로/jca
완벽한	완벽/ncps+하/xsm+ㄴ/etm
인조인간의	인조/nq+인간/ncn+의/jcm
탄생도	탄생/ncn+도/jxc
머지않은	멀/paa+지/ecx+않/px+은/etm
것처럼	것/nbn+처럼/jca
보입니다.	보이/pvg+ㅂ니다/ef+./sf
동유럽의	동유럽/nq+의/jcm
파리로	파리/nq+로/jca
불리는	불리/pvg+는/etm
체코의	체코/nq+의/jcm
프라하가	프라하/nq+가/jcs
몰려드는	몰리/pvg+어/ecs+들/pvg+는/etm
매춘	매춘/ncn
관광객들로	관광/ncn+객/xsn+들/xsn+로/jca
골머리를	골머리/ncn+를/jco
앓고	앓/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
공산주의의	공산/ncn+주의/ncn+의/jcm
몰락이후	몰락/ncn+이후/ncn
급격한	급격/ncps+하/xsm+ㄴ/etm
사회변화를	사회/ncn+변화/ncn+를/jco
겪고있는	겪/pvg+고/ecx+있/px+는/etm
프라하에는	프라하/nq+에/jca+는/jxc
생활고에	생활/ncn+고/xsn+에/jca
허덕여	허덕이/pvg+어/ecs
외국	외국/ncn
관광객을	관광/ncn+객/xsn+을/jco
상대로	상대/ncn+로/jca
매춘에	매춘/ncn+에/jca
나서는	나서/pvg+는/etm
여성들이	여성/ncn+들/xsn+이/jcs
늘면서	늘/pvg+면서/ecs
국제	국제/ncn
매춘이	매춘/ncn+이/jcs
극성을	극성/ncn+을/jco
부리고	부리/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
특히	특히/mag
매춘에	매춘/ncn+에/jca
대한	대하/pvg+ㄴ/etm
단속이	단속/ncn+이/jcs
느슨한데다	느슨/ncps+하/xsm+ㄴ데다/ecs
저렴한	저렴/ncps+하/xsm+ㄴ/etm
관광비용때문에	관광/ncn+비용/ncn+때문/nbn+에/jca
해외	해외/ncn
관광객들이	관광/ncn+객/xsn+들/xsn+이/jcs
몰리면서	몰리/pvg+면서/ecs
유럽	유럽/nq
매춘관광의	매춘/ncn+관광/ncn+의/jcm
중심지라는	중심/ncn+지/xsn+이/jp+라/ef+는/etm
악명까지	악명/ncn+까지/jxc
얻고있습니다.	얻/pvg+고/ecx+있/px+습니다/ef+./sf
미국을	미국/nq+을/jco
방문하고있는	방문/ncpa+하/xsv+고/ecx+있/px+는/etm
강택민	강택민/nq
중국	중국/nq
주석이	주석/ncn+이/jcs
하와이	하와이/nq
해변에서	해변/ncn+에서/jca
수행원들과	수행/ncn+원/xsn+들/xsn+과/jcj
수영을	수영/ncn+을/jco
즐겨	즐기/pvg+어/ecs
노익장을	노익장/ncn+을/jco
과시했습니다.	과시/ncpa+하/xsv+었/ep+습니다/ef+./sf
올해	올해/ncn
71살인	71/nno+살/nbu+이/jp+ㄴ/etm
강주석은	강/ncn+주석/ncn+은/jxc
비교적	비교/ncn+적/jxc
유연한	유연/ncps+하/xsm+ㄴ/etm
동작으로	동작/ncn+으로/jca
수영실력을	수영/ncn+실력/ncn+을/jco
과시해	과시/ncpa+하/xsv+어/ecs
미국측	미국/nq+측/nbn
인사들을	인사/ncn+들/xsn+을/jco
놀라게했습니다.	놀라/pvg+게/ecs+하/pvg+었/ep+습니다/ef+./sf
수영실력으로	수영/ncn+실력/ncn+으로/jca
외부세계에	외부/ncn+세계/ncn+에/jca
건재를	건재/ncn+를/jco
과시했던	과시/ncpa+하/xsv+었/ep+던/etm
모택동과	모택동/nq+과/jcj
등소평처럼	등소평/nq+처럼/jca
강택민	강택민/nq
주석도	주석/ncn+도/jxc
미국	미국/nq
방문중에	방문/ncn+중/nbn+에/jca
수영실력으로	수영/ncn+실력/ncn+으로/jca
건재를	건재/ncn+를/jco
과시해	과시/ncpa+하/xsv+어/ecs
수영외교라는	수영/ncn+외교/ncn+라/ef+는/etm
말까지	말/ncn+까지/jxc
나오고	나오/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
에스비에스	에스비에스/nq
동세홉니다.	동세호/nq+ㅂ니다/ef+./sf
클린턴	클린턴/nq
미국대통령과	미국/nq+대통령/ncn+과/jcj
강택민	강택민/nq
중국	중국/nq
국가	국가/ncn
주석은	주석/ncn+은/jxc
오늘	오늘/ncn
백악관에서	백악관/nq+에서/jca
정상회담을	정상/ncn+회담/ncn+을/jco
갖고	갖/pvg+고/ecs
4자회담의	4/nnc+자/nbu+회담/ncn+의/jcm
성사를	성사/ncn+를/jco
위해	위하/pvg+어/ecs
함께	함께/mag
노력	노력/ncn
할	하/pvg+ㄹ/etm
것과	것/nbn+과/jcj
중국에	중국/nq+에/jca
대한	대하/pvg+ㄴ/etm
핵기술	핵/ncn+기술/ncn
이전	이전/ncn
문제	문제/ncn
등에	등/nbn+에/jca
관해	관하/pvg+어/ecs
합의했습니다.	합의/ncpa+하/xsv+었/ep+습니다/ef+./sf
미중	미중/nq
정상회담	정상/ncn+회담/ncn
소식을	소식/ncn+을/jco
하금렬특파원이	하금렬/nq+특파/ncn+원/xsn+이/jcs
전해드립니다.	전하/pvg+어/ecx+드리/px+ㅂ니다/ef+./sf
오늘	오늘/ncn
백악관에서	백악관/nq+에서/jca
12년만에	12/nno+년/nbu+만/nbn+에/jca
열린	열리/pvg+ㄴ/etm
미-중	미/nq-/sd+중/nq
정상회담에서는	정상/ncn+회담/ncn+에서/jca+는/jxc
두나라가	두/nnc+나라/ncn+가/jcs
안고	안/pvg+고/ecx
있는	있/px+는/etm
현안들이	현안/ncn+들/xsn+이/jcs
9개	9/nnc+개/nbu
항목으로	항목/ncn+으로/jca
정리돼	정리/ncpa+되/xsv+어/ecs
발표되었습니다.	발표/ncpa+되/xsv+었/ep+습니다/ef+./sf
클린턴	클린턴/nq
대통령과	대통령/ncn+과/jcj
강택민	강택민/nq
주석은	주석/ncn+은/jxc
먼저	먼저/mag
한반도의	한반도/nq+의/jcm
안정과	안정/ncn+과/jcj
평화유지가	평화/ncn+유지/ncn+가/jcs
매우	매우/mag
중요	중요/ncn
하다는데	하/pvg+다는데/ecs
의견을	의견/ncn+을/jco
같이	같/paa+이/xsa
하고,	하/pvg+고/ecs+,/sp
북한을	북한/nq+을/jco
공동으로	공동/ncn+으로/jca
설득해서	설득/ncpa+하/xsv+어서/ecs
4자회담이	4/nnc+자/nbu+회담/ncn+이/jcs
성사되도록	성사/ncpa+되/xsv+도록/ecs
하자는데	하/px+자/ec+는데/ecs
합의했습니다.	합의/ncpa+하/xsv+었/ep+습니다/ef+./sf
양국정상은	양국/ncn+정상/ncn+은/jxc
또	또/mag
정기적으로	정기/ncn+적/xsn+으로/jca
정상회담을	정상/ncn+회담/ncn+을/jco
갖기로	갖/pvg+기/etn+로/jca
했으며,	하/pvg+았/ep+으며/ecs+,/sp
양국간	양국/ncn+간/nbn
핫	핫/f
라인	라인/ncn
설치,	설치/ncn+,/sp
하나의	하나/nnc+의/jcm
중국지지,	중국/nq+지지/ncn+,/sp
마약과	마약/ncn+과/jcj
범죄에	범죄/ncn+에/jca
관한	관하/pvg+ㄴ/etm
협력,	협력/ncn+,/sp
무역장벽	무역/ncn+장벽/ncn
제거와	제거/ncn+와/jcj
환경보호에	환경/ncn+보호/ncn+에/jca
함께	함께/mag
노력하기로	노력/ncpa+하/xsv+기/etn+로/jca
했습니다.	하/pvg+었/ep+습니다/ef+./sf
특히	특히/mag
양국간	양국/ncn+간/nbn
최대	최대/ncn
현안으로	현안/ncn+으로/jca
남아있던	남/pvg+아/ecx+있/px+던/etm
핵기술	핵/ncn+기술/ncn
이전문제에	이전/ncn+문제/ncn+에/jca
대해서는	대하/pvg+어서/ecs+는/jxc
중국이	중국/nq+이/jcs
이란	이란/nq
등에	등/nbn+에/jca
무기개발을	무기/ncn+개발/ncn+을/jco
지원하지	지원/ncpa+하/xsv+지/ecx
않는다는	않/px+는다/ef+는/etm
조건으로	조건/ncn+으로/jca
민간부문의	민간/ncn+부문/ncn+의/jcm
원자로와	원자로/ncn+와/jcj
핵기술	핵/ncn+기술/ncn
판매를	판매/ncn+를/jco
중국에	중국/nq+에/jca
허용하기로	허용/ncpa+하/xsv+기/etn+로/jca
합의했습니다.	합의/ncpa+하/xsv+었/ep+습니다/ef+./sf
공동기자회견에서	공동/ncn+기자/ncn+회견/ncn+에서/jca
강택민	강택민/nq
주석은	주석/ncn+은/jxc
중국내	중국/nq+내/nbn
인권문제와	인권/ncn+문제/ncn+와/jcj
종교자유문제,	종교/ncn+자유/ncn+문제/ncn+,/sp
그리고	그리고/maj
대만문제에	대만/nq+문제/ncn+에/jca
관해	관하/pvg+어/ecs
끈질긴	끈질기/paa+ㄴ/etm
질문공세를	질문/ncn+공세/ncn+를/jco
받았으나,	받/pvg+았/ep+으나/ecs+,/sp
국내법에	국내/ncn+법/ncn+에/jca
따라	따르/pvg+아/ecs
원만히	원만/ncn+히/xsa
처리해	처리/ncpa+하/xsv+어/ecx
나가겠다는	나가/px+겠/ep+다/ef+는/etm
말로	말/ncn+로/jca
대응했습니다.	대응/ncpa+하/xsv+었/ep+습니다/ef+./sf
오늘	오늘/ncn
정상회담에	정상/ncn+회담/ncn+에/jca
앞서	앞/ncn+서/px+어/ecs
백악관	백악관/nq
앞뜰에서는	앞뜰/ncn+에서/jca+는/jxc
12억	12억/nnc
중국인을	중국/nq+인/xsn+을/jco
대표하는	대표/ncpa+하/xsv+는/etm
강택민	강택민/nq
주석을	주석/ncn+을/jco
위한	위하/pvg+ㄴ/etm
공식환영행사가	공식/ncn+환영/ncn+행사/ncn+가/jcs
정중하게	정중/ncps+하/xsm+게/ecs
거행됐습니다.	거행/ncpa+되/xsv+었/ep+습니다/ef+./sf
워싱턴에서	워싱턴/nq+에서/jca
sbs	sbs/f
하금렬입니다.	하금렬/nq+이/jp+ㅂ니다/ef+./sf
수능시험이	수능/ncn+시험/ncn+이/jcs
불과	불과/mag
20일	20/nno+일/nbu
앞으로	앞/ncn+으로/jca
다가왔습니다.	다가오/pvg+았/ep+습니다/ef+./sf
시험	시험/ncn
날짜가	날짜/ncn+가/jcs
하루	하루/ncn
하루	하루/ncn
가까와지면서	가깝/paa+아/ecx+지/px+면서/ecs
당사자인	당사/ncn+자/xsn+이/jp+ㄴ/etm
수험생들은	수험/ncn+생/xsn+들/xsn+은/jxc
말할	말/ncps+하/xsv+ㄹ/etm
것도	것/nbn+도/jxc
없고,	없/paa+고/ecs+,/sp
옆에서	옆/ncn+에서/jca
지켜보는	지키/pvg+어/ecs+보/pvg+는/etm
부모의	부모/ncn+의/jcm
마음고생도	마음/ncn+고생/ncn+도/jxc
이만저만이	이만저만/ncn+이/jcc
아닙니다.	아니/paa+ㅂ니다/ef+./sf
수험생을	수험/ncn+생/xsn+을/jco
둔	두/pvg+ㄴ/etm
어머니들의	어머니/ncn+들/xsn+의/jcm
애타는	애/ncn+타/pvg+는/etm
심정을	심정/ncn+을/jco
최선호	최선호/nq
기자가	기자/ncn+가/jcs
취재했습니다.	취재/ncpa+하/xsv+었/ep+습니다/ef+./sf
막바지로	막바지/ncn+로/jca
치닫고	치닫/pvg+고/ecx
있는	있/px+는/etm
입시전쟁.	입시/ncn+전쟁/ncn+./sf
자정이	자정/ncn+이/jcs
가깝도록	가깝/paa+도록/ecs
수험생들은	수험/ncn+생/xsn+들/xsn+은/jxc
교실에	교실/ncn+에/jca
남아	남/pvg+아/ecs
입시대비에	입시/ncn+대비/ncn+에/jca
한창입니다.	한창/ncn+이/jp+ㅂ니다/ef+./sf
그러나	그러나/maj
힘겨운	힘/ncn+겹/paa+ㄴ/etm
입시전쟁을	입시/ncn+전쟁/ncn+을/jco
치르는	치르/pvg+는/etm
사람은	사람/ncn+은/jxc
수험생만이	수험/ncn+생/xsn+만/jxc+이/jcc
아닙니다.	아니/paa+ㅂ니다/ef+./sf
정성스레	정성스레/mag
향불을	향불/ncn+을/jco
피우고	피우/pvg+고/ecs
지성으로	지성/ncn+으로/jca
기원을	기원/ncn+을/jco
드리는	드리/pvg+는/etm
어머니들.	어머니/ncn+들/xsn+./sf
"수험생	"/sl+수험/ncn+생/xsn
자녀를둔	자녀/ncn+를/jco+두/pvg+ㄴ/etm
학부모들이	학부모/ncn+들/xsn+이/jcs
대법당에서	대/xp+법당/ncn+에서/jca
아침기도를	아침/ncn+기도/ncn+를/jco
올리고	올리/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
"	"/sl
108	108/nnc
염주를	염주/ncn+를/jco
돌리는	돌리/pvg+는/etm
손마다	손/ncn+마다/jxc
자식들에	자식/ncn+들/xsn+에/jca
대한	대하/pvg+ㄴ/etm
간절한	간절/ncps+하/xsm+ㄴ/etm
기원이	기원/ncn+이/jcs
함께	함께/mag
합니다.	하/pvg+ㅂ니다/ef+./sf
행여	행여/mag
정성이	정성/ncn+이/jcs
모자랄까	모자라/pvg+ㄹ까/ecs
연신	연신/mag
절을	절/ncn+을/jco
올리는	올리/pvg+는/etm
어머니들의	어머니/ncn+들/xsn+의/jcm
모습은	모습/ncn+은/jxc
차라리	차라리/mag
안스럽기까지	안스럽/paa+기/etn+까지/jxc
합니다.	하/px+ㅂ니다/ef+./sf
미처	미처/mag
법당에	법당/ncn+에/jca
자리를	자리/ncn+를/jco
잡지	잡/pvg+지/ecx
못한	못하/px+ㄴ/etm
어머니들은	어머니/ncn+들/xsn+은/jxc
차가운	차갑/paa+ㄴ/etm
법당	법당/ncn
돌마루도	돌/ncn+마루/ncn+도/jxc
마다하지	마다하/pvg+지/ecx
않습니다.	않/px+습니다/ef+./sf
"재수하는	"/sl+재수/ncpa+하/xsv+는/etm
걸	것/nbn+을/jco
보니	보/pvg+니/ecs
너무	너무/mag
불쌍하고	불쌍/ncps+하/xsm+고/ecc
안타까워서	안타깝/paa+어서/ecs
지가	지/npp+가/jcs
원하는	원/ncps+하/xsv+는/etm
대학	대학/ncn
아무데나.	아무데/ncn+나/jxc+./sf
"	"/sl
"같이	"/sl+같이/mag
동참하는	동참/ncpa+하/xsv+는/etm
의미에서	의미/ncn+에서/jca
제가	제/npp+가/jcs
마음속으로	마음/ncn+속/ncn+으로/jca
지성으로	지성/ncn+으로/jca
꼭	꼭/mag
좋은	좋/paa+은/etm
결과	결과/ncn
있으라고	있/paa+으라고/ecs
빌었다.	빌/pvg+었/ep+다/ef+./sf
"	"/sl
앞으로	앞/ncn+으로/jca
남은	남/npp+은/jxc
20일	20/nno+일/nbu
동안	동안/ncn
자녀들이	자녀/ncn+들/xsn+이/jcs
최선을	최선/ncn+을/jco
다할	다하/pvg+ㄹ/etm
수	수/nbn
있도록	있/paa+도록/ecs
발고	빌/pvg+고/ecc
또	또/mag
빌어보는	빌/pvg+어/ecx+보/px+는/etm
부모들.	부모/ncn+들/xsn+./sf
정성이	정성/ncn+이/jcs
헛되지	헛되/paa+지/ecx
않을	않/px+을/etm
것같은	것/nbn+같/paa+은/etm
진지함이	진지/ncps+하/xsm+ㅁ/etn+이/jcs
있습니다.	있/paa+습니다/ef+./sf
에스비에스	에스비에스/nq
최선홉니다.	최선호/nq+ㅂ니다/ef+./sf
한반도	한반도/nq
유사시	유사/ncn+시/xsn
즉각	즉각/mag
출동하는	출동/ncpa+하/xsv+는/etm
미해군	미/nq+해군/ncn
극동방어의	극동/nq+방어/ncn+의/jcm
주력	주력/ncn
항공모함	항공/ncn+모함/ncn
<인디펜던스>호가               </sl+인디펜던스/nq+>/sr+호/xsn+가/jcs
한.	한/nq+./sf
미	미/nq
합동	합동/ncn
독수리	독수리/ncn
훈련에	훈련/ncn+에/jca
참가해	참가/ncpa+하/xsv+어/ecs
동해상에서	동해/ncn+상/xsn+에서/jca
작전을	작전/ncn+을/jco
벌이고	벌이/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
분쟁의	분쟁/ncn+의/jcm
해결사로	해결/ncn+사/xsn+로/jca
활약해온	활약/ncpa+하/xsv+어/ecx+오/px+ㄴ/etm
<인디펜던스호>는               </sl+인디펜던스호/nq+>/sr+는/jxc
이제	이제/mag
서른여덟살이	서른/nnc+여덟/nnc+살/nbu+이/jcs
돼서	되/pvg+어서/ecs
내년이면	내년/ncn+이/jp+면/ecs
퇴역한다고	퇴역/ncpa+하/xsm+ㄴ다/ef+고/jcr
합니다.	하/pvg+ㅂ니다/ef+./sf
정하석	정하석/nq
기자가	기자/ncn+가/jcs
다녀왔습니다.	다니/pvg+어/ecs+오/pvg+았/ep+습니다/ef+./sf
축구장	축구/ncn+장/xsn
3개를	3/nnc+개/nbu+를/jco
합쳐놓은	합치/pvg+어/ecx+놓/px+은/etm
크기에	크기/ncn+에/jca
20층	20/nnc+층/nbu
건물과	건물/ncn+과/jca
맞먹는	맞먹/pvg+는/etm
높이.	높이/ncn+./sf
항공모함	항공/ncn+모함/ncn
<인디펜던스>호는               </sl+인디펜던스/nq+>/sr+호/xsn+는/jxc
배안에서	배/ncn+안/ncn+에서/jca
탈영병을	탈영/ncn+병/xsn+을/jco
찾는데	찾/pvg+는데/ecs
한달이	한/nnc+달/nbu+이/jcs
걸렸다는	걸리/pvg+었/ep+다/ef+는/etm
농담이	농담/ncn+이/jcs
나올	나오/pvg+ㄹ/etm
정도로	정도/ncn+로/jca
큽니다.	크/paa+ㅂ니다/ef+./sf
탑재기	탑재/ncn+기/xsn
일흔아홉대,	일흔아홉/nnc+대/nbu+,/sp
승무원만	승무/ncn+원/xsn+만/jxc
5천여명,	5천/nnc+여/xsn+명/nbu+,/sp
하루	하루/ncn
연료소비량	연료/ncn+소비/ncn+량/ncn
45만	45만/nnc
리터.	리터/nbu+./sf
일년	일년/ncn
유지비가	유지/ncn+비/xsn+가/jcs
자그만치	자그만치/mag
3천5백억원이나	3천5백억/nnc+원/nbu+이나/jxc
됩니다.	되/pvg+ㅂ니다/ef+./sf
시속	시속/ncn
2백56킬로미터를	2백/nnc+56/nnc+킬로미터/nbu+를/jco
내는	내/pvg+는/etm
이륙장치가	이륙/ncn+장치/ncn+가/jcs
미	미/nq
해군의	해군/ncn+의/jcm
주력기	주력/ncn+기/xsn
F-18	F-/nq+18/nnc
호넷을	호넷/nq+을/jco
쏘아	쏘/pvg+아/ecs
올립니다.	올리/pvg+ㅂ니다/ef+./sf
전투기들은	전투/ncn+기/xsn+들/xsn+은/jxc
20초에	20/nno+초/nbu+에/jca
한대꼴로	한/nnc+대/nbu+꼴/nbn+로/jca
이륙해	이륙/ncpa+하/xsv+어/ecs
단	단/mma
30분만에	30/nno+분/nbu+만/nbn+에/jca
작전태세에	작전/ncn+태세/ncn+에/jca
돌입합니다.	돌입/ncpa+하/xsv+ㅂ니다/ef+./sf
활주로	활주로/ncn
길이는	길이/ncn+는/jxc
3백26	3백/nnc+26/nnc
미터.	미터/nbu+./sf
착륙하는데는	착륙/ncpa+하/xsv+는데/ecs+는/jxc
4개의	4/nnc+개/nbu+의/jcm
철선이	철/ncn+선/ncn+이/jcs
이용됩니다.	이용/ncpa+되/xsv+ㅂ니다/ef+./sf
꼬리처럼	꼬리/ncn+처럼/jca
늘어뜨린	늘이/pvg+어/ecs+뜨리/pvg+ㄴ/etm
걸쇠를	걸쇠/ncn+를/jco
철선에	철선/ncn+에/jca
걸어	걸/pvg+어/ecs
전투기를	전투/ncn+기/xsn+를/jco
순식간에	순식간/ncn+에/jca
세웁니다.	세우/pvg+ㅂ니다/ef+./sf
인디펜던스호는	인디펜던스호/nq+는/jxc
한.	한/nq+./sf
미	미/nq
합동훈련이나	합동/ncn+훈련/ncn+이나/jcj
한반도	한반도/nq
유사시	유사/ncn+시/xsn
가장	가장/mag
먼저	먼저/mag
출동해	출동/ncpa+하/xsv+어/ecs
우리에게	우리/npp+에게/jca
친숙한	친숙/ncps+하/xsm+ㄴ/etm
항공모함입니다.	항공/ncn+모함/ncn+이/jp+ㅂ니다/ef+./sf
"지난	"/sl+지나/pvg+ㄴ/etm
59년	59/nno+년/nbu
건조돼	건조/ncpa+되/xsv+어/ecs
월남전과	월남전/nq+과/jcj
걸프전	걸프전/nq
등에서	등/nbn+에서/jca
활약했던	활약/ncpa+하/xsv+었/ep+던/etm
38살의	38/nno+살/nbu+의/jcm
인디펜던스호는	인디펜던스호/nq+는/jxc
이제	이제/mag
은퇴를	은퇴/ncn+를/jco
1년	1/nno+년/nbu
남겨놓고	남기/pvg+어/ecx+놓/px+고/ecx
있습니다.	있/px+습니다/ef+./sf
미	미/ncn
항공모함	항공/ncn+모함/ncn
인디펜던스호에서	인디펜던스호/nq+에서/jca
SBS	SBS/f
정하석입니다"	정하석/nq+이/jp+ㅂ니다/ef+"/sr
정부는	정부/ncn+는/jxc
오늘	오늘/mag
최근	최근/mag
귤과실파리가	귤/ncn+과/jct+실파리/ncn+가/jcs
발견된	발견/ncpa+되/xsv+ㄴ/etm
미국	미국/nq
캘리포니아주	캘리포니아주/nq
LA카운티에서	nq[LA/f+카운티/nq]nq+에서/jca
생산되는	생산/ncpa+되/xsv+는/etm
오렌지에	오렌지/ncn+에/jca
대해	대하/pvg+어/ecs
전면	전면/ncn
수입금지조치를	수입/ncn+금지/ncn+조치/ncn+를/jco
취했습니다.	취하/pvg+었/ep+습니다/ef+./sf
LA카운테에서	nq[LA/f+카운테/nq]nq+에서/jca
발견된	발견/ncpa+되/xsv+ㄴ/etm
귤과실파리는	귤/ncn+과/jct+실파리/ncn+는/jxc
더운	덥/paa+ㄴ/etm
지방에	지방/ncn+에/jca
주로	주로/mag
서식하면서	서식/ncpa+하/xsv+면서/ecs
귤이나	귤/ncn+이나/jcj
오렌지	오렌지/ncn
등에	등/nbn+에/jca
치명적인	치명/ncn+적/xsn+이/jp+ㄴ/etm
피해를	피해/ncn+를/jco
주는	주/pvg+는/etm
해충으로	해충/ncn+으로/jca
우리나라의	우리/npp+나라/ncn+의/jcm
기후여건상	기후/ncn+여건/ncn+상/xsn
정착가능성은	정착/ncn+가능/ncn+성/xsn+은/jxc
적은	적/paa+은/etm
것으로	것/nbn+으로/jca
알려졌습니다.	알리/pvg+어/ecx+지/px+었/ep+습니다/ef+./sf
결혼	결혼/ncn
생활을	생활/ncn+을/jco
하면서	하/pvg+면서/ecs
부부가	부부/ncn+가/jcs
공동으로	공동/ncn+으로/jca
모은	모으/pvg+ㄴ/etm
재산을	재산/ncn+을/jco
이혼할	이혼/ncpa+하/xsv+ㄹ/etm
때	때/ncn
나눠	나누/pvg+어/ecs
갖는	갖/pvg+는/etm
것에	것/nbn+에/jca
대해	대하/pvg+어/ecs
증여세를	증여/ncn+세/xsn+를/jco
부과하는	부과/ncpa+하/xsv+는/etm
것은	것/nbn+은/jxc
위헌이라는	위헌/ncn+이/jp+라/ef+는/etm
헌법재판소의	헌법재판소/nq+의/jcm
결정이	결정/ncn+이/jcs
나왔습니다.	나오/pvg+았/ep+습니다/ef+./sf
이에	이/npd+에/jca
따라	따르/pvg+아/ecs
지난해	지나/pvg+ㄴ/etm+해/mag
개정된	개정/ncpa+되/xsv+ㄴ/etm
상속과	상속/ncn+과/jcj
증여세법의	증여/ncn+세법/ncn+의/jcm
관련	관련/ncn
조항은	조항/ncn+은/jxc
사실상	사실/ncn+상/xsn
효력을	효력/ncn+을/jco
잃게	잃/pvg+게/ecx
됐습니다.	되/px+었/ep+습니다/ef+./sf
건설교통부는	건설교통부/nq+는/jxc
오늘	오늘/ncn
부산	부산/nq
정관지구등	정관/ncn+지구/ncn+등/nbn
3곳을	3/nnc+곳/nbu+을/jco
신도시로	신/xp+도시/ncn+로/jca
개발하기	개발/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
택지개발	택지/ncn+개발/ncn
예정지구로	예정/ncn+지구/ncn+로/jca
지정했습니다.	지정/ncpa+하/xsv+었/ep+습니다/ef+./sf
부산정관지구는	부산/nq+정관/ncn+지구/ncn+는/jxc
백18만평에	백/mma+18만/nnc+평/nbu+에/jca
13만2천명을	13만/nnc+2천/nnc+명/nbu+을/jco
수용하는	수용/ncpa+하/xsv+는/etm
신도시가	신/xp+도시/ncn+가/jcs
조성되고	조성/ncpa+되/xsv+고/ecc
파주금촌2지구는	파주/nq+금촌/nq+2/nnc+지구/ncn+는/jxc
27만평에	27만/nnc+평/nbu+에/jca
3만명,	3만/nnc+명/nbu+,/sp
천안	천안/nq
불당지구는	불당/nq+지구/ncn+는/jxc
26만평에	26만/nnc+평/nbu+에/jca
2만9천명	2만/nnc+9천/nnc+명/nbu
규모의	규모/ncn+의/jcm
미니신도시로	미니/ncn+신/xp+도시/ncn+로/jca
개발됩니다.	개발/ncpa+되/xsv+ㅂ니다/ef+./sf
단풍놀이가	단풍/ncn+놀이/ncn+가/jcs
막바지에	막바지/ncn+에/jca
접어든	접/pvg+어/ecs+들/pvg+ㄴ/etm
내장산은	내장산/nq+은/jxc
11월	11/nno+월/nbu
첫	첫/mma
휴일을	휴일/ncn+을/jco
맞아	맞/pvg+아/ecs
3만여명의	3만/nnc+여/xsn+명/nbu+의/jcm
관광객이	관광/ncn+객/xsn+이/jcs
몰려	몰리/pvg+어/ecs
저물어가는	저물/pvg+어/ecx+가/px+는/etm
가을의	가을/ncn+의/jcm
정취를	정취/ncn+를/jco
만끽했습니다.	만끽/ncpa+하/xsv+었/ep+습니다/ef+./sf
가을	가을/ncn
가뭄	가뭄/ncn
탓에	탓/nbn+에/jca
단풍빛은	단풍/ncn+빛/ncn+은/jxc
예년만	예년/ncn+만/jxc
못하지만	못하/pvg+지만/ecs
내장산의	내장산/nq+의/jcm
단풍은	단풍/ncn+은/jxc
여전히	여전/ncn+히/xsa
아름다운	아름/ncps+답/xsm+ㄴ/etm
자태를	자태/ncn+를/jco
뽐냈습니다.	뽐/ncn+내/pvg+었/ep+습니다/ef+./sf
이용식	이용식/nq
기자가	기자/ncn+가/jcs
취재했습니다.	취재/ncpa+하/xsv+었/ep+습니다/ef+./sf
{*내장산*}	{/sl+*/sy+내장산/nq+*/sy+}/sr
맑은	맑/paa+은/etm
가을하늘아래	가을/ncn+하늘/ncn+아래/ncn
모습을	모습/ncn+을/jco
드러낸	드러내/pvg+ㄴ/etm
내장산은	내장산/nq+은/jxc
한폭의	한/nnc+폭/nbu+의/jcm
수채화를	수채/ncn+화/xsn+를/jco
연상시킵니다.	연상/ncn+시키/xsv+ㅂ니다/ef+./sf
불출봉과	불출봉/nq+과/jcj
까치봉에서부터	까치봉/nq+에서/jca+부터/jxc
타오르기	타/pvg+아/ecs+오르/pvg+기/etn
시작한	시작/ncpa+하/xsv+ㄴ/etm
단풍은	단풍/ncn+은/jxc
산허리를	산/ncn+허리/ncn+를/jco
휘감아	휘감/pvg+아/ecs
온산을	온/mma+산/ncn+을/jco
붉게	붉/paa+게/ecs
물들였습니다.	물/ncn+들이/pvg+었/ep+습니다/ef+./sf
