<tdmsfile>
<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0009.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0009.txt </filename>
<title>임상의학의 탄생  </title>
<author>미셸 푸꼬 저 ; 홍성민 역  </author>
<date>1993  </date>
<publisher>인간사랑  </publisher>
<kdc>166.8  </kdc>
<ddc>194  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
제목	제목/ncn
성격을	성격/ncn+을/jco
드러낼	드러내/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
한편	한편/maj
,	,/sp
질병이란	질병/ncn+이/jp+란/jxc
구체적인	구체/ncn+적/xsn+이/jp+ㄴ/etm
사례를	사례/ncn+를/jco
통해	통하/pvg+어/ecs
드러나기	드러나/pvg+기/etn
마련이고	마련/ncn+이/jp+고/ecc
,	,/sp
이것을	이것/npd+을/jco
인지하는	인지/ncpa+하/xsv+는/etm
의사들의	의사/ncn+들/xsn+의/jcm
시선이	시선/ncn+이/jcs
언제나	언제나/mag
선험적으로	선험/ncn+적/xsn+으로/jca
규정되기	규정/ncpa+되/xsv+기/etn
때문에	때문/nbn+에/jca
질병은	질병/ncn+은/jxc
언제나	언제나/mag
얼마간은	얼마/ncn+간/xsn+은/jxc
비껴나간	비끼/pvg+어/ecs+나가/pvg+ㄴ/etm
모습으로	모습/ncn+으로/jca
드러난다	드러나/pvg+ㄴ다/ef
.	./sf
마치	마치/maj
초상화를	초상/ncn+화/xsn+를/jco
그리듯이	그리/pvg+듯이/ecs
질병을	질병/ncn+을/jco
대하는	대하/pvg+는/etm
분류하기의	분류/ncpa+하/xsv+기/etn+의/jcm
기원에	기원/ncn+에/jca
관한	관하/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
합리적이고	합리/ncn+적/xsn+이/jp+고/ecc
선명한	선명/ncps+하/xsm+ㄴ/etm
의학적	의학/ncn+적/xsn
지식이	지식/ncn+이/jcs
가능하다는	가능/ncps+하/xsm+다/ef+는/etm
것이며	것/nbn+이/jp+며/ecc
,	,/sp
둘째는	둘째/nno+는/jxc
그	그/mmd
결과로서	결과/ncn+로서/jca
질병의	질병/ncn+의/jcm
감추어진	감추/pvg+어/ecx+지/px+ㄴ/etm
비밀이	비밀/ncn+이/jcs
하나하나	하나/nnc+하나/nnc
벗겨질	벗기/pvg+어/ecx+지/px+ㄹ/etm
때	때/ncn
그	그/mmd
궁극적인	궁극/ncn+적/xsn+이/jp+ㄴ/etm
목표가	목표/ncn+가/jcs
바로	바로/maj
초상화를	초상/ncn+화/xsn+를/jco
그리듯이	그리/pvg+듯이/ecs
대상을	대상/ncn+을/jco
묘사한다는	묘사/ncpa+하/xsv+ㄴ다/ef+는/etm
점이다	점/ncn+이/jp+다/ef
.	./sf
그러므로	그러므로/maj
의학적	의학/ncn+적/xsn
작업이	작업/ncn+이/jcs
자신의	자신/ncn+의/jcm
목표를	목표/ncn+를/jco
달성하기	달성/ncpa+하/xsv+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
허락될	허락/ncpa+되/xsv+ㄹ/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf
이것이	이것/npd+이/jcs
바로	바로/maj
의학적	의학/ncn+적/xsn
시선이	시선/ncn+이/jcs
언제나	언제나/maj
이방인으로	이방/ncn+인/xsn+으로/jca
남을	남/pvg+을/etm
수밖에	수/nbn+밖에/jxc
없는	없/paa+는/etm
이유이다	이유/ncn+이/jp+다/ef
.	./sf
의학적	의학/ncn+적/xsn
시선은	시선/ncn+은/jxc
끊임없는	끊임/ncn+없/paa+는/etm
순환	순환/ncn
속에	속/ncn+에/jca
갇혀	갇히/pvg+어/ecx
있고	있/px+고/ecc
,	,/sp
다만	다만/mag
진실을	진실/ncn+을/jco
탐지하고	탐지/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
환자를	환자/ncn+를/jco
통해	통하/pvg+어/ecs
질병	질병/ncn
속에	속/ncn+에/jca
'	'/sl
볼	보/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
존재	존재/ncn
'	'/sr
가	가/jcs
있는가를	있/paa+는가/ef+를/jco
물을	묻/pvg+ㄹ/etm
뿐이다	뿐/nbn+이/jp+다/ef
.	./sf
그러므로	그러므로/maj
질병을	질병/ncn+을/jco
알기	알/pvg+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
인지해야만	인지/ncpa+하/xsv+어야/ecs+만/jxc
한다	하/px+ㄴ다/ef
.	./sf
의학적시선이	의학/ncn+적/xsn+시선/ncn+이/jcs
진실에	진실/ncn+에/jca
도달하기	도달/ncpa+하/xsv+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
질병	질병/ncn
스스로가	스스로/ncn+가/jcs
자신을	자신/ncn+을/jco
드러내고	드러내/pvg+고/ecc
아픔이	아픔/ncn+이/jcs
질병의	질병/ncn+의/jcm
성격을	성격/ncn+을/jco
묘사하기를	묘사/ncpa+하/xsv+기/etn+를/jco
기다리는	기다리/pvg+는/etm
수밖에	수/nbn+밖에/jxc
없기에	없/paa+기/etn+에/jca
,	,/sp
분류하기의	분류/ncpa+하/xsv+기/etn+의/jcm
의학적	의학/ncn+적/xsn
시선은	시선/ncn+은/jxc
언제나	언제나/mag
움츠리고	움츠리/pvg+고/ecx
있는것이다	있/px+는/etm+것/nbn+이/jp+다/ef
.	./sf
표	표/ncn
안에	안/ncn+에/jca
자리잡은	자리/ncn+잡/pvg+은/etm
질병은	질병/ncn+은/jxc
자신의	자신/ncn+의/jcm
모습을	모습/ncn+을/jco
드러내기	드러내/pvg+기/etn
위해서	위하/pvg+어서/ecs
인간의	인간/ncn+의/jcm
몸을	몸/ncn+을/jco
필요로	필요/ncn+로/ecs
하지만	하/pvg+지만/ecs
,	,/sp
그곳에서	그/mmd+곳/ncn+에서/jca
마주치는	마주치/pvg+는/etm
것은	것/nbn+은/jxc
전혀	전혀/mag
다른	다르/paa+ㄴ/etm
'	'/sl
배치	배치/ncn
'	'/sr
의	의/jcm
공간이다	공간/ncn+이/jp+다/ef
.	./sf
구체적인	구체/ncn+적/xsn+이/jp+ㄴ/etm
의학적	의학/ncn+적/xsn
시선이	시선/ncn+이/jcs
질병의	질병/ncn+의/jcm
모습을	모습/ncn+을/jco
바꾸어	바꾸/pvg+어/ecx
놓는다	놓/px+는다/ef
.	./sf
그러나	그러나/maj
이것이야말로	이것/npd+이야말로/jxc
질병을	질병/ncn+을/jco
가시적인	가시/ncn+적/xsn+이/jp+ㄴ/etm
형채로	형채/ncn+로/jca
정의하는	정의/ncpa+하/xsv+는/etm
의학적	의학/ncn+적/xsn
지식이며	지식/ncn+이/jp+며/ecc
,	,/sp
질병이	질병/ncn+이/jcs
배열되는	배열/ncpa+되/xsv+는/etm
방법이나	방법/ncn+이나/jcj
드러나는	드러나/pvg+는/etm
방식에	방식/ncn+에/jca
따라	따르/pvg+아/ecs
질병의	질병/ncn+의/jcm
고정적인	고정/ncn+적/xsn+이/jp+ㄴ/etm
성격과	성격/ncn+과/jcj
움직임과	움직이/pvg+ㅁ/etn+과/jcj
기능이	기능/ncn+이/jcj
점차	점차/mag
변화되어	변화/ncpa+되/xsv+어/ecx
가다가	가/px+다가/ecs
해부학의	해부/ncn+학/xsn+의/jcm
실험대	실험/ncn+대/ncn
위에서	위/ncn+에서/jca
통증의	통증/ncn+의/jcm
자리가	자리/ncn+가/jcs
결정되는	결정/ncpa+되/xsv+는/etm
순간이며	순간/ncn+이/jp+며/ecc
,	,/sp
질병의	질병/ncn+의/jcm
증상들이	증상/ncn+들/xsn+이/jcs
어떻게	어떻/pad+게/ecs
맞물려	맞물리/pvg+어/ecx
있으며	있/px+으며/ecs
그	그/mmd
반응은	반응/ncn+은/jxc
무엇인가가	무엇/npd+이/jp+ㄴ가/ef+가/jcs
밝혀지게	밝히/pvg+어/ecx+지/px+게/ecs
되어	되/pvg+어/ecs
궁극적으로는	궁극/ncps+적/xsn+으로/jca+는/jxc
최종적인	최종/ncn+적/xsn+이/jp+ㄴ/etm
결론을	결론/ncn+을/jco
얻게	얻/pvg+게/ecs
되는	되/pvg+는/etm
계기가	계기/ncn+가/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
여기서	여기/npd+서/jca
의학이	의학/ncn+이/jcs
궁금해	궁금/ncpa+하/xsv+어/ecx
하는	하/px+는/etm
것은	것/nbn+은/jxc
여러갈래고	여러/mma+갈래/ncn+고/ecc
파생된	파생/ncpa+되/xsv+ㄴ/etm
질병의	질병/ncn+의/jcm
다양한	다양/ncps+하/xsm+ㄴ/etm
모습이며	모습/ncn+이/jp+며/ecc
,	,/sp
그것을	그것/npd+을/jco
통해서	통하/pvg+어서/ecs
인간의	인간/ncn+의/jcm
육체를	육체/ncn+를/jco
점유하게	점유/ncpa+하/xsv+게/ecs
되는지를	되/pvg+는지/ecs+를/jco
밝혀내는	밝히/pvg+어/ecx+내/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
표면적이고	표면/ncn+적/xsn+이/jp+고/ecc
성질적인	성질/ncn+적/xsn+이/jp+ㄴ/etm
성격만으로	성격/ncn+만/jxc+으로/jca
질병을	질병/ncn+을/jco
구분하던	구분/ncpa+하/xsv+던/etm
분류하기가	분류/ncpa+하/xsv+기/etn+가/jcs
질병이	질병/ncn+이/jcs
갖은	갖/pvg+은/etm
용적과	용적/ncn+과/jcj
다른	다르/paa+ㄴ/etm
질병과의	질병/ncn+과/jct+의/jcm
차이를	차이/ncn+를/jco
고려하면서	고려/ncpa+하/xsv+면서/ecs
지형학적	지형/ncn+학/xsn+적/xsn
지식의	지식/ncn+의/jcm
형태속에서	형태/ncn+속/ncn+에서/jca
드러날	드러나/pvg+ㄹ/etm
수	수/nbn
있었던	있/paa+었/ep+던/etm
것이	것/nbn+이/jcs
어떻게	어떻/pad+게/ecs
가능할	가능/ncps+하/xsm+ㄹ/etm
수	수/nbn
있었는가	있/paa+었/ep+는가/ef
?	?/sf
어떤	어떤/mmd
방법으로	방법/ncn+으로/jca
한	한/nnc
계보에	계보/ncn+에/jca
속하는	속하/pvg+는/etm
질병이	질병/ncn+이/jcs
인간의	인간/ncn+의/jcm
육체에서	육체/ncn+에서/jca
자신의	자신/ncn+의/jcm
자리를	자리/ncn+를/jco
마련할	마련/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있었을까	있/paa+었/ep+을까/ef
?	?/sf
이것이	이것/npd+이/jcs
병리학에서	병리/ncn+학/xsn+에서/jca
두	두/nno
번째	번째/nbu
공간화라	공간/ncn+화/xsn+라/ef
부를수	부르/pvg+ㄹ/etm+수/nbn
있는	있/paa+는/etm
문제이다	문제/ncn+이/jp+다/ef
.	./sf
분류하기의	분류/ncpa+하/xsv+기/etn+의/jcm
의학에서는	의학/ncn+에서/jca+는/jxc
유기체에	유기/ncn+체/xsn+에/jca
고장이	고장/ncn+이/jcs
생긴다는	생기/pvg+ㄴ다/ef+는/etm
사실이	사실/ncn+이/jcs
질병을	질병/ncn+을/jco
개념정의하는	개념/ncn+정의/ncpa+하/xsv+는/etm
데	데/nbn
필수적인	필수/ncn+적/xsn+이/jp+ㄴ/etm
조건은	조건/ncn+은/jxc
아니다	아니/paa+다/ef
.	./sf
질병은	질병/ncn+은/jxc
자신의	자신/ncn+의/jcm
고유한	고유/ncps+하/xsm+ㄴ/etm
성격을	성격/ncn+을/jco
그대로	그대로/mag
간직한	간직/ncpa+하/xsv+ㄴ/etm
채	채/nbn
한	한/nnc
자리에서	자리/ncn+에서/jca
다른	다르/paa+ㄴ/etm
자리로	자리/ncn+로/jca
옮겨질	옮기/pvg+어/ecx+지/px+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
육체와	육체/ncn+와/jcj
질병의	질병/ncn+의/jcm
공간은	공간/ncn+은/jxc
그리	그리/mag
좁지	좁/paa+지/ecx
않다	않/px+다/ef
.	./sf
예컨대	예컨대/maj
,	,/sp
소화불량이나	소화/ncn+불량/ncn+이나/jcj
창자의	창자/ncn+의/jcm
막힘	막히/pvg+ㅁ/etn
혹은	혹은/maj
치질이나	치질/ncn+이나/jcj
월경	월경/ncn
탓으로	탓/ncn+으로/jca
갑작스럽게	갑작/ncps+스럽/xsm+게/ecs
아랫배에	아랫배/ncn+에/jca
경련이	경련/ncn+이/jcs
일어나는	일어나/pvg+는/etm
것으로부터	것/nbn+으로/jca+부터/jxc
가슴이	가슴/ncn+이/jcs
답답해지고	답답/ncps+하/xsm+어/ecx+지/px+고/ecc
호흡이	호흡/ncn+이/jcs
가빠지며	가쁘/paa+아/ecx+지/px+며/ecc
,	,/sp
목에	목/ncn+에/jca
커다란	커다랗/paa+ㄴ/etm
가래가	가래/ncn+가/jcs
느껴지고	느끼/pvg+어/ecx+지/px+고/ecc
심한	심하/paa+ㄴ/etm
기침이	기침/ncn+이/jcs
시작된다거나	시작/ncpa+되/xsv+ㄴ다/ef+거나/ecc
,	,/sp
나아가서	나아가/pvg+서/ecs
간질과	간질/ncn+과/jct
같은	같/paa+은/etm
발작이나	발작/ncn+이나/jcj
혼수	혼수/ncn
상태에	상태/ncn+에/jca
이르기	이르/pvg+기/etn
까지	까지/jxc
분류하기의	분류/ncpa+하/xsv+기/etn+의/jcm
시선에서	시선/ncn+에서/jca
발작이란	발작/ncn+이/jp+란/jxc
인간의	인간/ncn+의/jcm
어느	어느/mmd
부위에서	부위/ncn+에서/jca
시작되든	시작/ncpa+되/xsv+든/ecs
마찬가지이다	마찬가지/ncn+이/jp+다/ef
.	./sf
어느	어느/mmd
정도	정도/ncn
개인차는	개인/ncn+차/ncn+는/jxc
있으나	있/paa+으나/ecs
질병이	질병/ncn+이/jcs
시작되는	시작/ncpa+되/xsv+는/etm
부위는	부위/ncn+는/jxc
인간의	인간/ncn+의/jcm
몸	몸/ncn
어느	어느/mmd
곳에서나	곳/ncn+에서/jca+나/jxc
가능하다	가능/ncps+하/xsm+다/ef
.	./sf
즉	즉/maj
내장	내장/ncn
발작이	발작/ncn+이/jcs
일어나	일어나/pvg+아/ecs
임파성의	임파/ncn+성/xsn+의/jcm
질병으로	질병/ncn+으로/jca
간주되든	간주/ncpa+되/xsv+든/ecs
,	,/sp
머리에서	머리/ncn+에서/jca
시작되어	시작/ncpa+되/xsv+어/ecs
혈액에	혈액/ncn+에/jca
문제가	문제/ncn+가/jcs
있는	있/paa+는/etm
것으로	것/nbn+으로/jca
파악되든	파악/ncpa+되/xsv+든/ecs
,	,/sp
분류하기	분류/ncpa+하/xsv+기/etn
시선이	시선/ncn+이/jcs
가지고	가지/pvg+고/ecx
있는	있/px+는/etm
병리학적	병리/ncn+학/xsn+적/xsn
윤곽	윤곽/ncn
그리기는	그리/pvg+기/etn+는/jxc
변화하지	변화/ncpa+하/xsv+지/ecx
않는다는	않/px+는다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
따라서	따라서/maj
인간의	인간/ncn+의/jcm
육체란	육체/ncn+란/jxc
질병이	질병/ncn+이/jcs
시작될	시작/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
공간이	공간/ncn+이/jcc
될뿐	되/pvg+ㄹ/etm+뿐/nbn
,	,/sp
거기에	거기/npd+에/jca
또다른	또/mag+다르/paa+ㄴ/etm
조건이	조건/ncn+이/jcs
필요하지는	필요/ncps+하/xsm+지/ecx+는/jxc
않다	않/px+다/ef
.	./sf
즉	즉/maj
,	,/sp
유기체와	유기/ncn+체/xsn+와/jcj
질병의	질병/ncn+의/jcm
발작을	발작/ncn+을/jco
결정하는	결정/ncpa+하/xsv+는/etm
지식이	지식/ncn+이/jcs
딱히	딱히/mag
정해져	정하/pvg+어/ecx+지/px+어/ecx
있지	있/paa+지/ecx
않다	않/px+다/ef
.	./sf
그러므로	그러므로/maj
질병을	질병/ncn+을/jco
위해	위하/pvg+어/ecs
선험적으로	선험/ncn+적/xsn+으로/jca
규정된	규정/ncpa+되/xsv+ㄴ/etm
공간을	공간/ncn+을/jco
인간의	인간/ncn+의/jcm
육체	육체/ncn
위에서	위/ncn+에서/jca
찾으려	찾/pvg+으려/ecs
하지	하/px+지/ecx
말아야	말/px+아야/ecs
한다	하/px+ㄴ다/ef
.	./sf
그러나	그러나/maj
질병이	질병/ncn+이/jcs
언제나	언제나/mag
같은	같/paa+은/etm
모습으로	모습/ncn+으로/jca
등장하는	등장/ncpa+하/xsv+는/etm
것은	것/nbn+은/jxc
아니다	아니/paa+다/ef
.	./sf
질병이	질병/ncn+이/jcs
드러나는	드러나/pvg+는/etm
자리에	자리/ncn+에/jca
따라	따르/pvg+아/ecs
질병의	질병/ncn+의/jcm
모습도	모습/ncn+도/jxc
얼마간은	얼마/ncn+간/xsn+은/jxc
변하기	변하/paa+기/etn
마련이다	마련/ncn+이/jp+다/ef
.	./sf
코피가	코피/ncn+가/jcs
터지는	터지/pvg+는/etm
현상이	현상/ncn+이/jcs
머리에서	머리/ncn+에서/jca
발생한다면	발생/ncpa+하/xsv+ㄴ다/ef+면/ecs
그것은	그것/npd+은/jxc
뇌출혈이	뇌출혈/ncn+이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
변하지	변하/pvg+지/ecx
않는	않/px+는/etm
것이	것/nbn+이/jcs
있다면	있/paa+다/ef+면/ecs
피를	피/ncn+를/jco
쏟는다는	쏟/pvg+는다/ef+는/etm
사실뿐이다	사실/ncn+뿐/jxc+이/jp+다/ef
.	./sf
분류하기의	분류/ncpa+하/xsv+기/etn+의/jcm
시선	시선/ncn
안에	안/ncn+에/jca
있는	있/paa+는/etm
의사들의	의사/ncn+들/xsn+의/jcm
눈은	눈/ncn+은/jxc
일정한	일정/ncps+하/xsm+ㄴ/etm
질병을	질병/ncn+을/jco
증상으로	증상/ncn+으로/jca
파악하도록	파악/ncpa+하/xsv+도록/ecs
길들여져	길/ncn+들이/pvg+어/ecx+지/px+어/ecx
있다	있/px+다/ef
.	./sf
그렇지만	그렇지만/maj
인간의	인간/ncn+의/jcm
몸	몸/ncn
위에	위/ncn+에/jca
등장하는	등장/ncpa+하/xsv+는/etm
증상들은	증상/ncn+들/xsn+은/jxc
그	그/mmd
부위에	부위/ncn+에/jca
따라	따르/pvg+아/ecs
어느	어느/mmd
정도	정도/ncn
연계관계를	연계/ncn+관계/ncn+를/jco
찾아볼	찾/pvg+아/ecs+보/pvg+ㄹ/etm
수도	수/nbn+도/jxc
있다	있/paa+다/ef
.(	.(/sl
경련이	경련/ncn+이/jcs
있을	있/paa+을/etm
때에는	때/ncn+에/jca+는/jxc
가로막에	가로막/ncn+에/jca
이상이	이상/ncn+이/jcs
있다든가	있/paa+다/ef+든가/ecc
,	,/sp
염증이	염증/ncn+이/jcs
생기는	생기/pvg+는/etm
경우는	경우/ncn+는/jxc
체액이	체액/ncn+이/jcs
원활하게	원활/ncps+하/xsm+게/ecs
움직이지	움직이/pvg+지/ecx
못한다든가	못하/px+ㄴ다/ef+든가/ecc
).	)./sr
인간의	인간/ncn+의/jcm
육체	육체/ncn
위에	위/ncn+에/jca
널리	널리/mag
퍼져	퍼지/pvg+어/ecx
있는	있/px+는/etm
하나의	하나/nnc+의/jcm
체계를	체계/ncn+를/jco
통해서도	통하/pvg+어서/ecs+도/jxc
증상간의	증상/ncn+간/nbn+의/jcm
관계는	관계/ncn+는/jxc
포착될	포착/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
(	(/sl
통증이나	통증/ncn+이나/jcj
경련이	경련/ncn+이/jcs
일어나는	일어나/pvg+는/etm
경우에	경우/ncn+에/jca
특별히	특별/ncn+히/xsa
관련된	관련/ncpa+되/xsv+ㄴ/etm
신경계가	신경/ncn+계/xsn+가/jcs
있다든가	있/paa+다/ef+든가/ecc
,	,/sp
염증이	염증/ncn+이/jcs
생기는	생기/pvg+는/etm
경우는	경우/ncn+는/jxc
어떤	어떤/mmd
혈관계에	혈관/ncn+계/xsn+에/jca
이상이	이상/ncn+이/jcs
있기	있/paa+기/etn
때문이라는	때문/nbn+이/jp+라/ef+는/etm
식으로	식/ncn+으로/jca
).	)./sr
기능적인	기능/ncn+적/xsn+이/jp+ㄴ/etm
연결성으로	연결/ncn+성/xsn+으로/jca
파악하는	파악/ncpa+하/xsv+는/etm
경우도	경우/ncn+도/jxc
있다	있/paa+다/ef
(	(/sl
배설에	배설/ncn+에/jca
문제가	문제/ncn+가/jcs
있는	있/paa+는/etm
것은	것/nbn+은/jxc
내장과	내장/ncn+과/jcj
신장에	신장/ncn+에/jca
이상이	이상/ncn+이/jcs
생긴	생기/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
이해하는	이해/ncpa+하/xsv+는/etm
경우이다	경우/ncn+이/jp+다/ef
).	)./sr
그러나	그러나/maj
이러한	이러하/pad+ㄴ/etm
상응관계	상응/ncn+관계/ncn
,	,/sp
확산	확산/ncn
,	,/sp
연계	연계/ncn
혹은	혹은/maj
해부학적	해부/ncn+학/xsn+적/xsn
재캐치를	재/xp+캐치/ncn+를/jco
통해	통하/pvg+어/ecs
질병과	질병/ncn+과/jcj
질병	질병/ncn
사이의	사이/ncn+의/jcm
관계를	관계/ncn+를/jco
찾으려	찾/pvg+으려/ecs
한다고	하/px+ㄴ다/ef+고/jcr
해서	하/pvg+어서/ecs
,	,/sp
이것이	이것/npd+이/jcs
질병을	질병/ncn+을/jco
바라보는	바라보/pvg+는/etm
병리학적	병리/ncn+학/xsn+적/xsn
지식의	지식/ncn+의/jcm
구조를	구조/ncn+를/jco
근본적으로	근본/ncn+적/xsn+으로/jca
바꿀	바꾸/pvg+ㄹ/etm
수	수/nbn
있다는	있/paa+다/ef+는/etm
뜻은	뜻/ncn+은/jxc
아니다	아니/paa+다/ef
.	./sf
단지	단지/mag
증상은	증상/ncn+은/jxc
전체	전체/ncn
배치	배치/ncn
안에서	안/ncn+에서/jca
국소적으로	국소/ncn+적/xsn+으로/jca
일어나는	일어나/pvg+는/etm
질병의	질병/ncn+의/jcm
모습이	모습/ncn+이/jcs
어떠한	어떠하/pad+ㄴ/etm
관계를	관계/ncn+를/jco
갖는가를	갖/pvg+는가/ef+를/jco
말해	말/ncpa+하/xsv+어/ecx
주는	주/px+는/etm
하나의	하나/nnc+의/jcm
교량역활을	교량/ncn+역활/ncn+을/jca
할	하/pvg+ㄹ/etm
뿐이다	뿐/nbn+이/jp+다/ef
.	./sf
증상은	증상/ncn+은/jxc
질병과	질병/ncn+과/jcj
질병이	질병/ncn+이/jcs
자유롭게	자유/ncps+롭/xsm+게/ecs
이야기를	이야기/ncn+를/jco
나누도록	나누/pvg+도록/ecs
하지만	하/pvg+지만/ecs
또한	또한/maj
그	그/mmd
자유에	자유/ncn+에/jca
일정한	일정/ncps+하/xsm+ㄴ/etm
한계를	한계/ncn+를/jco
부여한다	부여/ncpa+하/xsv+ㄴ다/ef
.	./sf
차라리	차라리/mag
그것을	그것/npd+을/jco
한계라고	한계/ncn+라/ef+고/jcr
하지	하/pvg+지/ecx
말고	말/px+고/ecc
문턱이라고	문턱/ncn+이/jp+라/ef+고/jcr
부르자	부르/pvg+자/ef
.	./sf
왜냐하면	왜냐하면/maj
증상이나	증상/ncn+이나/jcj
질병	질병/ncn
사이에	사이/ncn+에/jca
드러나는	드러나/pvg+는/etm
유사성을	유사/ncn+성/xsn+을/jco
넘어	넘/pvg+어/ecs
,	,/sp
그것들	그것/npd+들/xsn
사이에	사이/ncn+에/jca
인과관계가	인과/ncn+관계/ncn+가/jcs
존재한다는	존재/ncpa+하/xsv+ㄴ다/ef+는/etm
사실을	사실/ncn+을/jco
밝혀야만	밝히/pvg+어야/ecs+만/jxc
하기	하/px+기/ecs
때문이다	때문/nbn+이/jp+다/ef
.	./sf
하나의	하나/nnc+의/jcm
병리학적	병리/ncn+학/xsn+적/xsn
지식은	지식/ncn+은/jxc
하나의	하나/nnc+의/jcm
질병을	질병/ncn+을/jco
자리매김하면서	자리/ncps+매김/ncn+하/xsv+면서/ecs
분류하기의	분류/ncpa+하/xsv+기/etn+의/jcm
표	표/ncn
안에서	안/ncn+에서/jca
멀리	멀리/mag
떨어져	떨어지/pvg+어/ecx
있는	있/px+는/etm
또다른	또/mag+다르/paa+ㄴ/etm
질병과의	질병/ncn+과/jct+의/jcm
관계를	관계/ncn+를/jco
명확히	명확/ncn+히/xsa
해야만	하/pvg+어야/ecs+만/jxc
한다	하/px+ㄴ다/ef
.	./sf
이	이/mmd
때	때/ncn
인간의	인간/ncn+의/jcm
육체는	육체/ncn+는/jxc
그러한	그러하/pad+ㄴ/etm
병렬과	병렬/ncn+과/jcj
연속	연속/ncn
,	,/sp
그리고	그리고/maj
이것과	이것/npd+과/jcj
저것이	저것/npd+이/jcs
뒤엉켜	뒤엉키/pvg+어/ecs
하나의	하나/nnc+의/jcm
혼합적	혼합/ncn+적/xsn
질서를	질서/ncn+를/jco
만들어내는	만들/pvg+어/ecx+내/px+는/etm
장소이다	장소/ncn+이/jp+다/ef
.	./sf
여기서	여기/npd+서/jca
현상이	현상/ncn+이/jcs
복잡해진다	복잡/ncpa+하/xsv+어/ecx+지/px+ㄴ다/ef
.	./sf
광기와	광기/ncn+와/jcj
마비현상을	마비/ncn+현상/ncn+을/jco
비교해	비교/ncpa+하/xsv+어/ecx
보자	보/px+자/ef
.	./sf
하슬람은	하슬람/nq+은/jxc
정신착란을	정신/ncn+착란/ncn+을/jco
정의하기	정의/ncpa+하/xsv+기/etn
위해서	위하/pvg+어서/ecs
제대로	제대로/mag
말을	말/ncn+을/jco
못하고	못/mag+하/pvg+고/ecc
,	,/sp
입이	입/ncn+이/jcs
비뚤어지고	비뚤/paa+어/ecx+지/px+고/ecc
,	,/sp
팔과	팔/ncn+과/jcj
다리가	다리/ncn+가/jcs
마음대로	마음/ncn+대로/jxc
놀며	놀/pvg+며/ecs
,	,/sp
기억을	기억/ncn+을/jco
제대로	제대로/mag
못하는	못/mag+하/pvg+는/etm
환자와	환자/ncn+와/jcj
의식이	의식/ncn+이/jcs
불분명한	불/xp+분명/ncpa+하/xsv+ㄴ/etm
환자를	환자/ncn+를/jcs
비교했다	비교/ncpa+하/xsv+었/ep+다/ef
.	./sf
두	두/nnc
가지	가지/nbu
양상의	양상/ncn+의/jcm
극단적인	극단/ncn+적/xsn+이/jp+ㄴ/etm
현상이	현상/ncn+이/jcs
동시에	동시에/mag
나타나면서	나타나/pvg+면서/ecs
증상의	증상/ncn+의/jcm
배열이	배열/ncn+이/jcs
바뀌는	바뀌/pvg+는/etm
경우도	경우/ncn+도/jxc
있다	있/paa+다/ef
.	./sf
그러나	그러나/maj
이	이/npd
모든것이	모든/mma+것/nbn+이/jcs
하나의	하나/nnc+의/jcm
질병을	질병/ncn+을/jcs
정확히	정확/ncn+히/xsa
포착하는	포착/ncpa+하/xsv+는/etm
데	데/nbn
충분한	충분/ncps+하/xsm+ㄴ/etm
것은	것/nbn+은/jxc
아니다	아니/paa+다/ef
.	./sf
왜냐하면	왜냐하면/maj
,	,/sp
하나의	하나/nnc+의/jcm
표	표/ncn
안에서	안/ncn+에서/jca
말을	말/ncn+을/jco
제대로	제대로/mag
하지	하/pvg+지/ecx
못한다거나	못하/px+ㄴ다/ef+거나/ecc
걷지	걷/pvg+지/ecx
못하는	못하/px+는/etm
마비증상만을	마비/ncn+증상/ncn+만/jxc+을/jco
가지고	가지/pvg+고/ecs
인접해	인접/ncpa+하/xsv+어/ecx
있는	있/px+는/etm
질병의	질병/ncn+의/jcm
모습을	모습/ncn+을/jco
명확히	명확/ncn+히/xsa
